Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
39,SW 6-26-4,540.80 to 540.87,2432,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (72%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: unhealthy (42%). Weeds: creeping (Canada) thistle, perennial sow thistle. Undesirable species on right-of-way. Slight rilling and pooling along right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
39,NW 32-25-4,542.05,2435,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
39,NE 32-25-4,542.9,2436,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Scentless chamomile throughout NW 32-25-4 W3M.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
39,E1/2 32-25-4 to SW 33-25-4,543.0 to 544.3,2436 2437 2438,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W3M,
39,SW 33-25-4,544.1,2438,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
39,NW 23-25-4,548.50 to 548.58,2442,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (75%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: unhealthy (44%). Weeds: creeping (Canada) thistle, perennial sow thistle. Undesirable species on right-of-way. Dugout to south of wetland.",Unresolved,Monitor in 2011.,,W3M,
39,SW 24-25-4,549.7,2443,Vegetation - Weeds,Compressed air/shovel cleaning of equipment before entering Organic farm.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
39,SW 24-25-4,549.7 to 550.3,2443,Land and Resource Use - Organic Farm,Equipment cleaned prior to entering. Signs installed. No fuelling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
39,SW 24-25-4,550.3 to 550.5,2443,Land and Resource Use - Organic Farm,Equipment cleaned prior to entering. Signs installed. No fuelling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,"Moderate density of nodding thistle, creeping (Canada) thistle and perennial sow thistle on right-of-way.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,W3M,
39 to 40,NW 13-25-4 to SE 18-25-3,550.5 to 553.5,2443 2444 2444.01 2445 2445.01 2445.02,Land and Resource Use - Organic Farm,Equipment cleaned prior to entering. Signs installed. No fuelling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
40 to 44,NE 7-25-3 to SE 13-21-27,553.5 to 621.4,2446 to 2544,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
40,SE 3-25-3,558.5 to 559.3,2453.01,Soils - Subsidence and Erosion,"Heritage resource site EgNo 23 was mitigated for during construction in this area. Heritage Resource Specialist onsite during grading (Jul. 4, 2009) and trenching (Jul. 21, 2009). A hearth was identified in the trench wall, and several artifacts (n=155) were recovered including faunal remains (n=134), lithic debitage (n=13), fire cracked rock (n=6) and stone tools (n=2). Tackified replaced topsoil along the construction right-of-way.",Potential subsidence. Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
40,NE 34-24-3,559.4,2454,Vegetation - Weeds,Compressed air/shovel cleaning of equipment before entering Crown owned native prairie.,Potential for weed introduction and spread.,Moderate density of nodding thistle and lamb's-quarters on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,NW 35-24-3,559.5 to 559.8,2455,Vegetation - Weeds,--,--,Moderate density of nodding thistle and kochia observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,NE 35-24-3,560.4,2456,Vegetation - Rare Plant Weeds,"Low milk vetch plant transplanted to the receiving site on Jun. 27, 2009. The receiving site was on the south side of the extra workspace and was located south of the topsoil windrow so it was inaccessible to construction traffic. The site was fenced on Sep. 16, 2009 to prevent disturbance by the final clean-up crew. The Environmental Inspector noted that cattle traffic through the PFRA led to large deposit of cow dung on top of plant. Compressed air/shovel cleaning of equipment before leaving Elbow PFRA.",Success of transplant. Potential for weed introduction and spread.,Plants not located.,Unresolved,Monitor in 2011.,,W3M,
40,NE 35-24-3,560.4 to 560.8,2456,Vegetation - Weeds,--,--,Moderate density of lamb's-quarters and tumbling mustard observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,NE 35-24-3 to NW 20-24-2,560.4 to 566.3,2456 2456.01 2457 2458 2459 2460 2461 2462 2463 2464 2465,Soils - Erosion,Tackified replaced topsoil along the construction right-of-way within the Elbow PFRA.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
40,SE 35-24-3,560.8 to 561.3,2456.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Nodding thistle throughout SE 35-24-3 W3M.,Potential for weed introduction and spread.,Moderate density of lamb's-quarters and nodding thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,SW 36-24-3,561.3 to 561.5,2457,Vegetation - Weeds,--,--,Moderate density of lamb's-quarters and common peppergrass observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,SW 36-24-3,561.6,2457,Vegetation - Rare Plant,"Few-flowered aster population extends along a 10 m x 20 m low wet area on the construction right-of-way at this location. The population was matted over with rig mats and a geotextile/subsoil ramp on Jun. 27, 2009. The corner stakes for the geotextile matting were:  E5660174 N408699  E5660182 N408700  E5660201 N408671  E5660201 N408677  The ramp was removed on Sep. 14, 2009 leaving the underlying vegetation intact.",Survival success of population.,"300-500 plants found, all around saline water body, for 130 m length and 25 m width.",Resolved,None.,,W3M,
40,SW 36-24-3,561.6 to 561.64,2457,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: no baseline assessment completed,Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (79%).  Weeds: none observed. Bare ground on right-of-way due to salt (alkali). Small amount of water ponding on right-of-way.,Unresolved,Monitor in 2011.,,W3M,
40,NE 25-24-3,563.2 to 563.3,2459,Vegetation - Weeds,--,--,Moderate density of nodding thistle and flixweed observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,NW 30-24-2,563.3 to 563.8,2460,Vegetation - Weeds,--,--,Moderate density of Russian thistle and flixweed observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,SW 30-24-2,564.1 to 564.3,2461,Vegetation - Weeds,--,--,Moderate density of nodding thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,SE 30-24-2,564.3 to 565.2,2462,Vegetation - Weeds,"Compressed air/shovel cleaning of equipment. Nodding thistle, leafy spurge and other weeds throughout W1/2 and SE 30-24-2 W3M.",Potential for weed introduction and spread.,Moderate density of nodding thistle and flixweed on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,NE 19-24-2,565.2 to 565.4,2463,Vegetation - Weeds,--,--,Moderate density of nodding thistle and flixweed observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
40,NW 20-24-2,565.4 to 566.3,2464 2465,Vegetation - Weeds,Compressed air/shovel cleaning of equipment before leaving Elbow PFRA.,Potential for weed introduction and spread.,Moderate density of nodding thistle and lamb's-quarters on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
41,SE 20-24-2,567.3,2467,Vegetation - Weeds,Compressed air/shovel cleaning of equipment at landowner's request due to leafy spurge and scentless chamomile throughout SE 20-24-2 W3M.,Potential for weed introduction and spread.,Moderate density of leafy spurge and lamb's-quarters on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
41,SW 21-24-2,567.4,2468,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W3M,
41,NE 16-24-2,568.5 to 568.9,2470,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W3M,
41,SE 15-24-2,570.85,2473,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: no baseline assessment completed,Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland is cultivated through and was not assessed for health.,Resolved,None.,,W3M,
41,NE 10-24-2,571.2,2473,Wetland Class Overall: n/a Wetland Class on right-of-way: n/a 2008 Health: no baseline assessment completed,Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland is cultivated through and was not assessed for health.,Resolved,None.,,W3M,
41,SE 1-24-2,575.2,2478,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Equipment cleaned before entering Crown owned native prairie.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
41,SW 6-24-1,576.0,2479,Vegetation - Rare Plant,"Thousands of bristly mousetail plants observed in an approximately 27 m x 20 m low, wet area on the south side of the construction right-of-way. The topsoil from the trench line where the population occurs was stripped and these soils were stored separately for replacement following construction. The portion of the population occurring on the work side of the construction right-of-way was matted with a geotextile/subsoil ramp on Jul. 4, 2009. The area of disturbance was narrowed down to access and trench line only. The ramp was removed on Sep. 19, 2009 leaving the underlying vegetation intact.",Survival success of population.,"46 clumps, with 2-5 plants, located within a 20 m spread, just south of the original population. Right-of-way was narrowed successfully to avoid population.",Resolved,None.,,W3M,
41,SW 6-24-1 to NE 31-23-1,575.3 to 577.2,2479 2480 2481,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Nodding thistle throughout S1/2 6-24-1 W3M and NE 31-23-1 W3M.,Potential for weed introduction and spread.,Moderate density of nodding thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
41,NW 32-23-1,577.8 to 577.94,2482,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: no baseline assessment completed,Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy (81%).,Resolved,None.,,W3M,
41,SW 33-23-1,579.2 to 579.3,2484,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (63%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (52%).,Resolved,None.,,W3M,
41,SW 33 & NW 28-23-1,579.2 to 580.0,2484 2485,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W3M,
42,NE/SE 28-23-1,581.0 to 581.1,2487,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: unhealthy (48%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (26%).,Resolved,None.,,W3M,
42,NE 22-23-1,583.1,2489,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Nodding thistle throughout NE 22-23-1 W3M.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
42,SW 24-23-1,585.1,2492,Vegetation - Weeds,Compressed air/shovel cleaning of equipment before entering native prairie.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
42,SE 13-23-1,586.4 to 586.9,2493.01 2493.02,Soils - Erosion,"Tackified the replaced topsoil on the construction right-of-way on both sides of the Iskwao Creek crossing, including 300 m along the west side of the crossing.",Potential erosion until vegetation has established.,Rill erosion at KP 586.4 on right-of-way. Poor vegetation establishment at KP 586.5 on right-of-way.,Unresolved,"Repair rill erosion in 2010, reseed and monitor grass growth in 2011.",,W3M,
42,SE 13-23-1,586.7,2493.01 2493.02,ITopography – Slopes Soils – Erosion Water Quality and Quantity skwao Creek (Tributary to Qu’Appelle River),Adhered to the instream RAP (April 1 – May 31). Appropriate vehicle crossing installed. Dry crossing - open cut. Recontoured bed and banks. Replaced salvaged instream substrate and vegetation. Seeded and straw crimped approach slopes. Maintained the riparian buffer along the narrowed portion of the construction right-of-way as well as along a portion of the channel paralleling the south side of the construction right-of-way.  Installed erosion control matting and silt fence on approaches.,Potential sedimentation until vegetation has established.,Poor vegetation establishment on both banks on right-of-way. Silt fencing damaged on southeast bank.,Unresolved,Reseed and monitor grass growth in 2011. Repair silt fencing on southeast bank.,,W3M,
42,SW 16-23-29,587.3 to 587.5,2494,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
42,NW 9-23-29,587.7,2495,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
42,NE 9-23-29,588.0,2495.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Nodding thistle throughout  NW 9-23-29 W2M.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
42,NE 9-23-29,588.0 to 589.0,2495.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
42,NW 10-23-29,589.0 to 589.1,2496,Vegetation - Weeds,--,--,Moderate density of nodding thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
42,SW 10-23-29,589.2,2497,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
42,SE 10-23-29,589.9 to 590.6,2497.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
42,SE 10-23-29,590.5,2497.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Nodding thistle throughout S1/2 10-23-29 W2M.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
42,NE 3-23-29,590.80 to 590.88,2498,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: no baseline assessment completed,Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (28%). Weeds: perennial sow thistle. Bare ground on right-of-way. Heavily disturbed by cattle.,Unresolved,Monitor in 2011.,,W2M,
42,NW 2-23-29,590.8 to 591.0,2499,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W2M,
42,SE 2-23-29,592.20 to 592.27,2501,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: no baseline assessment completed,Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: healthy with problems (63%). Weeds: creeping (Canada) thistle, perennial sow thistle. Undesirable species on right-of-way. Elevated trench crown (approx. 15 cm). Erosion (less than 5%). Bare ground on right-of-way. Surface water ponding on right-of-way.",Unresolved,Monitor in 2011.,,W2M,
42,SE 2-23-29,592.7,2501,Soils - Subsidence,--,--,Sink hole at edge of road observed on right-of-way during ground reconnaissance.,Unresolved,Repair sink hole and monitor in 2011.,,W2M,
42,SE 1-23-29,593.8,2502.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
42 to 43,SW 36-22-29,595.4 to 596.2,2506,Vegetation - Weeds,--,--,Moderate density of white cockle and nodding thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
42 to 43,SW 36-22-29,596.2,2506,UTopography – Slopes Soils – Erosion Water Quality and Quantity nnamed Creek (Tributary to Qu’Appelle River),Adhered to the instream RAP (April 1 – May 31). Appropriate vehicle crossing installed. Isolation crossing. Fish salvage conducted. Recontoured bed and banks. Replaced salvaged instream substrate and vegetation. Installed erosion control matting and silt fence on approaches.,Potential sedimentation until vegetation has established.,Poor vegetation establishment on both banks on right-of-way.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
43,SW 29-22-28,599.2 to 599.7,2512,Vegetation - Weeds,--,--,Moderate density of scentless chamomile observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
43,SE 21 to NE 16-22-28,602.3 to 602.9,2515.01 2516,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W2M,
43,SE 21-22-28,602.45 to 605.51,2515,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: healthy (80%),Stripped full width of construction right-of-way keeping wetland soils separate. Replaced wetland soils during clean-up.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: healthy with problems (63%). Weeds: creeping (Canada) thistle, perennial sow thistle. Landowner has cultivated through north half of right-of-way. Ponding on right-of-way determined to be natural.",Unresolved,Monitor in 2011.,,W2M,
43,SE 21-22-28,602.6,2515.01,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
43,N1/2 15-22-28,603.3 to 604.4,2517 2518,Soils - Admixing,Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W2M,
43,NW 15-22-28,604.0,2517,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Nodding thistle throughout NW 15-22-28 W2M.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
43,N 1/2 11-22-28,605.7 to 607.1,2521 2522,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,W2M,
43,NE 11-22-28,607.1,2522,Soils - Subsidence,--,--,Moderate subsidence observed on right-of-way during ground reconnaissance.,Unresolved,Repair subsidence in 2010 and monitor in 2011.,,W2M,
43,SW 12-22-28,607.15,2524,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
44,SW 5-22-27,611.0 to 611.6,2529,Vegetation - Weeds,--,--,Moderate density of kochia and lamb's-quarters observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,NW 32-21-27,611.6 to 612.0,2530,Vegetation - Weeds,--,--,"Moderate density of nodding thistle, false ragweed and lamb's-quarters on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,NE 32-21-27,612.50 to 612.56,2531,Wetland Class Overall: IV Wetland Class on right-of-way: n/a 2008 Health: unhealthy (58%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (51%). right-of-way has been seeded.,Resolved,None.,,W2M,
44,NE 32-21-27,612.7 to 612.76,2531,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: healthy with problems (68%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (69%).,Resolved,None.,,W2M,
44,NE 32-21-27,612.80 to 612.85,2532,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: unhealthy (58%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (61%).,Resolved,None.,,W2M,
44,SW 33-21-27,613.8 to 614.1,2533,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Leafy spurge.,Potential for weed introduction and spread.,"Moderate density of nodding thistle, kochia and lamb's-quarters on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,SE 33-21-27,614.1 to 614.2,2534,Vegetation - Weeds,--,--,"Moderate density of nodding thistle, kochia and lamb's-quarters observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,NE 28-21-27,614.2,2535,Soils - Erosion,--,--,Rill erosion observed on right-of-way during ground reconnaissance.,Unresolved,Repair rill erosion and monitor in 2011.,,W2M,
44,NE 28-21-27,614.3 to 614.5,2535,UTopography – Slopes Soils – Erosion Water Quality and Quantity nnamed Drainage (Tributary to Qu’Appelle River),Adhered to the instream RAP (April 1 – May 31). Appropriate vehicle crossing installed. Dry crossing - open cut.Recontoured bed and banks. Replaced salvaged instream substrate and vegetation. Installed silt fence on east side of crossing.,Potential erosion/ sedimentation until vegetation has established.,No erosion issues observed on right-of-way.,Resolved,None.,,W2M,
44,NE 28-21-27,614.3 to 614.5,2535,Vegetation – Weeds Unnamed Drainage (Tributary to Qu’Appelle River),--,--,Low density of scentless chamomile on southeast bank on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,NE 28-21-27 to SW 27-21-27,614.7 to 615.9,2535 2536 2536.01,Topography - Slopes,Slopes recontoured to preconstruction profile. Installed silt fence at approach to Unnamed Drainage.,Potential erosion/ sedimentation until vegetation has established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
44,NE 22-21-27,616.6 to 617.5,2537,Vegetation - Weeds,--,--,"Moderate density of flixweed, false ragweed and lamb's-quarters observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,NW 23-21-27,617.5 to 617.8,2538,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,W2M,
44,SW 23-21-27,617.8 to 618.1,2539,Vegetation - Weeds,--,--,"Moderate density of narrow-leaved hawk's-beard, false ragweed and lamb's-quarters observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,SW 23-21-27,617.90 to 617.94,2539,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy (86%),Narrowed the construction right-of-way. Installed a subsoil ramp with geotextile beneath for separation from the remaining organic layer. Topsoil over trench line was salvaged and replaced.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (52%). Weeds: perennial sow thistle. Bare ground on right-of-way. Rutting (5%). Landowner has cultivated wetland edge. Ponding on right-of-way due to lack of wetland vegetation.,Unresolved,Monitor in 2011,,W2M,
44,NW 13-21-27,619.8 to 620.1,2542,Vegetation - Weeds,--,--,High density of nodding thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,SW 13-21-27,620.1 to 620.7,2543,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Nodding thistle throughout W1/2 13-21-27 W2M.,Potential for weed introduction and spread.,Moderate density of nodding thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,NE 12-21-27,621.7,2545,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. End of Spread 5.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
44-50,NE 12-21-27 to  SW 31-16-20,621.7 to R 26.2,2545 to 2680.1,Vegetation – Reclamation,Grasshopper damage to cover crops observed in 2009.,Potential erosion until vegetation is established. Potential revegetation growth.,No issues observed on right-of-way.,Resolved,None.,,W2M,
44,NE 12-21-27,621.4 to 621.9,2545,Soils - Erosion,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
44,NE 12-21-27,621.4 to 621.9,2545,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,Moderate density of perennial sow thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44,NE 12-21-27,621.4 to 621.9,2545,Vegetation - Rare Plant,"Applied a straw buffer layer to the potential Philadelphia lily population to preserve the sod within the identified area during soil handling, soil storage and clean-up activities.",Success of mitigation and identification of the potential Philadelphia lily species by a Vegetation Resource Specialist.,All plants were observed in 2010. Species confirmed as Lilium philadelphicum var. andinum. Pipeline right-of-way was narrowed to successfully avoid population.,Resolved,None.,,W2M,
44,SW 8-21-26,624.0,2548,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,Moderate density of nodding thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
44 to 45,NW 5-21-26,624.0 to 624.9,2549,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for nodding thistle.,Potential for weed introduction and spread.,Moderate density of nodding thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
45,NE 5-21-26,624.9 to 625.3,2550,Vegetation - Weeds,--,--,Moderate density of nodding thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
45,SE 5-21-26,625.6,2550.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
45,SE 5-21-26,625.6 to 625.8,2550.01,Vegetation - Weeds,--,--,"Moderate density of kochia, lamb's-quarters and Canada fleabane observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
45,SE 33-20-26,628.1,2554,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for nodding thistle.,Potential for weed introduction and spread.,Moderate density of nodding thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
