Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4<s>th</s> Year (2017) PCRM Assessment and Work Completed,5<s>th</s> Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 20-106-12 W6,Treed Bog (25.40 to 25.60),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 19, 2017 - Treed Bog on ROW from KP 25+400 to 25+600 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW from appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SE 20-106-12 W6 to NE 17-106-12 W6,Treed Fen (25.60 to 26.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 19, 2017 - Treed Fen on ROW from KP 25+600 to 26+000 appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Fen on ROW appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - Noxious weeds were observed in wetland. Identified in a previous assessment. Herbicide application to take place on another date. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
NE 17-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 26+600 to 26+920 – Intermittent perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. July 26, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile, maintained buffer around watercourse crossing. Sept 23, 2016 - KP 26+750 – Perennial sow thistle identified (Low; 0 – 10 % cover), monitor in 2017 and implement control measures as required.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract.  - No noxious weeds were identified in tract. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract. August 17, 2017 – KP 26+600 to 26+870 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved. September 27, 2017 – No noxious weeds identified. Effective weed control observed, issue resolved.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - KP 26+860 to 26+900 – Perennial sow thistle observed intermittently, recommend herbicide application. - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed. Aug 9, 2018 – KP 26+860 to 26+900 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
,Unnamed tributary to Bivouac Creek (26.80) Moderate Vegetation Establishment,Vegetation on both slopes of this watercourse is recovering well and was observed to be on an appropriate trajectory. No erosion issues were observed. Sediment fencing required to remain in place. Monitor vegetation establishment and slope stability in 2015. Reseed if required. Removal of sediment fencing to be reassessed if required.,"July 19, 2016 - Good establishment of grasses, willows, alders and shrubs (High; 80 – 100 % vegetation cover compared to off right-of-way) assisting in the stabilization of soils along the steep slopes. Good remediation of Riparian area. Bed and banks are stable, no erosion or slumping identified. Marker posts loose / leaning on both sides of watercourse crossing, recommend repairs. Silt fence remaining on both sides of watercourse crossing, recommend removal July 23, 2016 - Removed sediment fence on both sides of watercourse, issue resolved. - KP 26+830 – Pipeline identification sign and marker posts repaired, issue resolved.","July 21, 2017 - Watercourse Crossing from KP 26+800 appears stable.  - Both banks exhibiting 80-100% vegetation cover with good establishment of grasses. - Bed of bank appears stable with no evident signs of erosion.","July 31, 2018 - Banks appear stable and vegetated well (80 – 100% compared to off ROW). - Signage and marker posts remain intact and straight.",,,
,Treed Bog (26.00 to 26.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 19, 2017 - Treed Bog on ROW from KP 26+000 to 26+300 appears to be at full, proper functionality. Fenced facilities located within wetland.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality. Fenced facilities located within wetland.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Treed Bog (26.40 to 26.73),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 19, 2017 - Treed Bog on ROW from KP 26+400 to 26+730 appears to be at full, proper functionality. Mounding present through wetland from KP 26+600 to 26+700. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality. Mounding present through wetland from KP 26+600 to 26+700. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Shrubby Swamp (26.80 to 26.87),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 19, 2017 - Shrubby Swamp on ROW from KP 26+800 to 26+870 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting drier conditions as indicated by deciduous dominated vegetation.  - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Shrubby Swamp on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species.  - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting drier conditions as indicated by deciduous dominated vegetation.  - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SE 17-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. July 23, 2016 – Intermittent perennial sow thistle present throughout tract (Low; 0 – 10 % cover), recommend implementation of control measures. July 26, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile (Low; 0 – 10 % cover).","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract. - No noxious weeds were identified in tract. All previous weed issues resolved. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract. August 17, 2017 - No noxious weeds were identified in tract. All previous weed issues resolved.","July 31, 2018 - Vegetation cover on the ROW is 80 - 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds observed on tract.  - No erosion or subsidence observed on tract  - Cross drains appear to be functioning with no ponding observed.",,,
SW 17-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - Intermittent areas along the workside with lower vegetation cover. Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved. July 23, 2016 – KP 23+700 – Intermittent perennial sow thistle present (Low; 0 – 10 % cover), recommend implementation of control measures. July 26, 2016 - 27+000 and 27+300 – Intermittent herbicide application to control scentless chamomile (Low; 0 – 10 % cover) and perennial sow thistle.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract. Previously identified areas of sparser vegetation growth on work side of ROW continue to show improved vegetation establishment, issue resolved. - No noxious weeds were identified in tract. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract. August 17, 2017 – KP 26+970 and 27+130 – Herbicide application conducted to control perennial sow thistle. Issue resolved. September 27, 2017 – No noxious weeds identified. Effective weed control observed, issue resolved.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, willows and alder trees.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
SW 17-106-12 W6 to NE 7-106-12 W6,Mixedwood Treed Swamp (27.80 to 28.08),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Swamp on ROW from KP 27+800 to 28+080 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids with deciduous tree/shrub species emerging across ROW. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting drier conditions as indicated by deciduous dominated vegetation.  - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Swamp on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids with deciduous tree/shrub species emerging across ROW. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting drier conditions as indicated by deciduous dominated vegetation.  - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SE 18-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. July 23, 2016 - KP 28+000 - Perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. July 26, 2016 – KP 28+000 – Herbicide application conducted to control perennial sow thistle.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract.  - No noxious weeds were identified in tract. All previous noxious weed issues resolved. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract. August 17, 2017 - No noxious weeds were identified in tract. All previous noxious weed issues resolved.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, willows and alder trees.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
NE 7-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). - Adequate cross drains present and functional – no ponding present. - Intermittent areas along the workside with lower vegetation cover (Moderate; 50 – 80 % vegetation cover compared to off right-of-way). Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved. - KP 28+275 – Marker posts loose / leaning, recommend repairs. Sept 23, 2016 - KP 28+240 – Pipeline identification sign and marker posts were repaired.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract. Previously identified areas of sparser vegetation growth on work side of ROW continues to show improved vegetation establishment, issue resolved. - No noxious weeds were identified in tract. All previous weed issues resolved. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, willows and alder trees.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - Marker post knocked over at KP 28+250, recommend repairs. - No soil stability, subsidence, erosion or ponding issues were identified within tract. Aug 9, 2018 – KP 28+250 – Marker post repaired, issue resolved.",,,
NE 7-106-12 W6,Treed Bog (28.10 to 28.27),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Bog on ROW from KP 28+100 to 28+270 appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Treed Bog (28.40 to 28.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Bog on ROW from KP 28+400 to 28+800 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Treed Bog (29.10 to 29.17),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Bog on ROW from KP 29+100 to 29+170 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
NW 7-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract.  - No noxious weeds were identified in tract. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, willows and alder trees.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
SW 7-106-12 W6,Treed Bog (29.20 to 29.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Bog on ROW from KP 29+200 to 29+300 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. - No noxious weeds were observed in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
SW 7-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). - Intermittent areas along the workside with lower vegetation cover (Moderate; 50 – 80 % vegetation cover compared to off right-of-way). Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.","July 21, 2017 – No vegetation issues observed. 2016 issue of lower vegetation cover resolved.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, common yarrow, raspberry, willows and alder trees. Planted lodgepole pine trees appear healthy and are establishing well in tract.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
SW 7-106-12 W6,Rare Plant (29.5),"One individual western Jacob’s-ladder (SU) was observed on July 30, 2014. Issue resolved.","July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). - Intermittent areas along the workside with lower vegetation cover (Moderate; 50 – 80 % vegetation cover compared to off right-of-way). Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.","July 21, 2017 – No vegetation issues observed. 2016 issue of lower vegetation cover resolved.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, common yarrow, raspberry, willows and alder trees. Planted lodgepole pine trees appear healthy and are establishing well in tract.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
