KP Range,Land Use,Issues Identified During Previous PCEM Programs,Note(s),Previous Recommendations,Status,Notes and Recommendations (2016),VEC,GIS,Topic
27.00 - 28.00,Unnamed Tributary to the Fort Nelson River,Vegetation – Establishment/ Physical Environment - Contouring,No issues observed with vegetation establishment from KP 27.49 to KP 27.59.,Monitor vegetation establishment.,Resolved,No further action.,,,
,Forested,Physical Environment – Contouring,Contouring does not match adjacent terrain at KP 27.66 and is affecting drainage. Ponding observed on ROW.,Monitor for erosion and vegetation establishment in 2016.,Resolved,No further action.,,,
,Forested,Vegetation - Weeds,One scentless chamomile plant observed at KP 27.63 (pulled by hand).,N/A,Resolved,No further action.,,,
28.00 - 29.00,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 28.00 to KP 29.00 affecting drainage and creating ponded areas along the west side of the crown.,Install breaks in trench crown and monitor in 2016.,Resolved,Continue to monitor for erosion and vegetation establishment.,,,
28.00 - 29.00,Forested,Physical Environment – Erosion,Large gully erosion (110 m long x 3 to 4 m wide x 2.5 m deep) from KP 28.16 to KP 28.28 partially eroding trench crown and associated with low vegetation.,Repair erosion and monitor in 2016.,Resolved,"Minor erosion present at KP 28.16 – 28.28. Further actions would increase erosion potential therefore, no further action.",,,
28.00 - 29.00,Forested,Physical Environment – Erosion,Gully erosion along trench crown (0.6 m wide x 0.3 m deep) from KP 28.79 to KP 28.95.,Repair erosion and monitor in 2016.,Resolved,No further action.,,,
28.00 - 29.00,Forested,Physical Environment – Rutting,Rutted section (20 m x 2 m) observed along western edge of ROW at KP 28.82,Repair rutting and monitor in 2016.,Resolved,"Rutting repaired, area well vegetated. No further action.",,,
29.00 - 30.00,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 29.00 to KP 30.00.,Install breaks in trench crown and monitor in 2016.,Resolved,Trench Breaks installed. No further action.,,,
29.00 - 30.00,Forested,Vegetation – Weeds,Low density narrow-leaved hawksbeard observed at KP 29.48.,Control weeds and monitor in 2016.,Resolved,No further action.,,,
29.00 - 30.00,Forested,Vegetation – Weeds,Low density perennial sow thistle observed from KP 29.25 - 29.38 and low density scentless chamomile observed at KP 29.63 during 2016 assessment.,N/A,Unresolved,Spray weeds unless within 30 m of wetland and then recommend hand pulling.,,,
,,Vegetation – Establishment/ Soil – Admixing,Low vegetation establishment from KP 29.00 to KP 29.20; area lacks significant topsoil.                                                                          Low vegetation establishment at KP 29.49 likely the result of soil admixing.,Monitor vegetation establishment in 2016.,Resolved,Vegetation growth is good in all areas. No further action.,,,
,,Physical Environment – Erosion,Minor gully erosion along NCD bed at KP 29.44 with fully vegetated banks.,Monitor in 2016.,Resolved,No further action.,,,
