Legal Location,1st Year (2013) Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 32-62-6 W6,High vegetation establishment,"June 23, 2014 - 75-80% vegetation cover on ROW compared to off ROW control. Areas along ROW exhibiting moderate vegetation cover possibly attributed to low, wet area. Vegetation consisting of clover, scouring rush, golden rod, bluebell and native grasses. - Area of relatively bare vegetation cover from KP 9+425 to KP 9+525. Continue to monitor - Minor ponding existing along ditchline from KP 8+975 to KP 8+995. Continue to monitor for ponding water extent.","June 26, 2015 Vegetation coverage approximately 80%, mostly grasses. - Diversion berms tied in from new construction are functioning but may require contouring. - - Some ponding water evident adjacent new construction – similar to off ROW. - Woody debris left in sections along ROW from adjacent construction.","June 27, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of wild flowers, grasses, clover and sedges. Area of reduced vegetation (KP 9+425 to 9+525) is no longer present, issue resolved. - No noxious weeds identified.  - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. Minor ponding previously noted is no longer evident, issue resolved. August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control.","June 22, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control.  - Cross drain functioning well, and well vegetated.  - KP 8+775 to KP 9+050 - meadow hawkweed observed, recommend herbicide application. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NE 32-62-6 W6,Watercourse crossing: unnamed tributary to Rat Creek - KP 9+557,"June 23, 2014 - stable at time of assessment. Vegetation starting to emerge through Dekawe material on both banks including willows. Minor subsidence on east bank with vegetation establishing. Minor subsidence on west bank with vegetation establishing. Good cobble distribution within tributary. Silt fence can be removed at this time. - Diversion berms function well along ROW with exceptional vegetation establishing. Willows starting to emerge along berms.  July 17, 2014 - Removed silt fence and installed pipeline sign at unnamed tributary to Rat Creek at KP 9+550. Issues resolved.","June 26, 2015 - banks are well vegetated appear stable. Minor subsidence on west bank is stable, issue resolved. - Excessive ATV rutting through water crossing to the North side of ROW.  - Minor ponding over ditchline but flow is not blocked. – continue to monitor.","June 27, 2016 - KP 9+550 -Unnamed Tributary to Rat Creek is stable and vegetated with moderate flow. No issues.","June 22, 2017 - 80 – 100% vegetation cover on banks of willows and grasses.  - Good cobble distribution and crib posts functioning well.  - Low flow observed through watercourse.",,,
NW 33-62-6 W6,High vegetation establishment,"June 23, 2014 - 70-75% vegetation cover on ROW compared to off ROW control. Vegetation on ROW consisting of native grasses, clover, golden rod and bluebell.","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. - Diversion berms tied in from new construction are functioning but may require contouring. - Some ponding water evident adjacent new construction. - Woody debris left in sections along ROW from adjacent construction.","June 27, 2016 - Vegetation is well established with desirable species throughout ROW. - Good establishment of wild flowers, grasses, clover and sedges.  - Good establishment of willows and vegetation in riparian area.  - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. - KP 9+950 to 10+000 – Tall buttercup found. Recommend herbicide application.  July 16, 2016 - KP 9+638 to 10+466, Intermittent herbicide application conducted to control tall buttercup  August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control.","June 22, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control.  - Cross drains functioning well, and well vegetated.  - KP 9+820 - meadow hawkweed observed, recommend herbicide application. - KP 9+890 to 10+000 - tall buttercup observed and handpicked, bagged and disposed of. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NW 33-62-6 W6,Watercourse crossing: Unnamed Tributary to Rat Creek,"June 23, 2014 - Unnamed tributary to Rat Creek - No subsidence, erosion or ponding issues occurring within tributary. Good vegetation establishment on both banks with willows starting to emerge. Amphibians using tributary as habitat. - Erosion rill existing slightly north of ditchline at KP 10+000. July 21, 2014 - Implemented straw waddle erosion control material within subsidence along ditchline (KP 10+000).","June 26, 2015 - Banks are well vegetated and appear stable. - Minor ponding over ditchline but flow is not blocked.  – continue to monitor.","June 27, 2016 Unnamed Tributary is stable and vegetated with minimal flow. No issues. - Erosion repaired at KP 10+000 is no longer evident, issue resolved.","June 22, 2017 – watercourse is stable.  - Banks show 80 – 100% vegetation growth of willows and grasses.  - Good cobble distribution and crib walls functioning well.",,,
NE 33-62-6 W6,High vegetation establishment,"July 3, 2014 - 70-75% vegetation cover on ROW compared to off ROW control. Several areas along ROW exhibiting thinner vegetation cover possibly attributed to recently disturbed soils. Vegetation consisting of clover, aven species, Indian paintbrush, bluebell and native grasses","June 26, 2015 - Vegetation coverage approximately 80%, mostly grasses. - Diversion berms tied in from new construction are functioning but may require contouring. - Some ponding water evident adjacent new construction. - Woody debris left in sections along ROW from adjacent construction.","June 27, 2016 - Vegetation is well established with desirable species throughout ROW. Vegetation cover issues noted in 2014 are no longer evident, issues resolved. - Good establishment of wild flowers, grasses, clover and sedges.  - Good establishment of willows and vegetation in riparian area.  - No erosion or subsidence issues.  - Cross drainages are vegetated and functioning. Ponding and woody debris noted in 2015 are no longer evident, issues resolved. August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control.","June 22, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control.  - Cross drain functioning well, and well vegetated.  - KP 10+500 to 10+660 and KP 11+000 to 11+270 - meadow hawkweed observed, recommend herbicide application. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NE 33-62-6 W6,Watercourse crossing: Long Lake Creek - KP 10+660,"July 3, 2014 - good vegetation growth through Dekawe material on both banks. No subsidence or erosion issues evident within crossing. Minimal flow of water observed at time of assessment. Silt fencing to be removed.  - Possible slumping along ditchline (KP 10+830) showing a significant amount of ponding water. Area around ponded water shows good vegetation establishment signifying stabilization. Continue to monitor. July 18, 2014 - Removed silt fence at unnamed tributary to Cutbank Creek on both east and west bank (KP 10+650), issue resolved. - Removed silt fence at KP 10+840.","June 26, 2015 - Banks are well vegetated and appear stable. - Minor ponding over ditchline but flow is not blocked. – continue to monitor.","June 27, 2016- Unnamed tributary to Cutbank River is stable and vegetated with minimal flow. Previously noted minor ponding/slumping is stable and not inhibiting flow, issue resolved. - Watercourse is missing marker posts and signage. August 4, 2016 - Repaired signs and posts at KP 10+660 and 11+100. Issue Resolved.","June 22, 2017 - Watercourse is stable.  - Banks show 80 – 100% vegetation growth of willows and grasses. - Good cobble distribution and crib posts functioning well.",,,
NW 34-62-6 W6,Low vegetation establishment,"July 3, 2014 - 70-75% vegetation cover on ROW compared to off ROW control. Areas along ROW exhibiting poor vegetation cover possibly attributed to recently disturbed soils. - Canada thistle present on ditchline from KP 11+360 to KP 11+340. - Minor water flow down ditchline (KP 11+840) Ground around and within erosion appears to have stabilized with vegetation and appropriate root depth. Continue to monitor.  July 21, 2014 – Mechanical control of Canada thistle. KP 11+340 to 11+380.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. Common weeds observed included horsetail and dandelion. Deciduous species are establishing on the ROW. Previously noted vegetation cover issues resolved. - Diversion berm/ditches are functioning and vegetating. - KP 11+274 – About 100m of coarse woody debris observed along the southern portion of the ROW from the adjacent new construction. Monitor. - KP 11+340 to 11+400 – Canada thistle was observed concentrated on ditch line. Recommend weed mitigation. - KP 11+360 and 11+600 –areas of reduced vegetative establishment was observed north of ditch line. The patch exhibited higher levels of moisture. Vegetative coverage was approximately 50%. Monitor. - KP 11+800 – New construction, adjacent to the south of ROW, has resulted in blocking a diversion ditch, causing ponding on ditch line.  - KP 12+000 – About 30m of coarse woody debris observed along the southern portion of the ROW from the adjacent new construction. Monitor.  July 14, 2015 – spot spraying completed from KP 11+274 to 12+000 to control Canada Thistle August 27, 2015 - Canada thistle at KP 11+340 unaffected by earlier herbicide application. Fall herbicide application recommended. September 18, 2015 – spot spraying completed to control Canada Thistle.","June 27, 2016 - Vegetation is well established with desirable species throughout ROW. All previously noted issues with vegetation cover are no longer evident, issues resolved. - Good establishment of wild flowers, grasses, clover and sedges.  - Good establishment of willows and vegetation in riparian area.  - No erosion or subsidence issues. - previously noted issues of woody debris (KP 11+274 and 12+000) and ponding (KP 11+800) are no longer evident, issues resolved. - Cross drainages are vegetated and functioning. - KP 11+340 – 11+400 - Patch of Canada thistle located, recommend herbicide application. July 16, 2016 – Intermittent herbicide application conducted to control Canada thistle from KP 11+274 to 12+100  August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control.","June 23, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs and willows throughout tract. Trench crown throughout tract is stable and vegetated well.  - No subsidence or erosion issues observed in tract. - KP 11+280 to 11+670 - meadow hawkweed observed, recommend herbicide application. - KP 11+380 to 11+430 - Canada thistle observed, recommend herbicide application. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and Canada thistle (KP 11+380 to 11+430) September 13, 2017 – meadow hawkweed and Canada thistle no longer present, issues resolved. - KP 11+760, perennial sow thistle observed and controlled via herbicide application. Issue resolved.",,,
,Watercourse crossing: Unnamed Tributary to Long Lake - KP 11+933,"July 3, 2014- (KP 11+950) appears to be stable at time of assessment with grasses emerging on both banks on path to resemble vegetation cover upstream and downstream of crossing. Minimal water flow through tributary at time of assessment. No subsidence or erosion issues evident. Erosion noted in 2013 at KP 12+700 no longer evident, issue resolved. July 18, 2014 - Removed silt fence at unnamed tributary to Long Lake at KP 11+950, issue resolved.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. Willow is establishing on the ROW. - Contouring and hydrology appear to be consistent with off ROW. Moderate water flow observed. - Water was clear, indicating an absence of sedimentation issues. - Banks appear to be defined and stabile. Revetment post and coir banks were functional. - Amphibians were noted. - Subsidence was not observed. - Rutting was observed north of the crossing.","June 27, 2016 - Unnamed tributary to Long Lake has excellent vegetation with willows establishing. Tributary is stable with moderate flow. Missing marker posts and signage at watercourse crossing.","June 23, 2-17 - Watercourse is stable. - Both banks show 80-100% vegetation cover. Good establishment of grasses and willows. - Revetment posts are stable and functioning well. - Bed is stable with low flow at time of assessment. No erosion issues observed. - Marker posts / sign repairs completed. Issue resolved.",,,
,Shrubby Swamp – KP 11+900,"July 3, 2014  Wetland (shrubby swamp) at KP 12+050 shows good re-‑establishment after disturbance. Sphagnum moss starting to establish within wetland. Depth of organic peat appears to be moderate at time of assessment. Expected to show great peat accumulation in subsequent years. No standing water present in wetland at time of assessment. No sedimentation / soil integrity issues within wetland. Amphibians and rodents present within wetland.","June 26, 2015 - Vegetative coverage approximately 90%, mostly grasses, clover and sphagnum. Willow establishing.  - Contouring and hydrology appears to be functional. High water level with moderate flow observed. - Water in the wetland was clear, indicating an absence of sedimentation issues. - Depth of peat appeared to be good. - Amphibians were noted.","June 27, 2016 - No issues noted.","June 23, 2017 - Shrubby swamp on ROW from KP 11+870 to 11+970 appears stable.  - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows and poplars throughout wetland. - Trench crown through wetland has naturally settled over the years but remains stable. - No significant ponding issues observed in wetland. - Uniform growth of vegetation indicates that substrate health has been maintained. - High water table and saturated soils indicate hydrology has been maintained. - Wetland is stable and at pre-construction functionality; shrubs and deciduous trees beginning to emerge through wetland to compare with off ROW species. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
NE 34-62-6 W6,Low vegetation establishment,"July 3, 2014 - ~80% vegetation established compared to off ROW. 2013 vegetation cover issue resolved. - Good vegetation establishment at KP 12+450 where sediment fencing has been installed.  - Minor bare patches present along ROW attributed to soil disturbance. - Nominal flows at time of assessment. - Water has ponded on ditchline at KP 12+100. Recommend installation of cross drain to avoid erosion at ditchline.","June 26, 2015 - Vegetative coverage approximately 85%, mostly grasses.  - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - Coarse woody debris observed along the southern portion of the ROW, at times stretching across ditch line. Likely from the adjacent new construction. Monitor. - KP 12+400 and 12+550 – Areas of reduced vegetative growth, monitor. - KP 12+650 – Silt fencing and diversion berm associated with adjacent new construction with ponding on ditch line. - KP 12+800 – Drainage off of adjacent new construction resulting in erosion across ROW. Erosion rill is vegetating. Monitor.","June 27, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of wild flowers, grasses, clover and sedges. Good establishment of willows and vegetation in riparian area. All previous vegetation cover issues resolved. - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. - All previously noted ponding (12+100 and 12+650), Intermittent subsidence, and issues with adjacent construction (coarse woody debris and drainage at 12+800) are no longer present. All issues resolved. August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control.","June 23, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs, pine saplings and willows throughout tract. - Trench crown is stable throughout tract - No subsidence or erosion issues observed. - Marker sign at KP 12+880 requires repairs. - KP 12+260 to 12+250, 12+450 to 12+650, 12+820 and 12+900 to 13+250 – meadow hawkweed observed, recommend herbicide application. July 14, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. - KP 13+210 – handpicked, bagged and disposed of 1 oxeye Daisy plant.  September 13, 2017 – meadow hawkweed and oxeye daisy no longer present, issues resolved. - KP 12+950, perennial sow thistle observed and controlled via herbicide application. Issue resolved. - Marker sign at KP 12+880 repaired, issue resolved.",,,
,Watercourse crossing: Unnamed Tributary to Rat Creek - KP 12+726,"July 3, 2014 - Watercourse crossing located at KP 12+700 is in good condition. July 18, 2014 - Removed plywood debris and silt fence on both north and south bank at unnamed tributary to Rat Creek (KP 12+700). Issues resolved. - Removed silt fence on east and west bank at cross drain (KP 12+450). Issue resolved.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. Willow is establishing on the ROW. - Contouring and hydrology appeared to be consist with off ROW. Moderate water flow observed. - Water was clear, indicating an absence of sedimentation issues. - Banks are defined and stabile. Revetment post and coir banks are functional. - Amphibians were noted. - Subsidence was not observed. - Rutting was observed north of the crossing. Signs of ATV activity noted.","June 27, 2016 - Tributary to Rat Creek has good vegetation with willows establishing. Tributary is stable with moderate flow. Rutting north of crossing no longer evident, issue resolved.","June 23, 2017 - Watercourse is stable.  - Both banks show 80-100% vegetation cover. Good establishment of broadleaf shrubs and willows on banks. - Revetment posts are stable and functioning well. - Bed is stable with good distribution of cobble. Moderate flow observed within watercourse. - No erosion or subsidence issues observed in watercourse.",,,
SW 35-62-6 W6,High vegetation establishment,"July 3, 2014 - 80-85% vegetation established compared to off ROW. - Minor bare patches present along ROW attributed to soil disturbance. - No noxious weeds observed during assessment. July 18, 2014 - Removed plywood debris (KP 13+760). Issue resolved.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. - Diversion berm/ditches are functioning and vegetating. - Signs of ATV activity were noted. - KP 13+340 – perennial sow thistle observed, concentrated around ditch line. Recommend weed control measures. July 14, 2015 – spot spraying completed from KP 13+275 to 14+180 to control perennial sow thistle. August 27, 2015 - Perennial sow thistle along ditch line unaffected by earlier herbicide application. Fall herbicide application recommended. September 18, 2015 – spot spraying completed to control perennial sow thistle.","June 27, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of wild flowers, grasses, clover and sedges. Previously noted vegetation over issues resolved. - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. August 3 and 5, 2016 – intermitted meadow hawkweed located and herbicide application conducted to control. Perennial sow thistle, no longer present, issue resolved.","June 23, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing.  - No erosion or subsidence. - Noxious weeds observed on tract.  - KP 13+270 and KP 13+450 to 13+550 - meadow hawkweed observed, recommend herbicide application. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 – meadow hawkweed no longer present, issue resolved. - KP 13+350, perennial sow thistle patch observed and controlled via herbicide application. Issue resolved. - KP 14+175, bull thistle individual observed and controlled via herbicide application. Issue resolved.",,,
NW 26-62-6 W6,Low vegetation establishment,"June 21, 2014 - 85-95% vegetation cover on ROW compared to off ROW control with few areas exhibiting thinner vegetation. Establishment of native grasses, scouring rush and clover along ROW. - No subsidence, erosion or contour issues present at time of assessment.","June 26, 2015 Vegetative coverage approximately 95%, mostly grasses.  - Diversion berm/ditches are functioning and vegetating. - Signs of ATV activity were noted.","July 2, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. Deciduous species established. All previously noted vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. - No noxious weeds were observed.  August 11, 2016 - Intermittent herbicide application conducted to control meadow hawkweed (KP 14+300), perennial sow thistle, and bull thistle.","June 12, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing.  - No erosion or subsidence on tract.  - Noxious weeds located on tract.  - KP 14+205 - bull thistle (1 plant) observed, recommend herbicide application July 14, 2017 – Handpicked, bagged and disposed of meadow hawkweed and bull thistle (KP 14+205). September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NE 26-62-6 W6,Low vegetation establishment,"June 21, 2014 - 65-75% vegetation cover on ROW compared to off ROW control. Good establishment of native grasses, scouring rush, bluebell, Indian paintbrush and clover on ROW. - Cable sling emerging from timbers embedded within soil (KP 14+675). Requires removal. - (KP 15+130) Drainages, diversion berms appear stable / no erosion at time of assessment. Appear to be relatively bare, beginning to vegetate. Continue to monitor. Drainage appears stable and well vegetated however slopes on either side remain thin in vegetation cover. Silt fencing remains on either side of drainage and is in need of repair. July 18, 2014 - Removed silt fence on both north and south bank of cross drain (KP 15+100). Issue resolved July 21, 2014 - Hand dug and exposed steel sling attached to buried rig mat KP 14+675. Could not be removed by hand. Garbage (timbers, sling, and mat) removed from the ROW during the winter construction of new parallel NGTL line, issue resolved.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses.  - Diversion berm/ditches are functioning and vegetating. - Signs of ATV activity were noted. Rutting was noted along the northern portion of the ROW. Rutting is vegetating. Monitor. - KP 14+675 – Previously observed cable sling and timbers have been removed but a large hole now remains. Recommend filling in with material from off ROW. August 19, 2015 - Backfilled hole left behind by the previous removal of a cable sling and timbers. Slightly roached to account for future settling. Issue resolved.","July 2, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. Deciduous species established. All previously noted vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. - Previously removed digging mat and hole reported is well vegetated and is meeting Land Use requirements. Issue resolved.  - No noxious weeds were observed. - Rutting note in 2015 is no longer evident, issue resolved. August 11, 2016 – Intermittent herbicide application conducted to control meadow hawkweed.","June 23, 2017 - 80-100% vegetation establishment throughout this tract, with good establishment of vetch, brome, timothy and clover.  - No evidence of erosion or slumping within this tract. Drainages and slopes are stable and well vegetated. - KP 14+830 –Meadow hawkweed observed, recommend herbicide application. July 14, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. - KP 15+350 – Handpicked, bagged and disposed of 1 SC plant. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
SE 26-62-6 W6,,"June 21, 2014 - 65-70% vegetation cover on ROW compared to off ROW control. Establishment of native grasses, scouring rush, clover, Indian paintbrush and bluebell. Significant amount of areas along ROW consisting of bare areas/less vegetation cover. - KP 15+600 - Marker post and warning sign down. Sign requires new hardware. - KP 15+670 - Ponding water and minor erosion. - KP 15+700 - Extensive area exhibiting poor vegetation establishment, continue to monitor. - KP 15+800 - Ponded water on work side of ROW, possibly attributed to poor drainage. Cattails establishing within ponded area.","June 26, 2015 - Vegetative coverage approximately 95%, mostly grasses. - Diversion berm/ditches are functioning and vegetating. - Signs of ATV activity were noted. - Periodic areas of reduced vegetation, erosion and coarse woody debris. All areas are vegetating. Monitor. - KP 15+420 – Reduced vegetation, due to recent construction of a pipeline crossing. Monitor. - KP 15+600 – Pipeline marker is down. Recommend replacing the hardware to fasten the sign. - KP 15+670 – Previously reported ponding on north ROW observed. Ponding noted at KP 15+800 is no longer evident, issue resolved. - KP 15+700 to 16+000–Large amount of coarse woody debris noted. Monitor for vegetation establishment. August 19, 2015 – reset pipeline marker and fixed sign at KP 15+600. Issue resolved","July 2, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. Deciduous species established. All previously noted vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. - No noxious weeds were observed.  - Previously noted areas of ponding (KP 15+670), erosion, and coarse woody debris are no longer evident, issues resolved. August 11, 2016 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle.","June 23, 2017 - 80-100% vegetation establishment throughout the majority of this tract, with good establishment of vetch, brome timothy and clover. - KP 15+390 and KP 15+470 to 15+440 – Meadow hawkweed observed, herbicide application recommended. July 14, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 18+800) September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
