Quarter Section,Tract,Land Use,Land ID,2014 Issue,2015 Issue,2016 Issue,2016 Recommendation,2017 Issue,2017 Recommendation,2018 Issue,2018 Recommendation,Recommendation Rationale,Year 5 PCEM Status,VEC,GIS,Topic
SE 16‐13‐24 W3M,BESK‐0157.0,Improved Pasture,LAND ID 174,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
NE 10‐13‐24 W3M,BESK‐0160.0,Improved Pasture,LAND ID 177,Weed concern,‐‐‐,Weed concern_1,Repair Year 3,Weed concern_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 10‐13‐24 W3M,BESK‐0161.2,Native prairie,LAND ID 178,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Repair,Not expected to recover without repair.,REPAIR,,,
SE 10‐13‐24 W3M,BESK‐0161.2,Native prairie,LAND ID 178,‐‐‐,Vegetation establishment_1,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Cattle compounded issue.,REPAIR,,,
SE 10‐13‐24 W3M,BESK‐0161.2,Native prairie,LAND ID 178,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,Resolved,No issues.,REPAIR,,,
NE 3‐13‐24 W3M,BESK‐0162.1,Native prairie,LAND ID 179,‐‐‐,Vegetation establishment_1,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
NE 35‐12‐24 W3M,BESK‐0166.0,Native prairie,LAND ID 183,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Repair Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NE 35‐12‐24 W3M,BESK‐0166.0,Native prairie,LAND ID 183,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,Repair,Not expected to recover without repair.,REPAIR,,,
SW 20‐12‐23 W3M,BESK‐0176.0,Native prairie,LAND ID 193,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
SE 20‐12‐23 W3M,BESK‐0177.0,Native prairie,LAND ID 194,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Repair Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
SE 20‐12‐23 W3M,BESK‐0177.0,Native prairie,LAND ID 194,‐‐‐,Vegetation establishment_1,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
SE 20‐12‐23 W3M,BESK‐0177.0,Native prairie,LAND ID 194,‐‐‐,‐‐‐,Weed concern_2,Repair Year 3,Weed concern_2,Monitor Year 5,Weed concern_2,Resolved,No further action required.,REPAIR,,,
SE 20‐12‐23 W3M,BESK‐0178.0,Native prairie,LAND ID 195,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 16‐12‐23 W3M,BESK‐0180.0,Native prairie,LAND ID 197,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 16‐12‐23 W3M,BESK‐0181.0,Native prairie,LAND ID 198,Weed concern,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 15‐12‐23 W3M,BESK‐0185.0,Native prairie,LAND ID 202,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 15‐12‐23 W3M,BESK‐0185.0,Native prairie,LAND ID 202,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NW 1‐12‐23 W3M,BESK‐0191.0,Native prairie,LAND ID 208,‐‐‐,Seed mix/Land use,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Seed mix/Land use,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
SE 1‐12‐23 W3M,BESK‐0193.0,Native prairie,LAND ID 210,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Repair,Not expected to recover without repair.,REPAIR,,,
NE 31‐11‐22 W3M,BESK‐0196.0,Hay,LAND ID 215,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NE 31‐11‐22 W3M,BESK‐0196.0,Hay,LAND ID 215,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Repair,Not expected to recover without repair.,REPAIR,,,
NE 21‐11‐22 W3M,BESK‐0204.0,Improved Pasture,LAND ID 226,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 22‐11‐22 W3M,BESK‐0205.0,Native prairie,LAND ID 227,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
NW 22‐11‐22 W3M,BESK‐0205.0,Native prairie,LAND ID 227,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Site visit,Resolved,No issues.,MONITOR,,,
SW 22‐11‐22 W3M,BESK‐0206.0,Native prairie,LAND ID 228,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 22‐11‐22 W3M,BESK‐0207.0,Cultivated,LAND ID 229,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 22‐11‐22 W3M,BESK‐0207.0,Cultivated,LAND ID 229,Weed concern,‐‐‐,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,No further action required.,RESOLVED,,,
SE 22‐11‐22 W3M,BESK‐0207.0,Cultivated,LAND ID 229,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NW 12‐11‐22 W3M,BESK‐0213.0,Native prairie,LAND ID 235b,Weed concern,‐‐‐,Weed concern_1,Monitor year 4,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,No further action required.,RESOLVED,,,
NW 12‐11‐22 W3M,BESK‐0213.0,Native prairie,LAND ID 235b,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,No further action required.,RESOLVED,,,
NW 12‐11‐22 W3M,BESK‐0213.0,Hay,LAND ID 236,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
NW 12‐11‐22 W3M,BESK‐0213.0,Hay,LAND ID 236,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NW 12‐11‐22 W3M,BESK‐0213.0,Hay,LAND ID 236,Seed Catch,Vegetation establishment_1,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,No further action required.,RESOLVED,,,
SW 7‐11‐21 W3M,BESK‐0216.0,Cultivated,LAND ID 239,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 7‐11‐21 W3M,BESK‐0216.0,Cultivated,LAND ID 239,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Land under fallow,RESOLVED,,,
SW 7‐11‐21 W3M,BESK‐0216.0,Cultivated,LAND ID 239,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Land under fallow,RESOLVED,,,
SW 7‐11‐21 W3M,BESK‐0217.0,Cultivated,LAND ID 240,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 7‐11‐21 W3M,BESK‐0217.0,Cultivated,LAND ID 240,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 7‐11‐21 W3M,BESK‐0217.0,Cultivated,LAND ID 240,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NW 6‐11‐21 W3M,BESK‐0218.0,Cultivated,LAND ID 241,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Land under fallow,MONITOR,,,
NW 6‐11‐21 W3M,BESK‐0218.0,Cultivated,LAND ID 241,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
NE 6‐11‐21 W3M,BESK‐0219.0,Improved Pasture,LAND ID 243,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
SE 6‐11‐21 W3M,BESK‐0220.0,Improved Pasture,LAND ID 244,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
SW 5‐11‐21 W3M,BESK‐0221.0,Improved Pasture,LAND ID 245,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
NE 31‐10‐21 W3M,BESK‐0222.1,Native prairie,LAND ID 246,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NW 31‐10‐21 W3M,BESK‐0222.0,Native prairie,LAND ID 247,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 31‐10‐21 W3M,BESK‐0222.0,Native prairie,LAND ID 247,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NW 32‐10‐21 W3M,BESK‐0223.0,Native prairie,LAND ID 248,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
SW 32‐10‐21 W3M,BESK‐0224.0,Native prairie,LAND ID 249,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
SW 32‐10‐21 W3M,BESK‐0225.0,Native prairie,LAND ID 250,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,No Further Action Recommended.,Conditions stable,MONITOR,,,
SW 32‐10‐21 W3M,BESK‐0225.0,Native prairie,LAND ID 250,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Monitor,Confirm conditions are stable.,MONITOR,,,
NW 29‐10‐21 W3M,BESK‐0226.0,Native prairie,LAND ID 251,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
NE 29‐10‐21 W3M,BESK‐0227.0,Native prairie,LAND ID 252,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
SE 29‐10‐21 W3M,BESK‐0228.0,Native prairie,LAND ID 253,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
SW 28‐10‐21 W3M,BESK‐0229.0,Native prairie,LAND ID 254,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
SW 28‐10‐21 W3M,BESK‐0229.0,Native prairie,LAND ID 254,‐‐‐,‐‐‐,Weed concern_2,Repair Year 3,Weed concern_2,Monitor Year 5,Weed concern_2,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 21‐10‐21 W3M,BESK‐0230.0,Native prairie,LAND ID 255,‐‐‐,Weed concern_1,Weed concern_1,No Further Action Recommended.,‐‐‐,‐‐‐,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 21‐10‐21 W3M,BESK‐0230.0,Native prairie,LAND ID 255,‐‐‐,‐‐‐,Weed concern_2,Repair Year 3,Weed concern_2,Monitor Year 5,Weed concern_2,No Further Action Recommended.,Conditions stable,REPAIR,,,
NE 21‐10‐21 W3M,BESK‐0231.0,Hay,LAND ID 257,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
NE 21‐10‐21 W3M,BESK‐0231.0,Improved Pasture,LAND ID 258,Weed concern,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
SE 21‐10‐21 W3M,BESK‐0232.0,Improved Pasture,LAND ID 259,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
SE 21‐10‐21 W3M,BESK‐0232.0,Improved Pasture,LAND ID 259,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SW 14‐10‐21 W3M,BESK‐0237.0,Improved Pasture,LAND ID 264,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
NE 11‐10‐21 W3M,BESK‐0239.0,Cultivated,LAND ID 266,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 11‐10‐21 W3M,BESK‐0239.0,Cultivated,LAND ID 266,‐‐‐,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 12‐10‐21 W3M,BESK‐0241.0,Cultivated,LAND ID 268,‐‐‐,Subsidence_1,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
SW 12‐10‐21 W3M,BESK‐0241.0,Cultivated,LAND ID 268,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 4,Weed concern_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 1‐10‐21 W3M,BESK‐0244.0,Cultivated,LAND ID 271,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 31‐9‐20 W3M,BESK‐0246.0,Cultivated,LAND ID 273,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 31‐9‐20 W3M,BESK‐0246.0,Cultivated,LAND ID 273,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 31‐9‐20 W3M,BESK‐0247.0,Cultivated,LAND ID 274,Contouring,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 31‐9‐20 W3M,BESK‐0247.0,Cultivated,LAND ID 274,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SE 31‐9‐20 W3M,BESK‐0248.0,Improved Pasture,LAND ID 275b,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
NE 30‐9‐20 W3M,BESK‐0249.0,Improved Pasture,LAND ID 276,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 29‐9‐20 W3M,BESK‐0250.0,Cultivated,LAND ID 277,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 29‐9‐20 W3M,BESK‐0250.0,Cultivated,LAND ID 277,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 29‐9‐20 W3M,BESK‐0251.0,Cultivated,LAND ID 278b,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,MONITOR,,,
NE 29‐9‐20 W3M,BESK‐0251.0,Cultivated,LAND ID 278b,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,MONITOR,,,
,,,,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,,,,
,,,,‐‐‐,‐‐‐,"Erosion (wind, water)_2",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_2",No Further Action Recommended.,Issue expected to improve with agricultural practices.,,,,
SW 28‐9‐20 W3M,BESK‐0253.0,Native prairie,LAND ID 280,‐‐‐,Subsidence_1,Subsidence_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_1,Repair,Not expected to recover without repair.,REPAIR,,,
SW 28‐9‐20 W3M,BESK‐0253.0,Native prairie,LAND ID 280,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,REPAIR,,,
SW 28‐9‐20 W3M,BESK‐0253.0,Native prairie,LAND ID 280,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_2,Monitor Year 5,Subsidence_2,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,REPAIR,,,
SW 28‐9‐20 W3M,BESK‐0253.0,Native prairie,LAND ID 280,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Monitor,Confirm conditions are stable.,REPAIR,,,
SE 28‐9‐20 W3M,BESK‐0254.0,Native prairie,LAND ID 281,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
NE 21‐9‐20 W3M,BESK‐0255.0,Native prairie,LAND ID 282,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue not recommended for repair.,REPAIR,,,
NE 21‐9‐20 W3M,BESK‐0255.0,Native prairie,LAND ID 282,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,REPAIR,,,
NE 21‐9‐20 W3M,BESK‐0255.0,Native prairie,LAND ID 282,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue not recommended for repair.,REPAIR,,,
NE 21‐9‐20 W3M,BESK‐0255.0,Native prairie,LAND ID 282,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,ESC,Repair,Not expected to recover without repair.,REPAIR,,,
NE 21‐9‐20 W3M,BESK‐0255.1,Native prairie,LAND ID 283,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 22‐9‐20 W3M,BESK‐0257.0,Native prairie,LAND ID 284,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",Repair,Not expected to recover without repair.,REPAIR,,,
NW 22‐9‐20 W3M,BESK‐0257.0,Native prairie,LAND ID 284,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 22‐9‐20 W3M,BESK‐0257.0,Native prairie,LAND ID 284,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Repair,Not expected to recover without repair.,REPAIR,,,
NE 22‐9‐20 W3M,BESK‐0258.0,Native prairie,LAND ID 285,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SE 22‐9‐20 W3M,BESK‐0259.0,Native prairie,LAND ID 286,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 23‐9‐20 W3M,BESK‐0260.0,Native prairie,LAND ID 287,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,REPAIR,,,
SW 23‐9‐20 W3M,BESK‐0260.0,Native prairie,LAND ID 287,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Repair,Not expected to recover without repair.,REPAIR,,,
NE 14‐9‐20 W3M,BESK‐0262.0,Native prairie,LAND ID 289,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Site visit,Resolved,No issues.,RESOLVED,,,
NW 13‐9‐20 W3M,BESK‐0263.0,Native prairie,LAND ID 290,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_2,Repair,Not expected to recover without repair.,REPAIR,,,
NW 13‐9‐20 W3M,BESK‐0263.0,Native prairie,LAND ID 290,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,REPAIR,,,
NW 13‐9‐20 W3M,BESK‐0263.0,Native prairie,LAND ID 290,‐‐‐,Vegetation establishment_1,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 13‐9‐20 W3M,BESK‐0263.0,Native prairie,LAND ID 290,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Resolved,No issues.,REPAIR,,,
NW 13‐9‐20 W3M,BESK‐0263.0,Native prairie,LAND ID 290,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,No Further Action Recommended.,Issue not recommended for repair.,REPAIR,,,
NW 13‐9‐20 W3M,BESK‐0263.0,Native prairie,LAND ID 290,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_3,Resolved,No issues.,REPAIR,,,
SW 13‐9‐20 W3M,BESK‐0264.0,Improved Pasture,LAND ID 292,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 13‐9‐20 W3M,BESK‐0264.0,Improved Pasture,LAND ID 292,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,No further action required.,RESOLVED,,,
NW 7‐9‐19 W3M,BESK‐0267.0,Cultivated,LAND ID 295,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 7‐9‐19 W3M,BESK‐0268.0,Cultivated,LAND ID 296,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 32‐8‐19 W3M,BESK‐0247.0,Native prairie,LAND ID 302,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_2,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
NE 32‐8‐19 W3M,BESK‐0274.1,Cultivated,LAND ID 303,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
