Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 3-107-12 W6 to  NE 33-106-12 W6,Treed Bog (19.50 to 21.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Good vegetation establishment throughout tract.",,,
SW 3-107-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Good vegetation establishment throughout tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NE 33-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.",,,
NW 33-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good establishment of grasses, willows, alders and shrubs assisting in the stabilization of soils along the steep slopes.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. July 22, 2016 - KP 21+355 – Perennial sow thistle was identified, recommend implementation of control measures. July 25, 2016 - KP 21+355 – Herbicide application conducted to control perennial sow thistle.",,,
NW 33-106-12 W6,21.50 (Little Buffalo River) Erosion,"South bank of watercourse appears stable; no erosion issues observed. Erosion issues observed on north side: riling observed on each side of the trench crown starting at the top of the upper slope. Repairs are scheduled to commence February 2015. The grade will be established, erosion controls will be installed and the area will be seeded.","July 19, 2016 - Diversion berms are stable and well vegetated – no erosion identified.  2014 issue (repaired in 2015) resolved. - Pipeline sign and marker posts require repairs - Coir lifts and banks are stable – minimal slumping evident.  Banks are vegetating well – no erosion identified.  Sediment deposit from high water flow observed on upper banks.  Silt fencing remains in place on both sides of the watercourse, recommend removal. July 22, 2016 - Removed silt fence north and south side, issue resolved. Sept 23, 2016 - KP 21+500 and 21+550 – Pipeline identification sign and marker posts repaired.",,,
SW 33-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Good establishment of grasses, willows, alders and shrubs along steep slope - Diversion berms are stable and well vegetated. - Adequate cross drains present and functional – no ponding present. July 25, 2015 – KP 22+020 – Herbicide application conducted to control perennial sow thistle.",,,
SW 33-106-12 W6,Treed Bog 22.10 to 22.50)  Wetland observed to be on the trajectory of reaching pre-construction functional,"condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 28-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. Sept 23, 2016 - KP 22+570 – Pipeline identification sign and marker posts repaired.",,,
NW 28-106-12 W6,Treed Bog (22.60 to 22.70),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 28-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. July 23, 2016 - KP 23+470 – Perennial sow thistle identified, recommend implementation of control measures. July 25, 2016 – KP 23+470 – Herbicide application conducted to control perennial sow thistle.",,,
SW 28-106-12 W6,Treed Bog (23.50 to 23.70),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 28-106-12 W6 to NW 21-106-12 W6,Treed Bog (24.00 to 24.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 21-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. July 23, 2016 - KP 24+760 – Perennial sow thistle identified, recommend implementation of control measures.  July 25, 2016 – KP 24+760 – Herbicide application conducted to control perennial sow thistle.",,,
NW 21-106-12 W6,Treed Bog (24.40 to 24.60),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NE 20-106-12 W6,Seasonal Emergent Marsh (24.80 to 25.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - This entire tract is comprised of wetland; grasses, cattails and bulrushes compose the majority of the vegetation within the wetland area – good establishment of vegetation - Adequate cross drains present, accommodating the migration of water – no ponding present.",,,
NE 20-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"Low/moderate vegetation noted in 2014 is no longer evident, issue resolved.",,,
NE 20-106-12 W6,Bivouac Creek (24.90) Moderate Vegetation Establishment,Moderate vegetation establishment observed on the north and south sides of the watercourse. Vegetation on both slopes of this watercourse is recovering well and was observed to be on an appropriate trajectory. No erosion issues were observed. Remove sediment fencing as soon as practical. Monitor vegetation establishment and slope stability in 2015. Sediment fencing removal scheduled to commence in February 2015.,"July 19, 2016 - Pipeline marker posts loose/leaning - Silt fence remains on both sides of the watercourse crossing; adequate vegetation present, recommend removal. - The pipeline crossing location within this tract exists within a beaver pond flood plain.  The majority of this tract is submerged beneath water. July 23, 2016 - Removed sediment fence on both sides of beaver complex (KP 24+900), issue resolved. Sept 23, 2016 - KP 24+970 – Pipeline identification sign and marker posts repaired.",,,
SE 20-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - Vegetation along grade cut (sloped section of right of way – KP 25+600), has reduced vegetation cover compared to the remainder of the right of way– vegetation continuing to establish, no secondary issues has arisen (eg. erosion) – issue resolved. - KP 25+450 – Pipeline identification sign and marker posts loose / leaning, recommend repairs. July 23, 2016 - KP 25+790 – Perennial sow thistle identified, recommend implementation of control measures. July 25, 2016 – KP 25+790 – Herbicide application conducted to control perennial sow thistle. Sept 23, 2016 - KP 25+330 and 25+450– Pipeline identification signs and marker posts repaired. - KP 25+350 - Perennial sow thistle identified, monitor in 2017 and implement control measures as required.",,,
SE 20-106-12 W6,Treed Bog (25.40 to 25.60),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SE 20-106-12 W6 to NE 17-106-12 W6,Treed Fen (25.60 to 26.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NE 17-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 26+600 to 26+920 – Intermittent perennial sow thistle identified, recommend implementation of control measures. July 26, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile, maintained buffer around watercourse crossing. Sept 23, 2016 - KP 26+750 – Perennial sow thistle identified, monitor in 2017 and implement control measures as required.",,,
NE 17-106-12 W6,Unnamed tributary to Bivouac Creek (26.80) Moderate Vegetation Establishment,Vegetation on both slopes of this watercourse is recovering well and was observed to be on an appropriate trajectory. No erosion issues were observed. Sediment fencing required to remain in place. Monitor vegetation establishment and slope stability in 2015. Reseed if required. Removal of sediment fencing to be reassessed if required.,"July 19, 2016 - Good establishment of grasses, willows, alders and shrubs assisting in the stabilization of soils along the steep slopes.  Good remediation of Riparian area.  Bed and banks are stable, no erosion or slumping identified.  Marker posts loose / leaning on both sides of watercourse crossing, recommend repairs.  Silt fence remaining on both sides of watercourse crossing, recommend removal July 23, 2016 - Removed sediment fence on both sides of watercourse, issue resolved. - KP 26+830 – Pipeline identification sign and marker posts repaired, issue resolved.",,,
NE 17-106-12 W6,Treed Bog (26.00 to 26.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NE 17-106-12 W6,Treed Bog (26.40 to 26.73),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NE 17-106-12 W6,Shrubby Swamp (26.80 to 26.87),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SE 17-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. July 23, 2016 – Intermittent perennial sow thistle present throughout tract, recommend implementation of control measures. July 26, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.",,,
SW 17-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved. July 23, 2016 – KP 23+700 – Intermittent perennial sow thistle present, recommend implementation of control measures. July 26, 2016 - 27+000 and 27+300 – Intermittent herbicide application to control scentless chamomile and perennial sow thistle.",,,
SW 17-106-12 W6 to NE 7-106-12 W6,Mixedwood Treed Swamp (27.80 to 28.08),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SE 18-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. July 23, 2016 - KP 28+000 - Perennial sow thistle identified, recommend implementation of control measures. July 26, 2016 – KP 28+000 – Herbicide application conducted to control perennial sow thistle.",,,
NE 7-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Adequate cross drains present and functional – no ponding present. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved. - KP 28+275 – Marker posts loose / leaning, recommend repairs. Sept 23, 2016 - KP 28+240 – Pipeline identification sign and marker posts were repaired.",,,
NE 7-106-12 W6,Treed Bog (28.10 to 28.27),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NE 7-106-12 W6,Treed Bog (28.40 to 28.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NE 7-106-12 W6,Treed Bog (29.10 to 29.17),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 7-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
SW 7-106-12 W6,Treed Bog (29.20 to 29.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 7-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
SW 7-106-12 W6,Rare Plant (29.5),"One individual western Jacob’s-ladder (SU) was observed on July 30, 2014. Issue resolved.",,,,
,Chasm Creek (29.70) Erosion,"Erosion has occurred at the diversion berm located mid/lower slope on the north side of the watercourse causing a break in the diversion berm in two spots. This was repaired by the EI during the assessment, however, further monitoring should occur to ensure stability of the slope Repairs scheduled for completion in February 2015. The grade will be re-established, erosion controls will be repaired and the slope we be reseeded.","July 19, 2016 - Considerable establishment of grasses, willows, alders and shrubs assisting in the stabilization of soils along the steep slopes.- Diversion berms are stable and well vegetated – no erosion identified.  Rollback aiding in the mitigation of erosion along slopes.  Erosion noted in 2014 is no longer present, issue resolved.  - Coir lifts and banks are stable – minimal slumping evident.  Banks are well vegetated – good establishment of grasses and willows.  Marker posts loose / leaning, recommend repairs.  Silt fence remaining on both sides of the watercourse, recommend removal. July 23, 2016 - KP 29+600 – erosion identified within temporary workspace, repairs recommended. KP 29+800 – Intermittent perennial sow thistle present, recommend implementation of control measures. - Removed sediment fence, issue resolved. July 26, 2016 – KP 29+800 - Intermittent spot spraying conducted to control perennial sow thistle. Sept 23, 2016 - Pipeline identification signs and marker posts repaired, issue resolved. Sept 24, 2016 - KP 29+600 – Erosion repaired, installed erosion control materials.",,,
,Shrubby Swamp (29.60 to 29.70),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 6-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (e.g. erosion), issue resolved.",,,
NW 6-106-12 W6,unnamed tributary to Chasm Creek (30.60) Low Vegetation Establishment,"Low vegetation establishment observed on the north and south sides of the watercourse. Vegetation beginning to establish. No erosion issues observed. Sediment fencing required to remain in place. Monitor vegetation establishment and slope stability in 2015, reseed if required. Removal of sediment fencing to be reassessed if required.","July 19, 2016 – Banks are stable and well vegetated – good establishment of grasses and willows, 2014 low vegetation issue resolved.  Marker posts loose / leaning, recommend repairs.  Silt fence remaining on both sides of the watercourse, recommend removal. July 23, 2016 - KP 30+700 – Perennial sow thistle identified, recommend implementation of control measures. - KP 30+725 - Erosion along the west side of ditchline, recommend repairs. - Silt fence removed from both sides of Creek, issue resolved. July 26, 2016 – Intermittent spot spraying conducted to control perennial sow thistle. Sept 23, 2016 - Pipeline identification sign and marker posts repaired, issue resolved. Sept 24, 2016 - KP 30+725 – Erosion repaired with installation of erosion control materials.",,,
SW 6-106-12 W6,Open Water Pond (30.60 to 30.70),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 6-106-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (e.g. erosion), issue resolved. - Adequate cross drains present and functional – no ponding present.",,,
SW 6-106-12 W6,Treed Bog (31.10 to 31.40),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
,Treed Bog (31.60 to 31.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 31-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Adequate cross drains present and functional – no ponding present. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved. Sept 23, 2016 - KP 32+080 – Pipeline identification sign and marker posts repaired",,,
NW 31-105-12 W6,Treed Bog (32.10 to 32.40),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NW 31-105-12 W6 to SW 31-105-12 W6,Treed Fen (32.40 to 32.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 31-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Adequate cross drains present and functional – no ponding present. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
SW 31-105-12 W6,Unnamed tributary to Beaverskin Creek/Beaver Dam Complex (33.1) Sediment Fencing,"High vegetation cover, fencing to be removed as soon as practical. Scheduled for removal commencing February 2015.","July 19, 2016 - Marker posts require repairs. - Silt fence remaining on both sides of the watercourse crossing, recommend removal. July 23, 2016 - Removed sediment fence from both sides of beaver complex (KP 33+100), issue resolved. Sept 23, 2016 - Pipeline identification signs and marker posts repaired.",,,
SW 31-105-12 W6 to NW 30-105-12 W6,Mixedwood Treed Swamp (33.00 to 33.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NW 30-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. - Adequate cross drains present and functional – no ponding present. - Intermittent areas along the workside with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved. Sept 23, 2016 - KP 33+680 – Pipeline identification sign and marker posts repaired.",,,
NW 30-105-12 W6,Treed Bog (33.80 to 33.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 30-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Vegetation well established; Low/moderate vegetation noted in 2014 is no longer present, issue resolved. July 23, 2016 - KP 34+780 – Scentless chamomile plants were identified, recommend implementation of control measures. July 26, 2016 – KP 34+780 – Herbicide application conducted to control scentless chamomile.",,,
SW 30-105-12 W6,Open Water Pond (34.40 to 34.45),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Vegetation well established",,,
SW 30-105-12 W6,Seasonal Emergent Marsh (34.70 to 34.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 19, 2016 - Vegetation well established",,,
SW 30-105-12 W6,Beaverskin Creek (34.90) Low/Moderate Vegetation Establishment,"Low/Moderate vegetation establishment observed on the north and south sides of the watercourse. Vegetation on both slopes of this watercourse is recovering well and was observed to be on an appropriate trajectory. No erosion issues were observed. Sediment fencing required to remain in place. Monitor vegetation establishment and slope stability in 2015, reseed if required. Removal of sediment fencing to be reassessed if required","July 19, 2016 -  Silt fence present on both sides of Creek, recommend removal - KP34+880 - Signs and post fallen, recommend repairs. July 23, 2016 - One Ox-Eye Daisy was picked/bagged and disposed of between channels of Beaverskin Creek. - Removed sediment fence from both sides of creek, issue resolved.",,,
NW 19-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation re-establishment; Low/moderate vegetation noted in 2014 is no longer present, issue resolved. July 26, 2016 – KP 35+000 – Herbicide application conducted to control scentless chamomile. Sept 23, 2016 - KP 34+930 – Pipeline identification sign and marker posts repaired.",,,
NW 19-105-12 W6,Shrubby Fen (35.10 to 35.60),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 19-105-12 W6 to SW 19-105-12 W6,Treed Bog (35.60 to 35.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 19-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Unnamed Tributary to Beaverskin Creek KP36+400 - Cross ditch functioning well - Banks stable, but influenced by water back flooded by beaver dams - Silt fence to be removed from both sides, Sign/marker posts fallen, recommend repairs. - Area very wet due to beaver dam complex. July 24, 2016 - Removed sediment fence from both sides of creek, issue resolved. Sept 24, 2016 - Pipeline identification sign and marker posts repaired, issue resolved.",,,
SW 19-105-12 W6,Shrubby Swamp (36.20 to 36.36),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
,Open Water Pond (36.40 to 36.44),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 18-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
NW 18-105-12 W6,Shrubby Fen (36.90 to 37.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
