Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 4-79-10,Hayland,Moderate erosion issue,"May 25, 2014 - Berm on east end of ¼ has no vegetation, seeding required. - No subsidence observed  - No weeds observed - Landowner has disked ROW, but it is rough. Erosion issue at KP 7+900 has been resolved due to the landowner disking the ROW. Surface drainage issue at KP 8+000 resolved due to the landowner disking the ROW. - Surface drainage (ponding)/microtopography issue resolved. June 23, 2014 – Landowner worked ROW reseeded and harROWed.  ROW its rough with linear depressions running east-west due to farming direction.","June 2, 2015 – Access not granted by landowner.  TransCanada Land Department was notified. October 3, 2015 – Partial assessment completed from nearby road allowance, as landowner denied access. –Alfalfa and grasses have begun gROWing throughout ¼ and are in the juvenile stage.","June 27, 2016 - 100% vegetation cover of off-ROW. Seeded to Alfalfa, Brome, and Timothy.  Previous vegetation cover issues resolved. - KP 8+100 and 8+500, Canada thistle observed. Recommend weed control after haying. Weeds controlled mechanically by haying. - No erosion or subsidence observed in 1/4","May 27, 2017 - Vegetation establishment is 80 - 100% comparable to off ROW control. Good establishment of grasses and alfalfa. - Canada thistle and perennial sow thistle (KP 8+400 to 8+430observed.  Recommend weed control. - KP 8+560 – subsidence observe, recommend repairs.  - Emergent marsh from KP 8+310 to 8+570 is stable and filled with water. Good willow and bulrush establishment around perimeter of wetland. Good aquatic vegetation establishment showing maintained hydrology.  - Emergent marsh from KP 8+670 to 8+750 stable. Farmer trail separates wetland. Hydrology maintained via good grass and aquatic vegetation establishment.  August 14, 2017 - Previously noted Canada thistle and perennial sow thistle controlled by Landowner haying operations, issues resolve. - KP 8+635 – Subsidence observed, repairs recommended. - KP 8+530 to 8+550, Canada thistle observed, recommend weed control. August 22, 2017 - KP 8+530 to 8+550 – Herbicide application conducted to control Canada thistle. August 23, 2017 - KP 8+560 and 8+635 – subsidence repairs completed, issues resolved.",,,
NE 4-79-10,Cultivated,"Moderate surface drainage (ponding), microtopography (low area) issue and moderate vegetation issue","May 25, 2014 - Berm on east end of ¼ has no vegetation, seeding required. - No subsidence observed  - No weeds observed - Landowner has disked ROW, but it is rough. Erosion issue at KP 7+900 has been resolved due to the landowner disking the ROW. Surface drainage issue at KP 8+000 resolved due to the landowner disking the ROW. - Surface drainage (ponding)/microtopography issue resolved. June 23, 2014 – Landowner worked ROW reseeded and harROWed.  ROW its rough with linear depressions running east-west due to farming direction.","June 2, 2015 – Access not granted by landowner.  TransCanada Land Department was notified. October 3, 2015 – Partial assessment completed from nearby road allowance, as landowner denied access. –Alfalfa and grasses have begun gROWing throughout ¼ and are in the juvenile stage.","June 27, 2016 - 100% vegetation cover of off-ROW. Seeded to Alfalfa, Brome, and Timothy.  Previous vegetation cover issues resolved. - KP 8+100 and 8+500, Canada thistle observed. Recommend weed control after haying. Weeds controlled mechanically by haying. - No erosion or subsidence observed in 1/4","May 27, 2017 - Vegetation establishment is 80 - 100% comparable to off ROW control. Good establishment of grasses and alfalfa. - Canada thistle and perennial sow thistle (KP 8+400 to 8+430observed.  Recommend weed control. - KP 8+560 – subsidence observe, recommend repairs.  - Emergent marsh from KP 8+310 to 8+570 is stable and filled with water. Good willow and bulrush establishment around perimeter of wetland. Good aquatic vegetation establishment showing maintained hydrology.  - Emergent marsh from KP 8+670 to 8+750 stable. Farmer trail separates wetland. Hydrology maintained via good grass and aquatic vegetation establishment.  August 14, 2017 - Previously noted Canada thistle and perennial sow thistle controlled by Landowner haying operations, issues resolve. - KP 8+635 – Subsidence observed, repairs recommended. - KP 8+530 to 8+550, Canada thistle observed, recommend weed control. August 22, 2017 - KP 8+530 to 8+550 – Herbicide application conducted to control Canada thistle. August 23, 2017 - KP 8+560 and 8+635 – subsidence repairs completed, issues resolved.",,,
NE 4-79-10,Cultivated,High vegetation issues,"May 25, 2014 - Berm on east end of ¼ has no vegetation, seeding required. - No subsidence observed  - No weeds observed - Landowner has disked ROW, but it is rough. Erosion issue at KP 7+900 has been resolved due to the landowner disking the ROW. Surface drainage issue at KP 8+000 resolved due to the landowner disking the ROW. - Surface drainage (ponding)/microtopography issue resolved. June 23, 2014 – Landowner worked ROW reseeded and harROWed.  ROW its rough with linear depressions running east-west due to farming direction.","June 2, 2015 – Access not granted by landowner.  TransCanada Land Department was notified. October 3, 2015 – Partial assessment completed from nearby road allowance, as landowner denied access. –Alfalfa and grasses have begun gROWing throughout ¼ and are in the juvenile stage.","June 27, 2016 - 100% vegetation cover of off-ROW. Seeded to Alfalfa, Brome, and Timothy.  Previous vegetation cover issues resolved. - KP 8+100 and 8+500, Canada thistle observed. Recommend weed control after haying. Weeds controlled mechanically by haying. - No erosion or subsidence observed in 1/4","May 27, 2017 - Vegetation establishment is 80 - 100% comparable to off ROW control. Good establishment of grasses and alfalfa. - Canada thistle and perennial sow thistle (KP 8+400 to 8+430observed.  Recommend weed control. - KP 8+560 – subsidence observe, recommend repairs.  - Emergent marsh from KP 8+310 to 8+570 is stable and filled with water. Good willow and bulrush establishment around perimeter of wetland. Good aquatic vegetation establishment showing maintained hydrology.  - Emergent marsh from KP 8+670 to 8+750 stable. Farmer trail separates wetland. Hydrology maintained via good grass and aquatic vegetation establishment.  August 14, 2017 - Previously noted Canada thistle and perennial sow thistle controlled by Landowner haying operations, issues resolve. - KP 8+635 – Subsidence observed, repairs recommended. - KP 8+530 to 8+550, Canada thistle observed, recommend weed control. August 22, 2017 - KP 8+530 to 8+550 – Herbicide application conducted to control Canada thistle. August 23, 2017 - KP 8+560 and 8+635 – subsidence repairs completed, issues resolved.",,,
NE 4-79-10,Watercourse,High noxious weed issue,"May 25, 2014 - Watercourse looks good, no issues, recommend removal of silt fence - ROW west of watercourse has been worked and reseeded, vegetation is 70-80% of off ROW, continue to monitor June 21, 2014 – KP 7+925, Berm reseeded.  – KP 8+750, Repair required on berm washout.  Berm repaired.  Additional erosion control materials installed and area reseeded.  – KP 8+550, Removed silt fence on both sides of unnamed creek.  Issue resolved. - Noxious weeds no longer present, issue resolved.","Could not be assessed due to landowner denying access.  Monitor in 2016, pending access approval by landowner.","June 27, 2016 - KP 8+550, banks are well vegetated and stable. Previous erosion repairs are successful, issue resolved. - Canada thistle observed on banks. Recommend weed control. - Post marker on east and west sides of creek require repairs. October 9, 2016 – marker posts repaired, issue resolved.","May 27, 2017 - Unnamed creek at KP 8+550 showed considerable flow due to recent rainfall. Bed and banks appear stable with good establishment of willows on both banks. Crib wall functioning well. Canada thistle present, recommend weed control. August 14, 2017 - KP 8+550, sign on west side of watercourse requires repairs. August 22, 2013 – Weed control conducted for Canada thistle, issue resolved. August 23, 2017 – KP 8+550 – Sign repaired, issue resolved.",,,
NW 4-79-10,Hayland,"High surface drainage (ponding), microtopography (low area) issue and, moderate vegetation issue High surface drainage (ponding) and Microtopography (low area) issue","May 25, 2014 - Landowner has disked ROW, but the east hay field is rough. - 3 patches of light soil conditions noted. - West hay field, grade looks good - No subsidence - No weeds at time of assessment June 19, 2014 - Landowner is happy with the current condition of the ROW and does not feel there needs to be any dirt work done.  Therefore microtopography/drainage issues noted in 2013 at KP 8+950, 9+025, 9+100, and 9+300 are resolved. June 21 – 23, 2014 – KP 14+800, Uneven, rough berm - berm smoothed with rake, then reseeded. – KP 9+210, Fence wires reinstalled, space left for gate.","June 2, 2015 – Vegetation estimated to be 30% of off ROW control. Consisting mostly of alfalfa, and brome grasses.  Monitor in 2016 to ensure reduced vegetation cover is not persistent. – Occurrences of Canada thistle noted, not affecting land capability. Continue to monitor.  – Cross drainage at KP 9+212 is re-vegetating and functional. - Bell hole subsidence near range road crossing at approximately KP 9+450, repairs recommended. July 29, 2015 - Large patch of Canada thistle was noted at KP 9+100, recommend herbicide application. - Subsidence repaired at KP 9+450, the area was harROWed and seeded, monitor in 2016. July 31, 2015 – Intermittent herbicide application conducted. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. Sept. 25, 2015 – Herbicide application conducted to control Canada thistle.","June 27, 2016 - 100% vegetation cover of off-ROW.  2015 vegetation cover issue resolved. - No noxious weeds observed. - KP 9+180, reduced vegetation cover area observed on south side of ROW. Recommend seeding area after haying.  - KP 9+450 - 2015 subsidence repairs look good and stable. Issue resolved. - KP 9+425, possible subsidence observed, but tall hay crop and wet ground conditions make it difficult to assess. Recommend re-assessing after hay cut. August 19, 2016 - Hay on west side of ¼ has been cut and baled. Haying on east side of ¼ is in progress. Assessed subsidence - KP 9+425, intermittent subsidence observed, appears to be impeding hay operations as area would be very rough when going across with equipment. Recommend repairs. - Repairs could not be completed due to weather conditions in 2016.  Repair in 2017.","December 22, 2016 - KP 9+425 – topsoil placed in anticipation of spring subsidence repairs. May 27, 2017 - Hay bales present on west half of ¼. - KP 9+180 – Reduced vegetation cover noted in 2016 is no longer present, issue resolved. - KP 9+330 - Canada thistle observed, recommend weed control July 4, 2017 – KP 9+330 – Canada thistle controlled through Landowner haying operations. July 12, 2017 – KP 9+425 – subsidence repairs completed, issue resolved.",,,
,,"Moderate surface drainage (ponding), microtopography (low area) issue","the current condition of the ROW and does not feel there needs to be any dirt work done.  Therefore microtopography/drainage issues noted in 2013 at KP 8+950, 9+025, 9+100, and 9+300 are resolved. June 21 – 23, 2014 – KP 14+800, Uneven, rough berm - berm smoothed with rake, then reseeded. – KP 9+210, Fence wires reinstalled, space left for gate.","functional. - Bell hole subsidence near range road crossing at approximately KP 9+450, repairs recommended. July 29, 2015 - Large patch of Canada thistle was noted at KP 9+100, recommend herbicide application. - Subsidence repaired at KP 9+450, the area was harROWed and seeded, monitor in 2016. July 31, 2015 – Intermittent herbicide application conducted. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. Sept. 25, 2015 – Herbicide application conducted to control Canada thistle.","stable. Issue resolved. - KP 9+425, possible subsidence observed, but tall hay crop and wet ground conditions make it difficult to assess. Recommend re-assessing after hay cut. August 19, 2016 - Hay on west side of ¼ has been cut and baled. Haying on east side of ¼ is in progress. Assessed subsidence - KP 9+425, intermittent subsidence observed, appears to be impeding hay operations as area would be very rough when going across with equipment. Recommend repairs. - Repairs could not be completed due to weather conditions in 2016.  Repair in 2017.","July 4, 2017 – KP 9+330 – Canada thistle controlled through Landowner haying operations. July 12, 2017 – KP 9+425 – subsidence repairs completed, issue resolved.",,,
,,"High surface drainage (ponding), microtopography (low area) issue, moderate vegetation issue","the current condition of the ROW and does not feel there needs to be any dirt work done.  Therefore microtopography/drainage issues noted in 2013 at KP 8+950, 9+025, 9+100, and 9+300 are resolved. June 21 – 23, 2014 – KP 14+800, Uneven, rough berm - berm smoothed with rake, then reseeded. – KP 9+210, Fence wires reinstalled, space left for gate.","functional. - Bell hole subsidence near range road crossing at approximately KP 9+450, repairs recommended. July 29, 2015 - Large patch of Canada thistle was noted at KP 9+100, recommend herbicide application. - Subsidence repaired at KP 9+450, the area was harROWed and seeded, monitor in 2016. July 31, 2015 – Intermittent herbicide application conducted. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. Sept. 25, 2015 – Herbicide application conducted to control Canada thistle.","stable. Issue resolved. - KP 9+425, possible subsidence observed, but tall hay crop and wet ground conditions make it difficult to assess. Recommend re-assessing after hay cut. August 19, 2016 - Hay on west side of ¼ has been cut and baled. Haying on east side of ¼ is in progress. Assessed subsidence - KP 9+425, intermittent subsidence observed, appears to be impeding hay operations as area would be very rough when going across with equipment. Recommend repairs. - Repairs could not be completed due to weather conditions in 2016.  Repair in 2017.","July 4, 2017 – KP 9+330 – Canada thistle controlled through Landowner haying operations. July 12, 2017 – KP 9+425 – subsidence repairs completed, issue resolved.",,,
NE 5-79-10,Cultivated,Moderate vegetation issues,"May 25, 2014 - No subsidence observed - No weeds observed. - Vegetation gROWth 70-80% of off ROW  - patch of reduced vegetation cover (50%) at 10+300, monitor  - 9+900 rill erosion across ROW,  August 26, 2014 - Landowner to work field to address erosion, monitor in 2015.","June 2, 2015 – Field has recently been seeded.  – No noxious weeds noted. – Contouring of ROW matches natural topography. – Soil color and texture is consistent with off ROW control.  - No visible issue with vegetation gROWth noted at KP 10+300, issue resolved. - Erosion no longer present at KP 9+900, issue resolved. October 4, 2015 – ¼ is in Oats and has not been harvested at this time. – No visible signs of weeds in Oat field itself.  – Canada Thistle was found at the west edge of the field at KP 9+560.  Recommend spot spraying.  October 5, 2015 – Herbicide application conducted to control Canada thistle.","June 27, 2016 - 100% vegetation cover of off-ROW. Field has been seeded to cereal crop.  - Canada thistle patches observed on and off-ROW.  Weeds will be managed by Landowner through farming operations (off and on ROW). - KP 9+560 – Canada thistle issue no longer evident, issue resolved. - No subsidence or erosion observed in 1/4","May 27, 2017 - Canada thistle present throughout entire ¼; on and off ROW. Entire ¼ appears to have been sprayed last year. No work required. - Removed silt fence debris at east edge of ROW at KP 10+500, issue resolved. - No erosion of subsidence issues evident in tract.",,,
NW 5-79-10,Cultivated,"Moderate surface drainage (low area, ponding) issue, moderate vegetation establishment issue","May 25, 2014 - No subsidence observed - No weeds observed - Vegetation cover 80-90% of off ROW,  - 10+750, minor rill erosion not affecting land use, continue to monitor - 11+040, low area ponding water on south side of ROW affecting vegetation gROWth, re contour. June 20, 2014 – north fence of ROW removed by Landowner. – Ponding area noted at 11+040 is not an issue with Landowner as low area was present prior to construction.  No Work required, issue resolved.","June 3, 2015 – Access not granted by landowner.  TransCanada Land Department was notified. – Assessment was done from range road, using binoculars. - Vegetation looks to be comparable to off ROW control. - Providing landowner approval is granted, monitor vegetation gROWth at KP 10+850.","June 27, 2016 - 100% vegetation cover of off-ROW.  Vegetation issues noted in 2014 (KP 11+040; ponding water) and 2015 (KP 10+850) are no longer present, issues resolved. - Cattle grazing evident. - No noxious weeds observed - No erosion observed, erosion rill noted in 2014 (KP 10+750), issue resolved. - KP 10+650, subsidence observed, although not impacting land use or recovery of the ROW.  Issue resolved.","May 27, 2017 - Vegetation cover 100% comparable to off ROW control. Cattle grazing during time of assessment. - No weed issues evident in tract.",,,
NW 5-79-10,Watercourse,Moderate vegetation issue High noxious weed issue,"May 25, 2014 - Watercourse looks good, vegetation 90-100% of off ROW (2013 issue resolved), observed dead thistle plants on slopes down to creek, but did not see any new gROWth at time of assessment (issue resolved).","June 3, 2015 - Access not granted by landowner.  TransCanada Land Department was notified. – Assessment was done from range road, using binoculars. – Diversion berms seem well vegetated and stable on hill slope. Cribbed bank wraps appear in functioning condition along tributary. Cobble drainage ditch is stable with vegetation establishing throughout.","June 27, 2016 Henderson Creek - Creek bed and crib walls appear to have held up well during recent heavy rainfall/flooding and appear stable.  - Recent heavy rainfall/flooding has left trees/deadwood across water course, damaging sign and marker posts; has, damaged silt fences and disturbed established vegetation. Recommend repairs.  - Plastic erosion control material observed on east bank. Recommend removing material.  - Canada thistle observed on hillslopes east and west of Creek. Recommend weed control. July 19, 2016 – Weed control conducted to control Canada thistle. September 2, 2016 - repaired sign and marker posts and removed trees/deadfall and damaged silt fence, and reseeded area.  Issues resolved. October 9, 2016 – Plastic erosion control material removed, issue resolved.","May 27, 2017 - Henderson creek at KP 11+100 stable with vegetation establishing well on both banks. Crib walls and Dekawe matting functioning well. Willows emerging from within crib walls with grasses and other broadleaf plants emerging. Diversion berms leading to creek functioning well and well-vegetated. - Synthetic matting present on both banks of creek; recommend removal of matting as no longer providing function. July 4, 2017 – Removed all synthetic matting and seeded these areas, issue resolved. - Canada thistle observed and controlled, issue resolved.",,,
NE 6-79-10,Pasture,High noxious weed issue,"May 27, 2014 - 80-90% Vegetation cover of off ROW - Based on vegetation coverage issues noted at 11+400 and 11+600 are resolved. - No subsidence observed.  Ponding/microtography issue is no longer present, issue resolved. - Minor weeds at time of assessment (Canada thistle), continue to monitor - Cattle grazing ROW at time of assessment - Drainage at 11+850 Vegetation cover 80% of off ROW.","June 3, 2015 – Access not granted by landowner.  TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Cattle grazing throughout pasture. – Fence along ROW on south side.","June 28, 2016 - 90-100% of vegetative cover compared to off-ROW. - Cattle grazing evident throughout ¼ - Canada thistle observed. Recommend weed control. - KP 11+600 to 11+625, area with reduced vegetation observed. The area is used as a cattle trail between ¼’s and cattle trampling is preventing vegetation from establishing. Any repairs will not be effective while cattle trail is in use. Issue resolved. - No erosion observed. - KP 11+900, intermittent subsidence observed that is well-vegetated and stable. Subsidence is consistent with general roughness in pasture observed off-ROW. No work required, issue resolved.  July 19, 2016 – Intermittent herbicide application conducted to control Canada thistle.","May 27, 2017 - Vegetation cover 95-100% off ROW control. Tract from KP 11+650 to 11+850 recently worked by Landowner. Evidence of recent cattle crazing in tract. - No noxious weeds evident throughout tract. No further work required, all previous issues resolved.",,,
NE 6-79-10,Pasture,"High surface drainage (ponding), microtopography (low area) issue","May 27, 2014 - 80-90% Vegetation cover of off ROW - Based on vegetation coverage issues noted at 11+400 and 11+600 are resolved. - No subsidence observed.  Ponding/microtography issue is no longer present, issue resolved. - Minor weeds at time of assessment (Canada thistle), continue to monitor - Cattle grazing ROW at time of assessment - Drainage at 11+850 Vegetation cover 80% of off ROW.","June 3, 2015 – Access not granted by landowner.  TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Cattle grazing throughout pasture. – Fence along ROW on south side.","June 28, 2016 - 90-100% of vegetative cover compared to off-ROW. - Cattle grazing evident throughout ¼ - Canada thistle observed. Recommend weed control. - KP 11+600 to 11+625, area with reduced vegetation observed. The area is used as a cattle trail between ¼’s and cattle trampling is preventing vegetation from establishing. Any repairs will not be effective while cattle trail is in use. Issue resolved. - No erosion observed. - KP 11+900, intermittent subsidence observed that is well-vegetated and stable. Subsidence is consistent with general roughness in pasture observed off-ROW. No work required, issue resolved.  July 19, 2016 – Intermittent herbicide application conducted to control Canada thistle.","May 27, 2017 - Vegetation cover 95-100% off ROW control. Tract from KP 11+650 to 11+850 recently worked by Landowner. Evidence of recent cattle crazing in tract. - No noxious weeds evident throughout tract. No further work required, all previous issues resolved.",,,
NE 6-79-10,Pasture,Moderate vegetation issues,"May 27, 2014 - 80-90% Vegetation cover of off ROW - Based on vegetation coverage issues noted at 11+400 and 11+600 are resolved. - No subsidence observed.  Ponding/microtography issue is no longer present, issue resolved. - Minor weeds at time of assessment (Canada thistle), continue to monitor - Cattle grazing ROW at time of assessment - Drainage at 11+850 Vegetation cover 80% of off ROW.","June 3, 2015 – Access not granted by landowner.  TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Cattle grazing throughout pasture. – Fence along ROW on south side.","June 28, 2016 - 90-100% of vegetative cover compared to off-ROW. - Cattle grazing evident throughout ¼ - Canada thistle observed. Recommend weed control. - KP 11+600 to 11+625, area with reduced vegetation observed. The area is used as a cattle trail between ¼’s and cattle trampling is preventing vegetation from establishing. Any repairs will not be effective while cattle trail is in use. Issue resolved. - No erosion observed. - KP 11+900, intermittent subsidence observed that is well-vegetated and stable. Subsidence is consistent with general roughness in pasture observed off-ROW. No work required, issue resolved.  July 19, 2016 – Intermittent herbicide application conducted to control Canada thistle.","May 27, 2017 - Vegetation cover 95-100% off ROW control. Tract from KP 11+650 to 11+850 recently worked by Landowner. Evidence of recent cattle crazing in tract. - No noxious weeds evident throughout tract. No further work required, all previous issues resolved.",,,
NW 6-79-10,Pasture,Moderate erosion issue High noxious weed issue,"May 27, 2014 - 80-90% Vegetation cover of off ROW - No subsidence observed  - No Weeds observed, 2013 weed issue resolved. - Cattle grazing ROW - Drainages, vegetation coverage 80% of off ROW control.","June 3, 2015 – Access not granted by tenant.  TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – No ROW fence present.","June 28, 2016 – Cultivated portion has 100% of vegetative cover compared to off-ROW. - Canada thistle throughout on and off ROW. Landowner to control with farming operations. - Intermittent watercourse is well-vegetated and appears stable. Very little surface water observed. - No erosion or subsidence observed in this portion of ROW Pasture section - 80-90% of vegetative cover compared to off-ROW  - Cattle grazing evident - Canada thistle observed. Recommend weed control. - No erosion was observed.  2013 erosion resolved. - KP 12+750, intermittent subsidence observed that is well-vegetated and stable. Subsidence is consistent with general roughness in pasture observed off-ROW. No work required, issue resolved. July 27, 2016 - Canada thistle observed at increased density. Recommend weed control. - KP 12+860 - Sign post requires repairs. July 29, 2016 – Herbicide application conducted to control Canada thistle. August 9, 2016 – Sign post repaired, issue resolved.","May 27, 2017 – Cultivated section  - Vegetation density within the pipeline ROW is slightly lower than off ROW conditions, with heavy livestock grazing having an impact on establishing clover and grasses.  Canada thistle is present in an abundance throughout this portion of the tract, on and off ROW, no work required, issue resolved.  Drainage crossings within this portion exhibit minimal flow – functioning appropriately. - Pasture section - Heavily grazed.  This portion of the ROW exhibits good establishment of grasses throughout. - There is no fencing along the ROW boundaries in this tract. - KP 12+040 to 12+360 and 12+590 – Canada thistle observed, recommend weed control. July 20, 2017 - KP 12+040 to 12+360 and 12+590 – Herbicide application conducted to control Canada thistle.  Issue resolved.",,,
NE 1-79-11,Forested,High noxious weed issue,"May 27, 2014 - 90-100% Vegetation cover of off ROW - No subsidence observed • No Weeds observed, 2013 issue resolved. - Erosion rill 13+000, repairs required. - Berm at 13+550, limited vegetation cover on the north end. - 70-80% vegetation of off ROW on work side, continue to monitor June 19, 2014 – KP 13+000, erosion repaired by hand and seeded.  – KP 13+550, berm reseeded.  Installed erosion control. – Removed metal stakes from existing straw waddles at throughout ¼.  Issue resolved  June 20, 2014 – Occupant removed south ROW fence on ¼.","June 3, 2015 – Vegetation is 100 % of off ROW control, consisting of alfalfa, clover, brome and orchard grass.  –Canada thistle noted at densities lower than off ROW control. Continue to monitor thistle. – Fence present on north side of ROW. – ROW contour matches natural topography. – At KP 13+000 and 13+550 erosion rill exists. Repairs recommend. – At KP13+400 previously installed erosion control materials required repair. – KP14+550 erosion, repairs recommended. July 7, 2015 – Erosion repairs and seeding completed at KP 13+000, KP 13+400, KP 13+550, and 14+550. October 4, 2015 – Grazed by cattle over the summer months. – Patches of Canada Thistle noted throughout ¼.  Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.","June 28, 2016 - 90-100% of vegetative cover compared to off-ROW  - Cattle grazing evident - No noxious weeds observed. - 2015 erosion repairs at KP 13+000 and KP 13+550 are vegetating well and appear stable. Issues resolved. - KP 13+400, 2015 erosion repair area, erosion materials have been displaced by cattle.  Replace/repair as needed. - KP 14+550 – erosion no longer evident, issue resolved. - No subsidence observed. July 27, 2016 - Canada thistle observed. Recommend weed control.  July 29, 2016 – Intermittent herbicide application conducted to control Canada thistle. August 9, 2016 – KP 13+400 - repaired and replaced erosion control materials.","May 28, 2017 - Vegetation establishment 95-100% cover compared to off ROW control. Good grass establishment along ROW. No cattle grazing ¼ at time of assessment; cattle trail present on north edge of ROW. - No noxious weeds observed within ¼.  Previous noxious weed issues resolved. - 2016 erosion repair at KP 13+310, 13+400 and 13+550 functioning well at time of assessment. 80 - 100% vegetation establishment within rill and wattles remain in place.  Issues resolved. - Ponding evident at erosion repair at KP 13+550 leading into forested area due to cattle activity; Repairs recommended. June 27 and July 4, 2017 – KP 13+550 – Ponding repairs completed and area seeded.  Issue resolved.",,,
NE 1-79-11,Forested,"Moderate erosion issue, moderate vegetation issue","May 27, 2014 - 90-100% Vegetation cover of off ROW - No subsidence observed • No Weeds observed, 2013 issue resolved. - Erosion rill 13+000, repairs required. - Berm at 13+550, limited vegetation cover on the north end. - 70-80% vegetation of off ROW on work side, continue to monitor June 19, 2014 – KP 13+000, erosion repaired by hand and seeded.  – KP 13+550, berm reseeded.  Installed erosion control. – Removed metal stakes from existing straw waddles at throughout ¼.  Issue resolved  June 20, 2014 – Occupant removed south ROW fence on ¼.","June 3, 2015 – Vegetation is 100 % of off ROW control, consisting of alfalfa, clover, brome and orchard grass.  –Canada thistle noted at densities lower than off ROW control. Continue to monitor thistle. – Fence present on north side of ROW. – ROW contour matches natural topography. – At KP 13+000 and 13+550 erosion rill exists. Repairs recommend. – At KP13+400 previously installed erosion control materials required repair. – KP14+550 erosion, repairs recommended. July 7, 2015 – Erosion repairs and seeding completed at KP 13+000, KP 13+400, KP 13+550, and 14+550. October 4, 2015 – Grazed by cattle over the summer months. – Patches of Canada Thistle noted throughout ¼.  Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.","June 28, 2016 - 90-100% of vegetative cover compared to off-ROW  - Cattle grazing evident - No noxious weeds observed. - 2015 erosion repairs at KP 13+000 and KP 13+550 are vegetating well and appear stable. Issues resolved. - KP 13+400, 2015 erosion repair area, erosion materials have been displaced by cattle.  Replace/repair as needed. - KP 14+550 – erosion no longer evident, issue resolved. - No subsidence observed. July 27, 2016 - Canada thistle observed. Recommend weed control.  July 29, 2016 – Intermittent herbicide application conducted to control Canada thistle. August 9, 2016 – KP 13+400 - repaired and replaced erosion control materials.","May 28, 2017 - Vegetation establishment 95-100% cover compared to off ROW control. Good grass establishment along ROW. No cattle grazing ¼ at time of assessment; cattle trail present on north edge of ROW. - No noxious weeds observed within ¼.  Previous noxious weed issues resolved. - 2016 erosion repair at KP 13+310, 13+400 and 13+550 functioning well at time of assessment. 80 - 100% vegetation establishment within rill and wattles remain in place.  Issues resolved. - Ponding evident at erosion repair at KP 13+550 leading into forested area due to cattle activity; Repairs recommended. June 27 and July 4, 2017 – KP 13+550 – Ponding repairs completed and area seeded.  Issue resolved.",,,
NW 1-79-11,Forested,Moderate erosion issue,"May 27, 2014 - 90-100% Vegetation cover of off ROW - No subsidence observed - No Weeds observed. - Erosion rill 14+250, repairs required - 70-80% vegetation of off ROW on work side, continue to monitor June 20, 2014 – Occupant removed south ROW fence on ¼ – KP 14+250, Repaired erosion by hand and seeded.  Installed erosion control materials.","June 3, 2015 – Access not granted by tenant.  TransCanada Land Department was notified. – Assessment done from range road with binoculars as well as from the east side from tract. – Vegetation appears to be at 100% of off ROW conditions. – Weeds appear less than that of off ROW. October 4, 2015 - Access was granted. – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼.  Recommend herbicide application. - Erosion no longer evident at KP 13+850, 14+100, or 14+250, issues resolved. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.","June 28, 2016 - 100% vegetation cover compared to off-ROW.  - No noxious weeds observed. - No subsidence observed in 1/4 July 29, 2016 - Canada thistle observed and intermittent herbicide application conducted.","May 28, 2017 - Vegetation establishment 95-100% cover compared to off ROW control. Good grass establishment along ROW. No cattle grazing ¼ at time of assessment. - No noxious weeds observed within ¼.  Previous noxious weed issues resolved. - Erosion rills evident at KP 13+770 and 14+250 are stable and well-vegetated.  Rills are not affecting land use capabilities. No work required, issues resolved.",,,
SW 12-79-11,Forested,High noxious weed issue,"May 27, 2014 - No subsidence - No erosion - Minor weeds density observed (Canada thistle), continue to monitor - Vegetation cover 90-100% of off ROW","June 3, 2015 – Vegetation estimated to be 90 - 100% of off ROW control, primarily composed of grasses. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼.  Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.","June 28, 2016 - 100% Vegetation cover compared to off-ROW - Canada thistle observed. Recommend weed control.  - No erosion or subsidence observed in this ¼. - July 22, 2016 – Intermittent herbicide application conducted to control perennial sow thistle.","May 28, 2017 - Vegetation cover 100% compared to off ROW control. Good grass establishment along ROW. Cattle grazing ¼ at time of assessment.  - No noxious weeds observed in tract; Previous noxious weed issues resolved. - No subsidence or erosion observed throughout tract.",,,
