Legal Location (W6),1<s>st</s> Year (2012) PCM Assessment,2<s>nd</s> Year (2013) PCRM Assessment and Work Completed,3<s>rd</s> Year (2014) PCRM Assessment and Work Completed,4<s>th</s> Year (2015) PCRM Assessment and Work Completed,5<s>th</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 32-78-13,Cultivated - Landowner concerned with topsoil loss on the right-of-way from KP 16.40 to KP 16.57.,"June 2013 - This area did not have the topsoil replaced, foreign road crossing constructed after pipeline construction and topsoil was moved to the north. Replace topsoil and reseed. July 31, 2013 Herbicide application conducted from KP 13+500 to 16+500 to control hemp nettle, Canada thistle, bull thistle, lambs quarters, and narrow leaved hawk’s beard.) Sept 26 & 27, 2013 – KP 16+400 to 16+570 Topsoil repair completed, 2012 topsoil issue is resolved. Swaled and rock lined water run for dugout infill - Harrowed and rock picked. Sept 28, 2013 - KP 16+364 Completed fill drain and overflow drain for dugout Landscaped and harrowed","May 23, 2014 – Land owner requested repairs to dugout constructed during construction off RoW. – Field SE of highway was cultivated and seeded. –Vegetation growth at 100% of off RoW – No weeds in cultivated area and pasture field. 2013 weed issue resolved. Aug 10, 2014- Dugout drainage repairs done. Landowner to seed. All work completed at this time.","May 14, 2015 – Inspected Dugout/Drainage repairs completed in 2014. Water is now draining out of the repaired overflow drainage that runs into the bar ditch. All dugout and drainage repairs appear effective and no further work is required, issue resolved. May 24, 2015 - Field SE of Hwy was cultivated. Soil Conditions appear consistent with off ROW soils. - Field NW of Hwy is well vegetated and is at 100% compared to off ROW control. - No subsidence, weed or erosion was observed.","June 3, 2016 - Field has been worked and reseeded to hay crop. Vegetation is 100% compared to off ROW  - Narrow leaved hawksbeard was observed on and off ROW but is more abundant where the ROW parallels the lease road at the east end of the ¼. Land was worked and reseeded by landowner, this is not related to the Project construction, no work required, issue resolved. - No subsidence or erosion was observed in this ¼ - Hay field south of the Hwy 59 is fully vegetated compared to off ROW.  July 16, 2014 East side of the highway - Hay has been cut and baled. Bales have been Removed. West side of the highway - Hay has been cut but not baled.",,,
SW 32-78-13,Cultivated - Subsidence observed on the right-of-way at KP 17.73.,"June 2013 - Seeded, no issues noted. Field drain stable Oct 27, 2013 - KP 17+700 – subsidence noted in 2012 – is not currently affecting land use. Issue resolved.","May 23, 2014 – No concerns - Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified. Oct 8, 2014 - Subsidence throughout 1/4 was repaired by Landowner, by means of topsoil fill reclamation.","May 24, 2015 - ¼ was cultivated and seeded. Soil conditions appear consistent with off ROW soils. - KP 17+500 – 17+700 minor stinkweed on landowner completed subsidence repairs. Issue resolved. - No subsidence or erosion was observed on the ¼.","June 3, 2016 - Field was cultivated and seeded and appears to be growing comparable to off-RoW. Soil conditions appear consistent with off ROW soils. - No subsidence or erosion was observed on the ¼.",,,
NW 29-78-13,Cultivated,Re assess spring 2014,"May 23, 2014 – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified.","May 24, 2015 - Field was cultivated and seeded. Soil conditions appear consistent with off ROW soils. - No signs of erosion or subsidence in ¼ section. - Drainage ditch between ¼’s is well vegetated and has no signs of erosion.  - No weeds were observed.","June 3, 2016 - Field was cultivated and seeded. Soil conditions appear consistent with off ROW soils. Monitor crop growth later this summer. No noxious weeds observed - Drainage ditch between ¼’s is well vegetated and has no signs of erosion.  - No signs of erosion or subsidence in ¼ section.",,,
NE 30-78-13,Cultivated,June 2013 - Seeded; no issues noted.,"May 24, 2014 – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified. Oct 8, 2014 - Subsidence throughout 1/4 was repaired by Landowner, by means of topsoil fill reclamation.","May 24, 2015 - Field was cultivated and seeded. Soil conditions appear consistent with off ROW soils. - No weeds identified. - No signs of subsidence or erosion in ¼ section.","June 3, 2016 - Field was cultivated and seeded. Soil conditions appear consistent with off ROW soils. No weeds identified. - No signs of subsidence or erosion were identified in this ¼ section.",,,
NE 30-78-13,Sergeant Creek,Re assess spring 2014,"May 24, 2014 – KP 18+900, pipeline signs markers missing from east and west side of Sergeant Creek, install posts and sign post on both sides of creek. – KP 18+900, watercourse crossing in good condition, soil wraps, diversion berms and silt fence working great. Good vegetation cover on both banks.","May 24, 2015 - Pipeline markers lying down/missing from east and west side. Repair/replace. – Watercourse banks are stable with good vegetation  – Erosion control materials are no longer required as vegetation has established. Remove as soon as practical. – Berms vegetated and functional. – Canada thistle on west slope. Recommend implementation of control measures. Sept. 30, 2015 – Intermittent (spot spraying) herbicide application conducted to control Canada thistle.  - Installed pipeline markers/sign and removed erosion control materials, issues resolved.","June 3, 2016 - Hill slopes are well vegetated and stable. - Creek bank and soil wraps are also vegetated and stable. - Crib walls are also in good condition and function well supporting the slope. - Creek was flowing nicely and not pooling anywhere across the ROW. - Previously spot sprayed Canada thistle appears to have been eliminated. Issue resolved.",,,
NW 30-78-13,Cultivated,Re assess spring 2014,"May 24, 2014 – KP 19+175 to 19+250, topsoil hauled in by landowner, appears to be done fall of 2013, monitor growth of crop. – No concerns, field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified. Oct 8, 2014 - Subsidence throughout 1/4 was repaired by Landowner, by means of topsoil fill reclamation, issue resolved.","May 24, 2015 – Field cultivated and seeded, field consistent with off RoW conditions, no weeds identified at time of the assessment. – No erosion or subsidence observed","June 3, 2016  - Soil conditions and crop growth appear consistent with off ROW. No noxious or invasive weeds were identified. - Intermittent minor subsidence located between KP 19+100 to 19 +175 around side bend.  - No erosion was identified October 13, 2016 Issue Resolved - landowner stated minor subsidence (KP 19+100 to 19+175) does not impact farming (land use).",,,
SW 31-78-13,Cultivated - Rutting caused by tractor use (third party) observed on the right-of-way at KP 19.30.,"May 2013 - subsidence at midpoint of quarter section, repairs recommended. October 7, 2013 KP 18+979 Assessed with landowner present. Landowner to complete repairs. Tire ruts at KP 19+300 no longer an issue, issue resolved.","May 24, 2014 – KP 19+250 to 19+350, topsoil hauled in by landowner, appears to be done fall of 2013, monitor growth of crop. – No concerns, field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified. Oct 8, 2014 - Subsidence throughout 1/4 was repaired by Landowner, by means of topsoil fill reclamation. 2013 subsidence issue resolved.","May 24, 2015 – Field cultivated and seeded. – Minor intermittent subsidence at KP 19+515 to 19+600 and 19+780 monitor. – No erosion observed. September 30, 2015 - Landowner completed repairs, subsidence at KP 19+515 to 19+600 and 19+780, and rutting at KP 19+780 to the road, issues resolved.","June 3, 2016 - Soil conditions and crop growth appear consistent with off ROW. No noxious or invasive weeds were identified. - Intermittent subsidence repaired by landowner between KP 19+500 to 19+900, slight crown present. Repairs completed by landowner, issue resolved. - No erosion was identified",,,
SE 36-78-14,Cultivated,"June 2013 - Slight subsidence in a few locations, farming operations should alleviate, monitor  -KP 22+000 access trail to mud sumps is rutted and may have compaction issues. -Sumps in good condition, difficult to determine location. -Possible compaction on whole ¼ monitor crop. -KP 22+280 subsidence at what could be the HDD entry or exit hole; recommend repair.","May 24, 2014 – KP 20+325 and KP 20+480 to 20+650, subsidence, repairs required. – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified. Oct 17, 2014 - Landowner completed topsoil fill/subsidence repair throughout entire ¼ section. Subsidence noted in 2013 and 2014 resolved.","May 24, 2015 – Field cultivated and seeded. - No indication of compaction or rutting noted in 2013, issues resolved. – Subsidence observed at KP 20+350. Erosion rill down subsidence for 20m. Landowner repaired the area in 2014, issue resolved.","June 6, 2016 - Field was cultivated and seeded. Soil conditions and crop growth appear consistent with off ROW.  - Occupant completed subsidence repairs in 2014 on this entire ¼. There are indications that additional subsidence has occurred at KP 20+040, 20+060 (tire rut), and 20+200 to 20+600. October 14, 2016 - Landowner plans to work and level field in spring of 2017, due to rutting from 2016 harvest in wet conditions. Subsidence and tire rutting issues resolved.",,,
SW 36-78-14,Cultivated,"June 2013 - ROW was soft during seeding resulting in substantial ruts across it. The ruts can be cultivated out, but there may be crop issues due to compaction.","May 24, 2014 – Minor vehicle rutting in ¼, should farm out, monitor. – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified. Oct 17, 2014 - Landowner completed topsoil fill/subsidence repair throughout entire ¼ section. 2013 Rutting and possible compaction issues resolved.","May 24, 2015 – Field cultivated and seeded, field consistent with off RoW conditions, no weeds identified at time of the assessment. – No erosion or subsidence observed.","June 6, 2016 - Field was cultivated and seeded. Soil conditions and crop growth appear consistent with off ROW. - No noxious or invasive weeds were identified. - No erosion was observed",,,
NW 36-78-14,Cultivated,"June 2013 - Slight subsidence in a few locations, farming operations should alleviate, monitor.","May 24, 2014 – KP 21+200 and 21+700, minor vehicle rutting, should be able to farm out, monitor – KP 21+300 and KP 21+500, minor subsidence, should be able to farm out, monitor – KP 21+700, Thistle present on west edge of ¼ where field is not being farmed, weeds and plant growth consistent north and south of RoW on west edge of ¼. Talk to landowner about seeding this area to permanent cover to prevent weed growth. – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. Aug 26, 2014 - Landowner would like to complete all work himself. Thistle was sprayed pre harvest Oct 17, 2014 Landowner completed topsoil fill/subsidence repair throughout entire ¼ section.","May 25, 2015 – Field cultivated and seeded, soil conditions appear consistent with off RoW. Monitor vegetation growth – No erosion, subsidence, or weeds observed. - 2013 and 2014 weed, subsidence, and rutting issues resolved.","June 6, 2016 - Field was cultivated and seeded. Soil conditions and crop growth appear consistent with off ROW. No noxious or invasive weeds were identified. No erosion was observed - KP 21+360, 21+460 to 21+460, and 21+520 to 21+585, subsidence. Previously repaired by landowner in 2014 October 14, 2016 - Landowner plans to work and level field in spring of 2017, due to rutting from 2016 harvest in wet conditions. Issue resolved.",,,
NE 35-78-14,"OCultivated - Crop maturity appeared slower on the right-of-way compared to off the right-of-way based on stubble.  ne plant of scentless chamomile was observed at KP 21.80. The plant was picked and bagged on September 13, 2013.","Oct 28, 2013 - KP 21+800 Area surrounding valve is covered with weeds.  Landowner is not farming the area near the valve. The best solution for weed control is likely discuss with landowner to crop the area surrounding the valve. - No indication of crop issue noted in 2012, issue resolved.","May 25, 2014 – KP 21+800, weeds located on east edge of ¼ where field is not being farmed around valve. Field not cultivated to the north or south of valve on east side of ¼. Talk to landowner about seeding this to permanent cover. – KP 21+875 to 21+975, KP 22+050, repairs required.  – KP 22+150 to 22+300, subsidence, repairs required. Bell hole on exit of HDD and ditchline east from bell hole has varying depth and width of subsidence, signs of pooling water. Rutting on ditchline from farm machinery noted. – Field cultivated and seeded, soil conditions appear consistent with off RoW. Sept 25, 2014 - Inspected areas of subsidence throughout 1/4 with landowner. Landowner intends to begin topsoil fill reclamation of areas within the week. Oct 17, 2014 Landowner completed topsoil fill/subsidence repair throughout entire ¼ section.","May 25, 2015 – KP 21+760, hemp nettle, sporadic Canada thistle observed on east edge of ¼, where field is not being farmed, near the valve. – Remaining part of the field cultivated and seeded. Monitor crop growth.  – KP 22+150 and KP 22+260, minor intermittent subsidence observed, not currently affecting land use. Recommend continued monitoring.","June 6, 2016 - Field is seeded, vegetation consistent with off-RoW. Soil conditions appear consistent with off ROW soils. - KP 21+760 to 21+860, area not farmed on/off-RoW. Vegetation is comparable to off-RoW. Weeds identified in 2013 - 2015 have returned (scentless chamomile has not been reported since 2012, issue resolved). Weed control will likely be ineffective as off-RoW weeds are spreading onto RoW. Multiple discussion have been had with landowner to utilize this area with no results. No work recommended, issue resolved - No erosion observed in ¼ - KP 22+150 and 22+260, subsidence observed. October 14, 2016 - Landowner plans to work and level field in spring of 2017, due to rutting from 2016 harvest in wet conditions. Subsidence issues resolved",,,
NW 35-78-14,Treed,"June 2013 - Subsidence in the area of the HDD exit pad, (KP 22+300) monitor.","May 25, 2014 – Field on east edge of Pouce Coupe River cultivated and seeded, soil conditions appear consistent with off RoW, exit of HDD not on this ¼ (2013 issue resolved.).","May 26, 2015 - Field on east edge of Pouce Coupe River was cultivated and seeded. Soil conditions appear consistent with off ROW.","June 6, 2016 - Field on east edge of Pouce Coupe River was cultivated and seeded. Vegetation and soil conditions appear consistent with off ROW. - Canada thistle observed along crop line. Field has been sprayed by landowner. No further work required, issue resolved - No subsidence or erosion was observed in ¼",,,
NW 35-78-14,Pouce Coupe River,"Oct 28, 2013 - Pouce Coupe River  Pouce Coupe River was completed through HDD, therefore there was no disturbance along the river banks.","May 25, 2014 – No pipeline marker signs on east or west side of river at edge of fields.","May 26, 2015 - Pouce Coupe river was HDD’d through this section. No disturbance was made to bed or banks. - No pipeline marker post or signs are installed on east or west side of River at edge of fields.  October 19, 2015 – pipeline signs installed at Pouce Coupe crossing, issue resolved.","June 6, 2016 - Pouce Coupe river was HDD’d through this section. No disturbance was made to bed or banks.",,,
NE 34-78-14,"HWHay - Moderate vegetation establishment observed on the right-of-way. igh densities of stinkweed and Russian pigweed observed on the right-of-way. etland from KP 23.83 to KP 23.86 was observed to be in functional at-risk condition due to limited vegetation establishment. Canada Thistle observed on right-of-way from KP 23.83 to KP 23.86. Monitor vegetation growth in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.","Oct 28, 2013 - Weeds are not a concern, desirable vegetation is outcompeting weeds at KP 23+830 to 23+860, 2012 issue is resolved. The remainder of the ¼ has excellent vegetation cover and there is no discernable difference on and off RoW, 2012 issue resolved. - Subsidence was noted at KP 24+000 and 24+260 – repairs recommended.","May 25, 2014 – KP 23+450, possible water well with snow fence at top of bank to Pouce Coupe River at east edge of field. – KP 23+825, minor rutting from vehicle use in field, should farm out, Landowner planning on working hay field 2014. Monitor farming activity and rutting 2014. – KP 24+025, Subsidence and cracking, repairs required, Landowner planning on working hay field 2014. Monitor farming activity and rutting 2014. – KP 24+275, subsidence, repairs required, Landowner planning on working hay field 2014. Monitor farming activity and rutting 2014. – No weeds identified. – Vegetation growth 100% of off RoW,  Sept 10, 2014- Completed strip and grade reclamation between KP 24+000 and KP 24+100 and KP 24+200 and KP 24+300, seeded and harrowed areas.","May 26, 2015 - No weeds identified. Vegetation growth at 100% of off ROW control. - KP 23+825 minor rutting from vehicle use in field also noted last year. Recommend repairing ruts while completing subsidence repairs. - KP 23+830 to 23+860 - wetland vegetation looks great and is consistent with off ROW. 2012 Canada thistle is no longer present, issue resolved. - between KP 24+000 and KP 24+100 and KP 24+200 and KP 24+300 - subsidence repairs completed in 2014 are stable and are re-vegetating well. Issues resolved. August 12-15, 2015 - Repaired subsidence at KP 23+760, KP23+960, and KP 24+080.","June 4, 2016 - Vegetation growth at 100% of off ROW control. No noxious weeds observed. - KP 23+825, 2015 repairs to vehicle rutting appear effective. Area is well-vegetated, issue resolved. - KP 23+830 to 23+860, wetland vegetation looks great and is consistent with off ROW.  - 2015 Subsidence repairs at KP 23+760, KP 23+960, and KP 24+080 are stable and vegetation is establishing well, issues resolved. - No subsidence or erosion was observed. August 25, 2016 - Completed follow-up assessment on hay ¼ now that it has been hayed. - No erosion or subsidence observed",,,
NW 34-78-14,Cultivated,"May 2013 - Minor subsidence intermittently across ¼. Monitor, and repair as required. Oct 15, 2013 - KP 24+245 - 25+199 Landowner indicated that he completed subsidence on his property, monitor.","May 25, 2014 – KP 24+280 to KP 24+500, topsoil has been spread on subsidence issues identified in 2013, issue resolved. Pipeline RoW from 24+280 to 24+900 has been worked and harrowed. Continue to monitor crop growth. – Field cultivated and seeded, soil conditions appear consistent with off RoW. – No weeds identified","May 26, 2015 - Field was cultivated and seeded. Soil conditions appear consistent with off ROW control. No weeds were observed. October 16, 2015 - KP 24+550 and 24+675, intermittent subsidence observed. - Crop loss evident as canola in subsided areas was not cut during harvest October 31 2015 - KP 24+320 – 24+900, intermittent subsidence repaired by Landowner.","June 4, 2016 - Field was cultivated and seeded and appears to be growing comparable to off-RoW. Soil conditions appear consistent with off ROW soils. No noxious weeds observed. - 2015 landowner completed intermittent subsidence repairs from KP 24+320 to 24+900 appear effective and vegetation is establishing well. Issue resolved - KP 25+000, subsidence observed. Landowner indicated that they would like to complete repair but wet conditions during fall did not allow repair to occur. Complete repair in 2017. June 29, 2016 - Observed and sprayed (spot spray) Canada thistle and foxtail barley in roadside ditch, issue Resolved.",,,
NE 33-78-14,Cultivated,"May 2013 - Subsidence on west of RD 207 on east face of slope (KP 24+225 - 25+245). Repairs recommended Oct 15, 2013 - KP 24+245 - 25+199. Landowner indicated that he completed subsidence on his property, monitor.","May 25, 2014 – KP 25+225, subsidence at road crossing bore hole, monitor. – KP 25+225 to 25+400 and KP 25+350, topsoil spread on subsidence issues identified in 2013. Issue resolved. Continue to monitor crop growth. – Field cultivated and seeded, soil conditions appear consistent with off RoW. – Weeds identified on west edge of ¼ where not farmed on ¼ line adjacent to NW 33-78-14 W6M. Spot spray weeds at RoW Aug 24, 2014 - Landowner sprayed pre harvest with round up, this should alleviate any weeds we were planning on spraying, issue resolved","May 26, 2015 - KP 25+225 and 25+600 to 25+670 subsidence, repairs recommended. - KP 25+450 Minor intermittent subsidence, does not appear to be affecting farming practices/land use, monitor. - Field was not cultivated or seeded. Soil conditions appear consistent with off ROW. No signs of erosion in ¼ October 31, 2015 - KP 25+225 – 25+285, KP 25+425 – 25+575, KP 25+600 – 25+740, and KP 25+860 – 25+925, subsidence repaired by landowner.","June 4, 2016 - Vegetation growth at 90-100% of off ROW control. Field was seeded to hay mix in 2015 by landowner. - KP 25+230, Landowner has mowed area.  - KP 25+225, Canada thistle observed in roadside ditch along edge of hay field. - 2015 landowner intermittent subsidence repairs (KP 25+225 – 25+285, KP 25+425 – 25+575, KP 25+600 – 25+740, and KP 25+860 – 25+925) appear effective and vegetation is establishing well. Issues resolved. - No subsidence or erosion observed.  June 29, 2016 - KP 25+225 herbicide application conducted to control Canada thistle in ditch. Handpicked 4 bags of foxtail barley. Issues resolved. August 25, 2016 - Completed follow-up assessment on hay ¼ now that it has been hayed. - No erosion or subsidence observed",,,
NW 33-78-14,Cultivated - Subsidence observed on the right-of-way at KP 26.40.,"June 2013 - Seeded, no issues noted. Landowner very pleased. Oct 28, 2013 - KP 26+400 - Landowner has recently disked this portion of the ROW and a weedy section of the field to the north of the RoW. There is no longer any indication of subsidence, 2012 issue resolved.","May 25, 2014 – KP 26+400, weeds noted in 2013 were not present on RoW but noted on north edge of ¼, monitor weed growth on ¼ and proximity to RoW.  – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified","May 26, 2015 - Field was cultivated and seeded. Soil conditions appear consistent with off ROW. - No signs of erosion or subsidence in ¼ section.","June 4, 2016 - Field was cultivated and seeded and appears to be growing comparable to off-RoW. Soil conditions appear consistent with off ROW soils. No noxious weeds observed. - No erosion was observed on the ¼. - KP 26+240, subsidence observed. Recommend re-assessing after harvest.  September 4, 2016 - Completed follow-up assessment now that crop has been cut and harvested. - Previously observed minor subsidence at KP 26+240 is not impacting farming practices or pipe integrity and appears to be stable. No work recommended, issue resolved.",,,
NE 32-78-14,Cultivated,"June 2013 - Seeded, no issues noted","May 25, 2014 – No concerns with cultivated field. Minor erosion in drainage ditch on ¼ line between NE 32-78-14 W6M and NW 32-78-14 W6M. Monitor erosion on ¼ line. – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014.","May 26, 2015 – Field cultivated and seeded, soil conditions appear consistent with off RoW. Monitor crop growth  – KP 27+215 – 27+315 and KP 27+400 – 27+420, intermittent subsidence observed, recommend repairs. - Erosion at ¼ line is no longer evident, issue resolved. November 3, 2015  - KP 27+000 – 27+660, intermittent subsidence repaired by landowner.","June 5, 2016 - Soil conditions and crop growth appear consistent with off ROW. No noxious or invasive weeds were identified. - KP 27+180 to 27+550, minor intermittent subsidence issues noted with repairs completed by occupant in 2015. October 14, 2016 - Landowner plans to work and level field in spring of 2017, due to rutting from 2016 harvest in wet conditions. Issues resolved",,,
NW 32-78-14,Cultivated,"June 2013 - No issues, noted.","May 25, 2014 – KP 28+050, minor subsidence. Not affecting land use, should farm out. Continue to monitor. – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth in 2014. – No weeds identified.","May 26, 2015 – KP 27+670 – 27+840 and KP 27+960 – 28+000, subsidence observed, recommend repairs. - Subsidence noted in 2014 at KP 28+050 is longer evident, issue resolved. – Field cultivated and seeded, soil conditions appear consistent with off RoW. September 28, 2015 - KP 27+670 – 27+840 and KP 27+960 – 28+000, landowner completed subsidence repairs.","June 4, 2016 - Field was cultivated and seeded and appears to be growing comparable to off-RoW. Soil conditions appear consistent with off ROW soils. No noxious weeds observed. - 2015 landowner subsidence repairs (KP 27+670 – 27+840 and KP 27+960 – 28+000) look good and vegetation is establishing well.  - No erosion was observed on the ¼. - KP 28+055, Subsidence observed. Recommend re-assessing after harvest. October 13, 2016 Issues Resolved, KP 28+055 - landowner stated minor subsidence does not impact farming",,,
SE 5-79-14,Cultivated,June 2013 - Minor yellowing of emerging crop on ditchline.,"May 29, 2014 – KP 28+850 and KP 28+900, minor subsidence, should farm out not affecting land use, continue to monitor. – Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW, monitor crop growth.","May 26, 2015 – Subsidence observed at KP 28+340 (bell hole), KP 28+390, and KP 28+720, recommend repairs. - Subsidence noted in 2014 at KP 28+850 and 28+900 is no longer evident, issues resolved. – Field cultivated and seeded, soil conditions appear consistent with off RoW. September 28, 2015 - Landowner completed subsidence repairs at KP 28+390 and 28+720 following harvest.","June 5, 2016 - Field was cultivated and seeded and soil conditions appear consistent with off ROW. No noxious or invasive weeds were identified. - KP 28+340 to 28+360, at bell hole, KP 28+570, and KP 28+670, subsidence, recommend repairs. October 13, 2016 - Issues Resolved - landowner stated minor subsidence (KP 28+340 to 28+360, at bell hole, KP 28+570, and KP 28+670) does not impact farming (land use). - No erosion was identified - Remainder of subsidence repairs completed in 2015 by landowner at KP’s 28+390 and 28+720, are stable and subsidence is no longer an issue at these locations. Issues resolved.",,,
SW 5-79-14,Hay Wetland from KP 29.09 to KP 29.12 has been cultivated by landowner and no longer functions as wetland. Remove from Wetland Function PCM Program. NGTL cannot be responsible for returning wetland to pre-construction condition if it is being disturbed by third-party activities.  Issue resolved.,June 2013 - KP 29+300 minor subsidence; monitor,"May 29, 2014 – KP 29+200, subsidence, monitor in 2015 – KP 29+550 and 29+750 (heavy traffic during seeding), minor subsidence, should farm out not affecting land use, continue to monitor. – Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW, monitor crop growth.","May 26, 2015 – KP 29+025, low area with ruts observed. Area not presently being farmed, not impacting land use, no work required, issue resolved. – KP 28+980, 29+200 – 29+275, 29+300 – 29+350, 29+550 – 29+575, and 29+750 – 29+775 subsidence observed. Recommend repairs. – Field cultivated and seeded, soil conditions appear consistent with off RoW. October 10, 2015 - KP 28+980, KP 29+200 to 29+375, KP 29+450 to 29+530, KP 29+540 to 29+670, and KP 29+700 to 29+770 repaired subsidence. - KP 29+160, repaired multiple tire ruts from landowner farm equipment. Issues resolved.",Access denied by landowner.,,,
SE 6-79-14,Cultivated,"May 2013 - landowner reported depression from road bore. Depression is on spoil side and does not appear to be from road bore. Monitor and discuss with landowner Oct 6, 2013 KP 29+767 Landowner will repair low area, reported earlier in 2013, issue resolved.","May 29, 2014 – KP 30+525, depression in field on south side of RoW, recommend repairs. – Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW.","May 27, 2015 – Field cultivated and seeded, soil conditions appear consistent with off RoW. – KP 29+960 and KP 30+000 – 30+300 (intermittent), subsidence observed, repairs recommended. - Depression at KP 30+525 is no longer evident, landowner may have addressed, issue resolved. – KP 30+400 – 30+430, minor intermittent subsidence observed, not affecting farming practices, no work recommended, issue resolved. – KP 30+540, depression observed in field on south portion of RoW. Not currently being farmed, no work recommended, issue resolved. September 28, 2015 – KP 29+960 and KP 30+000 – 30+300 (intermittent), subsidence repairs completed by landowner.","June 5, 2016 - Field is seeded, vegetation appears to be consistent with off-RoW. Soil conditions appear consistent with off ROW soils. Monitor crop growth later this summer.  - 2015 intermittent subsidence repairs (KP 29+960 and KP 30+000 – 30+300) completed by landowner look good and appear to be consistent with off ROW. - No erosion or subsidence observed.",,,
SW 6-79-14,Cultivated,"June 2013 - Seeded, no issues noted.","May 29, 2014 – No concerns, minor roughness in field from farming. Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW.","May 27, 2015 – KP 30+670 – 30+700, farming ruts observed from access during wet conditions. – KP 30+775 – 30+815 and KP 31+145, minor intermittent subsidence observed, not affecting farming practices. No work recommended, issue resolved. – Field cultivated and seeded, soil conditions appear consistent with off RoW. October 13, 2015 - Repaired tire ruts at KP 30+670 – 30+700  - KP 30+700 – 30+730, subsidence observed and repaired.","June 8, 2016 - Field seeded (Canola). Vegetation appears to be growing consistent with off-RoW.  - KP 30+640 to 30+730, field is unfarmed and weeds are abundant. Sporadic Canada thistle observed  - 2015 subsidence and tire rut repairs (KP 30+670 to 30+700 [tire ruts] and KP 30+700 to 30+730 [subsidence]) appear effective. Soils appear stable. Issues resolved.  - No erosion observed in ¼ - KP 30+760 to 30+815 and 31+150, subsidence. Recommend repair after harvest. Wet conditions and late harvest prevented completion of work in 2016, complete in 2017 as soon as ground conditions and landowner will allow. June 29, 2016 - Observed increased distribution of weeds in unfarmed portion of field. Landowner is planning on disking area later in year and seeding next year. Assisted landowner by spraying herbicide. Issue resolved. - Herbicide application along edge of field to control Canada thistle and narrow-leaved hawksbeard. Issue Resolved",,,
SE 1-79-15,Cultivated,"May 2013 -  Ditch Plug and French Drain installed on west side of McQueen creek do not appear to be functioning. Ground is spongy and ruts forming on ditchline, monitor","May 29, 2014 – KP 31+750, minor subsidence, should farm out not affecting land use, continue to monitor. Weeds present on eastside of creek in field, spot spray 2014. – KP 32+000, subsidence at ditch plug location has had topsoil added, issue resolved. – KP 31+825, French drain is located on west side of creek with drainage hose exit eroding edge of field. Recommend repairs. – Field cultivated and seeded, soil conditions appear consistent with off RoW, monitor crop growth. August 26, 2014 – French drain repaired. Continue to monitor in 2015.","May 27, 2015 East side of McQueen Creek – KP 31+435 and KP 31+550, KP 31+570, and KP 31+600, and 32+080 subsidence observed, repairs recommended. - Subsidence at KP 31+750 is no longer evident, issue resolved. – Field cultivated and seeded, soil conditions appear consistent with off RoW. West side of McQueen Creek – KP 31+840 and KP 32+020, minor erosional gully within the field observed and French drain repairs required. – KP 31+850, minor vehicle rutting observed within field. – Field not cultivated or seeded. - September 28, 2015 - KP 31+435 and KP 31+550, KP 31+570, KP 31+600, and KP 32+080 subsidence repairs completed by landowner. October 17, 2015 - Extended French drain straight towards McQueen Creek, repairs completed, monitor in 2016","June 5, 2016 - Field was cultivated and seeded and soil conditions appear consistent with off ROW. - 2015 French drain repair. There does not appear to be any water coming to surface on the hill slope however there appears that water was coming to surface at the bottom of the hill possibly in the spring.  - Subsidence repairs completed by landowner in ¼ at KP’s 31+435 and KP 31+550, KP 31+570, KP 31+600, and KP 32+080 were effective, subsidence issues resolved. June 8, 2016 - Additional repairs required on French drain to prevent water from surfacing on mid-slope of hill. June 29-30, 2016 – repairs completed to drain, issue resolved.",,,
