Land Description,Length  (m),Width (m),Observations 2010 Assessment,Observations 2011 Assessment,Observations 2012 Assessment¹,Observations 2013 Assessment,Observations 2014 Assessment¹,Observations 2015 Assessment,Observations 2016 Assessment,VEC,GIS,Topic
NW 21-37-7 W4 CofT No. 802 279 768,1050,20 or narrower if ditchline stripped,Native Range: very good native grass growth (A1 mix) and fescue plugs; fescue plugs found were 4-6” high and well established.,"•  Good native vegetation establishment (± 70%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (30%), green needle grass (17%). •  Recovering site Trending to Modified due to the presence of smooth brome (11%). •  Plains rough fescue present (<1%) from plugs and seed. •  Canada thistle and perennial sow thistle (1% each) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (22%), northern wheat grass (11%). •  Plains rough fescue constant at < 1%.  •  Brome species (awnless & hybrid) decreased from 11% to 3%, Kentucky bluegrass increased from 0% to 4%, monitor site as it is trending to modified. •  Gates open, unutilized to light grazing intensity, observed utilization 5%. •  Canada thistle and perennial sow thistle (< 1% each) require control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 15-37-7 W4 CofT No. 892 160 678 H,700,20 or narrower if ditchline stripped,Native Range: good native grass growth (A1 mix) and fescue plugs;  native grass growth not as good or as dense as other ¼’s but still well established; fescue plugs well established and were 3-5” high.,"•  Good native vegetation establishment (± 70%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (18%), slender wheat grass (14%). •  Plains rough fescue present (1%) from plugs, greater in areas of less dense cover. •  Canada thistle and perennial sow thistle (<1% each) require control. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (20%), northern wheat grass (7%). •  Plains rough fescue increased slightly from 1% to 2% from undetermined source. •  Kentucky bluegrass increased from < 1% to 2%, awnless brome recorded at < 1% in 2012, not recorded in 2014.  •  Site not fenced, unutilized to light grazing intensity, observes utilization 0%.  •  Canada thistle (<1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
Pt SW 14-37-7 W4 CofT No. 892 160 678 G,350,20 or narrower if ditchline stripped,Native Range: excellent native grass growth including seeded fescue (A1 mix) and fescue plugs; it was very difficult to find planted fescue plugs given the overall success of the native grass growth throughout the ¼ section – fescue plugs that were found were 3-5” high and well established.,"•  Excellent native vegetation establishment (+/-85%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species smooth brome (17%), slender wheat grass (12%), green needle grass (9%). •  Recovering site Trending to Modified due to the presence of smooth brome and to a less extent Kentucky bluegrass. •  Significant cover of Canada thistle (4%) and perennial sow thistle (10%) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species awnless/ smooth brome (19%), Kentucky bluegrass (17%).  •  Plains rough fescue not recorded or observed. •  Awnless brome increased slightly form 17% to 19%, Kentucky bluegrass increased significantly from 1% to 17%. •  Site is not fenced, does not appear to be grazed recently. Recommend grazing the site.     •  Canada thistle (2%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NW 11-37-7 W4 CofT No. 052 345 336,450,20 or narrower if ditchline stripped,Native Range: excellent native grass growth including seeded fescue (A1 mix) and fescue plugs; it was very difficult to find planted fescue plugs given the overall success of the native grass growth throughout the ¼ section – fescue plugs that were found were 4-6”+ high and well established.,"•  Good native vegetation establishment (+/-75%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (29%), green needle grass (8%). •  Plains rough fescue present (1%) from seed. •  Smooth brome (1%) and quack grass (3%) present in low amounts; require monitoring.  •  Canada thistle and perennial sow thistle (1% each) require control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (23%), Kentucky blue grass (5%). •  Plains rough fescue increased from < 1% to 3% from plugs, rhizomes and seed. •  Kentucky bluegrass increased from 0% to 5%, awnless/ smooth brome constant at 1%,  quack grass not recorded or observed, reed canary grass (<1%) can be native or invasive, requires monitoring, consider spot spraying if species are in patches. •  Site fenced, not grazed, consider removing fence. •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 28-36-6 W4 CofT No. 022 007 419,500,20 or narrower if ditchline stripped,Native Range: LT reclamation plot – excellent native grass recovery; difficult to determine what was seeded (A1 mix) vs. what were plugs in the LT reclamation plot;  on full ROW width – excellent seeded native grass recovery -  fescue plugs found on full ROW width were 3-5” high and well established; NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.,"•  Excellent native vegetation establishment (+/-85%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012. •  Plugs also within NRMP Follow-up Monitoring Plots-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report.","•  Dominant species slender wheat grass (17%), green needle grass (10%). •  Plains rough fescue present (4%) from plugs and seed. •  Rare crested wheat grass plant observed (<1%), not a concern at this time. •  Canada thistle and perennial sow thistle (<1% each) require control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species green needle grass (40%), northern wheat grass (6%). •  Plains rough fescue constant at 4%. Some evidence of new seedlings. •  Rare crested wheat grass plant, observed (<1%), consider spot spraying to eliminate plants and monitor for new plants. •  Site fenced, not grazed, consider removing fence.",Weed control was conducted in 2015 based on assessment recommendations.,"KInnotech Alberta observations: •  The fence is down but evidence of exclusion is still obvious. •  Many rough fescue bunches visible. •  Ditch line seed mix is still taller than the rest of the landscape (dominant in green needle grass). Here, the wheat grasses are observed to be subsiding. Issues with quack grass are observable. •  Kentucky blue grass and smooth brome appear to be spotty but significant. •  The travel lane and spoil storage have more fescue than surrounding grazed land. •  Evidence of quack grass, brome grass, and blue grass indicate that the right- of-way may stay permanently modified. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
SE 28-36-6 W4 CofT No. 022 007 419,500,20 or narrower if ditchline stripped,Not applicable,Not applicable,Not applicable,Not applicable,"•  A1N- Fescue plugs here doing very well, seeding out acting as seed sources.  •  Some restricted invasion of smooth brome and Kentucky bluegrass from roadside ditch spreading onto ROW. •  Ditch line showing long lived seral species infill from adjacent plants. •  Thirteen stripped ground squirrels onsite. •  Seed treatment mid seral seeded species dominant with some invasion of introduced forages/undesirables. •  Seed and hay treatment similar to seed treatment but with more late seral species and forbs; plains rough fescue, hooker’s oat. •  Hay only treatment showing seeded species spread with high green needle grass counts, also with much more western porcupine than other treatments.  •  Seed and plugs similar to seeded treatment but plugs do show in transects improving plains rough fescue cover.",FWeed control was conducted in 2015 based on assessment recommendations. ence removed by landowner.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 27-36-6 W4 CofT No. 022 007 416,400,20 or narrower if ditchline stripped,Native Range: good native grass growth (A1 mix) including seeded fescue and good establishment of fescue plugs; fescue plugs found were 3-5” high and well established.,"•  Good native vegetation establishment (+/-80%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (14%), northern wheat grass (10%). •  Plains rough fescue present (4%) from plugs. •  Canada thistle (<1% each) requires control; south end of quarter section has higher weed and invasive species infestation. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (33%), northern wheat grass (9%). •  Plains rough fescue constant at 4%. •  Awnless/smooth brome (< 1%) in patches and drainage pattern to the south on ROW, alfalfa (1%) and crested wheat grass (< 1%), consider spot spraying to control or eliminate.  •  Site fenced, not grazed, consider removing fence.",LArea mowed in 2015 based on consultation with landowner. andowner maintaining fence.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 18-36-5 W4 CofT No. 932 374 256,650,20 or narrower if ditchline stripped,Requires assessment in 2011.,"•  Good native vegetation establishment (+/-75%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species smooth brome (19%), slender wheat grass (9%), green needle grass (9%). •  Recovering site Trending to Modified due to the presence of smooth brome, quack grass and crested wheat grass. •  Canada thistle (5%) and perennial sow thistle (1%) require control. •  No fence on north side of ROW. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (13%), brome species (7%).  •  Plains rough fescue up slightly from <1% to >1%, recorded in 1 plot in 2012 compared to 7 plots in 2014 along transect.  •  Brome species decrease from 19% to 7%, Kentucky bluegrass increased from 0% to 3%, quack grass and crested wheat grass not recorded. •  Site not fenced, light to moderate grazing intensity, observed utilization 10%. •  Canada thistle (3%) and perennial sow thistle (<1%) require control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NW 8-36-5 W4 CofT No. 912 130 920,300,6,Native Range:  Excellent native grass growth (revised A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established most fescue plugs found were 4-6”+ high.,"•  Good native vegetation establishment (+/-75%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species smooth brome (19%), slender wheat grass (6%), plains rough fescue (5%).  •  Plains rough fescue present (5%) from plugs and seed. •  Site hayed possibly two years in a row. •  Recovering site Trending to Modified due to the presence of smooth brome, crested wheat grass and Kentucky bluegrass. •  Canada thistle and perennial sow thistle (1% each) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species awnless/smooth brome (20%), green needle grass (7%).  •  Plains rough fescue decreased from 5% to 2%.  •  Awnless/brome (20%) and Kentucky bluegrass (1%)  •  Site possibly hayed. •  Gates open, moderate grazing intensity, observed utilization 60%.  •  Perennial sow thistle (<1%) requires control. •  Third party impacts caused by pipeline repair, bare soil of 16% at start of traverse.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 8-36-5 W4 CofT No. 912 130 920,350,6,Native Range: Excellent native grass growth (revised A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established most fescue plugs found were 4-6”+ high.,"•  Good native vegetation establishment (+/-75%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (17%), smooth brome (10%), slender wheat grass (10%).  •  Plains rough fescue present (3%) from plugs. •  Recovering site Trending to Modified due to the presence of smooth brome. •  Canada thistle (1%) requires control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (19%), awnless/ smooth brome and hybrid brome (14% combined). •  Plains rough fescue decreased slightly from 3% to 2%.  •  Awnless species (14%) and Kentucky bluegrass (1). •  Litter low (340 lb/ac). •  Gates open, moderate grazing intensity, observed utilization 25% in 2014.  •  Plant pedestalling from rill erosion due to exposed soil of 15%, pugging by livestock, consider monitoring site.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 8-36-5 W4 CofT No. 912 130 920,800,6,Native Range: Good-very good native grass growth (revised A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established 3-5” high.,"•  Good native vegetation establishment (+/-75%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species smooth brome (25%), slender wheat grass (13%).  •  Plains rough fescue present (3%) from plugs. •  Recovering site Trending to Modified due to the presence of smooth brome. •  Canada thistle (1%) requires control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species awnless/smooth brome (10%), Kentucky bluegrass (9%).  •  Plains rough fescue decreased slightly present from 3% to 2%. •  Awnless brome decreased from 25% to 10%, Kentucky bluegrass increased from 0% to 9%. •  Gates open, light to moderate grazing intensity, observed utilization 30%.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 5-36-5 W4 CofT No. 032 207 881 +6,450,6,Native Range: Good native grass growth (revised A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established 3-5” high.,"•  Good native vegetation establishment (+/-75%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.",•  Dominant species green needle grass (19%) smooth brome (11%).  •  Plains rough fescue present (4%) from plugs and seed. •  Recovering site Trending to Modified due to the presence of smooth brome and sweet clover. •  Canada thistle and perennial sow thistle (1% each) require control. •  Trending to Modified.,"•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (19%) northern wheat grass (7%).  •  Plains rough fescue decreased slightly from 4% to 3%. •  Awnless/smooth brome decrease from 11% to 5%, Kentucky bluegrass increased from 0% to 3%.  •  Site fenced, not grazed, consider removing fence. •  Perennial sow thistle (<1%) requires control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 5-36-5 W4 CofT No. 032 207 881 +6,150,6,Requires assessment in 2011.,"•  Good native vegetation establishment (+/-75%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species green needle grass (19%) smooth brome (11%).  •  Plains rough fescue present (4%) from plugs and seed. •  Recovering site Trending to Modified due to the presence of smooth brome and sweet clover. •  Canada thistle and perennial sow thistle (1% each) require control.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Weed control was conducted in 2015 based on assessment recommendations.,Keystone observations: •  Weed control conducted in 2016.  •  Fall assessment indicated good results •  Monitoring to be conducted in 2017.,,,
SE 21-35-5 W4 CofT No. 072 197 941 +7,200,6,Requires assessment in 2011.,"•  Fair/ good native vegetation establishment (+/-65%) of A1 revised mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (25%), northern wheat grass (10%). •  Plains rough fescue present (<1%) from seed. •  Recovering site Trending to Modified due to the presence of smooth brome (8%) and to lesser extent crested wheat grass (1%) and quack grass. •  Canada thistle and perennial sow thistle (1% each) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species awnless/smooth brome (37%), Kentucky bluegrass (17%).  •  Plains rough fescue not observed.  •  Site not fenced, moderate to heavy grazing intensity, observed utilization 0, grazed during the dormant season. •  Canada thistle and perennial sow thistle (< 1% each) require control.",Assessment indicated no weeds. No weed control required in 2015.,Keystone observations: •  Weed control conducted in 2016.  •  Fall assessment indicated good results. •  Monitoring to be conducted in 2017.,,,
NW 15-35-5 W4 CofT No. 212 O 94,900,6,Native Range: Excellent native grass growth (A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established; it was sometimes difficult to find fescue plugs due to the density of the native grass growth.,"•  Good native vegetation establishment (± 75%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (21%), northern wheat grass (9%), green needle grass (9%). •  Plains rough fescue present (2%) from plugs and seed.  •  Kentucky bluegrass (3%), smooth brome (2%) and crested wheat grass (1%) present in low amounts; requires monitoring.  •  Canada thistle (3%) and perennial sow thistle (2%) require control. •  Consider removing fence.  •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species Kentucky bluegrass (35%), green needle grass (10%). •  Plains rough fescue decreased from 2% to < 1%. •  Kentucky bluegrass increased from 3% to 35%, awnless /smooth brome increased from 2% to 4%, crested wheat grass and creeping red fescue not recorded along transect in 2014. •  Gates open, moderate grazing intensity, observed utilization 20%.  •  Canada thistle (4%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,Keystone observations: •  Weed control conducted in 2016.  •  Fall assessment indicated good results. •  Monitoring to be conducted in 2017.,,,
SW 15-35-5 W4 CofT No. 162 S 204,500,6,Native Range: Excellent native grass growth (A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established; it was sometimes difficult to find fescue plugs due to the density of the native grass growth.,"•  Good native vegetation establishment (± 75%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (17%), green needle grass (9%). •  Plains rough fescue present (3%) from plugs and seed.  •  Canada thistle (1%) and perennial sow thistle (2%) require control.  •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (22%), Kentucky bluegrass (18%). •  Plains rough fescue deceased from present (3%) to not observed in 2014. •  Kentucky bluegrass increased from not observed to 18%. •  Gates open, light to moderate grazing intensity, observed utilization 35%.   •  Canada thistle (3%) and sweet clover (2%) require control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 3-35-5 W4 CofT No. 082 311 146,800,6,Native Range: Excellent native grass growth (A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established – this ¼ has some of the best fescue plug re-growth that I have seen to date; some fescue plugs found were 4-7”+ high.,"•  Good native vegetation establishment (± 70%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (21%), green needle grass (14%). •  Plains rough fescue present (4%) from plugs and seed.  •  Canada thistle (3%), perennial sow thistle (2%) and field bindweed (1%) require control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (15%), slender wheat grass and Kentucky bluegrass (4% each). •  Plains rough fescue decreased from 4% to 2%.  •  Kentucky bluegrass increased from 0% to 4%.  •  Gates open, light to moderate grazing intensity, observed utilization 25%.  •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 3-35-5 W4 CofT No. 082 425 279,250,6,Native Range:  Excellent native grass growth (A1 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established – this ¼ has some of the best fescue plug re-growth that I have seen to date; some fescue plugs found were 4-7”+ high.,"•  Good native vegetation establishment (± 70%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (21%), green needle grass (14%). •  Plains rough fescue present (3%) from plugs and seed.  •  Smooth brome present (4%); requires monitoring. •  Canada thistle and perennial sow thistle (1% each) require control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (22%), northern wheat grass and sun-loving sedge (7% each). •  Plains rough fescue increased slightly from 3% to 4% from rhizomes. •  Kentucky bluegrass increased from 0% to 5%, awnless/smooth brome decreased to 1% from 4%. Site  requires monitoring due to potential for trending to modified. •  Gates open, light to moderate grazing intensity, observed utilization 10%. •  Canada thistle (< 1%) requires control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
