SPREAD,QUARTER SECTION,LAND USE,ISSUES1,REPAIRS COMPLETED YR. 1 (2014),MONITOR/REPAIR YR. 2 (2015),MONITOR YR. 3,STATUS,VEC,GIS,Topic
B,SE 2-13-24 W3M,Native prairie,Compaction; Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; compaction; scalping,Unresolved,,,
B,NE 35-12-24 W3M,Native prairie,Weed concerns including downy brome; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds; Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NW 36-12-24 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 36-12-24 W3M,Hay,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SE 36-12-24 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 25-12-24 W3M,Hay,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,NW 30-12-23 W3M,Native prairie,Admixing; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
B,SW 30-12-23 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 30-12-23 W3M,Native prairie,Admixing; Compaction; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing; compaction,Unresolved,,,
B,NE 19-12-23 W3M,Improved pasture,Rutting; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; rutting,Unresolved,,,
B,NW 20-12-23 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 20-12-23 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 20-12-23 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 20-12-23 W3M,Native prairie,Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 21-12-23 W3M,Native prairie,Admixing; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
B,NW 16-12-23 W3M,Native prairie,Admixing; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 16-12-23 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 16-12-23 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 15-12-23 W3M,Native prairie,Admixing; Compaction; Silt fence and/or construction debris; Weed concerns,n/a,Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; admixing; compaction,Unresolved,,,
B,SE 15-12-23 W3M,Native prairie,Admixing; Compaction; Silt fence and/or construction debris; Weed concerns,n/a,Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; admixing; compaction,Unresolved,,,
B,NE 10-12-23 W3M,Native prairie,Admixing; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
B,NW 11-12-23 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 11-12-23 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 11-12-23 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 2-12-23 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 1-12-23 W3M,Native prairie,Weed concerns including crested wheatgrass,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing; scalping,Unresolved,,,
B,SW 1-12-23 W3M,Native prairie,Weed concerns including crested wheatgrass,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC; scalping,Unresolved,,,
B,SE 1-12-23 W3M,Native prairie,Scalping; Weed concerns including bull thistle,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 6-12-22 W3M,Native prairie,Scalping; Weed concerns including Canada thistle,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,NW 31-11-22 W3M,Hay,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 31-11-22 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 31-11-22 W3M,Hay,Weed concerns including bull thistle; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 31-11-22 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 31-11-22 W3M,Hay,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 32-11-22 W3M,Improved pasture,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,NW 29-11-22 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 29-11-22 W3M,Cultivated,Compaction,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
B,NE 29-11-22 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 29-11-22 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 28-11-22 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 28-11-22 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 28-11-22 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 21-11-22 W3M,Improved pasture,Admixing; Weed concerns including burdock and downy brome,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
B,NW 22-11-22 W3M,Native prairie,Subsidence; Weed concerns including bull thistle and dame's rocket,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 22-11-22 W3M,Native prairie,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 22-11-22 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 14-11-22 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 14-11-22 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 14-11-22 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 13-11-22 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 12-11-22 W3M,Native prairie,Weed concerns including burdock; Wind/water erosion,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NW 12-11-22 W3M,Hay,Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NE 12-11-22 W3M,Cultivated,Admixing; Contouring,n/a,n/a,Monitor stunted crop; admixing; contouring,Unresolved,,,
B,SE 12-11-22 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 7-11-21 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 6-11-21 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 6-11-21 W3M,Improved pasture,Weed concerns including burdock; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NE 6-11-21 W3M,Improved pasture,Weed concerns including burdock; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 6-11-21 W3M,Hay,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 5-11-21 W3M,Hay,Weed concerns including burdock; Wind/water erosion,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NE 31-10-21 W3M,Native prairie,Weed concerns including burdock and scentless chamomile; Wind/water erosion,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NW 31-10-21 W3M,Native prairie,Weed concerns including burdock and scentless chamomile; Wind/water erosion,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NW 32-10-21 W3M,Hay,Admixing; Weed concerns including burdock,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
B,SW 32-10-21 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 32-10-21 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NW 29-10-21 W3M,Native prairie,Admixing; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing; erosion and/or ESC,Unresolved,,,
B,NE 29-10-21 W3M,Native prairie,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing; erosion and/or ESC,Unresolved,,,
B,SE 29-10-21 W3M,Native prairie,Weed concerns including yellow toadflax,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 28-10-21 W3M,Native prairie,Weed concerns including yellow toadflax,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 21-10-21 W3M,Native prairie,Weed concerns including yellow toadflax,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 21-10-21 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 21-10-21 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 21-10-21 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 21-10-21 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 22-10-21 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 15-10-21 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 15-10-21 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 15-10-21 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 14-10-21 W3M,Improved pasture,"Silt fence and/or construction debris; Weed concerns including absinthe, burdock, tall buttercup and scentless chamomile; Wind/water erosion",Silt fence and/or construction debris removed; Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NW 11-10-21 W3M,Cultivated,Silt fence and/or construction debris; Subsidence; Weed concerns,n/a,Monitor subsidence; Remove silt fence and/or construction debris,Monitor stunted crop; subsidence,Unresolved,,,
B,NE 11-10-21 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 11-10-21 W3M,Cultivated,Silt fence and/or construction debris,n/a,Remove silt fence and/or construction debris,Monitor stunted crop,Unresolved,,,
B,SW 12-10-21 W3M,Cultivated,Silt fence and/or construction debris,n/a,Remove silt fence and/or construction debris,Monitor stunted crop,Unresolved,,,
B,NW 1-10-21 W3M,Cultivated,Subsidence,n/a,Monitor subsidence,Monitor stunted crop; subsidence,Unresolved,,,
B,SW 1-10-21 W3M,Cultivated,Subsidence,n/a,Monitor subsidence,Monitor stunted crop; subsidence,Unresolved,,,
B,SE 1-10-21 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 36-9-21 W3M,Cultivated,Subsidence,n/a,Monitor subsidence,Monitor stunted crop; subsidence,Unresolved,,,
B,NW 31-9-20 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 31-9-20 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring; erosion and/or ESC,Unresolved,,,
B,SE 31-9-20 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 30-9-20 W3M,Cultivated,Contouring,n/a,Monitor subsidence,Monitor stunted crop; contouring,Unresolved,,,
B,NW 29-9-20 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring; erosion and/or ESC,Unresolved,,,
B,NE 29-9-20 W3M,Cultivated,Unable to complete full PCEM assessment*; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 29-9-20 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 28-9-20 W3M,Native prairie,Contouring; Subsidence; Weed concerns including absinthe and scentless chamomile; Wind/water erosion,Weed control,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC; subsidence,Unresolved,,,
B,SE 28-9-20 W3M,Native prairie,"Contouring; Weed concerns including bull thistle, burdock and scentless chamomile; Wind/water erosion",Weed control,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
B,NE 21-9-20 W3M,Native prairie,"Contouring; Weed concerns including absinthe, burdock and scentless chamomile; Wind/water erosion",Weed control,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
B,NW 22-9-20 W3M,Native prairie,Weed concerns including absinthe,Weed control,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Monitor seed catch; noxious and/or aggressive weeds; admixing; contouring; erosion and/or ESC,Unresolved,,,
B,NE 22-9-20 W3M,Native prairie,Admixing; Weed concerns,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
B,SE 22-9-20 W3M,Native prairie,Admixing; Weed concerns,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing,Unresolved,,,
B,SW 23-9-20 W3M,Native prairie,Scalping; Subsidence; Weed concerns including sweet clover; Wind/water erosion,Weed control,Monitor seed catch; noxious and/or aggressive weeds; scalping; subsidence,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; scalping,Unresolved,,,
B,SE 23-9-20 W3M,Native prairie,Compaction; Contouring; Weed concerns including sweet clover; Wind/water erosion,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; compaction; contouring; erosion and/or ESC,Unresolved,,,
B,NE 14-9-20 W3M,Native prairie,Weed concerns,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 13-9-20 W3M,Native prairie,Weed concerns; Wind/water erosion,Erosion repaired and/or ESC implemented; Seeded; Weed control,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,NW 13-9-20 W3M,Improved pasture,Weed concerns including sweet clover,Seeded; Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 13-9-20 W3M,Improved pasture,Weed concerns including sweet clover,Seeded; Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 13-9-20 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring; erosion and/or ESC,Unresolved,,,
B,NE 12-9-20 W3M,Cultivated,Subsidence,n/a,Monitor subsidence,Monitor stunted crop; subsidence,Unresolved,,,
B,NW 7-9-19 W3M,Cultivated,Admixing; Wind/water erosion,n/a,n/a,Monitor stunted crop; admixing,Unresolved,,,
B,SW 7-9-19 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 7-9-19 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 6-9-19 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 5-9-19 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 5-9-19 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 5-9-19 W3M,Cultivated,Subsidence; Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop,Unresolved,,,
B,NE 32-8-19 W3M,Native prairie,Admixing; Contouring; Weed concerns,Weed control,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; admixing; contouring,Unresolved,,,
B,NE 32-8-19 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 33-8-19 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 33-8-19 W3M,Cultivated,Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 28-8-19 W3M,Cultivated,Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 28-8-19 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 28-8-19 W3M,Cultivated,Contouring,n/a,n/a,Monitor stunted crop; contouring,Unresolved,,,
B,SW 27-8-19 W3M,Cultivated,Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 27-8-19 W3M,Cultivated,Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 27-8-19 W3M,Cultivated,Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 26-8-19 W3M,Cultivated,Compaction,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
B,SW 35-8-19 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; compaction; subsidence,Unresolved,,,
B,SE 35-8-19 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 35-8-19 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 36-8-19 W3M,Native prairie,Contouring; Weed concerns including scentless chamomile,Weed control,Monitor seed catch; noxious and/or aggressive weeds; contouring,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,NW 36-8-19 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 1-9-19 W3M,Improved pasture,Trench crowning; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds; trench crowning,Monitor seed catch; noxious and/or aggressive weeds; subsidence; trench crowning,Unresolved,,,
B,SE 1-9-19 W3M,Improved pasture,Admixing; Compaction; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing; compaction,Unresolved,,,
B,SE 1-9-19 W3M,Native prairie,Admixing; Compaction; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; admixing; compaction,Unresolved,,,
B,SE 1-9-19 W3M,Cultivated,Subsidence,n/a,Monitor subsidence,Monitor stunted crop; subsidence,Unresolved,,,
B,SW 6-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 6-9-18 W3M,Cultivated,Contouring,n/a,Monitor contouring,Monitor stunted crop; contouring,Unresolved,,,
B,NE 6-9-18 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction; erosion and/or ESC,Unresolved,,,
B,SE 7-9-18 W3M,Cultivated,Admixing; Compaction,n/a,n/a,Monitor stunted crop; admixing; compaction,Unresolved,,,
B,NE 7-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 18-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 17-9-18 W3M,Cultivated,Admixing; Compaction,n/a,n/a,Monitor stunted crop; admixing; compaction,Unresolved,,,
B,SE 17-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 16-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 16-9-18 W3M,Cultivated,Rutting; Wind/water erosion,n/a,Monitor erosion and/or ESC; rutting,Monitor erosion and/or ESC; rutting,Unresolved,,,
B,SW 15-9-18 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 15-9-18 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 14-9-18 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; compaction; subsidence,Unresolved,,,
B,SE 14-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 13-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 13-9-18 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 13-9-18 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 18-9-17 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 18-9-17 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 17-9-17 W3M,Improved pasture,Weed concerns,n/a,Monitor subsidence,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 17-9-17 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; contouring,Unresolved,,,
B,SE 17-9-17 W3M,Cultivated,Contouring,n/a,Monitor subsidence,Monitor stunted crop; contouring,Unresolved,,,
B,SW 16-9-17 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 16-9-17 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,SW 15-9-17 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring; erosion and/or ESC,Unresolved,,,
B,SE 15-9-17 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 15-9-17 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 14-9-17 W3M,Improved pasture,Trench crowning; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; trench crowning,Unresolved,,,
B,SW 14-9-17 W3M,Cultivated,Silt fence and/or construction debris; Wind/water erosion,n/a,Remove silt fence and/or construction debris,Monitor stunted crop,Unresolved,,,
B,SE 14-9-17 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring; erosion and/or ESC,Unresolved,,,
B,SW 13-9-17 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 13-9-17 W3M,Native prairie,Contouring; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
B,SW 18-9-16 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 18-9-16 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 17-9-16 W3M,Cultivated,Subsidence; Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC; subsidence,Unresolved,,,
B,SE 17-9-16 W3M,Cultivated,Subsidence; Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC; subsidence,Unresolved,,,
B,SW 16-9-16 W3M,Cultivated,Subsidence; Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC; subsidence,Unresolved,,,
B,SE 16-9-16 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,SW 15-9-16 W3M,Cultivated,Contouring; Subsidence,Subsidence repaired,n/a,Monitor stunted crop; contouring; subsidence,Unresolved,,,
B,SE 15-9-16 W3M,Cultivated,Contouring,n/a,n/a,Monitor stunted crop; contouring,Unresolved,,,
B,SW 14-9-16 W3M,Cultivated,Contouring,n/a,n/a,Monitor stunted crop; contouring,Unresolved,,,
B,SE 14-9-16 W3M,Cultivated,Contouring; Subsidence,n/a,n/a,Monitor stunted crop; contouring; subsidence,Unresolved,,,
