Alignment Sheet#,Approx. KP,Legal Location,Land Use,Environmental Issues,Discipline (field planning),"AMEC PCEM Observations, 2013","AMEC PCEM Observations, 2014","AMEC PCEM Observations, 2015","Amec FW Observations, 2016","Amec FW Observations, 2017","Wood Observations, 2018",Repairs to date,Status                  (Resolved/            Unresolved),Recommended Mitigation Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
36,120+075,SW 7-9-28 W1,Tame pasture,Subsidence,Terrestrial,,No issue identified.,,"Grass establishing; however, it appears the cattle got into the fenced area and caused some minor pugging. Should not impede on establishment. Should continue to keep cattle from accessing section and continue to monitor.","Foxtail barley heavy on and off RoW at 120 + 000. Foxtail barley would be hard to control. Could be mowed and bagged. only the first 100 m contain foxtail barley.   RoW passes through low area where foxtail barley was present, but it seems the weed has spread into the RoW.","50*50 area between KP120+000 and 120+050 exhibits slightly saline conditions and  contains foxtail barley. Grass and alfalfa establishing well. Area seems to be an extension of nearby wetland, does not impede on intended land use. No change from 2017. Conditions are similar on and off ROW. Appear due to dry conditions/land use and not construction activities.  Consider resolved.",Recontoured in August 2013. Recontoured and reseeded in May and August 2016.,Resolved,"This area has a class IV wetland located at or about KP 120+050 (W-588). The 2018 field observations state that the foxtail barley seems to be an extension of the nearby wetland and that the grass and alfalfa are establishing well. The wetland has likely dried up (or nearly dried up) due to low precipitation years since the pre-construction surveys, which were conducted during higher precipitation. The 2017 field observations note that there is foxtail barley both on and off of the ROW at 120+000",,,
36,120+360,SW 7-9-28 W1,Watercourse crossing (tributary to Pipestone Creek),"Erosion, silt fence, drainage, vegetation establishment",Watercourse,"Erosion, including a large gully and rills, of the south slope. Erosion is releasing sedimentation into the creek, resulting in narrowing the creek. South slope is unstable. Erosion blanket was found to be installed with spacing to the ground and only few anchors. The largest gully erosion has formed directly above the pipeline. Top of slope slumping has occurred approximately 0.5 m from the slope. On the north slope an area of missing topsoil was identified. Some silt fences installed in a way that directs water down the slope encouraging erosion. Silt fences not maintained properly. Coarse woody debris was removed and placed upstream and downstream of crossing, restricting flow.","May 2014: The slope failure on the south approach identified in 2013 inspections was re-contoured and rolled erosion control product (RECP) was installed. However, RECP installation was not carried to the top of the slope (it stopped approximately 2-3 m from the top of slope) and material was not sufficiently anchored. Surface drainage (e.g., from precipitation) originating at the top of the slope has formed gully erosion under the RECP. Sediment fence installed on the southeast side of the crossing is located in an area which is now stabilized and is no longer required.",,Erosion and bank stabilized. Cattle accessed area and caused some damage along the creek bank.,"Grass well established on slopes.Accessed by cattle, bare patches along shore line due to cattle. Lots of plugging along shoreline.Erosion matting exposed. May want to limit access of cattle on slopes and shoreline and reassess in 2018.",Bank well stabilized. Improved from last year although pugging from cattle still an issue in stream bed.,South bank re-contoured and eroded areas repaired.  Silt fences were removed and reinstalled where erosion was most likely.  Seeded August 2016.,Resolved,,,,
37,121+050,SE 7-9-28 W1,Wetland  (W-534),"Weeds, contouring",Wetland,,,,"Wetland crossing elevated, disconnecting the two portions of wetland.",Weed composition and abundance comparable on and off RoW along edge of wetland. Wetland is considerably drier compared to previous years which gives impression of a rise. Imagery suggests these re two wetlands that were flooded into one during construction. Contouring not really an issue. Consider resolved.,,,Resolved,,,,
37,122+200 to 122+750,17-9-28 W1,Native grassland,"Seed mix, reclamation, weeds",Terrestrial,,"June 2014: Topsoil not replaced. Pile of sand on RoW. Weedy on and off RoW. Noxious weeds: absinthe, Canada thistle, baby's breath (last year's growth only), annual sow thistle.","Weedy on RoW.  Species include absinthe, plantain. Absinthe infestation, lots of coarse fragments at surface.","Grass is establishing well but seed mix species not dominant. With the exception of green needle grass and needle and thread grass, the remaining species from the Southern Manitoba Native Blend seed mix were identified  but only in small patches. Weedy and tame hay species were dominant. Land is marginal and rocky, lots of absinthe through RoW and 1/4 section, pugging present where spring comes out of hill. Natural issues in area outside of RoW. Land wetter in potential spring area with greater potential for wetland vegetation.",Grass well established on RoW. Weeds more prominent off RoW. Riparian areas reestablished. Lily found just on edge of RoW (see pictures). No bare areas.,"Species composition similar on and off of the ROW, with the exception of the ROW having less shrub cover.   Weedy  on and off ROW, though denser on ROW.   Many of the seed mix species were established along the ROW,  as well as a few other typical native grasses.  These sites were generally good condition. Consider resolved.",Topsoil replaced September 2014.,Resolved,This area was noted to have weeds both in the pre-construction survey notes and the alignment sheets. Based on our survey data from 2013 to present and the trajection of the site observations we can assume that the native species will out compete the weedy species in this area.,,,
37,122+750 to 122+975,17-9-28 W1,Native grassland,"Seed mix, reclamation",Terrestrial,,,,"Some species from the Manitoba Moist Soils Native Blend seed mix were identified, with weed and wetland species dominant. While the desired seed mix species was present in small patches, other native wetland species were dominant along the segment, suggesting reclamation is occurring.",Grass well established on RoW. Weeds more prominent off RoW. Riparian areas reestablished. Lily found just on edge of RoW (see pictures). No bare areas.,"Species composition was similar on and off of the ROW, with the exception of the ROW having less shrub cover.  Weedy on and off ROW.   Many of the seed mix species were established along the ROW,  as well as a few other typical native grasses.   Consider resolved.",,Resolved,,,,
1,0+190 to 0+220,NW 9-4-5 W2,Wetland (W-319) Silt fence,,Wetland,August 2013: Frog exclusion fencing /silt fencing was  left in place. At the time of the assessment topsoil had not been replaced on the RoW.,,Not assessed in 2015.,Reclassified as a Class I wetland. Not assessed during the August 2016 field assessment. Issues can be considered resolved.,,,"Topsoil replaced, frog fence removed in September 2013.",Resolved,,,,Issues Considered Resolved as of Year 3
1,2+915,SE 10-4-5 W2,Pasture,"Weeds, seed mix, establishment, compaction.",Terrestrial,"July 2013: Stressed vegetation, weedy.  Noxious species include Canada thistle and common tansy.August 2013: Related to July 2013 observation (see above): patchy growth, exposed subsoil, moderate compaction, impacted rooting depth.","June 2014: Yellow sweet clover infestation, should mow and bag.  August 2014: Land use changed to hayland, unseeded.","Dead standing yellow sweet clover stalks, but no new growth observed.",,,,None recommended,Resolved,,,,
2,5+900,NW 1-4-5 W2,Pasture,Weeds,Terrestrial,No issue identified.,August 2014: Weedy on- and off-RoW.  Noxious weeds include absinthe.  Area mowed to landowner specifications.  Invasive species appear to be moving in from pasture to south of RoW (off-RoW).,Weeds not observed.,,,,Mowed August 2014.,Resolved,,,,
2,6+050,SW 1-4-5 W2,Pasture,Weeds,Terrestrial,July 2013: Active grazing on- and off-RoW.  Off-RoW noxious weeds include narrow-leaved hawksbeard.  On-RoW noxious weeds include scentless chamomile.,No issue identified.,Weeds not observed.,,,,Mowed in 2013 after AMEC review.  Will be monitored in 2015.,Resolved,,,,
5,15+140 to 15+190,SW 35-3-4 W2,Crop,"Subsidence (2013), topsoil (2014)",Terrestrial,July 2013: Subsidence (2 m x 0.4 m at widest and deepest points).,"August 2014: Topsoil replaced, but is different texture and colour.",Topsoil issues not observed.,Did not note any deficiencies.,,,Topsoil replaced in October 2013.,Resolved,,,,
5,15+250,SW 35-3-4 W2,Crop,Stressed vegetation,Terrestrial,,,20 m X 26 m area of poor crop growth.,Did not note any deficiencies.,,,,Resolved,,,,
6,18+000 to 18+725,NW 31-3-3 W2 / SW 6-4-3 W2,Hayland,Weeds,Terrestrial,"July 2013: Hayland that has been swathed and baled, cannot identify desired species.  Noxious species include thistle spp.",August 2014: Area sprayed by land owner for cultivation purposes.,Landowner sprayed hayland; to be cultivated in future.,,,,Mowed in 2013.  Monitor for 2014.,Resolved,,,,
7,22+800,SE 9-4-3 W2,Organic hay,Weeds,Terrestrial,"July 2013: Weedy RoW; however, cannot compare at this time to baseline as field has been swathed and baled.",August 2014: Yellow sweet clover infestation.  Should mow and bag.,Not assessed in 2015.,Did not note any deficiencies.,,,Mowed in 2013.,Resolved,,,,
7,23+150,SE 9-4-3 W2,Organic hay,Subsidence,Terrestrial,July 2013: 3.0 m x 1.6 m x 0.3m subsidence.,,"Dead standing yellow sweet clover stalks, but no new growth observed.",,,,Cultivated in November 2013.,Resolved,,,,
7,23+600,NW 10-4-3 W2,Hayland,Weeds,Terrestrial,July 2013: Weeds on RoW.,"August 2014: Hayed, no weed infestations observed.",,Did not note any deficiencies.,,,Sunken bellhole needs to be addressed.,Resolved,,,,
8,25+050,NW 11-4-3 W2,Crop,Subsidence,Terrestrial,July 2013: Subsidence (1.5 m x 0.6 m x 0.3 m).,No issue identified.,Subsidence not observed.,,,,Cultivated in October 2013.,Resolved,,,,
8,25+980,NW 11-4-3 W2 / SW 14-4-3 W2,Crop,Daylighting hole,Terrestrial,July 2013: Subsidence (1.0 m x 0.3 m x 0.4 m) at daylighting hole.,August 2014: Hole was observed.  Hole was reported and EI supervised backfilling.,Daylighting hole not observed.,,,,Hole filled in August 2014.,Resolved,,,,
10,31+090,SW 20-4-2 W2,Watercourse crossing (Alameda Reservoir West Arm: Shepherd Creek),"Weeds, debris",Watercourse,August 2013: On- and off-RoW noxious weeds include Canada thistle.,May 2014: Canada thistle on RoW.  Desired species also present. Construction debris on the west side.,Issues not identified.,,,,,Resolved,,,,
10,31+200 to 32+800,SW 20-4-2 W2,Hayland. Native grassland (100 m),Weeds,Terrestrial,"July 2013: On- and off-RoW noxious weeds include scentless chamomile, Canada thistle and annual sow-thistle.",August 2014: Weedy RoW.,Issues not identified.,,,,,Resolved,,,,
10,31+360,SW 20-4-2 W2,Watercourse crossing (tributary to Shepherd Creek),"Channel profile, ESC required",Watercourse,August 2013: The channel profile at the crossing location has not been restored to a natural profile. The stream banks have been reconstructed such that it is now approximately 0.4 m above the natural (upstream and downstream) channel bed elevation. The channel width has been reduced due to infilling on both banks. Active erosion and downstream deposition. Exposed soil on RoW with very poor vegetation establishment at the pipeline crossing location. Sediment fence have failed (i.e. bowed over with sediment deposition). Rill erosion was observed within exposed soils of the approach slopes. Northern leopard frogs were observed within the vicinity of the tributary crossing.,May 2014: The channel profile at the crossing location has not been restored to a natural profile. The stream banks have been reconstructed such that it is now approximately 0.4 m above the natural (upstream and downstream) channel bed elevation. The channel width has been reduced due to infilling on both banks. Active erosion and downstream deposition. Exposed soil on RoW with very poor vegetation establishment at the pipeline crossing location. Sediment fence have failed (i.e. bowed over with sediment deposition). Rill erosion was observed within exposed soils of the approach slopes. Northern leopard frogs were observed within the vicinity of the tributary crossing.,,Re-established and water flowing through channel.,,,Crossing looks pretty good. Vegetation is well established and flow is not impeded.,Resolved,,,,
11,34+225,SE 28-4-2 W2,Tame pasture. Native grassland,Weeds,Terrestrial,July 2013: Off- RoW has no noxious weeds.  On-RoW noxious weeds include Canada thistle.,"August 2014: Heavy yellow sweet clover infestation, should mow and bag.  Absinthe also present (noxious).",Desired species present and outcompeting weeds.,,,,Mowed August 2014.,Resolved,,,,
11,34+364,SW 27-4-2 W2,Watercourse crossing (Alameda Reservoir East Arm: Moose Mountain Creek),Vegetation establishment,Watercourse,August 2013: Area of subsidence and poor vegetation reestablishment (5 m by 6 m) was observed. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,"May 2014: A small area of subsidence (1 m by 2 m, approximately by 0.5  lower than surrounding landscape) was noted.","Sparse vegetation, but establishing.",Minor subsidence in pasture. Does not impede on intended land use (grazing) and is not affecting vegetative growth. Does not pose a hazard to cattle or wildlife.,,,,Resolved,,,,
11,34+382,SW 27-4-2 W2,Watercourse crossing (Alameda Reservoir East Arm: Moose Mountain Creek),Topsoil,Watercourse,August 2013: Small area (1.0 m x 2.0 m x 0.5 m) of subsidence.,May 2014: Topsoil does not appear to have been replaced at this location; soil at the surface appeared to be subsoil (10 m by 8 m).,Issue not identified.,,,,,Resolved,,,,
11,34+394,SW 27-4-2 W2,Watercourse crossing (Alameda Reservoir East Arm: Moose Mountain Creek),Topsoil,Watercourse,August 2013: Topsoil does not appear to have been replaced at this location; soil at the surface appeared to be subsoil (10 m x 8 m).,May 2014: Area of subsidence and poor vegetation reestablishment (5 m by 6 m) was observed. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,"Vegetation establishing, desired species present.",,,,,Resolved,,,,
11,34+400,SW 27-4-2 W2,Tame pasture. Native grassland,Weeds,Terrestrial,"July 2013: Noxious weeds off-RoW (Canada thistle), but not currently affecting on-RoW.",Heavy Sonchus  spp  infestation (noxious).,"Weeds comparable on- and off-RoW, no change from 2014.",,,,,Resolved,,,,
11,35+000,SW 27-4-2 W2,Tame pasture. Native grassland,Weeds,Terrestrial,No issue identified.,"June 2014: Weedy RoW, but desired species present (Sandberg's bluegrass, western wheatgrass, meadow brome).  August: area has been mown.",Issue not identified.,,,,Mowed August 2014.,Resolved,,,,
11,35+030,SW 27-4-2 W2,Modified grass. Native grassland,Weeds,Terrestrial,August 2013: High abundance of weeds was observed within the RoW on the east side of the crossing. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,August 2014: High abundance of weeds was observed within the RoW on the east side of the crossing. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,"Weedy on-RoW.  Species included pasture sage, crested wheatgrass, lambs quarters and flixweed.",Vegetation is well established along RoW.,,,Mowed weedy areas - August 2014 and broadcasted seed and harrowed area. Landowner contacted and cattle were kept off RoW for the rest of the growing season.,Resolved,,,,
11,35+640,SE 27-4-2 W2,Tame pasture,Weeds,Terrestrial,July 2013: False ragweed infestation.  Desired species present.,,No issue identified.,,,,Mowed in 2013.,Resolved,,,,
11,37+100,NW 26-4-2 W2,Hayland,Weeds,Terrestrial,"August 2013: Weedy, but alfalfa and brome present and competitive.","August 2014: No longer hayland, now cultivated to barley.  Heavy yellow sweet clover present.","Dead yellow sweet clover stalks on RoW.  Barley in 2014 may have been cover crop, as land use appears to be pasture/hayland.",Good vegetation establishment. Signs of dead yellow sweet clover. No other issues.,,,Landowner changed; none recommended.,Resolved,,,,
13,41+360 to 41+370,NE 31-4-1 W2,Wetland (W-633) Woody vegetation,,Wetland,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,Not assessed in 2015.,Tree ring re-establishing well. Little to no cattails or other aquatic vegetation. Lots of weeds present. Woody vegetation will not be permitted to establish on RoW due to pipeline integrity requirements. Consider this issue resolved.,,,,Resolved,Continue wetland health and function monitoring.,,,
13,42+690 to 42+890,NW 32-4-1 W2,Wetland (W-418) Woody vegetation,,Wetland,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,Not assessed in 2015.,Cattails present with only a minimal amount of weeds. Woody vegetation will not be permitted to establish on RoW due to pipeline integrity requirements. Consider this issue resolved.,,,,Resolved,Continue wetland health and function monitoring.,,,
13,43+130 to 43+270,NE 32-4-1 W2,Wetland (W-638) Woody vegetation,,Wetland,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,Not assessed in 2015.,RoW goes through the middle of this forested wetland. Vegetation has reestablished but only to cattails and sedge species. Woody vegetation will not be permitted to establish on RoW due to pipeline integrity requirements. Consider this issue resolved.,,,,Resolved,Continue wetland health and function monitoring.,,,
13,43+300,NE 32-4-1-W2,Organic,Weed cleaning station,Terrestrial,,"August 2014: Some weeds noted - sow thistles, volunteer canola, pigweed.  Weeds located on/off-RoW.","Weedy on- and off-RoW, but comparable to surrounding land use.  Organic land.",,,,None recommended.,Resolved,,,,
13,43+840 to 43+920,SW 4-5-1 W2,"Wetland (W-419) Bare soils, rutting",,Wetland,"August 2013: Minor disturbances, including bare soils and rutting issues, but some vegetation has begun to establish within the disturbed areas.",,Not assessed in 2015.,"Cattails established throughout wetland, and woody vegetation establishing outside the RoW. Woody vegetation will not be permitted to establish on RoW due to pipeline integrity requirements. Consider this issue resolved.",,,None recommended.,Resolved,Continue wetland health and function monitoring.,,,
14,47+050,SW 10-5-1 W2 / SE 10-5-1 W2,Hayland,Vegetation establishment,Terrestrial,"August 2013: Off-RoW clearly planted to alfalfa.  Field has been swathed and baled, so cannot distinguish species present.",,"Alfalfa established on-RoW, very few weeds (comparable to off-RoW).",Good vegetation establishment.  No other issues noted.,,,Reseeded in late 2013; reseeded in 2014.,Resolved,,,,
14,47+160 to 47+715,SE 10-5-1 W2,Crop,Stressed vegetation,Terrestrial,"August 2013: Narrow (1 m) linear issue: vegetation clearly impacted (0.4 m vs. 0.8 m wheat located 2 m away), but not sure what to attribute it to.  Crop still growing, just not as vigorous.","August 2014: Same issue present.  Narrow linear issue affecting crop height, but not crop vigour (yield appears same).",Issue not identified.,,,,None recommended.,Resolved,,,,
15,48+000,SW 11-5-1 W2,Native grassland Weeds,,Terrestrial,"August 2013: No noxious weeds at this location, nuisance species on- and off-RoW.",August 2014: Yellow sweet clover infestation.,"Dead yellow sweet clover stalks on RoW, desirable species established in understory.",,,,"Mowed Oct 6, 2013.",Resolved,,,,
15,50+250,NW 12-5-1 W2,Native grassland,Vegetation establishment,Terrestrial,"August 2013: Obvious ridge along north edge of the RoW, topography was not tied in properly to existing topography.  RoW weedy, but native prairie seed mix species present.","August 2014: Ridge resolved, but possibly some compaction under the area where the ridge was.","Vegetation establishing, but more sparse on former ridge area.",No noticeable ridge present. Grass establishing well although cattle have been grazing the RoW quite heavily. No other issues identified.,,,Mowed area September 2014.,Resolved,,,,
17,56+900,NE 13-5-34 W1,Watercourse crossing (Antler River),"Fence, markers, silt fence",Watercourse,"August 2013: The cattle exclusion fence has been damaged by cattle on the northwest side of the crossing and cattle have entered and re-disturbed the RoW. The pipeline marker post on the west side of the crossing was knocked over. Temporary ESC measures (e.g., silt fences) that are no longer required should be removed.",May 2014: The broken cattle exclusion fence was removed; no new fence was installed to replace the missing section.,Issue not identified.,,,,"Exclusion fence fixed, reinstalled missing fence post.  Pipeline post re-erected.  Silt fence removed (EI).",Resolved,,,,
18,59+900 to 59+970,SW 20-5-33 W1,Wetland,"Bare soils, rutting",Wetland,"August 2013: Minor disturbances, including bare soils and rutting issues, but some vegetation has begun to establish within the disturbed areas.",,Not assessed in 2015.,,,,Rutting and bare soil cultivated over by landowner.,Resolved,Continue wetland health and function monitoring in Year Five.,,,
18,60+820 to 60+900,SW 21-5-33 W1,Wetland,"Bare soils, rutting",Wetland,"August 2013: Minor disturbances, including bare soils and rutting issues, but some vegetation has begun to establish within the disturbed areas.",,Not assessed in 2015.,,,,None recommended.,Resolved,Continue wetland health and function monitoring in Year Five.,,,
19,62+550 to 63+825,NE 21-5-33 W1,Crop,Topsoil,Terrestrial,,"June 2014: Subsoil at surface, admixing, inhibited plant growth (winter wheat crop).  Integrity dig at location resulted in highly erodible soils at surface.  Topsoil washed off RoW during heavy rains in spring.",Not assessed in 2015.,Crop looks to be growing well along RoW. No deficiencies noted.,,,Integrity (DVCG) dig to happen in November 2014.,Resolved,,,,
19,64+000 to 64+500,SE-27-5-33W1,,,Terrestrial,,,,Crop looks to be growing well along RoW. No deficiencies noted.,,,,Resolved,,,,
19,64+300,SE-28-5-33 W1,Crop,Rare plant,Terrestrial,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,"Lillium philadelphicum  not observed.  Landowner cultivated into wetland, and sprayed with broadleaf herbicide.  L. philadelphicum  will likely not re-establish.",,,,None recommended.,Resolved,,,,
19,64+700,SE-28-5-33 W1,Crop,Rare plant,Terrestrial,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed. Population determined to have been avoided by construction. Issue considered resolved.,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,,,None recommended.,Resolved,,,,
20,66+000 to 66+200,NE 26-5-33 W1,Crop,Weeds,Terrestrial,,Unidentified grassy weed seedlings in cereal crop.,Issue not identified.,,,,,Resolved,,,,
22,71+960 to 72+010,SW 8-6-32 W1,Wetland,Substrate,Wetland,,July 2014: Substrate on the pipeline RoW within the wetland observed to be more mineral in composition as compared to off-RoW portions of the wetland.,Not assessed in 2015.,Wetland substrate appears more mineral over RoW and vegetation still establishing.,,,None recommended.,Resolved,Continue wetland health and function monitoring in Year Five.,,,
22,72+200 to 72+500,SW 8-6-32 W1,Crop,Weeds,Terrestrial,,"June 2014: Weedy on- and off-RoW.  Noxious weeds: annual sow thistle, Canada thistle.",Issue not identified.,,,,None recommended.,Resolved,,,,
22,73+650,SE-17-6-32-W1,Wetland,Rare plant,Wetland,Lillium philadelphicum  not observed.,Lillium philadelphicum  not observed.,Lillium philadelphicum  observed.,,,,None recommended.,Resolved,,,,
23,75+895 to 76+150,NE 16-6-32 W1,Crop,Weeds,Terrestrial,,"June 2014: Weedy RoW.  Noxious weeds: annual sow-thistle, Canada thistle.",Issue not identified.,,,,None recommended.,Resolved,This wetland is assumed to have been unaffected by construction because it is located off of the construction ROW.,,,
23,77+200,SE 22-6-32 W1,Watercourse crossing (tributary to Lightning Creek),"Channel profile, establishment, debris, marker",Watercourse,"August 2013: Channel widening at the crossing, bare soil is visible under water.  Areas of poor vegetation establishment (e.g., bare soil) were observed on both sides of the crossing. Survey stakes are present. One of the Enbridge pipeline posts is missing.","May 2014: Channel widening at the crossing, topsoil and sod appears to have been redistributed over a 20 m by 20 m area on the west side, which was not previously disturbed. In addition, some debris (a sediment bag (west side - in vicinity of RoW), sediment fence pieces, wetland sign, and metal sign stakes) has been left in this area.  Areas of poor vegetation establishment (e.g., bare soil) were observed. One of the Enbridge pipeline posts is leaning and the sign on the east side has fallen over. Silt fence has only been partially removed.",,"Crossing looks pretty good. Good vegetation establishment, no erosion concerns or concerns with channel profile stability. No issues identified.",,,"Backfilled silt fence trenches, armoured channel widening with rip rap rock. Picked up sediment bag and other debris on RoW. Fixed broken seclusion fencing. Mowed foxtail and re-seeded area. Marker Posts re-installed. September 2014.",Resolved,,,,
23,77+900 to 78+900,NW 23-6-32 W1,Crop,Weeds,Terrestrial,,June 2014: Weedy on- and off-RoW.  Noxious weeds: round-leaved mallow.,"Weedy on-RoW from 77+900 to 78+040.  Species include: dock, foxtail barley, flixweed.  Ranchers haymix establishing.","There are a couple of patches of Foxtail barley along RoW, and elsewhere in the 1/4 in low areas. Vegetation is well established. No other issues identified.",,,Mowed and broadcasted seed. August 2014.,Resolved,,,,
23,79+820,SE 26-6-32 W1,Wetland,Substrate,Wetland,,July 2014: Substrate on the pipeline RoW within the wetland observed to be more mineral in composition as compared to off-RoW portions of the wetland.,Not assessed in 2015.,No difference in soil composition  observed on/off RoW during August 2016 surveys. Consider issue resolved.,,,None recommended.,Resolved,,,,
23,79+850 to 79+870,SE 26-6-32 W1,Wetland,Substrate,Wetland,,July 2014: Substrate on the pipeline RoW within the wetland observed to be more mineral in composition as compared to off-RoW portions of the wetland.,Not assessed in 2015.,Wetland is well established,,,None recommended.,Resolved,,,,
25,82+810,NW 31-6-31 W1,Watercourse crossing (Lightning Creek),"Silt fence, bare soil, debris",Watercourse,"August 2013: Silt fence on southwest side is no longer required. Silt fence on the northeast side requires maintenance and should remain. A sump or drill entry area, approximately 6 m by 10 m in size, was identified southwest of the crossing. This location is characterized by bare soil with less than 5 % vegetation cover. Survey stakes (location stakes) are present on the northeast side of the crossing.",May 2014: Area of subsistence noted in 2013 inspections appears to have been re-contoured. Vegetation has not fully re-established.  3m section of barbwire from fence is on ground on east side of crossing.,,"Creek crossing looks good. No subsidence noted, no other issues noted.",,,"Subsidence resolved and seeded, stakes removed, silt fence removed (2013).",Resolved,,,,
25,82+950,NW 31-6-31 W1,Crop,Erosion,Terrestrial,,June 2014: Gully erosion to subsoil.  Originated at tractor ruts and continued downslope.,Issue not identified.,,,,None recommended.,Resolved,,,,
25,83+650,NE 31-6-31 W1,Wetland,Drainage,Wetland,,June 2014: Drainage of wetlands from higher elevation to lower elevation.,Not assessed in 2015.,Wetland is well established.,,,None recommended.,Resolved,,,,
26,85+170 to 85+210,SE 4-7-31 W1,Wetland,Erosion,Wetland,,July 2014: Some erosion on pipeline RoW at wetland crossing.,Gully erosion starting off-RoW from WL to west.  Gully 1.0 m wide x 0.4 m deep.,No erosion observed.,,,,Resolved,,,,
26,85+530,SE 4-7-31 W1,Wetland,Pugging,Wetland,,June 2014: Pugging at edge of wetland.  Wetland fenced to exclude cattle.,Not assessed in 2015.,Fencing present but in poor condition. No new pugging observed. Previous pugging is re-vegetating.   Can be considered resolved once fence is repaired.,,,None recommended.,Resolved once fencing repair is complete.,Repair fencing adjacent to RoW,,,
26,85+540 to 85+840,SE 4-7-31 W1,Wetland (W-179) Pugging,,Wetland,,June 2014: Pugging at edge of wetland.  Wetland fenced to exclude cattle.,Not assessed in 2015.,Fencing present but in poor condition. No new pugging observed. Previous pugging is re-vegetating.,,,,Resolved,Continue wetland health and function monitoring,,,
26,86+720 to 86+810,NW 3-7-31 W1,Wetland (W-543),Vegetation establishment,Wetland,,,,Vegetation has established similar to off RoW. Riparian on RoW affected by agricultural practices. Can be removed from further monitoring.,,,,Resolved,,,,
27,89+180 to 89+260,NW 11-7-31 W1,Wetland (W-311) Contouring,,Wetland,,July 2014: Uneven re-contouring of the wetland substrate.,Not assessed in 2015.,No signs of contouring concerns. Wetland revegetating well. Consider this issue resolved.,,,None recommended.,Resolved,,,,
27,89+670 to 89+710,NW 11-7-31 W1,Wetland (w-421),Compaction,Wetland,,RoW slightly compacted within wetland crossing. July 2013.,Not assessed in 2015.,Signs of compaction no longer evident. Portions of wetland on RoW have been seeded to crop which is affective vegetation establishment.  Consider issue resolved but continue to monitor for wetland health and function.,,,None recommended,Resolved,Continue wetland health and function monitoring.,,,
27,89+730 to 89+760,NW 11-7-31 W1,Wetland (W-484) Compaction,,Wetland,,July 2014: RoW slightly compacted within wetland crossing.,Not assessed in 2015.,Signs of compaction no longer evident. Portions of wetland on RoW have been seeded to crop which is affective vegetation establishment.  Consider issue resolved but continue to monitor for wetland health and function.,,,None recommended.,Resolved,Continue wetland health and function monitoring.,,,
27,90+080,SW 13-7-31 W1,Crop,Erosion,Terrestrial,,"July 2014: Gully erosion.  Starts as overland flow off-RoW, becomes channel flow when it hits RoW.  Coming from wetland W-422.  August 2014: Fish (fathead minnow and brook stickleback) observed.  Water draining from wetland W-381.",Gully erosion has not been addressed.,"Gully erosion still present. Corner of field is wet, and crop isn't growing well.  More to do with the natural drainage of the land than anything.",,,,Resolved,,,,
28,92+260,NE 13-7-31 W1,Crop,Erosion,Terrestrial,,June 2014: Gully erosion at valve block pad and RoW border.,"Some erosion still present, topsoil deposited on block valve pad.",Some deposition still occurring on block valve pad. Doesn't appear to be much of an issue.,,,Mowed in August 2014.,Resolved,,,,
28,92+630 to 92+900,SW 19-7-31 W1,Tame pasture,"Weeds, debris",Terrestrial,,June 2014: Heavily infested with stinkweed.  Pile of survey lathe at 92+630.,"Weedy on- and off-RoW, desired species present.",,,,Removed pile of lathe - September 2014.,Resolved,,,,
28,92+920,SW 19-7-30 W1,Watercourse crossing (Gainsborough Creek),"ESC required, silt fence",Watercourse,"August 2013: Rip-rap armouring was installed at the crossing, but a section of unstable/eroding bank was noted. Silt fence is no longer required.",May 2014: Upland areas and approach slopes to the crossing location (east side) appear to have been re-disturbed subsequent to 2013 inspections; these areas had very poor vegetation establishment during the 2014 inspections. There is a potential for sediment to be transported from these areas to the creek in high precipitation events.,,Vegetation establishing well and shoreline armouring looks good. No erosion or other issues noted.,,,Stabilization of the unstable bank by placing additional rip-rap armouring on west bank. Removal of both silt fences. September 2013.,Resolved,,,,
28,92+930,SW 19-7-30 W1,Pasture,"Weeds, establishment",Terrestrial,,"June 2014: Sparse vegetation growth.  Water crossing RoW, looks like area was flooded (could explain sparse growth).",Issue not identified.,,,,None recommended.,Resolved,,,,
28,92+975 to 93+025,SW 19-7-30 W1,Pasture,Weeds,Terrestrial,,June 2014: Weedy on RoW.  Stinkweed primarily.,"Weedy on- and off-RoW (comparable). Thistle off-RoW could encroach, but no issues right now.",,,,None recommended.,Resolved,,,,
