Legal Location (W6),Land Use,1st Year (2013) Issue(s),KP,1st Year (2013) Discussion,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 4-79-10,Hayland,"Moderate surface drainage (ponding), microtopography (low area) issue",9+100,"Swale on workside with 80% vegetation cover in swale. During the fall of 2013, topsoil was distributed and the area was reseeded.","May 25, 2014 • L/O has disked ROW, but the east hay field is rough. • 3 patches of light soil conditions noted. • West hay field, grade looks good • No subsidence • No weeds at time of assessment June 19, 2014 - L/O is happy with the current condition of the ROW and does not feel there needs to be any dirt work done. Therefore microtopography issues noted in 2013 at KP 8+950, 9+025, 9+100, and 9+300 are resolved. June 21 – 23, 2014 – KP 14+800, Uneven, rough berm - berm smoothed with rake, then reseeded. – KP 9+210, Fence wires reinstalled, space left for gate.","June 2, 2015 – Vegetation estimated to be 30% of off ROW control. Consisting mostly of alfalfa, and brome grasses. Monitor in 2016 to ensure reduced vegetation cover is not persistent. – Occurrences of Canada thistle noted, not affecting land capability. Continue to monitor.  – Right of way not fenced.  – Cross drainage at KP 9+212 appears to be re-vegetating and functional. – Fence at KP 9+210 has posts pounded but no barbed wire stung. Fence will be completed in consultation with landowner. - Bell hole subsidence near range road crossing at approximately KP 9+450, repairs recommended. July 29, 2015 - – Large patch of Canada thistle was noted at KP 9+100, recommend herbicide application. - Subsidence repaired at KP 9+450, the area was harrowed and seeded, monitor in 2016. July 31, 2015 – Intermittent herbicide application conducted. August 24, 2015 - Herbicide appeared to have killed approximately 90% of Canada thistle. Recommend re-applying herbicide in fall. Sept. 25, 2015 – Herbicide application conducted to control Canada thistle.",,,
NW 4-79-10,Hayland,"High surface drainage (ponding), microtopography (low area) issue, moderate vegetation issue",9+300,"Ponding on workside. Vegetation growth is impacted in dip). During the fall of 2013, topsoil was distributed and the area was reseeded.","May 25, 2014 • L/O has disked ROW, but the east hay field is rough. • 3 patches of light soil conditions noted. • West hay field, grade looks good • No subsidence • No weeds at time of assessment June 19, 2014 - L/O is happy with the current condition of the ROW and does not feel there needs to be any dirt work done. Therefore microtopography issues noted in 2013 at KP 8+950, 9+025, 9+100, and 9+300 are resolved. June 21 – 23, 2014 – KP 14+800, Uneven, rough berm - berm smoothed with rake, then reseeded. – KP 9+210, Fence wires reinstalled, space left for gate.","June 2, 2015 – Vegetation estimated to be 30% of off ROW control. Consisting mostly of alfalfa, and brome grasses. Monitor in 2016 to ensure reduced vegetation cover is not persistent. – Occurrences of Canada thistle noted, not affecting land capability. Continue to monitor.  – Right of way not fenced.  – Cross drainage at KP 9+212 appears to be re-vegetating and functional. – Fence at KP 9+210 has posts pounded but no barbed wire stung. Fence will be completed in consultation with landowner. - Bell hole subsidence near range road crossing at approximately KP 9+450, repairs recommended. July 29, 2015 - – Large patch of Canada thistle was noted at KP 9+100, recommend herbicide application. - Subsidence repaired at KP 9+450, the area was harrowed and seeded, monitor in 2016. July 31, 2015 – Intermittent herbicide application conducted. August 24, 2015 - Herbicide appeared to have killed approximately 90% of Canada thistle. Recommend re-applying herbicide in fall. Sept. 25, 2015 – Herbicide application conducted to control Canada thistle.",,,
NE 5-79-10,Cultivated,No issues observed,9+700,The ROW is revegetating well.,"May 25, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 70-80% of off ROW  • patch of reduced vegetation cover (50%) at 10+300, monitor  • 9+900 rill erosion across ROW,  August 26, 2014 - L/O to work field to address erosion, monitor in 2015.","June 2, 2015 – Field has recently been seeded.  – No noxious weeds noted. – Contouring of ROW matches natural topography. – Soil color and texture is consistent with off right of way control.  - No visible issue with vegetation growth noted at KP 10+300, monitor in 2016. October 4, 2015 – ¼ is in Oats and has not been harvested at this time. – No visible signs of weeds in Oat field itself.  – Canada Thistle was found at the west edge of the field at KP 9+560. Recommend spot spraying.  October 5, 2015 – Herbicide application conducted to control Canada thistle.",,,
NE 5-79-10,Cultivated,Moderate vegetation issues,10+300,"Bare area (30m wide and 7m in length). Vegetation cover is expected to improve in subsequent years. During the fall of 2013, topsoil was distributed and contoured. Rocks on the ROW were picked.","May 25, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 70-80% of off ROW  • patch of reduced vegetation cover (50%) at 10+300, monitor  • 9+900 rill erosion across ROW,  August 26, 2014 - L/O to work field to address erosion, monitor in 2015.","June 2, 2015 – Field has recently been seeded.  – No noxious weeds noted. – Contouring of ROW matches natural topography. – Soil color and texture is consistent with off right of way control.  - No visible issue with vegetation growth noted at KP 10+300, monitor in 2016. October 4, 2015 – ¼ is in Oats and has not been harvested at this time. – No visible signs of weeds in Oat field itself.  – Canada Thistle was found at the west edge of the field at KP 9+560. Recommend spot spraying.  October 5, 2015 – Herbicide application conducted to control Canada thistle.",,,
NW 5-79-10,Cultivated,No issues observed,10+500,The ROW is revegetating well.,"May 25, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation cover 80-90% of off ROW,  • 10+750, minor rill erosion not affecting land use, continue to monitor • 11+040, low area holding water on south side of ROW affecting vegetation growth, re contour. June 20, 2014 – north fence of ROW pulled by L/O. Fence is now removed. – Pooling area noted at 11+040 is a non-issue with L/O as low area was present prior to construction. No Work required, issue resolved.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment was done from range road, using binoculars. - Vegetation looks to be comparable to off ROW control. - Providing landowner approval is granted, monitor vegetation growth at KP 10+850.",,,
NW 5-79-10,Cultivated,No issues observed,10+550,Natural low area,"May 25, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation cover 80-90% of off ROW,  • 10+750, minor rill erosion not affecting land use, continue to monitor • 11+040, low area holding water on south side of ROW affecting vegetation growth, re contour. June 20, 2014 – north fence of ROW pulled by L/O. Fence is now removed. – Pooling area noted at 11+040 is a non-issue with L/O as low area was present prior to construction. No Work required, issue resolved.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment was done from range road, using binoculars. - Vegetation looks to be comparable to off ROW control. - Providing landowner approval is granted, monitor vegetation growth at KP 10+850.",,,
NW 5-79-10,Cultivated,"Moderate surface drainage (low area, ponding) issue, moderate vegetation establishment issue",10+850,"Low area causing temporary intermittent ponding. Poor growth of wheat (In the fall of 2013, the area was recontoured.","May 25, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation cover 80-90% of off ROW,  • 10+750, minor rill erosion not affecting land use, continue to monitor • 11+040, low area holding water on south side of ROW affecting vegetation growth, re contour. June 20, 2014 – north fence of ROW pulled by L/O. Fence is now removed. – Pooling area noted at 11+040 is a non-issue with L/O as low area was present prior to construction. No Work required, issue resolved.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment was done from range road, using binoculars. - Vegetation looks to be comparable to off ROW control. - Providing landowner approval is granted, monitor vegetation growth at KP 10+850.",,,
NW 5-79-10,Watercourse,Moderate vegetation issue,11+100,Vegetation cover is expected to improve in subsequent years.,"May 25, 2014 • Watercourse looks good, vegetation 90-100% of off ROW, observed dead thistle plants on slopes down to creek, but did not see any new growth at time of assessment.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment was done from range road, using binoculars. – Diversion berms seem well vegetated and stable on hill slope. Cribbed bank wraps appear in functioning condition along tributary. Cobble drainage ditch is stable with vegetation establishing throughout.",,,
NW 5-79-10,Watercourse,High noxious weed issue,11+100,Canada thistle present on banks.,"May 25, 2014 • Watercourse looks good, vegetation 90-100% of off ROW, observed dead thistle plants on slopes down to creek, but did not see any new growth at time of assessment.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment was done from range road, using binoculars. – Diversion berms seem well vegetated and stable on hill slope. Cribbed bank wraps appear in functioning condition along tributary. Cobble drainage ditch is stable with vegetation establishing throughout.",,,
NE 6-79-10,Pasture,High noxious weed issue,11+250,Canada thistle observed in coulee east of road at KP 11.4.,"May 27, 2014 • 80-90% Vegetation cover of off ROW • Based on vegetation coverage issues noted at 11+400 and 11+600 are resolved. • No subsidence observed  • Minor weeds at time of assessment (Canada thistle), continue to monitor • Cattle grazing ROW at time of assessment • Drainage at 11+850 Vegetation cover 80% of off ROW.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Cattle grazing throughout pasture. – Fence along ROW on south side.",,,
NE 6-79-10,Pasture,"High surface drainage (ponding), microtopography (low area) issue",11+400,"Dip on the workside; ponding present. Rest of ROW looks good. During the fall of 2013, the area was recontoured, and the area was reseeded.","May 27, 2014 • 80-90% Vegetation cover of off ROW • Based on vegetation coverage issues noted at 11+400 and 11+600 are resolved. • No subsidence observed  • Minor weeds at time of assessment (Canada thistle), continue to monitor • Cattle grazing ROW at time of assessment • Drainage at 11+850 Vegetation cover 80% of off ROW.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Cattle grazing throughout pasture. – Fence along ROW on south side.",,,
NE 6-79-10,Pasture,Moderate vegetation issues,11+600,Fenced off alley for cattle; no growth.,"May 27, 2014 • 80-90% Vegetation cover of off ROW • Based on vegetation coverage issues noted at 11+400 and 11+600 are resolved. • No subsidence observed  • Minor weeds at time of assessment (Canada thistle), continue to monitor • Cattle grazing ROW at time of assessment • Drainage at 11+850 Vegetation cover 80% of off ROW.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Cattle grazing throughout pasture. – Fence along ROW on south side.",,,
NE 6-79-10,Pasture,No issues observed,11+850,Drainway across ROW looks good; The ROW is revegetating well.,"May 27, 2014 • 80-90% Vegetation cover of off ROW • Based on vegetation coverage issues noted at 11+400 and 11+600 are resolved. • No subsidence observed  • Minor weeds at time of assessment (Canada thistle), continue to monitor • Cattle grazing ROW at time of assessment • Drainage at 11+850 Vegetation cover 80% of off ROW.","June 3, 2015 – Access not granted by landowner. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Cattle grazing throughout pasture. – Fence along ROW on south side.",,,
NW 6-79-10,Pasture,Moderate erosion issue,12+350,Minor rill erosion observed at cross drainage across ROW; stable and vegetation is growing within.,"May 27, 2014 • 80-90% Vegetation cover of off ROW • No subsidence observed  • No Weeds observed at time of assessment • Cattle grazing ROW at time of assessment • Drainages, vegetation coverage 80% of off ROW control.","June 3, 2015 – Access not granted by tenant. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Weeds appear less than that off ROW. – No ROW fence present.",,,
NW 6-79-10,Pasture,High noxious weed issue,,Canada thistle patches observed on ROW,"May 27, 2014 • 80-90% Vegetation cover of off ROW • No subsidence observed  • No Weeds observed at time of assessment • Cattle grazing ROW at time of assessment • Drainages, vegetation coverage 80% of off ROW control.","June 3, 2015 – Access not granted by tenant. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Weeds appear less than that off ROW. – No ROW fence present.",,,
NW 6-79-10,Pasture,Moderate erosion issue,12+600,"Gully SW to NE across ROW. Vegetation is establishing. During the fall of 2013, the area was recontoured, additional erosion control measures were installed and the area was reseeded.","May 27, 2014 • 80-90% Vegetation cover of off ROW • No subsidence observed  • No Weeds observed at time of assessment • Cattle grazing ROW at time of assessment • Drainages, vegetation coverage 80% of off ROW control.","June 3, 2015 – Access not granted by tenant. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Weeds appear less than that off ROW. – No ROW fence present.",,,
NW 6-79-10,Pasture,High noxious weed issue,12+700,Canada thistle strip along south edge and north side of ROW. 2m of disturbed ROW not seeded.,"May 27, 2014 • 80-90% Vegetation cover of off ROW • No subsidence observed  • No Weeds observed at time of assessment • Cattle grazing ROW at time of assessment • Drainages, vegetation coverage 80% of off ROW control.","June 3, 2015 – Access not granted by tenant. TransCanada Land Department was notified. – Assessment done from range road with binoculars. – Vegetation appears to be at 90% of off ROW condition. – Weeds appear less than that off ROW. – No ROW fence present.",,,
NE 1-79-11,Forested,No issues observed,12+950,The ROW is revegetating well.,"May 27, 2014 • 90-100% Vegetation cover of off ROW • No subsidence observed • No Weeds observed at time of assessment • Erosion rill 13+000, repairs required. • Berm at 13+550, limited vegetation cover on the north end. • 70-80% vegetation of off ROW on work side, continue to monitor June 19, 2014 – KP 13+000, erosion repaired by hand and seeded. Erosion control materials installed to slow potential water velocity to prevent future erosion.  – KP 13+550, berm reseeded. Installed erosion control to slow potential water velocity on the east side of the berm. – Removed metal stakes from existing straw waddles at throughout ¼.  June 20, 2014 – Occupant removed south ROW fence on ¼.","June 3, 2015 – Vegetation appears to be 100 % of off ROW control, consisting of alfalfa, clover, brome and orchard grass.  –Canada thistle noted at densities lower than off ROW control. Continue to monitor thistle. – Fence present on north side of ROW. – ROW contour matches natural topography. – At KP 13+000 and 13+550 erosion rill exists. Repairs recommend. – At KP13+400 previously installed erosion control materials required repair. – At KP14+550 erosion, repairs recommended. July 7, 2015 – Erosion repairs and seeding completed at KP 13+000, KP 13+400, KP 13+550, and 14+550. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
NE 1-79-11,Forested,High noxious weed issue,13+200,Small patches of Canada thistle observed on the ROW.,"May 27, 2014 • 90-100% Vegetation cover of off ROW • No subsidence observed • No Weeds observed at time of assessment • Erosion rill 13+000, repairs required. • Berm at 13+550, limited vegetation cover on the north end. • 70-80% vegetation of off ROW on work side, continue to monitor June 19, 2014 – KP 13+000, erosion repaired by hand and seeded. Erosion control materials installed to slow potential water velocity to prevent future erosion.  – KP 13+550, berm reseeded. Installed erosion control to slow potential water velocity on the east side of the berm. – Removed metal stakes from existing straw waddles at throughout ¼.  June 20, 2014 – Occupant removed south ROW fence on ¼.","June 3, 2015 – Vegetation appears to be 100 % of off ROW control, consisting of alfalfa, clover, brome and orchard grass.  –Canada thistle noted at densities lower than off ROW control. Continue to monitor thistle. – Fence present on north side of ROW. – ROW contour matches natural topography. – At KP 13+000 and 13+550 erosion rill exists. Repairs recommend. – At KP13+400 previously installed erosion control materials required repair. – At KP14+550 erosion, repairs recommended. July 7, 2015 – Erosion repairs and seeding completed at KP 13+000, KP 13+400, KP 13+550, and 14+550. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
NE 1-79-11,Forested,"Moderate erosion issue, moderate vegetation issue",13+550,"Erosion along drainway. During the fall of 2013, additional erosion controls were installed and the area was reseeded.","May 27, 2014 • 90-100% Vegetation cover of off ROW • No subsidence observed • No Weeds observed at time of assessment • Erosion rill 13+000, repairs required. • Berm at 13+550, limited vegetation cover on the north end. • 70-80% vegetation of off ROW on work side, continue to monitor June 19, 2014 – KP 13+000, erosion repaired by hand and seeded. Erosion control materials installed to slow potential water velocity to prevent future erosion.  – KP 13+550, berm reseeded. Installed erosion control to slow potential water velocity on the east side of the berm. – Removed metal stakes from existing straw waddles at throughout ¼.  June 20, 2014 – Occupant removed south ROW fence on ¼.","June 3, 2015 – Vegetation appears to be 100 % of off ROW control, consisting of alfalfa, clover, brome and orchard grass.  –Canada thistle noted at densities lower than off ROW control. Continue to monitor thistle. – Fence present on north side of ROW. – ROW contour matches natural topography. – At KP 13+000 and 13+550 erosion rill exists. Repairs recommend. – At KP13+400 previously installed erosion control materials required repair. – At KP14+550 erosion, repairs recommended. July 7, 2015 – Erosion repairs and seeding completed at KP 13+000, KP 13+400, KP 13+550, and 14+550. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
NW 1-79-11,Forested,Moderate erosion issue,13+850,"Naturally occurring drainage area. Small erosional area on work side. Straw erosion log not functioning. During the fall of 2013, additional erosion controls were installed and the area was reseeded.","May 27, 2014 • 90-100% Vegetation cover of off ROW • No subsidence observed  • No Weeds observed at time of assessment • Erosion rill 14+250, repairs required • 70-80% vegetation of off ROW on work side, continue to monitor June 20, 2014 – Occupant removed south ROW fence on ¼ – KP 14+250, Repaired erosion by hand and seeded. Installed erosion control materials to slow potential water velocity.","June 3, 2015 – Access not granted by tenant. TransCanada Land Department was notified. – Assessment done from range road with binoculars as well as from the east side from tract. – Vegetation appears to be at 100% of off ROW conditions. – Weeds appear less than that of off ROW.",,,
,,Moderate erosion issue,14+100,"Erosion gully observed on upper slope (60cm in width and 30cm in depth); sparse vegetation cover in gully. During the fall of 2013, the area was recontoured, additional erosion control measures were installed and the area was reseeded.",,"October 4, 2015 - Access was granted. – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼. Recommend herbicide application. - Erosion no longer evident at KP 13+850, issue resolved. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
SW 12-79-11,Forested,No issues observed,14+300,Natural wet area is revegetating well.,"May 27, 2014 • No subsidence • No erosion • Minor weeds observed at time of assessment (Canada thistle), continue to monitor • Vegetation cover  90-100% of off ROW","June 3, 2015 – Vegetation estimated to be 90 - 100% of off ROW control, primarily composed of grasses. – Natural wet area is in good condition with wetland vegetation growing throughout.  October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
SW 12-79-11,Forested,High noxious weed issue,14+450,"Canada thistle and scentless chamomile on ROW. Scentless chamomile was picked along fenceline, bagged and disposed of in an appropriate manner.","May 27, 2014 • No subsidence • No erosion • Minor weeds observed at time of assessment (Canada thistle), continue to monitor • Vegetation cover  90-100% of off ROW","June 3, 2015 – Vegetation estimated to be 90 - 100% of off ROW control, primarily composed of grasses. – Natural wet area is in good condition with wetland vegetation growing throughout.  October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
SE 11-79-11,Forested,Moderate erosion issue,14+750,"Erosion occurring within cross drainage. During the fall of 2013, additional erosion control measures were installed and reseeded.","May 27, 2014 • Vegetation cover 80-90% of off ROW • Drainage 14+825, erosion rills noted, recommend installation of additional erosion materials. • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, this includes the erosion noted at KP 14+750 in 2013. The issue is resolved. June 21, 2014 – KP 14+825, erosion repairs completed with recontouring, installation of erosion control materials, and seeding.","June 3, 2015 – Vegetation estimated to be 90% of off ROW control, primarily composed of grasses. – Fence on south side of tract along ROW. – Contouring consistent with natural topography throughout. – 2014 Cross drainage repairs at KP 14+820 appear to be functioning well, issue resolved. – Cross drainage at KP14+930 and KP15+340 appears to be functioning well.  – Silt fence repaired at KP15+475 in drainage course. Drainage course is well vegetated, working well with no erosion present. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
SE 11-79-11,Forested,High noxious weed issue,,Canada thistle observed in patches on the ditchline.,"May 27, 2014 • Vegetation cover 80-90% of off ROW • Drainage 14+825, erosion rills noted, recommend installation of additional erosion materials. • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, this includes the erosion noted at KP 14+750 in 2013. The issue is resolved. June 21, 2014 – KP 14+825, erosion repairs completed with recontouring, installation of erosion control materials, and seeding.","June 3, 2015 – Vegetation estimated to be 90% of off ROW control, primarily composed of grasses. – Fence on south side of tract along ROW. – Contouring consistent with natural topography throughout. – 2014 Cross drainage repairs at KP 14+820 appear to be functioning well, issue resolved. – Cross drainage at KP14+930 and KP15+340 appears to be functioning well.  – Silt fence repaired at KP15+475 in drainage course. Drainage course is well vegetated, working well with no erosion present. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
SE 11-79-11,Forested,Moderate erosion noted issue,15+000,"Erosion rills observed on the ROW. Vegetation is establishing. During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 27, 2014 • Vegetation cover 80-90% of off ROW • Drainage 14+825, erosion rills noted, recommend installation of additional erosion materials. • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, this includes the erosion noted at KP 14+750 in 2013. The issue is resolved. June 21, 2014 – KP 14+825, erosion repairs completed with recontouring, installation of erosion control materials, and seeding.","June 3, 2015 – Vegetation estimated to be 90% of off ROW control, primarily composed of grasses. – Fence on south side of tract along ROW. – Contouring consistent with natural topography throughout. – 2014 Cross drainage repairs at KP 14+820 appear to be functioning well, issue resolved. – Cross drainage at KP14+930 and KP15+340 appears to be functioning well.  – Silt fence repaired at KP15+475 in drainage course. Drainage course is well vegetated, working well with no erosion present. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
SE 11-79-11,Forested,High noxious weed issue,15+000,Canada thistle patches observed on the ROW.,"May 27, 2014 • Vegetation cover 80-90% of off ROW • Drainage 14+825, erosion rills noted, recommend installation of additional erosion materials. • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, this includes the erosion noted at KP 14+750 in 2013. The issue is resolved. June 21, 2014 – KP 14+825, erosion repairs completed with recontouring, installation of erosion control materials, and seeding.","June 3, 2015 – Vegetation estimated to be 90% of off ROW control, primarily composed of grasses. – Fence on south side of tract along ROW. – Contouring consistent with natural topography throughout. – 2014 Cross drainage repairs at KP 14+820 appear to be functioning well, issue resolved. – Cross drainage at KP14+930 and KP15+340 appears to be functioning well.  – Silt fence repaired at KP15+475 in drainage course. Drainage course is well vegetated, working well with no erosion present. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼. Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.",,,
SW 11-79-11,Forested,High noxious weed issue,15+350,Canada thistle observed on the ROW.,"May 27, 2014 • Vegetation cover 80-90% of off ROW • Watercourse crossing - bank raps holding well, east bank vegetation 60% of off ROW and west slope 80% of off ROW, minor weeds observed at time of assessment (Canada thistle), continue to monitor • No subsidence noted at time of assessment • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, continue to monitor","June 3, 2015 – Vegetation appears to be 90% of off ROW control, consisting of clover, timothy, fescue and brome grasses. - Erosion concerns, no longer evident with improved vegetation cover. Previously noted issues, including those at KP 15+450 and 15+800, are resolved. – Minimal weeds present such as dandelions, horsetail, vetch and Canada thistle. Comparable to off ROW, not affecting land capability. Continue to monitor. – Contouring of ROW consistent with natural topography. – Shrubby bog at KP15+580 to KP15+610 in the wetland-tracking list appears to have mature desirable wetland vegetation throughout. Soil, bed and banks are well saturated, hosting amphibious life.  Watercourse crossing – Unnamed creek flows steadily to the north with low turbidity. Wrapped cribbed bank walls appear in good condition. An abundance of foliage has established throughout watercourse banks. Tributary watercourse bed is stable. Recommend removing silt fences throughout watercourse crossing. Aug 1, 2015 – Removed silt fence on east and west banks of tributary to Henderson",,,
SW 11-79-11,Forested,Moderate erosion issue,15+450,"Cross drainage; slight erosion). Vegetation growing within. During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 27, 2014 • Vegetation cover 80-90% of off ROW • Watercourse crossing - bank raps holding well, east bank vegetation 60% of off ROW and west slope 80% of off ROW, minor weeds observed at time of assessment (Canada thistle), continue to monitor • No subsidence noted at time of assessment • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, continue to monitor","June 3, 2015 – Vegetation appears to be 90% of off ROW control, consisting of clover, timothy, fescue and brome grasses. - Erosion concerns, no longer evident with improved vegetation cover. Previously noted issues, including those at KP 15+450 and 15+800, are resolved. – Minimal weeds present such as dandelions, horsetail, vetch and Canada thistle. Comparable to off ROW, not affecting land capability. Continue to monitor. – Contouring of ROW consistent with natural topography. – Shrubby bog at KP15+580 to KP15+610 in the wetland-tracking list appears to have mature desirable wetland vegetation throughout. Soil, bed and banks are well saturated, hosting amphibious life.  Watercourse crossing – Unnamed creek flows steadily to the north with low turbidity. Wrapped cribbed bank walls appear in good condition. An abundance of foliage has established throughout watercourse banks. Tributary watercourse bed is stable. Recommend removing silt fences throughout watercourse crossing. Aug 1, 2015 – Removed silt fence on east and west banks of tributary to Henderson",,,
SW 11-79-11,Forested,Moderate erosion issue,15+800,"Slight erosion observed on the ROW causing sparse vegetation in rill. During the fall of 2013, the area was reseeded.","May 27, 2014 • Vegetation cover 80-90% of off ROW • Watercourse crossing - bank raps holding well, east bank vegetation 60% of off ROW and west slope 80% of off ROW, minor weeds observed at time of assessment (Canada thistle), continue to monitor • No subsidence noted at time of assessment • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, continue to monitor","June 3, 2015 – Vegetation appears to be 90% of off ROW control, consisting of clover, timothy, fescue and brome grasses. - Erosion concerns, no longer evident with improved vegetation cover. Previously noted issues, including those at KP 15+450 and 15+800, are resolved. – Minimal weeds present such as dandelions, horsetail, vetch and Canada thistle. Comparable to off ROW, not affecting land capability. Continue to monitor. – Contouring of ROW consistent with natural topography. – Shrubby bog at KP15+580 to KP15+610 in the wetland-tracking list appears to have mature desirable wetland vegetation throughout. Soil, bed and banks are well saturated, hosting amphibious life.  Watercourse crossing – Unnamed creek flows steadily to the north with low turbidity. Wrapped cribbed bank walls appear in good condition. An abundance of foliage has established throughout watercourse banks. Tributary watercourse bed is stable. Recommend removing silt fences throughout watercourse crossing. Aug 1, 2015 – Removed silt fence on east and west banks of tributary to Henderson",,,
SW 11-79-11,Forested,High noxious weed issue,15+950,Canada thistle observed on the ROW.,"May 27, 2014 • Vegetation cover 80-90% of off ROW • Watercourse crossing - bank raps holding well, east bank vegetation 60% of off ROW and west slope 80% of off ROW, minor weeds observed at time of assessment (Canada thistle), continue to monitor • No subsidence noted at time of assessment • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, continue to monitor","June 3, 2015 – Vegetation appears to be 90% of off ROW control, consisting of clover, timothy, fescue and brome grasses. - Erosion concerns, no longer evident with improved vegetation cover. Previously noted issues, including those at KP 15+450 and 15+800, are resolved. – Minimal weeds present such as dandelions, horsetail, vetch and Canada thistle. Comparable to off ROW, not affecting land capability. Continue to monitor. – Contouring of ROW consistent with natural topography. – Shrubby bog at KP15+580 to KP15+610 in the wetland-tracking list appears to have mature desirable wetland vegetation throughout. Soil, bed and banks are well saturated, hosting amphibious life.  Watercourse crossing – Unnamed creek flows steadily to the north with low turbidity. Wrapped cribbed bank walls appear in good condition. An abundance of foliage has established throughout watercourse banks. Tributary watercourse bed is stable. Recommend removing silt fences throughout watercourse crossing. Aug 1, 2015 – Removed silt fence on east and west banks of tributary to Henderson",,,
