Approximate KP [Legal Location],1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),2<s>nd</s> Year (2015) PCRM Assessment and Work Completed,3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4<s>th</s> Year (2017) PCRM Assessment and Work Completed,5<s>th</s> Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Crop - headlands (KP 2+670) Noxious weed issues (low),"The presence of noxious weeds (perennial sow thistle, wild carrot and common ragweed) was noted on the ROW. Noxious weeds observed are located inside the fence next to Bovaird drive. The crop area does not exhibit the noxious weeds. The noxious weeds along the fence continue off ROW. Recommendations: None",,"June 9, 2016 - Winter wheat planted within cultivated area; crops approximately ½ m in height and conditions within ROW are comparable to off the ROW. - Decrease in crop height and density, KP 2+220 to 2+670, is no longer evident. Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved June 23, 2016 - Intermittent mechanical weed control near Bovaird Drive.","May 24, 2017 - Crop not planted at this time. July 25, 2017 - Soy crop is on ROW is comparable to off ROW. - Previous noxious weed issues resolved.","May 28, 2018 - Cropland appears to have been worked but not planted yet. - Conditions within ROW are comparable to off ROW. August 7, 2018 - Current year’s soy crop is well established and is comparable to off ROW conditions.",,,
KP 2+700 - 3+000 [East Half of LT 10 CON 5 WHS],Old industrial access road (KP 2+730 to 2+750) Noxious weed issues (moderate),"The presence of noxious weeds (common ragweed, wild carrot, and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 19, 2015 - Mechanical weed control completed along construction approaches at Bovaird Drive (KP 2+750) for weed control.","June 9, 2016 - Ox-eye daisy, dandelion and bull thistle observed along northern border of cropland at KP 2+693. Recommend implementation of control measures. June 23, 2016 - Mechanical weed control along the fence line and border of the crops within the ROW from KP 2+700 – KP 3+000.","May 24, 2017 - Tract does not appear to have been worked this growing season so far. - Vegetation establishing well consisting of native grasses, clover and broadleaf vegetation in hedgerow area. - Ox-eye daisy and bull thistle observed along northern border of cropland at KP 2+693. Recommend weed control. June 21, 2017 - Intermittent mechanical weed control at KP 2+700 - KP 2+750 to remove invasive and noxious weeds. July 25, 2017  - Corn crop on Row appears the same as off ROW. - Ox-eye daisy and bull thistle observed during previous assessment along northern border of cropland at KP 2+693 appear to be under control. Previous weed control effective. August 9, 2017 - Intermittent mechanical weed control at KP 2+700 - KP 2+750 to remove invasive and noxious weeds","May 29, 2018 - Tract is currently being worked but doesn’t appear to be planted yet, farmland is similar to off ROW control. - Vegetation establishing well consisting of native grasses, clover and broadleaf vegetation along the fenced area. August 7, 2018 - Current year’s soy crop is well established and crop is similar to off ROW control. - Vegetation along edges of farmland establishing well consisting of native grasses, clover and broadleaf vegetation. Previous weed issues resolved.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Crop - fence line (KP 2+750 to 2+950) Noxious weed issues (moderate),"The presence of noxious weeds (common ragweed, wild carrot and perennial sow thistle) was noted along the fence line on the ROW (percent cover was higher than the adjacent crop) Recommendations: Monitor in 2015, implement weed control as required.","August 19, 2015 - Mechanical weed control completed along property fence line from KP 2+730 to 3+000 for weed control.","June 9, 2016 - Corn planted within cultivated area; tract has recently been worked and seeded.  - Sprout height on ROW appears to be similar to off ROW. Crop conditions within ROW are comparable to off the ROW - Ox-eye daisy, dandelion and bull thistle observed along northern border of cropland at KP 2+693. Recommend implementation of control measures. - Canada thistle, ox-eye daisy and milk vetch were observed at KP 3+418. Recommend implementation of control measures. June 23, 2016 - Mechanical weed control along the fence line and border of the crops within the ROW from KP 2+700 – KP 3+000. - No subsidence or erosion evident within tract.","May 24, 2017 - Cultivated portion of tract does not appear to have been worked this growing season so far. - KP 3+410 - Canada thistle, ox-eye daisy and milk vetch were observed. Recommend weed control. - No subsidence or erosion evident within tract. June 21, 2017 - Intermittent mechanical weed control along Fence line from KP 2+750 - KP 2+950. July 25, 2017 - Corn on ROW comparable to off ROW.","May 29, 2018 - Tract is currently being worked but doesn’t appear to be planted yet, farmland is similar to off ROW control. - No subsidence or erosion evident within tract. August 7, 2018 - Current year’s soy crop is well established and crop is similar to off ROW control. - Vegetation along edges of farmland established well consisting of native grasses, clover and broadleaf vegetation. Conditions are consistent on and off ROW. Previous weed issues resolved. - No subsidence or erosion evident within tract.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Crop – soybeans (KP 3+150) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 9, 2016 - Corn planted within cultivated area; tract has recently been worked and seeded.  - Sprout height on ROW appears to be similar to off ROW. Crop conditions within ROW are comparable to off the ROW - Ox-eye daisy, dandelion and bull thistle observed along northern border of cropland at KP 2+693. Recommend implementation of control measures. - Canada thistle, ox-eye daisy and milk vetch were observed at KP 3+418. Recommend implementation of control measures. June 23, 2016 - Mechanical weed control along the fence line and border of the crops within the ROW from KP 2+700 – KP 3+000. - No subsidence or erosion evident within tract.","May 24, 2017 - Cultivated portion of tract does not appear to have been worked this growing season so far. - KP 3+410 - Canada thistle, ox-eye daisy and milk vetch were observed. Recommend weed control. - No subsidence or erosion evident within tract. June 21, 2017 - Intermittent mechanical weed control along Fence line from KP 2+750 - KP 2+950. July 25, 2017 - Corn on ROW comparable to off ROW.","May 29, 2018 - Tract is currently being worked but doesn’t appear to be planted yet, farmland is similar to off ROW control. - No subsidence or erosion evident within tract. August 7, 2018 - Current year’s soy crop is well established and crop is similar to off ROW control. - Vegetation along edges of farmland established well consisting of native grasses, clover and broadleaf vegetation. Conditions are consistent on and off ROW. Previous weed issues resolved. - No subsidence or erosion evident within tract.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Watercourse [6] (KP 3+350) Non-native species (moderate),"Non-native species (red clover) have become established at the watercourse crossing. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","August 19, 2015 - mechanical weed control completed in area near watercourse 6 (KP 3+350) to control non-native species. August 27, 2015 – Completed removal of silt fence and hay bales, issue resolved, as well as additional mechanical weed control at watercourse 6 (KP 3+350).","June 9, 2016 - Watercourse #6 vegetation was observed to be establishing well; native grasses and cattails established and conditions within ROW are comparable to off the ROW. Previously noted non-native species are no longer evident, issue resolved. No standing water observed at this time. June 23, 2016 - Intermittent mechanical weed control along fence line only and hand picking weeds near Watercourse 6 within the ROW. - Ponding and third party rutting issues noted in 2014 are no longer evident, issues resolved.","May 24, 2017 - Watercourse #6 at KP 3+364 vegetation was observed to be establishing well; native grasses and cattails established at approximately 0.25 m to 0.5 m in height and conditions within ROW are comparable to off the ROW. - No subsidence or erosion evident within tract. June 21, 2017 - Intermittent mechanical weed control within riparian area for Watercourse 6 at KP 3+350. August 9, 2017 - Vegetation establishing well consisting of native grasses, clover, milk vetch and broadleaf vegetation.","May 29, 2018 and August 7, 2018 - Watercourse #6 vegetation was observed to be well established; native grasses and cattails established within ROW and are comparable to off the ROW. No water was present at the time of assessment. - No subsidence or erosion evident within tract. - Previous weed issues resolved.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Near a watercourse crossing (KP 3+415 to 3+445) Temporary ponding issue (moderate) Noxious weed issues (moderate),"Evidence of spring temporary ponding was observed that has decreased the establishment of desirable vegetation growth. Third Party Rutting was observed. The presence of noxious weeds (common ragweed, wild carrot and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015 for desirable vegetation establishment. Monitor in 2015, implement weed control as required.",,"June 9, 2016 - Watercourse #6 vegetation was observed to be establishing well; native grasses and cattails established and conditions within ROW are comparable to off the ROW. Previously noted non-native species are no longer evident, issue resolved. No standing water observed at this time. June 23, 2016 - Intermittent mechanical weed control along fence line only and hand picking weeds near Watercourse 6 within the ROW. - Ponding and third party rutting issues noted in 2014 are no longer evident, issues resolved.","May 24, 2017 - Watercourse #6 at KP 3+364 vegetation was observed to be establishing well; native grasses and cattails established at approximately 0.25 m to 0.5 m in height and conditions within ROW are comparable to off the ROW. - No subsidence or erosion evident within tract. June 21, 2017 - Intermittent mechanical weed control within riparian area for Watercourse 6 at KP 3+350. August 9, 2017 - Vegetation establishing well consisting of native grasses, clover, milk vetch and broadleaf vegetation.","May 29, 2018 and August 7, 2018 - Watercourse #6 vegetation was observed to be well established; native grasses and cattails established within ROW and are comparable to off the ROW. No water was present at the time of assessment. - No subsidence or erosion evident within tract. - Previous weed issues resolved.",,,
KP 3+440 - 4+050 [East Half of LT 9 CON 5 WHS],"Crop - soybeans (KP 3+500 to 3+740) Intermittent, localized vegetation and admixing issues (moderate)","Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area. Admixing was 10% or less of the topsoil in areas of the poorest vegetation growth. Admixing is localized to small areas (approximately 2 m by 7 m) sporadically along the ROW and encompassed less than 20% of the total listed area. Shale was admixed (generally < 20%, with isolated areas exceeding 20% [5 m<s>2</s>]) in topsoil observed. Recommendations: Monitor in 2015 and implement remedial actions if necessary.",,"June 9, 2016 - Tract has recently been worked and seeded. Soybean crop beginning to emerge. - Sprout height on ROW appears to be similar to off ROW. Decrease in crop height and density noted in 2014 is no longer evident, Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - Canada thistle observed at KP 3+418. Recommend implementation of control measures. - No subsidence or erosion issued evident at this time. June 23, 2016 – Intermittent mechanical weed control implemented to control Canada thistle.","June 1, 2017 - Tract seeded to winter wheat (crop height approximately 30cm). Conditions similar on and off ROW. - KP 3+418 - Canada thistle observed, recommend weed control. - No subsidence or erosion issued evident at this time. July 26, 2017 - Wheat crop has been harvested. - KP 3+418 - Mechanical control of Canada thistle conducted. August 9, 2017 - Previous weed management effective","May 29, 2018 - Tract was visually assessed due to land access restrictions. - Tract is currently being worked and has been planted, farmland is similar to off ROW control. - Canada thistle observed at KP 3+418 along fence line. Recommend weed control. - No subsidence or erosion evident within tract. June 12, 2018 - Intermittent mechanical weed control completed along fence line at KP 3+418 August 7, 2018 - Current year’s soy crop is well established and crop is similar to off ROW control. - KP 3+418 – Vegetation conditions similar on and off ROW. Previous weed issues resolved. - No subsidence or erosion evident within tract.",,,
KP 3+440 - 4+050 [East Half of LT 9 CON 5 WHS],Crop – soybeans (KP 3+945) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 9, 2016 - Tract has recently been worked and seeded. Soybean crop beginning to emerge. - Sprout height on ROW appears to be similar to off ROW. Decrease in crop height and density noted in 2014 is no longer evident, Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - Canada thistle observed at KP 3+418. Recommend implementation of control measures. - No subsidence or erosion issued evident at this time. June 23, 2016 – Intermittent mechanical weed control implemented to control Canada thistle.","June 1, 2017 - Tract seeded to winter wheat (crop height approximately 30cm). Conditions similar on and off ROW. - KP 3+418 - Canada thistle observed, recommend weed control. - No subsidence or erosion issued evident at this time. July 26, 2017 - Wheat crop has been harvested. - KP 3+418 - Mechanical control of Canada thistle conducted. August 9, 2017 - Previous weed management effective","May 29, 2018 - Tract was visually assessed due to land access restrictions. - Tract is currently being worked and has been planted, farmland is similar to off ROW control. - Canada thistle observed at KP 3+418 along fence line. Recommend weed control. - No subsidence or erosion evident within tract. June 12, 2018 - Intermittent mechanical weed control completed along fence line at KP 3+418 August 7, 2018 - Current year’s soy crop is well established and crop is similar to off ROW control. - KP 3+418 – Vegetation conditions similar on and off ROW. Previous weed issues resolved. - No subsidence or erosion evident within tract.",,,
KP 4+070 - 4+530 [East Half of LT 9 CON 6 WHS],Orchard - sod grass (KP 4+165) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 15, 2016 - Grass establishment on ROW appears to be similar to off ROW. - Uneven ground and subsidence on ROW, noted by landowner at KP 4+400. Recommend repairs. - Drainage 3 was observed to be dry during the time of assessment, grasses along embankments appear to be in good health. - 2014 Canada thistle issue (KP 4+290 to 4+500) was not evident, issue resolved. - No erosion evident throughout tract. June 30, 2016 – Uneven ground and subsidence were mowed to improve visibility for repairs at KP 4+400. Repairs completed and reseeded. Issue resolved, also includes soil cracking and subsidence, noted in 2014, therefore those issues are resolved.","June 1, 2017 - Grass establishment on ROW appears to be similar to off ROW. - Drainage 3 at KP 4+229 was observed to be dry during the time of assessment; grasses along embankments appear to be in good health and well established. - KP 4+460 - Canada thistle (1 plant) observed on the ROW. Recommend weed control. - No erosion or subsidence evident throughout tract. June 22, 2017  - Area was mowed by 3<s>rd</s> party prior to site visit, issues no longer observed. August 9, 2017 - Previous weed management effective.","May 29, 2018 and August 7, 2018 - Native grasses present throughout entirety of the tract and is comparable to off ROW. Previous weed issues resolved. - Vegetation at Drainage D3 is well established.  - No subsidence or erosion evident within tract",,,
KP 4+070 - 4+530 [East Half of LT 9 CON 6 WHS],Orchard - sod grass (KP 4+290 to 4+500) Noxious weed issues (moderate),"The presence of noxious weeds (Canada thistle) was noted on the ROW. A Minor amount of invasive weeds were observed. Percentages were similar to off ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 15, 2016 - Grass establishment on ROW appears to be similar to off ROW. - Uneven ground and subsidence on ROW, noted by landowner at KP 4+400. Recommend repairs. - Drainage 3 was observed to be dry during the time of assessment, grasses along embankments appear to be in good health. - 2014 Canada thistle issue (KP 4+290 to 4+500) was not evident, issue resolved. - No erosion evident throughout tract. June 30, 2016 – Uneven ground and subsidence were mowed to improve visibility for repairs at KP 4+400. Repairs completed and reseeded. Issue resolved, also includes soil cracking and subsidence, noted in 2014, therefore those issues are resolved.","June 1, 2017 - Grass establishment on ROW appears to be similar to off ROW. - Drainage 3 at KP 4+229 was observed to be dry during the time of assessment; grasses along embankments appear to be in good health and well established. - KP 4+460 - Canada thistle (1 plant) observed on the ROW. Recommend weed control. - No erosion or subsidence evident throughout tract. June 22, 2017  - Area was mowed by 3<s>rd</s> party prior to site visit, issues no longer observed. August 9, 2017 - Previous weed management effective.","May 29, 2018 and August 7, 2018 - Native grasses present throughout entirety of the tract and is comparable to off ROW. Previous weed issues resolved. - Vegetation at Drainage D3 is well established.  - No subsidence or erosion evident within tract",,,
KP 4+070 - 4+530 [East Half of LT 9 CON 6 WHS],Orchard - sod grass (KP 4+440 to 4+500) Cracking of topsoil issue (high),Cracking (5 to 10 cm wide and greater than 30 cm deep) is found in approximately 20 m length and is surrounded by smaller cracking. The smaller cracking (usually less than 10 cm deep). There is evidence of minor subsidence (approximately 3 cm) on the ROW. Recommendations: Monitor in 2015 and implement remedial action as required.,,"June 15, 2016 - Grass establishment on ROW appears to be similar to off ROW. - Uneven ground and subsidence on ROW, noted by landowner at KP 4+400. Recommend repairs. - Drainage 3 was observed to be dry during the time of assessment, grasses along embankments appear to be in good health. - 2014 Canada thistle issue (KP 4+290 to 4+500) was not evident, issue resolved. - No erosion evident throughout tract. June 30, 2016 – Uneven ground and subsidence were mowed to improve visibility for repairs at KP 4+400. Repairs completed and reseeded. Issue resolved, also includes soil cracking and subsidence, noted in 2014, therefore those issues are resolved.","June 1, 2017 - Grass establishment on ROW appears to be similar to off ROW. - Drainage 3 at KP 4+229 was observed to be dry during the time of assessment; grasses along embankments appear to be in good health and well established. - KP 4+460 - Canada thistle (1 plant) observed on the ROW. Recommend weed control. - No erosion or subsidence evident throughout tract. June 22, 2017  - Area was mowed by 3<s>rd</s> party prior to site visit, issues no longer observed. August 9, 2017 - Previous weed management effective.","May 29, 2018 and August 7, 2018 - Native grasses present throughout entirety of the tract and is comparable to off ROW. Previous weed issues resolved. - Vegetation at Drainage D3 is well established.  - No subsidence or erosion evident within tract",,,
KP 4+530 - 5+280 [East Half of LT 8 CON 6 WHS],Orchard - sod grass (KP 4+740) No issues observed,No issues. Vegetation is healthy and establishing well. Recommendations: None,,"June 15, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control.  - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident throughout the tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - Mechanical weed control conducted to control weeds noted in previous assessments","June 1, 2017 - Recreational gravel pathway located from KP 4+525 to 4+928 within ROW. - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses and broadleaf vegetation. - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident in throughout the tract. Recommend weed control. - No subsidence or erosion evident in tract. June 22, 2017 - Area previously mowed by 3<s>rd</s> party. - Additional intermittent mechanical weed control from KP 4+530 - KP 4+950 to address areas missed by mowing. August 9, 2017 - Previous weed management effective","May 29, 2018 - Native grasses present throughout entirety of the searched ROW and comparable to off ROW. - Drainage D2 located at KP 5+183 has established, healthy vegetation. - Scentless camomile was observed sporadically near KP 4+970. Recommend spot mechanical weed control. - Erosion evident within the gravel pathway leading down to the Credit River, recommend repairs. June 12, 2018 - Intermittent mechanical weed control at KP 4+970. - Repairs completed to erosion on pathway, issue resolved. August 7, 2018 - Native grasses present throughout entirety of the searched ROW and comparable to off ROW. - Drainage D2 located at KP 5+183 appears has established, healthy vegetation. - Erosion remains on gravel pathway, although less extensive, recommend additional repairs.",,,
KP 4+530 - 5+280 [East Half of LT 8 CON 6 WHS],Woodland (KP 5+000 to 5+500) Noxious weed issue (moderate),"The presence of noxious weeds (wild carrot and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 15, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control.  - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident throughout the tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - Mechanical weed control conducted to control weeds noted in previous assessments","June 1, 2017 - Recreational gravel pathway located from KP 4+525 to 4+928 within ROW. - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses and broadleaf vegetation. - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident in throughout the tract. Recommend weed control. - No subsidence or erosion evident in tract. June 22, 2017 - Area previously mowed by 3<s>rd</s> party. - Additional intermittent mechanical weed control from KP 4+530 - KP 4+950 to address areas missed by mowing. August 9, 2017 - Previous weed management effective","May 29, 2018 - Native grasses present throughout entirety of the searched ROW and comparable to off ROW. - Drainage D2 located at KP 5+183 has established, healthy vegetation. - Scentless camomile was observed sporadically near KP 4+970. Recommend spot mechanical weed control. - Erosion evident within the gravel pathway leading down to the Credit River, recommend repairs. June 12, 2018 - Intermittent mechanical weed control at KP 4+970. - Repairs completed to erosion on pathway, issue resolved. August 7, 2018 - Native grasses present throughout entirety of the searched ROW and comparable to off ROW. - Drainage D2 located at KP 5+183 appears has established, healthy vegetation. - Erosion remains on gravel pathway, although less extensive, recommend additional repairs.",,,
KP 4+950,Watercourse [5 – Credit River] / Wetland (KP 4+950) No issues observed,No issues. The slope to the south of the Credit River had effective erosion control and no terrain instability was noted. Recommendations: None,,"June 15, 2016 - Watercourse 5 - Credit River located at KP 4+950; water level is medium to high with moderate flow. Vegetation on the north bank is well established consisting of native grasses.","June 1, 2017 - Watercourse 5 - Credit River located at KP 4+950; water level is medium to high with moderate flow. - Vegetation on the south bank is well established consisting of native grasses. - No issues with watercourse June 22, 2017 - Intermittent mechanical weed control along Credit River to remove noxious weeds. July 26, 2017 - Previous weed control effective, no noxious weeds observed.","May 29, 2018 and August 7, 2018 - Watercourse 5 (Credit River) established well; native grasses and cattails established within ROW and are comparable to off the ROW. Flow was moderate and water level was high at the time of assessment. - Previous weed issues resolved.",,,
KP 4+950 to 5+175 [East Half of LT 8 CON 6 WHS],Woodland (KP 5+000 to 5+500) Noxious weed issue (moderate),"The presence of noxious weeds (wild carrot and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 15, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control.  - Drainage D2 located at KP 5+033 is showing healthy vegetation establishment. Common weeds consisting of vetch. Canada thistle evident within drainage area.  - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident throughout the tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - Mechanical weed control conducted to control weeds noted in previous assessments. July 27, 2016 - Silt fence located at drainage area and areas adjacent to Credit River. Recommend removal of silt fence. October 15, 2016 - Conducted removal of silt fence material from within ROW at KP 4+990 (approx.). Issue resolved.","May 24, 2017 - Native grasses present throughout ROW comparable to off ROW. - Drainage D2 located at KP 5+183 has established, healthy vegetation.  - No subsidence or erosion evident within tract June 22, 2017 - Vegetation along tract appears comparable to off ROW, no vegetation control conducted. Previous weed issues resolved. July 26, 2017 - Unable to assess due to landowner imposed restrictions. August 9, 2017 - Unable to access property due to land owner/ access issues. Site observed from adjoining property. Vegetation on ROW comparable to off.","May 29, 2018 and August 7, 2018 - Tract was assessed from adjoining property due to land access restrictions imposed by landowner. - Native grasses present and well established within area viewed from KP 5+519.",,,
5+280 - 5+500 [East Half of LT 7 CON 6 WHS],Woodland (KP 5+000 to 5+500) Noxious weed issue (moderate),"The presence of noxious weeds (wild carrot and perennial sow thistle) was noted on the ROW. Monitor in 2015, implement weed control as required.",,"June 15, 2016 - Land appears to be used for vehicular activity, appears that unauthorized work (levelling) may have been completed by landowner. - Recommend removal of erosion control materials (Filtrex berms). - No subsidence or erosion evident in tract. October 15, 2016 - Removed silt fence and erosion control material from within ROW; between KP 5+200 – KP 5+405 (approx.). Issue resolved. - Species at Risk monitored by Stantec, details provided in 3<s>rd</s> Year PCRM Report.","May 24, 2017 - Native grasses present throughout entirety of ROW - KP 5+380 – Area with fallen logs is well vegetated and does not show any signs of erosion. - Canada thistle and Bull thistle evident throughout ROW. Recommend weed control. - No subsidence or erosion evident within tract. June 22, 2017 - Intermittent mechanical weed control to manage noxious and invasive weeds. July 25, 2017 - Native grasses present throughout entirety of ROW August 9, 2017 - Unable to access property due to land owner imposed access restrictions. - Viewing from adjacent property, weed issue on site appears resolved","May 29, 2018 - Tract was assessed from adjoining property due to land access restrictions imposed by landowner. - Native grasses present and well established August 7, 2018 - Native grasses are very well established on ROW and are comparable to off ROW. - Previous weed issues resolved. - No subsidence or erosion evident within tract.",,,
5+280 - 5+500 [East Half of LT 7 CON 6 WHS],Woodland (off ROW) (KP 5+200) Species at risk (moderate),No issues were observed concerning the Butternuts. Recommendations: None,,"June 15, 2016 - Land appears to be used for vehicular activity, appears that unauthorized work (levelling) may have been completed by landowner. - Recommend removal of erosion control materials (Filtrex berms). - No subsidence or erosion evident in tract. October 15, 2016 - Removed silt fence and erosion control material from within ROW; between KP 5+200 – KP 5+405 (approx.). Issue resolved. - Species at Risk monitored by Stantec, details provided in 3<s>rd</s> Year PCRM Report.","May 24, 2017 - Native grasses present throughout entirety of ROW - KP 5+380 – Area with fallen logs is well vegetated and does not show any signs of erosion. - Canada thistle and Bull thistle evident throughout ROW. Recommend weed control. - No subsidence or erosion evident within tract. June 22, 2017 - Intermittent mechanical weed control to manage noxious and invasive weeds. July 25, 2017 - Native grasses present throughout entirety of ROW August 9, 2017 - Unable to access property due to land owner imposed access restrictions. - Viewing from adjacent property, weed issue on site appears resolved","May 29, 2018 - Tract was assessed from adjoining property due to land access restrictions imposed by landowner. - Native grasses present and well established August 7, 2018 - Native grasses are very well established on ROW and are comparable to off ROW. - Previous weed issues resolved. - No subsidence or erosion evident within tract.",,,
5+280 - 5+500 [East Half of LT 7 CON 6 WHS],Woodland (KP 5+405) Bare ground,Several small areas of bare ground approximately 2 m x 5 m were observed throughout. Recommendations: Monitor in 2015,,"June 15, 2016 - Land appears to be used for vehicular activity, appears that unauthorized work (levelling) may have been completed by landowner. - Recommend removal of erosion control materials (Filtrex berms). - No subsidence or erosion evident in tract. October 15, 2016 - Removed silt fence and erosion control material from within ROW; between KP 5+200 – KP 5+405 (approx.). Issue resolved. - Species at Risk monitored by Stantec, details provided in 3<s>rd</s> Year PCRM Report.","May 24, 2017 - Native grasses present throughout entirety of ROW - KP 5+380 – Area with fallen logs is well vegetated and does not show any signs of erosion. - Canada thistle and Bull thistle evident throughout ROW. Recommend weed control. - No subsidence or erosion evident within tract. June 22, 2017 - Intermittent mechanical weed control to manage noxious and invasive weeds. July 25, 2017 - Native grasses present throughout entirety of ROW August 9, 2017 - Unable to access property due to land owner imposed access restrictions. - Viewing from adjacent property, weed issue on site appears resolved","May 29, 2018 - Tract was assessed from adjoining property due to land access restrictions imposed by landowner. - Native grasses present and well established August 7, 2018 - Native grasses are very well established on ROW and are comparable to off ROW. - Previous weed issues resolved. - No subsidence or erosion evident within tract.",,,
KP 5+500 - 5+970 [West Half of LT 7 CON 6 WHS],Crop – soybeans (KP 5+580) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,,"May 24, 2017 - No subsidence or erosion evident within tract. June 22, 2017 - Soy crop had been planted in field, no signs of noxious weeds; crop comparable to off ROW. July 25, 2017 - Crop growth on ROW is comparable to off ROW.","May 29, 2018 and August 7, 2018 - Tract was not assessed due to land access restrictions imposed by landowner. - Based on previous (2014 and 2017) assessments there are no issue anticipated on this portion of the ROW.",,,
,Woodland (KP 5+750 to 6+050) Noxious weed issues (high),"The presence of noxious weeds (Canada thistle, wild carrot, perennial sow thistle and common ragweed) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. Recommendations: Monitor in 2015, implement weed control as required.","August 21, 2015 - mechanical weed control completed north of watercourse 4 from KP 5+700 to KP 5+970 to control noxious weeds.","June 15, 2016 - Drainage (D1) dry during the time of assessment; vegetation well established, cattails present at the east and west end. - Erosion control materials and silt fencing observed to be no longer required; grass and broadleaf vegetation is well established and observed to be healthy. Recommend removal of erosion control materials and silt fencing. - No subsidence or erosion evident in tract. Erosion noted in 2014 at KP 5+780 to 5+800 is no longer evident, issue resolved June 24 and 27, 2016 - Removal of erosion control materials at KP 5+780 and silt fencing at KP 5+800. Issues resolved.","May 24, 2017 - Drainage (D1) located at KP 5+590 was wet during the time of assessment, vegetation in the area is well established, cattails are present at both the east and west ends. - Grass and broadleaf vegetation is well established on ROW and is comparable to off ROW - No subsidence or erosion evident within tract. August 9, 2017 - Vegetation comparable to off ROW.","May 29, 2018 - Drainage (D1) located at KP 5+590 has well established vegetation, with cattails present. - Native grasses are very well established on Row and is comparable to off ROW - Weeds on ROW are comparable to off ROW control. Minimal noxious weeds observed, perennial sow thistle, and ox-eye daisy found sporadically within tract, hand pulled during assessment. - No subsidence or erosion evident within tract.",,,
,Woodland (KP 5+780 to 5+800) Rill erosion issues (moderate),"Rill erosion is located above the installed erosion control. Vegetation cover observed is increased 30 m downslope. Erosion occurred before vegetation establishment and observed vegetation growth was preventing further erosion. Recommendations: Monitor in 2015 to ensure continued desirable vegetation establishment, Implement erosion controls if necessary.","August 21, 2015 - mechanical weed control completed north of watercourse 4 from KP 5+700 to KP 5+970 to control noxious weeds.","June 15, 2016 - Drainage (D1) dry during the time of assessment; vegetation well established, cattails present at the east and west end. - Erosion control materials and silt fencing observed to be no longer required; grass and broadleaf vegetation is well established and observed to be healthy. Recommend removal of erosion control materials and silt fencing. - No subsidence or erosion evident in tract. Erosion noted in 2014 at KP 5+780 to 5+800 is no longer evident, issue resolved June 24 and 27, 2016 - Removal of erosion control materials at KP 5+780 and silt fencing at KP 5+800. Issues resolved.","May 24, 2017 - Drainage (D1) located at KP 5+590 was wet during the time of assessment, vegetation in the area is well established, cattails are present at both the east and west ends. - Grass and broadleaf vegetation is well established on ROW and is comparable to off ROW - No subsidence or erosion evident within tract. August 9, 2017 - Vegetation comparable to off ROW.","May 29, 2018 - Drainage (D1) located at KP 5+590 has well established vegetation, with cattails present. - Native grasses are very well established on Row and is comparable to off ROW - Weeds on ROW are comparable to off ROW control. Minimal noxious weeds observed, perennial sow thistle, and ox-eye daisy found sporadically within tract, hand pulled during assessment. - No subsidence or erosion evident within tract.",,,
