Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
94P-4-A87,High vegetation establishment,"September 18, 2014 - No issues","June 19, 2015  - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. September 23, 2015 - Minor subsidence was noted along the ditch line at KP 21+500, appeared to be stable with no cracks or other indications of continued movement, not affecting land us, hand probe found approximately 120cm of cover.  - Remaining soils throughout the tract appeared to be stable. No erosion or additional subsidence was observed.   - Scentless chamomile were observed along the ditch line. Recommend assessment and control next growing season.","July 22, 2016 - 85-95% vegetation established compared to off ROW. - Scentless Chamomile observed at KP 19+650, KP 19+800, KP 20+020 to KP 20+050, and 20+250, primarily along ditchline. Intermittent herbicide application conducted to control September 26, 2016. - KP 19+550 and 20+150 – herbicide application conducted to control perennial sow thistle. - KP 19+700 – herbicide application conducted to control scentless chamomile. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
94P-4-A77,High vegetation establishment,"September 18, 2014 - No issues","June 19, 2015  - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. September 23, 2015 - Soils appeared to be stable. No erosion or additional subsidence was observed.   - Scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","July 22, 2016 - 85-95% vegetation established compared to off ROW. - Perennial sow thistle plants observed intermittently, primarily along ditchline. Herbicide application conducted to control. September 26, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94P-4-A76,Invasive species,"September 18, 2014 - Predominate species is sweet clover (90% cover over ROW), no other issues.","June 19, 2015  - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. 2013, invasive species, and 2014 vegetation composition issue resolved. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. September 23, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Drainage located at KP21+361 appeared to be stable. Wetland vegetation growth throughout drainage appears to have stabilized soils in the area, no erosion was noted.   - Scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","July 22, 2016 - 85-95% vegetation established compared to off ROW. - Scentless Chamomile plants observed at KP 20+800, primarily along ditchline. Herbicide application conducted to control. September 26, 2016 - KP 20+340 and 20+750 – herbicide applied to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
94P-4-A66,Invasive species,"September 18, 2014 - Predominate species is sweet clover (90% cover over ROW), no other issues.","June 19, 2015  - Vegetation on ROW appears to be 90-95% comparable to off ROW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. 2013, invasive species, and 2014 vegetation composition issue resolved. - Patch of scentless chamomile present on ROW at KP 22+000. Recommend herbicide application. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - Herbicide application conducted at KP 22+000 to control scentless chamomile. All flowered plants were handpicked, bagged and removed from ROW before spraying was conducted. September 23, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Common burdock and scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","September 26, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues - Scentless chamomile and common burdock note in 2015 is no longer evident within tract, issue resolved.",,,
94P-4-A66,"Rare Plant - western Jacob's ladder (S4) – KP 22+200 to 22+900 On August 23, 2013, rare plant specialists visited the location and observed more than 50 plants. Resolved: No further monitoring is recommended.",,,,,,
94P-4-A57,Moderate vegetation establishment,"September 18, 2014 - Predominate species is sweet clover (90% cover over ROW), no other issues.  2013 vegetation issue resolved.","June 19, 2015  - Vegetation on ROW appears to be 90-95% comparable to off ROW control with some areas exhibiting thinner vegetation cover likely attributed to a high density of mulch. Good variety of native species consisting of native grasses, shrubs and deciduous species’.  2014 vegetation composition issue resolved. - Scentless chamomile patch present at KP 23+230. Recommend herbicide application.  - Roach appears stable with some areas exhibiting thinner vegetation establishment; cross drains appear to be functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area at KP 22+830 were handpicked, bagged and removed from ROW. - Herbicide application conducted at KP 23+230 to control scentless chamomile. All flowered plants were handpicked, bagged and removed from ROW. September 23, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.","July 22, 2016 - 80-90% vegetation established compared to off ROW. - Scentless Chamomile observed at KP 22+930 to KP 22+950, KP 23+130, and KP 22+630 (perennial sow thistle also present), primarily along ditchline.  Intermittent herbicide application conducted to control. - Unnamed tributary to Sahtaneh River located at KP 23+250 banks have sloughed behind the revetments installed along ditchline. - Banks are well vegetated, but some of the material has settled between the revetments inside the channel, not affecting watercourse.  No work required, at this time, issue resolved. September 26, 2016 - Vegetation continues to establish, exhibiting excellent growth.  - No noxious weeds identified. No issue.",,,
94P-4-A57,Treed bog,"September 18, 2014 - Wetland located from KP 23+000 to KP 23+240 was dry, likely due to time of year of assessment.  • Slow re-vegetation of emergent riparian species present within wetland. • Cross-drains installed along ditchline appear functional during wet season.","June 19, 2015  - 70-80% vegetation established compared to off ROW.  - Treed Fen located between kp 23+000 and kp 23+240 has standing water on east side of ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition.  Issue resolved  - Bare patches of peat and mulch present along ROW.","Sept 26, 2016 - Treed bog located between KP 23+000 and KP 23+420. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-A57,"Rare plant - Iowa golden saxifrage (S2S3) – KP 22+900 On August 23, 2013, rare plant specialists visited the location and no plants were observed. Unresolved: Recommend further monitoring in 2015 after rare plants have had sufficient time to re-establish.","September 4, 2014 - Target species not observed.  Post-construction contours on the ROW are similar to off ROW conditions indicating that proposed mitigation measures were followed during construction. However, post-construction habitat on the ROW is currently unlikely to support a population of golden saxifrage as a result of the lack of shrub and tree cover to provide the associated shady sites with wet to moist soil conditions.  Necessary habitat characteristics to support this species. Resolved.  No further monitoring is recommended",,,,,
94P-4-A57,"Rare Plant - European water hemlock (S2S3) – KP 23+200 On August 23, 2013, rare plant specialists visited the location and observed 3 plants. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 23+200 On August 23, 2013, rare plant specialists visited the location and observed approximately 10 plants. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - Iowa golden saxifrage (S2S3) – KP 23+200 On August 23, 2013, rare plant specialists visited the location and observed approximately 10 plants. Resolved: No further monitoring is recommended.",,,,,,
94P-4-A56,Moderate vegetation establishment,,"June 19, 2015  - Vegetation on ROW appears to be 80-90% comparable to off ROW control. Vegetation predominantly wetland species’.  2013 vegetation issue resolved. - Scentless chamomile present south of creek crossing at KP 23+330. Recommend handpicking weeds. - Roach appears stable with some areas exhibiting thinner vegetation establishment; cross drains appear to be functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area at KP 23+330 were handpicked, bagged and removed from ROW. September 23, 2015  - Foreign winter access road did not appear to be impacted by ROW.   - ROW did not appear to be impacted by Foreign winter construction.","July 22, 2016 - 80-90% vegetation established compared to off ROW. - Scentless Chamomile observed at KP 23+400, primarily along ditchline.  Intermittent herbicide application conducted to control. September 26, 2016 - Vegetation continues to establish, exhibiting excellent growth.  - No noxious weeds identified. No issue.",,,
94P-4-A56,Watercourse crossing: unnamed tributary to Sahtaneh River,"September 18, 2014 - No issues with water crossing in good shape, silt fence can be removed. October 2, 2014 – silt fencing removed. Issue resolved.","June 19, 2015  - Creek crossing at KP 23+300 appears stable with both banks exhibiting good vegetation growth and willows beginning to flourish. Bed appears stable with a slow flow. Water has settled beyond revetment posts but continue to be functioning well. September 23, 2015  - Tributary located at KP23+253 appeared to be stable. Banks were well vegetated with willows and trees growing throughout the immediate area.",,,,
94P-4-A56,Treed fen,"Wetland located from KP 23+320 to KP 26+450 is holding water, contains emergent riparian vegetation and appears functional.  Cross-drains installed along ditchline are functional and are allowing water to drain across ROW. Recommend potential cross drain alteration at 23+600 to allow water to drain across ROW.","June 19, 2015  - Treed Fen located between kp 23+320 and kp 26+450 has standing water on east side of ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Bare patches of peat and mulch present along ROW.  - Marker posts and cathodic cable signs are almost fully submerged at road crossing located at kp 24+250 due to ponded water on ditchline.","Sept 26, 2016 - Treed fen located between KP 23+320 and KP 26+450. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition.  Issue resolved.",,,
94P-4-A46,Moderate vegetation establishment,"September 18, 2014 - No issues, good re-establishment of forbs, shrubs and woody species.  2013 vegetation issue resolved.","June 19, 2015  - Vegetation on ROW appears to be 80-90% comparable to off ROW control. Vegetation predominantly wetland species’. - No weed issues evident in tract; majority of tract in wetland. - Roach appears stable showing good vegetation growth and cross drains functioning well. - No subsidence or erosional issues evident within tract. September 24, 2015   - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. Black spruce seedlings were observed throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Foreign road crossing appeared to be stable. Foreign operations did not appear to have any detrimental effect to the TCPL ROW. No Noxious or prohibited noxious weeds were observed.","July 22, 2016 - 80-90% vegetation established compared to off ROW. - Perennial Sow Thistle observed at KP 24+050, primarily along ditchline. Herbicide application conducted to control. September 26, 2016 - Vegetation continues to establish, exhibiting excellent growth.  - No noxious weeds identified. No issue.",,,
94P-4-A46,Treed fen,"Wetland located from KP 23+320 to KP 26+450 is holding water, contains emergent riparian vegetation and appears functional.  Cross-drains installed along ditchline are functional and are allowing water to drain across ROW. Recommend potential cross drain alteration at 23+600 to allow water to drain across ROW.","June 19, 2015   - Treed Fen located between kp 23+320 and kp 26+450 has standing water on east side of ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Bare patches of peat and mulch present along ROW.","Sept 26, 2016 - Treed fen located between KP 23+320 and KP 26+450. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition.  Issue resolved.",,,
94P-4-A47,Moderate vegetation establishment,"September 18, 2014 - No issues, good re-establishment of forbs, shrubs and woody species. 2013 vegetation issue resolved.","June 19, 2015  - Vegetation on ROW appears to be 80-90% comparable to off ROW control. Vegetation predominantly wetland species’. - Patch of scentless chamomile present at KP 24+330. Recommend herbicide application. - Roach appears stable with good vegetation growth and cross drains functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area from KP 24+280 to 24+330 were handpicked, bagged and removed from ROW. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout. Black spruce seedlings were observed throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted. - No Noxious or prohibited noxious weeds were observed.","July 22, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - KP 24+300 – ponding on south side of road crossing. Marker posts are down due to ponding.  - KP 24+350 to 24+450 – Intermittent herbicide application to control scentless chamomile. September 26, 2016 - KP 24+300 to 24+380 – Intermittent herbicide application to control scentless chamomile. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
94P-4-A37,Moderate vegetation establishment,"September 18, 2014 - Poor re-establishment of vegetation, subsidence noted at KP 24+440, monitor in 2015. October 2, 2014 - Repaired subsided area utilizing soils from ROW and hand tools","June 19, 2015  - Vegetation on ROW appears to be 80-90% comparable to off ROW control. Vegetation predominantly wetland species’.  2013 and 2014 vegetation issue resolved. - No weed issues evident in tract; majority of tract in wetland. - Roach appears stable showing good vegetation growth and cross drains functioning well. - Previous year subsidence repairs at KP 24+380 and KP 24+440 appear to be stable with vegetation beginning to establish. Cover over pipeline is greater than 1.5m. Continue to monitor vegetation recovery, subsidence issue resolved. - No new subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area at KP 24+740 were handpicked, bagged and removed from ROW. July 16, 2015  - Implemented straw matting erosion control over bare areas within previous year subsidence repair at KP 24+440 to enhance stability and promote vegetation growth. September 23, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees, willows and shrubs growing throughout.   - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Assessed previously completed backfill of subsidence at KP 24+380, appeared to be stable with small amounts of vegetation beginning to re generate throughout the area.  Some minor cracking was observed along the length of the repair in the approximate location of the pipeline.  Assessed previously completed backfill of subsidence at KP 24+440, appeared to be stable with vegetation germinating throughout the area. Erosion control devices appeared to be stable and vegetation was observed growing through the fabrics.    - No Noxious or prohibited noxious weeds were observed.","July 22, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.  - KP 24+380 and 24+440 – Repairs complete in 2014 are stable and appear to have no further subsidence. Vegetation is establishing, issue resolved. September 26, 2016  - KP 24+400 to 24+450 – Intermittent herbicide application to control scentless chamomile. - KP 24+900 – Straightened and secured marker posts and signage.  - Vegetation continues to establish, exhibiting good growth. No issues.",,,
94P-4-A37,"Rare plant - western Jacob's ladder (S4) – KP 25+300 On August 23, 2013, rare plant specialists visited the location and observed approximately 20 plants. Resolved: No further monitoring is recommended.",,,,,,
94P-4-A27,Weeds - Weeds should be picked and site should be monitored for additional chamomile plants in the future.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 75% cover, the first year report noted Scentless Chamomile at KP 25+300 no plants were observed, issue resolved.","June 19, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW control. Vegetation predominantly wetland species’. - One scentless chamomile plant present at KP 25+800. Recommend herbicide application. - Roach exhibiting areas of thinner vegetation cover but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015  - Additional scentless chamomile located from KP 25+560 to 25+800.  All scentless chamomile plants found within wetland area from KP 25+560 to 25+800 were handpicked, bagged and removed from ROW. September 24, 2015  - Vegetation was well established throughout ROW and continuing to establish. Willows shrubs and Small trees were observed throughout the area.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Foreign road crossing appeared to be stable. No erosion or subsidence was observed.  - Several flowering Scentless chamomile plants were observed. Plants were picked and sealed in plastic bags for later disposal.","July 22, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control scentless chamomile. September 26, 2016 - KP 26+250 – Straightened and secured marker post and signage at road crossing.  - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94P-4-A27,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 75% cover, no issues.  2013 vegetation issue resolved","June 19, 2015  - Vegetation establishing well throughout tract; issue resolved.",,,,
94P-4-A27,Treed swamp,"September 18, 2014 - Wetland located from KP 26+650 to KP 26+670 is holding water, contains emergent and submergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 19, 2015  - Treed Swamp located between kp 26+650 to kp 26+670 has standing water along ROW and contains submergent and emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.","Sept 26, 2016 - Treed swamp located between KP 26+650 and KP 26+670. - Emergent riparian vegetation present throughout wetland. - Aspen/willow species present along fringe of wetland. - Wetland has proper functional condition.  Issue resolved.",,,
94P-4-A16,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species on ROW, poor cover on ditchline 75% ROW 20% ditchline, no other issues","June 20, 2015  - Vegetation establishment appears to be 80-90% cover over ROW. 2013 vegetation issue resolved. - Roach exhibiting areas of thinner vegetation cover (50%) but appears stable with cross drains functioning well. - Creek crossing at KP 26+820 appears stable with good vegetation growth on banks and willows beginning to establish. Bed appears stable with good cobble distribution. Revetment posts are functioning well at this time. Rollback leading to creek is functioning well as no foreign activity is evident. Moderate flow. Recommend removal of silt fence on both banks. - No subsidence or erosional issues evident within tract. July 15, 2015  - Removed silt fence and steel pegs within straw waddles on both banks of creek crossing at KP 26+820.  Issue resolved. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees, willows and shrubs growing throughout.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Sahtaneh river tributary crossing (KP 26+820) appeared to be stable. Banks were well vegetated with willows and trees well established. Grasses and sedges were also observed growing throughout the riparian area as well. No erosion or slumping was observed. Several waddles with plastic netting were removed from either bank as the area was very well vegetated and appeared to be stable.  - No Noxious or prohibited noxious weeds were observed.","July 22, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. - Tributary at KP 26+800 – has excellent vegetation growth within riparian area. Bed and banks are stable with moderate flow.  - Intermittent herbicide application conducted to control scentless chamomile  September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94P-4-A16,Peat-accumulating marsh,"September 18, 2014 - Wetland located from KP 26+760 to KP 26+860 is holding water, contains emergent and submergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 19, 2015  - Peat-accumulating marsh located between kp 26+760 and kp 26+860.  - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Peat-accumulating marsh located between KP 26+760 and KP 26+860. - Watercourse crossing located at KP 26+800. - Substrate dominated by gravel/fines. - Banks are well-vegetated, emergent riparian species growing in channel at crossing. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-A16,Shrubby swamp,"September 18, 2014 - Wetland located from KP 27+450 to KP 27+600 is holding water, contains emergent and submergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015  - 70-80% vegetation established compared to off ROW.  - Shrubby Swamp located between kp 27+450 and kp 27+600 has flowing water on ROW and contains submergent and emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.","Sept 27, 2016 - Shrubby swamp located between KP 27+450 and KP 27+600. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-A6,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species on ROW, poor cover on ditchline 75% ROW 20% ditchline, no other issues","June 20, 2015  - Vegetation establishment appears to be 80-90% cover over ROW with areas showing thinner cover likely attributed to heavier densities of mulch. 2013 vegetation issue resolved. - Roach exhibiting areas of thinner vegetation cover (50%) but appears stable with cross drains functioning well. - Rollback within tract appears to be functioning well as no foreign activity is evident. - No subsidence or erosional issues evident within tract. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees, willows and shrubs growing throughout.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.","July 22, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No erosion or subsidence issues. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
,"Rare plant - western Jacob's ladder (S4) – KP 27+900 to 28+100 On August 23, 2013, rare plant specialists visited the location and observed more than 10 plants. Resolved: No further monitoring is recommended.",,,,,,
94P-4-A5,Low vegetation establishment,"September 18, 2014 - Poor growth along these tracks and major subsidence from KP 28+500-28+640 in excess of 1 meter in depth and 1-2 meters wide October 1, 2014 - Utilized hand tools and material from the ROW to fill in the subsided area of ditchline. Entire length of subsided area was probed to determine depth of cover before and after repairs were made. Depth of cover along the subsided area was brought up to 1.3 meters. October 4, 2014 - Installed erosion control measures along subsidence located at KP 28+600.","June 20, 2015  - Vegetation establishment appears to be 75-85% cover over ROW with thinner areas likely attributed to higher densities of mulch.  2013 and 2014 vegetation issues resolved. - Roach exhibiting areas of thinner vegetation cover (50%) but appears stable with cross drains functioning well. - Creek crossing at KP 28+170 appears stable. Bed appears stable with high flow. Both banks appear to be slightly eroded expanding over ditchline likely as a result of high water flow; southeast bank erosion and northwest bank erosion noted. Although banks have been eroded, the vegetation cover appears stable with no sedimentation evident in creek bed. Rollback leading to creek is functioning well as no foreign activity is evident. Continue to monitor for further erosion over ditchline as well as cutting out exposed plastic matting on banks. - Previous year subsidence repair at KP 28+570 appears to be stable with common broadleaf weeds emerging within. Straw matting appears to be functioning well as no further subsidence evident. Continue to monitor for vegetation cover, subsidence issue resolved. - Marker post down at KP 28+730 as a result of high water level in wetland area. Recommend re-installing marker post when accessible. July 16, 2015  - Removed steel pegs within waddles and cut out exposed plastic matting on both banks of creek crossing at KP 28+170. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees, willows and shrubs growing throughout.   - Ground cover was well established and appeared to be continuously establishing.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted. - Drainage appeared to be well vegetated and flowing  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - 75-85% vegetation established within tract compared to off ROW. - Drainage located at KP 28+160. Drainage banks were stable and well vegetated, revetments were in good condition.  Erosion noted in 2015 along southeast and northwest banks is no longer evident, issues resolved. - Scentless chamomile was observed at KP 28+100 and 28+460 (perennial sow thistle also present), primarily along ditchline. Herbicide application conducted to control. - 2014 Subsidence repairs at KP 28+550 appear stable at time off assessment.   - Vegetation establishing along ditchline where the material was disturbed during repairs. No additional subsidence was observed. No work recommended, issue resolved. September 27, 2016  - KP 28+200 – Straightened and secured marker posts and signage.  - KP 28+730 – Straightened and secured marker posts and signage. Re-installed post at winter road crossing. Issues resolved. - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94P-4-A5,Shallow open water,"Wetland located from KP 28+000 to KP 28+300 is holding water, contains emergent and submergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015  - 70-80% vegetation established compared to off ROW.  - Shallow open water/ marsh located between kp 28+000 and kp 28+300 contains submergent and emergent riparian vegetation.  - Wetland has proper functional condition.  Issue resolved.  - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Shallow open water marsh located between KP 28+000 and KP 28+300. - Watercourse crossing located at KP 28+170. - Substrate dominated by gravel/cobble. - Standing water present at crossing, water has ponded behind revetments. - Banks are well vegetated, no signs of erosion. - Wetland has proper functional condition. Issue resolved.",,,
94P-4-A5,Invasive species,,"June 20, 2015  - No noxious or invasive species were observed. September 24, 2015  -  No sweet clover was observed. 2013 invasive species issue resolved.",,,,
,Treed fen,"Wetland located from KP 28+460 to KP 29+000 is holding water, contains emergent riparian vegetation and appears functional.  • Cross-drain installed along ditchline is partially functional and may require repairs. Recommend potential cross drain alteration at 28+450 to allow water to drain across ROW.","June 20, 2015  - Treed Fen located between kp 28+460 and kp 29+000 has standing water along ROW and contains submergent and emergent riparian vegetation.  - Flowing water across ROW present at kp 29+000.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Treed fen located between KP 28+460 and KP 29+000. • Emergent riparian vegetation present throughout wetland. • Spruce saplings establishing along ROW boundaries. • Intermittent areas of standing water located within wetland. • Wetland has proper functional condition. Issue resolved.",,,
94I-13-I95,Low vegetation establishment,"September 18, 2014 - Poor growth along these tracks","June 20, 2015  - Vegetation establishment appears to be 90-95% comparable to off ROW control consisting predominantly of wetland vegetation. 2013 and 2014 vegetation issues resolved. - No weed issues evident within tract. - Roach is well vegetated within tract with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small shrubs growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Drainages located at KP 28+967 and 29+000 appeared stable with good wetland vegetation growth throughout.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - 85-95% vegetation established compared to off ROW. - Scentless chamomile observed at KP 28+850, primarily along ditchline. Herbicide application conducted to control. - Intermittent bare patches present within tract, monitor. - No erosion concerns or subsidence observed within tract. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94I-13-I95,Shrubby fen,"September 18, 2014 - Wetland located from KP 29+000 to KP 29+100 is holding water, contains emergent riparian vegetation and appears functional. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015  - Shrubby Fen located between kp 29+000 and kp 29+100 contains emergent riparian vegetation.  - Wetland has proper functional condition.  Issue resolved.","Sept 27, 2016 - Shrubby fen located between KP 29+000 and KP 29+100. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-13-I94,Low vegetation establishment,"September 18, 2014 - Poor growth.","June 20, 2015  - Vegetation establishment appears to be 90-95% comparable to off ROW control consisting predominantly of wetland vegetation and deciduous species’. 2013 and 2014 vegetation issues resolved. Some areas along ROW exhibit thinner vegetation cover likely attributed to heavier densities of mulch. - Roach is well vegetated within tract with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees, willows and shrubs growing throughout.   - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted. - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - 85-95% vegetation established compared to off ROW. - No noxious weeds observed within tract. - Intermittent bare patches present within tract, monitor. - No erosion concerns or subsidence observed within tract. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. Willows and shrubs are well established.",,,
