Legal Location (W6),Land Use,2012 PCMP Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,2016 PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 2-67-7,Treed,Monitor vegetation growth in 2013.,,"• June 15, 2014 – Cross drains and diversion berms functioning well with vegetation establishing. 90% vegetation establishment as opposed to off ROW, consisting of some thinner vegetated patches along ROW more apparent on ditch line. Deciduous species establishing well along ROW. • September 18, 2014 – intermittent herbicide application conducted to control Canada thistle. • Wapiti MS recently constructed - monitor in 2015. ","• June 2, 2015: • 90-95% vegetation establishment compared to off-ROW control. No Noxious weeds observed within tract during assessment. • Cross drains and diversion berms located within tract are function and well vegetated. • September 20, 2015 – intermittent herbicide application conducted to control sow thistle.","• June 22, 2016: • Vegetation is well established with desirable species throughout ROW. - Willows, bushes and saplings are encroaching well onto west side of ROW. Vegetation cover issue noted in 2012, no longer present, issue resolved. • No erosion or subsidence issues. • August 14, 2016 – No noxious weeds observed. ",,,
SW 2-67-7,Treed,Monitor vegetation growth in 2013.,KP 16+425 Erosion gully running across ditch line – Not impacting land use at this time – Monitor in 2014.,"• June 15, 2014: • 90 - 95% vegetation establishment compared to off ROW. Deciduous species establishing well along Southern half of tract.  • Cross Drainage across ROW at 16+400 exhibiting signs of possible past erosion and is relatively well vegetated at this time - continue to monitor.","• June 2, 2015: • Vegetation is comparable to off ROW. 90-100% coverage as opposed to off ROW. Some small areas of less growth establishment potentially due to woody debris. 16+140, 16+420. • KP 16+400 - previously noted erosion within cross drain is well vegetated, issue resolved. • KP 16+700 – rutting or rill erosion on slope – well vegetated. – continue to monitor.  • No Noxious weeds were identified in this tract.","• June 22, 2016: • Vegetation is well established with desirable species throughout ROW. - Willows, bushes and saplings are encroaching well onto west side of ROW. Vegetation issues noted in 2012 and 2015 (KP 16+140 and 16+420), no longer present, issues resolved. • No erosion or subsidence issues. KP 16+700, erosion no longer evident due to vegetation cover, issue resolved. • August 14, 2016 - meadow hawkweed patch was observed at KP 15+950 and perennial sow thistle patches were observed from KP 15+700 to 15+775. Herbicide applied to control.",,,
SW 2-67-7,Tributary to Bald Mountain Creek (WC8),None.,KP 15+900 Removed silt fencing.,"• June 15, 2014: • North side of tributary thin vegetation existing 70% as opposed to off ROW. Banks well vegetated and appear stable, some minor settlement or slumping in south bank. Silt fence on North side of tributary could be removed. Good establishment of willows in coir banks. Portion of drainage lacks cobble directly over and parallel to ditchline. May be an issue due to lack of substrate - continue to monitor. One Bull thistle noted and removed. • Diversion berm on South side of Tributary, top of slope shows signs of erosion within drainage extending across ROW. Erosion rills noted above the diversion berm initiated on spoil side of Row in thinner vegetated area. Repairs recommended (KP 15+800). • July 11, 2014 – Installed 12 straw waddle erosion prevention measures at KP 15+800, 2 on North bank of tributary and 10 on South bank. Re-contoured eroded area and filled with material on ROW. Removed 15m of silt fence and posts from North bank.","• June 2, 2015: • Tributary to Bald Mtn. Creek • No erosion or subsidence on banks, 2014 repairs were successful (KP 15+800), issue resolved. • Revetment posts functioning. • banks well vegetated, vegetation issue noted on north side of tributary in 2014 is resolved.","• June 22, 2016: • KP 15+800 – Banks of unnamed creek are stable and well vegetated. Due to a beaver dam the creek has little to no flow. Willows are establishing well along creek banks. • Bull thistle no longer present on ROW, issue resolved.",,,
NE 34-66-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris. Reseed at KP 17.10 and monitor in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"• June 15, 2014: • 90-95% vegetation established with a few areas of reduced cover along spoil side of ROW, vegetation issue noted in 2012 is resolved. • erosion noted within cross drain (KP 17+075) – recommend repairs. • Canada thistle identified at the south end of this tract in several locations • June 25, 2014 – intermittent herbicide application conducted between KP 16+850 and 17+400 to control Canada Thistle and Perennial Sow Thistle. • July 23, 2014 – broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses do not indicate stressing. • July 11, 2014 – Installed 4 straw waddle erosion prevention breakers at KP 17+076. Re-contoured eroded area and filled with material on ROW.","• June 2, 2015: • Vegetation establishment 90-95% comparable to off ROW control. • KP 17+075 – previous erosion mitigation with the use of straw waddle installs was effective but requires additional straw waddles, as current ones are full of silt and in some cases buried within cross drain. Vegetation starting to establish.  • No Noxious weeds were identified within this tract. • August 21, 2015 – Installed four supplemental wattles for erosion at KP 17+075. • September 20, 2015 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.","• June 22, 2016: • Vegetation is well established with desirable species throughout ROW. - Willows, bushes and saplings are encroaching well onto west side of ROW. Vegetation issue, as well as woody debris issue, noted in 2012 and 2014, no longer present, issues resolved. • No noxious weeds identified. • Previously installed wattles in drainage at KP 17+075 (noted as early as 2012) are functioning well. Vegetation establishment throughout and soils are stable, issue resolved. • No erosion or subsidence issues. • August 14, 2016: • No noxious weeds observed.  • Canada thistle and perennial sow thistle are no longer present, issues resolved.",,,
SE 34-66-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"• June 16, 2014 - North portion of 1/4 exhibits 75-80% vegetation establishment compared to off ROW, Areas showing improved vegetation along workside. Deciduous species establishing well along ROW throughout entire tract. Cross drains and diversion berms functioning well with vegetation establishing. - No Scentless Chamomile observed, located on this ¼ in • 2013, issue is resolved. • September 19, 2014 – intermittent herbicide application conducted to control Canada thistle.","• June 2, 2015 - Vegetation establishment ~85% compared to off ROW control. - Some sections along ROW with woody debris present - • Good vegetation establishment surrounding these areas. Continue to monitor. - No contour, erosion or subsidence issues within tract. •  - Diversion berms and cross drains well vegetated and • functioning effectively.  • September 20, 2015 - intermittent herbicide application conducted to control • perennial sow thistle and Canada thistle.","• June 22, 2016: • Vegetation is well established with desirable species throughout ROW, all previously noted vegetation issues (2012 to 2015) are resolved. Associated woody debris noted in 2012 is not impacting ROW recovery, issue resolved. Willows, bushes and saplings are encroaching well onto west side of ROW. - No noxious weeds identified.  • No erosion or subsidence issues. • August 14, 2016: • meadow hawkweed patch was observed at KP 18+000, herbicide applied to control. • Scentless chamomile, noted in 2012, and Canada thistle are no longer present, issues resolved.",,,
NE 27-66-7,Treed,Monitor vegetation growth in 2013.,,"• June 16, 2014: • Scentless Chamomile identified KP 18+675, plants picked and bagged. • Entire tract exhibits vegetation density of ~90% compared to off ROW. Deciduous species establishing well along ROW throughout entire tract. Cross drains and diversion berms functioning well with vegetation establishing. • June 25, 2014 – intermittent herbicide application conducted between KP 18+300 and 19+050 to control Canada thistle, perennial sow thistle, and scentless chamomile. • July 23, 2014 – broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses do not indicate stressing.","• June 2, 2015: • ~90% vegetation cover as opposed to off ROW control. • Deciduous species establishing well along ROW throughout entire tract.  • Cross drains and diversion berms functioning well with vegetation establishing. • No contour, erosion or subsidence issues within tract. • Large pond on East side of ROW. KP 18+450. No issues. • September 20, 2015 – Intermittent herbicide application conducted to control Canada thistle.","• June 22, 2016: • Vegetation is well established with desirable species throughout ROW, all previously noted vegetation cover issues (2012) are resolved. Willows, bushes and saplings are encroaching well onto west side of ROW. No noxious weeds identified.  • Hill slope and diversion berms are stable. • No erosion or subsidence issues. • August 14, 2016: • No noxious weeds observed. • Scentless chamomile, Canada thistle, and perennial sow thistle no longer present, issues resolved.",,,
SE 27-66-7,Treed,"Monitor vegetation growth in 2013. Install erosion control measures on hillside, reseed and monitor at KP 19.71 in 2013.","KFKP 19+500 Minor erosion across centerline, Monitor P 19+700 – 19+800 Good infilling of native species, lots of shrubs and forbs on ROW. KP 19+500 Increased erosion since the spring assessment was completed. illed in rill erosion and one gully by hand and then install (Bio 4) erosion blankets and waddles.","• June 16, 2014: • Entire tract exhibits vegetation density of ~90% compared to off ROW Grasses and Deciduous species establishing well along ROW. Cross drains and diversion berms functioning well with vegetation establishing. • KP 19+500, Ephemeral Draw, previously repaired erosion issue, additional erosion has occurred. Recommended repair. • KP 19+720. 3rd party activity at pipeline crossing exhibiting slumping. • June 25, 2014 – intermittent herbicide application conducted between KP 19+050 and 19+950 to control Canada thistle and perennial sow thistle.  • July 13, 2014 – Erosion repair completed at KP 19+500. • July 23, 2014 – broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses do not indicate stressing.","• June 2, 2015: • ~90% vegetation cover as opposed to off ROW control.  • Scentless Chamomile noted at KP 19+360. Approx 30 plants plus emerging. Recommend herbicide application. 3 bull thistle identified picked and bagged at KP 19+780, - continue to monitor. • Deciduous species establishing well along ROW throughout entire tract.  • Cross drains and diversion berms functioning well with vegetation establishing. • No contour, erosion or subsidence issues within tract, repairs completed at KP 19+500 were effective, issue resolved. • Slumping noted in 2014 at 3rd party crossing at KP 19+720 is no longer evident, issue resolved. • July 10, 2015 – Intermittent herbicide application conducted to control scentless chamomile from KP 19+050 to 19+950. Scentless Chamomile was noted off ROW. • September 20, 2015 – Intermittent herbicide application conducted to control Canada thistle and scentless chamomile.","• June 22, 2016: • Vegetation establishing well, vegetation consistent with off ROW. Vegetation issue noted in 2012 is resolved. Good establishment of grasses, clover, willows and shrubs. • Erosion repair from 2014 (KP 19+500) within drainage has established excellent vegetation, breakers have filled in with sedimentation, restoring natural contour to drainage. Breakers remain functional in mitigating erosion. Issue is resolved. • Erosion noted in 2012 at KP 19+710, no longer evident, issue resolved. • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. • Slopes and diversion berms are well vegetated and stable; no erosion issues • August 15, 2016: • Intermittent meadow hawkweed patches were observed throughout ¼. Several Canada thistle, perennial sow thistle, and bull thistle individuals were observed in the ¼. Herbicide applied to control. • Scentless chamomile no longer present, issue resolved",,,
NE 22-66-7,Treed,"Install erosion control measures on hillside, reseed and monitor at KP 20.16 in 2013. Monitor vegetation growth in 2013.",KP 20+100 Location appears fully recovered and functional. No visible crown and good regeneration of natives.  KP 20+200 Erosion since the spring assessment was completed. KP 20+200 Filled in rill erosion and one gully by hand and then install (Bio 4) erosion blankets and waddles.,"• June 16, 2014: • Majority of ROW exhibits vegetation density of ~90% compared to off ROW. Deciduous species establishing well along ROW throughout entire tract. Cross drains and diversion berms functioning well with vegetation establishing other than mentioned issues. • KP 19+990 Minor erosion beginning along West side of ROW boundary into centre line - Continue to monitor. • Noxious weed, Tall buttercup located on ROW. • June 25, 2014 – intermittent herbicide application conducted between KP 19+950 and 20+800 to control Canada thistle, perennial sow thistle, and tall buttercup. • July 13, 2014 – Erosion repairs completed at KP 19+990. • July 23, 2014 – KP 20+670 - ~15 buttercup plants were picked in this area. Previous herbicide application did not cover entire area of weed presence. Broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stressing.","• June 3, 2015: • 90% vegetation establishment compared to off-ROW control. • Some minor bare patches along ditchline. • Erosion repairs, at KP 19+990, from previous years’ work are functioning and in good condition, issue resolved. • Cross drains are functioning and well vegetated.  • No Noxious weeds observed within tract during assessment.","• June 23, 2016: • Vegetation well established and consistent with off ROW. Good establishment of willows and shrubs. Vegetation issue noted in 2012 is resolved. No noxious weeds were identified within this tract. • Erosion repair from 2014 within drainage at KP 19+990 is providing adequate function, good establishment of vegetation and stabilization of soils, confirming that issue is resolved. • Erosion noted in 2012 at KP 20+160 (the same issue noted in 2013 at KP 20+200) is no longer evident, issue resolved. • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. • Previously assessed bare areas continue to improve with establishment of vegetation – trajectory approaching adjacent land capability, issue resolved. • Tall buttercup was identified at KP 20+670, across the right of way on what appears to be an old trail, also located off ROW. Recommend herbicide application. • July 13, 2016 – herbicide application conducted (spot spraying) to control tall buttercup at KP 20+670. • August 15, 2016: • Intermittent meadow hawkweed and perennial sow thistle patches were observed throughout ¼. Several small patches of common tansy were observed at KP 20+160. Herbicide application conducted to control. • Canada thistle no longer present, issue resolved.",,,
SE 22-66-7,Treed,Monitor vegetation growth in 2013.,,"• June 16, 2014 – Majority of ROW exhibits vegetation density of ~90% compared to off ROW. Cross drains and diversion berms functioning well with vegetation establishing. Slope has good establishment of vegetation with no issues at this time.","• June 3, 2015: • 90% vegetation establishment compared to off-ROW control. • Diversion berms are functioning and well vegetated.  • No noxious weeds observed within tract during assessment.","• June 23, 2016:  • Vegetation well established and consistent with off ROW. Vegetation issue noted in 2012 is resolved. Good establishment of willows and shrubs. No noxious weeds were identified within this tract. • Hill slopes and berms are stable and well vegetated. • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. • August 15, 2016 – Several meadow hawkweed patches were observed throughout 1/4. Herbicide applied to control.",,,
SW 22-66-7,Treed,None.,,"• June 16, 2014 – Entire tract exhibits good vegetation density of ~90-95% compared to off ROW, good grass establishment. Deciduous species establishing well along ROW throughout entire tract. Cross drains and diversion berms functioning well with vegetation establishing.","• June 3, 2015: • 90% vegetation establishment compared to off-ROW control. • No noxious weeds observed within tract during assessment.","• June 23, 2016:  • Vegetation well established and consistent with off ROW. Good establishment of willows and shrubs. No noxious weeds were identified within this tract • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. This disturbed area will be monitored as a part of that pipeline’s PCM program. • August 15, 2016 – Several meadow hawkweed patches were observed throughout 1/4. Herbicide applied to control.",,,
SW 22-66-7,Tributary to Bald Mountain Creek (WC9),"Monitor in 2013 and, if warranted, repair.","KP 21+450 Drain is still fully functional, it is well vegetated. KP 21+450 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain Re-distributed the cobble that is holding back water.","• June 16, 2014 – Tributary to Bald Mtn. Creek. - Minor slumping on North and South banks, bed of water course along ditchline is slightly wider and slightly deeper than off ROW. 70-75% vegetation on banks as opposed to off ROW. - continue to monitor.","• June 3, 2015: • Slumping has occurred along ditchline of both banks of WC9. • Right (north) bank is well vegetated, continue to monitor. • Left (south) bank has slumped approximately 1 meter from the revetment posts and has 70-75% vegetation establishment. • No evidence of rills or other erosion issues at time of assessment, continue to monitor creek banks.","• June 23, 2016 WC 9 – Unnamed Tributary to Bald Mountain Creek – banks are stable and continue to improve with establishment of vegetation - trajectory approaching adjacent land capability, vegetation issues noted in 2014 and 2015 are resolved. Moderate flow is observed within the watercourse at this time. Minor slumping as previously reported remains unchanged since 2012; it does not impede land capability in comparison to adjacent lands, and it does not impose a safety or pipe integrity concern. Issue resolved.",,,
NW 15-66-7,Drainage (D3),None.,Slight subsidence on seasonal drain areas from KP 21.9 to KP 24 no issues (not impacting reclamation efforts) at this time monitor. KP 21+600 Removed silt fencing.,"• June 17, 2014 - KP 21+750 slumping along ditchline, erosion extending beyond slumping, establishing vegetation within the erosion - monitor.","• June 3, 2015 B. – Drainage D3 at KP 21+750 remains as previously assessed. Minor slumping is consistent with 2014 assessment; drainage is stable. Vegetation is continuing to establish well. Minor ponding present at time of assessment. Continue to monitor.","• June 23, 2016 – D3, as previously assessed exhibiting minor slumping – no change to conditions; no safety or pipe integrity concerns, with land capability comparable to adjacent lands. Soil conditions remain stable with good vegetation established in and around minor slumping. Issue resolved. • August 15, 2016 – No noxious weeds observed.  ",,,
,Drainage (D4),None.,Slight subsidence on seasonal drain areas from KP 21.9 to KP 24 no issues (not impacting reclamation efforts) at this time monitor. KP 21+700 Removed all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water.  Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 17, 2014 - KP 21+820 Drainage, Subsidence observed. Ponding on ditchline, poor contour of drainage, standing water -continue to monitor.",,"• June 23, 2016- D4, as previously assessed exhibiting minor slumping – no change to conditions; no safety or pipe integrity concerns, with land capability comparable to adjacent lands. Soil conditions remain stable with good vegetation established in and around minor slumping. Issue resolved. • August 15, 2016 - No noxious weeds observed. ",,,
,Drainage (D5),"Monitor in 2013 and, if warranted, repair.",Slight subsidence on seasonal drain areas from KP 21.9 to KP 24 no issues (not impacting reclamation efforts) at this time monitor. KP 21+900 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 17, 2014 - KP 22+330 - Considerable ponding water on ditchline as opposed to off ROW. Subsidence exists along East bank, monitor.","• June 3, 2015 - Drainage D5 at KP 22+330 exhibits good vegetation growth on slopes leading to drainage. Minor slumping on east bank remains as previously assessed. Considerable ponding on ditchline is evident at time of assessment; does not appear to be draining off ROW effectively. Recommend hand digging cross drainage deeper across ROW to allow for effective water movement and to minimize ditchline ponding. • August 22, 2015 - Dug a channel from the ponded water on ditch line for water to flow off of the ROW.","• June 23, 2016- D5, as previously assessed exhibiting minor slumping, first noted in 2012 – no change to conditions; no safety or pipe integrity concerns, with land capability comparable to adjacent lands. Soil conditions remain stable with good vegetation established in and around minor slumping. Issue resolved. • August 15, 2016 - No noxious weeds observed. ",,,
,Rare Plant (snakeskin liverwort),,"KP 22+330 On August 8, 2013 Rare Plant Specialists visited the location and observed two patches of snakeskin liverwort on the right-of-way as well as golden saxifrage. Resolved and successful: no further monitoring is recommended. Issue resolved.",,,,,,
,Tributary to Bald Mountain Creek (WC10),None.,"KP 22+500 Excellent regeneration, shrubs, conifers, and deciduous all recovering.","• June 17, 2014: • KP 22+440 Minor subsidence and slumping on each side. Coir banks appear effective and stable with vegetation establishing. Removed silt fencing on South side. • Cross drains and diversion berms functioning well with vegetation establishing.","• June 3, 2015 B. – banks stable with good vegetation cover (willows flourishing), minor subsidence noted in 2014 (KP 22+440) is considered resolved. Good cobble distribution and no sediment inflow from banks. Moderate flow was evident within watercourse at time of assessment. Amphibious life present within watercourse.","• June 23, 2016 – banks are stable and well vegetated with grasses and willows. Moderate flow is observed within the watercourse at this time. Minor slumping as previously reported remains unchanged; it does not impede land capability in comparison to adjacent lands, and it does not impose a safety or pipe integrity concern. Confirming issue is resolved.",,,
,Rare Plant (snakeskin liverwort),,"KP 22+450 On August 8, 2013 Rare Plant Specialists visited the location and observed snakeskin liverwort off the right-of-way along the west edge of the right-of-way boundary. Suitable habitat was observed on the right-of-way. Resolved and successful: no further monitoring is recommended. Issue resolved.",,,,,,
,Treed,None.,,"• June 17, 2014 – Vegetation establishment compared to off ROW ~95%. Good establishment of grasses.","• June 3, 2015: • Vegetation is 90-95% compared to off ROW control.  • Diversion berms within tract functioning well. • Recent dig evident at KP 22+200 as ground bare compared to the rest of ROW. Some grasses are beginning to establish, monitor in 2016.","• June 23, 2016: • Vegetation well established and consistent with off ROW. Good establishment of willows and shrubs. No noxious weeds were identified within this tract. • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way. Recent construction project crosses over right of way at KP 22+200. This disturbed area will be monitored as a part of that pipeline’s PCM program.",,,
SW 15-66-7,Treed,None.,,"• June 17, 2013 – Vegetation establishment compared to off ROW ~95%. Weeds (non-noxious) comparable to off ROW.","• June 3, 2015: • Vegetation within tract appears to be 90-95% compared to off ROW control. Some areas along ROW exhibiting thinner vegetation cover. • Diversion berms and cross drains are stable.","• June 23, 2016: • Vegetation well established and consistent with off ROW. Good establishment of willows and shrubs. Areas if thinner vegetation, noted in 2015, are no longer evident, issue resolved. • Diversion berms and steep slopes are stable and well vegetated. •  Tall Buttercup identified for ~160m along ditchline at the south end of the tract and off ROW within foreign well site access road. • July 14, 2016 – herbicide application conducted (spot spraying) to control tall buttercup. • August 15, 2016 – Intermittent meadow hawkweed patches were observed throughout 1/4. Herbicide applied to control.",,,
SW 15-66-7,Tributary to Bald Mountain Creek (WC11),None.,KP 22+300 and 22+400 • Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water.  Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 17, 2014: • Low water flow present across ROW in drainages noted, well vegetated and functioning effectively.  • KP 22+920 - minor slumping, apparent deposit of sediment in bed of ditchline- continue to monitor. Silt fencing remains on either bank and can be removed at any time.  • July 29, 2014:  • Removed previously reported sit fencing on either bank of tributary at KP 22+920.  • Scentless Chamomile identified at KP 23+100. Picked and bagged.","• June 3, 2015 – Minor slumping remains through tributary but both banks are well vegetated, slumping is not hindering the recovery of the ROW, issue resolved. Apparent sediment inflow into streambed from the previous assessments remains; flow is not impacted by sedimentation, issue resolved. Good cobble distribution within tributary bed. Revetment posts are stable and are functioning well. Minor exposure of plastic matting occurring on beds. Minimal flow at time of assessment.","• June 23, 2016: • banks are stable and well vegetated with grasses and emerging willows. Presence of sediment within watercourse is attributed to recent high runoff levels. Moderate flow is observed within the watercourse at this time. Minor slumping as previously reported remains unchanged; it does not impede land capability in comparison to adjacent lands, and it does not impose a safety or pipe integrity concern. Issue resolved. • Scentless chamomile no longer present, issue resolved.",,,
SW 15-66-7,Rare Plant (snakeskin liverwort),,"KP 22+950 to 23+100 On August 8, 2013 Rare Plant Specialists visited the location and observed snakeskin liverwort on and off the right-of-way along the banks of the creek. Resolved and successful: no further monitoring is recommended. Issue resolved.",,,,,,
,Tributary to Bald Mountain Creek (WC12),"Monitor in 2013 and, if warranted, repair.",KP 23+000  Cobble was installed during construction; the centerline subsided and acted as a sediment trap. The native substrate is fines; the collection of sediment on centerline is not impacting restoration. KP 23+000 and 23+100 Removed silt fencing,"• June 17, 2014: • KP 23+120 minor subsidence either bank. Good vegetation establishment. Channel entering ROW has been naturally redirected and is impacting midsection of drainage slope ~2m above coir wrap on South side of drainage. This issue may require remediation - continue to monitor.  • Cross drains and diversion berms functioning well with vegetation establishing. Deciduous species establishing well along ROW. Hill slopes vegetating well and appear stable. • KP 23+185 to 23+435 silt fence remaining along east side of ROW, extending into next 1/4. • July 12, 2014 – Removed approximately 250m of silt fence from tract, and also extending into NE 09-66-07M from KP 23+185 to KP 23+435. After silt fence was removed, all soil was placed back into the depression that was created and ground was re-contoured manually.","• June 3, 2015 – Minor slumping remains, as previously assessed in 2014, not affecting watercourse as banks are well vegetated, issue resolved. Good cobble distribution within bed of bank. Natural channel redirection upstream appears to be used only during high precipitation events, it is not impacting the recovery of the ROW, issue resolved. No evident inflow of sediment into stream. Continue to monitor.","• June 23, 2016 – banks are stable and well vegetated with grasses and emerging willows. Minimal flow is observed within the watercourse. Minor slumping as previously reported remains unchanged, first noted in 2012; it does not impede land capability in comparison to adjacent lands, and it does not impose a safety or pipe integrity concern. Issue resolved.",,,
NE 9-66-7,Treed,None.,KP 23+800 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 17, 2014: • Majority of ROW vegetation ~90% compared to off ROW. Deciduous species establishing well along ROW. Cross drains and diversion berms functioning well with vegetation establishing. Tall buttercup was located on the ROW. • Diversion berm, evidence of removal of straw waddle, steel pins remain. Recommend installation of straw waddles as vegetation remains thin. •  KP 23+660 Diversion berm exhibits small amounts of water rising on ditchline may be a spring. Continue to monitor. • KP 23+700 Straw waddles evidently removed from diversion berm or ephemeral draw. Continue to monitor.  • June 26, 2014 – intermittent herbicide application conducted between KP 23+350 and 24+450 to control tall buttercup. • July 23, 2014 – broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses do not indicate stressing.","• June 3, 2015 • Vegetation within tract appears to be 90-95% comparable to off ROW control. Some areas along ROW exhibiting reduced vegetation. • Cross drains within tract appear to be functioning well with good vegetation establishment and no evident ponding water. • Diversion berms within tract appear to be stable and functioning well. Diversion berms are well vegetated. Minor ponding evident on ditchline within berm at KP 23+660 as previously assesses. Issue does not appear to be affecting land-use or pipe integrity and is considered resolved. Diversion berm issues noted in 2014 are resolved. • Ephemeral draw at KP 23+700 exhibits two areas where waddles have been removed exhibiting minimal vegetation cover. Minimal vegetation establishment likely attributed to exposed plastic matting over areas. Recommend cutting out exposed plastic matting to promote vegetation growth. • No subsidence, erosion or contour issues evident within tract. • August 22, 2015 – Cut out and removed exposed non-biodegradable erosion control.","• June 23, 2016: • Vegetation well established and consistent with off ROW. Good establishment of willows, evergreens, and shrubs. • Diversion berms and steep slopes are stable and well vegetated. • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way on the south half of 1/4. Recent construction project crosses over right of way at KP 24+010. This disturbed area will be monitored as a part of that pipeline’s PCM program. • Vegetation issue noted within ephemeral draw at KP 23+700 is no longer evident, issue resolved. • Tall Buttercup identified for ~200m at the north end of the tract and at KP 23+875, at foreign line crossing, and to west off ROW. • July 14, 2016 – herbicide application conducted (spot spraying) to control tall buttercup. • August 16, 2016: • meadow hawkweed was observed from KP 23+700 to 24+450, several bull thistle plants observed. Herbicide applied to control. • Although still present, tall buttercup was reduced in extent from approximately 1100 m in 2014 to 200 m in 2016.",,,
SE 9-66-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris. Distribute soil over right-of-way in 2013.",,"• June 17, 2014 – Majority of ROW exhibits ~90 vegetation established compared to off ROW control. Deciduous species and willows establishing well on ROW. Cross drains well vegetated and functioning appropriately. • June 26, 2015 – intermittent herbicide application conducted between KP 23+350 and 24+450 to control weeds on ROW. • July 23, 2014 – broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stresses.","• June 4, 2015: • Vegetation is 90-95% comparable to off ROW control with some areas exhibiting thinner vegetation cover. • No noxious weeds were found within tract. • No subsidence, erosion or contour issues were evident within tract.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. 2012 vegetation issue and associated woody debris issues are resolved. Good establishment of willows, rosebushes and poplar saplings. - No noxious weeds identified.  • Soil pile noted in 2012, no longer present, issue resolved. • No erosion or subsidence issues. • August 16, 2016 – Several meadow hawkweed patches were observed throughout ¼, a few bull thistle individuals were observed in the ¼. Herbicide applied to control.",,,
NE 4-66-7,Treed,Reseed at KP 25.90 and monitor in 2013. Monitor vegetation growth in 2013.,KP 26+050 Removed silt fencing.,"• June 17, 2014 – 85-90% vegetation establishment within this tract, compared to off ROW control. Extensive sections exhibiting thin vegetative cover across ROW, possibly attributed to excessive woody debris in some area. Monitor for erosion and continued vegetation establishment. Deciduous species and willows establishing well on ROW.","• June 4, 2015: • Vegetation is 90-95% comparable to off ROW control with some areas exhibiting thinner vegetation cover. • Natural drainage at KP 24+460 stable with good vegetation establishing within. Water is draining effectively into bar ditch running parallel to road.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. Good establishment of willows, rosebushes and poplar saplings. Previous issues, including those noted in 2012, 2014 and 2015, with vegetation cover is resolved. • No noxious weeds identified.  • No erosion or subsidence issues. 2012 erosion issue at KP 25+900 no longer present, issue resolved. • August 16, 2016 – Intermittent meadow hawkweed patches were observed throughout ¼, perennial sow thistle at KP 25+620. Herbicide applied to control.",,,
