Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
D-003-I/094-I-11 to C-002-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, and some shrubs throughout the majority of this tract (High, 80 – 100 % vegetation cover compared to off right-of-way). - spruce observed to be emerging throughout the work side. - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea. - cross drainage present is functional","August 8, 2017 - Treed Swamp on ROW from KP 16+920 to 17+040 appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, poplar, alder and shrubs. Submergent vegetation establishing within standing water areas. Good establishment of hydrophytic vegetation throughout wetland. - No noxious weeds identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland. - Wetland exhibiting fully saturated conditions; intermittent areas of surface water emergence throughout. - Wetland providing good habitat opportunity through good vegetation cover and standing water throughout. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species through natural succession; leave for natural recovery. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 16+920 to KP 17+040 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow, horsetails and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
C-002-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line. September 23, 2016 - KP 17+770, 17+750 and 17+740 – straightened and secured marker posts and sign. - Additional intermittent herbicide application conducted along ditch line to control perennial sow thistle (Low; 0 – 10 % cover).","August 8, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - No noxious weeds were identified in tract. Issue resolved. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract.","June 22, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A large portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, milk vetch, clover and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 1m in height. - No noxious weeds were identified within tract. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 19, 2018 – Intermittent herbicide application conducted to control perennial sow thistle. September 21, 2018 – No noxious weeds observed, issue resolved.",,,
C-002-I/094-I-11,Rare Plant (17+100),15 bog adder’s-mouth orchid were observed. Issue resolved.,No further monitoring required.,,,,,
C-002-I/094-I-11 to D-002-I/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, and some shrubs throughout the majority of this tract (High, 80 – 100 % vegetation cover compared to off right-of-way). - spruce observed to be emerging throughout the work side. - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea.   - cross drainage present is functional","August 8, 2017 - Treed Bog on ROW from KP 17+040 to 17+410 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder, Labrador tea, sphagnum moss, black spruce and tamarack. Good establishment of hydrophytic vegetation throughout wetland. - No noxious weeds observed in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. Peat depth exceeding 40cm; mottling occurring. - Wetland exhibiting fully saturated conditions; few areas exhibiting standing water emergence. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Treed bog on ROW from KP 17+040 to KP 17+410 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids, alder, horsetails, broadleaf shrubs, sphagnum mosses, Labrador tea and black spruce. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. Peat accumulating throughout wetland. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours. Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
D-002-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line. September 23, 2016 - KP 17+770, 17+750 and 17+740 – straightened and secured marker posts and sign. - Additional intermittent herbicide application conducted along ditch line to control perennial sow thistle (Low; 0 – 10 % cover).","August 8, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - No noxious weeds were identified in tract. Issue resolved. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. - Discontinuous permafrost zone on ROW from KP 17+600 to 17+675 exhibiting 80-100% vegetation cover for majority of area with no ditch line subsidence observed and no signs of instability throughout area. No issues. October 2, 2017 - No noxious weeds identified.","June 22, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A large portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, milk vetch, clover and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 1m in height. - No noxious weeds were identified within tract. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 19, 2018 – Intermittent herbicide application conducted to control perennial sow thistle. September 21, 2018 – No noxious weeds observed, issue resolved.",,,
D-002-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, and some shrubs throughout the majority of this tract (High, 80 – 100 % vegetation cover compared to off right-of-way). - spruce observed to be emerging throughout the work side. - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea.   - cross drainage present is functional.","August 8, 2017 - Tree Swamp on ROW from KP 17+410 to 17+670 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder and sphagnum moss. Submergent vegetation establishing within standing water areas. Good establishment of hydrophytic vegetation throughout wetland. - No noxious weeds identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland. Peat accumulation occurring in slightly upslope areas of wetland. - Wetland exhibiting fully saturated conditions; surface water present throughout majority of wetland. - Wetland providing good habitat opportunity through good vegetation cover and standing water throughout. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species through natural succession; leave for natural recovery. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 17+410 to KP 17+670 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, willow, horsetails, common cattail and broadleaf shrubs. - Trench crown present through wetland but has slightly settled as a result of hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting fully-saturated conditions with surface water present throughout majority of wetland. - Wetland providing good habitat opportunities through the presence of standing water, snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
C-001-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line. September 23, 2016 - KP 18+000 – straightened and secured marker posts and sign.  - KP 23+100 – additional herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover).","August 8, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle from KP 17+980 to 18+490. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 2, 2017 - No noxious weeds identified. Issue resolved.","June 22, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, rushes, common yarrow, milk vetch, wild rose, large-leaf aven and clover. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 2m in height. - KP 18+300 to 18+400 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - Marker post was knocked over at KP 18+450. Re-installed marker post; issues resolved.   - No erosion, subsidence or soil stability issues were noted within tract. July 19, 2018 - KP 18+300 to 18+400 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority wetland (High, 80 – 100 % vegetation cover compared to off right-of-way). Emerging mosses were observed, indicating progressive succession of vegetation establishment.   - cross drainage present is functional.","August 8, 2017 - Tree Swamp on ROW from KP 17+750 to 17+950 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, poplar, alder and shrubs. Submergent vegetation establishing within standing water areas. Good establishment of hydrophytic vegetation throughout wetland. - No noxious weeds identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland. - Wetland exhibiting fully saturated conditions; intermittent areas of surface water emergence throughout. - Wetland providing good habitat opportunity through good vegetation cover and standing water throughout. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species through natural succession; leave for natural recovery. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 17+750 to KP 17+950 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids (rushes & grasses), horsetails, alder, willows, asters, yellow rattle, and raspberry. Good establishment of hydrophytic vegetation throughout including common cattail, marsh grass paranassus and arum-leaved arrowhead.  - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High organics and humification present throughout the majority of the wetland; conditions are comparable with off ROW. - Substrate within wetland exhibiting semi-conditions with the water table residing slightly below the ground surface. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird and amphibian species were observed in wetland. Evidence of mammal use through wetland was also observed. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
D-001-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW.  2014 issue with patches of low vegetation resolved. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line.","August 8, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle from KP 17+980 to 18+490. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 2, 2017 - No noxious weeds identified. Issue resolved.","June 22, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, rushes, common yarrow, milk vetch, wild rose, large-leaf aven and clover. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 2m in height. - KP 18+300 to 18+400 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - Marker post was knocked over at KP 18+450. Re-installed marker post; issues resolved.   - No erosion, subsidence or soil stability issues were noted within tract. July 19, 2018 - KP 18+300 to 18+400 – Intermittent herbicide application conducted to control perennial sow thistle",,,
D-001-I/094-I-11 to C-010-L/094-I-10,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High, 80 – 100 % vegetation cover compared to off right-of-way).  Wetland function continues to indicate progressive succession of vegetation establishment. - Volunteer spruce, black spruce and tamarack observed to be emerging throughout the work side of the right of way. - cross drainage present is functional.","August 8, 2017 - Treed Bog on ROW from KP 18+400 to 18+570 appears to be at full, proper functionality. Wetland on ROW is inclusive of transition zone from upslope deciduous zone to the north to low-lying peat land to the south. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder, Labrador tea, buck brush, sphagnum moss, black spruce and tamarack. Deciduous species density increases to the north. Good establishment of hydrophytic vegetation throughout wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. Good peat accumulation in areas. - Wetland exhibiting semi-saturated conditions; no standing water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Treed bog on ROW from KP 18+400 to KP 18+570 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids, alder, horsetails, broadleaf shrubs, sphagnum mosses, Labrador tea and black spruce. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. Peat accumulating throughout wetland. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours. Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
C-010-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW.  2014 issue with patches of low vegetation resolved. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line. September 23, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line.","August 8, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 2, 2017 - No noxious weeds identified. Issue resolved.","June 22, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A large portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, rushes, common yarrow, milk vetch, wild rose, large-leaf aven and clover. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 2m in height. - KP 18+500 to 18+630 and 18+900 to 19+000 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately.   - No erosion, subsidence or soil stability issues were noted within tract. July 19, 2018 - KP 18+500 to 18+630 and 18+900 to 19+000 – Intermittent herbicide application conducted to control perennial sow thistle. September 21, 2018 – No noxious weeds observed, issue resolved.",,,
C-010-L/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High, 80 – 100 % vegetation cover compared to off right-of-way). Wetland function continues to indicate progressive succession of vegetation establishment. - Volunteer spruce, black spruce and tamarack observed to be emerging throughout the work side of the right of way. - cross drainage present is functional.","August 8, 2017 - Tree Swamp on ROW from KP 18+570 to 18+840 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and alder. Submergent vegetation establishing within standing water areas. Good establishment of hydrophytic vegetation throughout wetland. - No noxious weeds identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 18+570 to KP 18+840 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, willow, horsetails, common cattail and broadleaf shrubs. - Trench crown present through wetland but has slightly settled as a result of hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform",,,
C-010-L/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High, 80 – 100 % vegetation cover compared to off right-of-way). Wetland function continues to indicate progressive succession of vegetation establishment. - Volunteer spruce, black spruce and tamarack observed to be emerging throughout the work side of the right of way. - cross drainage present is functional.","August 8, 2017 - Tree Swamp on ROW from KP 18+570 to 18+840 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and alder. Submergent vegetation establishing within standing water areas. Good establishment of hydrophytic vegetation throughout wetland. - No noxious weeds identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland. - Wetland exhibiting fully saturated conditions; standing water present throughout the majority of wetland. - Wetland providing good habitat opportunity through good vegetation cover and standing water throughout. - Wetland has achieved pre-construction contours. Off ROW vegetation has successfully emerged onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 18+570 to KP 18+840 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, willow, horsetails, common cattail and broadleaf shrubs. - Trench crown present through wetland but has slightly settled as a result of hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
,Poor Vegetation Establishment/ Ditch Plug (18+757),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,"August 8, 2017 - Ditch plug area on ROW at KP 18+757 is vegetating well achieving 80-100% cover with grasses and sedges. Issue resolved.","June 22, 2018 - Ditch plug at KP 18+757 continues to establish vegetation and function properly; no issues.",,,
D-010-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line. September 23, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line.","August 8, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains and stub berms are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 2, 2017 - No noxious weeds identified. Issue resolved.","June 22, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A large portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, rushes, common yarrow, milk vetch, wild rose, large-leaf aven and clover. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 2m in height. - KP 18+500 to 18+630 and 18+900 to 19+000 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately.   - No erosion, subsidence or soil stability issues were noted within tract. July 19, 2018 - KP 18+500 to 18+630 and 18+900 to 19+000 – Intermittent herbicide application conducted to control perennial sow thistle. September 21, 2018 – No noxious weeds observed, issue resolved.",,,
D-010-L/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this wetland (High, 80 – 100 % vegetation cover compared to off right-of-way). Emerging mosses were observed within this area; vegetation establishment indicates progressive succession of wetland function.   - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea. - cross drainage present is functional","August 8, 2017 - Tree Swamp on ROW from KP 19+000 to 19+140 appears to be at full, proper functionality - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and alder. Submergent vegetation establishing within standing water areas. Good establishment of hydrophytic vegetation throughout wetland. - No noxious weeds identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland. - Wetland exhibiting fully saturated conditions; standing water present throughout the majority of wetland. - Wetland providing good habitat opportunity through good vegetation cover and standing water throughout. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 19+000 to KP 19+140 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, willow, horsetails, common cattail and broadleaf shrubs. - Trench crown present through wetland but has slightly settled as a result of hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
