Legal Location (W4M),Land Use,Condition/ Issues Noted (Rating),"Kilometre Post1,2",Notes,Recommendation(s),Status,VEC,GIS,Topic
SW 25-083-18,Forested,Watercourse - Loon Creek (WC3) / Subsidence / Slumping (High),25+405 to 25+620,"• Slope failure above the watercourse on the south bank, north bank intact • Limited plant growth is observed on both banks of the watercourse • Silt fencing in one location is buried or blown out  • Two main fails, one at the crest (up to 2 m deep with most material sliding ~20 m down slope) and one at the toe near the creek (~1 m deep) • No sediment was observed to be reaching the water, what could be seen was above high water mark • Repairs to sediment fence and installation of diversion berms completed October 22 to 25, 2018, to reduce risk for further slope movement.",Monitor in 2019,Unresolved,,,
NW 25-083-18,Forested,Plant Growth (Moderate),25+620 to 25+800,• Limited plant growth throughout the quarter section especially on the ditch line  • Native vegetation is establishing well • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 25-083-18 continued,Wetland,Wetland 18-1 / Plant Growth (Moderate),25+800 to 26+340,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 25-083-18 continued,Forested,Access Control (N/A),26+340,• Rollback is effective at controlling access,None,No issue,,,
NW 25-083-18 continued,Forested,Plant Growth (Moderate),26+340 to 26+540,•  Limited plant growth throughout the quarter section mainly on the ditch line  • Native vegetation is establishing well • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 36-083-18,Forested,Access Control (N/A),26+750,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SW 36-083-18,Forested,Plant Growth (Moderate),26+540 to 26+760,• Intermittent limited plant growth on the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 36-083-18,Forested,Surface Drainage (Moderate),26+750 to 27+500,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
SW 36-083-18,Wetland,Wetland 19-1 / Plant Growth (Moderate),26+760 to 27+420,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 36-083-18,Wetland,Wetland 18-2 / Plant Growth (Moderate),27+420 to 27+530,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 36-083-18,Wetland,Surface Drainage (Moderate),27+530 to 27+795,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
NW 36-083-18 continued,Wetland,Wetland 18-2 (Low),27+530 to 27+795,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 35-083-18,Wetland,Access Control (N/A),28+350,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NE 35-083-18,Wetland,Wetland 18-2 / Plant Growth (Moderate),27+795 to 27+910,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 35-083-18,Wetland,Wetland 20-1 / Plant Growth (Moderate),27+900 to 28+010,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 35-083-18,Wetland,Wetland 18-3 (Low),28+010 to 28+430,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 35-083-18,Wetland,Wetland 21-1 (Low),28+430 to 28+560,• Graminoid fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 02-084-18,Wetland,Wetland 21-1 (Low),28+560 to 28+630,• Graminoid fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations • The wetland observed was flooded by a beaver dam,Monitor in 2019,Unresolved,,,
SE 02-084-18,Wetland,Wetland 22-1 / Plant Growth (Moderate),28+600 to 28+770,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 02-084-18,Wetland,Noxious Weeds (High),28+800,"• Perennial sow thistle (Sonchus arvensis) present on the ROW only • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
SE 02-084-18,Forested,Plant Growth (Moderate),28+770 to 29+165,• Limited plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
,,Grade Inconsistency (High),29+000,• Grade inconsistency approximately 75 cm deep present at the mud mix pit area,Monitor in 2019,Unresolved,,,
SW 02-084-18,Forested,Access Control (N/A),29+300,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SW 02-084-18,Forested,Plant Growth (Moderate),29+165 to 29+540,• Limited plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
NW 02-084-18,Forested,Noxious Weeds (High),29+800 to 29+900,"• Creeping thistle (Cirsium arvense) and scentless chamomile (Tripleurospermum inodorum) were observed on the HDD pad only • Selective weed control completed on September 26, 2018; no creeping thistle observed",Monitor in 2019 and control as required,Unresolved,,,
NW 02-084-18,Forested,Plant Growth (High),29+540 to 30+580,• Limited desirable plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019.,Unresolved,,,
NE 03-084-18,Forested,Plant Growth (Low),30+580 to 30+650,• Vegetation is establishing well in this quarter section,None,No issue,,,
NE 03-084-18,Forested,Watercourse - Unnamed Tributary to Loon Creek (WC4) (Low),30+520,• Watercourse is undisturbed • Pipeline was directionally drilled and had no impact on vegetation or terrain,Monitor in 2019,Unresolved,,,
SE 10-084-18,Forested,Plant Growth (Moderate),30+650 to 30+930,• Limited plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
SE 10-084-18,Wetland,Wetland 23-1 (Low),30+930 to 31+590,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 10-084-18,Wetland,Access Control (N/A),31+550,• Mounding is effectively limiting access,None,No issue,,,
NE 10-084-18,Wetland,Wetland 23-1 / Plant Growth (Moderate),31+590 to 32+210,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 10-084-18,Wetland,Access Control (N/A),32+000,• Mounding is effectively limiting access,None,No issue,,,
,,Wetland 24-1 (Low),32+200 to 32+220,• Wooded Swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing,Monitor in 2019,Unresolved,,,
NW 10-084-18,Wetland,Wetland 24-1 (Low),32+220 to 32+450,• Wooded observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing,Monitor in 2019,Unresolved,,,
NW 10-084-18,Wetland,Wetland 23-2 (Low),32+420 to 32+500,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing,Monitor in 2019,Unresolved,,,
SW 15-084-18,Wetland,Wetland 23-2 (Low),32+500 to 33+370,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 15-084-18,Wetland,Wetland 23-2 (Low),33+370 to 34+185,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 22-084-18,Wetland,Wetland 23-2 (Low),34+185 to 34+630,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 22-084-18,Wetland,Wetland 25-1 (Low),34+620 to 34+800,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 22-084-18,Wetland,Wetland 23-3 (Low),34+790 to 35+000,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 22-084-18,Wetland,Wetland 23-3 (Low),35+000 to 35+815,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 27-084-18,Wetland,Wetland 23-3 (Low),35+815 to 36+350,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 28-084-18,Wetland,Wetland 23-3 (Low),36+350 to 36+665,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 28-084-18,Wetland,Wetland 23-3 (Low),36+665 to 37+500,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 33-084-18,Wetland,Wetland 23-3 (Low),37+500 to  38+330,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 33-084-18,Wetland,Access Control (N/A),39+000 and 39+350,• Mounding is effectively limiting access,None,No issue,,,
NE 33-084-18,Wetland,Wetland 23-3 / Plant Growth (Moderate),38+330 to 39+185,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 04-085-18,Wetland,Plant Growth (Low),39+185 to 39+500,• Intermittent limited plant growth on the ROW throughout the quarter section • Native vegetation is establishing • Plant growth consistent with Year 1 vegetation expectations,None,No issue,,,
SE 04-085-18,Wetland,Wetland 23-3 / Plant Growth (Moderate),39+185 to 39+500,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 04-085-18,Wetland,Wetland 23-3 / Plant Growth (Moderate),39+500 to 39+570,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
,,Wetland 26-1 (Low),39+500 to 40+000,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 04-085-18,Wetland,Wetland 26-1 (Low),40+000 to 40+840,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 09-085-18,Wetland,Wetland 26-1 (Low),40+840 to 40+920,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 09-085-18,Wetland,Wetland 27-1 (Low),40+910 to 41+660,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 09-085-18,Wetland,Access Control (N/A),41+200,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SW 09-085-18,Wetland,Plant Growth (Moderate),41+250,• Limited plant growth present within the temporary work space  • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 09-085-18,Wetland,Access Control (N/A),42+000 and 42+350,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NW 09-085-18,Wetland,Wetland 27-1 / Plant Growth (Moderate),41+660 to 41+930,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 09-085-18,Wetland,Wetland 27-2 / Plant Growth (Moderate),41+930 to 42+450,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 08-085-18,Wetland,Wetland 27-2 / Plant Growth (Moderate),42+450 to 42+650,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 17-085-18,Wetland,Wetland 27-2 / Plant Growth (Moderate),42+650 to 43+330,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 17-085-18,Forested,Plant Growth (Moderate),42+330 to 43+570,• Intermittent limited plant growth on the ROW in upland areas throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 17-085-18,Wetland,Wetland 28-1 (Low),43+570 to 43+590,• Graminoid fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 17-085-18,Wetland,Wetland 28-2 (Low),43+590 to 43+620,• Graminoid fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 17-085-18,Wetland,Wetland 29-1 (Low),43+620 to 43+660,• Shallow open water observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 17-085-18,Wetland,Wetland 28-2 (Low),43+620 to 43+750,• Graminoid fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 17-085-18,Wetland,Wetland 30-1/ Plant Growth (Moderate),43+750 to 44+550,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 17-085-18,Forested,Plant Growth (Low),44+550 to 44+620,• Limited plant growth on the ditch line of ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,None,No issue,,,
,Wetland,Wetland 30-2 / Plant Growth (Moderate),44+620 to 44+840,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 19-085-18,Wetland,Wetland 30-2 / Plant Growth (Moderate),44+860 to 45+920,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 19-085-18,Wetland,Access Control (N/A),45+450,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NE 19-085-18,Wetland,Wetland 30-2 / Plant Growth (Moderate),45+920 to 46+730,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 19-085-18,Wetland,Access Control (N/A),46+550,• Mounding is effectively limiting access,None,No issue,,,
SE 30-085-18,Wetland,Wetland 30-2 (Low),46+730 to 47+100,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 30-085-18,Wetland,Surface Drainage (High),46+850,• Ponding present due to improper cross drain location,Monitor in 2019,Unresolved,,,
SE 30-085-18,Wetland,Noxious Weeds (High),46+850,"• Scentless chamomile (Tripleurospermum inodorum) present on the ROW only • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
SE 30-085-18,Forested,Plant Growth (Moderate),47+100 to 47+440,• Limited desirable plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
SE 30-085-18,Forested,Noxious Weeds (High),47+170,"• Scentless chamomile (Tripleurospermum inodorum) was observed on both banks of Unnamed tributary to the Athabasca River (WC5) on the ROW only • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
,,Watercourse - Unnamed Tributary to the Athabasca River (WC5) (Low),47+170,• Good first-year vegetation establishment present for this watercourse crossing  • Revetment posts are in good condition  • No evidence of terrain instability observed • Sediment fencing was in moderate condition with some falling down; sediment fencing will need to remain until plant growth is fully established,Monitor in 2019,Unresolved,,,
,Wetland,Wetland 31-1 (Low),47+440 to 47+470,• Wooded Fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
,Forested,Plant Growth (Moderate),47+470 to 47+680,• Limited desirable plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
,Forested,Access Control (N/A),47+600,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NE 30-085-18,Wetland,Wetland 31-2 / Plant Growth (Moderate),47+680 to 48+705,• Wooded Fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Trace wetland species are establishing • Limited plant growth; Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 30-085-18,Wetland,Access Control (N/A),47+750,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NW 29-085-18,Wetland,Wetland 31-2 / Plant Growth (Moderate),48+705 to 48+710,• Wooded Fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Trace wetland species are establishing • Limited plant growth; Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 32-085-18,Forested,Access Control (N/A),49+000,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SW 32-085-18,Forested,Plant Growth (Moderate),48+710 to 49+850,• Intermittent limited plant growth on the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 32-085-18,Wetland,Wetland 31-2 / Plant Growth (Moderate),49+710 and 49+700,• Wooded Fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
,,Wetland 32-1 / Plant Growth (Moderate),49+630 and 49+790,• Wooded Swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 32-085-18,Wetland,Wetland 31-3 / Plant Growth (Moderate),49+790 and 49+850,• Wooded Fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 32-085-18,Forested,Plant Growth (Moderate),49+850 to 49+890,• Limited desirable plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
NW 32-085-18,Forested,Noxious Weeds (High),49+850,"• Scentless chamomile (Tripleurospermum inodorum) present on both banks of Unnamed tributary to the Livock River (WC6), on the ROW only • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
NW 32-085-18,Wetland,Watercourse- Unnamed Tributary to the Livock River (WC6) (Low),49+850,• Good first-year vegetation establishment present for this watercourse crossing  • Revetment posts are in good condition and stable  • No evidence of terrain instability observed,Monitor in 2019,Unresolved,,,
NW 32-085-18,Wetland,Wetland 33-1 / Plant Growth (Moderate),49+890 to 49+950,• Shallow open water observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 31-085-18,Wetland,Wetland 31-3 / Plant Growth (Moderate),49+950 to 50+210,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 31-085-18,Wetland,Access Control (N/A),50+000,• Rollback is effective at controlling access,None,No issue,,,
NE 31-085-18,Wetland,Noxious Weeds (High),49+710 and 50+000,"• Scentless chamomile (Tripleurospermum inodorum) present on the ROW only • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
SE 06-086-18,Forested,Plant Growth (Low),50+550 to 51+425,• Intermittent limited plant growth present along the ROW in the quarter section on ditch line • Native vegetation is establishing well,None,No issue,,,
SE 06-086-18,Forested,Access Control (N/A),51+200,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NE 06-086-18,Forested,Plant Growth (Moderate),51+425 to 52+250,• Limited plant growth in upland areas • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
NE 06-086-18,Forested,Noxious Weeds (High),51+540,"• Scentless chamomile (Tripleurospermum inodorum) present throughout the quarter section, and along the banks to Unnamed tributary to the Livock River (WC7) • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
NE 06-086-18,Forested,Access Control (N/A),51+950,"• Rollback is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NE 06-086-18,Forested,Watercourse- Unnamed Tributary to the Livock River (WC7) (Moderate),51+540,"• Unnamed tributary to the Livock River (WC7) had moderate plant growth mid-slope, but intermittent limited plant growth on the upper slopes • Revetment posts are in good condition and stable • No evidence of terrain instability was observed • Sediment fencing is present on the slopes and will need to remain until plant growth is better established",Monitor in 2019,Unresolved,,,
NE 06-086-18,Wetland,Wetland 34-1 (Low),51+450 to 51+460,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 06-086-18,Wetland,Wetland 34-2 (Low),51+470 to 51+570,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing,Monitor in 2019,Unresolved,,,
NE 06-086-18,Wetland,Wetland 34-3 (Low),51+800 to 52+250,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 07-086-18,Wetland,Wetland 34-3 / Plant Growth (Moderate),52+250 to 52+470,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
,Forested,Plant Growth (Moderate),52+470 to 52+640,• Intermittent limited plant growth on the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 07-086-18,Wetland,Wetland 34-4 / Plant Growth (Moderate),52+640 to 52+980,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 07-086-18,Wetland,Erosion (Moderate),52+250 to 53+055,"• Erosion throughout the quarter section due to rutting on work side; however, has no impact on land use or risk to the environment",None,No issue,,,
SE 07-086-18,Forested/Wetland,Noxious Weeds (High),52+250 to 53+055,"• Scentless chamomile (Tripleurospermum inodorum) and Perennial sow thistle (Sonchus arvensis) present throughout the quarter section on the ROW only • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
SE 07-086-18,Forested,Plant Growth (Moderate),52+980 to 53+055,• Intermittent limited plant growth on the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 07-086-18,Forested,Plant Growth (Low),53+055 to 53+300,• Intermittent limited plant growth on the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,None,No issue,,,
NE 07-086-18,Forested / Wetland,Noxious Weeds (High),53+055 to 53+500,"• Scentless chamomile (Tripleurospermum inodorum) present on the ROW only throughout the quarter section • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
NE 07-086-18,Wetland,Wetland 34-5 / Plant Growth (Moderate),53+300 to 53+500,"• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Intermittent, limited plant growth present on the work side of the ROW throughout the quarter section; plant growth consistent with Year 1 vegetation expectations",Monitor in 2019,Unresolved,,,
