Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
SE 15-50-22,0108.1,34.015,34.841,Treed pasture/hay,34.015 to 34.841,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.   Control weeds,and monitor vegetation establishment in 2017.,Density and distribution of weed species were equal on and off the ROW.,Repair Work: Weeds were sprayed in June 2017.,R,None.,--,--,--,--,,,
NE 10-50-22,0108.2,34.841,35.411,Treed pasture/hay,34.841 to 35.411,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Density and distribution of weed species were equal on and off the ROW.,Repair Work: The ROW was repaired and reseeded in June 2017.,R,None.,--,--,--,--,,,
NE 10-50-22,0108.2,34.841,35.411,Treed pasture/hay,34.930 to 34.960,358470 E 5908615 N to 358469 E 5908585 N,Landscape - subsidence,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Repair,subsidence and monitor in 2017.,Subsidence was repaired.,Repair Work: The ROW was repaired and reseeded in June 2017.,R,None.,--,--,--,--,,,
NE 10-50-22,0108.2,34.841,35.411,Treed pasture/hay,35.130,358464 E 5908415 N,Landscape - subsidence,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Repair,subsidence and monitor in 2017.,Subsidence was not observed at KP 35.130 at the time of assessment.  Subsidence was repaired.,Repair Work: The ROW was repaired and reseeded in  June 2017.,R,None.,--,--,--,--,,,
NE 10-50-22,0108.2,34.841,35.411,Treed pasture/hay,34.860 to 35.050; 35.146,--,Vegetation – weeds and establishment,--,--,--,--,"The ROW was cleared due to recent disturbance/repair work, causing an area of bare soil.","June 12, 2017: landowner would like to monitor vegetation establishment following repairs. Repair Work: The ROW was repaired and reseeded in June 2017.",U,Monitor vegetation establishment in 2018.,--,Poor vegetation establishment was observed at KP 34.840 to KP 35.050 Higher densities of Canada thistle were observed to be outcompeting vegetation. A large patch of Canada thistle was observed at KP 35.146,U,Control weeds and monitor in 2019.,,,
NW 11-50-22,0111,35.411,35.900,Hay,35.411 to 35.900,--,Vegetation - establishment,Area was recently seeded. Unable to determine vegetation establishment success. No soil issues observed. Two low areas were observed along the ROW that were holding water but appeared to fit the natural contour.,U,"November 2, 2016: land agent spoke with the occupant via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner.",Monitor vegetation establishment in 2017.,The ROW has not been seeded at the time of assessment. Repair work was recently conducted on the ROW.,--,U,Seed and monitor vegetation establishment in 2018.,"Repair Work:  July 19, 2018 - Completed over seeding the tract with 100% coated westar alfalfa to incorporate into the established grasses.","Vegetation is establishing well, however less dense than off ROW.  Recently sprayed for broadleaf weeds which has impaired alfalfa.",U,Monitor for increased vegetation establishment in 2019.,,,
NW 11-50-22,0111,35.411,35.900,Hay,35.411 to 35.900,--,Vegetation - weeds,--,--,--,--,--,--,--,--,"Landowner reported bare soil, poor vegetation establishment and weed issues (white cockle and Canada thistle) in 2017.  Repair Work: July 19, 2018 - White cockle, Canada thistle, and hawkweed were sprayed.","Higher densities of white cockle, common tansy, Canada thistle and narrow-leaved hawk’s beard were observed on the ROW. Weeds were recently sprayed.",U,Monitor in 2019 to ensure weeds were successfully controlled.,,,
SW 11-50-22,0111.1,35.900,36.375,Tame pasture,35.900 to 36.375,--,Soil - compaction,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Reseed the area,and monitor vegetation establishment in 2017.,The ROW was cleared due to repair work.  No soil issues were observed.,--,R,None.,--,--,--,--,,,
SW 11-50-22,0111.1,35.900,36.375,Tame pasture,35.900 to 36.375,--,Vegetation - weeds,"Weed issue observed on the ROW causing reduced vegetation establishment of pasture species. Shepherd’s purse, lamb’s-quarters, white cockle and common knotweed were observed at higher densities on ROW compared to off.",U,"December 13, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner. Repair Work: 2016 – the area has been worked and will be reseeded.",Monitor vegetation establishment in 2017.,The ROW was cleared due to repair work. Density and distribution of weed species could not be assessed.,"Enbridge will fence out cattle, harrow, and reseed.  Repair Work: Scentless chamomile, white cockle and Canada thistle were sprayed in June 2017. The ROW was seeded and fenced in September 2017.",U,Monitor in 2018.,"Repair Work: Broadleaf weeds were sprayed, and scentless chamomile was handpicked in June 2018.","Lamb’s quarters, Canada thistle and stinkweed, white cockle and scentless chamomile were also observed at higher densities on ROW. Weeds appeared to be outcompeting recently seeded vegetation, however weeds were sprayed.",U,Monitor in 2019 to ensure weeds were successfully controlled.,,,
SW 11-50-22 (cont’d),See above,See above,See above,See above,35.900 to 36.375,--,Vegetation - establishment,--,--,--,--,The ROW was cleared due to repair work.,"Enbridge will fence out cattle, harrow, and reseed.  Repair Work: The ROW was seeded and fenced in  September 2017.",U,Seed and monitor vegetation establishment in 2018.,"Repair Work: July 17, 2018 – Rye and brome establishment improved. ROW was seeded (40% MBA meadow brome, 20% chief intermediate wheatgrass, 15% Richmond Timothy and 15% amba orchard grass and 10% coated westar alfalfa).",Weeds appeared to be outcompeting recently seeded vegetation.,U,Monitor for increased vegetation establishment in 2019.,,,
SE 11-50-22 / NE 2-50-22,0113,36.375,37.066,Hay,36.375 to 37.066,--,Vegetation - establishment,Area was recently reseeded and very little vegetation was present. Unable to determine vegetation establishment success. No soil issues.,U,"September 2, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner.",Monitor in 2017.,Hay was outcompeted by high density and distribution of weeds on the ROW.,--,U,"Control weeds, reseed, and monitor in 2018.",--,Vegetation parameters were equal on and off ROW. Vegetation has established very well.,R,None.,,,
SE 11-50-22 / NE 2-50-22,0113,36.375,37.066,Hay,36.375 to 37.066,--,Vegetation - weeds,--,--,--,--,"Weed issue observed on the ROW causing reduced vegetation establishment of pasture species. Scentless chamomile, white cockle, perennial sow thistle, narrow-leaved hawk’s beard, common plantain, and rough cinquefoil were observed at higher densities on the ROW compared to off the ROW.",--,U,"Control weeds, reseed, and monitor in 2018.",,"White cockle was observed on and off ROW. However, higher densities were reported on ROW.",U,Monitor in 2019. to ensure vegetation has outcompeted weeds.  Spraying is not recommended at this time.,,,
SE 11-50-22 / NE 2-50-22,0114,37.066,37.620,Hay,37.066 to 37.620,--,Vegetation - establishment,Area was recently reseeded and very little vegetation was present. Unable to determine vegetation establishment success. No soil issues.,U,"September 2, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner.",Monitor in 2017.,Hay was outcompeted by high density and distribution of weeds on the ROW.,Enbridge to reseed the ROW following 2016 repair work.,U,"Control weeds, reseed, and monitor in 2018.",--,Vegetation parameters were equal on and off ROW. Vegetation has established very well.,R,None.,,,
SE 11-50-22/  NE 2-50-22 (cont’d),See above,See above,See above,See above,37.066 to 37.620,--,Vegetation - weeds,--,--,--,--,"Weed issue observed on the ROW causing reduced vegetation establishment of pasture species. Scentless chamomile, white cockle, perennial sow thistle, Canada thistle, wild mustard, common chickweed, narrow-leaved hawk’s beard, lamb’s quarters, common plantain, wild buckwheat, spear leaved goosefoot, and hemp nettle and were observed at higher densities on the ROW compared to off the ROW.",Enbridge to reseed the ROW following 2016 repair work.,U,"Control weeds, reseed, and monitor in 2018.",--,"White cockle, scentless chamomile, Canada thistle, and narrow-leaved hawk’s beard were observed at higher densities on the ROW.",U,Spot spray weeds and monitor in 2019. Broadcast spray is not recommended due to presence of alfalfa.,,,
SE 11-50-22/  NE 2-50-22 (cont’d),See above,37.620,37.966,Hay,37.966,359851 E 5906263 N,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,Enbridge to reseed ROW following 2016 repair work.,R,None.,--,--,--,--,,,
SE 11-50-22/  NE 2-50-22 (cont’d),See above,37.620,37.966,Hay,37.780 to 37.800;  37.930,--,Landscape - subsidence,--,--,--,--,An area of subsidence was observed (20 m long x 1 m wide x 30 cm deep) on the ROW at KP 37.78 to 37.80,--,U,"Repair subsidence, reseed, and monitor in 2018.",--,Minor subsidence issue was observed at KP 37.93 along fence line.  Subsidence was not observed at KP 37.780 to KP 37.800,U,Monitor in 2019 to ensure issue does not get worse.,,,
SE 2-50-22,0115,37.966,38.326,Hay,37.966 to 38.160,--,Vegetation - weeds,"Area was recently mowed. Weed issue was observed in mowed area. White cockle, lamb’s-quarters and wild buckwheat were observed at higher densities on ROW than off.",U,"June 23, 2016: land agent spoke to landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner.",Control weeds and monitor vegetation establishment in 2017.,"The ROW was cleared at the time of assessment, due to repair work. Density and distribution of weed species could not be assessed.","July 12, 2017: landowner wants to monitor hay growth.  Repair Work: The ROW was seeded in June 2017.",U,Seed and monitor in 2018.,"Repair Work: June 16, 2018 - White Cockle, Canada thistle and scentless chamomile were sprayed.  Flowering scentless chamomile was handpicked.","White cockle, lamb’s quarters and stinkweed were observed at higher densities on the ROW. Scentless chamomile was observed and picked at the time of assessment. Excellent vegetation establishment was observed.",U,Monitor in 2019 to ensure that vegetation has outcompeted weeds.,,,
SW 1-50-22,0116,38.326,39.024,Cultivated,38.326 to 38.670,360084 E 5905948 N to 360302 E 5905689 N,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.   Monitor crop,growth in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 1-50-22,0116,38.326,39.024,Cultivated,38.72 to 38.81; 38.83 to 38.86; 38.89 to 38.91,--,Landscape – subsidence,--,--,--,--,--,--,--,--,Landowner reported subsidence along the ROW in 2017. Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Subsidence (approximately 10 -20 cm deep) was observed in areas along the ROW between KP 38.724 to KP 38.912.,U,Monitor in 2019. Repair subsidence when feasible.,,,
NW 36-49-22,0117,39.024,39.620,Cultivated,--,--,Landscape – subsidence,--,--,--,--,--,"July 10, 2017: landowner reported subsidence along the ROW.  November 11, 2017: Enbridge to conduct repair work in 2018.",U,"Repair subsidence, if warranted, and monitor in 2018.",--,Subsidence was repaired.,R,None.,,,
NW 36-49-22,0117,39.024,39.620,Cultivated,--,--,Landscape – subsidence,--,--,--,--,--,"July 10, 2017: Landowner reported subsidence along the ROW.  November 11, 2017: Enbridge to conduct repair work in 2018.",U,"Repair subsidence, if warranted, and monitor in 2018.",--,Subsidence was repaired.,R,None.,,,
NW 36-49-22,0117,39.024,39.620,Cultivated,39.02 to 39.620,--,Vegetation - Establishment,--,--,--,--,--,--,--,--,--,"Reduced crop growth was observed on the ROW, likely due to recent repair work. No soil issues were observed.",U,Monitor in 2019.,,,
NE 36-49-22,118,--,--,--,--,--,Landscape – subsidence,--,--,--,--,--,--,--,--,Subsidence issue was reported by Enbridge. There is a plan to repair in 2018.,Subsidence was not observed on ROW. Crop is at the same growth stage.,R,None.,,,
SE 36-49-22,0119,40.055,40.964,Cultivated,40.130,361188 E 5904531 N,Landscape – contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth and drainage in 2017.,Contouring issue was repaired.,Repair Work: Repair work conducted in June/July 2017.,R,None.,--,--,--,--,,,
SE 36-49-22 (cont’d),See above,See above,See above,See above,40.055 to 40.964,361206 E 5904508 N to 361218 E 5904492 N,Vegetation – crop growth,Reduced crop height and density were observed on the ROW. Farming practices and an additional growing season may be required to allow for vegetation recovery.,U,"November 9, 2016: land agent met with landowner and provided compensation for crop loss (7-year damage form). Landowner indicated they had no additional issues or concerns with ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor crop growth in 2017.,"The ROW was cleared at the time of assessment, due to repair work. Density and distribution of weed species could not be assessed.",--,U,Seed and monitor in 2018.,--,Reduced crop growth and patches of bare soil were observed on the ROW.  Reduced crop growth is likely due to recent disturbance and repair work.  No soil issues were observed.,U,Monitor in 2019.,,,
SE 36-49-22 (cont’d),See above,See above,See above,See above,"40.555, 40.840","361448 E 5904204 N, 361626 E 5903983 N",Landscape – contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth and drainage in 2017.,Contouring issue was repaired.,Repair Work: Repair work conducted in June/July 2017.,R,None.,--,--,--,--,,,
SW 31-49-21,0120,40.964,41.180,Cultivated,40.964 to 41.010,361648 E 5903885 N to 361698 E 5903884 N,Soil – topsoil depth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,"growth after additional growing season in 2017. If issues are observed in 2017, source additional topsoil at that time.",Soil parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 31-49-21,0120,40.964,41.180,Cultivated,40.964 to 41.010,--,Vegetation – establishment,--,--,--,--,The ROW does not appear to be seeded. Canola crop appears to be from the previous growing season.,--,U,Seed and assess crop growth in 2018.,--,Crop parameters were equal on and off the ROW.,R,None.,,,
SW 31-49-21,0120,40.964,41.180,Cultivated,40.964 to 41.170; 41.090 to 41.170,--,Landscape – subsidence,--,--,--,--,--,--,--,--,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Subsidence issue approximately 10-20 cm deep x 1-2 m wide causing bare soil and reduced crop growth was observed at KP 41.090 to KP 41.170.  Minor subsidence was observed at KP 40.970 to KP 41.170.,U,Monitor in 2019. Repair subsidence when feasible.,,,
SW 31-49-21,0120,41.180,41.408,Hay,41.180 to 41.408,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 30-49-21,0121 0121.1,41.408,41.905,Cultivated,41.650 to 41.780,362256 E 5903618 N to 362363 E 5903544 N,Landscape - subsidence,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Repair,subsidence and monitor in 2017.,Subsidence was not observed at the time of assessment. The area of concern is situated in a natural wetland.,--,R,None.,--,--,--,--,,,
NW 30-49-21,0121 0121.1,41.408,41.905,Cultivated,41.830,362404 E 5903515 N,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,"Weeds were sprayed, and the land owner was compensated.",--,R,None.,--,--,--,--,,,
NW 29-49-21,0122.1,42.854,42.949,Cultivated,42.949,363329 E 5902919 N,Landscape – contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Area is low-laying and appeared to fit the natural contour. Ponded water was not observed.,--,R,None.,--,--,--,--,,,
SW 29-49-21/,0124,42.949,43.770,Tame pasture,42.949 to 43.770,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Density and distribution of weed species were equal on and off the ROW.,Repair Work: Weeds were whacked in ditch in August 2017.,R,None.,--,--,--,--,,,
SW 29-49-21/,0124,43.770,43.879,Cultivated,43.879,364064 E 5902357 N,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,A patch of white cockle was situated in a ditch/fence line and is not encroaching into field. Weeds were sprayed.,Repair Work: Weeds were whacked in ditch in August 2017.,R,None.,--,--,--,--,,,
SE 29-49-21,0125 0126,43.879,43.940,Cultivated/TP,43.879 to 43.940,--,Vegetation - establishment,Area was mowed at the time of assessment. Unable to determine vegetation establishment success. No soil issues.,U,"August 12, 2016: land agent met with the landowner. Landowner indicated satisfaction with growth on ROW.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017.,The ROW was cleared due to recent disturbance/repair work. Unable to determine vegetation establishment success.,--,U,Seed and monitor vegetation establishment in 2018.,--,The ROW was cleared due to recent disturbance/repair work within cultivated portion of ROW. Unable to determine vegetation establishment success. No issues observed in tame pasture portion of ROW.,U,Seed and monitor vegetation establishment in 2018.,,,
SE 29-49-21,0125 0126,43.879,43.940,Tame Pasture,43.879 to 43.940,--,Vegetation – weed issue observed by Enbridge,Area was mowed at the time of 2016 PCM assessment. Unable to determine weed density and distribution.,U,"June 29, 2016: land agent met with the landowner and occupant to provide compensation for undertaking weed control during 2016 growing season.  May 5, 2016: land agent met with the landowner and was informed that the landowner mowed weeds.  June 13, 2016: land agent spoke with the land occupant via telephone and was informed that weeds were mowed.",Assess weeds in 2017.,The ROW was cleared due to recent disturbance/repair work. Unable to determine density and distribution of weed species.,--,U,Seed and monitor vegetation establishment in 2018.,--,No issues observed in tame pasture portion of ROW.,R,None.,,,
SE 29-49-21 (cont’d),See above,See above,See above,See above,See above,See above,See above,See above,U,"Landowner let cattle on ROW week of August 12, 2016 for further weed control.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",See above,See above,See above,U,See above,See above,See above,R,See above,,,
NW 21-49-21,0128,44.843,45.190,Tame pasture/Wetland,44.843 to 45.190,--,Vegetation – weeds and establishment,"Weed issue observed on the ROW. Lamb’s-quarters, stinkweed, hemp-nettle, wild buckwheat and Canada thistle were observed at higher densities on the ROW compared to off.",U,"July 21, 2016: land agent spoke with the land occupant via telephone. Occupant indicated they had no issues or concerns with ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: July 26, 2016: the ROW was mowed.","Monitor in 2017, to determine if further weed control is required.",Density and distribution of weed species were equal on and off the ROW. Wetlands seeded on the ROW. Wetland vegetation microsites re-establishing.,--,U,Monitor wetland vegetation re-establishment in 2018.,--,A small area of poor vegetation establishment was observed.,U,Monitor in 2019.,,,
NW 21-49-21,0128,45.480,45.828,Tame pasture,45.480 to 45.828,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 21-49-21,0129,45.828,45.867,Tame pasture,45.828 to 45.867,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 22-49-21,0132,46.789,47.306,Hay,46.789 to 47.306,--,Vegetation - weeds,Refer to Year 1 PCEM Report. Narrow-leaved.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 15-49-21,0134,47.777,48.110,Tame pasture,47.777 to 48.110,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Density and distribution of weed species were equal on and off the ROW. Overall vegetation has established well.,--,R,None.,--,--,--,--,,,
NW 14-49-21,0135,48.740,48.760,Field margin,48.750,368046 E 5899554 N,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Area not disturbed as acquired TWS was not utilized by construction. Not an issue.,--,R,None.,--,--,--,--,,,
SW 14-49-21,0137,48.760,49.210,Hay,48.760 to 49.210,--,Vegetation - Weeds,"Weed issue observed on the ROW. Lamb’s-quarters, narrow-leaved hawk’s-beard, flixweed, white cockle and stinkweed observed at higher densities on ROW compared to off.",U,"June 13, 2016: land agent contacted landowner via telephone. Landowner mowed weeds June 13, 2016. June 29, 2016: land agent met with landowner and provided compensation for undertaking weed control during 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.","Monitor in 2017, to determine if further weed control is required.",Density and distribution of weed species were equal on and off the ROW.,--,R,None.,Canada thistle and Absinthe were sprayed in June 2017.,Density and distribution of weed species were equal on and off the ROW.,R,None.,,,
SW 14-49-21 (cont’d),See above,49.210,49.768,Tame pasture,49.470 to 49.570,--,Vegetation – weeds and vegetation establishment,"Weed issue observed on the ROW causing vegetation establishment issues. Flixweed, lamb’s-quarters, and stinkweed observed at higher densities on ROW compared to off.",U,"June 13, 2016: land agent contacted landowner via telephone. Landowner mowed weeds June 13, 2016. June 29, 2016: land agent met with landowner and provided compensation for undertaking weed control during 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Weed issue observed on the ROW. Area of high density and distribution of Canada thistle was observed between KP 49.47 to KP 49.57.,--,U,Control weeds and monitor in 2018.,Weed issue was identified by Enbridge.,Canada thistle growing dur to recent repair work was conducted at KP 49.451 to KP 49.537.,U,Monitor weeds and vegetation establishment in 2019.,,,
SW 14-49-21 (cont’d),See above,--,--,--,--,--,Landscape – Contouring,--,--,--,--,--,"May 15, 2017: Landowner reported a high spot on the ROW, hindering drainage.  October 19, 2017: Enbridge to conduct repair work in 2018.",U,"Confirm location of contouring issue. Repair, if warranted, and monitor in 2018.",--,There were no contouring issues observed on the ROW.,R,None.,,,
SE 14-49-21,0138,49.768,50.169,Tame pasture,49.768 to 50.169,--,Vegetation - Weeds,"Weed issue observed on the ROW causing reduced vegetation establishment. Lamb’s-quarters, Canada thistle and flixweed observed at higher densities on ROW compared to off.",U,"June 13, 2016: land agent contacted landowner via telephone. Landowner mowed weeds June 13, 2016. June 29, 2016: land agent met with landowner and provided compensation for undertaking weed control during 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,Canada thistle and white cockle were sprayed in August 2017.,Canada thistle was observed at higher densities on the ROW.,U,Control weeds and monitor in 2019.  Recent repair work conducted adjacent to ROW. Monitor to ensure there is no weed encroachment.,,,
NE 11-49-21,0139,50.169,50.708,Hay,50.169 to 50.708,--,Vegetation - Establishment,"Area was desiccated at the time of assessment. Unable to determine vegetation establishment success. Higher densities of dead weed species were observed on the ROW. Stinkweed, Canada thistle and flixweed observed in desiccated ROW area.",U,"June 1, 2016: land agent met with the landowner. Landowner committed to reseeding Right of Way. land agent to follow-up spring 2017 for compensation when work is complete.",Monitor in 2017.,The ROW does not appear to have been seeded. The ROW has been taken over by weeds.,--,U,"Control weeds, seed, and monitor in 2018.",--,"ROW was seeded to cereal, a potential cover crop, while off ROW is hay. Therefore, vegetation parameters were not comparable on and off ROW. Vegetation was being outcompeted by weeds.",U,Control weeds and monitor vegetation establishment in 2019.,,,
NE 11-49-21 (cont’d),See above,See above,See above,See above,50.169 to 50.708,--,Vegetation - Weeds,--,--,--,--,"Weed issue observed on the ROW. Canada thistle, lamb’s quarters, shepherd’s purse, stinkweed, narrow-leaved hawk’s beard, common plantain, wild mustard, wild buckwheat, hemp nettle, and common groundsel were observed at higher densities on the ROW compared to off the ROW.",--,U,"Control weeds, seed, and monitor in 2018.",--,"Very high density of lamb’s quarters was observed on the ROW. White cockle, Canada thistle, perennial sow thistle, and wild buckwheat were also observed at higher densities on the ROW.",U,Control weeds and monitor vegetation establishment in 2019.,,,
NE 11-49-21 (cont’d),See above,See above,See above,See above,50.690,--,Landscape – Rutting,--,--,--,--,Area is naturally low-laying. It appears farm equipment may have gotten stuck causing an large area (15 m long x 5 m wide x 60-90 cm deep) of rutting over the trench.  Could potentially be an integrity issue and not a concern for PCEM.,--,U,Repair rutting and monitor in 2018.,--,Rutting issues was repaired.,R,None.,,,
NW 12-49-21,0140,50.708,51.678,Hay,50.708 to 51.678,--,Vegetation - Establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off ROW. Grasses and forbs have established well.,--,R,None.,--,--,--,--,,,
NW 12-49-21,0140,50.708,51.678,Hay,50.708 to 51.678,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor weeds in,2017.,Density and distribution of weed species were equal on and off ROW. Weeds on ROW do not appear to be outcompeting vegetation.,--,R,None.,--,--,--,--,,,
SE 12-49-21,0143,51.735,52.624,Tame pasture,51.735 to 52.624,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off ROW. Vegetation has established well.,--,R,None.,--,--,--,--,,,
SE 12-49-21,0143,51.735,52.624,Tame pasture,51.735 to 52.624,--,Vegetation - weeds,Refer to Year 1 PCEM Report. densities on ROW compared to off.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Density and distribution of weed species were equal on and off ROW.,--,R,None.,--,--,--,--,,,
SE 12-49-21 (cont’d),See above,See above,See above,See above,See above,--,Wetlands,--,--,--,--,Bare ground observed in wetlands; microsites of wetland vegetation re-establishing.,--,U,Monitor in 2018.,--,Bare ground observed in wetlands; microsites of wetland vegetation re-establishing.,U,Monitor in 2019.,,,
SW 7-49-20,0144,52.624,53.237,Cultivated,52.624 to 53.237,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Vegetation parameters were equal on and off the ROW. Vegetation has established well.,--,R,None.,--,--,--,--,,,
SW 7-49-20,0144,52.624,53.237,Cultivated,52.830 to 52.850;  52.875 to 52.920;  52.990 to 53.015; 53.071 to 53.096,--,Landscape – subsidence,--,--,--,--,Areas of subsidence was observed over the trench line. 30 m long x 10-15 cm deep at KP 52.89 to KP 52.92. 14 m long x 10 cm deep at KP 53.0 to KP 53.01.,--,U,"Repair subsidence, reseed, and monitor in 2018.",Repair Work: Repair work is scheduled for 2019.,"Areas of subsidence approximately 10-20 cm deep, was observed over the trench line throughout the tract.",U,Monitor in 2019.,,,
NW 6-49-20,0145,53.237,53.586,Tame pasture,53.237 to 53.586,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off the ROW. Overall vegetation has established well.,--,R,None.,--,--,--,--,,,
NW 6-49-20,0145,53.237,53.586,Tame pasture,53.237 to 53.586,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 6-49-20,0146,53.586,54.506,Cultivated,53.630,372079 E 5986825 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,"Erosion issue appears to be located in the wetland. Although an erosion issue was not observed, coir logs surrounding the wetland were in place.",--,R,None.,--,--,--,--,,,
