Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 36-79-20,Forested,Moderate microtopography (subsidence) issue,"July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  September 10, 2014 - KP13+770 silt fence removed, issue resolved. September 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control perennial sow thistle (KP 13+550 to 13+750) appears to have been effective.  Issues resolved. – KP 13+480 - subsidence on hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.","May 29, 2016 – Vegetation 90-100% of off-ROW.  Previous bare spot/ponding at KP 13+400 is no longer present, issue resolved. - No noxious weeds observed – No erosion observed – KP 13+500, Wetland has excellent vegetative growth and appears stable. Diamond willows in great condition.  – KP 13+480 and 13+770, previously assessed subsidence is well-vegetated, appears stable, and doesn’t appear to be affecting land use. No further work required, issues resolved. - KP 13+500 and 13+800, subsidence noted in 2013 is no longer evident, issues resolved. – KP 13+780, Wetland has excellent vegetative growth and appears stable.  July 13, 2016 - Canada thistle and bull thistle observed and herbicide application conducted. Issue resolved.","June 6, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. - No erosion observed - KP 13+360, 13+500, and 13+775 – Subsidence observed, not impacting land use and there are no pipe integrity concerns.  No work required, issues resolved. - KP 13+400 - Diamond willows appear healthy and stable. - KP 13+780 to 13+820, Wetland has excellent vegetative growth (80 to 100% compared to off ROW control) and appears stable. Willows and shrubs populate both work and spoil sides of the ROW.  This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, substrate, hydrology, water quality and habitat opportunity. Vegetation species biodiversity has been maintained. June 12, 2017 – KP 13+475 – Weed control implemented on Canada thistle, issue resolved. August 21, 2017 – Intermittent weed control implemented on Canada thistle (KP 13+282 and KP 13+870) and bull thistle (KP 13+570).  Issues resolved.",,,
SE 36-79-20,Forested,"Moderate surface drainage (ponding), microtopography (subsidence) issues","July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  September 10, 2014 - KP13+770 silt fence removed, issue resolved. September 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control perennial sow thistle (KP 13+550 to 13+750) appears to have been effective.  Issues resolved. – KP 13+480 - subsidence on hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.","May 29, 2016 – Vegetation 90-100% of off-ROW.  Previous bare spot/ponding at KP 13+400 is no longer present, issue resolved. - No noxious weeds observed – No erosion observed – KP 13+500, Wetland has excellent vegetative growth and appears stable. Diamond willows in great condition.  – KP 13+480 and 13+770, previously assessed subsidence is well-vegetated, appears stable, and doesn’t appear to be affecting land use. No further work required, issues resolved. - KP 13+500 and 13+800, subsidence noted in 2013 is no longer evident, issues resolved. – KP 13+780, Wetland has excellent vegetative growth and appears stable.  July 13, 2016 - Canada thistle and bull thistle observed and herbicide application conducted. Issue resolved.","June 6, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. - No erosion observed - KP 13+360, 13+500, and 13+775 – Subsidence observed, not impacting land use and there are no pipe integrity concerns.  No work required, issues resolved. - KP 13+400 - Diamond willows appear healthy and stable. - KP 13+780 to 13+820, Wetland has excellent vegetative growth (80 to 100% compared to off ROW control) and appears stable. Willows and shrubs populate both work and spoil sides of the ROW.  This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, substrate, hydrology, water quality and habitat opportunity. Vegetation species biodiversity has been maintained. June 12, 2017 – KP 13+475 – Weed control implemented on Canada thistle, issue resolved. August 21, 2017 – Intermittent weed control implemented on Canada thistle (KP 13+282 and KP 13+870) and bull thistle (KP 13+570).  Issues resolved.",,,
SE 36-79-20,Forested,Rare plant - purple-stemmed aster (S3) – KP 13+500 and 13+800 Purple-stemmed aster - Rare Plant Specialists visited the location and observed the rare plants growing on the edge of the right-of-way. Issue resolved.,"July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  September 10, 2014 - KP13+770 silt fence removed, issue resolved. September 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control perennial sow thistle (KP 13+550 to 13+750) appears to have been effective.  Issues resolved. – KP 13+480 - subsidence on hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.","May 29, 2016 – Vegetation 90-100% of off-ROW.  Previous bare spot/ponding at KP 13+400 is no longer present, issue resolved. - No noxious weeds observed – No erosion observed – KP 13+500, Wetland has excellent vegetative growth and appears stable. Diamond willows in great condition.  – KP 13+480 and 13+770, previously assessed subsidence is well-vegetated, appears stable, and doesn’t appear to be affecting land use. No further work required, issues resolved. - KP 13+500 and 13+800, subsidence noted in 2013 is no longer evident, issues resolved. – KP 13+780, Wetland has excellent vegetative growth and appears stable.  July 13, 2016 - Canada thistle and bull thistle observed and herbicide application conducted. Issue resolved.","June 6, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. - No erosion observed - KP 13+360, 13+500, and 13+775 – Subsidence observed, not impacting land use and there are no pipe integrity concerns.  No work required, issues resolved. - KP 13+400 - Diamond willows appear healthy and stable. - KP 13+780 to 13+820, Wetland has excellent vegetative growth (80 to 100% compared to off ROW control) and appears stable. Willows and shrubs populate both work and spoil sides of the ROW.  This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, substrate, hydrology, water quality and habitat opportunity. Vegetation species biodiversity has been maintained. June 12, 2017 – KP 13+475 – Weed control implemented on Canada thistle, issue resolved. August 21, 2017 – Intermittent weed control implemented on Canada thistle (KP 13+282 and KP 13+870) and bull thistle (KP 13+570).  Issues resolved.",,,
NE 36-79-20,Forested,Moderate microtopography (subsidence) issues,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 14+400, minor subsidence not affecting land use. Continue to monitor. – KP 14+550 to 14+640, subsidence, repairs recommended. – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – No erosion issues noted in ¼. September 12, 2014 – Intermittent weed control conducted to control weeds. September 13 and 17, 2014 – Repairs completed at subsidence from kP14+475 to kp14+650. Harrowing and seeding completed.  Issue resolved.","June 17, 2015 - Area appears well vegetated with strong growth and density. No erosion observed. - KP 14+370 to 14+400, Subsidence, area appears well vegetated and stable, doesn’t appear to be affecting land use. Recommend continued monitoring - KP 14+450, low area with cattails observed. Recommend continued monitoring for ponding. - KP 14+475 - 14+650, subsidence repaired area from 2014 looks good. Minor stinkweed observed. Recommend continued monitoring of subsidence and for progression of desirable vegetation.","May 30, 2016 - ROW is well vegetated with strong growth and density.   - No noxious or invasive weed species were observed.  Perennial sow thistle issue resolved. - No visible signs of erosion. - Previously documented subsidence at KP’s 14+370 – 14+400, is not impacting land use.  Subsidence is well vegetated. No work required, issue resolved. - Subsidence repaired at KP 14+475 – 14+650 is approx. 90% vegetated compared to the rest of the ROW. No stinkweed was present as noted last year. Issues resolved. - KP 14+450 – Ponding area is no longer present, issue resolved.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control.  - KP 14+280, 14+310, and 14+800 - Canada Thistle observed, recommend weed control. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved. - No erosional issues were observed June 12, 2017 - KP 14+280, 14+310, and 14+800 – Weed control implemented on Canada Thistle, issues resolved. August 21, 2017 – KP 14+280, KP 14+310, KP 14+800 and KP 15+020 – Weed control implemented on Canada thistle.  Issues resolved.",,,
SE 1-80-20,Forested,No issues observed,"July 19, 2014 – 90-100% vegetation cover to off ROW control. – No issues with subsidence, or erosion in ¼. – Intermittent weeds, requiring weed control throughout ¼. September 12, 2014– Intermittent herbicide application conducted throughout ¼.","June 17, 2015 - Area is well vegetated with strong growth and density throughout tract. No erosion observed. - KP 14+850, minor subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 14+930, surface water and cattails observed. Appears to be ponding in the area. Recommend continued monitoring.","May 30, 2016 - ROW in this ¼ is also densely vegetated with strong growth.  - No noxious or invasive weeds were noted in this ¼.  Previous weed issues resolved. - No subsidence, erosion, or ponding issues were observed in this ¼.  Previously noted concerns resolved. - Diversion berm at KP 14+750 is well vegetated and serving its purpose.  July 13, 2016 - Intermittent patches of narrow-leaved hawksbeard observed. Recommend weed control.  July 13 – 14, 2016 – Weed control implemented to control Canada thistle, bull thistle, and narrow-leaved hawksbeard.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. - KP 14+930 - Canada Thistle observed, recommend weed control. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved. - No erosional issues were identified in ¼. June 12, 2017 – KP 14+930 – Weed control implemented on Canada thistle, issue resolved. August 21, 2017 - KP 14+930 – Weed control implemented on Canada thistle, issue resolved.",,,
SW 1-80-20,Forested,Moderate microtopography (subsidence) issues,"July 19, 2014 – 90-100% vegetation cover to off ROW control. – KP 15+220, bare spot in low wet area. Monitor growth. – KP 15+350, patches of perennial sow thistle, KP 15+600 foxtail present, weed control recommended. – Berms on hill slope are well vegetated and functional. September 12, 2014 – Herbicide application conducted at - - KP 15+350 and 15+600 to control perennial sow thistle and foxtail.","June 17, 2015 - Area appears well vegetated with strong growth and density throughout tract. No erosion observed. - KP 15+220 – bare spot is no longer present, issue resolved. - Perennial sow thistle and foxtail issues resolved. - KP 15+230, Surface water and cattails observed. Appears to be ponding in this area. Recommend continued monitoring. - KP 15+300, low, wet area observed. Third party tracks/ruts also observed. Doesn't appear to be affecting land use. Recommend continued monitoring. - KP 15+590, minor subsidence, not affecting land use. Recommend continued monitoring. - KP 15+600 – subsidence and moderate vegetation coverage is no longer evident, issues resolved.","May 31, 2016 - Excellent vegetation observed in this ¼ and is 90-100% compared to off ROW.  - Previously noted ponding water at KP’s 15+230 and 15+300 are in natural low areas as indicated by the adjacent willows off ROW in the forested area. Issues resolved. - Diversion berm at KP 15+500 has a bare spot with minimal vegetation right where the ditch plug is.  Recommend seeding. - All other diversion berms are also well vegetated and functional. - No erosion was noted.  Hill slopes are well vegetated and stable. - KP 15+590 – noted subsidence is no longer evident, issue resolved. July 13, 2016 - Intermittent patches of narrow-leaved hawksbeard observed. Recommend weed control.  July 13 – 14, 2016 – Weed control implemented to control Canada thistle, bull thistle, and narrow-leaved hawksbeard. October 10, 2016 – KP 15+500, seeded bare spot on diversion berm.  Issue resolved.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control.  - KP 15+575 - Canada Thistle observed, recommend weed control. - Diversion berm at KP 15+500 had a bare spot that was seeded last fall.  Vegetation is infilling and cover is at 65-80% compared to off ROW. Issue resolved. - All other diversion berms are well vegetated (80 to 100% compared to off ROW control), stable and functional.  - Intermittent subsidence observed.  All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved  - No erosion was noted.  Hill slopes are well vegetated and stable. June 12, 2017 – KP 15+575 – Weed control implemented on Canada thistle, issue resolved. August 21, 2017 – Weed control implemented on Canada thistle (KP 15+575) and perennial sow thistle (KP 15+330), issues resolved",,,
SW 1-80-20,Forested,Moderate vegetation issue,"July 19, 2014 – 90-100% vegetation cover to off ROW control. – KP 15+220, bare spot in low wet area. Monitor growth. – KP 15+350, patches of perennial sow thistle, KP 15+600 foxtail present, weed control recommended. – Berms on hill slope are well vegetated and functional. September 12, 2014 – Herbicide application conducted at - - KP 15+350 and 15+600 to control perennial sow thistle and foxtail.","June 17, 2015 - Area appears well vegetated with strong growth and density throughout tract. No erosion observed. - KP 15+220 – bare spot is no longer present, issue resolved. - Perennial sow thistle and foxtail issues resolved. - KP 15+230, Surface water and cattails observed. Appears to be ponding in this area. Recommend continued monitoring. - KP 15+300, low, wet area observed. Third party tracks/ruts also observed. Doesn't appear to be affecting land use. Recommend continued monitoring. - KP 15+590, minor subsidence, not affecting land use. Recommend continued monitoring. - KP 15+600 – subsidence and moderate vegetation coverage is no longer evident, issues resolved.","May 31, 2016 - Excellent vegetation observed in this ¼ and is 90-100% compared to off ROW.  - Previously noted ponding water at KP’s 15+230 and 15+300 are in natural low areas as indicated by the adjacent willows off ROW in the forested area. Issues resolved. - Diversion berm at KP 15+500 has a bare spot with minimal vegetation right where the ditch plug is.  Recommend seeding. - All other diversion berms are also well vegetated and functional. - No erosion was noted.  Hill slopes are well vegetated and stable. - KP 15+590 – noted subsidence is no longer evident, issue resolved. July 13, 2016 - Intermittent patches of narrow-leaved hawksbeard observed. Recommend weed control.  July 13 – 14, 2016 – Weed control implemented to control Canada thistle, bull thistle, and narrow-leaved hawksbeard. October 10, 2016 – KP 15+500, seeded bare spot on diversion berm.  Issue resolved.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control.  - KP 15+575 - Canada Thistle observed, recommend weed control. - Diversion berm at KP 15+500 had a bare spot that was seeded last fall.  Vegetation is infilling and cover is at 65-80% compared to off ROW. Issue resolved. - All other diversion berms are well vegetated (80 to 100% compared to off ROW control), stable and functional.  - Intermittent subsidence observed.  All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved  - No erosion was noted.  Hill slopes are well vegetated and stable. June 12, 2017 – KP 15+575 – Weed control implemented on Canada thistle, issue resolved. August 21, 2017 – Weed control implemented on Canada thistle (KP 15+575) and perennial sow thistle (KP 15+330), issues resolved",,,
NW 1-80-20,Forested,Moderate vegetation issue,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+000, patches of perennial sow thistle, weed control required. – KP 16+100, woody debris on ROW causing moderate growth.  Continue to monitor.","June 17, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application in 2014 has been effective, no perennial sow thistle present, issue resolved. – KP 16+100, woody debris on ROW that was causing moderate growth is breaking down and vegetation is","May 31, 2016 - 90-100% vegetation cover compared to off ROW.  - No signs of erosion. - No subsidence was observed in this ¼.  - Bare areas at KP’s 16+100 and 16+350 to 16+550 that were seeded in 2014 are vegetating nicely and have about","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. Deciduous trees and willow species are infilling ROW  - No signs of erosion. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control),",,,
NW 1-80-20,Forested,Moderate microtopography (subsidence) issues Moderate vegetation issue,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+000, patches of perennial sow thistle, weed control required. – KP 16+100, woody debris on ROW causing moderate growth.  Continue to monitor. – KP 16+350 to 16+550, large area with minimal growth.  Reseed. – No subsidence or erosion noted at time of assessment. Subsidence noted in 2013 at KP 16+500 no longer evident, issue resolved. September 15, 2014– KP 16+000 – Herbicide application conducted to control perennial sow thistle. September 17, 2014 -- KP 16+305 to 16+550 area of minimal growth seeded and harrowed.","June 17, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application in 2014 has been effective, no perennial sow thistle present, issue resolved. – KP 16+100, woody debris on ROW that was causing moderate growth is breaking down and vegetation is establishing well. – KP 16+350 to 16+550 was reseeded in September 2014. There is vegetation present, continue to monitor. – KP 16+520, diversion berm has dense vegetation throughout. – No subsidence or erosion noted at time of assessment.","May 31, 2016 - 90-100% vegetation cover compared to off ROW.  - No signs of erosion. - No subsidence was observed in this ¼.  - Bare areas at KP’s 16+100 and 16+350 to 16+550 that were seeded in 2014 are vegetating nicely and have about 70-80% vegetation cover compared to the rest of the ROW. No further seeding required, issue resolved. - Diversion berms and hill slopes are well vegetated and stable. July 13, 2016 - Intermittent patches of narrow-leaved hawksbeard observed. Recommend weed control.  - KP 16+425 – ox-eye daisy (1 plant) picked, bagged, and disposed of. July 13 – 14, 2016 – Weed control implemented to control Canada thistle, bull thistle, and narrow-leaved hawksbeard.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. Deciduous trees and willow species are infilling ROW  - No signs of erosion. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved  - Diversion berms and hill slopes are well vegetated (80 to 100% compared to off ROW control), and stable with no signs of erosion. August 21, 2017 - Weed control implemented on Canada thistle (KP 15+710) and ox-eye daisy (KP 16+110; 1 plant), issues resolved",,,
SW 12-80-20,Forested,Moderate microtopography (subsidence) issues,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+650 to 16+675, area of moderate vegetation, Monitor growth. – KP 17+100, diversion berms on hill slope are in good shape and well vegetated. – KP 17+350, minor subsidence near road crossing not affecting land use, monitor in 2015. - KP 16+700 – Subsidence noted in 2013 is no longer evident, issue resolved. September 15, 2014 – Weeds identified intermittently throughout ¼, intermittent herbicide application conducted.","June 17, 2015 – Well vegetated with strong growth and density throughout tract.  – KP 16+650 to 16+675 and 16+700, previously assessed area of moderate vegetation is re-establishing well, issue resolved. – KP 17+100, diversion berms on hill slope are in good shape and vegetating well. – KP 17+350, minor subsidence near road crossing, not affecting land use. No work recommended, issue resolved.","May 31, 2016 - ROW is well vegetated with strong growth and density.  - No erosion. July 13, 2016 - Canada thistle and bull thistle observed and herbicide applied to control.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. Deciduous trees and willow species are infilling ROW  - KP 16+910, 16+950, 17+160 to 17+195, and 17+370 – Canada thistle observed, recommend weed control. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved  - Diversion berms and hill slopes are well vegetated (80 to 100% compared to off ROW control), and stable with no signs of erosion.  - No erosional issues were observed. June 10, 2017 – 16+910 to 17+370 - Intermittent weed control implemented on Canada thistle. Issues resolved. August 20, 2017 – Intermittent weed control implemented on Canada thistle (KP 16+990 to 17+195 and 17+300 to 17+370) and tall buttercup (KP 17+045).  Issues resolved. September 28, 2017 – Previous weed control effective, no noxious weeds present, issues resolved.",,,
SW 12-80-20,Forested,Moderate vegetation issue,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+650 to 16+675, area of moderate vegetation, Monitor growth. – KP 17+100, diversion berms on hill slope are in good shape and well vegetated. – KP 17+350, minor subsidence near road crossing not affecting land use, monitor in 2015. - KP 16+700 – Subsidence noted in 2013 is no longer evident, issue resolved. September 15, 2014 – Weeds identified intermittently throughout ¼, intermittent herbicide application conducted.","June 17, 2015 – Well vegetated with strong growth and density throughout tract.  – KP 16+650 to 16+675 and 16+700, previously assessed area of moderate vegetation is re-establishing well, issue resolved. – KP 17+100, diversion berms on hill slope are in good shape and vegetating well. – KP 17+350, minor subsidence near road crossing, not affecting land use. No work recommended, issue resolved.","May 31, 2016 - ROW is well vegetated with strong growth and density.  - No erosion. July 13, 2016 - Canada thistle and bull thistle observed and herbicide applied to control.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. Deciduous trees and willow species are infilling ROW  - KP 16+910, 16+950, 17+160 to 17+195, and 17+370 – Canada thistle observed, recommend weed control. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved  - Diversion berms and hill slopes are well vegetated (80 to 100% compared to off ROW control), and stable with no signs of erosion.  - No erosional issues were observed. June 10, 2017 – 16+910 to 17+370 - Intermittent weed control implemented on Canada thistle. Issues resolved. August 20, 2017 – Intermittent weed control implemented on Canada thistle (KP 16+990 to 17+195 and 17+300 to 17+370) and tall buttercup (KP 17+045).  Issues resolved. September 28, 2017 – Previous weed control effective, no noxious weeds present, issues resolved.",,,
SW 12-80-20,Forested,Moderate microtopography (subsidence) issue,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+650 to 16+675, area of moderate vegetation, Monitor growth. – KP 17+100, diversion berms on hill slope are in good shape and well vegetated. – KP 17+350, minor subsidence near road crossing not affecting land use, monitor in 2015. - KP 16+700 – Subsidence noted in 2013 is no longer evident, issue resolved. September 15, 2014 – Weeds identified intermittently throughout ¼, intermittent herbicide application conducted.","June 17, 2015 – Well vegetated with strong growth and density throughout tract.  – KP 16+650 to 16+675 and 16+700, previously assessed area of moderate vegetation is re-establishing well, issue resolved. – KP 17+100, diversion berms on hill slope are in good shape and vegetating well. – KP 17+350, minor subsidence near road crossing, not affecting land use. No work recommended, issue resolved.","May 31, 2016 - ROW is well vegetated with strong growth and density.  - No erosion. July 13, 2016 - Canada thistle and bull thistle observed and herbicide applied to control.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. Deciduous trees and willow species are infilling ROW  - KP 16+910, 16+950, 17+160 to 17+195, and 17+370 – Canada thistle observed, recommend weed control. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved  - Diversion berms and hill slopes are well vegetated (80 to 100% compared to off ROW control), and stable with no signs of erosion.  - No erosional issues were observed. June 10, 2017 – 16+910 to 17+370 - Intermittent weed control implemented on Canada thistle. Issues resolved. August 20, 2017 – Intermittent weed control implemented on Canada thistle (KP 16+990 to 17+195 and 17+300 to 17+370) and tall buttercup (KP 17+045).  Issues resolved. September 28, 2017 – Previous weed control effective, no noxious weeds present, issues resolved.",,,
SE 11-80-20,Forested,No issues observed,"– July 26, 2014 - KP 17+500, weeds, Canada thistle, perennial sow thistle, and tall butter cup, weed control required. – Vegetation on ROW was consistent with offsite conditions.  September 15, 2014 – Intermittent herbicide application conducted to control Canada thistle, perennial sow thistle, and tall butter cup.","June 17, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application conducted in September 2014 appears to have effectively removed undesired species.  Weed issues resolved. – No issues were identified in tract. Banks of Stuart lake road are stable and there was no signs of erosion or slumping.","May 31, 2016 - Strong vegetation growth and cover. 1/4 is a little wet than the other but is consistent with off ROW. - Tall buttercup was observed, recommend weed control. - No erosion or subsidence observed.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to off ROW control. Deciduous trees and willow species are infilling ROW  - KP 17+550 - Tall buttercup observed, recommend weed control. - Intermittent subsidence observed. All subsidence is well vegetated (80 to 100% compared to off ROW control), stable and not affecting land use or pipe integrity. No work required, issues resolved  - No erosional issues were observed. June 10, 2017 – KP 17+550 – Weed control implemented on Canada thistle and tall buttercup. July 18, 2017 – KP 17+550 - Additional weed control implemented on tall buttercup. August 20, 2017 – Weed control implemented on tall buttercup (KP 17+4250 and Canada thistle (KP 17+550). September 28, 2017 – Previous weed control effective, no noxious weeds present, issues resolved.",,,
NE 11-80-20,Forested,Moderate surface drainage (ponding) issue Moderate surface drainage (ponding) issue,"– July 26, 2014 - KP 17+950, drainage. Ponding water at time of assessment. – KP 18+000, berm across ROW, good vegetation growth – KP 18+250, berm across ROW, good condition, no ponding water, issue resolved. - KP 17+850 – No ponding water noted, issue resolved. – No sign of erosion at time of assessment  – Weeds, perennial sow thistle, Canada thistle, and tall buttercup, present intermittently throughout ¼. September 15, 2014 – herbicide application conducted intermittently to control weeds.","June 18, 2015 – Area is well vegetated with strong growth and density throughout tract. No erosion, subsidence, or weeds observed.  Weed issue resolved. - KP 17+850, 3<s>rd</s> party ATV trail crossing ROW appears to be affecting vegetation. Minimal vegetative growth and rutting observed. Recommend continued monitoring. - KP 18+000 and KP 18+250, diversion berms appear well vegetated and effective.  - KP 18+350, third-party ruts observed on ROW. Doesn't appear to be affecting land use. Recommend continued monitoring.","June 29, 2016 - Strong vegetation growth and cover observed in this ¼.  - KP 17+550 - Tall buttercup and Canada thistle were observed. Recommend weed control - Diversion berms at KP’s 17+850, 18+020, 18+125, 18+250 are all well vegetated and stable. Berms are showing no signs of erosion.  - No subsidence or erosion was observed in the ¼. - KP 17+850 – ATV issues are no longer evident, issue resolved. July 14, 2016 – KP 17+550 – Herbicide application conducted to control tall buttercup and Canada thistle.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 17+860- Canada thistle observed, recommend weed control. - Diversion berms at KP’s 17+850, 18+020, 18+125, 18+250 are all well vegetated and stable showing 80-100% vegetation cover on the ROW compared to the off-ROW control.  Berms are showing no signs of erosion.  - No subsidence or erosion was observed in the ¼. June 10, 2017 – KP 17+860 – Weed control implemented on Canada thistle. August 20, 2017 – KP 17+625, 17+860 to 17+870, and 18+070 – Weed control implemented, issues resolved.",,,
SE 14-80-20,Forested,"Moderate microtopography (rills), Moderate vegetation issue","July 26, 2014 – Vegetation is establishing throughout tract, continue to monitor.  - KP 18+450, reduced vegetation cover, monitor in 2015. – KP 18+550, moderate vegetation growth and minor erosion on diversion berm, monitor in 2015. – KP 18+930 (likely same issue as 2013 KP 18+950 erosion), erosion, repairs recommended. – KP 18+750, drainage excellent vegetation density 100% vegetated at time of assessment. 2013 ponding issue is resolved. September 11, 2014 – KP 18+930, erosion was re-contoured/repaired and erosion control measures installed.  Issue resolved.  - Intermittent weeds identified and herbicide application conducted.","June 18, 2015 - Area is well vegetated with strong growth and density throughout tract. Reduced vegetation cover issue at KP 18+450 is resolved. No erosion, subsidence, or weeds observed.  Weed issue resolved. - KP 18+550, minor erosion down length of diversion berm observed. Berm is well vegetated and appears stable. Recommend continued monitoring.","June 29, 2016 - Vegetation cover is at 90-100% - KP 18+930, erosion across the ROW. Wattles were in place previously but have washed out. Recommend repairs. - KP 18+550 – Erosion is no longer evident, issue resolved. - No noxious or invasive weeds were located in this ¼. - No subsidence was observed in this ¼. October 8, 2016 – KP 18+930 – erosion repairs completed, issue resolved.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼ - KP 18+550, erosion and ponding water present, recommend repairs. - No subsidence observed in this ¼. June 12, 2017 – KP 18+550 – Repairs to erosion and ponding water completed, issues resolved.  Repairs will be monitored in 2018",,,
