Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 23-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density. Minor erosion rills identified, they are not inhibiting the recovery of the ROW, issue resolved. - No noxious weeds were identified.",,,
SE 23-96-7 W6,Forested Low Vegetation Establishment (KP 22+400),"At the time of the assessment, work was occurring on the steep slopes at this location to stabilize the soil.","Sept 4 – 8, 2016 – KP 22+400 – Erosion repairs completed, including reseeding, continue to monitor.",,,
SW 23-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. Moderate vegetation on hillslope at KP 23+500, no secondary issues noted (e.g., erosion), no work recommended, issue resolved. - No noxious weeds were identified.",,,
NW 23-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is moderately to well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, and aspen. 2014 vegetation issue resolved.   - Adequate cross drains present and functional – no ponding present.",,,
NE 22-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density - Adequate cross drains present and functional – no ponding present.",,,
NW 22-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is moderately to well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - KP 25+210 – Perennial sow thistle identified, recommend implementation of control measures. - KP 25+220 – Sign and marker posts require repairs. July 14, 2016 – KP 25+210 - Herbicide application completed to control perennial sow thistle. Sept 14, 2016 - KP 25+220 – Sign post and marker posts repaired, issue resolved.",,,
NE 21-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is moderately to well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - KP 26+330 – Scentless chamomile, mature plants picked/bagged and disposed of, recommend additional control measures for emergent plants. - KP 26+500 – Perennial sow thistle identified, recommend implementation of control measures. - Adequate cross drains present and functional – no ponding present. July 14, 2016 – KP 26+330 and 26+500 - Herbicide application completed to control scentless chamomile and perennial sow thistle.",,,
NE 21-96-7 W6,Unnamed tributary to Chinchaga River (KP 26+400) Moderate/High Vegetation Establishment,Moderate to high vegetation establishment was observed on the banks and approach slopes of the watercourse.,"July 13, 2016 - Slopes and diversion berms within this tract are well vegetated and stable- Signs and marker posts on both sides require repairs. - Sediment fence remains along both sides of WC, recommend removal. – Bed and bank remain stable, coir lifts stable with sedimentation filling in. Emerging willows observed from areas between coir lifts. Willow and alder staking has been completed on both sides of the watercourse crossing. Good cobble substrate within the bed of the watercourse is mitigating sedimentation / erosion within the crossing location. The watercourse crossing reclamation was found to be consistent with the reclamation plan. Sept 15, 2016 - sediment fence was removed from both sides of the watercourse. Pipeline signs and marker posts were stabilized on both sides of the watercourse.  Issues resolved.",,,
NW 21-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is moderately to well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen.  2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - Adequate cross drains present and functional – no ponding present.",,,
NE 20-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the ROW is moderately to well vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - KP 28+100 – Perennial sow thistle identified, recommend implementation of control measures. - KP 27+950 – Line of sight barrier across right of way and functional. - KP 28+190 – mounding present within the west end of this tract – effectively controlling access. - Planted pine trees identified throughout the workside of right of way. July 14, 2016 – KP 28+100 - Herbicide application completed to control perennial sow thistle.",,,
NW 20-96-7 W6,Treed Fen (KP 28+300 to 29+070),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 20-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen.  2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - Adequate cross drains present and functional – no ponding present. - KP 28+450 - Perennial sow thistle identified, recommend implementation of control measures. - Mounding present throughout the entire tract effectively controlling access. July 14, 2016 – KP 28+450 - Herbicide application completed to control perennial sow thistle.",,,
SW 29-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - Adequate cross drains present and functional – no ponding present.",,,
SW 29-96-7 W6,Treed Bog (KP 29+200 to 29+360),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SE 30-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - KP 29+820 – Line of sight barrier across right of way and functional. - No noxious weeds were observed in this ¼.",,,
SE 30-96-7 W6,Treed Bog (KP 29+520 to 29+600),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 14, 2016 - Wetland is well vegetated. Good establishment of wetland grasses including cotton grass, cattails, birdsfoot trefoil, willows, alders and shrubs. Good functional cross drains through wetland area.",,,
,Treed Bog (KP 29+800 to 29+910),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 14, 2016 - Wetland is moderately vegetated. Vegetation is infilling and consists of grasses, clover, alder, willows, horsetail and planted spruce.",,,
NE 30-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - Adequate cross drains present and functional – no ponding present. - KP 30+180 - Sign and marker posts required repairs. - KP 30+610 and 30+675- Perennial sow thistle identified, recommend implementation of control measures. July 14, 2016 – KP 30+180 and 30+675 - Herbicide application completed to control perennial sow thistle. Aug 25, 2016 - KP 30+180 – Sign and marker posts repaired, issue resolved.",,,
SE 31-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - Adequate cross drains present and functional – no ponding present. - KP 31+120 - Perennial sow thistle identified, recommend implementation of control measures. July 14, 2016 – KP 31+120 - Herbicide application completed to control perennial sow thistle.",,,
SW 31-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 14, 2016 - Majority of the ROW is moderately vegetated with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen.  2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density. - Adequate cross drains present and functional – no ponding present. - KP 31+475 - Perennial sow thistle identified, recommend implementation of control measures. - KP 32+100, 1 scentless chamomile plant was picked/bagged and disposed of. - KP 31+540 - Mounding present, effectively controlling access. - KP 32+100 - Mat observed in workspace at Chinchaga road crossing, remove from ROW. July 14, 2016 – KP 31+475 - Herbicide application completed to control perennial sow thistle. Sept 15, 2015 - KP 32+100 – Mat removed from ROW and disposed of, issue resolved.",,,
SW 31-96-7 W6,Treed Bog (KP 31+800 to 32+100),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 14, 2016 - Wetland is well vegetated. Good establishment of grasses, cattails, willows, alders and shrubs. Good functional cross drains through wetland area.",,,
NE 30-96-9 W6,Rare Plant (Cranberry Hydrostatic Site),"Two clusters of approximately 70 and 6 western jacob’s-ladder were observed on July 30, 2014. Issue resolved.",,,,
