Legal Location,1st Year Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 1-97-9 W6 and NW 36-96-9 W6,Low Vegetation Establishment,"Sept 21, 2014 – The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass, sedges and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 2, 2016 - Well established vegetation consisting of mostly American vetch, as well as grasses, clover, and birdsfoot trefoil providing dense ground cover in ¼.  Shrubs, Aspen and willows emerging and observed throughout ¼. - No noxious weeds were identified in this ¼. - No subsidence or erosional issues were observed in this ¼. July 14, 2016 – Intermittent herbicide application conducted.  Issue resolved. August 23, 2016 - Effective control of noxious weeds observed. - KP 11+750 – Perennial sow thistle observed, recommend weed control. Sept 20, 2016 - KP 11+750 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.","July 16, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, vetch, willows and aspens. Present on tract common yarrow, clover, cattails, reed grass, and broadleaf shrubs.  - No erosion or subsidence on tract.  - No noxious weeds identified on tract.  September 29, 2017 - No noxious weeds were observed.",,,
SW 1-97-9 W6 and NW 36-96-9 W6,Treed Fen,"Sept 21, 2014 – The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass, sedges and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 2, 2016 - Wetlands in area appear healthy and to be functioning well.  ROW is well vegetated with wetland grasses, shrubs and lots of willows.  Cross drains are in place and appear to be working well.","July 16, 2017 - Treed fen on ROW from KP 11+560 to 12+160 appears to be at full functionality.  - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Spruce trees identified emerging throughout wetland. - Trench crown settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Wetland has slightly undulating terrain resulting in drier / wetter areas due to level of water table. Upslope areas exhibiting peat layer and mottling. Low areas exhibiting high organic content in surface layer with gleying observed. Overall substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland.  - Wetland exhibiting semi-saturated on upslope areas and saturated conditions in low-lying areas. - Wetland exhibiting good potential for wildlife; adult moose observed on adjacent running power line using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
SE 2-97-9 W6 and NE 35-96-9 W6,Low Vegetation Establishment,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor in the ROW in 2016.","July 2, 2016 - Well established vegetation consisting of mostly American vetch, as well as grasses, clover, and birdsfoot trefoil providing dense ground cover in ¼.  Shrubs, Aspen and willows emerging and observed throughout ¼. - Wetland from KP 11+560 to 12+150 is well vegetated for the most part however there are areas on workside with moderate vegetation growth.  Wetland also had spruce trees planted on the work side of the ROW. - No noxious or invasive weeds were observed in this ¼. - No subsidence or erosional issues. July 14, 2016 – intermittent herbicide application conducted.  Issue resolved. August 23, 2016 – Effective control of noxious weeds observed. - KP 12+020 – Perennial sow thistle observed, recommend weed control. Sept 20, 2016 - KP 12+200 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.","July 16, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  September 29, 2017 - No noxious weeds were observed.",,,
NW 35-96-9 W6,Low Vegetation Establishment,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Well established vegetation consisting of American vetch, grasses, clover, and birdsfoot trefoil, are providing good ground cover in ¼.  Shrubs, Aspen and willows are also populating the ROW.  - Tree planting was evident throughout the ¼ on the work side of the ROW as well as in work spaces.  Evergreens do not appear to be planted in low lying areas high in ground water.  - No noxious weeds or erosional issues were identified in this ¼.","July 16, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Spoil side very well established with maturing vegetation, particularly willows and aspens.   - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  September 29, 2017 - No noxious weeds were observed.",,,
NW 35-96-9 W6,Treed Fen,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The treed fen areas were well vegetated with reed grass and willows. The treed fen areas throughout the ROW have been dry during the assessment time. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","- Wetlands in area appear healthy and to be function well.  ROW is well vegetated with wetland grasses, as well shrubs and willows.  Cross drains are in place and appear to be working well as no pooling water was noted.","July 16, 2017 - Treed fen on ROW from KP 12+790 to 12+850 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Ditch roach exhibiting slightly higher density of willows. - Trench crown slightly settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic topsoil layer observed in wetland; gleying occurring. - Wetland exhibiting saturated conditions with water table at the surface resulting in intermittent pouches of standing surface water acting as good microsites. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation (Black Spruce) to emerge onto ROW over time as a tertiary successional species. No net loss of wetland function was observed.",,,
,Shrubby Fen,,,,"July 16, 2017 - Shrubby Fen on ROW from KP 13+020 to 13+100 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Ditch roach exhibiting higher establishment of broadleaf shrubs. - Trench crown slightly settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic topsoil layer observed in wetland; gleying occurring. - Wetland exhibiting saturated conditions with water table at the surface resulting in intermittent pouches of standing surface water acting as good microsites. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation (Black Spruce) to emerge onto ROW over time as a tertiary successional species. No net loss of wetland function was observed.",,,
NE 34-96-9 W6,Low Vegetation Establishment,"Sept 21, 2014 – The ROW was well vegetated at the time of the assessment, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). There were many poplar saplings throughout work side and ditch side.   There were no weeds observed at the time of the assessment. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Well established vegetation consisting of American vetch, grasses, clover, and birdsfoot trefoil, are providing good ground cover in ¼.  Shrubs, Aspen and willows are also populating the ROW.  - Perennial sow thistle (KP 13+675), scentless chamomile (KP 13+875), and Canada thistle (KP 14+215) observed, recommend weed control. - No erosional issues were observed in this ¼. July 14, 2016 – Intermittent herbicide application conducted to control perennial sow thistle (KP 13+675), scentless chamomile (KP 13+875), and Canada thistle (KP 14+215).  Issue resolved. August 23, 2016 - Effective control of noxious weeds observed.","July 16, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  September 29, 2017 – KP 14+135 – Herbicide application conducted to control Canada thistle.  Issue resolved.",,,
NE 34-96-9 W6,Treed Fen,"Sept 21, 2014 – The ROW was well vegetated at the time of the assessment, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). There were many poplar saplings throughout work side and ditch side.   There were no weeds observed at the time of the assessment. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Wetlands in ¼ are well vegetated with wetland grasses.  Cat tails were observed in lower lying areas.  There is also some shrub / willow growth and it appears native species are re-establishing.","July 16, 2017 - Treed fen on ROW from KP 13+960 to 15+350 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows, spruce, pine, sphagnum mosses and Labrador tea. - Trench crown slightly settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated and saturated conditions with water stable slightly below surface. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
,Unnamed Tributary to Chinchaga River,"Sept 21, 2014 – Well vegetated throughout the area. The areas to either side of the roach (work side and ditch side) were wet and vegetated with sedge species, grasses and willow. The area over the roach near the tributary was moderately vegetated with a combination of grass and wood species. There is no erosion issues in the area. Continue to monitor the vegetation growth throughout the tributary area. Monitor silt fencing and remove/repair, as required.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016. - Remove silt fencing as soon as practical.","July 4, 2016 - Unnamed tributary to Chinchaga River at KP 13+894 is fully vegetated through riparian area.  Beavers appear to be active as a functioning dam was observed as well as several beaver houses.  There is a large amount of water at this crossing due to the beavers. - 40m of silt fence on the east side (KP 13+875) and west side (KP 13+950) of watercourse is ready to be removed as area is fully vegetated. August 23, 2016 – Removed silt fencing on east (KP 13+875) and west (KP 13+950) removed.  Issue resolved.","July 16, 2017 - Pipeline marker and sign post repaired on east side of watercourse.  Issue resolved. - No other issues noted.",,,
,Open Water Pond,Not assessed – could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","No issues observed, scentless chamomile is no longer evident, noxious weed and invasive species issues resolved.","July 16, 2017 - Open water pond on ROW from KP 13+880 to 13+960 appears to be at full functionality. Ponded area is a result of beaver activity to the north resulting in wide ponding extending far to the south and north. Slight flow observed to the south. - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of graminoid, broadleaf and willow species. Submergent and Emergent vegetation establishing within ponded water. - No noxious weeds were observed in wetland. - No trench crown observed through pond area due to depth of water; hydrology has been maintained. - Substrate appears healthy through uniform growth of vegetation and high organic content. - Water depth exceeding 1m in depth; water quality maintained. - Wetland exhibiting high habitat potential via standing water and microsite habitat opportunity. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation diversity maintained on ROW. No net loss of wetland function was observed.",,,
,"- Noxious Weeds, Invasive Species",Not assessed – could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","No issues observed, scentless chamomile is no longer evident, noxious weed and invasive species issues resolved.","July 16, 2017 - Open water pond on ROW from KP 13+880 to 13+960 appears to be at full functionality. Ponded area is a result of beaver activity to the north resulting in wide ponding extending far to the south and north. Slight flow observed to the south. - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of graminoid, broadleaf and willow species. Submergent and Emergent vegetation establishing within ponded water. - No noxious weeds were observed in wetland. - No trench crown observed through pond area due to depth of water; hydrology has been maintained. - Substrate appears healthy through uniform growth of vegetation and high organic content. - Water depth exceeding 1m in depth; water quality maintained. - Wetland exhibiting high habitat potential via standing water and microsite habitat opportunity. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation diversity maintained on ROW. No net loss of wetland function was observed.",,,
SE 34-96-9 W6,Low Vegetation Establishment,Not assessed – could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  2013 low vegetation issue resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Well established vegetation in this ¼.  Entire ¼ is a wetland and is vegetated with wetland grasses and cat tails.  There is also lots of willow and shrub growth.  Establishment of native species was also evident.  - No noxious or invasive weeds were observed in this ¼. - No erosional issues.","September 29, 2017 - No noxious weeds were observed.",,,
SE 34-96-9 W6,Treed Fen,Not assessed – could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  2013 low vegetation issue resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Well established vegetation in this ¼.  Entire ¼ is a wetland and is vegetated with wetland grasses and cat tails.  There is also lots of willow and shrub growth.  Establishment of native species was also evident.  - No noxious or invasive weeds were observed in this ¼. - No erosional issues.","July 16, 2017 - Treed fen on ROW from KP 13+960 to 15+350 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows, spruce, pine, sphagnum mosses and Labrador tea. - Trench crown slightly settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated and saturated conditions with water stable slightly below surface. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging onto ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
SW 34-96-9 W6,Low Vegetation Establishment,Not assessed – could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  2013 low vegetation issue resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - good establishment of clover, birdsfoot trefoil, American vetch, some grasses, shrubs, aspen and willows throughout the tract.  Emerging spruce and pine trees evident along both side of the right of way.  Intermittent areas exhibiting thin vegetative growth within peat / organic soils – establishment of native species appears to progressing. - Roach is present along ditchline for the duration of the tract, remaining consistent / uniform throughout, with suitable cross drains implemented to accommodate appropriate migration of runoff. Sept 20, 2016 - KP 14+650 - Perennial sow thistle controlled through herbicide application.  Issue resolved.","July 17, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Vetch, common yarrow, clover, and birdsfoot trefoil also identified on tract.  - Trench crown present and stable.  - No noxious weeds identified on tract. - No erosion or subsidence on tract.  - Cross drains functioning well no water ponding.  September 29, 2017 - No noxious weeds were observed.",,,
SW 34-96-9 W6,Treed Bog,Not assessed – could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  2013 low vegetation issue resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - good establishment of clover, birdsfoot trefoil, American vetch, some grasses, shrubs, aspen and willows throughout the tract.  Emerging spruce and pine trees evident along both side of the right of way.  Intermittent areas exhibiting thin vegetative growth within peat / organic soils – establishment of native species appears to progressing. - Roach is present along ditchline for the duration of the tract, remaining consistent / uniform throughout, with suitable cross drains implemented to accommodate appropriate migration of runoff. Sept 20, 2016 - KP 14+650 - Perennial sow thistle controlled through herbicide application.  Issue resolved.","July 17, 2017 - Treed bog on ROW from KP 15+350 to 15+490 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows with sporadic aspen and black spruce emerging. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated conditions with as a result of an elevated water table. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
SE 33-96-9 W6,Low Vegetation Establishment,Not assessed – could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. 2013 low vegetation issue resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - good establishment of clover, birdsfoot trefoil, American vetch, some grasses, shrubs, aspen and willows throughout the tract.  Emerging spruce and pine trees evident along both side of the right of way.  Intermittent areas exhibiting thin vegetative growth within peat / organic soils – establishment of native species appears to progressing. - Roach is present along ditchline for the duration of the tract, remaining consistent / uniform throughout, with suitable cross drains implemented to accommodate appropriate migration of runoff. - KP 16+160 – Perennial sow thistle observed, recommend weed control. July 13, 2016 – KP 16+160 - Herbicide application conducted to control perennial sow thistle.  Issue resolved. July 26, 2016 – KP 15+520, 16+160 and 16+470 - Herbicide application conducted to control perennial sow thistle.  Issue resolved August 23, 2016 - Effective control of noxious weeds observed.","September 29, 2017 – KP 16+180 – Herbicide application conducted to control Canada thistle.  Issue resolved.",,,
,Treed Bog,,,"July 4, 2016 - - Good establishment of vegetation within wetland location, including cattails in lower areas.  Wetlands appear to be meeting adequate function consistent with pre-construction conditions.","July 17, 2017 - Treed bog on ROW from KP 15+620 to 15+800 appears to be at full functionality. Wetland elevated slightly from KP 15+760 to 15+800 resulting in different vegetation composition.  - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows, spruce, Labrador Tea and mosses. Upslope area exhibiting high density of willow and buck brush. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated conditions with as a result of an elevated water table. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
,Shrubby Swamp,,,"July 4, 2016 - - Good establishment of vegetation within wetland location, including cattails in lower areas.  Wetlands appear to be meeting adequate function consistent with pre-construction conditions.","July 17, 2017 - Shrubby swamp on ROW from KP 15+800 to 16+230 appears to be at full functionality.  - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. - Trench crown slightly settled in wetland due to high moisture conditions but remains functional with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content in surface layer. Mottling occurring in substrate sitting above water table level. - Wetland exhibiting fully saturated conditions due to surface-level water table. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
,Treed Bog,,,"July 4, 2016 - - Good establishment of vegetation within wetland location, including cattails in lower areas.  Wetlands appear to be meeting adequate function consistent with pre-construction conditions.","July 17, 2017 - Treed bog on ROW from KP 16+230 to 16+570 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Vegetation composition changes at KP 16+300 to 16+570 due to water table elevation. Dominant vegetation of wetland consisting of herbaceous graminoids, buck brush and willows with higher density of buck brush and willows in portion of wetland with higher water table level. Area of higher elevation exhibiting Labrador Tea, Black Spruce and mosses. - No noxious weeds were observed in tract. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm in elevated portion; mottling occurring. Lower-lying area of wetland exhibiting high organic content in surface layer of substrate. - Wetland exhibiting semi-saturated conditions in area of higher elevation and fully saturated condition in area of lower elevation. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
SW 33-96-9 W6,Shrubby Swamp,Not assessed - could not access,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Excellent establishment of grasses, shrubs and willows throughout this tract.  Wetland extends throughout entire tract - appears to be meeting adequate function consistent with pre-construction conditions.  Drainages are well vegetated; considerable flow across and along right of way.   - KP 16+480 – Perennial sow thistle observed, recommend weed control. - Minimal roach is present along ditchline for the duration of the tract; suitable cross drains implemented to accommodate appropriate migration of wetland flow. July 13, 2016 – KP 16+480 - Herbicide application conducted to control perennial sow thistle.  Issue resolved. August 23, 2016 - Effective control of noxious weeds observed.","July 17, 2017 - Shrubby swamp on ROW from KP 16+570 to 17+400 appears to be at full functionality. Wetland elevates slightly at KP 17+300 to 17+400 resulting in higher density of shrubs. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and buck brush. Hydrophytic vegetation present in wetland. - Trench crown has settled throughout wetland due to elevated water table but hydrology has been maintained.  - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content observed in surface layer. - Wetland exhibiting fully saturated conditions due to surface-level water table. Beaver activity to the north resulting in areas of ponded water throughout wetland. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed. September 29, 2017 - No noxious weeds were observed.",,,
SE 32-96-9 W6,Moderate Vegetation Establishment,"The ROW was well vegetated (2013 moderate vegetation issue is resolved). The shrubby swamp areas had standing water throughout the ROW. The vegetation included sedges, reed grass, dwarf birch and willows. The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Excellent establishment of grasses, shrubs and willows throughout this tract.  Wetland extends throughout entire tract - appears to be meeting adequate function consistent with pre-construction conditions. - Minimal roach is present along ditchline for the duration of the tract; suitable cross drains implemented to accommodate appropriate migration of wetland flow. - KP 17+300 – Perennial sow thistle observed, recommend weed control. July 14, 2016 – KP 17+300 - Herbicide application conducted to control perennial sow thistle.  Issue resolved. August 23, 2016 - Effective control of noxious weeds observed.","September 29, 2017 - No noxious weeds were observed.",,,
SE 32-96-9 W6,Treed Fen,"The ROW was well vegetated (2013 moderate vegetation issue is resolved). The shrubby swamp areas had standing water throughout the ROW. The vegetation included sedges, reed grass, dwarf birch and willows. The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 4, 2016 - Excellent establishment of grasses, shrubs and willows throughout this tract.  Wetland extends throughout entire tract - appears to be meeting adequate function consistent with pre-construction conditions. - Minimal roach is present along ditchline for the duration of the tract; suitable cross drains implemented to accommodate appropriate migration of wetland flow. - KP 17+300 – Perennial sow thistle observed, recommend weed control. July 14, 2016 – KP 17+300 - Herbicide application conducted to control perennial sow thistle.  Issue resolved. August 23, 2016 - Effective control of noxious weeds observed.","July 17, 2017 - Treed fen on ROW from KP 17+400 to 17+710 appears to be at full functionality.  - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, buck brush, Labrador Tea, mosses. Black spruce identified emerging throughout wetland. - Trench crown present in wetland with sufficient breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in wetland exceeding 40cm in depth; mottling occurring in substrate. - Wetland exhibiting semi-saturated conditions due to an elevated water table. - Wetland exhibiting good potential for wildlife; amphibians observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
NE 29-96-9 W6,Moderate Vegetation Establishment,,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW","July 5, 2016 - Good establishment of grasses, shrubs and willows throughout this tract.  Wetland extends throughout entire tract - appears to be meeting adequate function","September 29, 2017 - No noxious weeds were observed.",,,
,Shrubby Fen,,"control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",consistent with pre-construction conditions. - Emerging evergreens were identified along both sides of the right of way - Minimal roach is present along ditchline for the duration of the tract; suitable cross drains implemented to accommodate appropriate migration of wetland flow.,"July 17, 2017 - Shrubby fen on ROW from KP 17+710 to 18+170 appears to be at full functionality. - Straightened out marker post at KP 17+800.  Issue resolved - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Hydrophytic species present in wetland. - Trench crown present in wetland but has slightly settled due to high saturation. Hydrology maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content in substrate. - Wetland exhibiting fully saturated conditions due to elevated water table. Surface water present throughout wetland. - Wetland exhibiting good potential for wildlife; amphibians and birds observed using wetland as habitat.  - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
