Alignment Sheet,Legal Location (WPM),Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
71,NW 36-8-24,1005.0,4069,Vegetation - Rare Plants,"Sand bluestem, yellow Indian grass: Installed geotextile in bar ditch under subsoil ramp; extended ramp to end of population; salvaged and replaced upper topsoil at road bore area.",Survival success of disturbed populations.,Some plants found.,Resolved,None.,,,
71,E1/2 36-8-24 to SW 31-8-23,1005.7 to 1007.5,4069.01 4070 4071,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,SE 31-8-23,1007.5 to 1008.4,4072,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,SE 31-8-23,1007.5,4071,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of barnyard grass, false ragweed, Canada fleabane, foxtail barley, field dock and green foxtail on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
71,SW 32-8-23,1008.4 to 1009.2,4073,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,SW 32-8-23,1008.4 to 1009.2,4073,Vegetation - Weeds,Compressed air/shovel cleaning of equipment prior to entering Oak Sand Hills.,Potential for weed introduction and spread.,"Moderate density of Russian thistle, false ragweed, spear-leaved goosefoot and green foxtail on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
71,SE 32-8-23,1009.2 to 1010.0,4074,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
71,SE 32-8-23,1009.2 to 1010.0,4074,Vegetation - Weeds,--,--,"Moderate density of Russian thistle, false ragweed, spear-leaved goosefoot and redroot pigweed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
71,SW 33-8-23,1010.0 to 1010.8,4075,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
71,SW 33-8-23,1010.0 to 1010.8,4075,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
71,SW 33-8-23,1010.0 to 1010.8,4075,Vegetation - Weeds,--,--,"Moderate density of Russian thistle, wild buckwheat, spear-leaved goosefoot, and green foxtail observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
71,SE 33-8-23,1010.8 to 1011.5,4075.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
71,SE 33-8-23,1010.8 to 1011.5,4075.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
71,NE 28-8-23,1011.5 to 1011.6,Crown,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
71,NE 28-8-23,1011.5,Crown,Vegetation - Rare Plants,Schweinitz’s flatsedge and sand bluestem: Salvaged upper 6-8 cm of topsoil separately for the length of the population in 2008. Replaced the lower topsoil and then the upper topsoil during clean-up in 2009.,Survival success of disturbed populations.,No plants found on right-of-way. Plants found off right-of-way.,Unresolved,Monitor in 2011.,,,
72,NW 27-8-23,1011.6 to 1012.4,4076,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NE 27 to NW 26-8-23,1012.9 to 1013.6,4076.01,Vegetation - Reclamation,Tall grass prairie native seed harvested from local source in 2008 and seeded during final clean-up in 2009. Area fenced off to prevent cattle grazing.,Success of vegetation establishment.,Poor vegetation establishment on right-of-way.,Unresolved,Reseed and monitor grass growth in 2011.,,,
72,NE 27 to NW 26-8-23,1012.4 to 1014.2,4076.01,Soils - Erosion,Straw crimped. (Alternating straw/ native crimping from KP 1012.5 to KP 1013.3).,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
72,NE 27-8-23,1013.2,4076.01,Vegetation - Rare Plant,Nuttall's sunflower: Salvaged upper 6-8 cm of topsoil separately for the length of the population in 2008. Replaced the lower topsoil then the upper topsoil during clean up in 2009.,Survival success of disturbed populations.,No plants observed.,Unresolved,Monitor in 2011.,,,
72,NE 27-8-23,1013.3,4076.01,Vegetation - Rare Plant,Yellow star grass: Salvaged upper topsoil separately for the length of the population in 2008. Replaced topsoil during final clean-up.,Survival success of disturbed populations.,No plants found on right-of-way. Viable population located 100 m south of road.,Unresolved,Monitor in 2011.,,,
72,NW 26-8-23,1014.1,4077,Vegetation - Weeds,Full wash station for cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
72,NE 26-8-23,1014.2 to 1015.0,4078,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NW 25-8-23,1015.0 to 1015.8,4079,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NW 25-8-23,1015.13 to 1015.20,4079,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (48%),Vegetation walked down prior to geotextile and ramp Installation. Silt fence installed. Ramp removed and wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (71%).,Resolved,None.,,,
72,NE 25-8-23,1015.8 to 1016.6,4080,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NE 25-8-23,1015.8,4080,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
72,W1/2 30-8-22,1016.6 to 1017.5,4081,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SE 30-8-22,1017.5 to 1018.4,4083,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SE 30-8-22,1018.4,4083,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
72,SW 29-8-22,1018.4 to 1019.2,4084,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SE 29-8-22,1019.2 to 1020.0,4085,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SW 28-8-22,1020.0 to 1020.5,4086,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SW 28-8-22,1020.5,4086,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
72,NW 21-8-22,1020.5 to 1020.8,4087,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NE 21-8-22,1020.8 to 1021.7,4088,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NE 21-8-22,1021.7,4088,Vegetation - Rare Plant,Large-bract vervain: Population located north of the construction right-of-way. Did not fence population.,Confirm avoidance.,4 plants observed at original location.,Resolved,None.,,,
72,NW 22-8-22,1021.7 to 1022.5,4089,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NW 22-8-22,1022.5,4089,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
72,NE 22-8-22,1022.5 to 1023.4,4090,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,NE 22-8-22,1022.5 to 1023.4,4090,Vegetation - Weeds,--,--,"Moderate density of false ragweed, lamb’s-quarters, field dock, flixweed and foxtail barley on right-of-way observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
72,NW 23-8-22,1023.4 to 1024,4091,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SE 23-8-22,1024.3 to 1025.1,4093,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
72,SW 24-8-22,1025.1 to 1025.9,4094,Vegetation - Weeds,--,--,"Moderate density of lamb’s-quarters, prostrate pigweed, spear-leaved goosefoot and foxtail barley observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
72,SW 24-8-22,1025.9,4094,Vegetation - Weeds,Full wash station for cleaning of equipment prior to entering seed farm at landowner’s request.,Potential for weed introduction and spread.,"Moderate density of lamb’s-quarters, prostrate pigweed, spear-leaved goosefoot and foxtail barley on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
73,SE 24-8-22,1025.9 to 1026.7,4095,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
73,SE 24-8-22,1025.9 to 1026.7,4095,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
73,SE 24-8-22,1025.9 to 1026.7,4095,Vegetation - Weeds,--,--,"Moderate density of redroot pigweed, stinkweed, spear-leaved goosefoot and green foxtail observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
73,S1/2 19-8-21,1026.75 to 1027.7,4095.01,Vegetation - Weeds,--,--,"Moderate density of creeping thistle, false ragweed, Russian thistle, green smartweed, kochia, redroot pigweed and perennial sow-thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
73,S1/2 19-8-21,1027.5 to 1027.7,4095.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of creeping thistle, false ragweed, Russian thistle, green smartweed, kochia, redroot pigweed and perennial sow-thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
73,NW 17-8-21,1028.4 to 1029.3,4097,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,Fallow crop land not able to be assessed. Potential contouring issues observed on right-of-way during ground reconnaissance.,Unresolved,Assess in 2011.,,,
73,NE 17-8-21,1029.3 to 1030.1,4097.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
73,NE 17-8-21,1030.0,4097.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
73,NW 16-8-21,1030.1 to 1031.0,4098,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
73,NW 16-8-21,1030.7 to 1031.0,4098,Vegetation - Weeds,--,--,"High density of false ragweed, field dock, spear-leaved goosefoot, common peppergrass and perennial sow-thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
73,N1/2 16-8-21,1030.96 to 1031.16,4098 4098.01,Wetland Class Overall: III Wetland Class on right-of-way: N/A 2008 Health: Unhealthy (46%),Vegetation harvested by landowner prior to geotextile and ramp Installation. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (60%).,Resolved,None.,,,
73,NE 16-8-21,1031.0 to 1031.7,4098.01 4098.02,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
73,NE 16-8-21,1031.0 to 1031.7,4098.01 4098.02,Vegetation - Weeds,--,--,"High density of lamb’s-quarters, spear-leaved goosefoot, dandelion, perennial sow-thistle, green smartweed and barnyard grass observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
73,SE 16-8-21,1031.7,4099,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,"High density of lamb’s-quarters, spear-leaved goosefoot, dandelion, perennial sow-thistle, green smartweed and barnyard grass on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
73,S1/2 15-8-21,1032.25 to 1033.5,4100 4101 4101.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
73,SE 14-8-21,1034.4 to 1035.2,4103,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for kochia.,Potential for weed introduction and spread.,Fallow crop land not able to be assessed. Potential contouring issues observed on right-of-way during ground reconnaissance.,Unresolved,Assess in 2011.,,,
74,SE 9-8-20,1041.9,4112,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for kochia and cleavers.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
74,NE 3-8-20,1043.5,4114.99,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of creeping thistle, redroot pigweed, shepherd’s-purse, lamb’s-quarters and perennial sow-thistle on right-of-way. Weeds are concentrated to road access.",Unresolved,Follow weed control plan and monitor in 2011.,,,
74,NE 2-8-20,1044.57 to 1044.63,4116,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (57%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (33%).,Resolved,None.,,,
74,NE 2-8-20,1045.1 to 1045.3,4116,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for cleavers.,Potential for weed introduction and spread.,"Moderate density of kochia, redroot pigweed, white cockle, creeping thistle and wild oats on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
74,SW 5-8-19,1048.7 to 1049.5,4122,Land and Resource Use - Irrigated Land,Avoided peak irrigation season. Trench backfilled in lifts.,Potential for soil admixing.,No issues observed on right-of-way.,Resolved,None.,,,
74,SE 5-8-19,1049.5 to 1050.2,4122.01,Land and Resource Use - Irrigated Land,Avoided peak irrigation season. Trench backfilled in lifts.,Potential for soil admixing.,No issues observed on right-of-way.,Resolved,None.,,,
74,SE 5-8-19,1050.18 to 1050.21,4122.01,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Healthy with Problems (65%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (71%).,Resolved,None.,,,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Vegetation - Weeds,Water and bleach cleaning of equipment prior to entering Organic farm.,Potential for weed introduction and spread.,"Moderate density creeping thistle, common burdock, perennial sow-thistle, black medick and lamb’s-quarters on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,"Straw crimping is thick in several areas, impeding vegetation establishment, but is successful in limiting erosion.",Unresolved,Reseed and monitor grass growth in 2011.,,,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Soils - Admixing,Landowner is concerned about admixing on east end of trench line.,Potential admixing and crop growth issues.,No issues observed on right-of-way.,Resolved,None.,,,
74,SW 4-8-19,1050.3 to LC 0.2,4123,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
74,SW 4-8-19,1050.3 to LC 0.2,4123,Land and Resource Use - Organic Farm Vegetation - Weeds,Equipment cleaned prior to entry. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
74,NW 33-7-19,LC 0.2 to LC 1.0,4123.02,Soils - Erosion Soils - Compaction Land and Resource Use - Organic Farm,Straw crimped. Equipment cleaned prior to entry. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds.,Potential for erosion until vegetation is established. Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
74,NE 33-7-19,LC 1.0 to LC 1.8,4124,Soils - Erosion Land and Resource Use - Organic Farm Vegetation - Weeds,Straw crimped. Equipment cleaned prior to entry. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds.,Potential for erosion until vegetation is established. Potential for weed introduction and spread.,"Moderate density of green smartweed, creeping thistle, false ragweed, leafy spurge, common plantain and field dock on right-of-way. No soil erosion issues observed on right-of-way.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,,
74,NE 33-7-19,LC 1.8,4124,Vegetation - Weeds,Compressed air/shovel cleaning of equipment upon exit of organic farm.,Potential for weed introduction and spread.,"Moderate density of green smartweed, creeping thistle, false ragweed, leafy spurge, common plantain and field dock on right-of-way.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,,
74,NW 34-7-19,LC 1.8 to LC.2.9,4125,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
74,NW 34-7-19,LC 1.8 to LC.2.9,4125,Vegetation - Weeds,--,--,"Moderate density of perennial sow-thistle, field dock, spear-leaved goosefoot, false ragweed, Russian thistle, stinkweed and white cockle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
74,NW 34-7-19,LC 2.54 to LC 2.58,4125,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Unhealthy (28%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes. Brush salvaged during pipeline construction was placed around the edges of the wetland to re-establish habitat.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (79%).,Resolved,None.,,,
74,NW 34-7-19,LC 2.65 to LC 2.74,4125,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (69%),Vegetation walked down prior to geotextile and ramp Installation. Only trench line was stripped within the wetland. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (38%). Weeds: creeping thistle, perennial sow thistle. Undesirable species dominant on right-of-way. Riparian: woody vegetation removed. Landowner has cultivated wetland margins. Heavily disturbed by cattle.",Unresolved,Monitor in 2011.,,,
74,NE 34-7-19,LC 2.9 to 1053.7,4126,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
74,NE 34-7-19,LC 2.9 to 1053.7,4126,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for burdock; full wash station for equipment cleaning set up prior to entering cultivated field.,Potential for weed introduction and spread.,"Moderate density of lamb’s-quarters, false ragweed, field dock, green foxtail, creeping thistle and volunteer canola on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
74,NW 35-7-19,1053.91 to 1053.99,4127 4127.01,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (63%),Vegetation walked down prior to geotextile and ramp Installation. Only trench line was stripped within the wetland. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (65%).,Resolved,None.,,,
74,NW 35-7-19,1053.7 to 1054.5,4127 4127.01 4127.99,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
74,NW 35-7-19,1053.7 to 1054.5,4127 4127.01 4127.99,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
74,NW 35-7-19,1053.7 to 1054.5,4127 4127.01 4127.99,Vegetation - Weeds,--,--,"High density of dog mustard, false ragweed, foxtail barley, spear-leaved goosefoot, perennial sow-thistle, field dock, redroot pigweed and wild oats observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
74,NE 35-7-19,1054.5 to 1055.4,4127.02,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
74,NE 35-7-19,1054.5 to 1055.4,4127.02,Vegetation - Weeds,--,--,"Moderate density of perennial sow-thistle, wild oats, spear-leaved goosefoot, field dock, redroot pigweed, Russian thistle, white cockle and dandelion observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
75,SW 36-7-19,1055.8 to 1056.3,4129,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for burdock.,Potential for weed introduction and spread.,"Moderate density of perennial sow-thistle, common burdock, green smartweed, field dock and dandelion on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
75,SW 36-7-19,1055.8 to 1056.3,4129,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
75,SE 36-7-19,1056.3 to 1057.0,4129 4130,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,Hay land recently tilled on right-of-way.,Unresolved,Assess in 2011.,,,
75,SE 31-7-18,1057.9 to 1058.7,4132,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
75,SE 31-7-18,1058.16 to 1058.70,4132,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (51%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (70%).,Resolved,None.,,,
75,SE 31-7-18,1058.60 to 1058.70,4132,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy (93%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Silt fence installed. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (72%). Bare ground on right-of-way. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated right-of-way.,Unresolved,Monitor in 2011.,,,
75,SE 32-7-18,1059.9 to 1060.4,4134,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for kochia.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
75,NW 28-7-18,1060.5 to 1061.2,4135 4136 4136.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
75,NE 27-7-18,1063.6,4139 and 4139.01,Vegetation - Weeds,Compressed air cleaning of equipment for cleavers.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
75,NW 26-7-18,1063.7 to 1063.95,4140 4140.01,Vegetation - Weeds,Water and bleach cleaning of equipment prior to entering organic farm.,Potential for weed introduction and spread.,"Moderate density of redroot pigweed, wild buckwheat, perennial sow-thistle, creeping thistle, stinkweed, green smartweed and spear-leaved goosefoot on right-of-way.",Unresolved,Follow non-chemical weed control and monitor in 2011.,,,
75,N1/2 26-7-18,1064.1 to 1065.4,4141 4142,Vegetation - Weeds Land and Resource Use - Organic Farm,Equipment cleaned prior to entry. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, creeping thistle, green smartweed and lamb’s-quarters on right-of-way.",Unresolved,Follow non-chemical weed control and monitor in 2011.,,,
75,NE 26-7-18,1064.6 to 1065.4,4142,Vegetation - Weeds Land and Resource Use - Organic Farm,Compressed air/shovel cleaning of equipment upon exit of Organic farm.,Potential for weed introduction and spread.,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, creeping thistle, green smartweed and lamb’s-quarters on right-of-way.",Unresolved,Follow non-chemical weed control and monitor in 2011.,,,
75,SW 25-7-18,1065.8,4143,BSoils - Water Erosion Water Quality and Quantity Fish and Fish Habitat lack Creek,Appropriate vehicle crossing installed. Isolation method used. Fish salvage conducted. Reshaped and compacted bed and banks. Silt fence and straw mats installed. Seeded banks.,Potential for erosion until vegetation is established and for alteration of drainage patterns.,Poor vegetation establishment on west bank and silt fences damaged.,Unresolved,Reseed west bank and repair silt fencing in 2010. Monitor in 2011.,,,
75,SW 25-7-18,1065.85 to 1066.2,4143,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,"Moderate density of false ragweed, spear-leaved goosefoot, foxtail barley and white cockle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
75,SE 30-7-17,1068.0 and 1068.7,4144 4145,Soils - Water Erosion Water Quality and Quantity - Field Drains,Silt fence installed at field drains.,Potential for erosion until vegetation is established and for alteration of surface water drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,,
75,SE 30-7-17,1068.0 to 1068.7,4144 4145,Vegetation - Weeds,--,--,"Moderate density of lamb’s-quarters, spear-leaved goosefoot, false ragweed and Russian thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
75,SW 29-7-17,1068.7 to 1069.6,4145.01 4146,Vegetation - Weeds,--,--,"Moderate density of spear-leaved goosefoot, wild buckwheat, kochia, redroot pigweed, white cockle, stinkweed and green smartweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
75,SW 29-7-17,1069.2,4145.01,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,,
76,NW 22-7-17,1072.2,4150,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
76,NW 22-7-17,1072.2 to 1072.5,4150,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,,
76,N1/2 22 to  SE 22-7-17,1072.5 to 1074.0,4150 4151 4152 4153 4154 4155,STopography Soils - Wind and Water Erosion  Water Quality and Quantity Fish and Fish Habitat ouris River,"Vehicles and equipment used existing bridges to access site. Trenchless (horizontal directional drill [HDD]) method used. Water monitor present during HDD. Replaced slope in lifts, installed diversion berms where necessary. Straw mats, silt fence and stenlogs installed. Straw crimped. Seeded banks. Final clean-up complete.",Potential for erosion until vegetation is established.,Minor slumping on west bank.,Unresolved,Repair slumping on west bank. Monitor in 2011.,,,
76,NW 22-7-17,1072.8,4150,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,"Moderate density of redroot pigweed, common burdock, lamb’s-quarters, common tansy, leafy spurge, green foxtail and false ragweed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
