Legal Land Description (W6M),Land Use,Issue/Condition,KP,Notes,Recommendation(s),VEC,GIS,Topic
SW 7-106-12,Forested,Erosion,29.70 (Chasm Creek),"Erosion has occurred at the diversion berm located mid/lower slope on the north side of the watercourse causing a break in the diversion berm (Plate 10, Appendix B) in two spots. This was repaired by the EI during the assessment, however, further monitoring should occur to ensure stability of the slope Repairs scheduled for completion in February 2015. The grade will be re-established, erosion controls will be repaired and the slope we be reseeded.",Monitor in 2015.,,,
SW 7-106-12,Shrubby Swamp,None,29.60 to 29.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 6-106-12,Forested,Low/Moderate Vegetation Establishment,30.07 to 30.88,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 6-106-12,Forested,Low Vegetation Establishment,30.60 (unnamed tributary to Chasm Creek),"Low vegetation establishment observed on the north and south sides of the watercourse (Plate 11, Appendix B). Vegetation beginning to establish. No erosion issues observed. Sediment fencing required to remain in place.","Monitor vegetation establishment and slope stability in 2015, reseed if required. Removal of sediment fencing to be reassessed if required.",,,
SW 6-106-12,Open Water Pond,None,30.60 to 30.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 6-106-12,Forested,Low/Moderate Vegetation Establishment,30.88 to 31.71,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 6-106-12,Treed Bog,None,31.10 to 31.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 6-106-12,Treed Bog,None,31.60 to 31.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 31-105-12,Forested,Low/Moderate Vegetation Establishment,31.71 to 32.52,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 31-105-12,Treed Bog,None,32.10 to 32.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 31-105-12 to SW 31-105-12,Treed Fen,None,32.40 to 32.80,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 31-105-12,Forested,Low/Moderate Vegetation Establishment,32.52 to 33.32,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 31-105-12,Forested,Sediment Fencing,33.1 (Unnamed tributary to Beaverskin Creek/Beaver Dam Complex),"High vegetation cover, fencing to be removed as soon as practical.",Scheduled for removal commencing February 2015.,,,
SW 31-105-12 to NW 30-105-12,Mixedwood Treed Swamp,None,33.00 to 33.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 30-105-12,Forested,Low/Moderate Vegetation Establishment,33.32 to 34.13,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 30-105-12,Treed Bog,None,33.80 to 33.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 30-105-12,Forested,Low/Moderate Vegetation Establishment,34.13 to 34.95,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 30-105-12,Open Water Pond,None,34.40 to 34.45,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 30-105-12,Seasonal Emergent Marsh,None,34.70 to 34.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 30-105-12 (cont’d),Forested,Low/Moderate Vegetation Establishment,34.90 (Beaverskin Creek),Low/Moderate vegetation establishment observed on the north and south sides of the watercourse. Vegetation on both slopes of this watercourse is recovering well and was observed to be on an appropriate trajectory. No erosion issues were observed. Sediment fencing required to remain in place.,"Monitor vegetation establishment and slope stability in 2015, reseed if required. Removal of sediment fencing to be reassessed if required",,,
NW 19-105-12,Forested,Low/Moderate Vegetation Establishment,34.95 to 35.76,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 19-105-12,Shrubby Fen,None,35.10 to 35.60,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 19-105-12 to SW 19-105-12,Treed Bog,None,35.60 to 35.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 19-105-12,Forested,Low/Moderate Vegetation Establishment,35.76 to 36.56,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 19-105-12,Shrubby Swamp,None,36.20 to 36.36,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 19-105-12,Open Water Pond,None,36.40 to 36.44,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 18-105-12,Forested,Low/Moderate Vegetation Establishment,36.56 to 37.37,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 18-105-12 (cont’d),Shrubby Fen,None,36.90 to 37.00,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 18-105-12 to SW 18-105-12,Treed Bog,None,37.10 to 37.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 18-105-12,Forested,Low/Moderate Vegetation Establishment,37.37 to 38.19,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 18-105-12,Shrubby Swamp,None,37.70 to 37.79,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 18-105-12 to NW 7-105-12,Shrubby Fen,None,37.90 to 38.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-105-12,Forested,Low/Moderate Vegetation Establishment,38.19 to 39.00,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 7-105-12,Treed Bog,None,38.40 to 38.50,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-105-12 (cont’d),Treed Fen,None,38.50 to 38.65,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-105-12 (cont’d),Treed Fen,None,38.90 to 39.03,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-105-12 (cont’d),Treed Fen,None,39.00 to 39.18,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-105-12 (cont’d),Forested,Low/Moderate Vegetation Establishment,39.00 to 39.80,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 7-105-12 (cont’d),Open Water Pond,None,39.50 to 39.69,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-105-12 (cont’d),Forested,Low Vegetation Establishment,39.60 (unnamed tributary to Beaverskin Creek),Low vegetation establishment was observed on both the north and south sides of this watercourse. No erosion issues observed. Sediment fencing required to remain in place.,"Seed as warranted and monitor vegetation establishment and slope stability in 2015, reseed if required. Removal of sediment fencing to be reassessed if required",,,
NW 6-105-12,Forested,Low/Moderate Vegetation Establishment,39.80 to 40.61,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 6-105-12 (cont’d),Treed Bog,None,39.80 to 40.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 6-105-12 (cont’d),Treed Fen,None,40.20 to 40.51,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 6-105-12,Forested,Sediment Fencing,40.50,"Sediment fencing requires removal, remove as soon as practical.",Scheduled for removal commencing February 2015.,,,
SW 6-105-12,Shrubby Fen,None,40.60 to 40.80,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 6-105-12,Forested,Low/Moderate Vegetation Establishment,40.61 to 41.43,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 6-105-12,Treed Fen,None,40.80 to 40.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 6-105-12 to NW 31-104-12,Broad-leaf Treed Swamp,None,41.10 to 41.60,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 31-104-12,Forested,Low/Moderate Vegetation Establishment,41.43 to 42.24,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 31-104-12,Shrubby Fen,None,41.60 to 41.84,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 31-104-12 to SW 30-104-12,Treed Fen,None,41.90 to 44.20,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 31-104-12,Forested,Low/Moderate Vegetation Establishment,42.24 to 43.04,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 30-104-12,Forested,Low/Moderate Vegetation Establishment,43.04 to 43.85,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 30-104-12,Forested,Low/Moderate Vegetation Establishment,43.85 to 44.67,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 30-104-12 to NW 18-104-12,Treed Bog,None,44.20 to 46.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 19-104-12,Forested,Low/Moderate Vegetation Establishment,44.67 to 45.48,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 19-104-12,Forested,Low/Moderate Vegetation Establishment,45.48 to 46.28,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 19-104-12,Forested,Sediment Fencing,46.0  (Snowfall Creek/Beaver Dam Complex),Sediment fencing in disrepair. Remove as soon as practical.,Scheduled for removal commencing February 2015.,,,
NW 18-104-12,Forested,Low/Moderate Vegetation Establishment,46.28 to 47.09,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 18-104-12 (cont’d),Shrubby Fen,None,46.30 to 46.50,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 18-104-12 (cont’d),Forested,Garbage,46.4,"Garbage located and removed from site during September 5, 2014 survey.",Resolved and successful.,,,
NW 18-104-12 (cont’d),Treed Fen,None,46.80 to 47.10,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 18-104-12,Forested,Low/Moderate Vegetation Establishment,47.09 to 47.91,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 18-104-12,Forested,Garbage,47.8,"Garbage located and removed from site during September 5, 2014 survey.",Resolved and successful.,,,
NW 7-104-12 to SW 7-104-12,Treed Bog,None,47.90 to 49.30,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 7-104-12,Forested,Low/Moderate Vegetation Establishment,47.91 to 48.72,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 7-104-12,Forested,Rare Plant,48.5,"One individual slender-leaved sundew (S3) was observed on July 30, 2014.",Resolved and successful.,,,
NW 7-104-12,Forested,Garbage,48.5,"Garbage was noted to the west of the right-of-way, within trees, at KP 48.5 (2 large pieces of plastic).",Scheduled for clean-up commencing February 2015.,,,
NW 7-104-12,Forested,Garbage,48.5 to 48.75,Old matting was located in 3 locations between KP 48.5 and 48.75 – on Timberwolf right-of-way work,Scheduled for clean-up commencing February 2015.,,,
SW 7-104-12,Forested,Low/Moderate Vegetation Establishment,48.72 to 49.55,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 7-104-12 to NW 6-104-12,Treed Fen,None,49.30 to 49.79,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 6-104-12,Forested,Low/Moderate Vegetation Establishment,49.55 to 49.85,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SE 1-109-10 and  SW 6-109-9,Forested,Moderate Vegetation Establishment,Timberwolf Campsite,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
