Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number(s),Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2011/2012,TERA Observation(s) in 2012,"Repairs to Date (2010, 2011, 2012)",Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
7,NW 11-47-17,88.3,EL4-0173.00,Soils – Subsidence,--,--,Subsidence evident.,--,Repaired in 2012.,Unresolved,Monitor in 2013.,,,KINGMAN LOOP
7,NE 1-47-17,91.9,EL4-0179.00,Vegetation – Weeds,--,--,Scentless chamomile and Canada thistle observed in ditch.,--,Weeds hand-picked and sprayed in July 2012.,Unresolved,Monitor in 2013.,,,KINGMAN LOOP
7,NW 6-47-16,91.9,EL4-0179.00,Vegetation - Weeds,--,--,Scentless chamomile observed by landowner.,Weed density and composition equal on and off construction right-of-way. No scentless chamomile observed.,Weeds controlled in July 2012.,Resolved,None.,,,KINGMAN LOOP
7,SW 5-47-16,93.8,EL4-0182.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation establishment evident.,No vegetation establishment issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,,KINGMAN LOOP
7,NE 31-46-16,94.0,EL4-0184.00,Vegetation - Weeds,Moderate density of perennial sow-thistle on construction right-of-way.,Moderate density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,No weeds observed on the right-of-way.,Access to property not granted.,--,Unresolved,Monitor in 2013.,,,KINGMAN LOOP
7,SW 32-46-16,95.4,EL4-0186.00,Soils - Compaction,Severe compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Trench subsidence evident (KP 95.4); slight compaction.,"Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,KINGMAN LOOP
7,SW 32-46-16,95.4,EL4-0186.00,Soils - Subsidence,--,--,Trench subsidence evident (KP 95.4); slight compaction.,Minor trench subsidence (approximately 30 m long) observed on construction right-of-way during ground reconnaissance.,Subsidence repaired summer 2012.,Unresolved,"Repair subsidence, if warranted and monitor in 2013.",,,KINGMAN LOOP
9,NW 35-45-15,112.47 to 112.8,EL4-0217.02,Vegetation – Establishment,--,--,2011: Poor vegetation growth on the right-of-way. 2012: Some patches of poor growth are present on the right-of-way but these are consistent with the natural tendencies of the area.,--,Reseeded summer 2011.,Resolved,None.,,,STROME LOOP
9,NW 36-45-15,114.15,EL4-0219.00,Vegetation - Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2011.,Resolved,None.,,,STROME LOOP
9,NW 36-45-15,114.5,EL4-0219.00,Vegetation - Weeds,"Moderate density of scentless chamomile, stinkweed and shepherd's-purse on construction right-of-way.",Moderate density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. No scentless chamomile observed.,Weeds sprayed in summer 2011.,Resolved,None.,,,STROME LOOP
9,SW 31-45-14,116.1,EL4-0223.00,Vegetation - Weeds,--,Moderate density of scentless chamomile and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. No scentless chamomile or perennial sow-thistle observed.,Weeds sprayed in summer 2011.,Resolved,None.,,,STROME LOOP
9,NW 21-45-14,120.6,EL4-0229.00,Vegetation - Weeds,"High density of scentless chamomile, perennial sow-thistle, stinkweed, Canada thistle and wild oats on construction right-of-way.","Moderate density of scentless chamomile, perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,STROME LOOP
9,SW 22-45-14,121.6,EL4-0232.00,Vegetation - Weeds,"Moderate density of Canada thistle, scentless chamomile, common tansy and wild oats on construction right-of-way.",High density of scentless chamomile and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way. No scentless chamomile or perennial sow-thistle observed.,Weeds sprayed in 2011. Weeds hand-picked and sprayed in July 2012.,Resolved,None.,,,STROME LOOP
9 and 10,NW 14-45-14,124.1,EL4-0236.00,Vegetation - Weeds,"Moderate density of Canada thistle, perennial sow-thistle and stinkweed on construction right-of-way.","Moderate density of Canada thistle, perennial sow-thistle and stinkweed observed on construction right-of-way during ground reconnaissance.",--,"Moderate density of scentless chamomile, Canada thistle, perennial sow-thistle and stinkweed observed along fence on construction right-of-way.",Weeds sprayed in August 2012.,Unresolved,Monitor in 2013.,,,STROME LOOP
10,SW 14-45-14,124.1,EL4-0237.00,Vegetation - Weeds,"Moderate to high density of scentless chamomile, narrow-leaved hawk's-beard, lamb's-quarters, wild buckwheat and foxtail barley on construction right-of-way.",Moderate density of narrow-leaved hawk’s-beard and scentless chamomile observed on construction right-of-way during ground reconnaissance.,--,"Moderate density of scentless chamomile, Canada thistle, perennial sow-thistle and stinkweed observed along fence on construction right-of-way.",Weeds sprayed in August 2012.,Unresolved,Monitor in 2013.,,,STROME LOOP
10,NW 12-45-14,125.9 to 126.0,EL4-0240.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,STROME LOOP
10,NW 12-45-14,126.2 to 126.25,EL4-0240.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,STROME LOOP
10,NE 12-45-14,126.7,EL4-0241.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,STROME LOOP
10,SW-7-45-13,127.32 to 127. 55,EL4-0243.00,Soils - Compaction,Severe compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,No evidence of compaction.,No compaction observed on construction right-of-way during ground reconnaissance. No crop growth issues observed.,Grading and discing completed in fall 2011.,Resolved,None.,,,STROME LOOP
10,SW 35-44-13,135.21,EL4-0255.00,Soils - Compaction,--,--,Severe rutting observed caused by landowner (as per MGM land agent).,Severe rutting (10 m x 0.50 m x 0.30 m) observed on construction right-of-way during ground reconnaissance.,Rutting repaired in 2012.,Unresolved,Monitor in 2013.,,,STROME LOOP
10,NW 26-44-13,135.3,EL4-0256.00,Vegetation - Weeds,Moderate density of Canada thistle and yellow sweet-clover on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Canada thistle observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,STROME LOOP
10,NW 26-44-13,135.59,EL4-0256.00,Soils – Erosion Vegetation – Establishment Tributary to Iron Creek,Minor erosion from water migrating across construction right-of-way resulting in poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Minor erosion from water migrating across construction right-of-way resulting in poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No erosion noted anywhere throughout the quarter-section.,Integrity dig/repair work in progress. Could not access Iron Creek area.,Reseeded east and west sides of wetland fall 2011.,Resolved,None.,,,STROME LOOP
10,SW 25-44-13,136.8 to 137.2,EL4-0259.00,Vegetation - Weeds,--,Moderate density of Canada thistle on construction right-of-way reported by landowner.,Weeds observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in fall 2011 and 2012.,Resolved,None.,,,STROME LOOP
10,SE 25-44-13,137.7 to 138.3,EL4-0260.00,Soils - Subsidence,Water ponding on construction right-of-way.,Moderate subsidence observed on construction right-of-way at KP 138.3 during ground reconnaissance.,,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
11,NE 24-44-13,138.46,EL4-0261.00,Vegetation - Weeds,--,--,Canada thistle present on the right-of-way.,Moderate density of Canada thistles observed on construction right-of-way during ground reconnaissance.,Weeds spot-sprayed in August 2012.,Unresolved,Monitor in 2013.,,,STROME LOOP
11,NE 24-44-13,138.5 to 138.9,EL4-0261.00,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way.,Vegetation composition and density equal to off construction right-of-way.,Area broadcast seeded July 2011.,Resolved,None.,,,STROME LOOP
11,NW 19-44-12,138.9 to 139.2,EL4-0262.00,Vegetation - Establishment,--,--,Poor vegetation establishment observed. Remedial seeding required,Vegetation composition and density equal to off construction right-of-way.,Broadcast seeded July 2011. Reseeded again fall 2011. Weeds spot-sprayed in August 2012.,Resolved,None.,,,STROME LOOP
11,SW 19-44-12,139.35 to 139.5,EL4-0263.00,Vegetation - Weeds,--,--,Canada thistle present on the right-of-way.,High densities of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds spot-sprayed in August 2012.,Unresolved,Monitor in 2013.,,,STROME LOOP
11,SE 19-44-12,140.6,EL4-0264.00,Vegetation – Establishment Drainage  Tributary to Iron Creek,Issue reported by construction contractor.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Comparable (good) vegetation establishment observed on and off right-of-way.,Could not access due to wet ground conditions (wetland/marsh).,Reseeded in summer 2011.,Resolved,None.,,,STROME LOOP
11,SE 19-44-12,141.0,EL4-0264.00,Vegetation – Weeds,--,--,Canada thistle presence noted during a prescreening process for an integrity dig.,--,Weeds sprayed in July 2012.,Unresolved,Monitor in 2013.,,,STROME LOOP
11,SW 16-44-12,142.9 to 143.6,EL4-0270.00,Vegetation - Weeds,High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in July 2012.,Resolved,None.,,,STROME LOOP
11,SW 6-44-11,150.3,EL4-0282.00,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
11,NE 31-43-11,152.0,EL4-0284.00,Soils - Admixing,Minor admixing on construction right-of-way.,Moderate admixing observed on construction right-of-way during ground reconnaissance,--,"Admixing issue no longer affecting crop growth. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Resolved,None.,,,STROME LOOP
12,NW 28-43-11,154.3 to 155.0,EL4-0289.00,Soils – Contouring,--,--,2011: Rough pasture. 2012: Good vegetation establishment. Very uniform with surrounding field.,--,"Area disced, rolled and seeded in 2011.",Resolved,None.,,,STROME LOOP
12,SE 27-43-11,157.0,EL4-0293.00,Vegetation - Weeds,"Moderate density of yellow sweet-clover, Canada thistle and flixweed on construction right-of-way.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resed olv,None.,,,STROME LOOP
12,SE 23-43-11,159.3,EL4-0297.00,Vegetation - Weeds,Moderate density of perennial sow-thistle and Canada thistle on construction right-of-way.,Moderate density of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,olvResed,None.,,,STROME LOOP
12,SE 23-43-11,159.8,EL4-0297.00,Vegetation - Weeds,Moderate density of perennial sow-thistle and Canada thistle on construction right-of-way.,"Moderate density of perennial sow-thistle, Canada thistle and flixweed observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,STROME LOOP
