Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
B-023-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
A-023-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
A-023-J/094-I-11 to C-012-J/094-I-11,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation establishing  - Wetland functional, issue resolved.",,,
D-013-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
C-012-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle. - KP 10+300 – removed skid.",,,
D-012-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
C-011-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
C 011 J/094 I 11 to  D 011 J/094 I 11,Treed Fen,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge and willow species continue to re-establish.  - Willow and poplar saplings emerging with moderate density.  - Grass species and density comparable to adjacent land. - Disturbance species have been out competed adjacent to the trench crown.   - Wetland functional, issue resolved.",,,
D-011-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
C-020-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional herbicide application conducted at KP 11+850 to control perennial sow thistle.",,,
C-020-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging with moderate density.  - Grass species and density comparable to adjacent land. - Wetland functional, issue resolved.",,,
C-020-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge and willow species continue to re-establish.  - Spruce saplings emerging.  - Grass species and density comparable to adjacent land. - Wetland functional, issue resolved.",,,
C-020-I/094-I-11 to D-020-I/094-I-11,Treed Fen,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging.  - Grass species and density comparable to adjacent land. - Wetland functional, issue resolved.",,,
D-020-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
D-020-I/094-I-11,Treed Fen,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation establishing. - Ponded water present. - Wetland functional, issue resolved.",,,
D-020-I/094-I-11,Poor Vegetation Establishment/ Ditch Plug (11+870),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
C-019-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional intermittent herbicide application conducted from KP 12+050 to 12+150 to control perennial sow thistle. - KP 12+100 - removed skid.",,,
C-019-I/094-I-11 to D-019-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation establishing.  - Wetland functional, issue resolved.",,,
D-019-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional intermittent herbicide application conducted from KP 12+050 to 12+150 to control perennial sow thistle.",,,
D-019-I/094-I-11 to C-018-I/094-I-11,Treed Fen,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation establishing.  - Wetland functional, issue resolved.",,,
C-018-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW.  Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional intermittent herbicide application conducted from KP 12+900 to 13+100 to control perennial sow thistle.",,,
D-018-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW.  Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional intermittent herbicide application conducted from KP 12+900 to 13+100 to control perennial sow thistle.",,,
A-018-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW.  Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional intermittent herbicide application conducted from KP 12+900 to 13+100 to control perennial sow thistle.",,,
A-018-I/094-I-11 to A-017-I/094-I-11,Broad-Leaf Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Emergent riparian vegetation establishing.   - Wetland functional, issue resolved.",,,
B-017-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
A-017-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
A-017-I/094-I-11 to B-016-I/094-I-11,Treed Fen,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation establishing.  - Wetland functional, issue resolved.",,,
B-016-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 -Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle. - KP 14+400 – removed skid.",,,
B-016-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging. - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation establishing.  - Wetland functional, issue resolved.",,,
B-016-I/094-I-11 to B-015-I/094-I-11,Treed Fen,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Spruce saplings emerging with moderate density.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Emergent riparian vegetation establishing.  - Ponded water intermittently.   - Wetland functional, issue resolved.",,,
A-016-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 -Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
A-016-I/094-I-11,Poor Vegetation Establishment/ Ditch Plug (14+760),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B-015-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional herbicide application conducted at KP 15+450 to control perennial sow thistle. - KP 15+200 – removed skid.",,,
A-015-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 – additional herbicide application conducted at KP 15+450 to control perennial sow thistle. - KP 15+200 – removed skid.",,,
B-014-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2015, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle. - Removed skids at KP 15+300, 15+640, 15+700 and 15+800.",,,
B-014-I/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Spruce saplings establishing throughout. - Areas of slower vegetation growth continue to establish.  - Wetland functional, issue resolved.",,,
A-014-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle on ditch line throughout tract.",,,
A-014-I/094-I-11 to B-013-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Appropriate species present, such as sedge and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Spruce saplings establishing throughout. - Areas of slower vegetation growth continue to establish.  - Wetland functional, issue resolved.",,,
B-013-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
C-003-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle. - KP 16+800 and 17+000 – removed skids.",,,
C-003-I/094-I-11,Line-of-Sight Control (16+500),The line-of-sight control is standing correctly and is effectively blocking views down the right-of-way. The light of sight covers the entire right-of-way.,"June 21, 2016 - KP 16+500 Line of sight barriers installed, some of the barriers have fallen over, recommend repairs. July 26, 2015, 2016 - KP 16+500 – Line of sight barriers were blown over. Barriers repaired, issue resolved.",,,
D-003-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 21, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle.",,,
D-003-I/094-I-11 to C-002-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, and some shrubs throughout the majority of this tract. - spruce observed to be emerging throughout the work side. - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea.   - cross drainage present is functional",,,
C-002-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - KP 17+770, 17+750 and 17+740 – straightened and secured marker posts and sign. - Additional intermittent herbicide application conducted along ditch line to control perennial sow thistle",,,
C-002-I/094-I-11,Rare Plant (17+100),15 bog adder’s-mouth orchid were observed. Issue resolved.,,,,
C-002-I/094-I-11 to D-002-I/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, and some shrubs throughout the majority of this tract. - spruce observed to be emerging throughout the work side. - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea.   - cross drainage present is functional",,,
D-002-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - KP 17+770, 17+750 and 17+740 – straightened and secured marker posts and sign. - Additional intermittent herbicide application conducted along ditch line to control perennial sow thistle",,,
,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, and some shrubs throughout the majority of this tract. - spruce observed to be emerging throughout the work side. - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea.   - cross drainage present is functional.",,,
C-001-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - KP 18+000 – straightened and secured marker posts and sign.  - KP 23+100 – additional herbicide application conducted to control perennial sow thistle.",,,
C-001-I/094-I-11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority wetland.  Emerging mosses were observed, indicating progressive succession of vegetation establishment.   - cross drainage present is functional.",,,
D-001-I/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
D-001-I/094-I-11 to C-010-L/094-I-10,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Wetland function continues to indicate progressive succession of vegetation establishment. - Volunteer spruce, black spruce and tamarack observed to be emerging throughout the work side of the right of way. - cross drainage present is functional.",,,
C-010-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
C-010-L/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract. Wetland function continues to indicate progressive succession of vegetation establishment. - Volunteer spruce, black spruce and tamarack observed to be emerging throughout the work side of the right of way. - cross drainage present is functional.",,,
C-010-L/094-I-10,Poor Vegetation Establishment/ Ditch Plug (18+757),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
D-010-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this wetland. Emerging mosses were observed within this area; vegetation establishment indicates progressive succession of wetland function.   - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea. - cross drainage present is functional",,,
D 010 L/094 I 10 to  C 009 L/094 I 10,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this wetland. Emerging mosses were observed within this area; vegetation establishment indicates progressive succession of wetland function.   - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea. - cross drainage present is functional",,,
C-009-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
C-009-L/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this wetland. Emerging mosses were observed within this area; vegetation establishment indicates progressive succession of wetland function.   - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea. - cross drainage present is functional",,,
