Legal Location (W6M),Land Use,2013 Issue(s),2013 Notes,2013 CH2M Recommendation(s),2014 CH2M/Pembina Observations and Recommendations,2014 Status of Landowner Issues and Concerns,2015 Status of Landowner Issues and Concerns,2015 CH2M Observations and Comments,2015 CH2M Recommendations,2017 Status of Landowner Issues and Concerns,2017 CH2M Observations and Comments,2017 CH2M Recommendations,VEC,GIS,Topic
NW 23-83-16,Pasture/Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of shepherd’s-purse, bluebur, prickly lettuce, pineappleweed, flixweed, dandelion, hemp nettle, common horsetail, Canada thistle, maple-leaved goosefoot, and ball mustard observed. Moderate densities of lamb’s-quarters, annual hawk’s-beard, and stinkweed observed.",Control weeds and monitor in 2014.,--,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,"June 4, 2015 Landowner contacted Pembina to request cleanup of land. Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: Landowner is okay with everything, except where Pembina cleared bush. The roots were not cleaned up on the RoW and the landowner is not able to work or seed crop. Would like Pembina to address possible cleanup. Issue exists from approximately KP 9.90 to KP 11.00 (at NE 22 and NW 23). August 2015: Landowner requested copy of environmental report. Report was received in October 2015. Cleanup of woody debris was completed by Pembina crews.","Weeds were identified at this location. The weed issues identified in this quarter-section are caused by the low vegetation density. As such, the weed issue will be resolved and the issue will be tracked as a single issue under Vegetation - Establishment below.",None.,--,--,--,,,
NW 23-83-16,Pasture/Forested,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on RoW not equal to vegetation parameters off the RoW. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,A low level of natural revegetation was observed and is not comparable to off the RoW conditions. Seed RoW and monitor during the third-year PCEM.,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,"June 4, 2015 Landowner contacted Pembina to request cleanup of land. Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: Landowner is okay with everything, except where Pembina cleared bush. The roots were not cleaned up on the RoW and the landowner is not able to work or seed crop. Would like Pembina to address possible cleanup. Issue exists from approximately KP 9.90 to KP 11.00 (at NE 22 and NW 23). August 2015: Landowner requested copy of environmental report. Report was received in October 2015. Cleanup of woody debris was completed by Pembina crews.","This quarter-section has not been seeded, therefore, no vegetation (with the exception of a high density of weeds) has established. The landowner identified that the reason the area has not been seeded as due to an excessive amount of woody debris, which does not allow for mechanical seeding. The landowner has requested that the topsoil be cleaned up (woody debris picked).","Discuss a plan for the resolution of this issue with the landowner. Monitor any reseeding efforts in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July and August 2017. Landowner comments: in discussions with Pembina regarding repair work.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor vegetation establishment in 2018.,,,
NW 23-83-16,Pasture/Forested,Soil - Topsoil depth,Admixing issue observed at KP 10.94. Several small patches where subsoil is present at the surface with no topsoil cover.,Source and add clean topsoil or redistribute topsoil more evenly in the area. Monitor in 2014.,Topsoil depth could not be assessed during this survey and vegetation establishment was low. Recommend monitoring during the third-year PCEM.,Re-assess during the third-year PCEM program in 2015.,"June 4, 2015 Landowner contacted Pembina to request cleanup of land. Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: Landowner is okay with everything, except where Pembina cleared bush. The roots were not cleaned up on the RoW and the landowner is not able to work or seed crop. Would like Pembina to address possible cleanup. Issue exists from approximately KP 9.90 to KP 11.00 (at NE 22 and NW 23). August 2015: Landowner requested copy of environmental report. Report was received in October 2015. Cleanup of woody debris was completed by Pembina crews.",Several small areas (approximately 5 m in diameter) were observed where subsoil was encountered at the surface along the RoW.,"Redistribute or import additional clean topsoil or amend soil with locally available manure/compost at these locations. Monitor any seeding efforts in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July and August 2017. Landowner comments: in discussions with Pembina regarding repair work.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor vegetation establishment in 2018.,,,
NW 23-83-16 (cont’d),see above,Landscape - Erosion,"Erosion issue observed from KP 10.64 to KP 10.84 (50 cm wide, 20 cm deep).",Repair eroded area and monitor in 2014.,No erosion observed from helicopter. Continue to monitor vegetation establishment during the third-year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,Re-assess during the third-year PCEM program in 2015.,See above,Erosion issues observed at KP 10.64 (30 cm wide x 15 cm deep 15 m long) and KP 10.85 (40 cm wide x 15 cm deep x 20 m long),"Repair erosion, reseed, and monitor area for stability and vegetation establishment in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July and August 2017. Landowner comments: in discussions with Pembina regarding repair work.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor erosion and vegetation establishment in 2018.,,,
SW 26-83-16,Pasture,Vegetation - Establishment,Establishment issue observed from KP 11.00 to KP 11.49 along entire quarter-section. Vegetation parameters on RoW not equal to vegetation parameters off the RoW. Area has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The RoW has not been seeded; vegetation establishment issue remains.,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August 2015: Landowner requested copy of environmental report. Report was received in October 2015.,Vegetation density was not similar to off the RoW. The low vegetation density is causing some minor erosion issues (see below).,"Repair erosion, reseed, and monitor area for stability and vegetation establishment in 2016, and during the fifth year of the PCEM program in 2017. Livestock may need to be excluded from the area to achieve positive results.",Landowner was contacted in July and August 2017. Landowner comments: No concerns. The gulley has got lots of growth in it an is a drainage so it should leave it alone.,Access was not granted at the time of assessment.,"To ensure the gulley is not an issue, monitor erosion and vegetation establishment in 2018.",,,
SW 26-83-16,Pasture,Landscape - Erosion,--,--,--,--,--,"Erosion issues were observed. Gullies have formed caused by the unvegetated land draining into the dugout, located at KP 11.30 (1 m wide x 15 cm deep x 40 m long) and KP 11.22 (50 cm wide x 50 cm deep x 30 m long).","Repair erosion, reseed, and monitor area for stability and vegetation establishment in 2016, and during the fifth year of the PCEM program in 2017. Livestock may need to be excluded from the area to achieve positive results.",Landowner was contacted in July and August 2017. Landowner comments: No concerns. The gulley has got lots of growth in it an is a drainage so it should leave it alone.,Access was not granted at the time of assessment.,Monitor vegetation establishment in 2018.,,,
SW 26-83-16,Pasture,Vegetation - Establishment,Establishment issue observed from KP 11.49 to KP 12.10. Vegetation parameters on RoW not equal to vegetation parameters off the RoW. Area has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The RoW has not been seeded; vegetation establishment issue remains.,Landowner compensated to reseed. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August 2015: Landowner requested copy of environmental report. Report was received in October 2015.,A high density of weeds covering the RoW has established due to the RoW not being seeded.,"Control weeds and seed RoW. Monitor establishment in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July and August 2017. Landowner comments: Crews cleared the weeds and has no concerns.,Access was not granted at the time of assessment.,Ensure weeds have been addressed. Monitor weeds and vegetation establishment in 2018.,,,
NE 26-83-16,Hay,Vegetation - Weeds,"Weed issue observed along entire quarte-section. Low densities of foxtail barley, dandelion, common peppergrass, bluebur, flixweed, and sheperd's-purse observed. Moderate densities of pineappleweed, stinkweed, annual hawk's-beard, and lamb's-quarters observed.",Control weeds and monitor in 2014.,--,Landowner compensated to control weeds. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August 2015. Landowner requested copy of environmental report. Report was received in October 2015.,Weeds observed at low densities similar to those observed off the RoW.,Issue resolved. No recommendations.,--,--,--,,,
NE 26-83-16,Hay,Vegetation - Establishment,Issue observed from KP 12.18 to KP 12.68. in 2014. Several patches of bare soil observed. Vegetation parameters on RoW not equal to vegetation parameters off the RoW.,Reseed and monitor in 2014.,Moderate vegetation establishment. Continue to monitor vegetation establishment during the third-year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,Landowner compensated to reseed. Landowner is certified organic. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August/October 2015: See comments above.,"Hay crop establishing well, similar to off the RoW. No vegetation issues observed.",Issue resolved. No recommendations.,--,--,--,,,
NE 26-83-16,Hay,Landscape - Erosion,"Erosion issue observed from KP 12.50 to KP 12.68. Several rills (30 cm wide, 15 cm deep) observed.",Repair eroded area and monitor in 2014.,No erosion observed from helicopter. Continue to monitor vegetation establishment during the third-year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August/October 2015: See comments above.,Erosion (30 cm wide x 15 cm deep x 15 cm long) observed at KP 12.66.,"Repair erosion, reseed, and monitor area for stability and vegetation establishment in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July 2017. Landowner comments: In discussions with Pembina. No concerns.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor erosion in 2018.,,,
SE 35-83-16,Cultivated,No issues observed,--,--,--,--,June 8 - Pembina advised the landowner that these lands will need to be used for access purposes to adjacent lands to complete PCEM. Contacted landowner and obtained permission to access lands. June 4 - Pembina advised that there will be no inspections taking place on the quarter-sections where no issues were observed in 2013.,No existing issues. Quarter-section not assessed.,None.,--,--,--,,,
NE 35-83-16,Cultivated,Landscape - Trench crown,"Excessive trench crown (1.0 m wide, 0.25 m high) observed at edge of field from KP 13.81 to KP 14.03. Issue is causing crop growth problems. A small ditch (30 cm wide, 10 cm deep) has formed that runs adjacent to the crown, also causing crop growth problems.",Repair trench crown issue and monitor in 2014.,Trench crown was not observed from helicopter. No crop growth issues observed. Monitor during the third-year PCEM on foot to ensure that pre-construction contour has been re-established across the RoW.,Vacant landowner occupant has no concerns. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues.,Trench crown not observed. This was likely resolved by tillage of the area.,Issue resolved. No recommendations.,--,--,--,,,
NE 35-83-16,Cultivated,Landscape - Subsidence,"Subsidence issue (25 cm wide, 15 cm deep) observed from KP 14.0 to KP 14.75. Subsided area is located over the trench and is causing crop growth problems.",Repair subsided area and monitor in 2014,Subsidence was not observed from helicopter. No crop growth issues observed. Monitor during the third-year PCEM on foot to ensure that soils are evenly distributed over the RoW.,Vacant landowner occupant has no concerns. Re-assess during the third-year PCEM program in 2015,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August: Landowner requested to be contacted to develop a plan of action for subsidence issue. December 2015: Subsidence issue is scheduled to be repaired by Pembina in the spring.,Subsidence issue (15 cm deep x 25 cm wide) observed from KP 14.04 to KP 14.54. Subsidence causing crop growth issues within the depressed area.,"Repair subsidence and monitor crop in 2016, and during the fifth year of the PCEM program in 2017.",Landowner was contacted in July 2017. Landowner comments: In discussions with Pembina regarding compensation for repair work. No concerns.,Access was not granted at the time of assessment.,Ensure that 2015 recommendations have been implemented. Monitor subsidence in 2018.,,,
SE 2-84-16,Cultivated,Landscape - Subsidence,"Subsidence issue (30 cm wide, 10 cm deep) observed from KP 14.75 to KP 14.99. Subsided area is located over the trench and is causing crop growth problems.",Repair subsided area and monitor in 2014.,Subsidence was not observed from helicopter. No crop growth issues observed. Monitor during the third-year PCEM on foot to ensure that pre-construction contour has been re-established across the RoW.,Landowner is certified organic and disked land in summer 2014. Re-assess during the third-year PCEM program in 2015.,Contacted landowner in the spring to discuss the upcoming RoW inspection by CH2M. Landowner comments: No concerns or issues. August 2015: Landowner requested copy of environmental report. Report was received in October 2015. December 2015: Pembina crews removed woody debris from the RoW.,"Subsidence still evident; however, minor (5 cm deep x 30 cm wide) and is not affecting crop growth or posing any safety concerns.",Issues resolved. No recommendations.,--,--,--,,,
NE 2-84-16,Cultivated,No issues observed,--,--,--,--,June 4 - Pembina advised that there will be no inspections taking place in 2015.,No existing issues. Quarter-section not assessed.,None.,--,--,--,,,
SE 11-84-16,Cultivated,No issues observed,--,--,--,--,June 4 - Pembina advised that there will be no inspections taking place in 2015.,No existing issues. Quarter-section not assessed.,None.,--,--,--,,,
