Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),TERA Observation(s) in 2010,TERA Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,Repairs to Date  (2010 to 2013),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
40,NE 4-25-3,557.2 to 557.4,2451,Vegetation - Weeds,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed on a pipeline right-of-way located directly north of the construction right-of-way. Nodding thistle not an issue on Clipper line.,Weeds sprayed in summer 2011.,Resolved,None.,,W3M,
40,NW 20-24-2 to  NW 35-24-3,559.37 to 566.3,2464 2465,Vegetation - Weeds,Moderate density of nodding thistle and lamb's-quarters on construction right-of-way.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities concentrated on the construction right-of-way throughout the area.,Weeds mowed in summer 2011.  Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014 (Appendix G).,,W3M,
41,SW 21-24-2,567.4,2468,Vegetation - Weeds,--,Moderate density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed along a pipeline right-of-way located directly north of the construction right-of-way. Nodding thistle not an issue on Clipper line.,--,Resolved,None.,,W3M,
41,SW 21-24-2,567.4,2468,Soils - Drainage,--,--,Area of poorly-drained soil surrounded by foxtail barley.,The drainage patterns observed in this area were determined by TERA and Enbridge EI to be acceptable and naturally occurring. No soils issues observed.,--,Resolved,None.,,W3M,
41,SW 21-24-2,567.4,2468,Vegetation – Weeds,--,--,--,Moderate to high densities of foxtail barley and goosefoot species in low wetland area on the construction right-of-way.,,Unresolved,Monitor revegetation status in 2014.,,W3M,
41,SW 6-24-1,575.9 to 576.2,2479,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, gumweed, Canada thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.",Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W3M,
41,SE 6-24-1,576.2 to 576.5,2480,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, foxtail barley, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W3M,
41,NE 31-23-1,576.5 to 577.2,2481,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Several large patches of nodding thistle isolated to the construction right-of-way were observed.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W3M,
42,NE 22-23-1,582.5,2489,Vegetation - Weeds,--,High density of sweet clover and sporadic density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate densities of nodding thistle, flixweed and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",Nodding thistle was observed at equal densities on and off the construction right-of-way.,Landowner burned field in 2012 which appears to have resolved the issue.,Resolved,None.,,W3M,
42,SW 16-23-29,587.4 to 587.5,2494,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
42,NE 9-23-29,588.0 to 589.0,2495.01,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed summer 2011. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
42,NW 10-23-29,589.0 to 589.1,2496,Vegetation - Weeds,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
42,SW 10-23-29,589.1 to 589.8,2497,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
42,SE 10-23-29,590.1 to 590.6,2498,Vegetation – Weeds,--,--,--,Nodding thistle and gumweed observed at higher densities on the construction right-of-way compared to off.,--,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
42,NE 3-23-29,590.60 to 590.80,2498,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low density of nodding thistle observed on construction right-of-way. Low density of nodding thistle observed in preconstruction weed survey. Moderate to high densities of foxtail barley observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities on the construction right-of-way.,--,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
42,NE 3-23-29,590.60 to 590.80,2498,Vegetation – Establishment,--,--,--,Drainage from Craik Station is inhibiting vegetation establishment adjacent to wetland. Drainage issue not related to pipeline construction and will be managed by Enbridge Operations.,Reseeded in summer 2011.,Resolved,Issue communicated to Enbridge Operations at the Craik Station.,,W2M,
42,NE 35-22-29,594.15 to 595.1,2504,Vegetation - Weeds,--,--,"Low to moderate densities of wild buckwheat, nodding thistle, flixweed, perennial sow-thistle, Canada thistle, common plantain, foxtail barley and sweet clover observed on construction right-of-way. High densities of wild oats observed on construction right-of-way during ground reconnaissance.",The land use in this area has changed from pasture to cultivated. Weeds are no longer a concern.,--,Resolved,None.,,W2M,
44,SW 33-21-27,613.88 to 614.1,2533,Vegetation - Weeds,"Moderate density of nodding thistle, kochia and lamb's-quarters on construction right-of-way.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities on the construction right-of-way.,--,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
44,SE 33-21-27,614.1 to 614.2,2534,Vegetation - Weeds,"Moderate density of nodding thistle, kochia and lamb's-quarters observed on construction right-of-way during ground reconnaissance.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities on the construction right-of-way.,--,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
44,NE 28-21-27,614.3 to 614.5,2535,Vegetation – Weeds Unnamed Drainage (Tributary to Qu’Appelle River),Low density of scentless chamomile on southeast bank on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Land access was not granted at the time of the survey. The Enbridge EI reported that the issue has been Resolved,Weeds picked summer 2011.,Resolved,None.,,W2M,
44,NE 28-21-27,614.5 to 615.2,2535,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by EI.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Land access was not granted at time of survey. The Enbridge EI reported that the issue has been Resolved,--,Resolved,None.,,W2M,
44,NW 27-21-27,615.2 to 615.3,2536,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by EI.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,--,Resolved,None.,,W2M,
44,SW 27-21-27,615.9,2536.01,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by EI.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,One large patch of nodding thistle observed on the construction right-of-way.,--,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
44,NW 13-21-27,619.8 to 620.1,2542,Vegetation - Weeds,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle (many young plants) observed on construction right-of-way during ground reconnaissance.,Higher density of nodding thistle observed on the mainline than on the construction right-of-way. Pre-construction surveys noted a high density of nodding thistle prior to construction.,Weeds controlled in 2010.,Resolved,None.,,W2M,
44,NE 12-21-27,621.4 to 621.9,2545,Vegetation - Weeds,Moderate density of prairie sunflower and perennial sow-thistle on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Similar weed densities and composition on and off construction right-of-way.,Weeds sprayed in August 2012.,Resolved,None.,,W2M,
44,SW 8-21-26,624.0,2548,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low density of nodding thistle observed on construction right-of-way compared to off.,One nodding thistle plant observed on the right-of-way. Will be removed by Enbridge Operations personnel.,Weeds sprayed in 2010.,Resolved,None.,,W2M,
44,NW 5-21-26,624.0 to 624.9,2549,Vegetation - Weeds,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low densities of gumweed, nodding thistle, foxtail barley, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weed densities remain higher on the construction right-of-way than off.,Weeds sprayed in 2010. Fall 2013: Chemical application completed.,Unresolved,Control weeds and monitor in 2014.,,W2M,
45,SE 5-21-26,625.52 to 625.72,2550.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Vegetation establishing well, no further issues observed.",Reseeded in 2010.,Resolved,None.,,W2M,
45,SE 5-21-26,625.6 to 625.8,2550.01,Vegetation - Weeds,"Moderate density of kochia, lamb's-quarters and Canada fleabane observed on construction right-of-way during ground reconnaissance.","Moderate density of gumweed, nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.",Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds are restricted to low-lying wet areas on the construction right-of-way. Areas with similar contouring and weed species also observed off the construction right-of-way.,Weeds sprayed in 2010.,Resolved,None.,,W2M,
45,SE 5-21-26,625.32,2550.01,Vegetation – Weeds,--,--,--,Patches of gumweed observed on the construction right-of-way.,--,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
45,NE 33-20-26,627.1 to 628.0,2553,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed densities remain higher on the construction right-of-way than off. One large patch of nodding thistle observed at KP 627.3.,Weeds sprayed in 2010 and August 2012.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
45,SE 33-20-26,628.0 to 628.1,2554,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Several nodding thistle plants observed isolated to the construction right-of-way.,Weeds sprayed in 2010 and August 2012.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
46,SW 31-19-24,645.7 to 646.7,2584,Vegetation – Establishment,--,--,Areas of poor (patchy) vegetation establishment observed on construction right-of-way during ground reconnaissance especially in low-lying areas.,Low-lying areas with patchy vegetation establishment were observed on and off the construction right-of-way.,--,Resolved,None.,,W2M,
46,SE 31-19-24,646.7 to 647.4,2584,Vegetation – Establishment,--,--,Areas of poor (patchy) vegetation establishment observed on construction right-of-way during ground reconnaissance especially in low-lying areas.,Low-lying areas with patchy vegetation establishment were observed on and off the construction right-of-way.,--,Resolved,None.,,W2M,
47,SW 23-19-24,653.3 to 654.1,2593.03 2593.02,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, Canada thistle and absinthe observed on construction right-of-way during ground reconnaissance.",Weed densities remain higher on the construction right-of-way than off.,Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012. Fall 2013: Chemical application completed.,Unresolved,Monitor in 2014.,,W2M,
47,NW 14-19-24,654.1 to 654.3,2595,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle and sweet clover observed on construction right-of-way during ground reconnaissance.,Sweet clover and nodding thistle were observed at higher densities on the construction right-of-way than off.,Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
47,NE 14-19-24,654.3 to 654.7,2596,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Low density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed along the construction right-of-way. There was an infestation of common sunflower at KP 654.53 which was integrity dig related and will be addressed by Enbridge mainline operations.,Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012. Fall 2013: Chemical application completed.,Resolved,None.,,W2M,
47,NE 14-19-24,654.5,2596,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,Minor subsidence  (2 m x 0.30 m x 0.10 m) observed on construction right-of-way during ground reconnaissance.,No subsidence observed along construction right-of-way.,Disced and graded in August/September 2012.,Resolved,None.,,W2M,
47,NW 13-19-24,655.1 to 655.7,2597,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,No subsidence issues observed on construction right-of-way following repair work.,No subsidence observed along construction right-of-way.,Disced and graded in August/September 2012.,Resolved,None.,,W2M,
47,SW 13-19-24,655.7 to 656.0,2597.01,Soils - Subsidence,Issue reported by construction contractor.,Issue reported by construction contractor.,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",No subsidence observed along construction right-of-way.,Disced and graded in August/September 2012.,Resolved,None.,,W2M,
47,SW 8-19-23,659.9,2601,Vegetation - Weeds,"Moderate density of scentless chamomile, false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.","Moderate density of false ragweed, foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of gumweed, nodding thistle, absinthe and foxtail barley observed on construction  right-of-way during ground reconnaissance.",One patch of absinthe observed on the construction right-of-way at KP 659.9 that requires additional chemical management.,"Sprayed absinthe infestation. Weeds sprayed in June, July, and August 2012. Fall 2013: Chemical application completed.",Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
47,SE 4-19-23,662.7,2605,Vegetation - Establishment Water Quality and Quantity Fish and Fish Habitat Unnamed Creek,Poor vegetation establishment on northwest bank due to heavy cattle activity on construction right-of-way.,Poor vegetation establishment observed on both banks due to heavy cattle activity on construction right-of-way.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,The repair work conducted on the drainage has improved vegetation establishment on the construction  right-of-way. The issue is still present on the Enbridge mainline and will be addressed by Enbridge mainline operations.,Reseeded in 2010. Drainage repaired in 2012 on construction right-of-way.,Resolved,None.,,W2M,
48,NE 27-18-23,666.84 to 666.9,2610,Vegetation - Weeds,Moderate density of false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate density of false ragweed, gumweed and nodding thistle observed on construction right-of-way during ground reconnaissance.","Low densities of gumweed, Canada thistle, foxtail barley, nodding thistle and hemp nettle observed on construction right-of-way during ground reconnaissance.",Two isolated weed issues remain on the construction right-of-way. A patch of gumweed was observed on the  right-of-way at KP 666.84. A patch of nodding thistle was observed near the eastern fenceline at KP 666.9.,Weeds sprayed in 2010 and August 2012. Fall 2013: Chemical application completed.,Unresolved,Control weeds as per the Nodding Thistle Management Plan and monitor in 2014.,,W2M,
48,NE 27-18-23,666.9,2610,Topography – Slopes Soils – Erosion Water Quality and Quantity Fish and Fish Habitat High Hill Creek,Rill erosion on northwest bank on construction right-of-way. Diversion berm contributing to rill erosion on northwest bank. Sediment fencing damaged on northwest bank.,Minor rill erosion observed on northwest bank on construction right-of-way during ground reconnaissance.,No erosion observed on construction right-of-way during ground reconnaissance.,The erosion appeared to be caused by third-party activity (muskrats or beavers) and not related to pipeline construction.,--,Resolved,None.,,W2M,
48,NW 26-18-23,667.1 to 667.45,2611,Vegetation - Weeds,Moderate density of false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate density of false ragweed, gumweed and nodding thistle observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of nodding thistle, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate to low densities of gumweed and Canada thistle observed along the construction right-of-way.,Weeds sprayed in 2010. Weeds sprayed August 2012. Fall 2013: Chemical application completed.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
48,NE 7-18-22,R 2.3 to 3.1,2621.1,Vegetation – Weeds,Issue reported by construction contractor.,"Moderate density of false ragweed, foxtail barley and annual sow-thistle observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of cocklebur, curled dock, kochia, foxtail barley, perennial sow-thistle, maple-leaved goosefoot and Canada thistle observed on construction right-of-way during ground reconnaissance.","Weeds are present at higher densities on the construction right-of-way than off. The crop is a first year hay crop with low vegetation establishment. The presence and density of weeds observed is likely due to the low establishment of the hay crop, however, this is not abnormal for first year hay crops.",Discing and reseeding completed in June 2012. Weeds sprayed in 2010.,Unresolved,Monitor vegetation establishment in 2014.,,W2M,
49,SW 25-17-22,R 12.2,2645.1,Soils – Erosion Water Quality and Quantity Fish and Fish Habitat Cottonwood Creek,Rill erosion and sedimentation on slope and diversion berm of west bank on construction right-of-way. Sediment fencing ineffective on west bank. Poor vegetation establishment on west bank on construction right-of-way.,Moderate vegetation establishment on west bank and approach slope observed on construction right-of-way during ground reconnaissance.,Minor rill erosion observed on east bank during ground reconnaissance likely caused by poor vegetation establishment.,No erosion issues observed.,"Reseeded in 2010, 2011 (west slope) and June 2012.",Resolved,None.,,W2M,
49,SW 25-17-22,R 12.1 to R 12.3,2645.1,Vegetation - Establishment,"Moderate density of lamb's-quarters, kochia and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. Patchy areas noted at R 12.25 and R 12.3. Construction debris observed at R12.25.,The vegetation establishment on the east side of the river (KP R 12.3 to KP R 12.5) is equal on and off the construction right-of-way.  Low vegetation establishment remains an issue along the construction right-of-way on the west side of the river (KP R 12.1 to KP R 12.3).,"Reseeded in 2010, 2011 (west slope) and June 2012.",Unresolved,Reseed and monitor in 2014.,,W2M,
49,SW 25-17-22,R 12.1 to R 12.5,2645.1,Vegetation - Weeds Land and Resource  Use - Organic Farm,"Moderate density of lamb's-quarters, kochia and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Moderate to high densities of Canada thistle and perennial sow-thistle observed on the construction right-of-way.,Broadcast seeding and rake in spring 2012.,Unresolved,Control weeds and monitor in 2014.,,W2M,
49,NW 20-17-21,R 15.1,2651.1,Vegetation – Establishment,--,--,Area near road not seeded. Could possibly have had work done recently.,Vegetation establishment equal on and off the construction right-of-way.,--,Resolved,None.,,W2M,
49,SW 16-17-21,R 18.6,2656.1,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of scentless chamomile, red-root pigweed, curled dock and Canada thistle observed on construction right-of-way. High densities of wild buckwheat observed on construction right-of-way during ground reconnaissance.",Similar weed species composition and density observed on and off the construction right-of-way.,Weeds picked in 2010. Weeds sprayed August 2012.,Resolved,None.,,W2M,
50,NE 2-17-21,R 23.2,2666.1,Vegetation - Weeds,High density of prickly lettuce and flixweed on construction right-of-way.,High density of prickly lettuce and annual sow-thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of perennial sow-thistle and curled dock observed on construction right-of-way during ground reconnaissance.,Perennial sow-thistle and curled dock observed at similar densities on and off the construction right-of-way.,--,Resolved,None.,,W2M,
50,NE 2-17-21,R 23.2,2666.1,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"The area was not seeded and is now dominated by weeds. If the land was seeded, TERA believes that vegetation establishment would no longer be an issue.",--,Resolved,None.,,W2M,
50,SW 35-16-20,R 32.4 to R 33.3,2690.1,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,No subsidence observed from R 32.4 to R 32.93. The remainder of the area is flooded.,Land access was not granted at the time of the survey. Landowner has communicated to Enbridge that the issue is still present.,--,Unresolved,Monitor in 2014.,,W2M,
50,SE 35-16-20,R 33.3 to R 34.1,2691.1,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,Construction right-of-way flooded during ground reconnaissance. Reassess next year.,Land access was not granted at the time of the survey. Landowner has communicated to Enbridge that the issue is still present.,--,Unresolved,Monitor in 2014.,,W2M,
50,SE 35-16-20,R 33.4,2691.1,Vegetation - Crop Growth,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,Construction right-of-way flooded during ground reconnaissance. Reassess next year.,Land access was not granted at time of survey.,--,Unresolved,Monitor in 2014.,,W2M,
51,SE 32-16-19,R 38.9,2700.1,Vegetation - Weeds,"Moderate weed density of perennial sow-thistle, foxtail barley, stinkweed and scentless chamomile on construction right-of-way.","Moderate weed density of perennial sow-thistle, foxtail barley, Canada thistle and scentless chamomile on construction right-of-way.","Low densities of kochia, scentless chamomile, volunteer canola, Canada thistle, red-root pigweed, stinkweed and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weed species composition and density on construction right-of-way equal to off construction right-of-way.,Weeds sprayed 2012.,Resolved,None.,,W2M,
51,SE 34-16-19,R 41.4 to R 42.4,2704.1,Vegetation - Weeds,"High weed density of white cockle, perennial sow-thistle, scentless chamomile, lamb’s-quarters and Canada thistle on construction right-of-way identified during spring overflight and ground reconnaissance.","High density of Canada thistle, scentless chamomile, foxtail barley and prickly lettuce observed on construction right-of-way during ground reconnaissance.",Weed density and composition equal on and off construction right-of-way.,Issue not assessed during 2013 survey. Status of issue amended to unresolved as a result of the NEB IR No. 1.,Blanket spraying completed in late June 2012. Reseeding conducted in July 2012. Touch-up spraying for scentless chamomile in late July 2012. Hand picking completed in 2013.,Unresolved,Monitor in 2014.,,W2M,
51,SE 34-16-19,R 41.8 to R 42.4,2704.1,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation on construction right-of-way not equal to off.,Blanket spraying completed in late June 2012. Reseeding conducted in July 2012. 2013: Hand-picking of scentless chamomile throughout the growing season.,Unresolved,"Reseed, if warranted, and monitor in 2014.",,W2M,
51,SW 35-16-19,R 42.4 to 42.5,2705.1,Soils - Subsidence,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence (approximately  1.5 m x 0.35 m) observed on construction right-of-way during ground reconnaissance.,Subsidence observed on construction right-of-way during ground reconnaissance.,2013: Subsidence repaired fall 2013.,Unresolved,Repair subsidence and monitor in 2014.,,W2M,
51,SW 35-16-19,R 42.4 to 42.5,2705.1,Vegetation - Weeds,"High weed density of perennial sow-thistle, scentless chamomile, lamb’s-quarters and Canada thistle observed on and off construction right-of-way during ground reconnaissance.","High weed density of perennial sow-thistle, scentless chamomile, lamb's-quarters and Canada thistle observed on construction right-of-way during ground reconnaissance.","Low densities of perennial sow-thistle, foxtail barley, stinkweed, scentless chamomile and Canada thistle observed on construction right-of-way during ground reconnaissance.","Higher densities of scentless chamomile, stinkweed and perennial sow-thistle observed on the construction right-of-way compared to off.",Weeds sprayed in west ditch July 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
51,NW 36-16-19,R 44.8 to R 45.0,2709.1,Vegetation - Weeds,"Moderate weed density of kochia, Canada thistle, wild buckwheat and others observed on construction right-of-way during ground reconnaissance.","Moderate density of kochia, Canada thistle and scentless chamomile observed on construction right-of-way during ground reconnaissance.","Low densities of common plantain, scentless chamomile, perennial sow-thistle, foxtail barley and Canada thistle observed on construction right-of-way during ground reconnaissance.",Weed issue still exists at this location.,Weeds sprayed June 2012.,Unresolved,Establish vegetation and monitor in 2014.,,W2M,
51,NW 36-16-19,R 44.8 to R 45.0,2709.1,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Poor crop establishment observed on construction right-of-way during ground reconnaissance.,Issue assessed by Enbridge EI. Residual of 2012 chemical application inhibited alfalfa growth. More time required for re-establishment..,Reseeded June 2012.,Unresolved,Monitor in 2013.,,W2M,
52,SE 32-16-17,R 58.74 to R 59.95,2733.01,Vegetation – Weeds,--,--,--,High density of foxtail barley present on construction right-of-way.,Fall 2013: Chemical application completed.,Unresolved,"Control weeds, reseed (if warranted) and monitor in 2014.",,W2M,
52 to 53,SE 30-16-16,R 67.13 to R 67.14,2746.1,Soils – Erosion Water Quality and Quantity Fish-Bearing Watercourse Kronau Creek (Tributary to Wascana Creek),"Minor rill erosion formed on the north side of check dams. Cattle impact, sediment fences are down and poor vegetation establishment on both banks.",Moderate vegetation establishment observed on both banks on construction right-of-way during ground reconnaissance.,Minor rill erosion observed on west bank during ground reconnaissance most likely caused by poor vegetation establishment. Soil slumping observed on east bank; straw bales are not effective.,No issues observed on east slope. Erosion and weed concerns no longer exist. Vegetation on west slope not equal to that observed off the construction  right-of-way.,Reseeded east slope of Kronau Creek summer 2011. Reseeded west slope of Kronau Creek in June 2012. Weeds sprayed June 2012.,Unresolved,Establish vegetation on west slope and monitor in 2014.,,W2M,
