Legal Location,1st Year Issue/Condition,1st Year (2016) Issue(s),2nd Year (2017) PCRM Assessment and Work Completed,3rd Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 16-063-07 W6,Noxious Weeds (low) 7+570,"- populations of scentless chamomile (Tripleurospermum inodorum) were on the ROW (<20 individuals) - picked and disposed of properly on July 26, 2016","June 18, 2017 - Vegetation cover on ROW is predominantly 65-80% compared to the off ROW control. Some areas exhibiting 0-50% vegetation cover compared to off ROW control. Desirable vegetation continues to establish on ROW. - KP 7+525 and 8+220 to 8+240 – Scentless chamomile observed, herbicide application recommended. - Cross drain at KP 7+490 requires repairs. All others are functional. - No soil stability issues.  July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 8+220 to 8+240) September 11, 2017 – Herbicide application conducted to control perennial sow thistle and scentless chamomile. Meadow hawkweed no longer present, issue resolved. September 17, 2017 – KP 7+490 – Cross drain repaired, issue resolved.","June 28, 2018 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control with some areas on work side exhibiting 65-80% cover. Previous issues of reduced vegetation cover resolved. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, raspberry, large-leaf aven, and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willow and aspen. - Meadow hawkweed (KP 7+500 to 7+700) and scentless chamomile (KP 7+500 to 7+530) observed, recommend herbicide application. - No subsidence or erosion was identified within tract. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+600). August 21, 2018 – Meadow hawkweed (KP 7+500 to 7+700), scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+630 to 7+700) observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 7+500 to 7+700), scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+630 to 7+700).",,,
SW 16-063-07 W6,Rig Mat 7+940,- a rig mat is present on the ROW - rig mat removed December 2016. - Issue resolved,"June 18, 2017 - Vegetation cover on ROW is predominantly 65-80% compared to the off ROW control. Some areas exhibiting 0-50% vegetation cover compared to off ROW control. Desirable vegetation continues to establish on ROW. - KP 7+525 and 8+220 to 8+240 – Scentless chamomile observed, herbicide application recommended. - Cross drain at KP 7+490 requires repairs. All others are functional. - No soil stability issues.  July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 8+220 to 8+240) September 11, 2017 – Herbicide application conducted to control perennial sow thistle and scentless chamomile. Meadow hawkweed no longer present, issue resolved. September 17, 2017 – KP 7+490 – Cross drain repaired, issue resolved.","June 28, 2018 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control with some areas on work side exhibiting 65-80% cover. Previous issues of reduced vegetation cover resolved. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, raspberry, large-leaf aven, and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willow and aspen. - Meadow hawkweed (KP 7+500 to 7+700) and scentless chamomile (KP 7+500 to 7+530) observed, recommend herbicide application. - No subsidence or erosion was identified within tract. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+600). August 21, 2018 – Meadow hawkweed (KP 7+500 to 7+700), scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+630 to 7+700) observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 7+500 to 7+700), scentless chamomile (KP 7+500 to 7+530), and perennial sow thistle (KP 7+630 to 7+700).",,,
SW 16-063-07 W6,Watercourse (WC 1) unnamed tributary to Comeau Creek 7+950,"- no terrain instability (e.g., subsidence, erosion etc.) observed - good first-year vegetation establishment was observed for this watercourse crossing including surrounding the silt fencing (KP 8+175). - rollback was present surrounding the watercourse - silt fence removed fall of 2016, issue resolved","June 18, 2017- WC#1 at KP 7+950 – Marker posts and signage missing on south side of crossing. Warning sign and marker posts present on north side.  Watercourse flows into ponded area on ROW. September 17, 2017 – Marker posts and signs installed on south side, issue resolved.","June 28, 2018 - WC 1: Unnamed Tributary to Comeau Creek - WC 1 at KP 7+950 appears stable. The watercourse is isolated to the east of the ditch roach as it meanders from the southeast onto the ROW and flows to the northeast off the ROW; the pipeline does not cross the watercourse. Vegetation within riparian zone is establishing well and thus further stabilizing both banks; excellent establishment of deciduous tree species along banks. No weed issues were identified along the banks of the watercourse. - No terrain instability was observed on banks. - No observable flow was noted within watercourse. - Warning signs and posts present and in good repair on both banks.",,,
NW 09-063-07 W6,Rollback 8+290 to 8+450 & 8+910 to 9+000,,"June 18, 2017 - Access control has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.","June 28, 2018 - Mounding of the ROW at KP 8+955 is still effective. Vegetation growing on the mounds with 65 to 80% cover. Mound pits holding water and hydrophytic vegetation is establishing.",,,
,Moderate to High Issues with Plant Growth (high) 8+240 to 9+290,- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 18, 2017 - Vegetation cover on ROW is predominantly 65-80% compared to the off ROW control. Some areas exhibiting 0-50% vegetation cover compared to off ROW control. Desirable vegetation continues to establish on ROW. - Mulch present throughout ROW.  - Scentless chamomile observed, picked/bagged and disposed of. Recommend additional herbicide application - KP 8+850 – Removed silt fence in bar ditch along high-grade road, issue resolved. - No soil stability issues. July 12, 2017 – Intermittent herbicide application conducted to control scentless chamomile. September 11, 2017 – KP 8+480 to 9+260 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.","June 28, 2018 - Vegetation cover on the ROW remains at 65 to 80% compared to the off ROW control. Previous vegetation cover issues resolved. Grasses establishing well along with broadleaf shrubs including raspberry, vetch and birdsfoot trefoil. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (KP 8+710), oxeye daisy (KP 8+670), and scentless chamomile (KP 8+675 to 8+850, and 9+155) observed, recommend herbicide application. - No subsidence or erosion observed during assessment. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 8+710), oxeye daisy (KP 8+670), scentless chamomile (KP 8+675 to 8+850, and 9+155), and white cockle (KP 8+300). August 21, 2018 – Scentless chamomile (KP 8+675 to 8+850, 8+450, 8+600, and 9+035 to 9+315) observed, recommend additional herbicide application. Sept 5, 2018 – KP 8+450 to 9+315 - Intermittent herbicide application conducted to control scentless chamomile.",,,
,Noxious Weeds (moderate) 8+500 to 9+100,- populations of scentless chamomile (Tripleurospermum inodorum) were noted throughout the quarter section,"June 18, 2017 - Vegetation cover on ROW is predominantly 65-80% compared to the off ROW control. Some areas exhibiting 0-50% vegetation cover compared to off ROW control. Desirable vegetation continues to establish on ROW. - Mulch present throughout ROW.  - Scentless chamomile observed, picked/bagged and disposed of. Recommend additional herbicide application - KP 8+850 – Removed silt fence in bar ditch along high-grade road, issue resolved. - No soil stability issues. July 12, 2017 – Intermittent herbicide application conducted to control scentless chamomile. September 11, 2017 – KP 8+480 to 9+260 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.","June 28, 2018 - Vegetation cover on the ROW remains at 65 to 80% compared to the off ROW control. Previous vegetation cover issues resolved. Grasses establishing well along with broadleaf shrubs including raspberry, vetch and birdsfoot trefoil. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (KP 8+710), oxeye daisy (KP 8+670), and scentless chamomile (KP 8+675 to 8+850, and 9+155) observed, recommend herbicide application. - No subsidence or erosion observed during assessment. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 8+710), oxeye daisy (KP 8+670), scentless chamomile (KP 8+675 to 8+850, and 9+155), and white cockle (KP 8+300). August 21, 2018 – Scentless chamomile (KP 8+675 to 8+850, 8+450, 8+600, and 9+035 to 9+315) observed, recommend additional herbicide application. Sept 5, 2018 – KP 8+450 to 9+315 - Intermittent herbicide application conducted to control scentless chamomile.",,,
SW 09-063-07 W6,Moderate to High Issues with Plant Growth (high) 9+290 to 10+110,- decreased percent cover of vegetation was noted throughout the quarter section - trace covers of establishing native vegetation were observed,"June 18, 2017 - Vegetation cover is 50-65% comparable to off ROW control with some bare areas on work side exhibiting 0-50% cover. Grasses beginning to establish along with broadleaf shrubs and willows.  - KP 9+290 to 10+110 – Scentless chamomile, picked/bagged and disposed. Recommend additional control measures. - Trench crown present in tract and stable. Trench breaks functioning well as no pooling of water was observed. - No subsidence or erosion issues observed in tract. July 12, 2017 – Intermittent herbicide application conducted to control scentless chamomile. September 12, 2017 - KP 9+350 to 10+050 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.","June 28, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW. There are some area exhibiting moderate growth at 50-65% compared to off ROW. All previous low vegetation cover issues resolved. Vegetation consists of grasses, sedges, birdsfoot trefoil, Indian paintbrush, vetches, avens, yarrow, bluebell and clover. - Meadow hawkweed (KP 9+325 and 9+985) and bull thistle (KP 9+990) observed, recommend herbicide application. - No subsidence or erosional issues were observed in this ¼. July 16, 2018 – Herbicide application conducted to control meadow hawkweed (KP 9+325 and 9+985), bull thistle (KP 9+990), and scentless chamomile (KP 9+500). August 21, 2018 – Scentless chamomile observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",,,
SW 09-063-07 W6,Noxious weeds (moderate) 9+290 to 10+110,"- low covers of scentless chamomile (Tripleurospermum inodorum) were noted in the quarter section - picked and disposed of properly on July 26, 2016","June 18, 2017 - Vegetation cover is 50-65% comparable to off ROW control with some bare areas on work side exhibiting 0-50% cover. Grasses beginning to establish along with broadleaf shrubs and willows.  - KP 9+290 to 10+110 – Scentless chamomile, picked/bagged and disposed. Recommend additional control measures. - Trench crown present in tract and stable. Trench breaks functioning well as no pooling of water was observed. - No subsidence or erosion issues observed in tract. July 12, 2017 – Intermittent herbicide application conducted to control scentless chamomile. September 12, 2017 - KP 9+350 to 10+050 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.","June 28, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW. There are some area exhibiting moderate growth at 50-65% compared to off ROW. All previous low vegetation cover issues resolved. Vegetation consists of grasses, sedges, birdsfoot trefoil, Indian paintbrush, vetches, avens, yarrow, bluebell and clover. - Meadow hawkweed (KP 9+325 and 9+985) and bull thistle (KP 9+990) observed, recommend herbicide application. - No subsidence or erosional issues were observed in this ¼. July 16, 2018 – Herbicide application conducted to control meadow hawkweed (KP 9+325 and 9+985), bull thistle (KP 9+990), and scentless chamomile (KP 9+500). August 21, 2018 – Scentless chamomile observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",,,
NW 04-063-07 W6,Rollback 10+720 to 10+850,,,"June 28, 2018 - Access control (rollback) within tract from KP 10+720 to 10+850 remains to function well as no third-party use along ROW was identified.",,,
NW 04-063-07 W6,Moderate to High Issues with Plant Growth (high) 10+110 to 10+915,- decreased percent cover of vegetation was noted throughout the quarter section except surrounding the watercourses - sparse areas of establishing native vegetation were observed,"June 18, 2017 - Vegetation cover is 65-80% comparable to off ROW control with small areas of lower vegetation cover (0–50%) on work side. Grasses beginning to establish along with broadleaf shrubs and willows.  - KP 10+530 – Scentless chamomile picked/bagged and disposed of. Additional controls recommended. - Trench crown present in tract and stable. Trench breaks functioning well as no pooling of water was observed. - Drainage at KP 10+280 stable and functioning well. Drainage is forked from two channel flows into one across pipeline ROW. Two channels are well vegetated at 65-80% cover. Previously installed erosion control material functioning well. - No subsidence observed in tract. July 12, 2017 - KP 10+400 to 10+450 and 10+550 – Scentless chamomile – picked bagged and disposed of.  September 11, 2017 – KP 10+240 to 10+710 – Intermittent herbicide application conducted to control scentless chamomile. September 16, 2017 - Silt Fencing was removed from both sides of drainage KP 10+200, issue resolved.","June 28, 2018 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control with some areas on work side exhibiting 65-80% cover. Previous low vegetation cover issues resolved. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, raspberry, large-leaf aven, and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willow and aspen. - Scentless chamomile (KP 10+610) observed, recommend herbicide application. - Drainage (D3) at KP 10+200 to 10+280 remains stable with vegetation cover at 80-100%. Both channels within drainage system functioning well with good cobble distribution providing good erosion control; no noticeable flow within channel.  - Cross-drains functioning properly. - No subsidence was identified within tract. July 16, 2018 – Intermittent herbicide application conducted to control scentless chamomile (KP 10+250, 10+610, and 10+640) and meadow hawkweed (KP 10+350 to 10+450). August 21, 2018 – KP 10+250, 10+650, and 10+700 - Scentless chamomile observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. Oct 2, 2018 – KP 10+200 to 10+280 – Silt fence removed as vegetation was observed to be adequate density to protect against sediment movement, issue resolved.",,,
NW 04-063-07 W6,Rare Plant 10+200,"- cat-tongue (formerly snake skin) liverwort (Conocephalum salebrosum; S2S4) individuals were located, E: 370557, N: 6032979 - Issue resolved.","June 18, 2017 - Vegetation cover is 65-80% comparable to off ROW control with small areas of lower vegetation cover (0–50%) on work side. Grasses beginning to establish along with broadleaf shrubs and willows.  - KP 10+530 – Scentless chamomile picked/bagged and disposed of. Additional controls recommended. - Trench crown present in tract and stable. Trench breaks functioning well as no pooling of water was observed. - Drainage at KP 10+280 stable and functioning well. Drainage is forked from two channel flows into one across pipeline ROW. Two channels are well vegetated at 65-80% cover. Previously installed erosion control material functioning well. - No subsidence observed in tract. July 12, 2017 - KP 10+400 to 10+450 and 10+550 – Scentless chamomile – picked bagged and disposed of.  September 11, 2017 – KP 10+240 to 10+710 – Intermittent herbicide application conducted to control scentless chamomile. September 16, 2017 - Silt Fencing was removed from both sides of drainage KP 10+200, issue resolved.","June 28, 2018 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control with some areas on work side exhibiting 65-80% cover. Previous low vegetation cover issues resolved. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, raspberry, large-leaf aven, and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willow and aspen. - Scentless chamomile (KP 10+610) observed, recommend herbicide application. - Drainage (D3) at KP 10+200 to 10+280 remains stable with vegetation cover at 80-100%. Both channels within drainage system functioning well with good cobble distribution providing good erosion control; no noticeable flow within channel.  - Cross-drains functioning properly. - No subsidence was identified within tract. July 16, 2018 – Intermittent herbicide application conducted to control scentless chamomile (KP 10+250, 10+610, and 10+640) and meadow hawkweed (KP 10+350 to 10+450). August 21, 2018 – KP 10+250, 10+650, and 10+700 - Scentless chamomile observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. Oct 2, 2018 – KP 10+200 to 10+280 – Silt fence removed as vegetation was observed to be adequate density to protect against sediment movement, issue resolved.",,,
,Watercourse (WC 2) unnamed tributary to Comeau Creek  10+380,"- no terrain instability (e.g., subsidence, erosion etc.) observed - good first-year vegetation establishment was observed for this watercourse crossing but moderate vegetation cover was observed upslope of the silt fencing - riprap was present on the ROW in the watercourse channel","June 18, 2017 - Watercourse 2, unnamed tributary to Comeau Creek at KP 10+380 appears stable. Both banks of watercourse beginning to vegetate well, showing 50-65% cover with grasses and willow emergence. Bed is stable with good cobble distribution; low flow within watercourse at this time. Erosion control material functioning well; monitor for adequate vegetation growth to remove material.  September 16 and 17, 2017 – Silt fencing removed from both sides of watercourse.","June 28, 2018 - WC 2 at KP 10+380 appears stable. Vegetation within riparian zone is continuing to establish well reaching 80-100% cover and thus further stabilizing both banks; excellent establishment of deciduous tree species along banks. No weed issues were identified along the banks of the watercourse. - No terrain instability was identified along both north and south banks of the crossing. - Good cobble distribution within bed of watercourse, functioning well as erosion control. Low flow observed within watercourse.  - Warning sign and posts are present on both banks and in good repair.",,,
,Rare Plant 10+370,"- cat-tongue (formerly snake skin) liverwort (Conocephalum salebrosum: S2S4) individuals were located, E: 370536, N: 6032806 - Issue resolved.","June 18, 2017 - Watercourse 2, unnamed tributary to Comeau Creek at KP 10+380 appears stable. Both banks of watercourse beginning to vegetate well, showing 50-65% cover with grasses and willow emergence. Bed is stable with good cobble distribution; low flow within watercourse at this time. Erosion control material functioning well; monitor for adequate vegetation growth to remove material.  September 16 and 17, 2017 – Silt fencing removed from both sides of watercourse.","June 28, 2018 - WC 2 at KP 10+380 appears stable. Vegetation within riparian zone is continuing to establish well reaching 80-100% cover and thus further stabilizing both banks; excellent establishment of deciduous tree species along banks. No weed issues were identified along the banks of the watercourse. - No terrain instability was identified along both north and south banks of the crossing. - Good cobble distribution within bed of watercourse, functioning well as erosion control. Low flow observed within watercourse.  - Warning sign and posts are present on both banks and in good repair.",,,
,Watercourse (WC 3) unnamed tributary to Comeau Creek 10+520,"- no terrain instability (e.g., subsidence, erosion etc.) observed directly associated with the watercourse. - good first-year vegetation establishment was observed for this watercourse crossing; however, moderate vegetation cover was observed upslope of the silt fencing - riprap was present on the ROW in the watercourse channel","June 18, 2017 - WC 3, unnamed tributary to Comeau Creek at KP 10+520 appears stable. Both banks are stable and vegetating well, with 65-80% cover. Willows establishing along banks. Bed is stable with good cobble distribution. Revetment posts functioning well as no slumping of banks was observed. Diversion berms on hill slopes leading to WC functioning well. Rollback on hill slopes functioning well as no 3rd party use was observed. Low flow was observed. Erosion control material functioning well; monitor for adequate vegetation growth to remove material.  September 16, 2017 – Silt fencing is no longer required as there is adequate vegetation to control sedimentation. Silt fencing removed.","June 28, 2018 - WC 3 at KP 10+520 appears stable. Vegetation within riparian zone is continuing to establish well reaching 80-100% cover and thus further stabilizing both banks; excellent establishment of deciduous tree species along banks. No weed issues were identified along the banks of the watercourse.  - No terrain instability was identified along both north and south banks of the crossing. - Revetment posts are stable within water crossing and functioning well to assist in bank stabilization.  - Good cobble / stone distribution within bed of watercourse, functioning well as erosion control. Low flow observed within watercourse. - Diversion berms and ditch plugs on south hill slope stable and functioning well. - Warning sign and posts are present on both banks and in good repair.",,,
,Municipal District Elevated Weed (low) 10+520,"- a bull thistle (Cirsium vulgare) individual was picked and disposed of properly in watercourse 3 - picked and disposed of properly on July 27, 2016","June 18, 2017 – No bull thistle observed, issue resolved.","June 28, 2018 - WC 3 at KP 10+520 appears stable. Vegetation within riparian zone is continuing to establish well reaching 80-100% cover and thus further stabilizing both banks; excellent establishment of deciduous tree species along banks. No weed issues were identified along the banks of the watercourse.  - No terrain instability was identified along both north and south banks of the crossing. - Revetment posts are stable within water crossing and functioning well to assist in bank stabilization.  - Good cobble / stone distribution within bed of watercourse, functioning well as erosion control. Low flow observed within watercourse. - Diversion berms and ditch plugs on south hill slope stable and functioning well. - Warning sign and posts are present on both banks and in good repair.",,,
,Watercourse (WC 4) unnamed tributary to Comeau Creek 10+830,"- no terrain instability (e.g., subsidence, erosion etc.) observed - good first-year vegetation establishment was observed for this watercourse crossing; however, moderate vegetation cover was observed upslope of the silt fencing - riprap was present on the ROW in the watercourse channel with erosion matting above","June 18, 2017 - Watercourse 4, unnamed tributary to Comeau Creek at KP 10+830 appears stable. Both banks are stable and vegetating well, with 65-80% cover. Willows, grasses and broadleaf shrubs establishing along banks. Bed is stable with good cobble distribution. Revetment posts functioning well as no slumping of banks was observed. Diversion berms leading to watercourse functioning well. Moderate flow was observed. Erosion control material functioning well; monitor for adequate vegetation growth to remove material.  September 16, 2017 – Silt fencing is no longer required as there is adequate vegetation to control sedimentation. Silt fencing removed.","June 28, 2018 - WC 4 at KP 10+830 appears stable. Vegetation within riparian zone is continuing to establish well reaching 80-100% cover and thus further stabilizing both banks; excellent establishment of deciduous tree species along banks. No weed issues were identified along the banks of the watercourse.  - No terrain instability was identified along both north and south banks of the crossing. - Revetment posts are stable within water crossing and functioning well to assist in bank stabilization.  - Good cobble distribution within bed of watercourse, functioning well as erosion control. Low flow observed within watercourse. - Warning sign and posts are present on both banks and in good repair.",,,
SW 04-063-07 W6,Access Control (Fence & Mounding) 11+250,,,"June 29, 2018 - Mounding present in tract KP 11+150 to 11+240. There is a path along work side to allow for ATV/UTV access through ROW. - 3<s>rd</s> party fence running across ROW at KP 11+250 is in good repair.",,,
SW 04-063-07 W6,Rollback 11+070 to 11+500,,"June 18, 2017 - Rollback present on north side of road crossing functioning well as no 3rd party use was observed.","June 29, 2018 - Rollback present from KP 11+070 to 11+120 and from 11+250 to KP 11+280.",,,
SW 04-063-07 W6,Moderate to High Issues with Plant Growth (high) 10+915 to 11+755 Noxious Weeds (low) 11+150,- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed - low cover of perennial sow thistle (Sonchus arvensis) was noted surrounding a road crossing both on and off the ROW,"June 18, 2017 - Vegetation cover in tract is 65-80% comparable to off ROW. Good establishment of grasses and broadleaf shrubs. 2016 decreased percent cover vegetation issue resolved. - No noxious weeds were observed in tract. - Trench breaks functioning well as no pooling of water was observed. July 12, 2017 - No Noxious weeds were identified. September 12, 2017 – KP 10+980 to 11+420 – Intermittent herbicide application conducted to control scentless chamomile.","June 29, 2018 - Vegetation establishment throughout majority of tract is 65-80% comparable to off ROW control. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, large-leaf aven, common yarrow and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willow and aspen. - KP 11+545 – Scentless chamomile observed, recommend herbicide application. - KP 11+140 to 11+185 – Rutting observed, reduced vegetation cover associated with rutting, recommend repairs. - KP 11+680 – Erosion observed, recommend repairs. - KP 11+500 – Marker sign/post requires repairs. - Cross drains are functioning well as no ponding was observed. - No subsidence was identified within tract. July 15, 2018 – Intermittent herbicide application conducted to control scentless chamomile, white cockle (KP 11+350), and meadow hawkweed (KP 11+545). August 21, 2018 – KP 11+280 to 11+435 and 11+350 to 11+580 – Scentless chamomile observed, recommend additional herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. Oct 2 and 3, 2018 – KP 11+140 to 11+185 - Repairs to rutting completed, continue to monitor for vegetation recovery. Oct 4, 2018 – KP 11+500 – Sign/marker post repaired, issue resolved. - KP 11+680 – Erosion repaired and erosion control materials installed, issue resolved.",,,
SE 04-063-07 W6,Moderate to High Issues with Plant Growth (moderate) 11+755 to 11+960,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 18, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - Cross drains functioning well. - No weeds identified on site. July 12, 2017 - No Noxious weeds were identified. September 12, 2017 - No noxious weeds observed in 1/4.","June 29, 2018 - Vegetation establishment throughout tract is 80-100% (increased from 65-80% from previous year assessment) comparable to off ROW control. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover, large-leaf aven, common yarrow, and birdsfoot trefoil. Deciduous tree species emerging throughout ROW including willows. - No noxious weeds were identified within tract. - Cross drains are functioning well as no ponding was observed. - No subsidence or erosion issues were identified within tract. August 21, 2018 – KP 11+750 to 11+950 – Several individual scentless chamomile plants were pick, bagged and disposed of. Sept 5, 2018 - No noxious weeds were identified on ROW.",,,
SE 04-063-07 W6,Western Toad Breeding Pond 11+800,- the western toad breeding pond was not disturbed by the construction of the ROW - Issue resolved.,"June 18, 2017 - KP 11+800 Western toad breeding pond looks to be functioning well and is not disturbed.","June 29, 2018 - Western Toad breeding pond on southern edge of ROW at KP 11+800 is in good condition with no signs of instability.",,,
NW 33-062-07 W6,Moderate to High Issues with Plant Growth (moderate) 11+960 to 12+270,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 18, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - Cross drains functioning well.  - No weeds identified on site.  July 12, 2017 - No Noxious weeds were identified. September 12, 2017 – KP 12+165 – Herbicide application conducted to control scentless chamomile.","June 29, 2018 - Vegetation establishment throughout tract is 80-100% (increased from 65-80% from previous year assessment) comparable to off ROW control. Native vegetation consisting of grasses, Indian paintbrush, bluebell, clover and large-leaf aven. Deciduous tree species emerging throughout ROW including willows. - No noxious weeds were identified within tract. - Cross drains are functioning as no ponding was observed. - No subsidence or erosion issues were identified within tract. August 21, 2018 – KP 12+100 – One scentless chamomile picked, bagged and disposed of. Sept 5, 2018 – KP 12+100 – Herbicide application conducted to control scentless chamomile.",,,
NE 33-062-07 W6,Rollback 12+500 to 12+750,,,"June 29, 2018 - Rollback between KP’s 12+500 and 12+750 remains unchanged and serving its purpose. No evidence of 3rd party use was observed.",,,
NE 33-062-07 W6,Moderate to High Issues with Plant Growth (moderate) 12+270 to 13+085,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 18, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - No soil stability issues. - KP 12+730 drainage, cobble and silt fence functioning well.  - Trench breaks functioning well.  July 12, 2017 - No Noxious weeds were identified. September 12, 2017 – KP 12+415 and 12+865 – Herbicide application conducted to control scentless chamomile. September 16, 2017 - Silt Fencing was removed from both sides of drainage KP 12+760 as slopes leading into drainage are well vegetated and silt fence is no longer providing function. Issue resolved.","June 29, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of mostly grasses, clover, raspberry, willows, avens, Indian paintbrush, bluebell, strawberry and sedges. - No noxious weeds were identified in this ¼. - KP 12+530 – Construction debris (partial piece of plywood) observed, recommend removal. - Diversion berms and cross drains in ¼ are functioning well, appear stable and vegetating. - Drainage at KP 12+750 is stable and functioning as it should. Soil wraps also appear stable and well vegetated with strong willow growth. Cobble is in place and providing effective erosion control across ditchline. - No erosion or subsidence was observed in ¼. August 21, 2018 – KP 12+710 – Canada thistle observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control Canada thistle (KP 12+710) and scentless chamomile. Oct 2, 2018 – KP 12+530 – Piece of plywood removed from ROW, issue resolved.",,,
NE 33-062-07 W6,Rare Plant 12+380,"- the meadow bittercress (Cardamine pratensis; SNA) population 12+380 was not located; however, the species is no longer considered rare by ACIMS - Issue resolved.","June 18, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - No soil stability issues. - KP 12+730 drainage, cobble and silt fence functioning well.  - Trench breaks functioning well.  July 12, 2017 - No Noxious weeds were identified. September 12, 2017 – KP 12+415 and 12+865 – Herbicide application conducted to control scentless chamomile. September 16, 2017 - Silt Fencing was removed from both sides of drainage KP 12+760 as slopes leading into drainage are well vegetated and silt fence is no longer providing function. Issue resolved.","June 29, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of mostly grasses, clover, raspberry, willows, avens, Indian paintbrush, bluebell, strawberry and sedges. - No noxious weeds were identified in this ¼. - KP 12+530 – Construction debris (partial piece of plywood) observed, recommend removal. - Diversion berms and cross drains in ¼ are functioning well, appear stable and vegetating. - Drainage at KP 12+750 is stable and functioning as it should. Soil wraps also appear stable and well vegetated with strong willow growth. Cobble is in place and providing effective erosion control across ditchline. - No erosion or subsidence was observed in ¼. August 21, 2018 – KP 12+710 – Canada thistle observed, recommend herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control Canada thistle (KP 12+710) and scentless chamomile. Oct 2, 2018 – KP 12+530 – Piece of plywood removed from ROW, issue resolved.",,,
