Location Legal Location (WPM),Location Construction Start KP,Location Construction End KP,Location Environment Start KP,Location Environment End KP,Land Use/ Environmental Feature,Construction KP of Issue,Environment KP of Issue,UTM of Issue (14 U),Issue(s) Observed,Observations/Comments,Repair Work Completed by Enbridge,Status,Recommendations/Notes,VEC,GIS,Topic
SW 15-9-27 (cont’d),11.896,11.936,971.530,971.570,Wetland No. 47,--,--,--,No issues observed.,2016 – Wetland was not disturbed during construction.,--,Resolved.,No further action required.,,,
SW 15-9-27 (cont’d),12.100,--,971.736,--,Rare Plant,--,--,--,No issues observed.,2016 – The population of tuberous-rooted sunflower (Helianthus nuttallii ssp. rydbergii) was observed and appeared healthy.,--,Resolved.,No further action required.,,,
SW 15-9-27 (cont’d),12.164,12.224,971.800,971.860,Wetland No. 48,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 15-9-27,12.484,13.302,972.115,972.938,Cultivated,12.484 to 13.302,972.122 to 972.942,351543E 5511888N to 352004E 5511789N,No issues observed.,2016 – The right-of-way was observed to be slightly rough. 2016 – The right-of-way was observed to be slightly rougher compared to off right-of-way. 2017 – No roughness observed.,--,Resolved.,No further action required.,,,
SE 15-9-27,12.484,13.302,972.115,972.938,Cultivated,12.700 to 12.904 13.008 to 13.0825,972.340 to 972.545 972.650 to 972.725,351402E 5511916N to 351603E 5511870N 351707E 5511850N to 351785E 5511844N,No issues observed.,"2015 – Higher density of weeds on right-of-way and within the Enbridge corridor compared to off right-of-way (lamb’s quarters, perennial sow-thistle, yellow/white sweet-clover and barnyard grass) (CH2M drainage and wetland assessment). 2016 – Reduced crop growth and density observed on the right-of-way. As a result, weeds were outcompeting the seeded crop. Moderate densities of foxtail barley, common plantain, yellow/white sweet-clover and wild oats were observed. No soil issues were observed. 2017 – Yellow/white sweet-clover, perennial sow-thistle, Canada thistle and smooth brome were observed at higher densities on right-of-way compared to off right-of-way. 2018 – Weed densities were equivalent on and off the right-of-way. Weeds observed include perennial sow-thistle, foxtail barley, yellow sweet-clover, Canada thistle, summer-cypress and poverty-weed.",--,Resolved.,No further action required.,,,
SE 15-9-27,12.500,--,972.139,--,Rare Plant,--,--,--,No issues observed.,2016 – The population of tuberous-rooted sunflower (Helianthus nuttallii ssp. rydbergii) was observed and appeared healthy.,--,Resolved.,No further action required.,,,
SE 15-9-27 (cont’d),12.500,--,972.139,--,Watercourse – Unnamed Drainage,--,--,--,No issues observed.,"2016 – Erosion control products remained installed. Desirable vegetation was establishing along both the eastern and western banks. Both the eastern and western banks appeared stable and there was no indication of erosion or sedimentation.  2017 – Erosion control products remained installed. Desirable vegetation was establishing along both the eastern and western banks. Both the eastern and western banks appeared stable and there was no indication of erosion or sedimentation. Weed observations of black medick, curled dock, white sweet-clover, foxtail barley, and lady's-thumb.  2018 – No bare soil, erosion or sedimentation was observed. Straw wattles were not detected.","August 2016 – Steel pegs were removed, and the straw wattles were left to biodegrade.",Resolved.,No further action required.,,,
SE 15-9-27 (cont’d),12.531,12.591,972.170,972.230,Wetland No. 49,12.531,972.170,351402E 5511917N,No issues observed.,2016 – Slow vegetation establishment at east and west wetland margins. 2017 – Slow vegetation establishment at west wetland margin. 2018 – Wetland vegetation is well established.,--,Resolved.,No further action required.,,,
SE 15-9-27 (cont’d),12.600,--,972.239,--,Rare Plant,12.600,972.239,351307E 5511941N,Vegetation – Rare plant.,"2016 – The population of Engelmann’s spikerush (Eleocharis engelmannii) was not observed. The site was densely revegetated with native wetland species, which is undesirable habitat for this species. Original site conditions may return in future years. 2017 – The population of Engelmann’s spikerush was not observed. The site was well revegetated with native wetland species, which is undesirable habitat for this species. Original site conditions may return in future years. 2018 – The population of Engelmann’s spikerush was not observed. The site was less vegetated, an improvement in the habitat preferences for this species.",--,Unresolved.   Monitor for rare plant presence in 2019.,,,,
SE 15-9-27 (cont’d),12.730,12.770,972.370,972.410,Wetland No. 50,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 15-9-27 (cont’d),12.919,12.988,972.560,972.630,Wetland No. 51,12.919,972.560,351703E 5511866N,No issues observed.,"2015 – Erosion rills located on the southeast margin of the wetland leading from the shoofly (CH2M drainage and wetland assessment). 2016 – Slow vegetation establishment at east and west wetland margins. 2017 – Weed observations of perennial sow-thistle, yellow sweet-clover and white sweet-clover. 2018 – Weed densities were low and equivalent on and off the right-of-way.",--,Resolved.,No further action required.,,,
SE 15-9-27 (cont’d),13.018,13.078,972.660,972.720,Wetland No. 52,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SE 15-9-27 (cont’d),13.187,13.227,972.830,972.870,Wetland No. 53,13.187,972.830,351923E 5511805N,No issues observed.,2016 – Slow vegetation establishment at east wetland margin. 2017 – Slow vegetation establishment at east wetland margin. 2018 – Wetland vegetation is well established.,--,Resolved.,No further action required.,,,
SW 14-9-27,13.332,14.044,972.969,973.790,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
SW 14-9-27,13.319,13.349,972.960,972.990,Wetland No. 54,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SW 14-9-27,13.399,13.438,973.040,973.080,Wetland No. 55,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SW 14-9-27,13.537,13.616,973.180,973.260,Wetland No. 56,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SW 14-9-27,13.646,13.695,973.290,973.340,Wetland No. 57,13.646,973.290,352385E 5511737N,Vegetation – Establishment. Landscape – Elevated trench crown.,"2016 – Slow vegetation establishment at east wetland margin. 2017 – Slow vegetation establishment at east wetland margin. Slightly elevated trench crown through wetland, but hydrology not impeded. 2018 – Slow vegetation establishment at east wetland margin. Slightly elevated trench crown through wetland that is impeding vegetation establishment within the wetland.",--,Unresolved.,Repair the elevated trench crown in Winter 2018/2019. Monitor trench crown repair and vegetation establishment in 2019.,,,
SW 14-9-27,13.785,13.844,973.430,973.490,Wetland No. 58,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
SW 14-9-27 (cont’d),13.893,13.943,973.540,973.590,Wetland No. 59,13.893,973.540,352636E 5511708N,Vegetation – Establishment.,2016 – Slow vegetation establishment at east wetland margin. 2017 – Slow vegetation establishment at east and west wetland margins. Subsidence approximately 40 cm wide and 10 m long was observed at west wetland margin. It has the potential to erode further. 2018 – Subsidence was not observed during the assessment. Slow vegetation establishment at the east margin.,--,Unresolved.,The subsidence issue is considered resolved. Monitor vegetation establishment in 2019.,,,
NW 11-9-27,14.083,14.205,973.604,973.726,Cultivated,14.083 to 14.205,973.704 to 973.806,352717E 5511628N to 352814E 5511554N,No issues observed.,2016 – Reduced crop growth and density was observed on the right-of-way. No soil issues were observed. 2017 – Reduced crop growth and density was observed on the right-of-way. No soil issues were observed. 2018 – Reduced crop growth and density was observed on and off the right-of-way within a low wet area. No soil issues were observed.,--,Resolved.,Reduced crop growth due to cultivation in the Class II/III zone of adjacent wetlands and is not related to the Project. No further action required.,,,
NW 11-9-27,14.125,14.165,973.620,973.630,Wetland No. 60,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 11-9-27,14.205,15.031,973.726,974.552,Treed Tame Pasture,14.205 to 15.031,973.806 to 974.613,352814E 5511554N to 353628E 5511400N,No issues observed.,"2015 – Higher density of weeds on right-of-way and within the Enbridge corridor compared to off right-of-way (lamb’s quarters, perennial sow-thistle, yellow/white sweet-clover and barnyard grass) (CH2M drainage and wetland assessment). 2016 – Sweet yellow/white clover, quack grass perennial sow-thistle, and Canada thistle were observed at higher densities on right-of-way compared to off right-of-way. 2017 – Sweet yellow/white clover, quack grass, stinkweed, perennial sow-thistle, and Canada thistle were observed at higher densities on right-of-way compared to off right-of-way. 2018 – Weed densities were comparable on and off the right-of-way.",--,Resolved.,No further action required.,,,
NE 11-9-27 (cont’d),14.176,14.391,973.710,973.790,Wetland No. 61,14.012,973.710,352885E 5511562N,Landscape – Elevated trench crown.,"2016 – Wetland health: healthy and high functional condition. Elevated trench crown altering the natural contours of the east wetland margin and allowing encroachment of weeds into centre of wetland. Weed observations of Canada thistle and perennial sow-thistle.  2017 – Wetland health: healthy and high functional condition. Elevated trench crown altering the natural contours of the east wetland margin and allowing encroachment of weeds into centre of wetland. Weed observations of Canada thistle and perennial sow-thistle. 2018 – Wetland health: healthy and high functional condition. An elevated trench crown was observed at the east margin; however, the elevated trench crown does not impede hydrological function. Weed densities within the wetland were comparable on and off the right-of-way. Weed densities were low and observations include Canada thistle and perennial sow-thistle.",--,Unresolved.,Under different hydrological conditions (caused by annual fluctuations in climate) the elevated trench crown may provide habitat for weeds to encroach into the wetland. Repair the elevated trench crown in Winter 2018/2019. Monitor the trench crown repair in 2019.,,,
NE 11-9-27 (cont’d),14.609,14.660,974.230,974.280,Wetland No. 62,14.609,974.230,353226E 5511492N,No issues observed.,"2016 – Slightly elevated trench crown at east wetland margin allowing weed encroachment. Weed observations of sweet-clover and quack grass. 2017 – Slightly elevated trench crown at east wetland margin, but hydrology not impeded. 2018 – Elevated trench crown not observed at the time of assessment.",--,Resolved.,No further action required.,,,
NE 11-9-27 (cont’d),14.791,14.802,974.410,974.420,Wetland No. 63,14.791,974.410,353369E 5511447N,Landscape – Elevated trench crown.,2016 – Elevated trench crown within wetland boundaries and potential to impede hydrology. 2017 – Elevated trench crown within wetland boundaries. Trench break in place maintaining hydrology connectivity. Weed observations of Canada thistle. 2018 – Elevated trench crown within wetland boundaries that is impeding hydrology. Weeds observed at low densities.,--,Unresolved.   Weeds were observed at low densities and,the weed issue is considered resolved. Repair the elevated trench crown in Winter 2018/2019. Monitor the trench crown repair in 2019.,,,
NE 11-9-27 (cont’d),14.800,--,974.364,--,Rare Plant,--,--,--,No issues observed.,2016 – The population of green needle grass (Nassella viridula) was observed and appeared healthy.,--,Resolved.,No further action required.,,,
NE 11-9-27 (cont’d),14.900,--,974.464,--,Rare Plant,--,--,353504E 5511411N,Vegetation – Rare plant.,2016 – The population of tuberous-rooted sunflower (Helianthus nuttallii ssp. rydbergii) was not observed. Related species with similar habitat requirements were observed at the site and in surrounding area. 2017 – The population of tuberous-rooted sunflower was not observed. Related species with similar habitat requirements were observed at the site and in surrounding area. 2018 – The population of tuberous-rooted sunflower was not observed. Related species with similar habitat requirements were observed at the site and in surrounding area.,--,Unresolved.   Monitor for rare plant presence in 2019,,,,
NE 11-9-27 (cont’d),14.900,14.925,974.540,974.560,Wetland No. 64,--,--,--,No issues observed.,2016 – Wetland health: healthy and high-moderate functional condition. This wetland was noted as having more woody vegetation pre--construction. Potential class alteration from swamp to marsh. Weed observations of foxtail barley and white sweet-clover. 2017 – Wetland health: healthy and high-moderate functional condition. Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 11-9-27 (cont’d),14.993,15.021,974.630,974.650,Wetland No. 65,--,--,--,No issues observed.,2016 – Reduced wetland plant health observed. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 12-9-27,15.061,15.882,974.747,975.435,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
NW 12-9-27,15.152,15.191,974.660,974.700,Wetland No. 66,--,--,--,No issues observed.,2016 – Reduced wetland plant health observed. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 12-9-27,15.479,15.543,975.000,975.070,Wetland No. 67,--,--,--,No issues observed.,2016 – Slow vegetation establishment and noted change in vegetation composition. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 12-9-27,15.621,15.689,975.170,975.240,Wetland No. 68,--,--,--,No issues observed.,2016 – Slow vegetation establishment at wetland margins. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 12-9-27,15.844,15.911,975.400,975.470,Wetland No. 69,--,--,--,No issues observed.,2016 – Slow vegetation establishment and noted change in vegetation composition. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 12-9-27,15.882,16.690,975.435,976.263,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
NE 12-9-27,15.989,16.124,975.550,975.690,Wetland No. 70,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 12-9-27,16.221,16.356,975.790,975.930,Wetland No. 71,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 7-9-26,16.720,17.515,976.294,977.094,Cultivated,16.845 to 16.915,976.424 to 976.494,355414E 5511345N to 355492E 5511334N,No issues observed.,2016 – Moderate soil compaction was observed in the upper 10-15 cm of topsoil causing reduced crop height and overall establishment.  2017 – No compaction observed.,--,Resolved.,No further action required.,,,
NW 7-9-26,16.772,16.822,976.350,976.400,Wetland No. 72,16.772,976.350,355417E 5511348N,Landscape – Erosion and subsidence.,2016 – Slow vegetation establishment at wetland margins. 2017 – Slow vegetation establishment at wetland margins. An area of minor subsidence and erosion (approximately 15 cm deep) at west wetland margin.  2018 – Wetland vegetation is well established. Minor erosion from overland flow into the wetland was observed at the west margin in the cultivated edge.,--,Unresolved.   The vegetation establishment issue is,considered resolved. Recontour the eroded area and monitor the erosion in 2019.,,,
NW 7-9-26,16.901,17.011,976.480,976.590,Wetland No. 73,16.901,976.480,355610E 5511317N,Landscape –Subsidence.,2016 – Wetland health: healthy and high-moderate functional condition. Slow vegetation establishment at east margin due to elevated water levels. Weed observations of foxtail barley. 2017 – Wetland health: healthy and high-moderate functional condition. Slow vegetation establishment at east margin. Minor subsidence (approximately 15 cm deep in an area of 5 m by 5 m) causing a depression at the east wetland margin. Weed observations of foxtail barley and perennial sow-thistle. 2018 – Wetland health: unhealthy and high-moderate functional condition. Wetland vegetation is well established. Weed densities are moderate on and off the right-of-way and include Canada thistle and perennial sow-thistle. A 3 m x 3 m area of subsidence was observed at the east margin.,--,Unresolved.,The health and function of the wetland is affected by cultivation through the margin. The vegetation establishment issue is considered resolved. Repair the area of subsidence in Winter 2018/2019. Monitor subsidence repair in 2019.,,,
NW 7-9-26,17.289,17.309,976.870,976.890,Wetland No. 74,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 7-9-26,17.515,18.341,977.094,977.896,Cultivated,--,--,--,No issues observed.,"2016 – Equivalent land capability has been achieved. 2017 – Canada thistle, foxtail barley and perennial sow-thistle observed along boundary of right-of-way, but not off right-of-way. 2018 – Weeds are equivalent on and off the right-of-way.",--,Resolved.,No further action required.,,,
NE 7-9-26 (cont’d),17.515,18.341,977.094,977.896,Cultivated,17.740,,356311E 5511226N,No issues observed.,2016 – Equivalent land capability has been achieved. 2017 – Minor rill erosion originating from off right-of-way identified as a potential concern. No issued identified during assessment.,,Resolved.,No further action required.,,,
NW 8-9-26,18.341,19.158,977.927,978.749,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
NE 8-9-26,19.158,19.974,978.749,979.572,Cultivated,--,--,--,No issues observed.,"2016 – Equivalent land capability has been achieved. 2017 – Surveyed meter station for weeds, no issues observed. Site was seeded late, so assessment was limited",--,Resolved.,No further action required.,,,
NW 9-9-26,20.004,20.751,979.602,980.408,Cultivated,20.020 to 20.160 20.308 to 20.485,979.623 to 979.764 979.912 to 980.086,358567E 5510927N to 358709E 5510896N 358858E 5510891N to 358936E 5510882N,No issues observed.,2016 – Two areas of minor subsidence (approximately 15 cm deep) were noted along the right-of-way. 2017 – No subsidence observed,--,Resolved.,No further action required.,,,
NW 9-9-26,See above,See above,See above,See above,See above,20.520 to 20.585,980.121 to 980.186,359066E 5510867N to 359130E 5510864N,No issues observed.,"2016 – An area east of a dugout was slightly rough. 2016 – On May 6, 2016, an onsite meeting was held with Enbridge and the landowner and it was determined that the rough spot was too wet to address in the spring. The landowner agreed to seed this area on the condition that it would be reassessed in the fall.  2016 – The right-of-way was observed to be slightly rougher compared to off right-of-way. 2017 – No roughness observed.",--,Resolved.,No further action required.,,,
NW 9-9-26,20.004,20.751,979.602,980.408,Cultivated,20.004 to 20.751,--,--,Vegetation –  Establishment,2017 – Several bare soil patches observed on right-of-way. 2018 – Several bare soil patches observed on right-of-way. No immediate soil impediments to crop growth identified.,--,Unresolved.,Conduct further soil testing to determine issue.,,,
NW 9-9-26,20.166,20.206,979.770,979.810,Wetland No. 75,--,--,--,No issues observed.,2016 – Wetland was not disturbed during construction.,--,Resolved.,No further action required.,,,
