Legal Land Description (W4),Land Use,1st Year (2015) Issue(s),<s>2nd Year (2016) PCRM Assessment and Work Completed</s>,3rd Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE-04-076-06,Forested,Limited Vegetation Establishment (Moderate Issue),"Sept 15, 2016 - 70-80% vegetation established compared to off ROW.  2015 limited vegetation issue resolved. - KP 9+750 to 10+200 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.","June 29, 2017 – Intermittent perennial sow thistle observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle observed, recommend weed control. Aug 25, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 9+510 to 10+050 and 10+215).  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 9+410 to 9+610 appears to be at full functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, broadleaf shrubs and sphagnum moss. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, rush, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled from influence from saturation. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed",,,
,,Access Control / Microsites,"Aug 4, 2016 - Rollback has been installed at KP 10+200, adjacent ROW does not have access control measures installed. - Above ground pipelines in the area may cause minor access issues when attempting to access road crossings.",,,,
,,"Rare Plant – KP 10+215 Over 100 goldthread (S3; Coptis trifolia) individuals were observed along a cutline on the south side of the right-of-way. Successfully resolved, no further monitoring required.","Additional monitoring mistakenly committed to in June 24, 2016 NEB IR.  NEB IR mistakenly identified with location having golden saxifrage pre-disturbance.  Proper location is presumed to be at KP 11+070.",,,,
NW-04-076-06,Forested,Limited Vegetation Establishment (Moderate Issue),"Sept 15, 2016 - 70-80% vegetation established compared to off ROW. 2015 limited vegetation issue resolved. - KP 10+270 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.","June 29, 2017 – Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 25, 2017 – KP 10+420 to 10+950 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.",,,
NW-04-076-06,Forested,Ponding (High Issue),Ponding repaired in January 2016.  Issue resolved.,"June 29, 2017 – Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 25, 2017 – KP 10+420 to 10+950 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.",,,
NW-04-076-06,Forested,Coarse Woody Debris Layer (High Issue),Coarse woody debris distributed in January 2016.  Issue resolved.,"June 29, 2017 – Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 25, 2017 – KP 10+420 to 10+950 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.",,,
NW-04-076-06,Forested,Invasive Weeds (High Issue),Lamb’s quarters no longer evident during assessments.  Issue resolved.,"June 29, 2017 – Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle and scentless chamomile observed, recommend weed control. Aug 25, 2017 – KP 10+420 to 10+950 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.",,,
NW-04-076-06,Forested,"Rare Plant – KP 10+880 Both transplanted logs (Tree #1 and Tree #2) were identified on August 11, 2015 and observed to contain Ochrolechia Lichen (S1S3; Ochrolechia szatalaensis). Tree translocation off right-of-way appears successful. Successfully resolved, no further monitoring required.",,,,,
NW-04-076-06,Forested,"Rare Plant – KP 10+880 Both transplanted logs (Tree #1 and Tree #2) were identified and observed on August 11, 2015 to contain Rinodina Lichen (SU; Rinodina degeliana) Tree translocation off right-of-way appears successful. Successfully resolved, no further monitoring required.",,,,,
NW-04-076-06,Forested,"Rare Plant – KP 10+880 Both transplanted logs (Tree #1 and Tree #2) were identified and observed on August 11, 2015 to contain Punctelia lichen (Not listed; Punctelia perreticulata). Tree translocation off right-of-way appears successful. Successfully resolved, no further monitoring required.",,,,,
NW-04-076-06,Forested,"Rare Plant – KP 10+900 One subpopulation of goldthread (S3; Coptis trifolia) was located at least 25 m off the proposed footprint during pre-construction inspections. No extra work space was taken at this location, so the rare plant at KP 10+900 was not impacted by construction activities Successfully resolved, no further monitoring required.",,,,,
,,"Late Successional Forest - Mitigation Observed – KP 11+000 to 11+100 Mitigation prescribed in the EPP (e.g., narrowing of the right-of-way etc.) was observed in the area identified as late successional forest. Issue resolved",,,,,
,,Limited Vegetation Establishment (Moderate Issue),"Aug 13, 2016 - 60-70% vegetation established compared to off ROW.  2015 limited vegetation issue resolved. Sept 15, 2016 - 70-80% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.","June 28 and 29, 2017 – Intermittent perennial sow thistle observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - Intermittent perennial sow thistle observed, recommend weed control. Aug 25, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 10+950 to 11+035 and 11+100 to 11+210), scentless chamomile (KP 11+150 to 11+215), and Canada-thistle (KP 11+010 and 11+100).  Issue resolved.",,,
,,Rare Plant – KP 11+050 Riccardia liverwort (S3S4; Riccardia latifrons) location was possibly identified large trees had collapsed over the area although the species was not found. Monitor in subsequent assessments – unsuccessful and unresolved,"The transplant location of #1 is unknown and could not be located during the site reconnaissance. Species not observed at the historically recorded off-ROW pre-disturbance locations (#2 and #3). Habitat at the off-ROW pre-disturbance locations was not physically disturbed during construction; however, a large tree has fallen on the suspected location of #3 since the initial pre-disturbance observation. As habitat associated with the off-ROW occurrences of this species has been maintained relative to the expected pre-disturbance condition of the site (based on off-ROW observation) it is considered likely that this species will persist at this location. Further monitoring at this location is not recommended.",,,,
,,Rare Plant – KP 11+050 Scapania liverwort (S2S4; Scapania glaucocephala) location was possibly identified although the species was not found as large trees had collapsed over the area. Monitor in subsequent assessments – unsuccessful and unresolved,"The transplant location of #1 is unknown and could not be located during the site reconnaissance. Species not observed at the historically recorded off-ROW pre-disturbance locations (#2 and #3). Habitat at the off-ROW pre-disturbance locations was not physically disturbed during construction; however, a large tree has fallen on the suspected location of #3 since the initial pre-disturbance observation. As habitat associated with the off-ROW occurrences of this species has been maintained relative to the expected pre-disturbance condition of the site (based on off-ROW observation) it is considered likely that this species will persist at this location. Further monitoring at this location is not recommended.",,,,
,,"Rare Plant – KP 11+070 Golden saxifrage (S4; Chrysosplenium iowense) was not observed on the right-of-way. Habitat on the right-of-way was characterized as suitable for re-establishment. Due to recent changes to the ACIMS classification – golden saxifrage is no longer considered rare. Additional monitoring committed to in June 24, 2016 NEB IR.","Species not observed on the disturbed portion of the ROW.  Based on site observations, post-construction re-contouring is considered ineffective with respect to re-establishing pre-construction surface hydrology conditions (expected pre-disturbance condition based on off-site habitat observations). Unsuitable hydrology conditions and litter accumulation from competing graminoid (grass) species are likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since construction, the mitigation strategy employed at this location is considered ineffective. Further monitoring at this location is not recommended",,,,
,,Microtopography Issue (Moderate Issue),"Sept 15, 2016 - Erosion control berms are vegetating well, but some minor rill erosion was present where bare soil was exposed. Continue to monitor for veg establishment or further erosion concerns.",Erosion and slumping issues previously noted are no longer evident.  Issues resolved.,,,
,Unnamed Watercourse (WC3),None,"Aug 4, 2016 - Watercourse 3 riparian buffers are stable and well vegetated, revetments are in good condition. - Silt fencing, no longer required.  Vegetation is providing adequate sediment control.  Remove as soon as practical. - Some minor rill erosion observed between berms on watercourse slopes, waddles are effectively managing sediment, monitor. Aug 13, 2016 - Pulled silt fencing, issue resolved.","Aug 18, 2017 - Tributary to Sunday Creek, banks are stable and vegetated.",,,
,Forested,Ditch Plug (Moderate Issue),Repairs conducted in January 2016.  Issue resolved.,,,,
SE-05-076-06,Forested,Limited Vegetation Establishment (Moderate Issue),"Aug 13, 2016 - 40-60% vegetation established compared to off ROW. - KP 11+230 and 11+400 - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. - KP 11+600 - Minor subsidence observed, it is not impacting the recovery of the ROW or causing pipeline integrity concern.  Issue resolved. Sept 13, 2016 – KP 11+230 and 11+400 – Additional herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved","June 28, 2017 – Intermittent perennial sow thistle observed and scentless chamomile at KP 11+500, recommend weed control. Aug 18, 2017 - Vegetation established at 80-100% of off ROW.  2015 and 2016 limited vegetation issues resolved. - No erosion or subsidence issues Intermittent perennial sow thistle observed and scentless chamomile at KP 11+500, recommend weed control. Aug 25, 2017 – Intermittent herbicide application conducted to control perennial sow thistle patches (KP 11+250 to 11+460 and 11+640 to 12+045), scentless chamomile (KP 11+150 to 11+215 and 11+300 to 11+430, 11+475 and 11+640 to 12+045).  Issue resolved.",,,
SW-05-076-06 and  NW-05-076-06,Forested,Limited Vegetation Establishment (Moderate Issue),"Aug 13, 2016 - 30-40% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.  Sept 13, 2016 – Additional intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.","Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  2015 and 2016 limited vegetation issues resolved. - No erosion or subsidence issues - Intermittent perennial sow thistle observed throughout the tract, recommend weed control. Aug 23, 2017 – KP 12+045 to 12+075 - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.",,,
NW-05-076-06,Sunday Creek (WC4),None,"Aug 4, 2016 - Watercourse 4 riparian buffers are stable and well vegetated, revetments are in good condition. - Silt fencing is no longer required, vegetation is providing adequate sediment control.  Remove as soon as practical. - Minor rill erosion observed between erosion control berms on watercourse slopes, waddles installed between the berms is effectively managing sedimentation. No further work recommended. Aug 13, 2016 - Pulled silt fencing, issue resolved.",No issues noted.,,,
NW-05-076-06,Forested,Subsidence (Moderate Issue),"Aug 13, 2016 - 60-70% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (KP 12+380, 12+670, and 12+780) and scentless chamomile (KP 12+780).  Issue resolved.  Sept 13, 2016 – Additional herbicide application conducted to control perennial sow thistle (KP 12+380, 12+670, and 12+780) and scentless chamomile (KP 12+780).  Issue resolved.","June 28, 2017 – Intermittent perennial sow thistle, common tansy and scentless chamomile observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW - No erosion or subsidence issues. – Intermittent perennial sow thistle, common tansy and scentless chamomile observed, recommend weed control. Aug 23, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 12+075 to 12+150 and 12+220 to 12+750), common tansy (KP 12+075 to 12+100 and 12+540 to 12+750), and scentless chamomile (KP 12+045 to 12+750).",,,
NW-05-076-06,Forested,Rare Plant – KP 12+330 to 12+360 Goldthread (S3; Coptis trifolia) was not observed on the right-of-way. Habitat on the right-of-way was characterized as potentially suitable. Monitor in subsequent assessments –unsuccessful and unresolved,"Species not observed on the disturbed portion of the ROW, although it was observed off ROW. Based on the general habitat requirements of this species, mitigation measures used during construction (i.e. restoration of pre-disturbance contours) are considered ineffective with respect to restoring hydrology and other habitat conditions (sun exposure) favorable for species re-establishment at this location. As habitat conditions are not likely to support re-establishment of this species, and no observations (on-ROW) have been recorded during two consecutive monitoring events, further monitoring at this location is not recommended. Given numerous off-site observations of this species, it is considered likely that this population will persist locally.",,,,
NW-05-076-06,Forested,Access Control / Microsites,,"Aug 18, 2017 - Rollback Access Control is present and functioning",,,
