Environmental Issue/Concern,Legal Location/Site,Current Status 2010,Current Status 2011,Current Status 2012,Current Status 2013,Current Status 2014,Recommendations/Schedule for 2015,VEC,GIS,Topic
Conversion  Site contours,Digs 621-626 NW 19-15-4 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012 •  No further issues,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Site contours,Shilo Meter Station NE 31-12-17 WPM,Not applicable,Not applicable,Not applicable,•  Subsidence east of Meter Station observed during spring assessment •  Topsoil was hauled into east side of meter station and filled in subsidence in Fall of 2013 •  No further issues,"•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 829 NW 25-12-17 WPM,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","•  No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Digs 882 - 883 SE 30-12-16 WPM,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment •  Dig site was stripped, re-graded and reclaimed in Fall of 2013 •  No further issues","• No issues, No work required",Monitor in 2015,,,
Conversion  Site contours,Dig 970 NE 19-12-15 WPM,Not applicable,Not applicable,Not applicable,Not applicable,"• Subsidence on dig site observed during spring assessment • Dig site was stripped, re-graded and reclaimed in Fall of 2014 • No further issues",Monitor in 2015,,,
Conversion  Site contours,Dig 1044 SW 28-11-10 WPM,Not applicable,Subsidence on dig site observed during Fall Assessment.,•  Work was not completed in 2012,•  Re-assessed Spring 2013 – No work required  •  Subsidence repaired during normal farming operations,"• No issues, No work required",Monitor in 2015,,,
Conversion  Land levelling,SE 24-10-5-WP  Carman Sales M/S,"Spots backfilled over line on new RoW has settled in some spots and water is pooling, topsoil may be require to be brought in to fill these spots, or re grading. Land owners drainage ditch was not contoured back to grade and water is not running through it but pooling in it instead.  Re-contour soil on new RoW, topsoil may be required to be brought in to fill these spots. Re-contour drainage ditch to allow water to move without pooling. - Spring thru Fall 2011",Field was not land levelled in 2011 due to lack of specialized equipment availability.,"•  Field was not land levelled in 2012. •  Although work is required to address uneven contours, there are no known crop production issues at these locations.",•  Field was not land levelled in 2012. •  Land-leveling work is required to restore field surface contours.,• Land levelling was completed during summer / fall 2014. • Land-levelling work was required to restore field surface contours.,Monitor in 2015,,,
Conversion  Potential soils mixing-monitor,SE 6-18-29-W2 Digs 288-294,"Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the right-of-way. As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified. Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required","SSites assessed prior to seeding, during growing season, before harvest and after harvest. Crop production same as off right-of-way in majority of site, with small locations of slightly more sparse crops.  ubsidence observed in 2011 assessments, with most completed.","•  Sites were assessed in Spring/Summer 2012.  •  Soils were similar on and off right-of way, as well as on the right-of-way on non-disturbed areas.  •  Crop production was no different over these areas than off ROW and on ROW in other non-disturbed areas. •  Subsidence areas were stripped and re-graded for repair •  In other areas topsoil was uneven and was disked and levelled. •  No further work required.","•  Sites were assessed in Spring 2013. •  Soil continues to be similar on and off right-of-way, as well as on the right-of-way on non-disturbed areas. •  Stubble density consistent on and off right-of-way, as well as on the right-of-way in non-disturbed areas •  No issues raised by landowners •  No work required","• No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Potential soils mixing-monitor,SW 5-18-29-W2 Digs 295-296,Same as above,Same as above,•  Same as above,•  Same as above,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Potential soils mixing-monitor,"SE 5-18-29-W2 Digs 297, 298.1, 299",Same as above,"Sites assessed prior to seeding, during growing season, before harvest and after harvest. Crop production same as off right-of-way in majority of site, with small locations of slightly more sparse crops.",•  Same as above,•  Same as above,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Potential soils mixing-monitor,SW 35-17-28-W2 Digs 405-406,Same as above,Same as above,•  Same as above,•  Same as above,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Potential soils mixing-monitor,SE 33-17-27-W2 Dig 409,Same as above,Same as above,•  Same as above,•  Same as above,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion Erosion Control Repair,SW 16-12-13 WPM Dig 1021,Not applicable,2011 assessment indicate erosion control matting requires repair or replacement,•  Assessed in late Fall 2012,"•  Small area on access has been re-seeded, approx. 40% coverage in first year. Erosion control matting has been installed along with temporary fencing.",•  Small area on access has been re-seeded late October. Erosion control matting has been repaired. Temporary fencing still in place.,Monitor in 2015,,,
Conversion Erosion Control Repair,NW 10-12-13 WPM Dig 1024,Not applicable,Not applicable,Not applicable,Not applicable,•  Small area within dig site has poor vegetation cover 40%. Site has been re-seeded late October. Erosion control has been applied. Temporary fencing has been installed around dig site.,Monitor in 2015,,,
Conversion Fence Removal,SW 18-18-8 W3M Dig 149.9.1,Not applicable,2011 assessment indicate temporary barb-wire fencing can be removed,•  Fencing was removed and vegetation was mowed •  No issues and no further work required,•  Good vegetation – No issues no work required,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion Fence Removal,SW 9-18-6 W3M Dig 187,Not applicable,Same as above,•  Fencing was removed and vegetation was mowed •  No issues and no further work required,•  Good vegetation cover •  Downy brome observed – Picking and spraying completed.,•  Good vegetation cover •  Re-seeding completed on areas where downy brome have been picked. •  Downy brome observed – Picking and spraying completed.,Assess downy brome in 2015 Pick / spray as required,,,
Conversion Fence Removal,SW 4-18-4 W3M Dig 214,Not applicable,Same as above,•  Fencing was removed and vegetation was mowed •  No issues and no further work required,•  Good vegetation – No issues no work required,"•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
Conversion  Re-seeding,NE 26-19-24-W3 Dig 20  MLV 3 (22+730.066),Dig site requires re-seeding. Re-seed - Spring thru Fall 2011.,Site completed - No further work required,•  Good vegetation - No issues and no further work required,•  Damage to vegetation from burrowing animals.  •  Re-seeding completed,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,SW 26-19-23-W3 Dig 21 MLV 4 (1+856.868),Same as above,Site completed - No further work required,•  Good vegetation - No issues and no further work required,•  Good vegetation - No issues and no further work required,•  Good vegetation - No issues and no further work required,No issues. PCEM is considered to be complete.,,,
Conversion  Re-seeding,SE 25-19-23-W3 Dig 21.1  MLV 4 (4+709),Dig site requires re-seeding.,Site completed - No further work required,•  Good vegetation - No issues and no further work required,•  Good vegetation - No issues and no further work required,•  Good vegetation - No issues and no further work required,No issues. PCEM is considered to be complete.,,,
Conversion  Re-seeding,23 Sites between NE 36-19-26 W3M and SE 24-10-5 WPM,Not applicable,Facilities and dig sites requiring re-seeding,•  Seeding completed on all sites,•  Assessed and vegetation growth is acceptable,•  Good vegetation - No issues and no further work required,No issues. PCEM is considered to be complete.,,,
Conversion  Re-seeding,Burstall Launch / Receiver Site,Not applicable,Not applicable,Not applicable,•  South east corner of the permanent top soil pile required re-seeding •  Seeding complete,•  South east corner of the permanent top soil pile required re-seeding •  Seeding complete,Monitor in 2015,,,
Conversion  Re-seeding,Burstall M/S; MLV 2 (13+178.898),Not applicable,Not applicable,Not applicable,•  Areas on the south and west outside compound require seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Dig 150,Not applicable,Not applicable,Not applicable,•  Small areas on access require seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Dig 154,Not applicable,Not applicable,Not applicable,•  Northeast corner of dig site required seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Dig 467,Not applicable,Not applicable,Not applicable,•  Dig site requires re-seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Dig 513,Not applicable,Not applicable,Not applicable,•  Dig site requires re-seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Richardson Drip Removal Site,Not applicable,Not applicable,Not applicable,•  Site requires re-seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Digs 628 – 629,Not applicable,Not applicable,Not applicable,•  Dig site / access requires re-seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,MLV 23,Not applicable,Not applicable,Not applicable,•  East side of valve site requires re-seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Dig 720,Not applicable,Not applicable,Not applicable,•  Dig site requires re-seeding. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,Shilo Meter Station Site,Not applicable,Not applicable,Not applicable,•  East side of M/S compound requires re-seeding after subsidence repair. •  Seeding complete,•  Good vegetation - No issues and no further work required,Monitor in 2015,,,
Conversion  Re-seeding,NW 10-12-13 WPM Dig 1024,Not applicable,Not applicable,Not applicable,Not applicable,•  Small area within dig site has poor vegetation cover 40%. Site has been re-seeded late October. Erosion control has been applied. Temporary fencing has been installed around dig site.,Monitor in 2015,,,
