Legal Location (W6M),1st Year (2013) Issue(s),1st Year (2013) Notes,2nd Year (2014) PCM Assessment,2015 PCM Assessment,VEC,GIS,Topic
NE 29-96-9,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated (2013 moderate vegetation issue is resolved). The shrubby swamp areas had standing water throughout the ROW. The vegetation included sedges, reed grass, dwarf birch and willows. The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,,,,,
NW 29-96-9,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated. The vegetation throughout this area included sedges, reed grass, dwarf birch and willows (2013 moderate vegetation issue is resolved). The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. Small native spruce trees observed throughout this area. Spruce tree planting was observed to begin at approximately 18+800. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 29-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated. The vegetation throughout this area included sedges, reed grass, dwarf birch and willows (2013 moderate vegetation issue is resolved). The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. Small native spruce trees observed throughout this area. Spruce tree planting was observed to begin at approximately 18+800. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 30-96-9,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated. The vegetation throughout this area included sedges, reed grass, dwarf birch and willows (2013 moderate vegetation issue is resolved). The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. Small native spruce trees observed throughout this area. Spruce tree planting was observed to begin at approximately 18+800. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 30-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated. The vegetation throughout this area included sedges, reed grass, dwarf birch and willows (2013 moderate vegetation issue is resolved). The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch and Labrador tea. Small native spruce trees observed throughout this area. Spruce tree planting was observed to begin at approximately 18+800. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 30-96-9,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated with both herbaceous and woody species (2013 moderate vegetation issue is resolved). The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch, and Labrador tea. Small native spruce trees observed throughout this area. Spruce tree planting was observed throughout mixed wood forest area. There was a tree plot area at 19+900.  There was good woody growth through this section of ROW with species including; poplar, aspen, prickly rose.  There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 30-96-9,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated with both herbaceous and woody species (2013 moderate vegetation issue is resolved). The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch, and Labrador tea. Small native spruce trees observed throughout this area. Spruce tree planting was observed throughout mixed wood forest area. There was a tree plot area at 19+900.  There was good woody growth through this section of ROW with species including; poplar, aspen, prickly rose.  There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 30-96-9,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated with both herbaceous and woody species (2013 moderate vegetation issue is resolved). The treed fen areas had vegetation, which included various native woody species such as willows, dwarf birch, and Labrador tea. Small native spruce trees observed throughout this area. Spruce tree planting was observed throughout mixed wood forest area. There was a tree plot area at 19+900.  There was good woody growth through this section of ROW with species including; poplar, aspen, prickly rose.  There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 25-96-10,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species (2013 moderate vegetation issues resolved). Planted spruce trees were observed throughout this section of the ROW and all the trees observed were in good health. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 25-96-10,Invasive Species,"Invasive species observed at KP 21.2 at the Meter Station.  Invasive species were removed on October 8, 2013.","The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species (2013 moderate vegetation issues resolved). Planted spruce trees were observed throughout this section of the ROW and all the trees observed were in good health. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 25-96-10,Invasive Species,"Vegetation establishment on the ROW is high, although, mainly made up of disturbance species such as sweet clover.","The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.  Rollback located at 21+100. The roll back at this location was used as line of sight measure. The rollback material was stacked approximately 2 m high for the width of the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - line-of-sight break in place, continue to monitor for stability. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 25-96-10,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.  Rollback located at 21+100. The roll back at this location was used as line of sight measure. The rollback material was stacked approximately 2 m high for the width of the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - line-of-sight break in place, continue to monitor for stability. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 26-96-10,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species (2013 moderate vegetation issue is resolved). Planted spruce trees were observed throughout this section of the ROW and all the trees observed were in good health. There was a tree plot area at 22+950. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 26-96-10,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional. There has been bear activity observed throughout the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 26-96-10,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional. There has been bear activity observed throughout the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 26-96-10,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional. There has been bear activity observed throughout the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 26-96-10,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional. There has been bear activity observed throughout the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 27-96-10,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional. There has been bear activity observed throughout the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 27-96-10,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional. There has been bear activity observed throughout the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 27-96-10,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional. There has been bear activity observed throughout the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 27-96-10,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 moderate vegetation issue is resolved). Shrubby fen areas were well vegetated with reed grass, sedges, dwarf birch and willows. There was standing water on both the work side and ditch side. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,,,,,
,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,,,,,
,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,,,,,
SE 28-96-10,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar and aspen were emerging throughout. Planted spruce trees were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 28-96-10,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar and aspen were emerging throughout. Planted spruce trees were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 28-96-10,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings. Shrubby fen areas revegetation species were consistent with off ROW control, with the woody species being willows and dwarf birch. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 29-96-10,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch, grass species and poplar saplings. Shrubby fen areas revegetation species were consistent with off ROW control, with the woody species being willows and dwarf birch. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 29-96-10,Rutting,"Minor rutting observed at KP 28.5. Less vegetation in this area, but it does not appear to be due to rutting; no soil movement.","The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout. The slope at 28+300 was well vegetation with no erosion issues. Monitor silt fencing effectiveness and remove/repair, as required.  The diversion berms appear to be working and are moderately vegetated. The seasonal drainage area (28+350) is also well vegetated with large amounts of woody species throughout. Monitor silt fencing effectiveness and remove/repair, as required. There are no erosion concerns noted at the time of assessment. Rutting could not be located in 2014. Vegetation has likely covered the area. The 2013 assessment indicated that the rutting was not affecting the ROW. No further work required related to the rutting (issue resolved).","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 29-96-10,Open Water Pond,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout. The slope at 28+300 was well vegetation with no erosion issues. Monitor silt fencing effectiveness and remove/repair, as required.  The diversion berms appear to be working and are moderately vegetated. The seasonal drainage area (28+350) is also well vegetated with large amounts of woody species throughout. Monitor silt fencing effectiveness and remove/repair, as required. There are no erosion concerns noted at the time of assessment. Rutting could not be located in 2014. Vegetation has likely covered the area. The 2013 assessment indicated that the rutting was not affecting the ROW. No further work required related to the rutting (issue resolved).","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 29-96-10,Watercourse Crossing: Werniuk Creek,Erosion control measures functioning effectively and moderate vegetation establishment observed on banks. Vegetation cover is anticipated to improve in subsequent years. Sediment fence is covered by vegetation.,"Werniuk Creek reclamation appears to be completed in accordance with the Watercourse Reclamation Plan. Willow staking was completed on both the southeast and northwest banks. There were three willow stakes per linear meter (consistent with the density numbers outlined in Table 4 of the watercourse reclamation plan). The creek banks were reclaimed using coir soil wraps and straw matting. These products were still in place and preventing erosion. There were native woody species (willows and alders) growing within the riparian area. There was good vegetation growth on both creek banks. No erosion concerns were noted and the silt fence has been held in place. Instream reclamation appears to be consistent with the photos provided in the reclamation plan. The riparian areas on work side had great woody growth (willows, alders, and poplar).  Continue to monitor the successful recovery of the crossing, including the silt fencing effectiveness and remove/repair, as required.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016. - monitor instream rip-rap to ensure continued functionality, some of the smaller pieces have been moved downstream during high flow events. - Remove silt fencing as soon as practical.",,,
NW 29-96-10,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout.,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 30-96-10,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition. High vegetation establishment.,The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout.,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 30-96-10,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout.,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 30-96-10,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings. The treed fen and shrubby fen areas at the time off assessment were well vegetated with reed grass, sedges, dwarf birch and willows. There was areas of standing water on both the work side and ditch side. The wetland areas were well preserved during construction as there was moss throughout the treed fen area. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 25-96-11,Watercourse Crossing: Unnamed Tributary to Werniuk Creek,Subsidence has occurred on the east creek bank at KP 30.8 resulting in a gap in the sediment fencing and coir matting. Rill erosion was also observed on the slope between the diversion berms. A diversion berm on the west bank was not observed to extend to the edge of the ROW or to have the proper slope to adequately divert overland flow.,"Tributary to Werniuk Creek reclamation appears to be completed in accordance with the Watercourse Reclamation Plan. Willow staking was completed on both the east and west banks. There were three willow stakes per linear meter (consistent with the density numbers outlined in Table 4 of the watercourse reclamation plan). The creek banks were reclaimed using coir soil wraps and straw matting. These products were still in place and preventing erosion. There were native woody species (willows and alders) growing within the riparian area. There was fair to moderate vegetation growth on both creek banks. The riparian areas on work side had good woody growth (willows, alders, and poplars) at the time of assessment. Continue to monitor the recovery of the crossing, including the silt fencing effectiveness and remove/repair, as required.","Oct 25, 2015 - DL - No issues noted.  Continue to monitor vegetation cover on banks and approach slopes and remove/repair silt fencing, as required.",,,
NE 25-96-11,Contour,Grade cut settling was observed on the edge of the ROW at KP 30.8. Repair of the settling on the ROW will take place during winter/spring 2014.,"The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout. The slope at ~30+780 was well vegetation with no erosion issues. Monitor the silt fencing and re-installed/repair, as needed. The diversion berms appear to be working and are fair to moderately vegetated. Grade cut was repaired in February 2014. Monitor for settlement and vegetation establishment in 2015.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  Repairs completed at grade cut were successful, the issue is resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 25-96-11,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout. The slope at ~30+780 was well vegetation with no erosion issues. Monitor the silt fencing and re-installed/repair, as needed. The diversion berms appear to be working and are fair to moderately vegetated. Grade cut was repaired in February 2014. Monitor for settlement and vegetation establishment in 2015.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  Repairs completed at grade cut were successful, the issue is resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 25-96-11,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce and pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 25-96-11,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce and pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 26-96-11,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen, prickly rose, and willows were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No issue with line-of-sight noted. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 26-96-11,Wildlife Line of Sight Control,No line-of-sight control observed at KP 32.3. NGTL will install line-of-sight control during spring/summer 2014.,"There was a line of sight installed at 32+300 – 2013 issue is resolved. The line of sight is standing correctly and seemed to be effective. The line of site structures that were build, over extended the Sloat ROW to the south. The line of sight structures extended over the two Pembina lines as well. A tree plot was observed at 32+400 which contained spruce trees.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No issue with line-of-sight noted. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 26-96-11,Shrubby Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen, prickly rose, and willows were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 26-96-11,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen, prickly rose, and willows were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 27-96-11,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 27-96-11,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 27-96-11,Shrubby Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 27-96-11,Treed Fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses. Woody species such as poplar, aspen and willows were emerging throughout. Planted spruce were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 28-96-11,Low Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 low vegetation issue is resolved). The wetland areas at the time off assessment were well vegetated with reed grass, sedges, and willows. There was areas of standing water on both the work side and ditch side. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 28-96-11,Rutting,Rutting observed at KP 36.0.,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen and prickly rose were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations. Rutting at KP 36 could not be located during the assessments in 2014. Vegetation has likely covered the area; no further work required, as the vegetation has established and there is no impact on the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 28-96-11,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch and grass species. Woody species such as poplar, aspen and prickly rose were emerging throughout. There were no weeds observed. The cross drainages appeared to be in appropriate locations. Rutting at KP 36 could not be located during the assessments in 2014. Vegetation has likely covered the area; no further work required, as the vegetation has established and there is no impact on the ROW.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
