Legal Land Description,1<s>st</s> Year (2013) Issue(s),1<s>st</s> Year (2013) Discussion,2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 21-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 7, 2014 - 85 - 95% vegetation cover on RoW compared to off RoW control. Willow and deciduous species’ establishment well along RoW.  - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds. - Canada thistle and perennial sow thistle present from KP 8+950 to 8+900 and patch at KP 9+320 across width of RoW.  - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 8+900 to 9+300 Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results observed from spraying on July 27th. Although, isolated patches of perennial sow thistle found at KP 9+040, 9+080, 9+130 and 9+265, monitor and control as required.","June 23, 2015 - Vegetative coverage approximately 95% compared to off RoW control. Woody species are establishing on the ROW. - Subsidence and erosion was not observed. - Perennial sow thistle observed on the ditch line at KP 9+130. Recommend weed control measures. July 13, 2015 – KP 8+900 to 9+300, Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle.  Aug 24, 2015 – Herbicide application appears successful. Although, a patch of unaffected Canada sow thistle was observed at KP 8+900. Fall herbicide spot spray application is recommended. Sept. 23, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle.",,,
NW 21-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 7, 2014 - 90 - 95% vegetation cover on RoW compared to off RoW control. Willow and deciduous species’ establishing well within RoW. - Perennial sow thistle existing throughout entire length of tract from 9+350 to KP 9+770 predominantly on ditchline and east of ditchline.  - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 9+300 to 9+800 Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results observed from spraying on July 27th. Although, 1 perennial sow thistle plant found at KP 9+790 and patch at KP 9+590, monitor and control as required. September 11, 2014 – Herbicide application conducted within areas of active Canada thistle identified.","June 23, 2015 - Vegetative coverage approximately 95 compared to off RoW control. Woody species are establishing on the ROW. - Subsidence and erosion was not observed. - Perennial sow thistle observed at KP 9+300 and 9+770 to 9+800.  Canada thistle noted at KP 9+400, 9+500, and 9+600. Recommend weed control measures. June 24, 2015- Pipeline marker at KP 9+800 leaning, recommend re-setting. July 13, 2015 - KP 9+300 to 9+800; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Aug 24, 2015- Herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed from KP 9+300 to 9+800. Fall herbicide spot spray application is recommended. - Pipeline signage and markers need to be reset at KP 9+750. Sept. 23, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle. Oct. 3, 2015 - Reset both pipeline markers and the pipeline sign at KP 9+750.",,,
SW 28-66-3 W6,Open Water Pond,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 7, 2014 - Wetland (open water pond) at KP 9+870 to KP 9+900, appears to be in stable condition at time of assessment. Good establishment of submerging and emergent wetland indicative (rush and sedge) species as well as willows and deciduous species developing around perimeter of pond. Organic soil depth reaching greater than 40cm around perimeter of pond. Further cattail development in shallow water areas expected to develop. Evidence of wildlife using pond at bypass habitat. Amphibians present within pond. Wetland on trajectory to reaching pre-disturbed state. July 22 and 23, 2014 - Mechanically removed (weed whacker) perennial sow thistle within 30m of wetland (artificial pond). July 30, 2014 - Previously identified perennial sow thistle within 30m of watercourse at KP 9+900 was controlled by weedwacking.","June 25, 2015 -  willows, common cattail, sedges, reed grasses, all present; very thick (>95% comparable to off RoW) vegetation throughout wetland area; standing water because of an old beaver dam west of RoW backing water east up past RoW; pied-billed grebe, other migratory birds observed. July 13, 2015- Spot spraying was utilized at KP 9+900, due to its’ proximity to open water, monitor and implement weed control as required.",,,
SW 28-66-3 W6,Open Water Pond (Artificial),Wetland is on the trajectory to reaching pre-construction functional condition.,"July 7, 2014 - KP 10+130 to 10+220 appears to be in stable condition at time of assessment. Emergent and submerging wetland indicative (rush and sedge) species vegetation establishing well within wetland as well as willows and deciduous species developing around perimeter of pond. Soils exhibiting proper organic constituents around perimeter of wetland reaching a depth of greater than 40cm. Amphibians using pond as effective habitat. July 30, 2014 - Previously identified perennial sow thistle within 30m of watercourse was controlled by weedwacking.","June 25, 2015 - willows, common cattail, sedges, reed grasses, submergent vegetation  all present; very thick (>95% comparable to off RoW) vegetation throughout wetland area “artificial ponded water”; this feature had the highest water level (water receiving site) of all the wetlands and beaver ponds; it was back flooded into non aquatic grass; migratory birds observed;",,,
,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 7, 2014 - 90 - 95% vegetation cover on RoW compared to off RoW control. Good willow and deciduous species’ establishment within RoW.  - Perennial sow thistle evident throughout tract from KP 9+770 to 10+760). - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 9+800 to 10+800 – herbicide application conducted on RoW to control perennial sow thistle and Canada thistle. - Scentless Chamomile identified at KP 10+440 and 10+520, Picked and bagged. – Continue to monitor.  August 10, 2014 – Positive results from July 27th spraying observed. September 11, 2014 - Herbicide application conducted within areas of active Canada thistle identified.","June 24, 2015-. Vegetative coverage approximately 95% compared to off RoW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle along the ditch line intermittently from KP 9+900 to 10+800. Recommend weed mitigation measures. July 13, 2015 – KP 9+800 to 10+800; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle. Large patch of perennial sow thistle was observed off ROW at a foreign line crossing, KP 9+950. July 25, 2015 - Conducted mechanical weed control for perennial sow thistle at various environmentally sensitive areas along tract. Aug 24, 2015- herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed from KP 9+800 to 10+800. Fall herbicide spot spray application is recommended. Sept.23, 2015 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle.",,,
NW 28-66-3 W6,"Noxious Weeds, Invasive Species",Low densities of the Noxious weeds scentless chamomile and perennial sow-thistle as well as moderate densities of the invasive species sweet clover were observed on the right-of-way from KP 10.6 to KP 11.0.,"July 7, 2014 - ~ 90-95% vegetation establishment, compared to off RoW control. – Native grasses, well established. - Perennial sow thistle and Canada thistle intermittently throughout tract, mainly on ditchline and East side of ditchline.10+800 to 11+000.  - Diversion berms well vegetated and functioning. - Deciduous species common plants and common weeds. July 27, 2014 - KP 10+800 to 11+000 – Herbicide application conducted on RoW to control perennial sow thistle and Canada thistle. August 10, 2014 - Positive results from July 27th spraying observed. Grasses do not indicate stressing.","June 24, 2015 - Vegetative coverage approximately 95% compared to off RoW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted along the ditch line from KP 10+800 to 11+000. July 13, 2015 - KP 10+800 to 11+000; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle. Aug 24, 2015- Patches of perennial sow thistle were observed from KP 10+800 to 11+000. Fall herbicide spot spray application is recommended. Sept. 23, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle.",,,
NE 29-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 7, 2014 - ~ 90-95% vegetation establishment, compared to off RoW control. – Native grasses, well established. Weeds comparable to off RoW. - Perennial sow thistle and Canada thistle intermittently throughout tract, mainly on ditchline and East of ditchline. KP 11+000 to 11+700. - Diversion berms well vegetated and functioning. - Deciduous species common plants and common weeds. July 27, 2014 - KP 11+000 to 11+700. Herbicide application conducted on RoW to control perennial sow thistle and Canada thistle. August 10, 2014 – Herbicide application in-effective at Kp 11+570, 11+520, 11+310, 11+100, and 10+980 – remaining application area shows positive results from spraying. Monitor and control as required.","June 24, 2015 - Vegetative coverage approximately 95% compared to off RoW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted intermittently from KP 11+000 to 11+600. Canada thistle noted from KP 11+000 to 11+070 and at KP 11+650. July 13, 2015 – KP 11+000 to 11+700; Herbicide application conducted along intermittent sections within RoW to control Perennial sow thistle and Canada thistle. Aug 24, 2015- Herbicide application appears successful. Although, a patch of unaffected perennial sow thistle was observed at KP 11+100. Fall herbicide spot spray application is recommended. Sept. 23, 2015 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle.",,,
SE 32-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 7, 2014 - ~ 90-95% vegetation establishment, compared to off RoW control. – Native grasses well established. Deciduous species establishing. Weeds comparable to off RoW adjacent pipeline.  -  Canada thistle and perennial sow thistle intermittently throughout entire tract. KP 11+700 to 12+600.   - Diversion berms well vegetated and functioning.  - Deciduous species common plants and common weeds. July 27, 2014 - KP 11+700 to 12+600 – Herbicide application conducted on RoW to control perennial sow thistle and Canada thistle. - Scentless chamomile identified at KP 11+900. Picked and bagged. –Continue to monitor. August 10, 2014 - Kp 12+405, and 11+970 – patches of perennial sow thistle along workside of RoW, not impacted by herbicide application – remaining areas of herbicide application shows positive results September 19, 2014 – Herbicide application conducted within areas of active Canada thistle identified.","June 24, 2015 - Vegetative coverage approximately 95% compared to off RoW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted at KP 11+700, 11+940, and 12+780. Canada thistle noted at 11+850, 12+440, and 12+460. Recommend weed mitigation measures. July 13, 2015 – KP 11+700 to 12+600; Herbicide application conducted along intermittent sections within RoW to control Perennial sow thistle and Canada thistle. Aug 24, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 12+400 and 12+600 and a patch of Canada thistle was at KP 12+700. Fall herbicide spot spray application is recommended. Sept. 23, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle.",,,
NW 32-66-3 W6,Watercourse Crossing: Zero Creek,Active construction was occurring from KP 13.2 to KP 13.6 to repair previous concerns at Zero Creek. Erosion control measures were implemented during repairs.,"May 22, 2014 - Zero Creek - slope on south side of creek crossing (northwest facing) appears to be relatively stable at this time, with minor slumping –There is only one single diversion berm – located at the top of slope, with ditch plug exhibiting signs of wetness only around emerging nudrain – functioning well. Silt fencing located at mid-section of south slope requires minor repair.  - Slope on the north side of creek crossing (southeast facing) exhibits significant slumping, pushing soils downhill. Crib walls are functioning appropriately, holding material from pushing into watercourse, however one broken cable and a broken log anchor pile indicate excessive pressure from uphill slope. Extent of slumping measures 10m wide x 15m long x up to 1.7m in depth (at point of diversion berm). Major repairs required. July 11, 2014 - Redistributed cobble within Zero Creek to center the creek flow, reduce ponding and to the divert flow from the south crib wall. - Added cobble to bank areas with exposed soils that were prone to further erosion July 16, 2014 - Rocks and clay was removed out of the Creek channel to allow flow to travel more freely across the RoW. August 19, 2014 - Wooden pegs and erosion matting was collected on the slope and disposed of. September 2014 – major repairs complete remediation of north slope to Zero Creek, area re-contoured, sub-drains installed, area re-seeded, erosion control implemented.","June 24, 2015 Vegetative coverage approximately 95% south of the crossing and 10% north of the crossing, mostly grasses and clover. Vegetation on top of the hill where the spoil pile was spread is very sparse, continue to monitor. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetating. - Coir banks are functioning. Defined and stabile banks observed. - Effective rollback on the north side of the crossing. Erosion control installed last year is effective. - No noxious or prohibited/noxious weeds were observed. - Two seep areas observed in the lowest, new crib wall, of the crossing. Monitor for sedimentation and ensure erosion control materials are maintained. - Subsurface weeping tile installed from the top of the hill, down into the forested area to the south of the pipeline, has settled with limited vegetation cover, there is the potential for erosion. Recommend installing erosion control. Access control logs appear to have been moved by a 3<s>rd</s> party and are no longer blocking vehicle access to slope. Recommend re-blocking access. July 26, 2015 - Emerging vegetation is establishing on upper plateau now. Grasses establishing well throughout erosion control fabric area. - Pieces of non - biodegradable erosion fabric was handpicked and removed.  - Hydrovac hole at sloughed in, filled with nearby materials.    - Subsurface weeping tile with erosion on surface of excavation to the West was repaired by placing straw wattle erosion breakers.  - 3 sets of silt fence on the Eastern side of slope were removed as no longer functioning. Plastic straw wattles were removed from base of slope.  - Biodegradable wattles were installed on either side of base of slope within minor eroded areas.  - Eroding corner above lower cribwall on East side was blanketed with fabric and erosion breaker will be installed at base. - Zero Creek exhibits appropriate flow and bed of creek does not appear to have risen. Some cobble was redistributed at the inlet and outlet to allow for enhanced flow.  - Silt fencing and plastic wrapped straw wattles were removed from North bank plateau West side of RoW. - Cut two blowdown trees and skidded them into place to restrict access to the ROW.",,,
,Low Vegetation Establishment,Active construction in the Zero Creek area at the time of the assessment resulted in a removal of vegetation. Vegetation re-establishment will take place when construction is complete.,"July 7, 2014 - ~80-85% vegetation establishment, compared to off RoW control. Good grass establishment South of Zero Creek. – Native grasses well established. More weeds on RoW as opposed to off.  - Minimal vegetation establishment across RoW ~ 150m North of Zero Creek as reported in previous years assessments, due to equipment access to Zero Creek. KP 13+370.  - Canada thistle - KP 13+130, 13+100 - scentless chamomile 1 plant, identified and picked at 13+180, 13+080, 12+285, and south bank of Zero Crk - perennial sow thistle - KP 13+180, 12+800 – 12+600 - Cross drains functioning and well vegetated.  July 27, 2014 - KP 12+600 to 13+600 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. - Scentless chamomile identified at KP 12+950 and 13+550 - Picked and bagged. –Continue to monitor.  August 10, 2014 – spraying not effective at Kp 13+200 (C thistle) and 13+100 (perennial sow thistle) - remaining sprayed areas were effective. Continue to monitor and control noxious weeds, as required.","July 26, 2015 Removed silt fencing that was no longer required. Replaced required silt fence that was in disrepair with biodegradable silt fence. New wattles were installed to supplement existing erosion control measures. -Herbicide application conducted. Aug 24, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle and Canada thistle were observed from KP 13+000 to Zero Creek. Fall herbicide spot spray application is recommended. Sept.22, 2015- Herbicide application conducted along intermittent sections within RoW to control Perennial sow thistle, Bull thistle and Canada thistle.",,,
SW 5-67-3 W6,Low Vegetation Establishment,Low vegetation establishment on a portion of the right-of-way due to equipment access to Zero Creek where active construction was taking place at the time of the assessment. High vegetation establishment on the rest of the right-of-way.,"July 6, 2014 - 60 - 70% vegetation establishment, compared to off RoW control from KP 13+580 to KP 13+700. Reduced vegetation cover due to recent equipment access to Zero Creek for repair.  From KP 13+700 onwards for the remainder of the tract, vegetation on RoW approximately 90-95% compared to off RoW control with very few areas on northeast side of RoW exhibiting lesser vegetation cover. - Weeds on RoW comparable to off RoW control. Non-noxious weeds. - No subsidence or erosion issues evident at time of assessment. July 22, 2014 - Re-contoured minor erosion west of ditchline at KP 13+850. BB July 27, 2014 - KP 13+600 to 14+300 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. August 10, 2014 – herbicide application not effective at Kp 14+300 (perennial sow thistle), 13+760 (Canada thistle), and KP 13+690 (bull thistle) – herbicide application was effective in remaining areas. Continue to monitor and implement weed control, as required.","June 24, 2015 - Vegetative coverage approximately 90% - 95% compared to off RoW control. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted along ditch line at KP 13+930. July 13, 2015 - KP 13+600 to 14+300; Herbicide application conducted to control Perennial sow thistle. Aug 24, 2015 –  patch of unaffected perennial sow thistle was observed at KP 13+600. Fall herbicide spot spray application is recommended.Sept. 22, 2015 – Herbicide application conducted along intermittent sections within RoW to control Perennial sow thistle.",,,
SW 5-67-3 W6,Treed Bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 6, 2014- Wetland (treed bog) at KP 14+210 to KP 14+310 appears to be successfully re-established at time of assessment. Seedbank is maintained with appropriate vegetation species developing throughout wetland (cattails and sphagnum mosses). Vegetation emerging around mulch. Wetland shows minimal standing water at time of assessment but organic soils appear to be semi-saturated with some areas drier than others. Some water present within trench breaks but no flow observed. Hydrology appears to be maintained across RoW. Peat depth in good condition, exceeding 40cm. Amphibians using wetland as effective habitat.","June 25, 2015 - willows, common cattail present; 1 patch of standing water; has cross ditch in place; very thick ( >95% comparable to off RoW) vegetation throughout wetland area; surrounding upland vegetation (poplar, spruce);",,,
SE 6-67-3 W6,Low Vegetation Establishment,Low vegetation establishment on a portion of the right-of-way due to equipment access to Zero Creek where active construction was taking place at the time of the assessment. High vegetation establishment on the rest of the right-of-way.,"July 6, 2014 - Vegetation 90-95% compared to off RoW control. Exceptional willow and deciduous species’ development within tract. Few areas exhibiting sparse vegetation cover. - Weeds comparable to off RoW control. Non-noxious weeds. - Cross drains functioning well within tract with good vegetation establishment within. - Erosion across width of RoW at KP 14+750. Standing water present within erosion – cross drain required. July 22, 2014 – repaired erosion (installed waddles) at KP 14+750. July 27, 2014 - KP 14+300 to 15+300 - Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. September 11, 2014 – Herbicide application conducted within areas of active Canada thistle identified.","June 24, 2015 - Vegetative coverage approximately 95% compared to off RoW control, mostly grasses with areas of mostly vetch. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Erosion previously identified at KP 14+750 has been mitigated. Erosion control measures implemented last year have been successful. It is vegetating.  - No noxious or prohibited/noxious weeds were observed. Aug 24, 2015 - A patch of unidentified perennial sow thistle was observed at KP 13+600. Fall herbicide spot spray application is recommended. Sept. 22, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle.",,,
SW 6-67-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 6, 2014 - 90-95% vegetation cover on RoW compared to off RoW control. Exceptional willow and deciduous species’ establishment within RoW. Very few areas exhibiting lesser vegetation cover within tract.  - Weeds comparable to off RoW control. Non-noxious weeds. - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 15+300 to 15+800 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. August 10, 2014 - Kp 15+440 (perennial sow thistle) – remaining areas of herbicide application were effective September 11, 2014 - Herbicide application conducted within areas of active Canada thistle.","June 24, 2015- Vegetative coverage approximately 95% compared to off RoW control, mostly grasses. Common weeds observed included horsetail and dandelion. Deciduous species are establishing on the ROW. - Subsidence and erosion were not observed. - Diversion berm/ditches are functioning and vegetated. - No noxious or prohibited/noxious weeds were observed. Aug 24, 2015 - A patch of perennial sow thistle was observed at KP 15+700. Fall herbicide spot spray application is recommended. Sept. 22, 2015- herbicide application conducted along intermittent sections within RoW to control Perennial sow thistle.",,,
NW 6-67-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 6, 2014 - 90-95% vegetation cover on RoW compared to off RoW control. Exceptional willow and deciduous species’ establishment within RoW. - Weeds comparable to off RoW control. Non-noxious  - Canada thistle and perennial sow thistle found within tract on northeast side of ditchline, KP 15+860 to end of tract (KP 16+100) and into next 1/4. - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 15+800 to 16+100 – Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. August 10, 2014 - Kp 16+045 (perennial sow thistle) – spraying ineffective – spraying was effective on remaining areas. Continue to monitor and control noxious weeds as required.","June 24, 2015 - Vegetative coverage approximately 95% compared to off RoW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - No noxious or prohibited/noxious weeds were observed. Aug 24, 2015- Patches of perennial sow thistle were observed at KP 15+900 and 16+100. Fall herbicide spot spray application is recommended. Sept. 22, 2015 – Herbicide application conducted along intermittent sections within RoW to control Perennial sow thistle.",,,
NE 1-67-4 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 6, 2014 - 90-95% vegetation cover on RoW compared to off RoW control. Exceptional willow and deciduous species’ establishment within RoW.  - Weeds comparable to off RoW control. Non-noxious weeds. - Canada thistle and perennial sow thistle found throughout the length of the tract on northeast side of ditchline until KP 16+320. - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 16+100 to 16+300 – Herbicide application conducted on RoW to control perennial sow thistle and Canada thistle. August 10, 2014 – effective weed control observed. Grasses do not indicate stressing.","June 24, 2015 -. Vegetative coverage approximately 95% compared to off Row control, mostly grasses. Common weeds observed included horsetail and dandelion. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - No noxious or prohibited/noxious weeds were observed.",,,
