Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 13-96-6 W6,Treed Fen (KP 10+500 to 10+820),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Excellent establishment of grasses, Labrador tea, mosses, willows and other native species throughout wetland area (High; 80 – 100 % vegetation cover compared to off right-of-way). Wetland appears to be meeting adequate function consistent with pre-construction conditions.","July 9, 2017 - Treed Fen on RoW from KP 10+500 to 10+820 is at proper functionality and appears stable. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes with willows emerging throughout. - No noxious weeds observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Mottling observed throughout soils above water table. - Wetland has high water table resulting in saturated soils and standing water present throughout entire wetland. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time; leave for natural recovery. Wetland showing good habitat potential for wildlife.","July 17, 2018 - Treed Fen on RoW from KP 10+500 to KP 10+820 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), marsh cinquefoil, sphagnum mosses, scouring rushes and common cattail. Good establishment of willows throughout wetland.  - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation but approximate depth proved to be difficult due to substrate saturation.  - Substrate within wetland exhibiting fully-saturated conditions with the water table at the ground surface. Standing water present throughout entire wetland (depth 10-25cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will infill onto RoW over time.",,,
NW 13-96-6 W6,Treed Bog (KP 11+200 to 11+350),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Wetland has moderate vegetation establishment (50 – 80% vegetation cover compared to off right-of-way) consisting of wetland grasses and birdsfoot trefoil. Willows, and shrubs are also emerging. Mosses observed developing through wetland.","July 9, 2017 - Treed Bog on RoW from KP 11+200 to 11+350 is at proper functionality and appears stable. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes. - No noxious weeds observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Mottling observed with high peat depth throughout. Humification observed throughout wetland. - Wetland has high water table resulting in saturated soils just below organic surface layer. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time; leave for natural recovery. Wetland showing good habitat potential for wildlife.","July 18, 2018 - Treed Bog on RoW from KP 11+200 to KP 11+350 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Majority of vegetation growth within wetland is present on peat.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), sphagnum mosses, birdsfoot trefoil, cotton grass and Labrador tea. Good establishment of deciduous species along RoW including willows and buckbrush. Volunteer lodgepole pine emerging across RoW. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation to exceed 0.3m with mottling occurring both on and off RoW.  - Substrate within wetland exhibiting semi- to fully-saturated conditions with the water table residing at or slightly below the ground surface. Peat is semi-saturated with intermittent standing water throughout wetland. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland. Mammal tracks observed throughout wetland. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will continue to infill onto RoW over time.",,,
,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 11, 2016 - Majority of the right of way is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way), 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way) - KP 11+700, Poor vegetation establishment (Low; 0 – 50% vegetation cover compared to off right-of-way) on grade cut. Grasses are beginning to infill but vegetation establishment should be monitored. An erosion rill running down ditchline on workside, recommend repairs. - No noxious weeds were identified. Sept 1, 2016 - KP 11+650 – Marker posts and signs repaired. Sept 13, 2016 - KP 11+700 - Rill erosion noted earlier in growing season has been stabilized by improved vegetation cover (High; 80 – 100 % vegetation cover compared to off right-of-way), issue resolved, no work required.","July 5, 2017 - 65-80% overall vegetation establishment compared to off RoW. All previous low vegetation cover issues resolved. - Cross drains appear to be managing cross flow of surface water effectively October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, found throughout RoW. Trees up to 2-3m tall. Birds foot trefoil, clover and vetch observed through out RoW. - Vegetation heights throughout RoW are providing a functional line of sight break for caribou and other wildlife. - No noxious weeds were identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
,Shrubby Fen (KP 11+900 to 12+100),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 11, 2016 - Wetland is well vegetated due to minimal disturbance construction (High; 80 – 100 % vegetation cover compared to off right-of-way).","July 10, 2017 - Shrubby Fen on RoW from KP 11+900 to 12+100 is at proper functionality and appears stable. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes with willows emerging throughout. - No noxious weeds observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland has high water table resulting in saturated soils and standing water present throughout entire wetland. Large pond area present in wetland from KP 11+950 to 21+010 acting as microsite and direct water source for wildlife. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time; leave for natural recovery. Wetland showing good habitat potential for wildlife; high bear activity observed through wetland.","July 18, 2018 - Shrubby Fen on RoW from KP 11+900 to KP 12+100 appears to be at baseline (pre-construction) functionality with no net loss of wetland function observed. Proper functionality of wetland has been attained. - Fen on RoW is inclusive of two upland forested areas, both of which lead to the lowland wet terrain portion of the wetland. The upland areas are on the eastern and western boundaries at KP 11+900 to KP 11+970 and KP 12+050 to KP 12+100, respectively.  - Vegetation establishment within wetland exhibiting 80-100% cover compared with off RoW control. - Vegetation within wetland on uphill areas consisting of herbaceous graminoids, birdsfoot trefoil, willows, alder and fireweed. Vegetation within low-lying portion of wetland dominated by sedges, sphagnum mosses, common cattail and horsetails. Good establishment of hydrophytic vegetation throughout low-lying portion of wetland including pondweed, water milfoil and scouring rush. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland. - Low-lying portion of wetland comprised of substrate with high organics and humification, indicative of off RoW low-dwelling spruce trees. - Up-hill portions of wetland consisting of sandier soils as indicated by taller pine trees and reduced density of spruce trees. - Substrate throughout lowland part of the wetland exhibited fully-saturated conditions with standing water throughout as a result of the water table being at the ground surface. The upland portions of the wetland exhibited drier conditions.  - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Mammal tracks, amphibians and birds we observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Coniferous species to emerge onto RoW over time through natural succession.",,,
NE 14-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - Majority of the ROW is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and alders (High; 80 – 100 % vegetation cover compared to off right-of-way), 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density with minor erosion (Moderate; 50 – 80% vegetation cover compared to off right-of-way). Continue to monitor these areas for vegetation recovery. - KP 12+450, signs and marker posts required repairs. - No noxious weeds were observed in this ¼. Sept 1, 2016 - KP 12+450 – Marker posts and signs repaired.","July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. Previous low vegetation issues resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, found throughout RoW. Trees up to 2-3m tall. Birds foot trefoil, clover and vetch observed throughout RoW. - Vegetation heights throughout RoW are providing a functional line of sight break. - Pine tree plots are maturing 1 – 1.5m tall. - No noxious weeds were identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NE 14-96-6 W6,Shrubby Fen (KP 12+200 to 12+360),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Wetland has excellent vegetation establishment consisting of mainly wetland grasses, willows, and shrubs (High; 80 – 100 % vegetation cover compared to off right-of-way). Mosses were also observed developing well through wetland. Effective cross drainage throughout wetland.","July 10, 2017 - Shrubby Fen on RoW from KP 12+200 to 12+360 is at proper functionality and appears stable.  - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes with willows emerging throughout. - No noxious weeds observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland has high water table resulting in saturated soils and standing water present throughout entire wetland. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time; leave for natural recovery. Wetland showing good habitat potential for wildlife.","July 18, 2018 - Shrubby Fen on RoW from KP 12+200 to KP 12+360 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Vegetation growth on large floating mat of substrate.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), scouring rush, field dock, marsh cinquefoil and sphagnum mosses. Good establishment of willows throughout wetland. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation but approximate depth proved to be difficult due to substrate saturation. - Substrate within wetland exhibiting fully-saturated conditions with the water table residing at the ground surface. Peat is semi-saturated with intermittent standing water (depth 5-10cm) throughout wetland. There was slight channelized flow present in the wetland to the south. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland. Mammal tracks observed throughout wetland. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will continue to infill onto RoW over time.",,,
NW 14-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - Right of way is poorly vegetated (Moderate; 50 – 80% vegetation cover compared to off right-of-way), although emergent grasses, willows, and alders are present. There are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. 2014 vegetation issue resolved. - KP 13+000, Ponding water observed, cross drain requires repairs. - No noxious weeds were identified. Sept 2, 2016 - KP 13+000 – Cross drain repaired by hand, issue resolved.","July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, and clover. Wheat grasses, timothy, willows, and aspens are also establishing.  - KP 13+000 pervious cross drain repairs is functioning well and vegetated. Issue resolved.  October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation establishment throughout majority of tract has increased to 80-100% (previously assessed at 65-80%) compared to off RoW control. Good establishment of grasses, birdsfoot trefoil and alsike clover. Good establishment of willows and alder throughout tract. - No noxious weeds were identified throughout tract. - Trench crown present throughout tract and stable; cross drains are functioning well for the successful natural flow of water across the RoW. - No erosion, subsidence or ponding issues were identified within tract.",,,
NW 14-96-6 W6,Treed Fen (KP 13+00 to 13+280),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Wetland has excellent vegetation consisting of wetland grasses, willows, and shrubs (High; 80 – 100 % vegetation cover compared to off right-of-way). Good functional cross drains through wetland area.","July 10, 2017 - Treed Fen on RoW from KP 13+000 to 13+280 is at proper functionality and appears stable. Wetland has low-lying area and upslope area exhibiting different substrate and vegetation composition. Upslope area is from KP 13+000 to 13+070 with the remainder is within low-lying area. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes with willows emerging throughout. - No noxious weeds observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate in upslope area is exhibiting good mottling and organic depth. Substrate in low-lying areas is saturated with good organic depth with surface water present throughout. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time; leave for natural recovery. Wetland showing good habitat potential for wildlife.","July 18, 2018 - Treed Fen on RoW from KP 13+000 to KP 13+280 appears to be at baseline (pre-construction) functionality with no net loss of wetland function observed. Proper functionality of wetland has been attained. - Fen on RoW is inclusive of an upland forested area, of which leads to the lowland wet terrain portion of the wetland. The upland area is on the eastern boundary at KP 13+000 to KP 13+100. - Vegetation establishment within wetland exhibiting 80-100% cover compared with off RoW control. - Vegetation within wetland on uphill area consisting of deciduous species (alder, willow), birdsfoot trefoil, and graminoids. Vegetation within low-lying portion of wetland dominated by sedges, sphagnum mosses, common cattail, Labrador tea and horsetails. Some birdsfoot trefoil present on elevated ditch roach along low-lying portion of wetland. Black spruce saplings emerging across wetland in low-lying portion of wetland.  - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland. - Low-lying portion of wetland comprised of substrate with high organics and humification, indicative of off RoW low-dwelling spruce trees. - Up-hill portions of wetland consisting of sandier soils as indicated by taller pine trees and reduced density of spruce trees. - Substrate throughout lowland part of the wetland exhibited semi- to fully-saturated conditions with intermittent standing water (depth 5- 10cm) throughout as a result of the water table being at the ground surface. Substrate samples showed peat accumulation but approximate depth proved to be difficult due to substrate saturation. The upland portions of the wetland exhibited drier conditions. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Mammal tracks, amphibians and birds we observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Coniferous species to emerge onto RoW over time through natural succession.",,,
NE 15-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - Majority of the right of way is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way), 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density(Moderate; 50 – 80% vegetation cover compared to off right-of-way) - KP 14+370, Erosion rill running down diversion berm. Recommend repairs. - KP 14+450 - Line of sight barrier and access control both functional. - No noxious weeds were identified. Sept 2, 2016 - KP 14+370 – Erosion rill repaired with installation of erosion control materials, issue resolved.","July 1, 2017 - Log pile placed across RoW, for line of sight barrier. Functioning well, moderate plant growth. July 10, 2017 - Vegetation establishment is 80-100% comparable to off RoW control with some areas exhibiting lesser vegetation cover (65-80%). Good establishment of broadleaf shrubs, grasses and aspen. Pine trees establishing well in sandy bare areas as a species that thrives well in those particular soil conditions. As trees mature, areas will fill in with understory vegetation, exhibiting off RoW conditions. All previous low vegetation issues resolved. - No noxious weeds observed in tract. - Trench crown present throughout tract and stable; cross drains are functioning well. - Line of sight barrier present in tract at KP 14+470 is stable and effective - Access control (rollback) present in tract from KP 14+430 to 14+500 appears to be effective as no third party traffic observed on RoW; access possible around rollback on adjacent pipeline RoW. - Previous year erosion rill repair in diversion berm at KP 14+370 appears to have been successful. Vegetation emerging and no further erosion noted. Issue resolved. - No subsidence or erosion issues evident in tract. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation establishment throughout tract has increased to 80-100% (previously assessed at 65-80%) compared to off RoW control. Good establishment of grasses, birdsfoot trefoil and alsike clover. Good establishment of willows and alder throughout tract. Birdsfoot trefoil dominating the vegetation cover on the RoW. - Planted lodgepole pine continues to establish well throughout tract. - No noxious weeds were identified throughout tract. - Line of sight barrier present in tract at KP 14+470. Log pile is stable and effective. - Access control (rollback) present in tract from KP 14+430 to the end of tract at KP 14+480, and continuing on into the following tract. Rollback appears to be functioning well as no third party access was observed through the area. - Trench crown present throughout tract and stable; cross drains are functioning well for the successful natural flow of water across the RoW. - No erosion, subsidence or ponding issues were identified within tract.",,,
NE 15-96-6 W6,Treed Fen (KP 13+700 to 14+410),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Wetland well vegetated with willows, alders and shrubs (High; 80 – 100% vegetation cover compared to off right-of-way). Mosses are also establishing through wetland. Good functional cross drains through wetland area.","July 10, 2017 - Treed Fen on RoW from KP 13+700 to 14+410 is at proper functionality and appears stable. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes with willows emerging throughout. - No noxious weeds issues were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland has high water table resulting in saturated soils and standing water present throughout entire wetland. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time; leave for natural recovery. Wetland showing good habitat potential for wildlife; high activity of bear activity observed throughout wetland.","July 18, 2018 - Treed Fen on RoW from KP 13+700 to KP 14+410 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Majority of vegetation growth within wetland is present on peat.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), sphagnum mosses, cotton grass, buck brush and Labrador tea. Good establishment of willows throughout wetland. Lodgepole pine and black spruce saplings observed emerging onto RoW. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation to exceed 0.3m with mottling occurring both on and off RoW. - Substrate within wetland exhibiting semi- to fully-saturated conditions with the water table residing at or slightly below the ground surface. Peat is semi-saturated with intermittent standing water throughout wetland. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland. Mammal tracks observed throughout wetland. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will infill onto RoW over time through natural succession.",,,
NW 15-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Low vegetation density (0 – 50% vegetation cover compared to off right-of-way) throughout tract. Intermittent minor erosion rill noted, continue to monitor vegetation recovery. - KP 14+600 – Access control in place and functional. - KP 14+800 – perennial sow thistle identified (Low; 0 – 10 % cover), recommend implementation of control measures. - KP 14+880 – ponding noted, cross drain requires repairs. July 15, 2016 – KP 14+800 - Herbicide application conducted to control perennial sow thistle. Sept 2, 2016 - KP 14+880 – Cross drain repaired by hand, issue resolved.","July 10, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Good establishment of broadleaf shrubs, grasses and aspen on remainder of RoW. Area on work side of RoW exhibiting moderate vegetation establishment (50-65%) from KP 14+480 to 14+550 likely due to high sand content in soils. Pine trees establishing well in sandy bare areas as a species that thrives well in those particular soil conditions. As trees mature, areas will fill in with understory vegetation, exhibiting off RoW conditions. Previous low vegetation issues resolved. - No noxious weeds observed in tract. All previous noxious weed issues resolved. - Trench crown present throughout tract and stable; cross drains are functioning well. - Access control (rollback) present in tract from KP 14+600 to 14+660 appears to be effective as no third party traffic observed on RoW; access possible around rollback on adjacent pipeline RoW. - Effective 2016 cross drain repairs observed at KP 14+880, issue resolved. - Previously identified intermittent erosion rills RoW on spoil side has filled in with substrate and with vegetation emerging intermittently throughout. Rill is not affecting adjacent land-use capabilities; no work required, issue resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation establishment throughout tract has increased to 80-100% (previously assessed at 65-80%) compared to off RoW control. Good establishment of grasses, birdsfoot trefoil, raspberry and alsike clover. Good establishment of willows and alder throughout tract. - No noxious weeds were identified throughout tract. - Access control (rollback) present in tract from KP 14+480 to KP 14+660, and continuing from the following tract. Rollback appears to be functioning well as no third party access was observed through the area. - Trench crown present throughout tract and stable; cross drains are functioning well for the successful natural flow of water across the RoW. - No erosion, subsidence or ponding issues were identified within tract.",,,
NW 15-96-6 W6,Treed Fen (KP 14+900 to 15+370),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 12, 2016 - Excellent establishment of grasses, Labrador tea, mosses, willows and other native species throughout wetland area (High; 80 – 100 % vegetation cover compared to off right-of-way). Wetland appears to be meeting adequate function consistent with pre-construction conditions.","July 10, 2017 - Treed Fen on RoW from KP 14+900 to 15+370 is at proper functionality and appears stable. Wetland has low-lying area and upslope area exhibiting different substrate and vegetation composition. Low-lying area of wetland from KP 14+900 to 15+120 and upslope area of wetland from 15+120 to 15+370. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids and forbes with willows emerging throughout in low-lying portion of wetland. Dominant vegetation in upslope area of wetland is broadleaf shrubs and willows with excellent Pine establishment throughout. - No noxious weeds issues were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland throughout low-lying area. Substrate is stable with high peat depth and mottling observed in upslope area of wetland. - Wetland has high water table resulting in saturated soils and standing water present throughout entire low-lying area. Upslope area has semi-saturated soils. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce to emerge onto RoW through time in low-lying area and pine successfully establishing in upslope area; leave for natural recovery. Wetland showing good habitat potential for wildlife; bear activity observed throughout wetland.","July 18, 2018 - Treed Fen on RoW from KP 14+900 to KP 15+370 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Majority of vegetation growth within wetland is present on peat.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), sphagnum mosses, cotton grass, buck brush and Labrador tea. Good establishment of willows throughout wetland. Lodgepole pine and black spruce saplings emerging throughout wetland.  - Planted lodgepole pine continues to establish well within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation to exceed 0.3m with mottling occurring both on and off RoW. - Substrate within wetland exhibiting semi- to fully-saturated conditions with the water table residing at or slightly below the ground surface. Peat is semi-saturated with intermittent standing water throughout wetland. - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland. Mammal tracks observed throughout wetland. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will infill onto RoW over time through natural succession.",,,
NE 16-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 - Majority of the right of way is vegetating well with birdsfoot trefoil, grasses, shrubs, willows and aspen (High; 80 – 100 % vegetation cover compared to off right-of-way), 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way). Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - KP 16+100 – Poor drainage noted, cross drain requires repairs. Sept 2, 2016 - KP 16+100 – Cross drain repaired by hand, issue resolved.","July 10, 2017 - Vegetation establishment is 80-100% comparable to off RoW control with some areas exhibiting lesser vegetation cover (65-80%). Good establishment of broadleaf shrubs, grasses, willows and aspen. Pine trees establishing well in sandy bare areas as a species that thrives well in those particular soil conditions. As trees mature, areas will fill in with understory vegetation, exhibiting off RoW conditions. Previous low vegetation cover issues resolved. - No noxious weeds observed in tract. - Trench crown present throughout tract and stable; cross drains are functioning well. - KP 15+600 - Ponding observed, cross drain repairs required. - KP 16+070 - Erosion observed, repairs required. August 29, 2017 – KP 15+600 – Cross drain repaired, ponding issue resolved. - KP 16+070 – Erosion repaired, issue resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation establishment throughout tract has increased to 80-100% (previously assessed at 65-80%) compared to off RoW control. Good establishment of grasses, raspberry, yellow rattle, birdsfoot trefoil and alsike clover. Good establishment of willows and alder throughout tract. - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified throughout tract. - Previous year implementations of cross-drains appear to be functioning well. - Cross-drain dug at KP 16+070 to relieve minor ponding, issue resolved. - No erosion or subsidence issues were identified within tract",,,
