Legal Location (W6M),Land Use,Vegetation Issue(s),Soil Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
NE 36-78-19,Tame pasture,"Moderate vegetation establishment, weeds",Erosion,Areas of rill erosion observed on the right-of-way. Moderate vegetation establishment observed on the right-of-way. High densities of lamb’s-quarters and stinkweed observed on the right-of-way.,"Monitor erosion in 2013 and, if warranted, install erosion control measures and/or reseed. Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 36-78-19,Hay,"Poor vegetation establishment, weeds",No,Poor vegetation establishment observed on the right-of-way. High density of stinkweed observed on the right-of-way.,"Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 36-78-19/ NE 35-78-19,Treed fen,Rare plants - autumn willow,No,"One fruiting plant was observed off the right-of-way from KP 73.30 to KP 73.80. It was in fair condition although was browsed. There were more willows with similar leaves off the right-of-way and beginning to recolonize on the right-of-way; however, identification could not be confirmed since catkins were absent and plants were too young.",Further monitoring is recommended in 2013 to determine if the mitigation measures were successful or unsuccessful.,,,
NW 36-78-19/ NE 35-78-19,Treed fen,Limited wetland vegetation establishment,No,Wetland from KP 73.30 to KP 73.85 was observed to be in functional at-risk condition due to limited vegetation establishment.,Monitor vegetation growth in 2013,,,
NE 35-78-19,Tame pasture,Weeds,No,"One plant of scentless chamomile observed at KP 73.80. The plant was picked on September 17, 2012. High density of flixweed observed at KP 74.00.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 35-78-19,Treed fen,Limited wetland vegetation establishment,Soil cracking,Wetland from KP 74.33 to KP 74.45 was observed to be in functional at-risk condition due to limited vegetation establishment.,Continue monitoring wetland vegetation establishment and soil cracking in upcoming growing season.,,,
SW 1-79-19,Tame pasture,No,No,--,None.,,,
SE 2-79-19,Hay,Moderate vegetation establishment,"Contouring, coarse fragments",Rough terrain and woody debris observed on the right-of-way. Moderate vegetation establishment observed on the right-of-way.,"Disc and reseed in 2013. Remove coarse fragments, if warranted.",,,
SW 2-79-19,Hay,"Moderate vegetation establishment, weeds","Contouring, coarse fragments",Rough terrain and woody debris observed on the right-of-way. Moderate vegetation establishment observed on the right-of-way. Moderate density of white cockle observed on the right-of-way at KP 77.25.,"Disc and reseed in 2013. Remove coarse fragments, if warranted. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 3-79-19,Treed,No,No,--,None.,,,
