Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
40,NW 8-25-3,554.0 to 555.0,2447.01 2447.02,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,NE 8-25-3,554.5 to 555.0,2447.99,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,SW 9-25-3,555.5 to 556.35,2449,Vegetation - Weeds,Issue reported by construction contractor.,"Moderate density of kochia, Russian thistle and lamb's-quarters observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way.,Weeds controlled in 2010.,Resolved,None.,,W3M,
40,NE 4-25-3,557.2 to 557.4,2451,Vegetation - Weeds,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No observations of new nodding thistle rosettes. Vegetation appears well established.,Low to moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W3M,
40,NE 34-24-3,559.4,2454,Vegetation - Weeds,Moderate density of nodding thistle and lamb's-quarters on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
40,NW 35-24-3,559.5 to 559.8,2455,Vegetation - Weeds,Moderate density of nodding thistle and kochia observed on construction right-of-way during ground reconnaissance.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in 2010.,Resolved,None.,,W3M,
40,NE 35-24-3,560.4,2456,Vegetation - Rare Plants low milk-vetch (S3),Plants not located.,"During monitoring in 2011, the low milk vetch transplant recipient site at NE 35-24-3 W3M was observed to support a low milk vetch population equivalent to that initially observed in 2007, prior to construction. As this single plant still persists the mitigation is considered successful and no further monitoring is required.",--,--,--,Resolved,None.,,W3M,
40,NE 35-24-3,560.4 to 560.8,2456,Vegetation - Weeds,Moderate density of lamb's-quarters and tumbling mustard observed on construction right-of-way during ground reconnaissance.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,SE 35-24-3,560.8 to 561.3,2456.01,Vegetation - Weeds,Moderate density of lamb's-quarters and nodding thistle on construction right-of-way.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,SW 36-24-3,561.3 to 561.5,2457,Vegetation - Weeds,Moderate density of lamb's-quarters and common peppergrass observed on construction right-of-way during ground reconnaissance.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,NE 25-24-3,563.2 to 563.3,2459,Vegetation - Weeds,Moderate density of nodding thistle and flixweed observed on construction right-of-way during ground reconnaissance.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,NW 30-24-2,563.3 to 563.8,2460,Vegetation - Weeds,Moderate density of Russian thistle and flixweed observed on construction right-of-way during ground reconnaissance.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,SW 30-24-2,564.1 to 564.3,2461,Vegetation - Weeds,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,SE 30-24-2,564.3 to 565.2,2462,Vegetation - Weeds,Moderate density of nodding thistle and flixweed on construction right-of-way.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,NE 19-24-2,565.2 to 565.4,2463,Vegetation - Weeds,Moderate density of nodding thistle and flixweed observed on construction right-of-way during ground reconnaissance.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
40,NW 20-24-2,565.4 to 566.3,2464 2465,Vegetation - Weeds,Moderate density of nodding thistle and lamb's-quarters on construction right-of-way.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,Sporadic nodding thistle evident.,Low to moderate densities of nodding thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W3M,
41,SE 20-24-2,567.3,2467,Vegetation - Weeds,Moderate density of leafy spurge and lamb's-quarters on construction right-of-way.,Moderate density of sweet clover and leafy spurge observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
41,SW 21-24-2,567.4,2468,Vegetation - Weeds,--,Moderate density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W3M,
41,SW 21-24-2,567.4,2468,Soils - Drainage,--,--,Area of poorly-drained soil surrounded by foxtail barley.,Area of poorly-drained soil surrounded by foxtail barley.,--,Unresolved,"Monitor drainage in 2013 and repair, if warranted.",,W3M,
41,SW 6-24-1,575.3 to 576.2,2479,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle observed on construction right-of-way.,"Low to moderate densities of nodding thistle, gumweed, Canada thistle, and foxtail barley observed on construction right-of-way during ground reconnaissance.",Weeds mowed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W3M,
41,SE 6-24-1,576.2 to 576.5,2480,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle observed on construction right-of-way.,"Low to moderate densities of nodding thistle, foxtail barley, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Weeds mowed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W3M,
41,NE 31-23-1,576.5 to 577.2,2481,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle observed on construction right-of-way.,"Low to moderate densities of nodding thistle, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Weeds mowed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W3M,
42,NE 22-23-1,582.5,2489,Vegetation - Weeds,--,High density of sweet clover and sporadic density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"High density of weeds on and off right-of-way. Nodding thistle evident only on right-of-way, but occuring sporadically.","Moderate densities of nodding thistle, flixweed, and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Control weeds and monitor in 2013.,,W3M,
42,NE 22-23-1,583.1,2489,Vegetation - Weeds,--,High density of sweet clover and sporadic density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"High density of weeds on and off right-of-way. Nodding thistle evident only on right-of-way, but occuring sporadically.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
42,SE 13-23-1,586.4 to 586.9,2493.01 2493.02,Soils - Erosion,Rill erosion at KP 586.4 on construction right-of-way.,Rill erosion observed on slopes on construction right-of-way during ground reconnaissance.,Rill erosion and sporadic growth on hill evident. Sporadic occurrence of nodding thistle also observed.,No erosion observed on construction right-of-way during ground reconnaissance.,Erosion repaired in 2010.,Resolved,None.,,W3M,
42,SE 13-23-1,586.4 to 586.9,2493.01 2493.02,Vegetation – Establishment,Poor vegetation establishment at KP 586.5 on construction right-of-way.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W3M,
42,SE 13-23-1,586.4 to 586.9,2493.01 2493.02,Vegetation - Weeds,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle observed.,Moderate densities of nodding thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2011.,Resolved,None.,,W3M,
42,SW 16-23-29,587.4 to 587.5,2494,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle observed.,Low to moderate densities of nodding thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W2M,
42,NW 9-23-29,587.5 to 588.0,2495,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
42,NE 9-23-29,588.0 to 589.0,2495.01,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weeds mowed summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W2M,
42,NW 10-23-29,589.0 to 589.1,2496,Vegetation - Weeds,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle observed.,Moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W2M,
42,SW 10-23-29,589.1 to 589.8,2497,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle observed.,Moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W2M,
42,SW 10-23-29,589.2,2497,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
42,SE 10-23-29,589.9 to 590.6,2497.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
42,SE 10-23-29,589.9 to 590.6,2497.01,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle observed. Sporadic occurrence of nodding thistle on right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
42,NE 3-23-29,590.80 to 590.88,2498,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle.,Low density of nodding thistle observed on construction right-of-way. Low density of nodding thistle observed in preconstruction weed survey. Moderate to high densities of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
42,NE 3-23-29,590.80 to 590.88,2498,Vegetation – Establishment,--,--,Patchy vegetation adjacent to wetland.,--,Reseeded in summer 2011.,Unresolved,Reseed and monitor in 2013.,,W2M,
42,NW 35-22-29,593.9 to 594.15,2503,Vegetation - Weeds,--,--,High-density of nodding thistle.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
42,NE 35-22-29,594.15 to 595.1,2504,Vegetation - Weeds,--,--,High-density of nodding thistle.,"Low to moderate densities of wild buckwheat, nodding thistle, flixweed, perennial sow-thistle, Canada thistle, common plantain, foxtail barley and sweet clover observed on construction right-of-way. High densities of wild oats observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Control weeds and monitor in 2013.,,W2M,
42,SE 35-22-29,595.1 to 595.4,2505,Vegetation - Weeds,--,--,High-density of nodding thistle.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
43,SW 36-22-29,595.4 to 596.2,2506.01,Vegetation - Weeds,Moderate density of white cockle and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Sporadic occurrence of nodding thistle.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
43,SW 36-22-29,595.9,2506,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way,Reseeded in summer 2011.,Resolved,None.,,W2M,
43,N 1/2 11-22-28,605.7 to 607.1,2521  2522,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
44,SW 5-22-27,611.0 to 611.6,2529,Vegetation - Weeds,Moderate density of kochia and lamb's-quarters observed on construction right-of-way during ground reconnaissance.,Unable to access land due to construction at the time of survey.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
44,SW 5-22-27,611.6,2529,Soils - Subsidence,Issue reported by construction contractor.,Unable to access land due to construction at the time of survey.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,W2M,
44,NW 32-21-27,611.6 to 612.0,2530,Vegetation - Weeds,"Moderate density of nodding thistle, false ragweed and lamb's-quarters on construction right-of-way.",Unable to access land due to construction at the time of survey.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
44,SW 33-21-27,613.7,2533,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way by Environmental Inspector in fall 2011.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in summer 2011.,Resolved,None.,,W2M,
44,SW 33-21-27,613.8 to 614.1,2533,Vegetation - Weeds,"Moderate density of nodding thistle, kochia and lamb's-quarters on construction right-of-way.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,SW 33-21-27,613.8 to 614.1,2533,Soils - Erosion,--,--,Landowner has erosion concerns where crop/hayland areas meet.,No erosion observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
44,SE 33-21-27,614.1 to 614.2,2534,Vegetation - Weeds,"Moderate density of nodding thistle, kochia and lamb's-quarters observed on construction right-of-way during ground reconnaissance.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,NE 28-21-27,614.3 to 614.5,2535,Vegetation – Weeds Unnamed Drainage (Tributary to Qu’Appelle River),Low density of scentless chamomile on southeast bank on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weeds picked summer 2011.,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,NE 28-21-27,614.5 to 615.2,2535,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by Environmental Inspector.,No evidence of nodding thistle – appears resolved.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,NW 27-21-27,615.2 to 615.3,2536,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by Environmental Inspector.,No evidence of nodding thistle – appears resolved.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,SW 27-21-27,615.3 to 616.4,2536.01,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by Environmental Inspector.,No evidence of nodding thistle – appears resolved.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,SE 27-21-27,616.4 to 616.5,2536.02,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by Environmental Inspector.,No evidence of nodding thistle – appears resolved.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
44,NW 23-21-27,617.5 to 617.8,2538,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
44,NW 13-21-27,619.8 to 620.1,2542,Vegetation - Weeds,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed on right-of-way sporadically.,Moderate density of nodding thistle (many young plants) observed on construction right-of-way during ground reconnaissance.,Weeds controlled in 2010.,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,SW 13-21-27,620.1 to 620.7,2543,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed on right-of-way sporadically.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
44,NE 12-21-27,621.4 to 621.9,2545,Vegetation - Weeds,Moderate density of prairie sunflower and perennial sow-thistle on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No weeds observed.,Moderate density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
44,NW 7-21-26,622.2 to 622.7,2546,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No weeds observed.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in 2010.,Resolved,None.,,W2M,
44,SE 7-21-26,622.9 to 623.9,2547,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of annual sow-thistle observed on construction right-of-way during ground reconnaissance.,No weeds observed.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in 2010.,Resolved,None.,,W2M,
44,SW 8-21-26,624.0,2548,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No weeds observed.,Low density of nodding thistle observed on construction right-of-way compared to off.,Weeds sprayed in 2010.,Unresolved,Control weeds and monitor in 2013.,,W2M,
44,NW 5-21-26,624.0 to 624.9,2549,Vegetation - Weeds,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,No weeds observed. Sporadic occurrence of nodding thistle on right-of-way.,"Low densities of gumweed, nodding thistle, foxtail barley, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weeds sprayed in 2010.,Unresolved,Control weeds and monitor in 2013.,,W2M,
45,SE 5-21-26,625.52 to 625.72,2550.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Patchy areas of vegetation observed. Patchy growth on within “flooded areas”. July 17, 2012",Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Unresolved,Reseed and monitor in 2013.,,W2M,
45,SE 5-21-26,625.6 to 625.8,2550.01,Vegetation - Weeds,"Moderate density of kochia, lamb's-quarters and Canada fleabane observed on construction right-of-way during ground reconnaissance.","Moderate density of gumweed, nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.",No weeds observed.,Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in 2010.,Unresolved,Control weeds and monitor in 2013.,,W2M,
45,NE 33-20-26,627.1 to 628.0,2553,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed on the right-of-way. Landowner doesn’t want weed control at this time.,Low to moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in 2010 and August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
45,SE 33-20-26,628.1,2554,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed on the right-of-way. Landowner doesn’t want weed control at this time.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in 2010 and August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
45,SE 34-20-26,629.15 to 629.3,2556,Vegetation - Weeds  Land and Resource  Use - organic farm,Moderate density of perennial sow-thistle and false ragweed on construction right-of-way.,Moderate density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Organic lands; landowner to control weeds.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
45,SW 19-20-25,634.3 to 634.6,2565,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unable to access land due to construction at the time of survey.,Minor compaction observed.,"Repeated freeze thaw events and standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,W2M,
45,NE 18-20-25,636.0,2567,Vegetation - Weeds,Moderate density of scentless chamomile and perennial sow-thistle on construction right-of-way.,Moderate density of scentless chamomile and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
46,SW 31-19-24,645.7 to 646.7,2584,Vegetation – Establishment,--,--,Patchy (flooded) growth areas.,Areas of poor (patchy) vegetation establishment observed on construction right-of-way during ground reconnaissance especially in low-lying areas.,--,Unresolved,Reseed and monitor in 2013.,,W2M,
46,SE 31-19-24,646.7 to 647.4,2584,Vegetation – Establishment,--,--,Patchy (flooded) growth areas.,Areas of poor (patchy) vegetation establishment observed on construction right-of-way during ground reconnaissance especially in low-lying areas.,--,Unresolved,Reseed and monitor in 2013.,,W2M,
47,SW 23-19-24,653.3 to 654.1,2593.03 2593.02,Vegetation - Establishment,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,Reseeded fall 2011.,Resolved,None.,,W2M,
47,SW 23-19-24,653.3 to 654.1,2593.03 2593.02,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate densities of absinthe, nodding thistle, Canada thistle and foxtail barley.","Low to moderate densities of nodding thistle, Canada thistle and absinthe observed on construction right-of-way during ground reconnaissance.",Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,W2M,
47,NW 14-19-24,654.1 to 654.3,2595,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate densities of absinthe, nodding thistle, Canada thistle and foxtail barley.",Low densities of nodding thistle and sweet clover observed on construction right-of-way during ground reconnaissance.,Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,W2M,
47,NE 14-19-24,654.3 to 654.7,2596,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate densities of absinthe, nodding thistle, Canada thistle and foxtail barley.",Low density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012.,Unresolved,Control weeds and monitor in 2013.,,W2M,
47,NE 14-19-24,654.5,2596,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,Right-of-way ready for repair of sunken trench.,Minor subsidence (2 m x 0.30 m x 0.10 m) observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Repair contouring, stabilize soils, establish vegetation and monitor in 2013.",,W2M,
47,NE 14-19-24,654.6 to 655.1,2596,Soils - Subsidence,Issue reported by construction contractor.,Issue reported by construction contractor.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
47,NW 13-19-24,655.1 to 655.7,2597,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,Right-of-way ready for repair of sunken trench.,No subsidence issues observed on construction right-of-way following repair work.,Disced and graded in August/September 2012.,Unresolved,Monitor in 2013.,,W2M,
47,SW 13-19-24,655.7 to 656.0,2597.01,Soils - Subsidence,Issue reported by construction contractor.,Issue reported by construction contractor.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",Disced and graded in August/September 2012.,Unresolved,Monitor in 2013.,,W2M,
47,SE 13-19-24,656.5,2597.02,Soils - Erosion,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,--,No erosion observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
47,SW 18-19-23,657.0 to 657.1,2598,Topography – Slopes Vegetation - Establishment Water Quality and Quantity Fish and Fish Habitat Qu'Appelle River,Poor vegetation establishment on northwest bank on construction right-of-way.,Poor vegetation establishment observed on northwest bank on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,Reseeded in 2010. Reseeded and willows planted fall 2011.,Resolved,None.,,W2M,
47,SW 18-19-23,657.0 to 657.1,2598,Vegetation – Weeds Qu'Appelle River,Moderate density of false ragweed and kochia on northwest bank.,Moderate density of kochia observed on northwest bank on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
47,SW 8-19-23,659.7 to 659.9,2601,Vegetation - Weeds,"Moderate density of scentless chamomile, false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.","Moderate density of false ragweed, foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way; heavy infestation of absinthe.,"Low to moderate densities of gumweed, nodding thistle, absinthe and foxtail barley observed on construction right-of-way during ground reconnaissance.","Sprayed absinthe infestation. Weeds sprayed in June, July, and August 2012.",Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
47,SE 4-19-23,662.7,2605,Vegetation - Establishment Water Quality and Quantity Fish and Fish Habitat Unnamed Creek,Poor vegetation establishment on northwest bank due to heavy cattle activity on construction right-of-way.,Poor vegetation establishment observed on both banks due to heavy cattle activity on construction right-of-way.,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Unresolved,Monitor in 2013.,,W2M,
