Location,KP Range,Land Use,Issue(s),Note(s),Status,Recommendation(s),VEC,GIS,Topic
c-13-C/094O06 to d-4-C/094O06,,,Physical Environment - Contouring,Contouring does not match adjacent terrain at KP 27.66 and is affecting drainage. Low site collecting water on construction right-of-way (20 m x 20 m).,Unresolved,Monitor for erosion and vegetation establishment in 2014.,,,
d-4-C/094O06 to d-94-K/094O03,28.0 – 29.0,Forested,Physical Environment - Trench Crown,Trench crown (0.2 m to 0.8 m high) observed from KP 28.0 to KP 29.0 affecting drainage.,Unresolved,Install breaks in the trench crown and monitor in 2014.,,,
d-4-C/094O06 to d-94-K/094O03,,,Vegetation - Weeds,MHigh density of sweet-clover observed from KP 28.0 to KP 29.0. oderate density of narrow-leaved hawk's-beard observed from KP 28.0 to KP 29.0.,Unresolved,Control weeds and monitor vegetation establishment in 2014.,,,
d-4-C/094O06 to d-94-K/094O03,,,Vegetation - Establishment/Soil - Admixing,Low vegetation establishment observed from KP 28.15 to KP 28.82 likely due to saturated soils and moderate admixing.,Unresolved,Monitor vegetation establishment in 2014.,,,
d-4-C/094O06 to d-94-K/094O03,,,Physical Environment - Erosion,GGLarge gully erosion (100 m long x 3.00 m wide x 2.00 m deep) observed from KP 28.16 to KP 28.28.  ully erosion (40 m long x 0.50 m wide x 0.20 m deep) observed at KP 28.37. ully erosion (40 m long x 1.00 wide m x 0.50 m deep) along trench line observed from KP 28.79 to KP 28.95.,Unresolved,Repair erosion and monitor in 2014.,,,
d-4-C/094O06 to d-94-K/094O03,,,Physical Environment - Rutting,Rutting and excavation scours (75 m long x 0.60 m wide x 0.35 m deep) channeling water at KP 28.43.,Unresolved,Monitor for erosion and vegetation establishment in 2014.,,,
,,Wetland (shallow open water),"Physical Environment – Erosion, Vegetation - Weeds",Preconstruction surveys identified a wetland (shallow open water) from KP 28.91 to KP 29.01. Gully erosion observed from KP 28.91 to KP 28.95. High density of sweet-clover observed from KP 28.91 to KP 29.0. Moderate density of narrow-leaved hawk's-beard observed from KP 28.91 to to KP 29.0.,Unresolved,See recommendations above.,,,
d-94-K/094O03 to a-84-K/094O03,29.0 – 30.0,Forested,Vegetation - Weeds,High density of sweet-clover observed from KP 29.0 to KP 30.0.,Unresolved,Control weeds and monitor in 2014.,,,
d-94-K/094O03 to a-84-K/094O03,,,Vegetation - Establishment/Soil - Admixing,Low vegetation establishment observed from KP 29.0 to KP 29.5 likely due to moderately admixed soils.,Unresolved,Monitor vegetation establishment in 2014.,,,
d-94-K/094O03 to a-84-K/094O03,,,Physical Environment - Trench Crown,Trench crown (0.25 m to 0.80 m) high) observed from KP 29.00 to KP 29.73.,Unresolved,Monitor in 2014 to ensure trench crown is not affecting cross right-of-way drainage.,,,
d-94-K/094O03 to a-84-K/094O03,,,Physical Environment - Erosion,Gully erosion along NCD bed (30 m long x 0.50 m wide x 0.25 m deep) observed at KP 29.44.,Unresolved,Monitor for erosion in 2014.,,,
d-94-K/094O03 to a-84-K/094O03,,,Physical Environment - Subsidence,SSubsidence (4.00 m long x 2.00 m wide x 0.25 m deep) observed at KP 29.52.  ubsidence (7 m long x 50 m wide x 1.00 m deep) on western edge of construction right-of-way observed at KP 28.99,Unresolved,Repair contouring and monitor in 2014.,,,
d-94-K/094O03 to a-84-K/094O03,,Unnamed NCD within the Fort Nelson River sub-basin (D16) [2],--,No issues observed at KP 28.92 at NCD D16 in 2013.,Resolved,--,,,
a-84-K/094O03,30.0 – 30.26,Forested,Vegetation - Weeds,High density of sweet-clover observed from KP 30.0 to KP 30.3.,Unresolved,Control weeds and monitor in 2014.,,,
,,Wetland (shallow open water),--,Preconstruction surveys identified a wetland (shallow open water) from KP 30.00 to KP 30.26. No issues observed in 2013.,Resolved,--,,,
