Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Mitigation Measures Implemented During Construction,Outstanding Issues(s) from As-Built Report,Issue Observed 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
3,NE 15-50-22,28.8 to 29.3,EL4-0071.00 EL4-0071.01 EL4-0071.02,Soils - Uneven Topsoil,None.,Uneven topsoil.,Uneven topsoil on construction right-of-way.,Unresolved,Level topsoil in fall 2010. Monitor in 2011.,,,EDMONTON LOOP
3,NW 14-50-22,29.3 to 29.6,EL4-0073.00,Soils - Admixing,None.,Potential admixing.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
3,NW 14-50-22,29.3 to 29.4,EL4-0073.00,2Wetland - Class IV 009 Health: unhealthy (46%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland was avoided by final alignment.,Resolved,None.,,,EDMONTON LOOP
3,NW 14-50-22,29.5,EL4-0073.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
3,NW 11-50-22,30.6 to 31.4,EL4-0075.00,Vegetation - Mulch Piles,Disposed of slash by creating mulch piles.,Potential for poor vegetation growth.,Poor vegetation establishment on construction right-of-way.,Unresolved,Reseed and monitor grass growth in 2011.,,,EDMONTON LOOP
3,NW 11-50-22,30.6 to 31.4,EL4-0075.00,Vegetation - Weeds and Clubroot Disease,Power wash/mist.,Weed introduction and spread.,"Moderate to high density of white cockle, lamb's-quarters and hemp-nettle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
3,SE 11-50-22,32.3,EL4-0078.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
3,NE 2-50-22,33.2,EL4-0079.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
3,NW 36-49-22,34.2,EL4-0082.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
3,NW 36-49-22,34.23,EL4-0082.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011.  Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
3,NW 36-49-22,34.23,EL4-0082.00,Soils - Contouring,--,--,Poor drainage observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011.  Recontour in 2011, if warranted.",,,EDMONTON LOOP
3,NW 36-49-22,34.47,EL4-0082.00,Soils - Subsidence,--,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,,EDMONTON LOOP
3,NW 36-49-22,34.5,EL4-0082.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
3,NE 36-49-22,34.7,EL4-0083.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
3,NE 36-49-22,34.75 to 35.3,EL4-0083.00,Vegetation - Weeds,--,--,"Moderate density of wild buckwheat, stinkweed and absinthe observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
3,NE 36-49-22,34.75 to 35.3,EL4-0083.00,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,EDMONTON LOOP
3 (cont'd),NE 36-49-22,34.92,EL4-0083.00,Soils - Erosion,--,--,Gully erosion observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair erosion in fall 2010 and monitor in 2011.,,,EDMONTON LOOP
3 (cont'd),NE 36-49-22,35.03,EL4-0083.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
3,SE 36-49-22,35.2,EL4-0084.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
3,SE 36-49-22,35.4,EL4-0084.00,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,EDMONTON LOOP
3,SW 31-49-21,35.9,EL4-0085.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,Moderate density of volunteer canola and wild buckwheat on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
3,SW 31-49-21,36.05,EL4-0085.00,Soils - Contouring,--,--,Area of ponded water on construction right-of-way due to poor contouring observed during ground reconnaissance.,Unresolved,Repair contouring in fall 2010. Monitor in 2011.,,,EDMONTON LOOP
4 and 5,Various,51.5 to 57.5,EL4-0112.00 to EL4-0121.00,Soils - Admixing,Separated admixed soil with hoes during final clean-up activities.,Potential admixing.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
4,NW 33-48-20,51.4,EL4-0112.00,Vegetation - Weeds and Clubroot Disease,Power wash/mist.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
4,NW 33-48-20,52.0,EL4-0112.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011.  Alleviate compaction in 2011, if warranted.",,,KINGMAN LOOP
4,NW 33-48-20,52.05,EL4-0112.00,Soils - Subsidence,--,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,,KINGMAN LOOP
4,NW 33-48-20,52.26,EL4-0112.00,Soils - Subsidence,--,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,,KINGMAN LOOP
4,NE 33-48-20,52.4,EL4-0113.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
4,NE 33-48-20,52.44,EL4-0113.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,KINGMAN LOOP
4,NE 33-48-20,52.6,EL4-0113.00,Soils - Contouring,--,--,Area of ponded water observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair contouring in fall 2010. Monitor in 2011.,,,KINGMAN LOOP
4,NE 33-48-20,53.0,EL4-0113.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
4,SW 34-48-20,53.4,EL4-0115.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
4,SW 34-48-20,53.4,EL4-0115.00,2Wetland - Class III 008 Health: healthy (83%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy (80%),Resolved,None.,,,KINGMAN LOOP
4,SW 34-48-20,53.7 to 53.8,EL4-0115.01,2Wetland - Class III 008 Health: healthy (89%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: unhealthy (25%) Weeds: creeping thistle Landowner has bisected wetland with cultivation along construction right-of-way,Unresolved,Monitor in 2011.,,,KINGMAN LOOP
5,NE 27-48-20,54.8,EL4-0117.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"High density of wild oats, foxtail barley and wild buckwheat on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
5,NW 26-48-20,55.2,EL4-0118.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
5,NW 26-48-20,55.27,EL4-0118.00,Vegetation - Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,KINGMAN LOOP
5,NW 26-48-20,55.38,EL4-0118.00,Vegetation - Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,KINGMAN LOOP
5,NW 26-48-20,55.54,EL4-0118.00,Soils- Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,KINGMAN LOOP
5,NW 26-48-20,55.7,EL4-0118.00,Soils- Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,KINGMAN LOOP
5,NE 26-48-20,56.0 to 56.8,EL4-0119.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"Moderate density of narrow-leaved hawk's-beard, wild buckwheat and lamb's-quarters on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
5,SW 25-48-20,57.0,EL4-0121.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
5,SE 25-48-20,57.8 to 58.7,EL4-0122.00 EL4-0122.01,Soils - Subsidence,Compacted area in accordance with EPP.,Potential subsidence.,Settled construction right-of-way observed during ground reconnaissance.,Unresolved,Repair settlement in fall 2010 and monitor in 2011.,,,KINGMAN LOOP
5,SE 25-48-20,57.9,EL4-0122.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
5,NE 19-48-19,59.5 to 59.6,EL4-0125.00,2Wetland - Class III 008 Health: healthy with problems (61%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: unhealthy (40%) Weeds: creeping thistle; excessively weedy Riparian: minimal willows present; wetland cultivated to edge,Unresolved,Follow weed control plan Monitor in 2011.,,,KINGMAN LOOP
5,NE 19-48-19,59.75,EL4-0125.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
5,NW 20-48-19,60.5 and D 0.4,EL4-0126.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"High density of pineappleweed, scentless chamomile, lamb's-quarters and shepherd's-purse on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
5,NW 20-48-19,60.7 to 60.8,EL4-0126.00,2Wetland - Class III 008 Health: healthy with problems (77%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (77%),Resolved,None.,,,KINGMAN LOOP
5,NE 20-48-19,D 0.4,EL4-0126.01,Vegetation - Weeds,--,--,"High density of pineappleweed, scentless chamomile, lamb's-quarters and shepherd's-purse observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
5,SW 21-48-19,D 1.3,EL4-0129.00,Soils - Subsidence,Compacted area in accordance with EPP.,Potential subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
5,SW 21-48-19,D 1.3,EL4-0129.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"High density of lamb's-quarters, Russian pigweed, foxtail barley and narrow-leaved hawk's-beard on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
5,SW 21-48-19,63.1,EL4-0129.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,Quarter-section recently sprayed. Not assessed.,Unresolved,Monitor in 2011.,,,KINGMAN LOOP
5,NE 16-48-19,63.4,EL4-0132.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
5,NE 16-48-19,63.4 to 63.5,EL4-0132.00,2Wetland - Class IV 008 Health: unhealthy (58%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (60%),Resolved,None.,,,KINGMAN LOOP
5,NW 15-48-19,64.2,EL4-0133.00,Soils - Admixing,Separated admixed soil with hoes during final clean-up activities.,Potential admixing.,Minor admixing on construction right-of-way.,Unresolved,"Monitor grass growth in 2011.  Source and add clean topsoil to address admixing in 2011, if warranted.",,,KINGMAN LOOP
5 (cont'd),NW 15-48-19,64.2 to 64.7,EL4-0133.00 EL4-0133.01 EL4-0133.02,Soils - Subsidence,Circulation pit off construction right-of-way.,Potential subsidence.,Subsidence observed on construction right-of-way.,Unresolved,Repair subsidence in fall 2010. Monitor in 2011.,,,KINGMAN LOOP
5,NE 15-48-19,64.9 and 65.2,EL4-0134.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"Moderate density of perennial sow-thistle, creeping thistle, foxtail barley and wild oats on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
5,NE 15-48-19,65.1,EL4-0134.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction in 2011, if warranted.",,,KINGMAN LOOP
5,NE 15-48-19,65.1,EL4-0134.00,Soils - Subsidence,--,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,,KINGMAN LOOP
5,SW 14-48-19,65.90 to 65.94,EL4-0136.00,2Wetland - Class IV 008 Health: unhealthy (40%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (39%),Resolved,None.,,,KINGMAN LOOP
5,SE 14-48-19,66.7 and C 0.2,EL4-0137.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"Moderate density of pineappleweed, wild buckwheat and stinkweed on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
5,SW 13-48-19,C 0.2 to C 1.0,EL4-0137.01,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to C 1.5,EL4-0140.00,Topography  Soils - Water Erosion Soils - Stoniness,Restored slope to preconstruction profile. Additional stone picking required.,Potential for erosion until vegetation is established. Stoniness.,Erosion rills on east slope on construction right-of-way. No stoniness issues observed on construction right-of-way.,Unresolved,"Monitor erosion in 2011 and repair, if warranted.",,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to C 1.5,EL4-0140.00,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to 69.4,EL4-0140.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011.  Alleviate compaction in 2011, if warranted.",,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to 69.4,EL4-0140.00,Vegetation - Weeds,--,--,"High density of foxtail barley, lamb's-quarters, narrow-leaved hawk's-beard, green smartweed and common peppergrass observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SW 7-48-18,69.4 and 70.3,EL4-0142.00 EL4-0142.01,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"Moderate to high density of scentless chamomile, stinkweed and common peppergrass on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SW 7-48-18,69.4,EL4-0142.00,Soils - Subsidence,--,--,Subsided area at bell hole observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair subsidence in fall 2010. Monitor in 2011.,,,KINGMAN LOOP
6,SW 7-48-18,69.5,EL4-0142.00,DSoils - Erosion  rainage,--,--,Erosion on southeast edge of drainage observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair erosion in fall 2011. Monitor in 2011.,,,KINGMAN LOOP
6,SE 7-48-18,70.3,EL4-0143.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
6,SE 7-48-18,71.17,EL4-0143.00,Soils - Erosion,--,--,Erosion near road crossing observed on construction right-of-way during ground reconnaissance.,Unresolved,Monitor erosion in 2011.,,,KINGMAN LOOP
6,NW 5-48-18,71.2 and 72.2,EL4-0145.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
6,NW 5-48-18,71.8 to 71.9,EL4-0145.00,2Wetland - Class III 008 Health: unhealthy (27%),Erosion berm installed at bottom of slope on east side of wetland. Seeded during reclamation in 2009. Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (61%).,Resolved,None.,,,KINGMAN LOOP
6,NE 5-48-18,72.2 to 72.7,EL4-0146.00,Vegetation - Weeds,--,--,"High density of absinthe, pineappleweed and stinkweed observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SE 5-48-18,72.7,EL4-0147.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
6,SE 5-48-18,72.7,EL4-0147.00,DVegetation - Establishment  rainage,--,--,Poor vegetation establishment along drainage channel observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,KINGMAN LOOP
6,SW 4-48-18,73.1,EL4-0148.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
6,NE 33-47-18,74.2,EL4-0150.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
6,NW 34-47-18,75.1,EL4-0151.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
6,SW 34-47-18,75.8,EL4-0152.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,Moderate density of creeping thistle and perennial sow-thistle on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SW 34-47-18 SE 34-47-18,75.9 to 76.0,EL4-0152.00/ EL4-0153.00,2Wetland - Class III 008 Health: healthy with problems (63%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (68%),Resolved,None.,,,KINGMAN LOOP
6,SE 34-47-18,76.0,EL4-0153.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,Moderate density of creeping thistle and perennial sow-thistle on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SW 35-47-18,76.9,EL4-0154.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
6,NW 26-47-18,77.4,EL4-0155.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"Moderate density of creeping thistle, scentless chamomile, hemp-nettle and stinkweed on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,NW 25-47-18,78.8 to 79.0,EL4-0157.00,Vegetation - Weeds,--,--,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, creeping thistle and scentless chamomile observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SW 25-47-18,79.0,EL4-0158.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, creeping thistle and scentless chamomile on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SE 25-47-18,79.7 and 80.6,EL4-0159.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"High density of foxtail barley, scentless chamomile and perennial sow-thistle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
6,SE 25-47-18,80.4 to 80.45,EL4-0159.00,2Wetland - Class III 008 Health: unhealthy (49%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (44%),Resolved,None.,,,KINGMAN LOOP
7,SW 20-47-17,82.5,EL4-0164.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"Moderate density of lamb's-quarters, wild buckwheat, and shepherd's purse on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
7,SE 20-47-17,83.5,EL4-0165.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"Moderate density of foxtail barley, scentless chamomile and Russian pigweed on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
7,SE 20-47-17,84.1,EL4-0165.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SE 20-47-17 NE17-47-17,83.9 to 84.1,EL4-0165.00,2Wetland - Class III 008 Health: unhealthy (58%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (46%),Resolved,None.,,,KINGMAN LOOP
7,NE 17-47-17,84.1 to 84.3,EL4-0166.00,Soils - Problem lower subsoil (saline/sodic),"Conducted three-lift soils handling as per EPP  Details 6A-13 and 6A-14, extra workspace required.",Potential crop growth problems.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,NW 16-47-17,84.4 to 85.3,EL4-0167.00,Vegetation - Crop Growth,--,--,Reduced crop growth in low lying areas throughout quarter-section observed on construction right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,KINGMAN LOOP
7,NW 16-47-17,84.4,EL4-0167.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,NE 16-47-17,85.0 to 85.1,EL4-0168.00,2Wetland - Class III 008 Health: healthy with problems (70%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (68%),Resolved,None.,,,KINGMAN LOOP
7,NE 16-47-17,85.3,EL4-0168.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SE 16-47-17,85.8,EL4-0169.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SW 15-47-17,86.3,EL4-0170.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"Moderate to high density of foxtail barley, narrow-leaved hawk's-beard, common peppergrass and gumweed on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,KINGMAN LOOP
7,SE 15-47-17,87.2,EL4-0171.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SE 15-47-17,87.2 to 87.5,EL4-0171.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,KINGMAN LOOP
7,NE 10-47-17,87.5 to 88.0,EL4-0172.00,Soils - Problem lower subsoil (saline/sodic),"Conducted three-lift soils handling as per EPP  Details 6A-13 and 6A-14, extra workspace required.",Potential crop growth problems.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,NE 10-47-17,87.5 and 88.1,EL4-0172.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,NW 11-47-17,88.1,EL4-0173.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SE 11-47-17,89.2,EL4-0175.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,NW 6-47-17,91.9,EL4-0179.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SE 6-47-17,92.8,EL4-0181.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SW 5-47-16,93.8,EL4-0182.01,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,KINGMAN LOOP
7,SW 5-47-16,93.8,EL4-0182.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,KINGMAN LOOP
