Legal Location,Land Use,2012 PCMP Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,2014 Recommendations,VEC,GIS,Topic
NE 27-66-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 16, 2014  <s>Scentless chamomile identified KP 18+675, plants picked and bagged. </s> <s>Entire tract exhibits vegetation density of ~90% compared with off-ROW. Deciduous species establishing well </s>along ROW throughout entire tract. Cross drains and water bars/diversion berms functioning well with vegetation establishing. June 25, 2014  <s>Approximately 0.07 ha was sprayed between KP 18+300 and 19+050 with herbicide to control Canada thistle, </s>perennial sow thistle and scentless chamomile. July 23, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stressing.",Monitor in 2015,,,
SE 27-66-7 W6,Treed,"Monitor vegetation growth in 2013. Install erosion control measures on hillside, reseed and monitor at KP 19.71 in 2013.","KP 19+500 Minor erosion across centreline; monitor. KP 19+700 – 19+800 Good infilling of native species, lots of shrubs and forbs on ROW. KP 19+500 Increased erosion since the spring assessment was completed. Filled in rill erosion and one gully by hand and then install (Bio 4) erosion blankets and waddles.","June 16, 2014  <s>Entire tract exhibits vegetation density of ~90% compared with off-ROW Grasses and Deciduous species </s>establishing well along ROW. Cross drains and water bars/diversion berms functioning well with vegetation establishing.  <s>KP 19+490, ephemeral draw, previously repaired erosion issue, additional erosion has occurred. </s>Recommended repair: pull back erosion material, re-contour drainage bed, replace erosion material and extend it farther to the west (edge of ROW) with more straw waddle breakers installed. June 25, 2014  <s>Approximately 0.15 ha was sprayed between KP 19+050 and 19+950 with herbicide to control Canada thistle </s>and perennial sow thistle. July 13, 2014  <s>Erosion repair at KP 19+490. Removed non-functioning erosion control material from bed of cross drain. Four </s>straw waddle erosion control breakers installed in cross drain. Soil placed to fill and re-contour scoured and eroded bed. West side of ROW was contoured and filled with soil and three straw waddle breakers were installed. July 23, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stressing.",Monitor in 2015,,,
NE 22-66-7 W6,Treed,"Install erosion control measures on hillside, reseed and monitor at KP 20.16 in 2013. Monitor vegetation growth in 2013.",KP 20+100 Location appears fully recovered and functional. No visible crown and good regeneration of natives. KP 20+200 Erosion since the spring assessment was completed. KP 20+200 Filled in rill erosion and one gully by hand and then install (Bio 4) erosion blankets and waddles.,"June 16, 2014  <s>Majority of ROW exhibits vegetation density of ~90% compared with off-ROW. Deciduous species establishing </s>well along ROW throughout entire tract. Cross drains and water bars/diversion berms functioning well with vegetation establishing other than mentioned issues.  <s>KP 19+990: minor erosion beginning along west side of ROW boundary into centreline. </s> <s>Noxious weed, tall buttercup located on ROW. </s>June 25, 2014  <s>Approximately 0.3 ha was sprayed between KP 19+950 and 20+800 with herbicide to control Canada thistle, </s>perennial sow thistle, and Tall Buttercup. July 13, 2014  <s>Erosion repair at KP 19+990. Multiple erosion rills on slope 60 m X 20 cm X 10–20 cm. Seven straw waddle </s>erosion-control breakers installed. Rills filled with soil and re-contoured. Erosion repair at 20+100. Two soft straw waddle breakers were installed in bed of erosion section 20 m X 30–40 cm X 20–30 cm. July 23, 2014  <s>KP 20+670 – ~15 buttercup plants were picked in this area. Previous herbicide application did not cover entire </s>area of weed presence. Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing.",Monitor in 2015,,,
SE 22-66-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 16, 2014  <s>Majority of ROW exhibits vegetation density of ~90% compared with off-ROW. Cross drains and water </s>bars/diversion berms functioning well with vegetation establishing. Slope has good establishment of vegetation with no issues at this time.",Monitor in 2015,,,
SW 22-66-7 W6,Treed,None.,,"June 16, 2014  <s>Entire tract exhibits good vegetation density of ~90–95% compared with off-ROW, good grass establishment. </s>Deciduous species establishing well along ROW throughout entire tract. Cross drains and water bars/diversion berms functioning well with vegetation establishing.",Monitor in 2015,,,
,Tributary to Bald Mountain Creek (WC9),"Monitor in 2013 and, if warranted, repair.","KP 21+450 Drain is still fully functional, it is well vegetated. KP 21+450 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.","June 16, 2014  <s>Tributary to Bald Mtn. Creek. </s> <s>Minor subsidence on north and south banks, bed of watercourse along ditchline is slightly wider and slightly </s>deeper than off-ROW.  <s>70–75% vegetation on banks as opposed to off-ROW. Continue to monitor. </s>",Monitor in 2015,,,
NW 15-66-7 W6,Drainage (D3),None.,Slight subsidence on seasonal drain areas from KP 21.9 to KP 24. No issues (not affecting reclamation efforts) at this time; monitor. KP 21+600 Removed silt fencing.,"June 17, 2014  <s>KP 21+750 drainage, slumping along ditchline 15 m X 5 m X 40 cm deep. Erosion extending beyond </s>slumping, 15 m X 30 cm X 30 cm likely due to slumping and ponding of water, establishing vegetation.",Monitor in 2015,,,
,Drainage (D4),None.,Slight subsidence on seasonal drain areas from KP 21.9 to KP 24 no issues (not affecting reclamation efforts) at this time; monitor. KP 21+700 Removed all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.,"June 17, 2014  <s>KP 21+820 drainage, subsidence observed 20 m X 4 m X 20 cm. Ponding on ditchline, poor contour of </s>drainage, standing water – continue to monitor.",Monitor in 2015,,,
,Drainage (D5),"Monitor in 2013 and, if warranted, repair.",Slight subsidence on seasonal drain areas from KP 21.9 to KP 24 no issues (not affecting reclamation efforts) at this time; monitor. KP 21+900 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.,"June 17, 2014  <s>KP 22+330 11U 0372738 6064770. Drainage. Considerable ponding water on ditchline as opposed to </s>off-ROW. Poor drainage. Subsidence exists 20 m X 4 m X 30–50 cm considerable slumping along east bank.",Monitor in 2015,,,
,Tributary to Bald Mountain Creek (WC10),None.,"KP 22+500 Excellent regeneration, shrubs, conifers, and deciduous all recovering.","June 17, 2014  <s>KP 22+440: minor subsidence and slumping 3 m X 3 m X 15–20 cm on each side. Coir banks appear effective </s>and stable with vegetation establishing. Removed silt fencing on south side.  <s>Cross drains and water bars/diversion berms functioning well with vegetation establishing. </s>",Monitor in 2015,,,
,Treed,None.,,"June 17, 2014  <s>Vegetation establishment compared with off-ROW ~95%. Good establishment of grasses. </s>",Monitor in 2015,,,
SW 15-66-7 W6,Treed,None.,,"June 17, 2013  <s>Vegetation establishment compared with off-ROW ~95%. Weeds (non-noxious) comparable to off-ROW. </s>",Monitor in 2015,,,
,Tributary to Bald Mountain Creek (WC11),None.,KP 22+300 and 22+400 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.,"June 17, 2014  <s>Low water flow present across ROW in drainages noted, well vegetated and functioning effectively. </s> <s>KP 22+920: Un-named tributary to Bald Mtn. Creek, minor slumping, apparent deposit of sediment in bed of </s>ditchline. Continue to monitor. Silt fencing remains on either bank and can be removed at any time. July 29, 2014  <s>Removed previously reported sit fencing on either bank of tributary at KP 22+920. </s> <s>Scentless chamomile identified at KP 23+100. Picked and bagged. </s>",Monitor in 2015,,,
,Tributary to Bald Mountain Creek (WC12),"Monitor in 2013 and, if warranted, repair.",KP 23+000 Cobble was installed during construction; the centreline subsided and acted as a sediment trap. The native substrate is fines; the collection of sediment on centreline is not affecting restoration. KP 23+000 and 23+100 Removed silt fencing.,"June 17, 2014  <s>KP 23+120 minor subsidence either bank ~15 m X 5 m X 10–15 cm. Good vegetation establishment. Channel </s>entering ROW has been naturally redirected and is affecting midsection of drainage slope ~2 m above coir wrap on south side of drainage. This issue might require remediation – continue to monitor.  <s>Cross drains and water bars/diversion berms functioning well with vegetation establishing. Deciduous species </s>establishing well along ROW. Hill slopes vegetating well and appear stable.  <s>KP 23+185 to 23+435 silt fence remaining along east side of ROW, extending into tract 36. Total of 250 m to </s>be removed. July 12, 2014  <s>Removed approximately 250 m of silt fence from tract, and also extending into Tract 36 (NE 09-66-07 W6M) </s>from 11U 6063981m N, 0372390m E (KP 23+185) to 11U 6063781, 0372281m E (KP 23+435). After silt fence was removed, all soil was placed back in the depression created when silt was removed and ground was re-contoured manually.",Monitor in 2015,,,
NE 9-66-7 W6,Treed,None.,KP 23+800 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.,"June 17, 2014  <s>Majority of ROW vegetation ~90% compared with off-ROW. Deciduous species establishing well along ROW. </s>Cross drains and water bars/diversion berms functioning well with vegetation establishing other than ones mentioned with issues KP 23+380. Tall Buttercup was located on the ROW.  <s>Water bar; evidence of removal of straw waddle, steel pins remain. Recommend installation of straw waddles </s>as vegetation remains thin.  <s>KP 23+660: diversion berm exhibits small amounts of water rising on ditchline may be a spring. Continue to </s>monitor.  <s>KP 23+700: straw waddles evidently removed form diversion berm or ephemeral draw. Continue to monitor. </s>June 26, 2014  <s>Approximately 0.29 ha was sprayed between KP 23+350 and 24+450 with herbicide to control Tall Buttercup. </s>July 23, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stressing.",Monitor in 2015,,,
SE 9-66-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris. Distribute soil over right-of-way in 2013.",,"June 17, 2014  <s>Majority of ROW exhibits ~90 vegetation established compared with off-ROW control. Deciduous species and </s>willows establishing well on ROW. Cross drains well vegetated and functioning appropriately  <s>Previously identified contour issue doesn’t appear to be of significant concern. Identified spoil pile on ditchline </s>– no significant issue, no further work required. June 26, 2015  <s>Approximately 0.02 ha was sprayed between KP 23+350 and 24+450 with herbicide to control weeds on </s>ROW. July 23, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stresses.",Monitor in 2015,,,
NE 4-66-7 W6,Treed,Reseed at KP 25.90 and monitor in 2013. Monitor vegetation growth in 2013.,KP 26+050 Removed silt fencing.,"June 17, 2014  <s>85–90% vegetation establishment in this tract, compared with off-ROW control. Extensive sections exhibiting </s>thin vegetative cover across ROW, possibly attributed to excessive woody debris in some areas. Monitor for erosion and continued vegetation establishment. Deciduous species and willows establishing well on ROW.  <s>Canada thistle and perennial sow thistle identified in this tract. Recommend weed control in summer 2014 to </s>control spread of weeds.",Monitor in 2015,,,
SE 4-66-7 W6,Treed,"Monitor in 2013 and, if warranted, repair. Reseed at KP 26.88 and monitor in 2013. If warranted, install erosion control measures. Monitor vegetation growth in 2013.",KP 26+100 Good regeneration.,"June 18, 2014  <s>85–90% vegetation cover on ROW compared with off-ROW control with some extensive areas exhibiting </s>thinner vegetation. Good establishment of willow and deciduous species in sections along ROW.  <s>One bull thistle weed identified in tract. Hand-removed noxious weed and bagged it. </s> <s>Removed silt fencing stakes that were piled on the edge of ROW at 11U 6061411m N, 0371447m E </s>(KP 26+070).  <s>Cross drains in tract functioning well with good vegetation proliferation in. One exception of poor water </s>drainage in cross drain at 11U 6060810m N, 0371427m E (KP 26+700) that showed ponding water on ditchline. Cross drain was hand dug at time of assessment to remediate ponding water.  <s>No erosion, subsidence or contour issues evident in tract at time of assessment. </s>",Monitor in 2015,,,
SE 4-66-7 W6,Drainage (D6),None.,, <s>No concerns noted. </s>,Monitor in 2015,,,
NW 33-65-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 18, 2014  <s>Majority of ROW exhibits 90% vegetation cover on ROW compared with off-ROW control Good establishment </s>of willow and deciduous species in sections along ROW.  <s>Canada thistle found in tract. </s> <s>Cross drain functioning well with good vegetation proliferation in. No erosion, subsidence or contour issues </s>evident in tract at time of assessment.",Monitor in 2015,,,
NE 33-65-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 18, 2014  <s>Majority of ROW exhibits 90–95% vegetation cover compared with off-ROW control. Good establishment of </s>willow and deciduous species in sections along ROW.  <s>Scentless chamomile found in tract. They were hand-picked and bagged at invasion site. perennial sow thistle </s>present in tract;  <s>Erosion evident at 11U 6060447m N, 0371395m E (KP 27+047) at the edge of spoil side on ROW. Erosion </s>8 m X 30–40 cm X 15–20 cm in magnitude and stops at ditchline.  <s>Removed several steel pegs from straw waddles in tract. </s>June 26, 2014  <s>Approximately 0.23 ha was sprayed between KP 27+025 and 27+800 with herbicide to control Canada thistle, </s>perennial sow thistle and scentless chamomile. July 14, 2014  <s>Erosion repair at KP 27+047. 2 straw waddle erosion control breakers installed. Soil placed to fill and </s>re-contour channel. July 23, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses indicate slight stressing in this area of herbicide application.  <s>KP 27+300: scentless chamomile identified on either side of drainage in 30 m setback, recommend </s>hand picking weeds. September 19, 2014  <s>Approximately 0.02 ha was sprayed to control Canada thistle. </s>",Monitor in 2015,,,
,Drainage (D7),"Monitor in 2013 and, if warranted, repair.",KP 27+300 and 27+600 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.,"June 18, 2014  <s>Cross drain D7 at 11U 6060215m N, 0371578m E (KP 27+330) exhibits minor subsidence on both south and </s>north banks. South bank subsidence more extensive than north bank being 10 m X 5 m X 40–50 cm in magnitude. Good vegetation establishment seems to have stabilized banks. Slumping evident in drainage indicative of ponding water on ditchline.",Monitor in 2015,,,
SE 33-65-7 W6,Treed,"Monitor vegetation growth in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"June 18, 2014  <s>Majority of ROW ~85–90% vegetation establishment compared withoff-ROW. Cross drains and water </s>bars/diversion berms functioning well with vegetation establishing. Weeds (scentless chamomile) noted on ROW.  <s>KP: 27+850 removed steel pins from cross drain straw waddle. </s> <s>KP 28+430: poor contouring on ditchline in cross drain. Slight depression providing potential for ponding of </s>water. Vegetating well; no issues at this time. June 26, 2014  <s>Approximately 0.15 ha was sprayed between KP 27+800 and 28+800 with herbicide to control </s>scentless chamomile. July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.",Monitor in 2015,,,
NE 28-65-7 W6,Treed,Monitor vegetation growth in 2013.,KP 29+000 Removed all steel pegs and non-biodegradable material from seasonal drain. Redistributed cobble holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being reistributed.,"June 18, 2014  <s>Majority of ROW exhibits ~85–90% vegetation establishment compared with off-ROW. Cross drains </s>functioning well with vegetation establishing. Some ponding water, most exhibiting minimal flow. Removed steel pins from straw waddles.  <s>KP 29+450 2 bull thistle found and removed. Tall buttercup also located. </s>June 26, 2014  <s>Approximately 0.001 ha was sprayed between KP 28+800 and 29+450 with herbicide to control tall buttercup. </s>July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.",Monitor in 2015,,,
SE 28-65-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 18, 2014  <s>Majority of ROW exhibits ~95% vegetation establishment compared with off-ROW. Good establishment of </s>grasses workside and spoil side. Cross drains functioning well with vegetation establishing, some exhibiting minimal flow.  <s>KP 29+450 Removed steel pins from straw waddle at cross drain. </s> <s>Scentless chamomile noted on ROW. </s>June 26, 2014  <s>Approximately 0.05 ha was sprayed between KP 29+450 and 30+325 with herbicide to control </s>scentless chamomile. July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration.",Monitor in 2015,,,
NE 21-65-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, implement weed control measures.","KP 31+225  Natural regeneration very weak (jack pine stand). Clover is the only species growing. KP 31+300 – Valve Site Large number of weeds (scentless, ox eyed daisy and hawkweed was observed at the valve site. Sprayed – assess success in 2014.","June 18, 2014  <s>Majority of ROW exhibits 80–90% vegetation compared with off-ROW control. Areas of reduced vegetation </s>cover were noted and are associated with high levels of woody debris – these areas are revegetating, but just a slower rate.  <s>One scentless chamomile identified on ditchline on south side of valve site. Plant was picked and bagged, </s>continue to monitor. Refer to Weed Assessment Form for more information. June 26, 2014  <s>Approximately 0.02 ha was sprayed between KP 30+325 and 31+400 with herbicide to control </s>scentless chamomile. July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.  <s>Scentless chamomile at KP 30+730 to 30+ 880. Temporary workspace at KP 30+780 adjacent the valve </s>station has high density of scentless chamomile. Previous remedial efforts did not achieve desired control of noxious weed. Spraying is recommended. Majority of area identified was not previously sprayed. scentless chamomile at KP 31+120, picked and bagged (1 plant). Continue to monitor. July 28, 2014  <s>Scentless chamomile was handpicked and bagged for disposal. Approximately 0.75 large garbage bags were </s>picked from location.  <s>Approximately 0.48 ha was sprayed between KP 0+250 and 0+660 with herbicide to control </s>scentless chamomile. September 19, 2014  <s>Approximately 0.02 ha was sprayed to control Canada thistle. </s>",Monitor in 2015,,,
SE 21-65-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 19, 2014  <s>Majority of the ROW exhibits ~90% vegetation establishment compared with off-ROW. Good establishment of </s>grasses on workside and spoil side. Deciduous species establishing well.  <s>Scentless chamomile identified. </s>June 26, 2014  <s>Approximately 0.3 ha was sprayed between KP 31+400 and 31+475 with herbicide to control </s>scentless chamomile. July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.  <s>Scentless chamomile at KP 31+420 on roadway at Pipeline crossing. Herbicide was not previously sprayed on </s>roadway. Continue to monitor. July 29, 2014  <s>Previously assessed scentless chamomile along road crossing at KP 31+425 was picked and bagged. </s>",Monitor in 2015,,,
SW 22-65-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, implement weed control measures.","KP 31+500 Scentless chamomile was spotted along the ROW at same location as last year, requires picking and spraying. KP 31+600 Artesian Flow Water coming to surface on centreline in bottom of a seasonal drain, monitor for pipeline integrity issues. KP 31+500 to KP 33+000 Weeds spot sprayed.","June 19, 2014  <s>Majority of ROW exhibits ~95% vegetation establishment compared with off-ROW. Good establishment of </s>native grasses across ROW. Conifer species emerging and deciduous species establishing. Cross drains functioning effectively with vegetation establishing. Some water present.  <s>Scentless chamomile picked and bagged. </s>June 26, 2014  <s>Approximately 0.17 ha was sprayed between KP 31+475 and 32+250 with herbicide to control </s>scentless chamomile. July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected.",Monitor in 2015,,,
SE 22-65-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",KP 31+500 to KP 33+000 Weeds spot sprayed.,"June 19, 2014  <s>~80–85% vegetation establishment compared with off-ROW. Good establishment of grasses across ROW. </s>Many thinly vegetated areas mainly on ditchline.  <s>ATV activity evident throughout tract – defined trail. </s> <s>Cross drain exhibiting minor erosion on ROW across spoil side and ditchline, 10 m X 30 cm X 5 cm. No </s>issues; continue to monitor KP 32+050.  <s>KP 32+600: ponding water along spoil side of ditchline 25 m X 4 m. No cross drain present – continue to </s>monitor, no work required at this stage. July 23, 2014  <s>Scentless chamomile at KP 31+120, picked and bagged (one plant). Continue to monitor. </s>",Monitor in 2015,,,
SW 23-65-7 W6,Treed,"Monitor vegetation growth in 2013 and, if warranted, reseed.",,"June 19, 2014  <s>~85–90% vegetation establishment as opposed to off-ROW. Good establishment of grasses across ROW. </s>Areas of surface material disturbance having less vegetation cover at time of assessment. Cross drains functioning effectively with vegetation establishing. Some water present. Conifer species emerging and deciduous species establishing.  <s>KP 35+620, thistle and scentless chamomile identified at south end of tract. </s>June 26, 2014  <s>Approximately 0.41 ha was sprayed between KP 33+075 and 33+700 with herbicide to control thistle and </s>scentless chamomile. July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected. September 19, 2014  <s>Approximately 0.02 ha was sprayed to control Canada thistle. </s>",Monitor in 2015,,,
NW 14-65-7 W6,Treed,Monitor vegetation growth in 2013.,KP 34+790 No Issues noted.,"June 19, 2014  <s>85–90% vegetation cover on ROW compared with off-ROW control. Good establishment of willow, deciduous </s>species along ROW. Natural regrowth of spruce noted along sections of ROW indicating effective, successful succession after disturbance. June 26. 2014  <s>Approximately 0.01 ha was sprayed between KP 33+700 and 34+500 with herbicide to control thistle. </s>July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration.",Monitor in 2015,,,
NW 14-65-7 W6,W6Drainage (D8),"Monitor in 2013 and, if warranted, repair.","KP 34+000 Minor subsidence (11U 0373957, 6055364) – monitor in 2014 to determine if repairs are required. KP 34+000 Removed all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.","June 19, 2014  <s>Ephemeral draw (KP 33+970) shows good vegetation proliferation. Minor subsidence on north bank, 8 m X </s>5 m X 80 cm in magnitude. Minor subsidence on south bank, 8 m X 4 m X 30–40 cm in magnitude. Possible minor erosion on north side of draw with good vegetation establishment. Continue to monitor. Removed silt fencing stakes piled on east edge of ROW in draw.  <s>Cross drains in tract functioning well with good vegetation proliferation with one exception at </s>11U 6054977m N, 0373979m E (KP 34+370), which exhibits minor erosion. Erosion in drainage begins on east side of ROW and stops at ditchline; controlled by straw waddle erosion control. Prime example of straw waddle exhibiting its intended function in erosion prevention. Removed steel pegs at this drainage.",Monitor in 2015,,,
SW 14-65-7 W6,Treed,Reseed at KP 34.66 and KP 35.26 and monitor in 2013. Monitor vegetation growth in 2013.,KP 34+920 Rare Plant Area All rare plant areas are recovering very well.,"June 19, 2014  <s>90–95% vegetation cover on ROW compared with off-ROW control. Good establishment of willow and </s>deciduous species in sections along ROW. Cross drain functioning well in tract exhibiting good vegetation proliferation.  <s>Tall buttercup found in tract. Weeds were hand-picked and bagged. </s> <s>Removed steel pegs from drainage at 11U 6054837m N, 0373985m E. </s> <s>KP 34+610 Diversion berm/water bar exhibits minor rill erosion, 20 m X 10 m X 5 cm in magnitude. </s>June 26, 2014  <s>Tall buttercup present from KP 34+900 to KP 35+350 in rare plant area. Noxious weeds were handpicked. </s>Continue to monitor. July 23, 2014  <s>Previous remedial efforts (hand picking buttercup) achieved desired control of noxious weeds. Buttercup was </s>not identified in tract. Continue to monitor.",Monitor in 2015,,,
SW 14-65-7 W6,Tributary to Cutbank River (WC14),None.,KP 34+700 Removed all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.,"June 19, 2014  <s>Tributary to Cutbank River WC14 at 11U 6054616m N, 0374008m E (KP 34+700) shows minor subsidence on </s>north and south bank. North bank exhibits 2 m X 2 m X 10 cm subsidence and south bank exhibits 5 m X 4 m X 20–30 cm subsidence. Minor slumping evident along ditchline indicated by deeper ponding of water. Vegetation establishing on slopes. Minimal flow evident in tributary at time of assessment.",Monitor in 2015,,,
,Tributary to Cutbank River (WC15),None.,KP 35+100 Removed all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.,"June 19, 2014  <s>Tributary to Cutbank River WC15 at 11U 6054162m N, 0374014m E (KP 35+200) exhibits minor slumping on </s>north bank, 4 m X 2 m X 15–20 cm in magnitude. ATV rutting evident on east end of tributary on edge of ROW. Exceptional vegetation establishment on both banks. Amphibians using tributary as habitat. Bed and bank appear stable at time of assessment.",Monitor in 2015,,,
NW 11-65-7 W6,Treed,None.,,"June 19, 2014  <s>90% vegetation cover on ROW compared with off-ROW control. Good establishment of willow and deciduous </s>species along ROW.  <s>Tall buttercup found intermittently throughout tract. Weeds were hand-picked and bagged. </s> <s>Cross drains functioning well at time of assessment with no ponding and good vegetation establishment. </s>Removed several steel pegs from straw waddles in tract. June 26, 2014  <s>Tall buttercup present from kp 34+900 to kp 35+350 in rare plant area. Noxious weeds were handpicked. </s>Continue to monitor. July 23, 2014  <s>Previous remedial efforts (hand picking of buttercup) achieved desired control of noxious weeds. Buttercup </s>was not identified in tract. Continue to monitor.  <s>Scentless chamomile at KP 35+800, picked and bagged (1 plant). Continue to monitor. </s>",Monitor in 2015,,,
,Seasonal Drainage,"Monitor in 2013 and, if warranted, repair.","KP 35+500 Minor subsidence in watercourse (11U 0374013, 6053947). No adverse effects noted, vegetation is excellent, flow is not affected. Monitor in 2014 to determine if repairs are required. KP 35+500 Removed all steel pegs and non-biodegradable material from seasonal drain. Redistributed the cobble that is holding back water. Checked for depth of cover with hand probe before any shovel work to correct drainage and cobble being redistributed.","June 19, 2014  <s>Seasonal drainage at 11U 6053948m N, 0374013m E (KP 35+480) exhibits exceptional vegetation </s>proliferation. Minor subsidence on south bank, 5 m X 5 m X 30–40cm in magnitude. Minor subsidence on north bank, 5 m X 4 m X 15–20 cm in magnitude. Amphibians present in drainage using it as habitat. Minimal water movement at time of assessment. Removed significant amount of spikes in erosion control matting, workside of ROW. Silt fence remains, requires removal. July 14, 2014. Removed ~30 m of silt fencing on north bank of drainage.",Monitor in 2015,,,
SW 11-65-7 W6,Treed,Monitor vegetation growth in 2013.,KP 36+100 Logging operation built a log and clay pad (approx. 5 m) over the ROW in preparation of cutblock on west side of ROW. Monitor in 2014 for impacts on ROW.,"June 20, 2014  <s>90–95% vegetation cover on ROW compared with off-ROW control. Good establishment of willow, deciduous </s>species along ROW.  <s>Tall buttercup found in tract. Weeds were hand-picked and bagged. </s> <s>Cross drains in tract functioning well in tract exhibiting good vegetation establishment. </s>June 26, 2014  <s>Approximately 0.15 ha was sprayed between KP 36+100 and 36+900 with herbicide to control tall buttercup. </s>July 23, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>in areas sprayed showing signs of health degradation in the form of wilting and discolouration.",Monitor in 2015,,,
,Treed Bog,Monitor wetland in 2013. Leave for natural recovery.,,"June 20, 2014  <s>Wetland (treed bog) at 11U 6052858m N, 0374015m E (KP 36+470 – KP 36+500) exhibits good vegetation </s>growth consisting of emergent species. Willows and deciduous species starting to advance in wetland throughout ROW. Exceptional growth of Sphagnum moss throughout wetland. Good depth of organic substrate in wetland indicates proper wetland functionality and stability. Up to 15 cm of standing water present in bog at time of assessment, may be attributed to recent precipitation event. No sedimentation issues apparent in bog. No subsidence or erosion issues present in wetland. Abundance of amphibians using wetland as suitable habitat. No net loss of wetland function evident at time of assessment.",Monitor in 2015,,,
