Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,TERA Observation(s) in 2014,Repairs to Date  (2010 to 2014),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
NW 5-21-26,624.0 to 624.9,2549,Vegetation - Weeds,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low densities of gumweed, nodding thistle, foxtail barley, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weed densities remain higher on the construction right-of-way than off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds sprayed in 2010. Fall 2013: Chemical application completed. 2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NE 5-21-26,624.9 to 625.35,,Vegetation - Weeds,--,--,--,--,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SE 5-21-26,625.32,2550.01,Vegetation – Weeds,--,--,--,Patches of gumweed observed on the construction right-of-way.,"Weed species observed at higher densities on the construction right-of-way compared to off, however, this is a natural low area within the field which is not being farmed and an increase in weeds in the unseeded area is expected.",--,Resolved,None.,,W3M,Saskatchewan
NE 33-20-26,627.1 to 628.0,2553,Vegetation - Weeds,Issue reported by Construction Contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Weed densities remain higher on the construction right-of-way than off. One large patch of nodding thistle observed at KP 627.3.,Access to land not granted at time of assessment. Issue assessed by EI in fall 2014.,Weeds sprayed in 2010 and August 2012. 2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SE 33-20-26,628.0 to 628.1,2554,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Several nodding thistle plants observed isolated to the construction right-of-way.,Access to land not granted at time of assessment. Issue assessed by EI in fall 2014.,Weeds sprayed in 2010 and August 2012. 2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 23-19-24,653.3 to 654.1,2593.03 2593.02,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, Canada thistle and absinthe observed on construction right-of-way during ground reconnaissance.",Weed densities remain higher on the construction right-of-way than off.,No weed issues observed on construction right-of-way. Chemical control has been successful.,Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012. Fall 2013: Chemical application completed.,Resolved,None.,,W3M,Saskatchewan
NW 14-19-24,654.1 to 654.3,2595,Vegetation - Weeds,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.,Low densities of nodding thistle and sweet clover observed on construction right-of-way during ground reconnaissance.,Sweet clover and nodding thistle were observed at higher densities on the construction right-of-way than off.,Access to land not granted at time of assessment. Issue assessed by EI in fall 2014. EI indicated that nodding thistle densities are down from the year prior.,Weeds controlled and area reseeded in 2010. Weeds sprayed August 2012. Fall 2013: Chemical application completed. 2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 8-19-23,659.9,2601,Vegetation - Weeds,"Moderate density of scentless chamomile, false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.","Moderate density of false ragweed, foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of gumweed, nodding thistle, absinthe and foxtail barley observed on construction  right-of-way during ground reconnaissance.",One patch of absinthe observed on the construction right-of-way at KP 659.9 that requires additional chemical management.,Access to land not granted at time of assessment. Issue assessed by EI in fall 2014. EI indicated that the 2013 chemical application in this area was successful and no issues were observed.,"Sprayed absinthe infestation. Weeds sprayed in June, July and August 2012. Fall 2013: Chemical application completed.",Resolved,None.,,W3M,Saskatchewan
NE 27-18-23,666.84 to 666.9,2610,Vegetation - Weeds,Moderate density of false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate density of false ragweed, gumweed and nodding thistle observed on construction right-of-way during ground reconnaissance.","Low densities of gumweed, Canada thistle, foxtail barley, nodding thistle and hemp nettle observed on construction right-of-way during ground reconnaissance.",Two isolated weed issues remain on the construction right-of-way. A patch of gumweed was observed on the right-of-way at KP 666.84. A patch of nodding thistle was observed near the eastern fenceline at KP 666.9.,No weed issues observed on construction right-of-way. Chemical control has been successful.,Weeds sprayed in 2010 and August 2012. Fall 2013: Chemical application completed.,Resolved,None.,,W3M,Saskatchewan
NW 26-18-23,667.1 to 667.45,2611,Vegetation - Weeds,Moderate density of false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate density of false ragweed, gumweed and nodding thistle observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of nodding thistle, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate to low densities of gumweed and Canada thistle observed along the construction right-of-way.,No weed issues observed on construction right-of-way. Chemical control has been successful.,Weeds sprayed in 2010. Weeds sprayed August 2012. Fall 2013: Chemical application completed.,Resolved,None.,,W3M,Saskatchewan
NE 7-18-22,R 2.3 to 3.1,2621.1,Vegetation – Weeds,Issue reported by Construction Contractor.,"Moderate density of false ragweed, foxtail barley and annual sow-thistle observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of cocklebur, curled dock, kochia, foxtail barley, perennial sow-thistle, maple-leaved goosefoot and Canada thistle observed on construction right-of-way during ground reconnaissance.","Weeds are present at higher densities on the construction right-of-way than off. The crop is a first year hay crop with low vegetation establishment. The presence and density of weeds observed is likely due to the low establishment of the hay crop, however, this is not abnormal for first year hay crops.",Weeds are present at higher densities on the construction right-of-way than off. Hay crop observed to be establishing well and will likely outcompete weed species if managed appropriately.,Tilling and reseeding completed in June 2012. Weeds sprayed in 2010.,Resolved,Enbridge will continue to discuss with the landowner to ensure continued success of the hay crop at this location.,,W3M,Saskatchewan
SW 25-17-22,R 12.1 to R 12.3,2645.1,Vegetation - Establishment,"Moderate density of lamb's-quarters, kochia and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. Patchy areas noted at R 12.25 and R 12.3. Construction debris observed at R 12.25.,The vegetation establishment on the east side of the river (R 12.3 to R 12.5) is equal on and off the construction right-of-way.  Low vegetation establishment remains an issue along the construction right-of-way on the west side of the river (R 12.1 to R 12.3).,Low vegetation establishment observed along the construction right-of-way. Grasses are beginning to establish.,"Reseeded in 2010, 2011 (west slope) and June 2012.",Unresolved,Enbridge will continue to monitor vegetation establishment. See Appendix B for details.,,W3M,Saskatchewan
SW 25-17-22,R 12.1 to R 12.54,2645.1,"Vegetation – Weeds, Land and Resource  Use - Organic Farm","Moderate density of lamb's-quarters, kochia and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Moderate to high densities of Canada thistle and perennial sow-thistle observed on the construction right-of-way.,High density of perennial sow-thistle observed on construction right-of-way.,Broadcast seeding and rake in spring 2012.,Unresolved,Enbridge will continue to control weeds and monitor. See Appendix B for details.,,W3M,Saskatchewan
SW 35-16-20,R 32.4 to R 33.3,2690.1,Soils - Subsidence,Issue reported by Construction Contractor.,Unable to assess due to wet conditions at time of survey.,No subsidence observed from R 32.4 to R 32.93. The remainder of the area is flooded.,Land access was not granted at the time of the survey. Landowner has communicated to Enbridge that the issue is still present.,Access to land not granted at time of assessment.,--,Unresolved,Enbridge will discuss this issue with the land agent and formulate options following that discussion. See Appendix B for details.,,W3M,Saskatchewan
SE 35-16-20,R 33.3 to R 34.1,2691.1,Soils - Subsidence,Issue reported by Construction Contractor.,Unable to assess due to wet conditions at time of survey.,Construction right-of-way flooded during ground reconnaissance. Reassess next year.,Land access was not granted at the time of the survey. Landowner has communicated to Enbridge that the issue is still present.,Access to land not granted at time of assessment.,--,Unresolved,Enbridge will discuss this issue with the land agent and formulate options following that discussion. See Appendix B for details.,,W3M,Saskatchewan
SE 35-16-20,R 33.4,2691.1,Vegetation - Crop Growth,Issue reported by Construction Contractor.,Unable to assess due to wet conditions at time of survey.,Construction right-of-way flooded during ground reconnaissance. Reassess next year.,Land access was not granted at time of survey.,Access to land not granted at time of assessment.,--,Unresolved,Enbridge will discuss this issue with the land agent and formulate options following that discussion. See Appendix B for details.,,W3M,Saskatchewan
SE 34-16-19,R 41.4 to R 42.4,2704.1,Vegetation - Weeds,"High weed density of white cockle, perennial sow-thistle, scentless chamomile, lamb’s-quarters and Canada thistle on construction right-of-way identified during spring overflight and ground reconnaissance.","High density of Canada thistle, scentless chamomile, foxtail barley and prickly lettuce observed on construction right-of-way during ground reconnaissance.",Weed density and composition equal on and off construction right-of-way.,Issue not assessed during 2013 survey. Status of issue amended to unresolved as a result of the NEB IR No. 1.,Access to land not granted at time of assessment.,"Blanket spraying completed in late June 2012. Reseeding conducted in July 2012. The chemical used inhibited the alfalfa growth in the seed blend, thus only the grasses emerged leaving spars vegetation susceptible to weeds. Touch-up spraying for scentless chamomile in late July 2012. Hand picking completed in 2013. 2014: Right of way interseeded with alfalfa.",Unresolved,Enbridge will continue to monitor this tract in 2015. See Appendix B for details.,,W3M,Saskatchewan
SE 34-16-19,R 41.8 to R 42.4,2704.1,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation on construction right-of-way not equal to off.,Access to land not granted at time of assessment.,Blanket spraying completed in late June 2012. Reseeding conducted in July 2012. 2013: Hand-picking of scentless chamomile throughout the growing season. 2014: Interseeded with alfalfa.,Unresolved,Enbridge will continue to monitor this tract in 2015. See Appendix B for details.,,W3M,Saskatchewan
SW 35-16-19,R 42.4 to 42.5,2705.1,Soils - Subsidence,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence (approximately  1.5 m x 0.35 m) observed on construction right-of-way during ground reconnaissance.,Subsidence observed on construction right-of-way during ground reconnaissance.,Access to land not granted at time of assessment.,2013: Subsidence repaired fall 2013.,Unresolved,Enbridge will repair subsidence and monitor in 2015. See Appendix B for details.,,W3M,Saskatchewan
SW 35-16-19,R 42.4 to 42.5,2705.1,Vegetation - Weeds,"High weed density of perennial sow-thistle, scentless chamomile, lamb’s-quarters and Canada thistle observed on and off construction right-of-way during ground reconnaissance.","High weed density of perennial sow-thistle, scentless chamomile, lamb's-quarters and Canada thistle observed on construction right-of-way during ground reconnaissance.","Low densities of perennial sow-thistle, foxtail barley, stinkweed, scentless chamomile and Canada thistle observed on construction right-of-way during ground reconnaissance.","Higher densities of scentless chamomile, stinkweed and perennial sow-thistle observed on the construction right-of-way compared to off.","Access to land not granted at time of assessment. Issue assessed by EI in fall 2014. EI indicated that the current weed issue is not related to the Alberta Clipper project, however, the issue will be communicated to the appropriate Enbridge personnel.",Weeds sprayed in west ditch July 2012.,Resolved,None.,,W3M,Saskatchewan
NW 36-16-19,R 44.8 to R 45.0,2709.1,Vegetation - Weeds,"Moderate weed density of kochia, Canada thistle, wild buckwheat and others observed on construction right-of-way during ground reconnaissance.","Moderate density of kochia, Canada thistle and scentless chamomile observed on construction right-of-way during ground reconnaissance.","Low densities of common plantain, scentless chamomile, perennial sow-thistle, foxtail barley and Canada thistle observed on construction right-of-way during ground reconnaissance.",Weed issue still exists at this location.,"Access to land not granted at time of assessment. The presence of both a weed issue and a vegetation establishment issue at this location is redundant and, therefore, these issue will be managed as a single vegetation establishment issue going forward.",Weeds sprayed June 2012.,Resolved,None.,,W3M,Saskatchewan
NW 36-16-19,R 44.8 to R 45.0,2709.1,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Poor crop establishment observed on construction right-of-way during ground reconnaissance.,Issue assessed by Enbridge EI. Residual of 2012 chemical application inhibited alfalfa growth. More time required for re-establishment.,Access to land not granted at time of assessment.,Reseeded June 2012. 2014: Interseeded with alfalfa.,Unresolved,Enbridge will continue monitoring in 2015. See Appendix B for details.,,W3M,Saskatchewan
SE 32-16-17,R 58.74 to R 58.95,2733.01,Vegetation – Weeds,--,--,--,High density of foxtail barley present on construction right-of-way.,Moderate to high densities of weeds observed on construction right-of-way. Few desirable vegetative species are establishing.,Fall 2013: Chemical application completed. 2014: Re-seeded with desirable species.,Unresolved,Enbridge will continue monitoring in 2015. See Appendix B for details.,,W3M,Saskatchewan
SE 30-16-16,R 67.13 to R 67.14,2746.1,"Soils – Erosion Water Quality and Quantity, Fish-Bearing Watercourse, Kronau Creek (Tributary to Wascana Creek)","Minor rill erosion formed on the north side of check dams. Cattle impact, sediment fences are down and poor vegetation establishment on both banks.",Moderate vegetation establishment observed on both banks on construction right-of-way during ground reconnaissance.,Minor rill erosion observed on west bank during ground reconnaissance most likely caused by poor vegetation establishment. Soil slumping observed on east bank; straw bales are not effective.,No issues observed on east slope. Erosion and weed concerns no longer exist. Vegetation on west slope not equal to that observed off the construction right-of-way.,Vegetation on west slope is now well established and comparable to off right-of-way conditions. No erosion issues observed.,Reseeded east slope of Kronau Creek summer 2011. Reseeded west slope of Kronau Creek in June 2012. Weeds sprayed June 2012.,Resolved,None.,,W3M,Saskatchewan
SW 20-16-15,R 77.1 to R 77.2,3101,Vegetation - Weeds,"Moderate density Canada thistle, field dock, absinthe, perennial sow-thistle and others observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of perennial sow-thistle, foxtail barley, Canada thistle, lamb’s-quarters, shepherd’s purse and scentless chamomile observed on construction right-of-way during ground reconnaissance.",Weed densities observed on construction right-of-way are higher than densities observed off the construction right-of-way.,Access to land not granted at time of assessment. Issue assessed by EI in fall 2014. EI indicated that the alfalfa crop has now established very well and no weed issues were observed.,"2012: Seeded, harrowed and packed. 2013: Monitored scentless chamomile throughout the season and hand-picked weeds.",Resolved,None.,,W3M,Saskatchewan
NW 11-16-15,751.6 to 752.0,3111,Vegetation – Establishment,--,--,Areas on edges of construction  right-of-way not seeded.,Patches of bare ground present on construction right-of-way. EI noted that the landowner was compensated to reseed the construction right-of-way in 2012. Two strips were missed by the seeder at that time. This issue will be monitored in 2014 to determine if infill by natural encroachment is occurring.,Not assessed to avoid crop damages. Issue assessed following harvest by EI. EI indicated that natural infill of desirable species has occurred/is occurring and area appears to be on desirable successional trajectory.,Reseeded May 2012.,Unresolved,Enbridge will continue to monitor in 2015. See Appendix B for details.,,W3M,Saskatchewan
SW 7-16-14,754.8 to 755.0,3117,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way at KP 754.8 near fenceline.,Low vegetation establishment observed on construction right-of-way.,Not assessed to avoid crop damages. Issue assessed following harvest by EI. EI indicated that natural infill of desirable species has occurred/is occurring and area appears to be on desirable successional trajectory.,2012: landowner reseeded the right-of-way.,Unresolved,Enbridge will continue to monitor in 2015. See Appendix B for details.,,W3M,Saskatchewan
SE 27-14-10,803.7,3195.01,Soils - Subsidence,Issue reported by Construction Contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence (approximately  4 m x 0.30 m x 200 m) observed on construction right-of-way. Not affecting crop growth.,"Issue not assessed by TERA in 2013 to avoid crop damage. No subsidence was observed by Enbridge EI in May 2013, however, this site will be further monitored in 2014.","This issue was not assessed by TERA as repairs to the land were planned for fall 2014, following the assessment. This issue was assessed by the EI following the repair work.",Subsidence repaired in 2010. 2014: Repairs completed to the area of subsidence that was reported by the landowner.,Unresolved,Enbridge will consult with the landowner and make further repairs if necessary. See Appendix B for details.,,W3M,Saskatchewan
NW 19-14-9,807.9,3202,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence (approximately  1.5 m x 0.15 m x 25 m) observed on construction right-of-way during ground reconnaissance.,Subsidence observed on construction right-of-way during ground reconnaissance.,"This issue is not large enough to be considered a hazard or issue for standard farming practices, including within its current land use (pasture). The depressed area does not appear to hold water. The EI has indicated that this issue has been communicated to Enbridge Operations, and repairs will be made in the future if and when warranted.",--,Resolved,Enbridge will continue to monitor this issue and repairs will be made if/when warranted. See Appendix B for details.,,W3M,Saskatchewan
NE 19-14-9,807.95 to 808.75,3203,Vegetation - Establishment,Issue reported by Construction Contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed in patches on construction right-of-way during ground reconnaissance.,Vegetation establishment following seeding is not yet equal to off the construction right-of-way.,"In order to achieve revegetation success in this area, the reseeded area needs to be excluded from cattle, which has not occurred to this point.",Reseeded in June 2012.,Unresolved,Enbridge will continue to monitor in 2015. See Appendix B for details.,,W3M,Saskatchewan
NE 19-14-9,807.95 to 808.75,3203,Vegetation – Weeds,--,--,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed species composition and density on construction right-of-way not equal to off construction right-of-way.,"At the time of the assessment, the EI confirmed that weed control will occur in the fall of 2014 at this location.",Fall 2013: Chemical application completed. Fall 2014: Chemical application completed.,Unresolved,Enbridge will continue to monitor in 2015. See Appendix B for details.,,W3M,Saskatchewan
SE 22-14-9,813.45 to 813.78,3209,Vegetation – Weeds,"High density of lamb’s-quarters, wild buckwheat, dandelion, green foxtail and others observed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Unvegetated area should be reassessed next year for weed issues.,Weed density is higher on the construction right-of-way than off. Mostly annual weeds observed.,Higher density of absinthe observed on the construction right-of-way compared to off.,--,Unresolved,Enbridge will continue to monitor in 2015. See Appendix B for details.,,W3M,Saskatchewan
NW 10-14-8,822.65 to 822.95,3223,Vegetation - Weeds,Issue reported by Construction Contractor.,"Moderate density of foxtail barley, false ragweed, wild buckwheat and Canada thistle observed on construction right-of-way during ground reconnaissance.",High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,"Weed control, including hand-picking, has been successful, however, some scentless chamomile still exists and should continue to be controlled in 2015.",Weeds picked and sprayed in 2010 and June 2012. Scentless chamomile hand-picked and disposed of in August 2014.,Unresolved,Enbridge will continue to hand-pick scentless chamomile and control by chemical application if warranted. See Appendix B for details.,,W3M,Saskatchewan
NE 10-14-8,823.0 to 823.8,3224,Vegetation – Weeds,"High density of Canada thistle, perennial sow-thistle, false ragweed, black medick, dandelion and others on construction right-of-way.","High density of false ragweed, Canada thistle, foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.",High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of--way during ground reconnaissance.,Weed densities and distribution were observed to be comparable on and off the construction right-of-way. Foxtail barley occurs naturally in this area both on and off the construction right-of-way.,Weeds sprayed in 2010 and 2012.,Resolved,None.,,W3M,Saskatchewan
SE 12-14-8,826.85 to 827.1,3229  3229.01,Vegetation – Weeds,"High density of lamb’s-quarters, perennial sow-thistle, redroot pigweed, wild buckwheat observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, prickly lettuce, perennial sow-thistle and green foxtail observed on construction right-of-way during ground reconnaissance.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Densities of Canada thistle and perennial sow-thistle were observed as being higher on the construction right-of-way than off.,Densities of Canada thistle and perennial sow-thistle were observed as being higher on the construction right-of-way than off.,2014: Landowner cut and baled weeds.,Unresolved,Enbridge will continue to monitor this area and will complete remedial seeding as warranted. See Appendix B for details.,,W3M,Saskatchewan
NE 20-13-5,K 0.2 to K 0.6,3267,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.,Land access not granted at time of survey.,Access to land not granted at time of assessment. EI indicated that the 2013 chemical control of foxtail barley was successful and no issues were observed. The land had also been tilled by the landowner indicating a land use change.,Tilled and reseeded in July 2012.  Fall 2013: Chemical application to control foxtail barley completed.,Resolved,None.,,W3M,Saskatchewan
NW 14-13-5,K 5.2,3267.1,Vegetation - Weeds,--,High density of prostrate pigweed observed on construction right-of-way during ground reconnaissance.,High density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey.,Weed densities on the construction right-of-way have been reduced to a level now equal to the densities observed off the right-of-way.,Weeds sprayed August 2012.,Resolved,None.,,W3M,Saskatchewan
NE 14-13-5,K 6.0 to K 6.5,3267.2,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. High amount of cattle pugging and high densities of weeds observed.,Several patchy/bare spots observed on construction right-of-way.,"The land use was changed in the fall of 2014 (field was tilled) and, therefore, the vegetation establishment issue is no longer a concern.",--,Resolved,None.,,W3M,Saskatchewan
NE 14-13-5,K 6.5 to K 6.6,3267.2,Vegetation – Weeds,--,--,High densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,High densities of foxtail barley observed on construction right-of-way during ground reconnaissance.,"The land use was changed in the fall of 2014 (field was tilled) and, therefore, the weed issue is no longer a concern.",Fall 2013: Chemical application completed.,Resolved,None.,,W3M,Saskatchewan
NW 12-13-4,865.9 to 866.65,3298,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, field dock and foxtail barley observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of foxtail barley, stinkweed, perennial sow-thistle and common plantain observed on construction right-of-way during ground reconnaissance.","This is the first year of a hay crop at this location. Weed densities higher on construction right-of-way than off. Moderate densities of foxtail barley, perennial sow-thistle and lamb’s-quarters observed.",Access to land not granted at time of assessment.,Landowner reseeded in 2012.,Unresolved,Enbridge will discuss this tract with a land agent and will formulate a plan for 2015 based upon those discussions. See Appendix B for details.,,W3M,Saskatchewan
SW 7-13-3,867.55 to 868.4,3300  3301,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, field dock and foxtail barley observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of flixweed, stinkweed, foxtail barley, lamb’s-quarters, red-root pigweed, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",This is the first year of a hay crop at this location. Weeds observed at a higher density on construction right-of-way than off. Seeded grasses beginning to establish well.,Access to land not granted at time of assessment.,Landowner reseeded in 2012.,Unresolved,Enbridge will discuss this tract with a land agent and will formulate a plan for 2015 based upon those discussions. See Appendix B for details.,,W3M,Saskatchewan
NW 31-12-2,877.9,3318,Vegetation – Weeds,--,Canada thistle observed on construction right-of-way during rare plant monitoring.,Canada thistle observed on construction right-of-way during rare plant monitoring.,Bison present within this field. Not assessed.,Weed densities on the construction right-of-way have been reduced to a level now equal to the densities observed off the right-of-way.,--,Resolved,None.,,W3M,Saskatchewan
NE 24-12-2,887.43 to 887.56,3334,Soils - Subsidence,--,--,Subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence observed on construction right-of-way during ground reconnaissance.,No subsidence observed along construction right-of-way. Repair was successful.,Fall 2013: Subsidence repaired.,Resolved,None.,,W3M,Saskatchewan
SW 20-12-1,VD 0 to VD 0.8,3338,Vegetation – Weeds,--,--,Vegetation has been recently cut; unable to assess weed densities.,High density of foxtail barley observed on construction right-of-way.,Land use has recently changed from hay to cultivation. No weed issues observed along construction the right-of-way.,Landowner cut and burned bales July 2012. 2013: Selective hand spraying of thistle species. 2013: Landowner cut/baled and burned bales.,Resolved,None.,,W3M,Saskatchewan
SE 15-12-1,894.3 to 895.15,3346,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of lamb’s-quarters and Canada thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey.,Weed densities on the construction right-of-way have been reduced to a level now equal to the densities observed off the right-of-way.,--,Resolved,None.,,W3M,Saskatchewan
NE 11-12-1,896.8,3349,"Vegetation – Establishment, Unnamed Drainage – Field Identified",Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Vegetation establishment on construction right-of-way not equal to off. Patches of weeds observed on construction right-of-way in areas where vegetation is less dense.,Vegetation establishment and weed densities were observed to be comparable to off right-of-way conditions.,Reseeded in summer 2011. Reseeded creek banks and trail in June 2012.,Resolved,None.,,W3M,Saskatchewan
SE 1-12-34,898.8 to 899.0,3353,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way  (KP 898.9 20 m x 5 m) during ground reconnaissance. Slight admixing observed where small patches of poor vegetation establishment occurred.,Vegetation not well-established in low/wet areas. Establishment issue not likely related to admixing. Appears to be related to topography.,Vegetation is now well established and comparable to off right-of-way conditions.,Reseeded in June 2012.,Resolved,None.,,WPM,Saskatchewan
SE 1-11-32,F 4.9 to F 5.6,3390.01  3390.02,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of foxtail barley, perennial sow-thistle, curled dock, Canada thistle, common plantain, lamb’s-quarters and nodding thistle observed on construction right-of-way during ground reconnaissance. High densities of dandelion also observed.",Weed species composition and density higher on the construction right-of-way compared to off.,Weed densities higher on the construction right-of-way compared to off.,Weeds sprayed fall 2011. 2014: Weeds mowed and sprayed.,Unresolved,Enbridge will reseed and continue to monitor this area for vegetation establishment and weeds. See Appendix B for details.,,WPM,Saskatchewan
SE 24-10-31,933.94 to 934.0,3412,Vegetation - Weeds,--,--,Moderate densities of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed density is higher on construction right-of-way compared to off.,Canada thistle observed at a higher density on construction right-of-way compared to off.,Weeds sprayed August 2012. 2014: Weeds sprayed.,Unresolved,Enbridge will control weeds and continue to monitor this area. See Appendix B for details.,,WPM,Saskatchewan
SE 12-10-30,944.1 to 944.5,3429,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate to high density of field dock, foxtail barley, common peppergrass and Canada thistle observed on construction right-of-way during ground reconnaissance.",Moderate to high densities of foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Construction right-of-way was recently mowed at the time of assessment. Higher density of foxtail barley observed on construction right-of-way compared to off.,Weeds mowed July 2012. Weeds sprayed August 2012. 2013: Mowed area of foxtail barley issue and spot sprayed broadleaf weeds as required. 2014: Area was mowed and interseeded.,Unresolved,Enbridge will continue to monitor this area to ensure weed control and vegetation establishment is successful. See Appendix B for details.,,WPM,Saskatchewan
