Quarter Section,Tract,Land Use,KHE Land ID,Year 1 Issues,Repaired Year 1,Year 2 Issues,Repaired Year 2,Year 3 Issues,Repaired Year 3,Year 3 Current Recommendations,Year 3 Rationales,Year 3 PCEM Status,VEC,GIS,Topic
NW 10-13-24 W3M,BESK-0159.0,Cultivated,LAND ID 176,--,--,Compaction,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 10-13-24 W3M,BESK-0159.0,Cultivated,LAND ID 176,--,--,Weed concern_1,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
NE 10-13-24 W3M,BESK-0160.0,Improved Pasture,LAND ID 177,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,REPAIR,,,
NE 10-13-24 W3M,BESK-0160.0,Improved Pasture,LAND ID 177,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,REPAIR,,,
NE 10-13-24 W3M,BESK-0160.0,Improved Pasture,LAND ID 177,Weed concern,--,--,--,Weed concern_1,--,Repair,Not expected to recover without repair.,REPAIR,,,
SE 10-13-24 W3M,BESK-0161.2,Native prairie,LAND ID 178,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SE 10-13-24 W3M,BESK-0161.2,Native prairie,LAND ID 178,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 3-13-24 W3M,BESK-0162.1,Native prairie,LAND ID 179,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
NW 2-13-24 W3M,BESK-0163.0,Native prairie,LAND ID 180,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
,,,,--,--,Incomplete Year x PCEM assessment,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,,,,
SW 2-13-24 W3M,BESK-0164.0,Improved Pasture,LAND ID 181,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 2-13-24 W3M,BESK-0164.0,Improved Pasture,LAND ID 181,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 2-13-24 W3M,BESK-0165.0,Native prairie,LAND ID 182,--,--,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 35-12-24 W3M,BESK-0166.0,Native prairie,LAND ID 183,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,REPAIR,,,
NE 35-12-24 W3M,BESK-0166.0,Native prairie,LAND ID 183,--,--,Weed concern_1,--,Weed concern_1,--,Repair,Not expected to recover without repair.,REPAIR,,,
NW 36-12-24 W3M,BESK-0167.0,Native prairie,LAND ID 184,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 36-12-24 W3M,BESK-0167.0,Native prairie,LAND ID 184,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 36-12-24 W3M,BESK-0167.0,Native prairie,LAND ID 184,Weed concern,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SW 36-12-24 W3M,BESK-0168.0,Hay,LAND ID 185,Contouring,--,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 36-12-24 W3M,BESK-0168.0,Hay,LAND ID 185,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 36-12-24 W3M,BESK-0168.0,Hay,LAND ID 185,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 36-12-24 W3M,BESK-0169.0,Improved Pasture,LAND ID 186,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Cattle compounded issue.,RESOLVED,,,
SE 36-12-24 W3M,BESK-0169.0,Improved Pasture,LAND ID 186,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 36-12-24 W3M,BESK-0169.0,Improved Pasture,LAND ID 186,Weed concern,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
NE 25-12-24 W3M,BESK-0170.0,Hay,LAND ID 187,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 25-12-24 W3M,BESK-0170.0,Hay,LAND ID 187,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 25-12-24 W3M,BESK-0170.0,Hay,LAND ID 187,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 30-12-23 W3M,BESK-0171.0,Native prairie,LAND ID 188,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 30-12-23 W3M,BESK-0171.0,Native prairie,LAND ID 188,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 30-12-23 W3M,BESK-0171.0,Native prairie,LAND ID 188,Weed concern,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SW 30-12-23 W3M,BESK-0172.0,Native prairie,LAND ID 189,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 30-12-23 W3M,BESK-0172.0,Native prairie,LAND ID 189,Weed concern,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SE 30-12-23 W3M,BESK-0173.0,Native prairie,LAND ID 190,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 30-12-23 W3M,BESK-0173.0,Native prairie,LAND ID 190,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 30-12-23 W3M,BESK-0173.0,Native prairie,LAND ID 190,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 30-12-23 W3M,BESK-0173.0,Native prairie,LAND ID 190,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 19-12-23 W3M,BESK-0174.0,Improved Pasture,LAND ID 191,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 19-12-23 W3M,BESK-0174.0,Improved Pasture,LAND ID 191,Rutting,--,--,--,Rutting,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 19-12-23 W3M,BESK-0174.0,Improved Pasture,LAND ID 191,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 19-12-23 W3M,BESK-0174.0,Improved Pasture,LAND ID 191,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 20-12-23 W3M,BESK-0175.0,Native prairie,LAND ID 192,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 20-12-23 W3M,BESK-0175.0,Native prairie,LAND ID 192,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 20-12-23 W3M,BESK-0176.0,Native prairie,LAND ID 193,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SW 20-12-23 W3M,BESK-0176.0,Native prairie,LAND ID 193,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 20-12-23 W3M,BESK-0177.0,Native prairie,LAND ID 194,--,--,--,--,Weed concern_2,Issue Repaired,Repair,Not expected to recover without repair.,REPAIR,,,
SE 20-12-23 W3M,BESK-0177.0,Native prairie,LAND ID 194,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,REPAIR,,,
,,,,--,--,Weed concern_1,--,Weed concern_1,Issue Repaired,Repair,Not expected to recover without repair.,,,,
,BESK-0178.0,Native prairie,LAND ID 195,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
SW 21-12-23 W3M,BESK-0179.0,Native prairie,LAND ID 196,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 21-12-23 W3M,BESK-0179.0,Native prairie,LAND ID 196,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 21-12-23 W3M,BESK-0179.0,Native prairie,LAND ID 196,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 16-12-23 W3M,BESK-0180.0,Native prairie,LAND ID 197,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 16-12-23 W3M,BESK-0180.0,Native prairie,LAND ID 197,Weed concern,--,--,--,Weed concern_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
NW 16-12-23 W3M,BESK-0181.0,Native prairie,LAND ID 198,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 16-12-23 W3M,BESK-0181.0,Native prairie,LAND ID 198,Weed concern,--,--,--,Weed concern_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
NE 16-12-23 W3M,BESK-0182.0,Native prairie,LAND ID 199,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 16-12-23 W3M,BESK-0182.0,Native prairie,LAND ID 199,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 16-12-23 W3M,BESK-0183.0,Improved Pasture,LAND ID 200,--,--,Weed concern_1,Issue Repaired,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 15-12-23 W3M,BESK-0184.0,Native prairie,LAND ID 201,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
SE 15-12-23 W3M,BESK-0185.0,Native prairie,LAND ID 202,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
NE 10-12-23 W3M,BESK-0186.0,Native prairie,LAND ID 203,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 10-12-23 W3M,BESK-0186.0,Native prairie,LAND ID 203,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 10-12-23 W3M,BESK-0186.0,Native prairie,LAND ID 203,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 11-12-23 W3M,BESK-0187.0,Native prairie,LAND ID 204,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 11-12-23 W3M,BESK-0187.0,Native prairie,LAND ID 204,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 11-12-23 W3M,BESK-0187.0,Native prairie,LAND ID 204,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 11-12-23 W3M,BESK-0188.0,Native prairie,LAND ID 205,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 11-12-23 W3M,BESK-0188.0,Native prairie,LAND ID 205,Weed concern,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SE 11-12-23 W3M,BESK-0189.0,Native prairie,LAND ID 206,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 11-12-23 W3M,BESK-0189.0,Native prairie,LAND ID 206,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 2-12-23 W3M,BESK-0190.0,Improved Pasture,LAND ID 207,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 2-12-23 W3M,BESK-0190.0,Improved Pasture,LAND ID 207,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 1-12-23 W3M,BESK-0191.0,Native prairie,LAND ID 208,--,--,Weed concern_1,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SW 1-12-23 W3M,BESK-0192.0,Native prairie,LAND ID 209,--,--,Weed concern_1,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SE 1-12-23 W3M,BESK-0193.0,Native prairie,LAND ID 210,--,--,Weed concern_1,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
SW 6-12-22 W3M,BESK-0194.0,Native prairie,LAND ID 211,--,--,Scalping,--,Scalping,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 6-12-22 W3M,BESK-0194.0,Native prairie,LAND ID 211,--,--,Weed concern_1,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
NW 31-11-22 W3M,BESK-0195.0,Hay,LAND ID 212,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 31-11-22 W3M,BESK-0195.1,Improved Pasture,LAND ID 213,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NW 31-11-22 W3M,BESK-0195.1,Improved Pasture,LAND ID 213,--,--,Weed concern_1,Issue Repaired,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 31-11-22 W3M,BESK-0195.2,Improved Pasture,LAND ID 214,--,--,Weed concern_1,Issue Repaired,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 31-11-22 W3M,BESK-0196.0,Hay,LAND ID 215,--,--,Weed concern_1,Issue Repaired,Weed concern_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt049).,RESOLVED,,,
SE 31-11-22 W3M,BESK-0197.0,Improved Pasture,LAND ID 216,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 31-11-22 W3M,BESK-0197.0,Improved Pasture,LAND ID 216,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 32-11-22 W3M,BESK-0198.0,Improved Pasture,LAND ID 218,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Cattle compounded issue.,RESOLVED,,,
NW 29-11-22 W3M,BESK-0199.0,Improved Pasture,LAND ID 219,--,--,Compaction,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 29-11-22 W3M,BESK-0199.0,Improved Pasture,LAND ID 219,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 29-11-22 W3M,BESK-0199.0,Cultivated,LAND ID 220,--,--,Compaction,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 29-11-22 W3M,BESK-0199.0,Cultivated,LAND ID 220,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 29-11-22 W3M,BESK-0200.0,Cultivated,LAND ID 221,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 29-11-22 W3M,BESK-0200.0,Cultivated,LAND ID 221,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 29-11-22 W3M,BESK-0200.0,Improved Pasture,LAND ID 222,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 29-11-22 W3M,BESK-0200.0,Improved Pasture,LAND ID 222,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 28-11-22 W3M,BESK-0201.0,Improved Pasture,LAND ID 223,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 28-11-22 W3M,BESK-0201.0,Improved Pasture,LAND ID 223,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 28-11-22 W3M,BESK-0202.0,Cultivated,LAND ID 224,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 28-11-22 W3M,BESK-0203.0,Cultivated,LAND ID 225,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 28-11-22 W3M,BESK-0203.0,Cultivated,LAND ID 225,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 21-11-22 W3M,BESK-0204.0,Improved Pasture,LAND ID 226,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,No Further Action Recommended,Cattle compounded issue.,REPAIR,,,
NE 21-11-22 W3M,BESK-0204.0,Improved Pasture,LAND ID 226,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Repair,Not expected to recover without repair.,REPAIR,,,
NW 22-11-22 W3M,BESK-0205.0,Native prairie,LAND ID 227,--,--,--,--,"Erosion (wind, water)_2",--,No Further Action Recommended,Cattle compounded issue.,REPAIR,,,
NW 22-11-22 W3M,BESK-0205.0,Native prairie,LAND ID 227,--,--,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,REPAIR,,,
NW 22-11-22 W3M,BESK-0205.0,Native prairie,LAND ID 227,"Erosion (wind, water)_1",Issue Repaired,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,REPAIR,,,
NW 22-11-22 W3M,BESK-0205.0,Native prairie,LAND ID 227,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Weed concern_1,--,Repair,Not expected to recover without repair.,REPAIR,,,
SW 22-11-22 W3M,BESK-0206.0,Native prairie,LAND ID 228,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
SE 22-11-22 W3M,BESK-0207.0,Cultivated,LAND ID 229,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,REPAIR,,,
SE 22-11-22 W3M,BESK-0207.0,Cultivated,LAND ID 229,Weed concern,--,Weed concern,Issue Repaired,Weed concern_1,--,Repair,Not expected to recover without repair.,REPAIR,,,
NE 15-011-22 W3M,BESK-0208.0,Cultivated,LAND ID 230,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NW 14-11-22 W3M,BESK-0209.0,Cultivated,LAND ID 231,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 14-11-22 W3M,BESK-0210.0,Cultivated,LAND ID 232,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 14-11-22 W3M,BESK-0211.0,Cultivated,LAND ID 233,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 13-11-22 W3M,BESK-0212.0,Cultivated,LAND ID 234,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NW 12-11-22 W3M,BESK-0213.0,Native prairie,LAND ID 235b,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 12-11-22 W3M,BESK-0213.0,Native prairie,LAND ID 235b,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
NW 12-11-22 W3M,BESK-0213.0,Native prairie,LAND ID 235b,Weed concern,Issue Repaired,Weed concern,Issue Repaired,Weed concern_1,--,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
NW 12-11-22 W3M,BESK-0213.0,Hay,LAND ID 236,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,No Further Action Recommended,Issue not recommended for repair.,REPAIR,,,
NW 12-11-22 W3M,BESK-0213.0,Hay,LAND ID 236,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Repair,Not expected to recover without repair.,REPAIR,,,
NW 12-11-22 W3M,BESK-0213.0,Hay,LAND ID 236,Seed Catch,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,REPAIR,,,
NW 12-11-22 W3M,BESK-0213.0,Hay,LAND ID 236,Subsidence,Issue Repaired,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,REPAIR,,,
NE 12-11-22 W3M,BESK-0214.0,Cultivated,LAND ID 237,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 12-11-22 W3M,BESK-0214.0,Cultivated,LAND ID 237,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 12-11-22 W3M,BESK-0214.0,Cultivated,LAND ID 237,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 12-11-22 W3M,BESK-0215.0,Cultivated,LAND ID 238,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 7-11-21 W3M,BESK-0216.0,Cultivated,LAND ID 239,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 7-11-21 W3M,BESK-0216.0,Cultivated,LAND ID 239,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
,BESK-0217.0,Cultivated,LAND ID 240,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
,BESK-0217.0,Cultivated,LAND ID 240,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NW 6-11-21 W3M,BESK-0218.0,Cultivated,LAND ID 241,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 6-11-21 W3M,BESK-0218.0,Cultivated,LAND ID 241,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 6-11-21 W3M,BESK-0218.0,Cultivated,LAND ID 241,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 6-11-21 W3M,BESK-0218.0,Improved Pasture,LAND ID 242,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 6-11-21 W3M,BESK-0218.0,Improved Pasture,LAND ID 242,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 6-11-21 W3M,BESK-0219.0,Improved Pasture,LAND ID 243,--,--,--,--,Contouring_1,--,No Further Action Recommended,Cattle compounded issue.,REPAIR,,,
NE 6-11-21 W3M,BESK-0219.0,Improved Pasture,LAND ID 243,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,REPAIR,,,
NE 6-11-21 W3M,BESK-0219.0,Improved Pasture,LAND ID 243,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Repair,Not expected to recover without repair.,REPAIR,,,
SE 6-11-21 W3M,BESK-0220.0,Improved Pasture,LAND ID 244,--,--,Weed concern_1,Issue Repaired,Weed concern_1,Issue Repaired,Repair,Not expected to recover without repair.,REPAIR,,,
