Legal Land Description,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Open Water Pond,"July 27, 2014 - Wetland (open water pond) at KP 8+465 Wetland in good condition. Good native grass, willow and deciduous species establishment around the perimeter of the pond and wetland indicative emergent and submerging (sedge and rush) species present within wetland. Organic soil depth around perimeter of pond greater than 40cm. Hydrology maintained within pond. Evidence of wildlife using wetland as bypass habitat / beaver was spotted within pond. Beaver activity continuing to cause ponding across ROW. Amphibians and other various aquatic organisms using pond as effective habitat. Wetland on trajectory to reaching pre-disturbance state. July 22, 2014 Hand-picked perennial sow thistle within 30m of wetland (open-water pond) on north and south banks at KP 8+465.  July 30, 2014 - Previously identified Perennial sow thistle within 30m of watercourse at KP 8+500 was controlled by weedwacking.","June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; very thick (>90% comparable to off ROW) vegetation throughout wetland area; standing water because of an old beaver dam west of ROW backing water east up past ROW; water level variations due to deteriorating integrity of the beaver dam are affecting shore line vegetation; - Noxious weeds no longer present, issue resolved.",,"June 26, 2017 - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of emergent and submergent herbaceous graminoids. - Presence of submergent and emergent vegetation within shallow edges of pond indicates that substrate health has been maintained. - Uniform depth and movement of water on and off ROW indicate that hydrology has been maintained in wetland. Standing water in pond present year-round acting as good water source for wildlife.  - Wetland is stable and at pre-construction functionality; species diversity has successfully been achieved on both north and south banks leading to wetland. Pre-construction contours have been achieved. - No subsidence or erosion issues evident in wetland.",,,
NE 21-66-3 W6M,High Vegetation Establishment,"July 7, 2014 - 85 - 95% vegetation cover on ROW compared to off ROW control. Willow and deciduous species’ establishment well along ROW.  - Canada thistle and perennial sow thistle present from KP 8+950 to 8+900 and patch at KP 9+320 across width of ROW.  - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 8+900 to 9+300 Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results observed from spraying on July 27th. Although, isolated patches of perennial sow thistle found at KP 9+040, 9+080, 9+130 and 9+265, monitor and control as required.","June 23, 2015 - Vegetative coverage approximately 95% compared to off ROW control. Woody species are establishing on the ROW. - Subsidence and erosion was not observed. - Perennial sow thistle observed on the ditch line at KP 9+130. Recommend weed control measures. July 13, 2015 – KP 8+900 to 9+300, Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.  Aug 24, 2015 – Herbicide application appears successful. Although, a patch of unaffected Canada sow thistle was observed at KP 8+900. Fall herbicide spot spray application is recommended. Sept. 23, 2015- Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.","June 29, 2016- Vegetation is well established with desirable species throughout ROW. Excellent establishment of grasses, clover and vetch.  - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. - KP 8+900 – Canada thistle observed; perennial sow thistle observed throughout tract. Recommend herbicide application. July 18, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle. August 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle in lower density than noted in July 2016.","June 26, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, willow and broadleaf shrubs. - Canada thistle observed from KP 8+900 – 9+000; Perennial sow thistle observed at KP 9+130. Recommend herbicide application. - Trench crown present in tract and stable with good vegetation establishment. Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle. September 11, 2017 – Herbicide application conducted to control Canada thistle (KP 8+900 to 9+000) and perennial sow thistle (KP 9+130). Issues resolved. - No other noxious weeds observed. Issues resolved.",,,
NW 21-66-3 W6M,High Vegetation Establishment,"July 7, 2014 - 90 - 95% vegetation cover on ROW compared to off ROW control. Willow and deciduous species’ establishing well within ROW. - Perennial sow thistle existing throughout entire length of tract from 9+350 to KP 9+770 predominantly on ditchline and east of ditchline.  - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 9+300 to 9+800 Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results observed from spraying on July 27th. Although, 1 perennial sow thistle plant found at KP 9+790 and patch at KP 9+590, monitor and control as required. September 11, 2014 – Herbicide application conducted within areas of active Canada thistle identified.","June 23, 2015 - Vegetative coverage approximately 95 compared to off ROW control. Woody species are establishing on the ROW. - Subsidence and erosion was not observed. - Perennial sow thistle observed at KP 9+300 and 9+770 to 9+800. Canada thistle noted at KP 9+400, 9+500, and 9+600. Recommend weed control measures. June 24, 2015- Pipeline marker at KP 9+800 leaning, recommend re-setting. July 13, 2015 - KP 9+300 to 9+800; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. Aug 24, 2015- Herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed from KP 9+300 to 9+800. Fall herbicide spot spray application is recommended. - Pipeline signage and markers need to be reset at KP 9+800. Sept. 23, 2015- Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle. Oct. 3, 2015 - Reset both pipeline markers and the pipeline sign at KP 9+800. Issue resolved.","June 29, 2016- Vegetation is well established with desirable species throughout ROW. Excellent establishment of grasses, clover and vetch. Good establishment of willows, wild rose and poplar saplings.  - No erosion or subsidence issues.  - KP 9+500 – Canada thistle observed; perennial sow thistle observed intermittently throughout tract. Recommend herbicide application. July 18, 2016 – Intermittent herbicide application (KP 9+300 to 9+800) conducted to control perennial sow thistle, Canada thistle, and ox-eyed daisy. August 20, 2016 – Intermittent herbicide application conducted to control perennial sow thistle (at lower densities than in July 2016) and burdock (KP 9+650 and 9+750).","June 26, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed. - KP 9+450 low vegetation cover on work side, 0 – 50 % compared to off ROW. From new construction adjacent to ROW. Recommend monitoring later in growing season.  - KP 9+600 new valve installed grasses starting to establish. Looks to be on right trajectory.  - Canada Thistle observed at KP 9+500; Perennial sow thistle observed at KP 9+625. Recommend herbicide application.  July 19, 2017 – Intermittent herbicide application conducted to control Canada thistle (KP 9+500) and perennial sow thistle (KP 9+600 to 9+650) September 11, 2017 – Herbicide application conducted to control Canada thistle (KP 9+500) and perennial sow thistle (KP 9+600). Issues resolved. - No other noxious weeds observed. Issues resolved. -Previously noted area of low vegetation cover is improving with encroaching vegetation cover, issue resolved.",,,
SW 28-66-3 W6M,Open Water Pond,"July 7, 2014 - Wetland (open water pond) at KP 9+870 to KP 9+900, In stable condition with good establishment of submerging and emergent wetland indicative (rush and sedge) species as well as willows and deciduous species developing around perimeter of pond. Organic soil depth reaching greater than 40cm around perimeter of pond. Further cattail development in shallow water areas expected to develop. Evidence of wildlife using pond at bypass habitat. Amphibians present within pond. Wetland on trajectory to reaching pre-disturbed state. July 22 and 23, 2014 - Mechanically removed (weed whacker) perennial sow thistle within 30m of wetland (artificial pond). July 30, 2014 - Previously identified perennial sow thistle within 30m of watercourse at KP 9+900 was controlled by weedwacking.","June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; very thick (>95% comparable to off ROW) vegetation throughout wetland area; standing water because of an old beaver dam west of ROW backing water east up past ROW; pied-billed grebe, other migratory birds observed. July 13, 2015- Spot spraying was utilized at KP 9+900 to control perennial sow thistle.",,"June 26, 2017 - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of grasses, cattails, bulrushes and willows. - Presence of submergent and emergent vegetation within shallow edges of pond indicates that substrate health has been maintained. - Uniform depth and movement of water on and off ROW indicate that hydrology has been maintained in wetland. Standing water in pond present year-round acting as good water source for wildlife.  - Wetland is stable and at pre-construction functionality; species diversity has successfully been achieved on both north and south banks leading to wetland. Pre-construction contours have been achieved. - No subsidence or erosion issues evident in wetland. - No noxious weeds present, previous issues resolved.",,,
SW 28-66-3 W6M,Open Water Pond (Artificial),"July 7, 2014 - KP 10+130 to 10+220 In stable condition with emergent and submerging wetland indicative (rush and sedge) species vegetation establishing well within wetland as well as willows and deciduous species developing around perimeter of pond. Soils exhibiting proper organic constituents around perimeter of wetland reaching a depth of greater than 40cm. Amphibians using pond as effective habitat. July 30, 2014 - Previously identified perennial sow thistle within 30m of watercourse was controlled by weedwacking.","June 25, 2015 - willows, common cattail, sedges, reed grasses, submergent vegetation all present; very thick (>95% comparable to off ROW) vegetation throughout wetland area “artificial ponded water”; this feature had the highest water level (water receiving site) of all the wetlands and beaver ponds; it was back flooded into non-aquatic grass; migratory birds observed; - Noxious weeds no longer present, issue resolved.",,"June 26, 2017 - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of submergent and emergent herbaceous graminoids (cattails / bulrushes). - Good deposition of organics in soils around perimeter of pond, algal growth and vegetation growth indicates that substrate health has been maintained. - Depth of water reaching ~1m in center of pond and clarity of water indicates that hydrology has been maintained. Standing water in pond present year-round acting as good water source for wildlife.  - Wetland is stable and at pre-construction functionality; off ROW deciduous species to encroach wetland perimeter with time. Pre-construction contours have been achieved. - Migratory birds observed using wetland. - No subsidence or erosion issues evident in wetland.",,,
SW 28-66-3 W6M,High Vegetation Establishment,"July 7, 2014 - 90 - 95% vegetation cover on ROW compared to off ROW control. Good willow and deciduous species’ establishment within ROW.  - Perennial sow thistle evident throughout tract from KP 9+770 to 10+760). - No subsidence or erosion issues evident within tract. July 27, 2014 - KP 9+800 to 10+800 – herbicide application conducted on ROW to control perennial sow thistle and Canada thistle. - Scentless Chamomile identified at KP 10+440 and 10+520, Picked and bagged. – Continue to monitor.  August 10, 2014 – Positive results from July 27th spraying observed. September 11, 2014 - Herbicide application conducted within areas of active Canada thistle identified.","June 24, 2015-. Vegetative coverage approximately 95% compared to off ROW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle along the ditch line intermittently from KP 9+900 to 10+800. Recommend weed mitigation measures. July 13, 2015 – KP 9+800 to 10+800; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle. Large patch of perennial sow thistle was observed off ROW at a foreign line crossing, KP 9+950. Aug 24, 2015- herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed from KP 9+800 to 10+800. Fall herbicide spot spray application is recommended. Sept.23, 2015 – Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.",,"June 26, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - Perennial sow thistle observed at KP 10+130 to 10+300 and 10+500 to 10+550. Recommend herbicide application. July 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle. September 11, 2017 – Herbicide application conducted to control perennial sow thistle (KP 10+200 and 10+500). Issue resolved. - No other noxious weeds observed. Issues resolved.",,,
NW 28-66-3 W6M,"Noxious Weeds, Invasive Species","July 7, 2014 - ~ 90-95% vegetation establishment, compared to off ROW control. – Native grasses, well established. - Perennial sow thistle and Canada thistle intermittently throughout tract.  - Diversion berms well vegetated and functioning. -. July 27, 2014 - KP 10+800 to 11+000 – Herbicide application conducted on ROW to control perennial sow thistle and Canada thistle. August 10, 2014 - Positive results from July 27th spraying observed. Grasses do not indicate stressing.","June 24, 2015 - Vegetative coverage approximately 95% compared to off ROW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted along the ditch line from KP 10+800 to 11+000. July 13, 2015 - KP 10+800 to 11+000; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle. Aug 24, 2015- Patches of perennial sow thistle were observed from KP 10+800 to 11+000. Fall herbicide spot spray application is recommended. Sept. 23, 2015- Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle.","June 29, 2016- Vegetation is well established with desirable species throughout ROW. - Excellent establishment of grasses, clover and vetch.  - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. - No issues with ponded water. - Perennial sow thistle found intermittently throughout tract. Recommend herbicide application. July 18, 2016 – Intermittent herbicide application conducted to control perennial sow thistle.","June 26, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - No weeds identified previous year’s herbicide application was successful, issue resolved.  July 19 and September 12, 2017 - No noxious weeds found. All previous issues resolved.",,,
NE 29-66-3 W6M,High Vegetation Establishment,"July 7, 2014 - ~ 90-95% vegetation establishment, compared to off ROW control. – Native grasses, well established. Weeds comparable to off ROW. - Perennial sow thistle and Canada thistle intermittently throughout tract, mainly on ditchline and East of ditchline. KP 11+000 to 11+700. - Diversion berms well vegetated and functioning. -  July 27, 2014 - KP 11+000 to 11+700. Herbicide application conducted on ROW to control perennial sow thistle and Canada thistle. August 10, 2014 – Herbicide application in-effective at KP 11+570, 11+520, 11+310, 11+100, and 10+980 – remaining application area shows positive results from spraying. Monitor and control as required.","June 24, 2015 - Vegetative coverage approximately 95% compared to off ROW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted intermittently from KP 11+000 to 11+600. Canada thistle noted from KP 11+000 to 11+070 and at KP 11+650. July 13, 2015 – KP 11+000 to 11+700; Herbicide application conducted along intermittent sections within ROW to control Perennial sow thistle and Canada thistle. Aug 24, 2015- Herbicide application appears successful. Although, a patch of unaffected perennial sow thistle was observed at KP 11+100. Fall herbicide spot spray application is recommended. Sept. 23, 2015 – Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.","June 2- Vegetation is well established with desirable species throughout ROW. Excellent establishment of grasses, clover and Vetch.  - No erosion or subsidence issues. - KP 11+300 – Patch of Perennial sow thistle observed. Recommend herbicide application. July 18, 2016 – Intermittent herbicide application (KP 11+000 to 11+700) conducted to control perennial sow thistle.","June 26, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - Perennial sow thistle observed at KP 11+270 to 11+340 and 11+490; Canada thistle observed at KP 11+550 and 11+650. Recommend herbicide application.  July 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle. September 12, 2017 – Herbicide application conducted to control perennial sow thistle at KP 11+270, 11+490, and 11+650. Issue resolved. - No other noxious weeds observed. Issues resolved.",,,
SE 32-66-3 W6M,High Vegetation Establishment,"July 7, 2014 - ~ 90-95% vegetation establishment, compared to off ROW control. – Native grasses well established. Deciduous species establishing. - Canada thistle and perennial sow thistle intermittently throughout entire tract. KP 11+700 to 12+600.   - Diversion berms well vegetated and functioning.  July 27, 2014 - KP 11+700 to 12+600 – Herbicide application conducted on ROW to control perennial sow thistle and Canada thistle. - Scentless chamomile identified at KP 11+900. Picked and bagged. –Continue to monitor. August 10, 2014 - KP 12+405, and 11+970 – patches of perennial sow thistle along workside of ROW, not impacted by herbicide application – remaining areas of herbicide application shows positive results September 19, 2014 – Herbicide application conducted within areas of active Canada thistle identified.","June 24, 2015 - Vegetative coverage approximately 95% compared to off ROW control, mostly grasses. Deciduous species are establishing on the ROW. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted at KP 11+700, 11+940, and 12+780. Canada thistle noted at 11+850, 12+440, and 12+460. Recommend weed mitigation measures. July 13, 2015 – KP 11+700 to 12+600; Herbicide application conducted along intermittent sections within ROW to control Perennial sow thistle and Canada thistle. Aug 24, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 12+400 and 12+600 and a patch of Canada thistle was at KP 12+700. Fall herbicide spot spray application is recommended. Sept. 23, 2015- Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.","June 29, 2016 - Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW. -Perennial Sow thistle observed at KP 12+260 to 12+600. Recommend herbicide application. - Cross drains and diversion berms well vegetated and functioning. July 18, 2016 – Intermittent herbicide application (KP 11+700 to 12+600) conducted to control perennial sow thistle and Canada thistle.","June 26, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - Cross drains functioning well. - Canada Thistle observed; Perennial sow thistle observed at KP 12+370. Recommend herbicide application. July 19, 2017 – Interment herbicide application conducted to control Canada thistle and perennial sow thistle. September 12, 2017 – Intermittent herbicide application conducted to control Canada thistle (KP 11+850 to 11+920). Issue resolved. - No other noxious weeds observed. Issues resolved.",,,
NW 32-66-3 W6M,Watercourse Crossing: Zero Creek,"May 22, 2014 - Zero Creek - slope on south side of creek crossing (northwest facing) is relatively stable, with minor slumping –There is only one single diversion berm – located at the top of slope, with ditch plug exhibiting signs of wetness only around emerging nudrain – functioning well.  - Slope on the north side of creek crossing (southeast facing) exhibits significant slumping, pushing soils downhill. Crib walls are functioning appropriately, holding material from pushing into watercourse, however one broken cable and a broken log anchor pile indicate excessive pressure from uphill slope. Repairs required. July 11, 2014 - Redistributed cobble within Zero Creek to center the creek flow, reduce ponding and to the divert flow from the south crib wall. - Added cobble to bank areas with exposed soils that were prone to further erosion July 16, 2014 - Rocks and clay was removed out of the Creek channel to allow flow to travel more freely across the ROW. August 19, 2014 - Wooden pegs and erosion matting was collected on the slope and disposed of. September 2014 – Repairs complete remediation of north slope to Zero Creek, area re-contoured, sub-drains installed, area re-seeded, and erosion control implemented.","June 24, 2015 Vegetative coverage approximately 95% south of the crossing and 10% north of the crossing, mostly grasses and clover. Vegetation on top of the hill is reduced in density, continue to monitor. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetating. - Coir banks are functioning. Defined and stabile banks observed. - Effective rollback on the north side of the crossing. Erosion control installed last year is effective. - No noxious or prohibited/noxious weeds were observed. - Two seep areas observed in the lowest, new crib wall, of the crossing. Monitor for sedimentation and ensure erosion control materials are maintained. - Subsurface weeping tile installed from the top of the hill, down into the forested area to the south of the pipeline, has settled with limited vegetation cover, there is the potential for erosion. Recommend installing erosion control. Access control logs appear to have been moved by a 3rd party and are no longer blocking vehicle access to slope. Recommend re-blocking access. July 26, 2015 - Emerging vegetation is establishing on upper plateau now. Grasses establishing well throughout erosion control fabric area. - Non - biodegradable erosion fabric, plastic waddles, and silt fencing were removed. Issue resolved.  - Hydrovac hole at sloughed in, filled with nearby materials. Issue resolved.  - Subsurface weeping tile with erosion on surface of excavation to the West was repaired by placing straw wattle erosion breakers.  - Biodegradable wattles were installed on either side of base of slope within minor eroded areas.  - Eroding corner above lower cribwall on East side was blanketed with fabric and erosion breaker will be installed at base. - Zero Creek exhibits appropriate flow and bed of creek does not appear to have risen. Some cobble was redistributed at the inlet and outlet to allow for enhanced flow.  - Two blowdown trees and skidded into place to restrict access to the ROW. Issue resolved.","June 29, 2016- - South bank- excellent vegetation - No erosion or slumping.  - Berms well vegetated and functioning. - Patch of Canada thistle was observed at top of slope. Recommend herbicide application. - North bank - Upper plateau (stockpiled area) shows good establishment of clover and grasses. Issue resolved. - Access road effectively blocked by large logs across access. Access is vegetating well with limited traffic.  - Upper drain from pipe to West shows some movement of water on surface and through drain. Erosion repair last year is functioning well. Issue resolved.  - Berms are all intact no sign of slumping on slope, berms or drains out to the West.  - Lower East side of slope erosion repaired last season is functioning but is still moving some sediment down slope due to steepness. Repair areas are vegetating, capturing silt, slowing and redirecting water. Recommend leaving erosion prevention material on bottom of slope for now as still functioning.  - Crib walls are in- tact and vegetation is establishing well around.  July 1, 2016 – North bank of channel - Recent high flow in stream has caused some scouring and has exposed clay bank on North side of stream due to high water. Rock within channel was redistributed within channel to protect from further erosion. July 18, 2016 – Herbicide application conducted to control Canada thistle on south bank. Aug 18, 2016 – Additional repairs required to stabilize lower crib wall on north side of the crossing, as there was evidence of movement of the crib wall. - Repairs completed by to stabilize crib wall and redistribute rock within channel. Additional willow staking added. - Seeded east side steep slope along tree line where straw wattles had been installed the year before.  - Removed all non- biodegradable silt fence from lower East side of slope. Issue resolved.","June 27, 2017 - Zero Creek at KP 13+270 bed is stable showing moderate flow with good cobble distribution. - South hill slope (left bank) of watercourse showing 80-100% vegetation cover with good establishment of grasses, willows, poplars and broadleaf shrubs. Diversion berms leading to watercourse are functioning well; no erosion or unintentional water flow down slope was evident. Crib walls are stable and functioning well in preventing slumping and sediment flow downhill. - North hill slope (right bank) of watercourse showing 80-100% vegetation cover with good emerging grasses and broadleaf vegetation. Previous repairs remain successful in stabilizing hill slope. Diversion berms successfully diverting water off ROW into established mature treed areas. Two upper newly implemented crib walls are stable. Two lower crib walls remain stable.  - No noxious weeds observed. Issues resolved",,,
,Low Vegetation Establishment,"July 7, 2014 - ~80-85% vegetation establishment, compared to off ROW control. Good grass establishment South of Zero Creek. – Native grasses well established. More weeds on ROW as opposed to off.  - Minimal vegetation establishment across ROW ~ 150m North of Zero Creek as reported in previous years assessments, due to equipment access to Zero Creek. KP 13+370.  - Canada thistle - KP 13+130, 13+100 - scentless chamomile 1 plant, identified and picked at 13+180, 13+080, 12+285, and south bank of Zero Creek - perennial sow thistle - KP 13+180, 12+800 – 12+600 - Cross drains functioning and well vegetated.  July 27, 2014 - KP 12+600 to 13+600 – Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. - Scentless chamomile identified at KP 12+950 and 13+550 - Picked and bagged. –Continue to monitor.  August 10, 2014 – spraying not effective at KP 13+200 (Canada thistle) and 13+100 (perennial sow thistle) - remaining sprayed areas were effective. Continue to monitor and control noxious weeds, as required.","July 26, 2015 Removed silt fencing that was no longer required. Replaced required silt fence that was in disrepair with biodegradable silt fence. New wattles were installed to supplement existing erosion control measures. Issues resolved. -Herbicide application conducted. Aug 24, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle and Canada thistle were observed from KP 13+000 to Zero Creek. Fall herbicide spot spray application is recommended. Sept.22, 2015- Herbicide application conducted along intermittent sections within ROW to control Perennial sow thistle, Bull thistle and Canada thistle.","June 29, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW. Previous vegetation cover issues resolved. - Perennial Sow thistle was observed at KP 12+850, bull thistle picked, bagged, and disposed of at KP 13+400.  - Cross drains and diversion berms well vegetated and functioning. July 18, 2016 – Intermittent herbicide application (KP 12+00 to 13+600) conducted to control perennial sow thistle and Canada thistle.","June 27, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, willow and broadleaf shrubs. - Perennial sow thistle observed at KP 13+030, 13+300 and 13+440; Canada thistle observed from KP 13+100 to 13+200 and at KP 13+250. Recommend herbicide application. - Trench crown present in tract and stable with good vegetation establishment. Cross drains are functioning well. - Access control present on top of north hill slope leading to Zero Creek. Access control functioning well as no 3rd party traffic observed. - No subsidence or erosion issues evident in tract. July 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle. September 12, 2017 – Intermittent herbicide application conducted to control bull thistle, (KP 12+800 to 12+850, and KP 13+240) and Canada thistle (KP 12+950). Issues resolved. - No other noxious weeds observed. Issues resolved.",,,
SW 5-67-3 W6M,Low Vegetation Establishment,"July 6, 2014 - 60 - 70% vegetation establishment, compared to off ROW control from KP 13+580 to KP 13+700. Reduced vegetation cover due to recent equipment access to Zero Creek for repair.  From KP 13+700 onwards for the remainder of the tract, vegetation on ROW approximately 90-95% compared to off ROW control with very few areas on northeast side of ROW exhibiting lesser vegetation cover. - Weeds on ROW comparable to off ROW control. Non-noxious weeds. - No subsidence or erosion issues evident at time of assessment. July 22, 2014 - Re-contoured minor erosion west of ditchline at KP 13+850. July 27, 2014 - KP 13+600 to 14+300 – Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. August 10, 2014 – herbicide application not effective at KP 14+300 (perennial sow thistle), 13+760 (Canada thistle), and KP 13+690 (bull thistle) – herbicide application was effective in remaining areas. Continue to monitor and implement weed control, as required.","June 24, 2015 - Vegetative coverage approximately 90% - 95% compared to off ROW control. Deciduous species are establishing on the ROW. Reduced vegetation cover from KP 13+580 to 13+700 is no longer evident, issue resolved. - Subsidence and erosion was not observed. - Diversion berm/ditches are functioning and vegetated. - Perennial sow thistle noted along ditch line at KP 13+930. Recommend herbicide application. - Erosion repaired at KP 13+850 in 2014 is no longer evident, issue resolved. July 13, 2015 - KP 13+600 to 14+300; Herbicide application conducted to control Perennial sow thistle. Aug 24, 2015 – Herbicide application appears successful. Although, a patch of unaffected perennial sow thistle was observed at KP 13+600. Fall herbicide spot spray application is recommended. Sept. 22, 2015 – Herbicide application conducted along intermittent sections within ROW to control Perennial sow thistle.","June 29, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW. - Cross drains and diversion berms well vegetated and functioning. - Noxious weeds no longer present, issues resolved.","June 27, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, willow and broadleaf shrubs. Deciduous tree species reaching heights of >2m.  - Ox-eye daisy observed at KP 13+600 to 13+740. Recommend herbicide application. - Trench crown present in tract and stable with good vegetation establishment. Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 19, 2017 – Intermittent herbicide application conducted to control ox-eye daisy (KP 13+600 to 13+740). September 12, 2017 – Intermittent herbicide application conducted to control Canada thistle (KP 13+600 to 13+700). Issue resolved. - No other noxious weeds observed. Issues resolved.",,,
SW 5-67-3 W6M,Treed Bog,"July 6, 2014- Wetland (treed bog) at KP 14+210 to KP 14+310 is successfully re-established at time of assessment. Seedbank is maintained with appropriate vegetation species developing throughout wetland (cattails and sphagnum mosses). Vegetation emerging around mulch. Wetland shows minimal standing water at time of assessment but organic soils appear to be semi-saturated with some areas drier than others. Some water present within trench breaks but no flow observed. Hydrology appears to be maintained across ROW. Peat depth in good condition, exceeding 40cm. Amphibians using wetland as effective habitat.","June 25, 2015 - willows, common cattail present; 1 patch of standing water; has cross ditch in place; very thick (>95% comparable to off ROW) vegetation throughout wetland area; surrounding upland vegetation (poplar, spruce);",,"June 27, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Excellent establishment of poplar and willow trees throughout wetland. Deciduous tree species exceeding 2m in height.  - Trench crown present and stable through wetland with sufficient amount of cross drains for movement of hydrology. - Uniform growth of graminoid and deciduous vegetation indicates that substrate health has been maintained. Minimal peat build-up on and off ROW due to high nutrient uptake from deciduous species. - Soils within wetland are semi-saturated on and off ROW. Wetland likely to significantly dry through seasonal succession. - Wetland is stable and at pre-construction functionality; deciduous tree species successfully encroached ROW resembling off ROW vegetation biodiversity. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland. July 19, 2017 – Hand-picked, bagged and disposed of 3 ox-eye daisy individuals. September 12, 2017 - No noxious weeds observed. Issue resolved.",,,
