Legal Location,Land Use,1st Year (2015) Issue(s),2nd Year (2016) PCRM Assessment and Work Completed,3rd Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 33-095-03W6,Forested,High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - Herbicide application conducted to control scentless chamomile (KP 17+600) and perennial sow thistle (KP 17+580). - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. - Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract - No noxious weeds observed within 1/4 - Moderate height ditch line roach observed throughout ¼ with functional cross-drains.  - No subsidence or erosion observed within ¼ July 23, 2017 – KP 17+400 to 17+900 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. October 3, 2017 – KP 17+700 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of scentless chamomile observed.",,,
SE 32-095-03W6,Forested,High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - KP 18+120 – Herbicide application conducted to control scentless chamomile.  Issue resolved. - No subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - Vegetation consists predominantly of timothy, brome, and alsike clover. - KP 18+080 to 18+140 - Scentless chamomile observed, recommend weed control. - Moderate height ditch line roach observed throughout with functional cross drains. - No subsidence or erosion observed. July 23, 2017 – KP 18+000 to 18+120 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. October 3, 2017 – No noxious weeds observed.  Effective control of scentless chamomile observed.",,,
SE 32-095-03W6,Unnamed Tributary to Meikle River  (CH 7),None,"August 6, 2016 - Unnamed Tributary to Meikle River KP18+130. - Banks and riparian areas are stable, water ponding on ditch line.","July 2, 2017 - CH7 Unnamed Tributary to Meikle River - KP 18+130, banks are stable and well vegetated, minimal flow is present at this time. Willow live stakes present. - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Vegetation consists predominantly of timothy and brome, with a few willows emerging",,,
SE 32-095-03W6,Forested,High Vegetation Establishment Noxious Weeds,"August 6, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - Herbicide application conducted to control scentless Chamomile (KP 18+140), perennial sow thistle (KP 18+900), and Canada thistle (KP 18+850).  Issue resolved. - KP 18+850 and 18+860 - Minor erosion, recommend the installation of erosion control materials. - No subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - Vegetation consists predominantly of timothy, brome, and alsike clover. - Moderate height ditch line roach observed throughout with functional cross drains. - No subsidence observed. - KP 18+850 and 18+860, previously identified erosion is well-vegetated and stable. No work required. Issue resolved. July 23, 2017 – KP 18+140 to 18+800 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. October 3, 2017 – KP 18+815 – Herbicide application conducted to control Canada thistle.  Issue resolved.  Effective control of scentless chamomile observed.",,,
NW 32-095-03W6,Forested,High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - Silt fence should be removed at 19+450 and 19+700.  Vegetation providing adequate sediment control. - KP 19+450 - Minor erosion, recommend the installation of erosion control materials. - No subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract - No noxious weeds observed within 1/4 - Moderate height ditch line roach observed throughout with functional cross drains. - No subsidence observed within ¼ - Silt fence removed at 19+450 and 19+700. Issue resolved. - KP 19+450, minor erosion identified and repaired using onsite soil material and hand tools. Issue resolved. October 3, 2017 - No noxious weeds were observed.",,,
NE 31-095-03W6,Forested,Low/High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover.  - KP 20+500 to 20+725 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle (KP 20+520).  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Vegetation consists predominantly of yellow sweet clover and alsike clover within disturbed areas. Timothy and brome were also identified within tract.  Low vegetation issue observed in 2015 resolved - No noxious weeds observed within 1/4 - Moderate height ditch line roach observed throughout with functional cross drains. - No subsidence or erosion observed within ¼ July 23, 2017 – KP 20+500 to 20+600 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.  Issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile and perennial sow thistle observed.",,,
NW 31-095-03W6,Forested,Low Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - Herbicide application conducted to control scentless chamomile (KP 20+900, 21+100, 21+350) and perennial sow thistle (KP 21+105).  Issue resolved. - No erosion or subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Vegetation consists predominantly of yellow sweet clover and alsike clover within disturbed areas. Timothy and brome were also identified within tract.  Low vegetation issue observed in 2015 resolved. - Moderate height ditch line roach observed throughout with functional cross drains. - No subsidence or erosion observed within ¼ - KP 21+300 - Observed scentless chamomile, recommend weed control. July 23, 2017 – KP 21+300 – Herbicide application conducted to control scentless chamomile.  Issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
SE 01-096-04W6,Forested,Low/High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - No erosion or subsidence issues","July 3, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Intermittent areas with reduced vegetation were observed along ditch line with 65-80% vegetative cover compared to off-ROW controls.  Vegetation consists predominantly of alsike clover, timothy and brome within disturbed areas. Willows were also identified within tract.  Low vegetation issue observed in 2015 resolved. - KP 21+800 - Scentless chamomile observed, recommend weed control.  - Moderate to considerable height ditch line roach observed throughout with functional cross drains. - No subsidence or erosion observed within ¼ July 23, 2017 – KP 21+590 to 21+820 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
SE 01-096-04W6,Forested,Noxious weeds,"August 6, 2016 - Herbicide application conducted to control scentless chamomile (KP 21+610, 21+820) and perennial sow thistle (KP 21+105).  Issue resolved.","July 3, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Intermittent areas with reduced vegetation were observed along ditch line with 65-80% vegetative cover compared to off-ROW controls.  Vegetation consists predominantly of alsike clover, timothy and brome within disturbed areas. Willows were also identified within tract.  Low vegetation issue observed in 2015 resolved. - KP 21+800 - Scentless chamomile observed, recommend weed control.  - Moderate to considerable height ditch line roach observed throughout with functional cross drains. - No subsidence or erosion observed within ¼ July 23, 2017 – KP 21+590 to 21+820 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
,Unnamed Tributary to Meikle River (CH8),"Ditch plug, roach, diversion berms, silt fence and erosion.","Repairs were conducted in winter 2015/2016.  Issues resolved. August 6, 2016 – Unnamed Tributary to Meikle River 21+840. - Banks and riparian areas are stable, water ponding on ditch line. - Silt fence should be removed 21+810 and 21+860.  Vegetation providing adequate sediment control.","July 3, 2017 - CH8 Unnamed Tributary to Meikle River - Banks are stable and well vegetated, minimal flow is present at this time. Willow live stakes observed.  - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Vegetation consists predominantly of alsike clover, yellow sweet clover, timothy, and brome. - Willows planted between coir lifts showing excellent growth and establishment. - Erosion control blankets on west bank still providing function as vegetation continues to establish. - KP 21+810 and 21+860 – recommend removal of silt fencing.  Vegetation providing adequate sediment control. - Water ponding over ditch line within watercourse   August 26, 2017 – KP 21+810 and 21+860 – Silt fence removed.  Issue resolved. -  Ponding over ditchline repaired, issue resolved",,,
,Forested,Low/High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - No erosion or subsidence issues","July 3, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Intermittent areas with reduced vegetation were observed along ditch line with 65-80% vegetative cover compared to off-ROW controls.  Vegetation consists predominantly of alsike clover, timothy and brome within disturbed areas. Willows were also identified within tract.  Low vegetation issue observed in 2015 resolved. - Moderate to considerable height ditch line roach observed throughout with functional cross drains. - No subsidence or erosion observed within ¼ October 4, 2017 - No noxious weeds were observed.",,,
SW 01-096-04W6,Forested,Low Vegetation Establishment,"August 6, 2016 - Vegetation is slow establishing. - Herbicide application conducted to control scentless chamomile (KP 22+550) and perennial sow thistle (KP 23+200).  Issue resolved. - KP 23+180 - Erosion paralleling ditch line, no work required at this time, monitor. - No subsidence issues.","July, 3 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Vegetation consists predominantly of yellow sweet clover and alsike clover within disturbed areas. Timothy and brome were also identified within tract.  Low vegetation issue observed in 2015 resolved. - KP 22+460 - Canada thistle observed, recommend weed control.  - Nearly level to moderate height ditch line roach observed throughout. - KP 23+180, previously identified erosion appears to have worsened, recommend installation of erosion control measures. - No subsidence observed within ¼ July 23, 2017 – KP 22+460 to 22+500 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.  Issue resolved. August 26, 2017 – KP 23+180 – Installed erosion control measures within previously noted erosion.  Issue resolved. October 4, 2017 – KP 23+380 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective noxious weed control observed on remaining portions of ¼.",,,
SW 01-096-04W6,Forested,Erosion,"Repaired in winter 2015/2016 – issue no longer evident, issue resolved.","July, 3 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Vegetation consists predominantly of yellow sweet clover and alsike clover within disturbed areas. Timothy and brome were also identified within tract.  Low vegetation issue observed in 2015 resolved. - KP 22+460 - Canada thistle observed, recommend weed control.  - Nearly level to moderate height ditch line roach observed throughout. - KP 23+180, previously identified erosion appears to have worsened, recommend installation of erosion control measures. - No subsidence observed within ¼ July 23, 2017 – KP 22+460 to 22+500 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.  Issue resolved. August 26, 2017 – KP 23+180 – Installed erosion control measures within previously noted erosion.  Issue resolved. October 4, 2017 – KP 23+380 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective noxious weed control observed on remaining portions of ¼.",,,
SE 02-096-04W6,Forested,Low Vegetation Establishment,"August 6, 2016 - Vegetation is establishing in some areas while others have grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 3, 2017 -• Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Vegetation consists predominantly of alsike clover and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract.  Low vegetation issue observed in 2015 resolved. - No noxious weeds observed within ¼. - Nearly level to moderate height ditch line roach observed throughout ¼. - No subsidence or erosion observed within ¼ July 23, 2017 – KP 23+400 to 23+500 – Intermittent herbicide application conducted to control scentless chamomile and ox eye daisy.  Issue resolved October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile and oxeye daisy observed.",,,
NE 02-096-04W6,Forested,High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - Herbicide application conducted to control scentless chamomile (KP 23+450, 23+520, 23+540) and perennial sow thistle (KP 23+200).  Issue resolved. - No erosion or subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Vegetation consists predominantly of alsike clover and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract - No noxious weeds observed within ¼. - Nearly level to moderate height ditch line roach observed throughout ¼. - No subsidence or erosion observed within ¼ October 4, 2017 - No noxious weeds were observed.",,,
NE 02-096-04W6,Unnamed Tributary to Midget Creek (CH8.5),"Roach Height, Diversion Berms & Silt fence","Repairs completed in winter 2015/2016 – issues resolved. August 6, 2016 - Unnamed Tributary to Meikle River 21+840. - Banks and riparian areas are stable water ponding on ditch line","July 3, 2017 - CH8.5 Unnamed Tributary to Midget Creek - KP 23+565, banks are stable and well vegetated, minimal flow is present at this time. Willow live stakes observed.  Water table very high at this time  - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Vegetation consists predominantly of timothy, brome, sedges, and a few emerging willows. - KP 23+540 – Recommend removal of Silt fence on both sides of watercourse.  Vegetation is providing adequate sediment control. August 26, 2017 – KP 23+540 - Silt fencing was removed from both sides of watercourse.  Issue resolved.",,,
NE 02-096-04W6,Forested,Low Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Vegetation consists predominantly of alsike clover and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract.  Low vegetation issue observed in 2015 resolved. - No noxious weeds observed within ¼. - Nearly level to moderate height ditch line roach observed throughout ¼. - No subsidence or erosion observed within ¼ October 4, 2017 - No noxious weeds were observed.",,,
NE 02-096-04W6,Forested,Water ponding,Repairs completed in winter 2015/2016 – ponding no longer evident.  Issue resolved.,"July 3, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  Vegetation consists predominantly of alsike clover and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract.  Low vegetation issue observed in 2015 resolved. - No noxious weeds observed within ¼. - Nearly level to moderate height ditch line roach observed throughout ¼. - No subsidence or erosion observed within ¼ October 4, 2017 - No noxious weeds were observed.",,,
NW 02-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is slow establishing. - No erosion or subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses clover and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with functional cross drains. July 23, 2017 – KP 24+800 – Herbicide application conducted to control scentless chamomile.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
SW 11-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is establishing grasses, shrubs, vetch and clover.  - No subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. October 4, 2017 – No noxious weeds observed.",,,
SW 11-096-04W6,Unnamed Tributary to Midget Creek (CH9),None,"August 7, 2016 - Unnamed Tributary to Midget Creek 25+020. - No defined banks but is functioning, riparian areas are stable, water ponding on ditch line. - Signage at 25+040 requires standing up.","July 3, 2017 - Stabilized sign and marker posts, issue resolved. - KP 25+020 unnamed tributary to Midget Creek.  Observed some ponding on ditch line. Recommend repairs. Willow plugs on watercourse bank observed. August 29, 2017 – Repairs completed to alleviate ponding issue.  Issue resolved.",,,
SW 11-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is establishing grasses, shrubs, vetch and clover.  - KP 25+230 - Minor erosion/riling, recommend installation of erosion control materials. - Herbicide application conducted to control scentless chamomile (KP 25+075 and 25+230).  Issue resolved.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. - KP 25+230 – Erosion issue no longer evident.  Issue resolved. July 23, 2017 – KP 25+000 to 25+200, and 25+220 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.  Issue resolved. October 4, 2017 – KP 25+060 – herbicide application conducted to control scentless chamomile.  Issue resolved. - Effective control of noxious weeds on remaining portions of ¼.",,,
SW 11-096-04W6,Forested,Noxious Weeds,"August 7, 2016 - Vegetation is establishing grasses, shrubs, vetch and clover.  - KP 25+230 - Minor erosion/riling, recommend installation of erosion control materials. - Herbicide application conducted to control scentless chamomile (KP 25+075 and 25+230).  Issue resolved.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. - KP 25+230 – Erosion issue no longer evident.  Issue resolved. July 23, 2017 – KP 25+000 to 25+200, and 25+220 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.  Issue resolved. October 4, 2017 – KP 25+060 – herbicide application conducted to control scentless chamomile.  Issue resolved. - Effective control of noxious weeds on remaining portions of ¼.",,,
,Treed Swamp,None,,"- Treed swamp on ROW from KP 25+095 to 25+284 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 65-80%. Good establishment of graminoids on ROW with willows, spruce and pine trees emerging in areas. - Sweet clover present in high density on ditchline but likely to be outcompeted by natural vegetation. No noxious weeds observed in wetland. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Minimal peat depth observed on and off ROW, but organic decomposition occurring. - Soils within wetland are semi-saturated on ROW in low-lying areas. Upslope terrain in wetland showing lesser saturation compared to low lying areas. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
,Unnamed Tributary to Midget Creek (CH9.25),"Silt Fence, Contours, Roach and Erosion","Repairs completed in winter 2015/2016 – issues resolved. August 7, 2016 - Unnamed Tributary to Midget Creek 25+250. - Defined banks, riparian areas are stable, water ponding on ditch line. - Silt fence still functioning. - 25+280 sign requires standing up and one maker post.","July 3, 2017 - Stabilized sign and marker posts, issue resolved. - KP 25+200 observed drainage functioning well, willow plugs observed. - KP 25+180 – Recommend removal of silt fence.  Vegetation providing adequate sediment control - Recommend repairing silt fence on both sides of tributary, as it is still required. - KP 25+260 – marker requires repairs. October 4, 2017 – KP 25+180 – silt fence removed, issue resolved. - Silt fence on both sides of tributary repaired, issue resolved. - KP 25+260 – marker post repaired, issue resolve.",,,
,Forested,Low Vegetation Establishment,"August 7, 2016 - -  Vegetation is establishing grasses, shrubs, vetch and clover.  - Herbicide application conducted to control scentless chamomile (KP 25+290 and 25+300).  Issue resolved. - No subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. October 4, 2017 – No noxious weeds observed.",,,
,Forested,Noxious weeds,"August 7, 2016 - -  Vegetation is establishing grasses, shrubs, vetch and clover.  - Herbicide application conducted to control scentless chamomile (KP 25+290 and 25+300).  Issue resolved. - No subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. October 4, 2017 – No noxious weeds observed.",,,
SE 10-096-04W6,Treed Swamp,None,,"- Treed swamp on ROW from KP 25+337 to 25+997 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 50-65% and 65-80%. Good establishment of graminoids, willows and mosses on ROW with spruce and pine trees emerging in low cover areas. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are saturated on ROW. Upslope terrain in wetland showing lesser saturation compared to low lying areas. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
SE 10-096-04W6,Unnamed Tributary to Midget Creek (CH9.5),Roach and Erosion,"Repairs completed in winter 2015/2016 – issues resolved. August 7, 2016 - Unnamed Tributary to Midget Creek 25+680. - Banks and riparian areas are stable, cobble is high and should be lowered - KP 25+710 - Riling is occurring, recommend installation of erosion control materials.","July 3, 2017 - unnamed tributary to midget creek. Low flow rate, good cobble, banks were stable and vegetating well. Willow plugs observed. - Cobble is no longer high, issue resolved. - KP 25+710 – Erosion previously noted is no longer present.  Issue resolved.",,,
SE 10-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is slow establishing. - Intermediate herbicide application conducted to control scentless chamomile (KP 25+666 to 25+676 and 25+720) and Canada thistle (KP 25+640).  Issue resolved. - No subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas. Predominantly clover.  Low vegetation issue observed in 2015 resolved.- Trench crown present and appears to be stable with a moderate height through tract. July 23, 2017 – KP 25+300 and 25+550 – Herbicide application conducted to control scentless chamomile and ox eye daisy.  Issue resolved. October 4, 2017 – KP 26+030 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of noxious weeds observed on remaining portions of ¼.",,,
,Treed Swamp,None,,"- Treed swamp on ROW from KP 26+000 to 26+805 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 50-65% and 65-80% mainly on ditch line. Good establishment of graminoids, willows, broadleaf shrubs and mosses on ROW with spruce and pine trees emerging in sparsely vegetated areas. - Areas along ROW with high densities of Horsetail, which will eventually be outcompeted by natural vegetation. No noxious weeds observed on ROW. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated on ROW. Upslope terrain in wetland showing lesser saturation compared to low lying areas. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
SW-10-096-04-W6,Treed Swamp,None,"August 7, 2016 - Vegetation is slow establishing. - No erosion or subsidence issues.","- Treed swamp on ROW from KP 26+000 to 26+805 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 50-65% and 65-80% mainly on ditch line. Good establishment of graminoids, willows, broadleaf shrubs and mosses on ROW with spruce and pine trees emerging in sparsely vegetated areas. - Areas along ROW with high densities of Horsetail, which will eventually be outcompeted by natural vegetation. No noxious weeds observed on ROW. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated on ROW. Upslope terrain in wetland showing lesser saturation compared to low lying areas. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
NW 10-096-04W6,Treed Swamp,None,,"- Treed swamp on ROW from KP 26+000 to 26+805 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 50-65% and 65-80% mainly on ditch line. Good establishment of graminoids, willows, broadleaf shrubs and mosses on ROW with spruce and pine trees emerging in sparsely vegetated areas. - Areas along ROW with high densities of Horsetail, which will eventually be outcompeted by natural vegetation. No noxious weeds observed on ROW. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated on ROW. Upslope terrain in wetland showing lesser saturation compared to low lying areas. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
,Forested,Low Vegetation Establishment,"August 7, 2016 -Vegetation is slow establishing because of soil conditions. - KP 26+840 – Herbicide application conducted to control perennial sow thistle.  Issue resolved. - No erosion or subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas. Consisting predominantly of clover, aspen, and some brome.  Low vegetation issue observed in 2015 resolved. - Trench crown present and stable. - No noxious weeds identified on track.  - Areas of excellent establishment of willows and grasses providing natural line of sight barrier.  October 4, 2017 – KP 26+770 to 26+800 – Intermittent herbicide application conducted to control Canada thistle.  Issue resolved.",,,
NE 09-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is establishing, grasses, shrubs, and vetch. - KP 27+650 - Picked and bagged 1 scentless chamomile. Issue resolved.  - No erosion or subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80%, with areas of 80 – 100%, compared to the off ROW control. Native grasses and willows establishing in low areas.  Tract predominantly clover, raspberry’s.  Low vegetation issue observed in 2015 resolved. - No weeds observed on tract  October 4, 2017 - No noxious weeds were observed.",,,
NE 09-096-04W6,Shrubby Fen,None,,"- Shrubby Fen on ROW from KP 27+610 to 28+109 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 65-80% mainly on ditch line. Good establishment of rushes, willows and clover on ROW with spruce trees emerging in sparsely vegetated areas. - Areas along ROW with high densities of Horsetail, which will eventually be outcompeted by natural vegetation. No noxious weeds observed on ROW. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated with some areas exhibiting higher moisture content on ROW. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
SE 16-096-04W6,Shrubby Fen,None,,"- Shrubby Fen on ROW from KP 27+610 to 28+109 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 65-80% mainly on ditch line. Good establishment of rushes, willows and clover on ROW with spruce trees emerging in sparsely vegetated areas. - Areas along ROW with high densities of Horsetail, which will eventually be outcompeted by natural vegetation. No noxious weeds observed on ROW. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated with some areas exhibiting higher moisture content on ROW. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
SE 16-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is slow to establish. - KP 28+050 – Erosion rill parallel to ditch, recommend installation of erosion control materials. - No subsidence issues.","July 3, 2017 - Vegetation cover on the ROW is 65 - 80%, with areas of 80 – 100%, compared to the off ROW control. Native grasses and willows establishing in low areas.  Tract predominantly clover, raspberry’s.  Low vegetation issue observed in 2015 resolved. - No weeds observed on tract  - KP 28+000 - Water ponding observed, recommend repairs. - KP 28+050 – Previously noted erosion is no longer evident, issue resolved. August 26, 2017 – KP 28+000 – Ponding repaired with cross drain.  Issue resolved. October 4, 2017 - No noxious weeds were observed.",,,
