Legal Land Description,Land Use,Issue/Condition,KP,Notes,Status,Recommendations,VEC,GIS,Topic
SE 01-096-04W6,Forested Upland,High Vegetation Establishment,21.51 to 21.60,High vegetation establishment observed on the majority of this section of the right-of-way.,Complete,None,,,
SE 01-096-04W6,Forested Upland,Low Vegetation Establishment,21.60 to 21.83,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 01-096-04W6,Forested Upland,Habitat Restoration,21.51 to 21.61 21.81 to 22.08,Planted white spruce present.,Monitor,Monitor in 2016.,,,
SE 01-096-04W6,Forested Upland,Habitat Restoration,21.63 to 21.79,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SE 01-096-04W6,Forested Upland,Noxious weeds,21.75,Clusters of scentless chamomile observed on right-of-way.,Monitor,Monitor for scentless chamomile growth in 2016 and control if required.,,,
SE 01-096-04W6,Unnamed Tributary to Meikle River (CH8),"Ditch plug, roach, diversion berms, silt fence and erosion.",21.84,"Banks are stable. Fibre matting on each bank is in excellent shape. Cross-sectional stream profile matches the natural profile. No drop in the bed elevation on both the up and downstream ends. Spruce planted, willow stakes planted in the riparian area. West Sid slope: Ditch plug failed. Roach too high. Diversion berms not constructed properly. Silt fencing not working. East Side slope: Diversion berms not constructed properly. Rill erosion present. Silt fence not working properly.",Work to be completed winter 2015/2016,"Reslope, repair ditch plug and berms, spread roach, fix silt fence, mitigate erosion. Monitor in 2016.",,,
SE 01-096-04W6,Forested Upland,Low Vegetation Establishment,21.83 to 22.09,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 01-096-04W6,Forested Lowland,High Vegetation Establishment,22.09 to 22.10,High vegetation establishment observed on the majority of this section of the right-of-way.,Complete,None,,,
SE 01-096-04W6,Forested Upland,Low Vegetation Establishment,22.10 to 22.27,Low vegetation establishment observed on the majority of this section of the right-of-way. Drainage influenced by Chinchaga Road. Monitor for erosion until stable.,Monitor,Monitor in 2016.,,,
SE 01-096-04W6,Forested Upland,Rollback,22.15 to 22.23,Access control. Planted white spruce present.,Complete,None,,,
SE 01-096-04W6,Forested Upland,Habitat Restoration,22.11 to 22.15 22.23 to 22.27,Planted white spruce present.,Monitor,Monitor in 2016.,,,
SE 01-096-04W6,Forested Lowland,Low Vegetation Establishment,22.27 to 22.40,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
,,Habitat Restoration,22.27 to 22.40,Planted white spruce present.,Monitor,Monitor in 2016.,,,
SW 01-096-04W6,Forested Lowland,Low Vegetation Establishment,22.40 to 23.40,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SW 01-096-04W6,Forested Lowland,Erosion,23.20,Erosion occurring across right-of-way. Diversion berm require repair.,Work to be completed winter 2015/2016,Monitor in 2016.,,,
SW 01-096-04W6,Forested Lowland,Habitat Restoration,22.86 to 22.94,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 01-096-04W6,Forested Lowland,Habitat Restoration,22.94 to 23.05,Planted white spruce present.,Monitor,Monitor in 2016.,,,
SE 02-096-04W6,Forested Lowland,Low Vegetation Establishment,23.40 to 23.48,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 02-096-04W6,Forested Lowland,Habitat Restoration,23.43 to 23.54,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NE 02-096-04W6,Forested Lowland,High Vegetation Establishment,23.48 to 23.55,High vegetation establishment observed on the majority of this section of the right-of-way.,Complete,None,,,
NE 02-096-04W6,Unnamed Tributary to Midget Creek (CH8.5),"Roach Height, Diversion Berms & Silt fence",23.56,"Banks are stable. Fibre matting on each bank is in excellent shape. No drop in the bed elevation on both the up and downstream ends. Spruce planted, willow stakes planted in the riparian area. West Side: Roach is too high precluding natural drainage across the right-of-way. Diversion berms do not move water off right-of-way. East Side: Silt fence not functional.",Work to be completed winter 2015/2016,West Side: Take out roach. Grade to move water from pipeline to bush. Install diversion berms. East Side: Remove silt fencing.  Monitor in 2016.,,,
NE 02-096-04W6,Forested Upland,Low Vegetation Establishment,23.57 to 24.10,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NE 02-096-04W6,Forested Upland,Habitat Restoration,23.57 to 23.59,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NE 02-096-04W6,Forested Upland,Habitat Restoration,23.59 to 23.84 23.89 to 24.10,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NE 02-096-04W6,Forested Upland,Line of Sight Break,23.84 to 23.89,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NE 02-096-04W6,Forested Lowland,Low Vegetation Establishment,24.10 to 24.37,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NE 02-096-04W6,Forested Lowland,Water ponding,24.10,Water ponding on worksite and screw anchor holes.,Work to be completed winter 2015/2016,Re-establish cross drainage.  Monitor in 2016.,,,
NE 02-096-04W6,Forested Lowland,Line of Sight Break,24.31 to 24.37,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NE 02-096-04W6,Forested Lowland,Habitat Restoration,24.10 to 24.17,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NW 02-096-04W6,Forested Upland,Low Vegetation Establishment,24.37 to 24.52,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NW 02-096-04W6,Forested Upland,Habitat Restoration,24.37 to 24.52,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
,Forested Lowland,Low Vegetation Establishment,24.52 to 24.57,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
,Forested Upland,Low Vegetation Establishment,24.57 to 24.92,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
,Forested Upland,Rollback,24.82 to 24.92,Access control. Planted lodgepole pine present.,Complete,None,,,
,Forested Upland,Habitat Restoration,24.67 to 24.82,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 11-096-04W6,Forested Upland,Low Vegetation Establishment,24.92 to 24.99,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SW 11-096-04W6,Forested Upland,Habitat Restoration,24.92 to 24.98,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 11-096-04W6,Unnamed Tributary to Midget Creek (CH9),None,25.02,"Banks are stable. Fibre matting on each bank is in excellent shape. No drop in the bed elevation on both the up and downstream ends. Spruce planted, willow stakes planted in the riparian area. Originally listed as main water course, changed to ephemeral during construction. No issues on the approach.",Complete,None,,,
SW 11-096-04W6,Forested Upland,Low Vegetation Establishment,25.02 to 25.10,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SW 11-096-04W6,Forested Upland,Habitat Restoration,25.01 to 25.10,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 11-096-04W6,Forested Upland,Noxious Weeds,25.00 to 25.10,Clusters of scentless chamomile observed on right-of-way.,Monitor,Monitor for scentless chamomile growth in 2016 and control if required.,,,
SW 11-096-04W6,Treed Swamp,None,25.10 to 25.25,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
SW 11-096-04W6,Treed Swamp,Noxious Weeds,25.10 to 25.25,Clusters of scentless chamomile observed on right-of-way.,Monitor,Monitor for scentless chamomile growth in 2016 and control if required.,,,
SW 11-096-04W6,Treed Swamp,Habitat Restoration,25.10 to 25.18 25.21 to 25.25,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 11-096-04W6,Unnamed Tributary to Midget Creek (CH9.25),"Silt Fence, Contours, Roach and Erosion",25.25,"Banks are stable. Fibre matting on each bank is in excellent shape. Cross-sectional stream profile matches the natural channel. No drop in the bed elevation on both the up and downstream ends. Spruce planted, willow stakes planted in the riparian area. East Side: Silt fence on south side is working. Silt fence on north side is not working properly. West Side: Contours not working properly. Roach is too high precluding natural drainage across the right-of-way.",Work to be completed winter 2015/2016,"Both the east and west side approaches need to be re-done to correct the roach, grade, contours, diversion berms and silt fencing.  Monitor in 2016.",,,
,Forested Upland,Low Vegetation Establishment,25.25 to 25.35,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
,Forested Upland,Noxious weeds,25.25 to 25.35,Clusters of scentless chamomile observed on right-of-way.,Monitor,Monitor for scentless chamomile growth in 2016 and control if required.,,,
SE 10-096-04W6,Forested Upland,Mounding,25.33 to 25.45,Access control. Planted white spruce present.,Complete,None,,,
SE 10-096-04W6,Forested Upland,Line of Sight Break,25.28 to 25.30,Vegetation retention.,Complete,None,,,
SE 10-096-04W6,Forested Upland,Habitat Restoration,25.30 to 25.33,Planted white spruce present.,Monitor,Monitor in 2016.,,,
SE 10-096-04W6,Treed Swamp,None,25.35 to 25.99,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
SE 10-096-04W6,Treed Swamp,Mounding,23.35,Access control. Planted black spruce present.,Complete,None,,,
SE 10-096-04W6,Treed Swamp,Habitat Restoration,25.49 to 25.62 25.65 to 25.76,Planted black spruce present.,Monitor,Monitor in 2016.,,,
SE 10-096-04W6,Unnamed Tributary to Midget Creek (CH9.5),Roach and Erosion,25.68,"Banks are stable. Fibre matting on each bank is in excellent shape. Cross-sectional stream profile matches the natural channel. No drop in the bed elevation on both the up and downstream ends. Spruce planted, willow stakes planted in the riparian area (Appendix B Plate 6). East and West Side: Roach is too high precluding natural drainage across the right-of-way. Erosion on entire right-of-way.",Work to be done winter 2015/2016,"Both the east and west side approaches need to be re-done to correct the roach, grade, contours, diversion berms and silt fencing. Monitor in 2016.",,,
SE 10-096-04W6,Forested Lowland,Low Vegetation Establishment,25.99 to 26.00,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 10-096-04W6,Treed Swamp,None,26.00 to 26.37,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
SE 10-096-04W6,Treed Swamp,Habitat Restoration,26.04 to 26.20,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW-10-096-04-W6,Treed Swamp,None,26.37 to 26.45,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre- construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
,,Line of Sight Break,26.39 to 26.44,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
,,Habitat Restoration,26.37 to 26.39,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NW 10-096-04W6,Treed Swamp,None,26.45 to 26.80,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NW 10-096-04W6,Treed Swamp,Habitat Restoration,26.44 to 26.60,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NW 10-096-04W6,Treed Swamp,Habitat Restoration,26.75 to 26.80,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NW 10-096-04W6,Forested Upland,Low Vegetation Establishment,26.80 to 27.32,High vegetation establishment observed on the majority of this section of the right-of-way.,Complete,None,,,
NW 10-096-04W6,Forested Upland,Line of Sight Break,26.83 to 26.88,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NW 10-096-04W6,Forested Upland,Habitat Restoration,26.80 to 26.83 26.88 to 27.32,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NE 09-096-04W6,Forested Upland,Low Vegetation Establishment,27.32 to 27.65,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NE 09-096-04W6,Forested Upland,Habitat Restoration,27.32 to 27.65,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NE 09-096-04W6,Shrubby Fen,None,27.65 to 27.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NE 09-096-04W6,Shrubby Fen,Habitat Restoration,27.65 to 27.80,Planted black spruce present.,Monitor,Monitor in 2016.,,,
NE 09-096-04W6,Shrubby Fen,Habitat Restoration,27.80 to 27.90,Planted black spruce present.,Monitor,Monitor in 2016.,,,
SE 16-096-04W6,Shrubby Fen,None,27.90 to 28.10,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
,,Habitat Restoration,27.80 to 27.93 27.98 to 28.07,Planted black spruce present.,Monitor,Monitor in 2016.,,,
,,Habitat Restoration,27.93 to 27.98,Planted white spruce present.,Monitor,Monitor in 2016.,,,
,,Habitat Restoration,28.07 to 28.10,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
,Forested Upland,Low Vegetation Establishment,28.10 to 28.28,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
,Forested Upland,Line of Sight Break,25.25 to 28.30,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
,Forested Upland,Habitat Restoration,28.1 to 28.25,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 16-096-04W6,Forested Upland,Low Vegetation Establishment,28.28 to 29.10,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SW 16-096-04W6,Forested Upland,Line of Sight Break,29.04 to 29.09,Planted lodgepole pine present.,Monitor,,,,
SW 16-096-04W6,Forested Upland,Habitat Restoration,28.30 to 29.04,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SE 17-096-04W5,Forested Upland,Low Vegetation Establishment,29.10 to 29.65,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 17-096-04W5,Forested Upland,Erosion,29.20,Erosion occurring across the right-of-way through ephemeral draw.,Monitor,Control the erosion by re-contouring and planting willow stakes.  Monitor in 2016.,,,
SE 17-096-04W5,Forested Upland,Habitat Restoration,29.08 to 29.29,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SE 17-096-04W5,Forested Lowland,Low Vegetation Establishment,29.65 to 30.02,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 17-096-04W5,Forested Lowland,Habitat Restoration,29.66 to 30.02,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 17-096-04W6,Forested Upland,Low Vegetation Establishment,30.02 to 30.15,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SW 17-096-04W6,Forested Upland,Habitat Restoration,30.02 to 30.11 30.16 to 30.20,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SW 17-096-04W6,Forested Upland,Habitat Restoration,30.11 to 30.13 30.14 to 30.16,Planted white spruce present.,Monitor,Monitor in 2016.,,,
SW 17-096-04W6,Midget Creek (CH100),"Silt Fence, Contours Roach and Erosion",30.20,"Banks are stable. Fibre matting on each bank is in excellent shape. Cross-sectional stream profile matches the natural channel. No drop in the bed elevation on both the up and downstream ends. Spruce planted, willow stakes planted in the riparian area. East Side: Roach is too high precluding natural drainage across the right-of-way. All three diversion berms are functioning properly. West Side: diversion berms are poorly constructed with limited to negative cross slope causing water to pond in ditch line. Diversion berms are not tied into undisturbed areas adjacent to the right-of-way. Silt fence not working properly.",Work to be completed winter 2015/2016,"East Side: Grade the roach to reduce the height and contour with the right-of-way. West Side: Recontour the approach, reduce the roach, construct diversion ditches at 3% grades and tie them into the edge of the right-of-way, and replace the silt fencing.  Monitor in 2016.",,,
,Forested Upland,Moderate Vegetation Cover,30.15 to 30.20,Moderate vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Forested Lowland,Low Vegetation Cover,30.21 to 30.32,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Forested Lowland,Habitat Restoration,30.21 to 30.32,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Treed Fen,None,30.32 to 30.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Treed Fen,Habitat Restoration,30.32 to 30.40,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Shrubby Fen,None,30.40 to 30.85,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Shrubby Fen,Rollback,30.47 to 30.57,Access control. Planted lodgepole pine present.,Complete,None,,,
NW 17-096-04W6,Shrubby Fen,Noxious Weeds,30.60,Cluster of scentless chamomile on right-of-way.,Monitor,Monitor for scentless chamomile growth in 2016 and control if required.,,,
NW 17-096-04W6,Shrubby Fen,Line of Sight Break,30.75 to 30.76,Vegetation retention.,Complete,None,,,
NW 17-096-04W6,Shrubby Fen,Habitat Restoration,30.40 to 30.47 30.57 to 30.67,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Forested Lowland,Low Vegetation Establishment,30.85 to 30.87,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NW 17-096-04W6,Forested Lowland,Line of Sight Break,30.85 to 30.86,Vegetation retention.,Complete,None,,,
NW 17-096-04W6,Shrubby Fen,None,30.87 to 31.29,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
,,Habitat Restoration,31.00 to 31.29,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NE 18-096-04W6,Unnamed Tributary to Midget Creek (CH101),"Ditch plugs, diversion berms, ponding water, saturated soil, and silt fence.",31.30,"Banks are stable. Fibre matting on each bank is in excellent shape. Cross-sectional stream profile matches the natural channel. No drop in the bed elevation on both the up and downstream ends. Spruce planted, willow stakes planted in the riparian area. East and West Side: Ditch plugs not working, diversion berms not sloped properly, water ponding, soil remains saturated, silt fence not working properly.",Work to be completed winter 2015/2016,East and West Side: Re-do both approaches from the top of the breaks to the riparian area.  Monitor in 2016.,,,
NE 18-096-04W6,Treed Fen,None,31.31 to 31.82,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NE 18-096-04W6,Treed Fen,Mounding,31.38 to 31.45,Access control. Planted black spruce present.,Complete,None,,,
NE 18-096-04W6,Treed Fen,Habitat Restoration,31.32 to 31.36,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
NE 18-096-04W6,Forested Lowland,Low Vegetation Establishment,31.82 to 31.84,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NE 18-096-04W6,Treed Fen,None,31.84 to 31.98,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NE 18-096-04W6,Shrubby Fen,None,31.98 to 32.19,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NE 18-096-04W6,Treed Fen,None,32.19 to 32.21,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Treed Fen,None,32.21 to 32.28,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Shrubby Fen,None,32.28 to 32.70,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Shrubby Fen,Mounding,32.44 to 32.53,Access control (Appendix B Plate 7). Planted black spruce present.,Complete,None,,,
NW 18-096-04W6,Shrubby Fen,Noxious Weeds,32.60 to 32.80,Cluster of scentless chamomile on right-of-way,Monitor,Monitor for scentless chamomile growth in 2016 and control if required.,,,
NW 18-096-04W6,Shrubby Fen,Line of Sight Break,32.62 to 32.70,Vegetation retention.,Complete,None,,,
NW 18-096-04W6,Shrubby Fen,Habitat Restoration,32.53 to 32.62 32.66 to 32.70,Planted black spruce present.,Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Forested Upland,Low Vegetation Establishment,32.70 to 33.72,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Forested Upland,Habitat Restoration,32.70 to 32.71,Planted black spruce present.,Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Shrubby Fen,None,32.72 to 32.89,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.",Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Shrubby Fen,Mounding,32.71 to 32.79,Access control. Planted black spruce present,Complete,None,,,
NW 18-096-04W6,Forested Upland,Low Vegetation Establishment,32.89 to 33.07,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NW 18-096-04W6,Forested Upland,Erosion,33.00,Erosion occurring around the roach.,Work to be completed 2015/2016,Install erosion control measures. Mitigation scheduled for winter 2015/2016. Monitor in 2016.,,,
,,Habitat Restoration,33.00 to 33.06,Planted white spruce present.,Monitor,Monitor in 2016.,,,
NE 13-096-05W6,Forested Upland,Low/Moderate Vegetation Establishment,33.07 to 33.28,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
,,Habitat Restoration,33.06 to 31.28,Planted lodgepole pine present.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Slurry pits,N/A,Two slurry pits. Significant subsidence.,Work to be completed 2015/2016,Monitor 2016.,,,Off Right-of-Way Results
NW 28-095-03W6,Forested Transition from Lowland to Upland,Rare plant (shaded cladonia),N/A  (off of right-of-way at KP 17.02),"CU01 – Location, off right-of-way, identified and observed August 3, 2015; species located on along decayed tree. CU04 – Location, off right-of-way, identified and observed and remains intact; species not found. August 3, 2015 CU05 - Location, off right-of-way, identified and observed August 3, 2015; species located on base of will shrub.",Complete,None,,,Off Right-of-Way Results
NE 18-096-04W6,Forested Upland,Rare plant (silky fork moss),N/A  (off of right of way at KP 30.15),"DH03 – Location, off right-of-way, identified and observed August 3, 2015; species located on fallen decaying tree along creek bank. DH04 – Location, off right-of-way, identified and observed August 3, 2015; species located on fallen decaying tree along creek bank DH05 – Location, off right-of-way, identified and observed August 3, 2015; species located on fallen decaying tree along creek bank.",Complete,None,,,Off Right-of-Way Results
