Legal Location,2013 Issue/Condition,2013 PCMP Recommendation(s),2014 PCRM Assessment and Work Completed,2014 Recommendations,VEC,GIS,Topic
94I-14-E11,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing healthy re-establishment",Monitor in 2015.,,,
94I-14-E11,Watercourse crossing: Lichen Creek,Monitor in 2014 for vegetation establishment and erosion. Implement further erosion control measures if conditions do not improve in 2014.,"September 19, 2014 - Silt fence needs to be removed at KP 50+300 and 50+600 Vegetation showing healthy to re-establishment",Monitor in 2015.,,,
94I-14-E11,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 50+300 to KP 50+500 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent and submergent riparian vegetation throughout. • Channelized flow present along ditchline, draining across RoW.",Monitor in 2015.,,,
94I-14-F20,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing healthy re-establishment",Monitor in 2015.,,,
,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 51+000 to KP 51+630 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-14-F10,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW",Monitor in 2015.,,,
94I-14-F10,Treed bog,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 53+590 to KP 54+050 is well drained and holding water at time of assessment.  • Wetland is establishing emergent and submergent riparian vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-14-F10,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 54+050 to KP 55+200 is well drained and holding water at time of assessment.  • Wetland is establishing emergent and submergent riparian vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-14-F9,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW",Monitor in 2015.,,,
94I-14-F8,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW",Monitor in 2015.,,,
94I-14-C98,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW",Monitor in 2015.,,,
94I-14-C87,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW",Monitor in 2015.,,,
94I-14-C86,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Silt fence can be removed at 55+500, healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline",Monitor in 2015.,,,
94I-14-C86,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 55+480 to KP 55+580 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Channelized flow present along ditchline, draining across RoW.",Monitor in 2015.,,,
94I-14-C86,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 56+250 to KP 58+800 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-14-C76,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline",Monitor in 2015.,,,
94I-14-C75,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline",Monitor in 2015.,,,
94I-14-C65,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Silt fence can be removed at KP 57+500 healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline",Monitor in 2015.,,,
94I-14-C65,Unnamed tributary to Metlahdoa Creek,No further monitoring is recommended.,No issues noted,Monitor in 2015.,,,
94I-14-C55,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline",Monitor in 2015.,,,
94I-14-C45,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline",Monitor in 2015.,,,
94I-14-C44,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline",Monitor in 2015.,,,
94I-14-C34,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species. Willow (10%) and Raspberry (20%) are present across the ROW. One juvenile scentless chamomile plant was observed at KP 60+600 picked and bagged, no other issues.",Monitor in 2015.,,,
94I-14-C24,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 Wetland located from KP 61+000 to KP 61+300 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent riparian vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-14-C24,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy re-establishment, grass species, willow, wild rose, alder no issues (20% cover ditchline, 80-90% ROW), no issues",Monitor in 2015.,,,
94I-14-C14,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy re-establishment, grass species, willow, wild rose, alder no issues (20% cover ditchline, 80-90% ROW), no issues",Monitor in 2015.,,,
94I-14-C4,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Silt fence at KP 62+800 can be removed, vegetation showing healthy establishment, although sweet clover is dominate species with areas of raspberry and wild rose starting to fill in the edges of the ROW (30% cover ditchline, 50 % ROW)",Monitor in 2015.,,,
94I-11-K94,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues.",Monitor in 2015.,,,
94I-11-K84,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues.",Monitor in 2015.,,,
94I-11-K84,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 61+000 to KP 61+300 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent riparian vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K74,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Vegetation showing healthy establishment, although sweet clover is the dominate species over ditchline with 40% cover, 90% on ROW with sweet clover, willow, popular, raspberry and wild rose, no issues.",Monitor in 2015.,,,
94I-11-K74,Treed bog,Monitor vegetation establishment in 2014.,• Wetland located from KP 65+500 to KP 65+650 and KP 65+800 to KP 66+000 are well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.,Monitor in 2015.,,,
94I-11-K73,Treed bog,Monitor vegetation establishment in 2014.,• Wetland located from KP 65+800 to KP 66+000 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.,Monitor in 2015.,,,
94I-11-K73,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Sow Thistle observed at KP 66+800 to 67+100 approx. 200 plants, recommend spraying 2015. Vegetation showing healthy variety of species willow. Wild rose and alder (20-30% cover ditchline, 80% ROW",Monitor in 2015.,,,
94I-11-K73,Treed swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 66+620 to KP 66+670 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K63,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Sow Thistle observed at KP 66+800 to 67+100 approx. 200 plants, recommend spraying 2015. Vegetation showing healthy variety of species willow. Wild rose and alder (20-30% cover ditchline, 80% ROW",Monitor in 2015.,,,
94I-11-K63,Shrubby swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 66+900 to KP 66+920 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K64,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 20, 2014 - Silt fence at KP 67+850 can be removed, healthy establishment of grass species, raspberry, willows and alder (20 % ditchline, 60% ROW), no issues",Monitor in 2015.,,,
94I-11-K64,Shrubby swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 67+400 to KP 67+450 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
,Rare plant,Unresolved. Revisit in 2015.,"Resolved, mitigation successful. No further monitoring is recommended.",No further monitoring required.,,,
,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 67+600 to KP 67+750 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
,Shrubby fen,Monitor vegetation establishment in 2014.,• Wetland located from KP 67+800 to KP 67+830 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.,Monitor in 2015.,,,
94I-11-K54,High vegetation establishment,None.,"September 20, 2014 - This section of the ROW is 90% sweet clover and noxious weeds, scentless chamomile at KP 69+300 (20x20 m area consisting of approx.. 20 mature plants, Sow thistle from KP 70+200 to 72.2 recommend spraying 2015",Monitor in 2015.,,,
94I-11-K54,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 68+900 to KP 69+200 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K44,High vegetation establishment,None.,"September 20, 2014 - This section of the ROW is 90% sweet clover and noxious weeds, scentless chamomile at KP 69+300 (20x20 m area consisting of approx.. 20 mature plants, Sow thistle from KP 70+200 to 72.2 recommend spraying 2015",Monitor in 2015.,,,
94I-11-K44,Shrubby swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 69+300 to KP 69+350 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K44,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 69+780 to KP 70+150 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K34,High vegetation establishment,None.,"September 20, 2014 - This section of the ROW is 90% sweet clover and noxious weeds, Sow Thistle from KP 70+200 to 72+200 recommend spraying 2015",Monitor in 2015.,,,
94I-11-K35,High vegetation establishment,None.,"September 20, 2014 - This section of the ROW is 90% sweet clover and noxious weeds, Sow Thistle from KP 70+200 to 72+200 recommend spraying 2015",Monitor in 2015.,,,
94I-11-K35,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 - Wetland located from KP 70+880 to KP 71+100 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K25,High vegetation establishment,None.,"September 20, 2014 - This section of the ROW is 90% sweet clover and noxious weeds, Sow Thistle from KP 70+200 to 72+200 recommend spraying 2015",Monitor in 2015.,,,
,Treed swamp,Monitor vegetation establishment in 2014.,"September 20, 2014 -Wetland located from KP 71+280 to KP 71+380 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
,Treed bog,Monitor vegetation establishment in 2014.,"September 20, 2014 Wetland located from KP 71+380 to KP 71+480 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.",Monitor in 2015.,,,
94I-11-K26,High vegetation establishment,None.,"September 20, 2014 - This section of the ROW is 90% sweet clover and noxious weeds, Sow Thistle from KP 70+200 to 72+200 recommend spraying 2015",Monitor in 2015.,,,
