Alignment Sheet#,Approx. KP,Legal Location,Land Use,Environmental Issues,"AMEC PCEM Observations, 2013","Enbridge Environmental Inspector (EI) Observations, 2013","AMEC PCEM Observations, 2014","Enbridge Environmental Inspector (EI) Observations, 2014",Repairs to date,Status                  (Resolved/            Unresolved),Recommended Mitigation Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
13,43+840 to 43+920,SW 4-5-1 W2,wetland,"vegetation establishment, rutting","August 2013: Minor disturbances, including bare soils and rutting issues, but some vegetation has begun to establish within the disturbed areas.",,,,None recommended,unresolved,Continue wetland health and function monitoring,,,
13,43+850,SW 4-5-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
13,43+900,SW-4-5-1-W2M,crop,weeds,No issue identified on shoofly,,,,None recommended,resolved,,,,
13,44+200,SW 4-5-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
14,44+300,SW 4-5-1 W2,crop,"subsidence, admixing",No issue identified.,Line crossing subsidence and soil mixing.  EI comment in 2013 that subsidence and mixing still present.,"August 2014: Crop present, cannot see any effect on crop.  No issue identified.",,None recommended,resolved,,,,
14,44+450,SW 4-5-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
14,44+900,NE 4-5-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
14,45+000,NE 4-5-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
14,45+100,NE 4-5-1 W2,crop,admixing,"August 2013: Field has been sprayed, but there was poor growth prior to chemical application.  Surface soil light in colour possibly due to exposed subsoil",,No issue identified.,,Seeded to winter wheat in winter 2013,resolved,,,,
14,47+050,SW 10-5-1 W2 / SE 10-5-1 W2,hayland,vegetation establishment,"August 2013: Off RoW clearly planted to alfalfa.  Field has been swathed and baled, so cannot distinguish species present",,,"Broadcasted seed in areas where no alfalfa establishment, harrowed and rolled area. August 2014",Reseeded in late 2013; reseeded in 2014,unresolved,Monitor,,,
14,47+160 to 47+715,SE 10-5-1 W2,crop,stressed vegetation,"August 2013: Narrow (1 m) linear issue: vegetation clearly impacted (0.4 m vs. 0.8 m wheat located 2 m away), but not sure what to attribute it to.  Crop still growing, just not as vigorous.",,"August 2014: Same issue present.  Narrow linear issue affecting crop height, but not crop vigour (yield appears same).",,None recommended,unresolved,Monitor,,,
14,47+300,SE 10-5-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
15,48+000,SW 11-5-1 W2,native grassland,weeds,"August 2013: No noxious weeds at this location, nuisance species on- and off-RoW.",,August 2014: Yellow sweet clover infestation.,Yellow Sweet clover on and off RoW.  desirable species establishing on RoW. August 2014,"Mowed Oct 6, 2013",unresolved,Mow and bag; monitor,,,
15,48+000,SW 11-5-1 W2,watercourse crossing (Auburnton Creek),silt fence,"August 2013: Temporary ESC measures (e.g., silt fences) that are no longer required. August 2013.",Auburnton Creek - good condition - remove silt fence,"May 2014: Temporary ESC measures (e.g., silt fences) was removed but the trench the fence had been installed in has not been backfilled.",Backfilled trench - August 2014,Silt Fence removed. 2013. Backfilled trench August 2014,resolved,,,,
15,48+200,SW 11-5-1 W2,native grassland,contouring,No issue identified.,Subsoil on spoil side of RoW on vegetated topsoil,No issue identified.,,Recontoured late 2013,resolved,,,,
15,48+300,SW 11-5-1 W2,native grassland,"seed mix, rutting","August 2013: Documents state native prairie seed mix was planted, but seed mix appears more like the Viterra seed mix (timothy, alfalfa, brome present in RoW but not off RoW).",,"August 2014: Area was to be cultivated and re-seeded, has not been done.  Some rutting on the RoW.",Strong vegetation establishment. Would do more harm by re-disturbing area due to wet conditions and establishing species. September 2014,,unresolved,"Overseed with native grass mix, monitor",,,
15,48+350,SW 11-5-1 W2,native grassland,contouring,"August 2013: Obvious ridge along north edge of the RoW, topography was not tied in properly to existing topography",,No issue identified.,,Recontoured 2013,resolved,,,,
15,48+400,SW 11-5-1 W2,native grassland,rutting,No issue identified.,Tractor ruts from landowner,,,None recommended,resolved,,,,
15,48+700,NW 11-5-1 W2,native grassland,"ponding water, debris",No issue identified.,Surface water and woody debris,,,Removed in  June 2013,resolved,,,,
15,49+850,NE 11-5-1 W2,native grassland,debris,No issue identified.,Garbage and spoil on grass,,,Removed in  June 2013,resolved,,,,
15,50+000,NW 12-5-1 W2,native grassland,debris,No issue identified.,Garbage and spoil on grass,,,Recontoured 2013,resolved,,,,
15,50+190,NW 12-5-1 W2,native grassland,"subsoil, establishment","August 2013: Gravelly subsoil at surface, poor to no growth in area",,No issue identified.,,None recommended,resolved,,,,
15,50+250,NW 12-5-1 W2,native grassland,"contouring, weeds","August 2013: Obvious ridge along north edge of the RoW, topography was not tied in properly to existing topography.  RoW weedy, but native prairie seed mix species present.",,"August 2014: Ridge resolved, but possibly some compaction under the area where the ridge was.",Mulched weeds to allow desirable species to establish within poor growth areas. September 2014,Mowed area September 2014,unresolved,Monitor,,,
15,50+300,NW 12-5-1 W2,native grassland,debris,No issue identified.,Garbage and spoil on grass,,,Cleaned and recontoured in 2013,resolved,,,,
15,50+980 to 51+150,SE 13-5-1 W2,crop,subsidence,"August 2013: Minor subsidence in crop field, expressed as two parallel cracks with a maximum depth of 0.1 m",,No issue identified.,,None recommended,resolved,,,,
16,51+200,SE 13-5-1 W2,crop,rutting,No issue identified.,Shoofly - ruts,,,"Recontoured, 2013",resolved,,,,
16,51+700,SE 13-5-1 W2,crop,"debris, daylighting hole",No issue identified.,Open daylight holes and garbage,,,"Backfilled, 2013",resolved,,,,
16,51+700,SE 13-5-1 W2,crop,rutting,No issue identified.,Shoofly - ruts,,,"Recontoured, 2013",resolved,,,,
16,51+900,SE 16-5-34 W1,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
16,52+000,SE 16-5-34 W1,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
16,52+300,SW 15-5-34 W1,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
16,52+720 to 52+930,SW 15-5-34 W1,wetland,riparian woody vegetation,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,,,Consider restoration of woody riparian vegetation if results of wetland health and function is not restored following 2016 assessment,unresolved,Continue wetland health and function monitoring,,,
16,52+750,SW 15-5-34 W1,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
16,53+700,NE 15-5-34 W1,crop,"silt fence, rutting",No issue identified.,Remove silt fence- tractor ruts from seeding,,,"Silt fence removed, June 2013",resolved,,,,
16,54+250,NW 14-5-34 W1,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
16,54+580 to 54+610,NW 14-5-34 W1,wetland,riparian woody vegetation,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,,,Consider restoration of woody riparian vegetation if results of wetland health and function is not restored following 2016 assessment,unresolved,Continue wetland health and function monitoring,,,
17,55+600 to 55+800,NW 14-5-34 W1 / NE 14-5-34 W1,crop,stressed vegetation,"August 2013: Pea crop exhibiting suppressed growth (chlorotic, necrotic, decreased height), extends throughout crop along RoW",,August 2014: Crop not exhibiting any chlorosis or necrosis.  No issue identified.,,None recommended,resolved,,,,
17,56+150,NW 13-5-34 W1,modified grass,weeds,August 2013: False ragweed infestation.,,No issue identified.,,None recommended,resolved,,,,
17,56+200 to 56+900,NW 13-5-34 W1 / NE 13 -5-34 W1,modified grass,seed mix,"August 2013: The ""Surerus / Enbridge Bakken Seeding Requirements"" tracking document states native prairie seed mix was planted, but seed mix contains alfalfa and brome spp.  Difficult to correctly identify because area has been grazed.  Off RoW does contain some alfalfa.",,,,"Seed mix initially identified as incorrect, but it has been verified that this area was not to be native grassland   (Native Grassland Restoration Plan, Bakken Pipeline Project Canada - Bakken Pipeline, Matrix Solutions, September 2012)",resolved,,,,
17,56+690,NE 13-5-34 W1,modified grass,"subsidence, contouring",August 2013: Subsidence (2.2 m x 2.8 m).,Subsidence on line crossing. Snow pushed in winter made small topsoil piles,No issue identified.,,Recontoured in 2013,resolved,,,,
17,56+840,NE 13-5-34 W1,watercourse crossing (Antler River),rare plant,"Viola pedifida, Lillium philadelphicum  not detected",,"Viola pedifida, Lillium philadelphicum  not detected",,None recommended,unresolved,Monitor,,,
17,56+900,NE 13-5-34 W1,watercourse crossing (Antler River),"fence, markers, silt fence","August 2013: The cattle exclusion fence has been damaged by cattle on the northwest side of the crossing and cattle have entered and re-disturbed the RoW. The pipeline marker post on the west side of the crossing was knocked over. Temporary ESC measures (e.g., silt fences) that are no longer required should be removed.",Antler Creek - North boundary fence needs to be fixed. Remove silt fence,May 2014: The broken cattle exclusion fence was removed; no new fence was installed to replace the missing section.,Landowner does not want fence. Continues to remove fence after being fixed August 2014,"Exclusion fence fixed, reinstalled missing fence post.  Pipeline post re-erected.  Silt fence removed (EI)",unresolved,Monitor,,,
17,57+000 to 57+200,NE 13-5-34 W1 / NW 18-5-33 W1,modified grass,vegetation establishment,August 2013: Limited growth compared to rest of RoW due to  grazing on RoW Desired species present.,,"August 2014: Some foxtail barley (nuisance) present, but desired species present (growth not inhibited)",,None recommended,resolved,,,,
18,58+000,NW 18-5-33 W1,crop,"subsidence, debris",No issue identified.,Subsidence and garbage at line crossing,,,Cleaned up in spring and recontoured in fall 2013,resolved,,,,
18,58+380,NE 18-5-33 W1,crop,subsidence,"August 2013: Minor subsidence in crop field, expressed as large cracks and minor slumping, approximately 50 m long",,No issue identified.,,None recommended,resolved,,,,
18,58+850,NW 17-5-33 W1,crop,debris,No issue identified.,Mat debris,,,"Removed debris, June 2014",resolved,,,,
18,59+250,NW 17-5-33 W1,crop,rare plant,Lillium philadelphicum  not detected,,Lillium philadelphicum  not detected,,None recommended,unresolved,Monitor,,,
18,59+550,NW 17-5-33 W1,crop,debris,No issue identified.,Lathe and garbage on RoW,,,"Removed debris, June 2013",resolved,,,,
18,59+600,SW 20-5-33 W1,crop,"debris, weeds",No issues identified.,Mat debris,No issue identified.,,"Removed debris, June 2013",resolved,,,,
18,59+850,SW 20-5-33 W1,crop,"debris, daylighting hole, silt fence",No issue identified.,Mat debris and four open daylight holes. Remove silt fence.  Follow up review by EI identified same issue remaining.,No issue identified.,,"Cleaned up, June 2013",resolved,,,,
18,59+900 to 59+970,SW 20-5-33 W1,wetland,weeds,No issue identified at weed cleaning station,,,,None recommended,resolved,,,,
18,59+900 to 59+970,SW 20-5-33 W1,wetland,"vegetation establishment, rutting","August 2013: Minor disturbances, including bare soils and rutting issues, but some vegetation has begun to establish within the disturbed areas.",,,Poor crop density (crop within the wetland/wet area). Crop is established within area. September 2014,Rutting and bare soil cultivated over by landowner,unresolved,Continue wetland health and function monitoring,,,
18,60+630,SE 20-5-33 W1,crop,"contouring, admixing, subsidence","August 2013: Poor contouring in area, some subsidence.  Poor growth as a result of admixing or subsoil on surface",,No issue identified.,,Cultivated in summer 2013,resolved,,,,
18,60+820 to 60+900,SW 21-5-33 W1,wetland,"vegetation establishment, rutting","August 2013: Minor disturbances, including bare soils and rutting issues, but some vegetation has begun to establish within the disturbed areas.",,,"Wetland extended, can't identify any issues - September 2014",None recommended,unresolved,Continue wetland health and function monitoring,,,
18,60+850,SW 21-5-33 W1,crop,"silt fence, debris",No issue identified.,Remove silt fences and mat debris,,,Silt fence and mat removed in 2013,resolved,,,,
18,61+000,SW 21-5-33 W1,crop,weeds,August 2013: On-RoW noxious weeds: Canada thistle (found within wheat crop).  May have been spread from wetland areas where there was a pre-existing problem off the RoW (during topsoil replacement),,No issue identified.,,Landowner resolved,resolved,,,,
18,61+300,SW 21-5-33 W1,crop,"silt fence, debris",No issue identified.,Remove silt fences and mat debris,,,"Silt fence removed, June 2013",resolved,,,,
19,61+600,SE 21-5-33 W1,grassland,debris,No issue identified.,Mat debris,,,Mat removed in 2013,resolved,,,,
19,62+000,SE 21-5-33 W1,crop,"vegetation establishment, stressed vegetation",August 2013: Some bare patches; unsure of cause.  Unsure of how landowner was managing land and timeline of chemical treatments.,,"August 2014: Area appears to have been sprayed (chem fallow), not sure about productivity of land (no crop). Some bare patches.  Unsure of how landowner was managing land and timeline of chemical treatments.",,,unresolved,Monitor,,,
19,62+350,NE 21-5-33 W1,crop,contouring,No issue identified.,Clay on spoil side from snow removal.  EI confirmed issue on follow up in 2013.,,No issues identified - September 2014,None recommended,resolved,,,,
19,62+550,NE 21-5-33 W1,crop,"debris, daylighting hole",,Open daylight holes and garbage,,,"Debris removed, daylight hole re-contoured, 2013",resolved,,,,
19,62+550 to 63+825,NE 21-5-33 W1,crop,topsoil,,,"June 2014: Subsoil at surface, admixing, inhibited plant growth (winter wheat crop).  Integrity dig at location resulted in highly erodible soils at surface.  Topsoil washed off RoW during heavy rains in spring.",Erodible soils at surface due to integrity dig and no vegetation. Topsoil still present September 2014,Integrity(DVCG) dig to happen in November 2014,unresolved,Monitor,,,
19,64+300,SE-28-5-33 W1,crop,rare plant,Lillium philadelphicum  not detected,,Lillium philadelphicum  not detected,,None recommended,unresolved,Monitor,,,
19,64+700,SE-28-5-33 W1,crop,rare plant,Lillium philadelphicum  not detected,,Lillium philadelphicum  not detected,,None recommended,unresolved,Monitor,,,
20,65+600,NW 26-5-33 W1,wetland,silt fence,,,July 2014: Silt fence no longer required/functioning.,Removed silt fence - September 2014,Removed silt fence - September 2014,resolved,,,,
20,65+610,NW 26-5-33 W1,wetland,silt fence,,,July 2014: Silt fence no longer required/functioning.,Removed silt fence - September 2014,Removed silt fence - September 2014,resolved,,,,
20,65+740,NW 26-5-33 W1,wetland,rare plant,Polygala senega  and Lillium philadelphicum  not detected,,Polygala senega  and Lillium philadelphicum  not detected,,None recommended,unresolved,Monitor,,,
20,66+000 to 66+200,NE 26-5-33 W1,crop,weeds,,,Unidentified grassy weed seedlings in cereal crop.,,,unresolved,Monitor later in season in 2015,,,
20,67+000,SE 36-5-33 W1,wetland,debris,,,July 2014: Geotextile debris adjacent to wetland.,Removed debris - September 2014,Removed debris - September 2014,resolved,,,,
20,67+050,SE 36-5-33 W1,wetland,rare plant,Lillium philadelphicum  not detected,,Lillium philadelphicum  not detected,,None recommended,unresolved,Monitor,,,
21,68+300,NE 36-5-33 W1,pasture,daylighting hole,,,June 2014: Daylighting hole off-RoW,Backfilled - September 2014,Backfilled - September 2014,resolved,,,,
21,68+490,NE 36-5-33 W1,crop,erosion,,,"June 2014: Overland erosion of topsoil, exposed subsoil",,"Landowner cultivated, October 2014",resolved,,,,
21,70+730,NE 6-6-32 W1,hayland,vegetation establishment,,,"June 2014: Bare patches, sparse growth, but clearly seeded and desired species present.",,,unresolved,Monitor,,,
22,71+960 to 72+010,SW 8-6-32 W1,wetland,substrate,,,July 2014: Substrate on the pipeline RoW within the wetland observed to be more mineral in composition as compared to off-RoW portions of the wetland.,,None recommended,unresolved,Continue wetland health and function monitoring,,,
22,72+200 to 72+500,SW 8-6-32 W1,crop,weeds,,,"June 2014: Weedy on- and off-RoW.  Noxious weeds: annual sow thistle, Canada thistle",Landowner did not seed within the last 2 years,None recommended,unresolved,Monitor,,,
22,73+650,SE-17-6-32-W1,wetland,rare plant,Lillium philadelphicum  not detected,,Lillium philadelphicum  not detected,,None recommended,unresolved,Monitor,,,
22,73+700,SE-17-6-32-W1,wetland,rare plant,Sysyrinchium campestre  not detected,,Sysyrinchium campestre  not detected,,None recommended,unresolved,Monitor,,,
23,75+895 to 76+150,NE 16-6-32 W1,crop,weeds,,,"June 2014: Weedy RoW.  Noxious weeds: annual sow-thistle, Canada thistle",Cultivated land use,None recommended,unresolved,Monitor,,,
23,77+200,SE 22-6-32 W1,watercourse crossing (tributary to Lightning Creek),"channel profile, vegetation establishment, construction debris, marker","August 2013: Channel widening at the crossing, bare soil is visible under water.  Areas of poor vegetation establishment (e.g., bare soil) were observed on both sides of the crossing. Survey stakes are present. One of the Enbridge pipeline posts is missing.",,"May 2014: Channel widening at the crossing, topsoil and sod appears to have been redistributed over a 20 m by 20 m area on the west side, which was not previously disturbed. In addition, some debris (a sediment bag (west side - in vicinity of RoW), sediment fence pieces, wetland sign, and metal sign stakes) has been left in this area.  Areas of poor vegetation establishment (e.g., bare soil) were observed. One of the Enbridge pipeline posts is leaning and the sign on the east side has fallen over. Silt fence has only been partially removed.","Backfilled silt fence trenches, armoured channel widening with rip rap rock. Picked up sediment bag and other debris on RoW. Fixed broken seclusion fencing. Mowed foxtail and re-seeded area. Marker Posts re-installed. September 2014","Backfilled silt fence trenches, armoured channel widening with rip rap rock. Picked up sediment bag and other debris on RoW. Fixed broken seclusion fencing. Mowed foxtail and re-seeded area. Marker Posts re-installed. September 2014",unresolved,The channel condition should be monitored for channel profile stability.  Monitoring of vegetation re-establishment.,,,
23,77+380,SE 22-6-32 W1,crop,erosion,,,June 2014: Surface drainage channel formed due to topography.  Outlet at tributary to Lightening Creek,"Backfilled with skidsteer - September 2014 Backfilled, September 2014",,unresolved,Monitor,,,
23,77+460,SE 22-6-32 W1,crop,weeds,,,June 2014: Extensive foxtail barley (nuisance).,"Bare RoW, cultivated September 2014",Cultivated in September 2014,resolved,,,,
23,77+750,NE 22-6-32 W1,crop,rutting,,,June 2014: Landowner ruts over pipeline,Landowner created,"Cultivated, September 2014",resolved,,,,
23,77+900 to 78+900,NW 23-6-32 W1,crop,weeds,,,June 2014: Weedy on- and off-RoW.  Noxious weeds: round-leaved mallow,Mowed area and broadcasted Ranchers hay mix seed blend September 2014,Mowed and broadcasted seed. August 2014,unresolved,Monitor,,,
23,79+850 to 79+870,SE 26-6-32 W1,wetland,substrate,,,July 2014: Substrate on the pipeline RoW within the wetland observed to be more mineral in composition as compared to off-RoW portions of the wetland.,,None recommended,unresolved,Continue wetland health and function monitoring,,,
24,81+950,SE 36-6-32 W1,crop,erosion,,,June 2014: Gully erosion at RoW boundary,Landowner weeping tile,,unresolved,Monitor,,,
25,82+600 to 82+730,SW 31-6-31 W1,modified grass,"weeds, subsidence",,"Subsidence issue - re-stripped, recontoured clay, topsoil replacement and re-seeded August 2013","June 2014: Weeds on RoW, no noxious weeds present.   Natural succession occurring along edge of disturbance, including sedges, baltic rush, golden bean.",,Restripped recontoured topsoil replaced and reseeded in August 2013,unresolved,Monitor,,,
25,82+810,NW 31-6-31 W1,watercourse crossing (Lightning Creek),"silt fence, vegetation establishmnent, debris","August 2013: Silt fence on southwest side is no longer required. Silt fence on the northeast side requires maintenance and should remain. A sump or drill entry area, approximately 6 m by 10 m in size, was identified southwest of the crossing. This location is characterized by bare soil with less than 5 % vegetation cover. Survey stakes (location stakes) are present on the northeast side of the crossing.",,May 2014: Area of subsistence noted in 2013 inspections appears to have been re-contoured. Vegetation has not fully re-established.  3m section of barbwire from fence is on ground on east side of crossing.,"Lightning Creek looks very good after flooding. No erosion issues, vegetation establishing","Subsidence resolved and seeded, stakes removed, silt fence removed (2013)",unresolved,Monitor,,,
25,82+950,NW 31-6-31 W1,crop,erosion,,,June 2014: Gully erosion to subsoil.  Originated at tractor ruts and continued downslope.,Landowner created,None recommended,unresolved,Monitor,,,
25,83+650,NE 31-6-31 W1,wetland,wetland drainage,,,June 2014: Drainage of wetlands from higher elevation to lower elevation.,Landowner created,None recommended,unresolved,Continue wetland health and function monitoring,,,
26,85+000,SE 4-7-31 W1,crop,contouring,,Topsoil holding back water,No issue identified,No issues identified - September 2014,"Topsoil replaced, September 2014",unresolved,Monitor,,,
26,85+170 to 85+210,SE 4-7-31 W1,wetland,erosion,,,July 2014: Some erosion on pipeline RoW at wetland crossing.,Located off RoW - September 2014,,unresolved,"Control erosion or install sediment barrier where erosion enters RoW/wetland to limit sedimentation to wetland, continue wetland health and function monitoring",,,
26,85+530,SE 4-7-31 W1,wetland,pugging,,,June 2014: Pugging at edge of wetland.  Wetland fenced to exclude cattle.,Cattle crossing requested by landowner,None recommended,unresolved,Continue wetland health and function monitoring,,,
26,85+540 to 85+840,SE 4-7-31 W1,wetland,riparian woody vegetation,,,July 2014: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,Consider restoration of woody riparian vegetation if results of wetland health and function is not restored following 2015 assessment,unresolved,Continue wetland health and function monitoring,,,
27,88+200 to 88+350,SW 11-7-31 W1,wetland,weeds,,,June 2014: Weedy on and off-RoW.  Noxious weeds: cleavers.,,None recommended,unresolved,Continue wetland health and function monitoring,,,
27,88+330 to 88+440,SW 11-7-31 W1,wetland,sediment,,,July 2014: Some sediment deposition from erosion of upland areas on pipeline RoW to south of wetland crossing.,,,unresolved,"Control erosion and install temporary erosion  and sediment control measures until permanent erosion control (revegetation) established, continue wetland health and function monitoring",,,
27,89+180 to 89+260,NW 11-7-31 W1,wetland,contouring,,,July 2014: Uneven re-contouring of the wetland substrate.,,None recommended,unresolved,Continue wetland health and function monitoring,,,
27,89+670 to 89+710,NW 11-7-31 W1,wetland,compaction,,,RoW slightly compacted within wetland crossing. July 2013.,,None recommended,unresolved,Continue wetland health and function monitoring,,,
27,89+730 to 89+760,NW 11-7-31 W1,wetland,compaction,,,July 2014: RoW slightly compacted within wetland crossing.,,None recommended,unresolved,Continue wetland health and function monitoring,,,
27,90+080,SW 13-7-31 W1,crop,erosion,,,"July 2014: Gully erosion.  Starts as overland flow off-RoW, becomes channel flow when it hits RoW.  Coming from wetland W-422.  August 2014: Fish (fathead minnow and brook stickleback) observed.  Water draining from wetland W-381.",Landowner created trench - August 2014,,unresolved,Monitor,,,
27,90+640,SW 13-7-31 W1,watercourse crossing (tributary to Gainsborough Creek),"channel profile, woody vegetation, vegetation establishment",August 2013: A soil berm was installed as erosion control on either side of the crossing . This berm has breached and active erosion is visible. Deposition downstream of the crossing is visible. Erosion on the west side of the crossing resulted in narrowing the channel width.  Some of the willow has been removed on the west side of the channel.,Gainsborough Tributary - creek bed in good shape. Remove silt fence. Some subsidence on either side of the creek but banks are good. One marker post on either side is on the ground. Fence across creek is missing on north BDY; Some cattle damage occurred after construction was complete.  EI to revisit in 2013,"May 2014: Previously disturbed/reclaimed areas on both sides of the crossing are not fully stabilized with permanent erosion control (e.g., re-vegetation is not complete). Some of the woody riparian vegetation (willow) has been removed on the west side of the channel.",Flooding has created a sandbar across the RoW crossing and changed the original creek bed. No concerns. Sign posts re-installed.,Silt fence removed in 2013. Marker posts re-installed in 2013 and again in September 2014. Reestablished fence lines and mowed the row on east side in 2014,unresolved,Monitoring of vegetation establishment,,,
28,92+260,NE 13-7-31 W1,crop,erosion,,,June 2014: Gully erosion at valve block pad and RoW border.,No concerns with erosion - September 2014,Mowed in August 2014,unresolved,Monitor,,,
28,92+630 to 92+900,SW 19-7-31 W1,tame pasture,"weeds, debris",,,June 2014: Heavily infested with stinkweed.  Pile of survey lathe at 92+630.,Removed pile of survey lathe - September 2014. area was grazed heavily,Removed pile of lathe - September 2014,unresolved,Monitor,,,
28,92+850 to 92+925,SW 19-7-30 W1,tame pasture,subsidence,,Cows in pasture on RoW. Some subsidence on ditchline,,,Recontoured and reseeded in 2013,resolved,,,,
28,92+920,SW 19-7-30 W1,watercourse crossing (Gainsborough Creek),"ESC required, silt fence","August 2013: Rip-rap armouring was installed at the crossing, but a section of unstable/eroding bank was noted. Silt fence is no longer required.",Gainsborough Creek - creek is in very good shape. West bank could use some rock for subsidence. Cows are in the pasture here. remove silt fence,May 2014: Upland areas and approach slopes to the crossing location (east side) appear to have been re-disturbed subsequent to 2013 inspections; these areas had very poor vegetation establishment during the 2014 inspections. There is a potential for sediment to be transported from these areas to the creek in high precipitation events.,Flooding has created a second seasonal channel west of initial creek crossing. Creek banks have held up during flooding.,Stabilization of the unstable bank by placing additional rip-rap armouring on west bank. Removal of both silt fences. September 2013,unresolved,Monitor,,,
28,92+930,SW 19-7-30 W1,pasture,vegetation establishment,,,"June 2014: Sparse vegetation growth.  Water crossing RoW, looks like area was flooded (could explain sparse growth).",Area was flooded - September 2014,None recommended,unresolved,Monitor,,,
28,92+975 to 93+025,SW 19-7-30 W1,pasture,weeds,,,June 2014: Weedy on RoW.  Stinkweed primarily.,Area grazed by cattle - September 2014,None recommended,unresolved,Monitor,,,
28,93+000,SW 19-7-30 W1,pasture,weeds,,,June 2014: Weedy on- and off- RoW.  Noxious weeds: Canada thistle,,None recommended,unresolved,Monitor,,,
28,93+060,NW 19-7-30 W1,pasture,weeds,,,June 2014: Off-RoW noxious weeds: Canada thistle.  No noxious weeds on-RoW.,Cultivated Cropland. No issues identified - September 2014,Cultivated in September 2014,unresolved,Monitor,,,
28,93+950,NW 19-7-30 W1,crop,rutting,,,June 2014: Deep rutting to subsurface.,Landowner created,None recommended,unresolved,Monitor,,,
28,94+260 to 94+510,NE 19-7-30 W1,wetland,erosion,,,July 2014: Some erosion on pipeline RoW at wetland crossing.,,,unresolved,"Recontour erosion. Control erosion and install temporary erosion  and sediment control measures until permanent erosion control (revegetation) established, continue wetland health and function monitoring",,,
28,94+450,NE 19-7-30 W1,wetland,erosion,,,June 2014: erosion,,,,Continue wetland health and function monitoring,,,
29,94+800,NE 19-7-31 W1,crop,"rutting, debris",,,"June 2014: Debris on RoW, and tire rutting to subsurface.",Ruts created by landowner when spraying. August 2014,Debris cleaned up in September 2014,unresolved,Monitor,,,
29,95+550,SW 29-7-30 W1,wetland,"silt fence, topsoil",,,June 2014: Silt fence and soil stockpile left in wetland.,,Topsoil replaced - September 2014. silt fence removed 6 days after topsoil replacement and sediment settled,unresolved,Continue wetland health and function monitoring,,,
29,96+050 to 96+100,SW 29-7-30 W1,wetland,contouring,,,July 2014: Uneven re-contouring of the wetland substrate.,,Landowner installed drainage trench before pipeline installation. Restored back to previous contour,unresolved,Continue wetland health and function monitoring,,,
29,97+400,NW 28-7-30 W1,wetland,construction debris,,,June 2014: Dewatering bag in wetland.,,Dewatering bag removed September 2014,resolved,Monitor,,,
30,99+400,NE-33-7-30 W1,crop,weeds,,,"June 2014: Weedy RoW.  Lamb's quarters, foxtail barley.","Mowed, Disced, cultivated, August 2014 harrowed, rocks picked. RoW was comparable to background conditions","Mowed, Disced, cultivated, August 2014 harrowed, rocks picked",unresolved,Monitor,,,
30,99+740,NW 34-7-30-W1,wetland,subsidence,,,June 2014: subsidence,"Mowed, disced, cultivated, August 2014 harrowed, rocks picked","Mowed, Disced, cultivated, August 2014 harrowed, rocks picked",unresolved,Monitor,,,
30,101+060 to 101+130  NE 3-8-30 W1,,wetland,erosion,,,June 2014: Some erosion on east side of wetland.,n/a,None recommended,unresolved,Continue wetland health and function monitoring,,,
31,102+400 to 102+550,SW 11-8-30 W1,pasture,"vegetation establishment, subsidence",,Subsidence,"June 2014: Bare ground, little to no vegetation growth.  Looks like area was repaired in fall 2013.",Weedy with desired species present. Poor density. September 2014,Recontoured and reseeded in 2013,resolved,Monitor,,,
31,102+900,SE 11-8-30 W1,pasture,"vegetation establishment, weeds",,,"June 2014: Bare land, little to no vegetation (patchy), but some desired species present.  Noxious weeds on-RoW: annual sow-thistle, Canada thistle",Broadcast Seeded August 2014 to Southern MB native blend.,Broadcast Seeded August 2014 to Southern MB native blend.,unresolved,Monitor,,,
31,103+200,SE 11-8-30 W1,watercourse crossing (Graham Creek),"silt fence (silt fence is outstanding issue, cattle fence is resolved)",August 2013: Cattle disturbance was evident. Exclusion fencing was not completed. Cattle disturbance occurred on both sides of the crossing. Re-vegetation is occurring. Silt fences are submerged and are not functional.,,"May 2014: No silt fencing observed.  Seeded vegetation establishing, natural succession of sedges and aquatic vegetation occurring.",Removed Silt Fence - August 2014,Removed Silt Fence - August 2014,unresolved,Monitor,,,
