Legal Location (W6),Land Use,1st Year (2013) Issue(s),KP,1st Year (2013) Discussion,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 17-79-19,Hayland,Moderate weed (not noxious) issue,07+125,Hemp nettle and dandelion observed on the ROW. ROW was disked and reseeded in the fall of 2013.,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 6+990 – Subsidence noted, not affecting current land use, monitor in 2015. – KP 6+700 to 7+200 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","May 14, 2015 – Herbicide was applied in 2014 appears to be effective, there has been a reduction in weed cover. Seeding recommended. June 11, 2015 -– Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled. – KP 6+990, Subsidence with minor erosion rills observed. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request.",,,
NE 17-79-19,Hayland,Moderate vegetation issue,"07+350, 07+750","Bare patch of vegetation observed on the ROW, discontinuous patches of dandelion and hemp nettle. ROW was disked and reseeded in the fall of 2013.","July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 7+400 to 7+460 Erosion rills, not affecting land use. Monitor in 2015. – KP 7+720 to 7+740 and 7+940 to 7+990 – Subsidence noted, not affecting land use, monitor in 2015 – KP 7+200 to 8+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled. – KP 7+375 to 7+460, KP 7+620 to 7+820, and KP 7+940 to 7+990, subsidence with erosional rills observed. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. August 6, 2015 - KP 8+000, Subsidence observed, and repairs recommended. August 17, 2015 - KP 8+000, repairs completed.",,,
NE 17-79-19,Hayland,No issues observed,07+950,"The ROW is revegetating well, few weeds observed (not noxious).","July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 7+400 to 7+460 Erosion rills, not affecting land use. Monitor in 2015. – KP 7+720 to 7+740 and 7+940 to 7+990 – Subsidence noted, not affecting land use, monitor in 2015 – KP 7+200 to 8+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled. – KP 7+375 to 7+460, KP 7+620 to 7+820, and KP 7+940 to 7+990, subsidence with erosional rills observed. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. August 6, 2015 - KP 8+000, Subsidence observed, and repairs recommended. August 17, 2015 - KP 8+000, repairs completed.",,,
SE 20-79-19,Pasture,No issues observed,08+150,"The ROW is revegetating well, few weeds observed (not noxious).","August 23, 2014 – KP 8+050 to 8+290 – Hay field in good condition, field was cut at time of assessment, no sign of weeds or erosion noted. Fence line at KP 8+050 and KP 8+290 did not have gates at time of assessment  - KP 8+050 to 8+060, 8+120 to 8+140, 8+160 to 8+170, and 8+230 to 8+240 – Subsidence noted, not affecting land use, monitor in 2015.","June 21, 2015 - - Vegetation appears to be 90-100% of off-ROW control.  -  KP 8+050, no gate along south fence line. - KP 8+050 to 8+060 – Subsidence observed, repairs recommended. - KP 8+120 to 8+140, KP 8+160 to 8+170 – Minor subsidence observed, not affecting farming activities/land use. Recommend continued monitoring. July 31, 2015 - Previously assessed subsidence appears to have worsened.  - KP 8+090 to 8+140 and KP 8+160 to 8+210, Intermittent subsidence. Recommend subsidence repairs. August 16-17, 2015 – Intermittent subsidence repairs competed from KP 8+050 to 8+210.",,,
SE 20-79-19,Watercourse,No issues observed,08+350,Watercourse banks are stable and there is excellent vegetation establishment along the ROW,"August 23, 2014– KP 8+350 – Watercourse crossing in good condition, no signs of erosion and vegetation is establishing well. Silt fence located on banks of drainage.  Recommend removing silt fence. Weeds noted on NW bank of watercourse. Recommend weed control. Sept 17, 2014 - KP 8+350 - Silt fence removed from NW and SE side of drainage. Herbicide application conducted to control weeds.","June 21, 2015 - KP 8+350 – Watercourse crossing in good condition, no signs of erosion and vegetation is establishing well.",,,
SW 20-79-19,Pasture,No issues observed,08+850,The ROW is revegetating well.,"August 23, 2014 – KP 8+500 to 9+000 - Hay field was cut at time of assessment, vegetation is 80% of off ROW and establishing well. No weeds were observed at time of assessment. – KP 9+000 to KP 9+270 – Pasture field, no signs of erosion or subsidence, or weeds at time of assessment. – KP 8+400 – Weeds. Sow thistle, weed control recommended. – KP 8+500 – Drainage ditch crosses ROW at edge of hay field. Drainage ditch appears man made and travels north and south of ROW. Monitor in 2015. – KP 9+050 – Limited vegetation growth, monitor in 2015. Sept 17, 2014 - KP 8+400 – Herbicide application conducted to control perennial sow thistle.","June 21, 2015 - - KP 8+500 to 9+000, Vegetation appears to be 90-100% of off-ROW control.  - KP 9+000 to KP 9+270 – Pasture field, no signs of erosion or subsidence, or weeds at time of assessment. - KP 8+500 – Drainage ditch crosses ROW at edge of hay field. No erosion observed. Recommend continued monitoring. - KP 9+050 – Reduced vegetation growth and ponding water, not affecting land use and no erosion noted. Recommend continued monitoring.",,,
SW 20-79-19,Pasture,No issues observed,09+000,The ROW is revegetating well.,"August 23, 2014 – KP 8+500 to 9+000 - Hay field was cut at time of assessment, vegetation is 80% of off ROW and establishing well. No weeds were observed at time of assessment. – KP 9+000 to KP 9+270 – Pasture field, no signs of erosion or subsidence, or weeds at time of assessment. – KP 8+400 – Weeds. Sow thistle, weed control recommended. – KP 8+500 – Drainage ditch crosses ROW at edge of hay field. Drainage ditch appears man made and travels north and south of ROW. Monitor in 2015. – KP 9+050 – Limited vegetation growth, monitor in 2015. Sept 17, 2014 - KP 8+400 – Herbicide application conducted to control perennial sow thistle.","June 21, 2015 - - KP 8+500 to 9+000, Vegetation appears to be 90-100% of off-ROW control.  - KP 9+000 to KP 9+270 – Pasture field, no signs of erosion or subsidence, or weeds at time of assessment. - KP 8+500 – Drainage ditch crosses ROW at edge of hay field. No erosion observed. Recommend continued monitoring. - KP 9+050 – Reduced vegetation growth and ponding water, not affecting land use and no erosion noted. Recommend continued monitoring.",,,
NW 20-79-19,Hay,,9+270 to 9+425,,"August 23, 2014 – KP 9+300 – Weeds – Canada thistle noted intermittently on north side of ROW. Recommend weed control. – KP 9+270 to 9+425 - no signs of erosion or subsidence were noted during assessment. Sept 17, 2014 - KP 9+300 – intermittent herbicide application conducted.","June 21, 2015 - Vegetation appears consistent with off-ROW conditions. No weeds, erosion, or subsidence observed at this time.",,,
NE 19-79-19,Pasture,No issues observed,09+800,The ROW is revegetating well.,"August 23, 2014 – KP 9+525 to 9+580 – Shrubby Swamp noted on Wetland list. Area vegetation is 100% of off ROW, no signs or erosion or subsidence. – KP 9+525 and KP 9+580 – Silt fence located on either side of shrubby swamp. Vegetation in area is fully established. Recommend removing silt","June 21, 2015  – Excellent vegetation, comparable to the off ROW control. - 2014 herbicide application appears successful. – KP 9+525 to 9+580, Shrubby swamp noted on Wetland list. Excellent vegetation",,,
NE 19-79-19,Forested,Moderate weed (not noxious) issue Moderate Microtopography (subsidence)  issue,10+050 10+450,Stinkweed observed on the ROW. Subsidence on trench. Good vegetation cover.,"August 23, 2014 – KP 9+525 to 9+580 – Shrubby Swamp noted on Wetland list. Area vegetation is 100% of off ROW, no signs or erosion or subsidence. – KP 9+525 and KP 9+580 – Silt fence located on either side of shrubby swamp. Vegetation in area is fully established. Recommend removing silt fence at both locations. – KP 10+050 – Previously noted weeds. Stinkweed observed during 2013 assessment. Limited stinkweed was noted during assessment. Area was reseeded, monitor in 2015. – KP 10+450 Subsidence noted in 2013 assessment. Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Monitor in 2015. – KP 10+450 Weeds - Canada thistle noted, recommend weed control.  – Landowner had concerns with Clover concentrations, area was reseeded with approved seed mix, monitor in 2015. Sept 10, 2014– KP 9+525 and KP 9+580 – Silt fence removed. Sept 12, 2014 – KP 10+450 – Herbicide application conducted to control Canada thistle.","June 21, 2015  – Excellent vegetation, comparable to the off ROW control. - 2014 herbicide application appears successful. – KP 9+525 to 9+580, Shrubby swamp noted on Wetland list. Excellent vegetation within comparable to off ROW, functioning well. – KP 10+450 Subsidence noted in 2013 and 2014 assessment. Subsidence is not affecting land use, vegetation is established, no signs of erosion or integrity issues. Subsidence has been stable for two growing seasons, issue is resolved. – No additional subsidence or erosion noted at time of assessment, contouring and topography looks good.",,,
NW 19-79-19,Forested,Moderate surface drainage (seepage) issue,10+600,Seepage from trench observed.,"August 23, 2014 – Vegetation throughout ¼ is 90% of off ROW, no signs of erosion at time of assessment.  – KP10+550 to 11+000 – Weeds – Multiple weeds species noted across ROW. Recommend weed control.  – KP 10+550 to 10+700 and 10+950 – Subsidence noted, not affecting land use, no signs of erosion or integrity issues. Monitor in 2015. – All diversion berms in ¼ were in good condition, re-vegetating well and had no signs of erosion. Sept 12, 2014 – KP 10+550 to 11+000 – Intermittent herbicide application conducted.","June 21, 2015  – Excellent vegetation, comparable to the off ROW control. - 2014 herbicide application appears successful. – KP 10+550 to 10+700 and KP 10+950, subsidence is not affecting land use. Continue to monitor. – Diversion berms and drainage channels are well vegetated and stable at the time of the assessment.",,,
NW 19-79-19,Forested,Moderate microtopography (subsidence) issue,10+600,Subsidence on trench. Good vegetation cover.,"August 23, 2014 – Vegetation throughout ¼ is 90% of off ROW, no signs of erosion at time of assessment.  – KP10+550 to 11+000 – Weeds – Multiple weeds species noted across ROW. Recommend weed control.  – KP 10+550 to 10+700 and 10+950 – Subsidence noted, not affecting land use, no signs of erosion or integrity issues. Monitor in 2015. – All diversion berms in ¼ were in good condition, re-vegetating well and had no signs of erosion. Sept 12, 2014 – KP 10+550 to 11+000 – Intermittent herbicide application conducted.","June 21, 2015  – Excellent vegetation, comparable to the off ROW control. - 2014 herbicide application appears successful. – KP 10+550 to 10+700 and KP 10+950, subsidence is not affecting land use. Continue to monitor. – Diversion berms and drainage channels are well vegetated and stable at the time of the assessment.",,,
SW 30-79-19,Forested,Moderate microtopography (subsidence) issue,"11+050, 11+150, 11+250, 11+350",Subsidence on trench. Good vegetation cover.,"August 23, 2014 – Vegetation is 80% of off ROW. Land use is cattle grazing.  – KP 11+000 – Erosion noted between pipeline marker signs on ¼ line. Area is fully vegetated, erosion is not affecting land use and no signs of integrity issues. Monitor in 2015. – KP 11+020 to 11+050, 11+075 to 11+200, 11+325 to 11+460, and 11+560 to 11+610 – Subsidence noted, not affecting land use, no signs of erosion or integrity issues. Monitor in 2015.  – KP 11+000 to 11+610 – Intermittent weeds throughout ¼. Recommend weed control. Sept 12, 2014 – KP 11+000 to KP 11+610 – Intermittent herbicide application conducted to control weeds.","June 16, 2015 - Vegetation off-ROW is forested, while onsite is pasture. Area is well-vegetated. - KP 11+000 – Erosion noted between pipeline marker signs on ¼ line. Area is fully vegetated, erosion is not affecting land use and no signs of integrity issues. Recommend continued monitoring. - KP 11+020, KP 11+075, 11+325 to 11+610 , minor subsidence observed, not affecting land use. Recommend continued monitoring. - KP 11+000 to 11+610, Canada thistle observed throughout ¼. Recommend weed control. July 5, 2015 – intermittent herbicide application conducted to control Canada thistle. June 22, 2015– onsite discussion with landowner following concern with fencing on the property. The issue has been forwarded to TransCanada`s Land Department to resolve with the landowner. October 1, 2015- KP 11+000 to 11+610, additional herbicide application conducted to control Canada thistle.",,,
SE 25-79-20,Forested,Moderate microtopography (subsidence) issue,11+750,Subsidence on trench. Good vegetation cover.,"July 18, 2014 – 90-100% vegetation cover to off ROW – Some small areas of moderate vegetation. Monitor. – KP 11+700, patches of foxtail recommend weed control – KP 11+900, Erosion. Water coming down the rill seems to have breached the berm and eroded part of the top of the berm. Repairs recommended. Sept 12, 2014 – KP 11+900, erosion at diversion berm was re-contoured and erosion control measures installed. – KP 11+700 – Herbicide application conducted to control foxtail.","June 16, 2015 -Area appears well-vegetated with strong growth and density throughout tract. - KP 11+650 to 11+750, minor intermittent subsidence observed, not affecting land use. Recommend continued monitoring. - KP 11+870, diversion berms appear well-vegetated. Straw waddles working effectively. Recommend continued monitoring. - Canada thistle observed throughout ¼. Recommend weed control.  July 5, 2015 – intermittent herbicide application conducted to control Canada thistle. July 19, 2015 - Herbicide application appeared to be working effectively.",,,
SE 25-79-20,Forested,Moderate vegetation issue,11+750,Vegetation cover is expected to improve in subsequent years.,"July 18, 2014 – 90-100% vegetation cover to off ROW – Some small areas of moderate vegetation. Monitor. – KP 11+700, patches of foxtail recommend weed control – KP 11+900, Erosion. Water coming down the rill seems to have breached the berm and eroded part of the top of the berm. Repairs recommended. Sept 12, 2014 – KP 11+900, erosion at diversion berm was re-contoured and erosion control measures installed. – KP 11+700 – Herbicide application conducted to control foxtail.","June 16, 2015 -Area appears well-vegetated with strong growth and density throughout tract. - KP 11+650 to 11+750, minor intermittent subsidence observed, not affecting land use. Recommend continued monitoring. - KP 11+870, diversion berms appear well-vegetated. Straw waddles working effectively. Recommend continued monitoring. - Canada thistle observed throughout ¼. Recommend weed control.  July 5, 2015 – intermittent herbicide application conducted to control Canada thistle. July 19, 2015 - Herbicide application appeared to be working effectively.",,,
NE 25-79-20,Forested,Moderate vegetation issue,"12+250, 12+600, 12+850",Vegetation cover is expected to improve in subsequent years.,"July 18, 2014 – 80-90% vegetation cover to off ROW  – Some small areas of moderate vegetation. Monitor. – Intermittent patches of foxtail throughout ¼. Recommend weed control - Silt fence at KP 12+790 no longer required, recommend removing silt fence   – No issues with subsidence or erosion in this ¼. Sept 10, 2014 - Silt fence at KP 12+790 removed. Sept. 12, 2014 – Intermittent herbicide application to control weeds.","June 16, 2015 - Area appears well-vegetated with strong growth and density throughout tract. Reduced vegetation issues noted in 2013 at KP 12+250, 12+600, and 12+850 are resolved. - KP 12+500, low area with cattails observed. Recommend continued monitoring for evidence of ponding. October 1, 2015- Observed minor, intermittent Canada thistle within ¼. Herbicide application conducted to control Canada thistle.",,,
NW 25-79-20,Forested,No issues observed,12+900,The ROW is revegetating well.,"July 19, 2014 – 80-100% vegetation cover compared to off ROW control. – Some small areas of moderate vegetation. Monitor. – No subsidence or erosion noted at time of assessment. – Patches of foxtail throughout ¼. Recommend weed control. – KP 12+950 - large patch of perennial sow thistle. Recommend weed control. – KP 13+090, silt fence no longer required, remove. Sept 10, 2014 - KP 13+090 silt fence removed. Sept 12, 2014 – Intermittent herbicide application conducted to control weeds throughout ¼, including perennial sow thistle at KP 12+950.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application to control foxtail and perennial sow thistle (KP 12+950) appears to have been effective. – No subsidence or erosion noted at time of assessment, contouring and topography matches off ROW contours. – KP 13+350 - bell hole subsidence. Recommend subsidence repairs, August 6, 2015 - Re-assessed subsidence at KP13+350, not affecting land use as there is good vegetation cover, with adequate cover over pipeline. Monitor in 2016.",,,
NW 25-79-20,Forested,Moderate surface drainage (ponding) and Moderate vegetation issue,13+100,Low area on workside causing temporary ponding. Vegetation cover is expected to improve in subsequent years.,"July 19, 2014 – 80-100% vegetation cover compared to off ROW control. – Some small areas of moderate vegetation. Monitor. – No subsidence or erosion noted at time of assessment. – Patches of foxtail throughout ¼. Recommend weed control. – KP 12+950 - large patch of perennial sow thistle. Recommend weed control. – KP 13+090, silt fence no longer required, remove. Sept 10, 2014 - KP 13+090 silt fence removed. Sept 12, 2014 – Intermittent herbicide application conducted to control weeds throughout ¼, including perennial sow thistle at KP 12+950.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application to control foxtail and perennial sow thistle (KP 12+950) appears to have been effective. – No subsidence or erosion noted at time of assessment, contouring and topography matches off ROW contours. – KP 13+350 - bell hole subsidence. Recommend subsidence repairs, August 6, 2015 - Re-assessed subsidence at KP13+350, not affecting land use as there is good vegetation cover, with adequate cover over pipeline. Monitor in 2016.",,,
SE 36-79-20,Forested,No issues observed,13+250,The ROW is revegetating well.,"July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  Sept 10, 2014 - KP13+770 silt fence removed. Sept 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control foxtail and perennial sow thistle (KP 13+550 to 13+750) appears to have been effective  – KP 13+450, drainage area is saturated, with vegetation throughout. Banks and berms are stable; culvert on east and west side of Stewart lake road is clear with no debris present. – KP 13+480 - subsidence up a hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.",,,
SE 36-79-20,Forested,Moderate Surface drainage (ponding),13+400,"Natural low area with cattail, clover, grasses, sedge.","July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  Sept 10, 2014 - KP13+770 silt fence removed. Sept 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control foxtail and perennial sow thistle (KP 13+550 to 13+750) appears to have been effective  – KP 13+450, drainage area is saturated, with vegetation throughout. Banks and berms are stable; culvert on east and west side of Stewart lake road is clear with no debris present. – KP 13+480 - subsidence up a hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.",,,
SE 36-79-20,Forested,Moderate microtopography (subsidence) issue,13+500,Subsidence on trench. Good vegetation cover.,"July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  Sept 10, 2014 - KP13+770 silt fence removed. Sept 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control foxtail and perennial sow thistle (KP 13+550 to 13+750) appears to have been effective  – KP 13+450, drainage area is saturated, with vegetation throughout. Banks and berms are stable; culvert on east and west side of Stewart lake road is clear with no debris present. – KP 13+480 - subsidence up a hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.",,,
SE 36-79-20,Forested,No issues observed,13+600,The ROW is revegetating well.,"July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  Sept 10, 2014 - KP13+770 silt fence removed. Sept 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control foxtail and perennial sow thistle (KP 13+550 to 13+750) appears to have been effective  – KP 13+450, drainage area is saturated, with vegetation throughout. Banks and berms are stable; culvert on east and west side of Stewart lake road is clear with no debris present. – KP 13+480 - subsidence up a hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.",,,
SE 36-79-20,Forested,"Moderate surface drainage (ponding), microtopography (subsidence) issues",13+800,Trench subsidence and temporary ponding observed on the ROW.,"July 19, 2014 – 90-100% vegetation cover to off ROW – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – KP 13+400, bare spot in low wet area. Monitor growth.  – KP 13+770, silt fence no longer required, remove. – No issues with subsidence or erosion in this ¼.  Sept 10, 2014 - KP13+770 silt fence removed. Sept 12, 2014 – Intermittent herbicide application to control perennial sow thistle.","June 16, 2015 – Well vegetated, with strong growth and density throughout tract. – 2014 herbicide application to control foxtail and perennial sow thistle (KP 13+550 to 13+750) appears to have been effective  – KP 13+450, drainage area is saturated, with vegetation throughout. Banks and berms are stable; culvert on east and west side of Stewart lake road is clear with no debris present. – KP 13+480 - subsidence up a hill slope. Recommend repairs. – KP 13+770, subsidence. Not affecting land use, continue to monitor. August 6, 2015 - Re-assessed subsidence at KP 13+480. Not affecting land use as there is good vegetation cover and soils appear stable with adequate cover over pipeline. Monitor in 2016.",,,
NE 36-79-20,Forested,No issues observed,"14+100, 14+390",The ROW is revegetating well.,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 14+400, minor subsidence not affecting land use. Continue to monitor. – KP 14+550 to 14+640, subsidence, repairs recommended. – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – No erosion issues noted in ¼. Sept 12, 2014 – Intermittent weed control conducted to control weeds. Sept 13 and 17, 2014 – Repairs completed at subsidence from kp14+475 to kp14+650. Harrowing and seeding completed.","June 17, 2015 - Area appears well vegetated with strong growth and density. No erosion observed at this time. - KP 14+370 to 14+400, Subsidence, area appears well vegetated and stable, doesn’t appear to be affecting land use. Recommend continued monitoring - KP 14+450, low area with cattails observed. Recommend continued monitoring for ponding. - KP 14+475 - 14+650, subsidence repaired area from 2014 looks good. Minor stinkweed observed. Recommend continued monitoring of subsidence and for progression of desirable vegetation.",,,
NE 36-79-20,Forested,Moderate microtopography (subsidence) issues,"14+400, 14+600, 14+850",Subsidence on trench.,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 14+400, minor subsidence not affecting land use. Continue to monitor. – KP 14+550 to 14+640, subsidence, repairs recommended. – Intermittent perennial sow thistle throughout ¼. Recommend weed control. – No erosion issues noted in ¼. Sept 12, 2014 – Intermittent weed control conducted to control weeds. Sept 13 and 17, 2014 – Repairs completed at subsidence from kp14+475 to kp14+650. Harrowing and seeding completed.","June 17, 2015 - Area appears well vegetated with strong growth and density. No erosion observed at this time. - KP 14+370 to 14+400, Subsidence, area appears well vegetated and stable, doesn’t appear to be affecting land use. Recommend continued monitoring - KP 14+450, low area with cattails observed. Recommend continued monitoring for ponding. - KP 14+475 - 14+650, subsidence repaired area from 2014 looks good. Minor stinkweed observed. Recommend continued monitoring of subsidence and for progression of desirable vegetation.",,,
SE 1-80-20,Forested,No issues observed,15+400,The ROW is revegetating well.,"July 19, 2014 – 90-100% vegetation cover to off ROW control. – No issues with weeds, subsidence, or erosion in ¼. – Intermittent weeds, requiring weed control throughout ¼. Sept 12, 2014– Intermittent herbicide application conducted throughout ¼.","June 17, 2015 - Area appears well vegetated with strong growth and density throughout tract. No erosion observed. - KP 14+850, minor subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 14+930, surface water and cattails observed. Appears to be ponding in the area. Recommend continued monitoring.",,,
SW 1-80-20,Forested,Moderate microtopography (subsidence) issues,15+600,Subsidence on trench.,"July 19, 2014 – 90-100% vegetation cover to off ROW control. – KP 15+220, bare spot in low wet area. Monitor growth. – KP 15+350, patches of perennial sow thistle, KP 15+600 foxtail present, weed control recommended. – Berms on hill slope are well vegetated and functional. Sept 12, 2014 – Herbicide application conducted at KP 15+350 and 15+600 to control perennial sow thistle and foxtail.","June 17, 2015 - Area appears well vegetated with strong growth and density throughout tract. No erosion observed. - KP 15+230, Surface water and cattails observed. Appears to be ponding in this area. Recommend continued monitoring. - KP 15+300, low, wet area observed. Third party tracks/ruts also observed. Doesn't appear to be affecting land use. Recommend continued monitoring. - KP 15+590, minor subsidence, not affecting land use. Recommend continued monitoring.",,,
SW 1-80-20,Forested,Moderate vegetation issue,15+600,Vegetation cover is expected to improve in subsequent years.,"July 19, 2014 – 90-100% vegetation cover to off ROW control. – KP 15+220, bare spot in low wet area. Monitor growth. – KP 15+350, patches of perennial sow thistle, KP 15+600 foxtail present, weed control recommended. – Berms on hill slope are well vegetated and functional. Sept 12, 2014 – Herbicide application conducted at KP 15+350 and 15+600 to control perennial sow thistle and foxtail.","June 17, 2015 - Area appears well vegetated with strong growth and density throughout tract. No erosion observed. - KP 15+230, Surface water and cattails observed. Appears to be ponding in this area. Recommend continued monitoring. - KP 15+300, low, wet area observed. Third party tracks/ruts also observed. Doesn't appear to be affecting land use. Recommend continued monitoring. - KP 15+590, minor subsidence, not affecting land use. Recommend continued monitoring.",,,
NW 1-80-20,Forested,Moderate vegetation issue,16+050,Vegetation cover is expected to improve in subsequent years.,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+000, patches of perennial sow thistle, weed control required. – KP 16+100, woody debris on ROW causing moderate growth. Continue to monitor. – KP 16+350 to 16+550, large area with minimal growth. Reseed. – No subsidence or erosion noted at time of assessment. Sept 15, 2014– KP 16+000 – Herbicide application conducted to control perennial sow thistle. Sept 17, 2014 -- KP 16+305 to 16+550 area of minimal growth seeded and harrowed.","June 17, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application in 2014 has been affective, no perennial sow thistle present. – KP 16+100, woody debris on ROW that was causing moderate growth is breaking down and vegetation is establishing well. – KP 16+350 to 16+550 was reseeded in Sept 2014. There is vegetation present, continue to monitor. – KP 16+520, diversion berm has dense vegetation throughout. – No subsidence or erosion noted at time of assessment.",,,
NW 1-80-20,Forested,Moderate microtopography (subsidence) issues,16+500,Subsidence on trench.,"July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+000, patches of perennial sow thistle, weed control required. – KP 16+100, woody debris on ROW causing moderate growth. Continue to monitor. – KP 16+350 to 16+550, large area with minimal growth. Reseed. – No subsidence or erosion noted at time of assessment. Sept 15, 2014– KP 16+000 – Herbicide application conducted to control perennial sow thistle. Sept 17, 2014 -- KP 16+305 to 16+550 area of minimal growth seeded and harrowed.","June 17, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application in 2014 has been affective, no perennial sow thistle present. – KP 16+100, woody debris on ROW that was causing moderate growth is breaking down and vegetation is establishing well. – KP 16+350 to 16+550 was reseeded in Sept 2014. There is vegetation present, continue to monitor. – KP 16+520, diversion berm has dense vegetation throughout. – No subsidence or erosion noted at time of assessment.",,,
NW 1-80-20,Forested,Moderate vegetation issue,16+500,"Vegetation cover improves further along slope, Vegetation cover is expected to improve in subsequent years.","July 19, 2014 – 90-100% vegetation cover to off ROW – KP 16+000, patches of perennial sow thistle, weed control required. – KP 16+100, woody debris on ROW causing moderate growth. Continue to monitor. – KP 16+350 to 16+550, large area with minimal growth. Reseed. – No subsidence or erosion noted at time of assessment. Sept 15, 2014– KP 16+000 – Herbicide application conducted to control perennial sow thistle. Sept 17, 2014 -- KP 16+305 to 16+550 area of minimal growth seeded and harrowed.","June 17, 2015 – Well vegetated, with strong growth and density throughout tract.  – Herbicide application in 2014 has been affective, no perennial sow thistle present. – KP 16+100, woody debris on ROW that was causing moderate growth is breaking down and vegetation is establishing well. – KP 16+350 to 16+550 was reseeded in Sept 2014. There is vegetation present, continue to monitor. – KP 16+520, diversion berm has dense vegetation throughout. – No subsidence or erosion noted at time of assessment.",,,
