Approximate KP [Legal Location],1st Year Issue/ Condition,1st Year (2014) Issue(s),2nd Year (2015) PCRM Assessment and Work Completed,3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
5+280 - 5+500 [East Half of LT 7 CON 6 WHS],Woodland (KP 5+405) Bare ground,Several small areas of bare ground approximately 2 m x 5 m were observed throughout. Recommendations: Monitor in 2015,,"June 15, 2016 - Land appears to be used for vehicular activity, appears that unauthorized work (levelling) may have been completed by landowner. - Recommend removal of erosion control materials (Filtrex berms). - No subsidence or erosion evident in tract. October 15, 2016 - Removed silt fence and erosion control material from within ROW, between KP 5+200 – KP 5+405 (approx.).  Issue resolved. - Species at Risk monitored by Stantec, details provided in Section 3.3.2.",,,
KP 5+500 - 5+970 [West Half of LT 7 CON 6 WHS],Crop – soybeans (KP 5+580) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,,,,
KP 5+500 - 5+970 [West Half of LT 7 CON 6 WHS],Woodland (KP 5+750 to 6+050) Noxious weed issues (high),"The presence of noxious weeds (Canada thistle, wild carrot, perennial sow thistle and common ragweed) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. Recommendations: Monitor in 2015, implement weed control as required.","August 21, 2015 - mechanical weed control completed north of watercourse 4 from KP 5+700 to KP 5+970 to control noxious weeds.","June 15, 2016 - Drainage (D1) dry during the time of assessment; vegetation well established, cattails present at the east and west end. - Erosion control materials and silt fencing observed to be no longer required; grass and broadleaf vegetation is well established and observed to be healthy. Recommend removal of erosion control materials and silt fencing. - No subsidence or erosion evident in tract. Erosion noted in 2014 at KP 5+780 to 5+800 is no longer evident, issue resolved June 24 and 27, 2016 - Removal of erosion control materials at KP 5+780 and silt fencing at KP 5+800.  Issues resolved.",,,
KP 5+500 - 5+970 [West Half of LT 7 CON 6 WHS],Woodland (KP 5+780 to 5+800) Rill erosion issues (moderate),"Rill erosion is located above the installed erosion control. Vegetation cover observed is increased 30 m downslope. Erosion occurred before vegetation establishment and observed vegetation growth was preventing further erosion. Recommendations: Monitor in 2015 to ensure continued desirable vegetation establishment, Implement erosion controls if necessary.",,"June 15, 2016 - Drainage (D1) dry during the time of assessment; vegetation well established, cattails present at the east and west end. - Erosion control materials and silt fencing observed to be no longer required; grass and broadleaf vegetation is well established and observed to be healthy. Recommend removal of erosion control materials and silt fencing. - No subsidence or erosion evident in tract. Erosion noted in 2014 at KP 5+780 to 5+800 is no longer evident, issue resolved June 24 and 27, 2016 - Removal of erosion control materials at KP 5+780 and silt fencing at KP 5+800.  Issues resolved.",,,
KP 5+970 - 6+450 [LT 6 CON 6 WHS],Woodland (KP 5+750 to 6+050) Noxious weed issues (high),"The presence of noxious weeds (Canada thistle, wild carrot, perennial sow thistle and common ragweed) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. Recommendations: Monitor in 2015, implement weed control as required.","August 22, 2015 - mechanical weed control completed north of watercourse 4 from KP 5+970 to KP 6+340 to control noxious weeds.",,,,
,Watercourse [4]/ Wetland (KP 6+050) Fish passage issue (high),Main channel has migrated and the silt fence is within the water. Recommendations: Remove silt fencing as area has become stable.,"August 22 and 24, 2015 - mechanical weed control completed south of watercourse 4 from KP 5+970 to KP 6+340 to control noxious weeds. August 27, 2015 – Completed removal of silt fence and hay bales at watercourse 4 (KP 6+066), issue resolved. Silt fence surrounding tree planting area was left in place; re-assess in 2016 for removal / stability of area.","June 15, 2016 - Watercourse 4; water level low on the west end and higher on the east end during time of assessment within the ROW.  June 27, 2016 - Removed silt fencing and posts at KP 6+050.",,,
,Pasture/grassland (KP 6+050 to 6+400) Species at risk (moderate),"Since the program started late in the season, the issues for Species at Risk are specifically targeted at the timing of monitoring for next year to ensure that activity is captured during monitoring. Post-breeding bobolink were observed. Recommendations: In order to confirm breeding activities have been re-established and to determine the success of the grassland restoration, conduct standard targeted BOBO & EAME breeding bird surveys in 2015 following MNRF protocols (MNR, 2012). These would consist of three surveys in the early June to early July period to confirm the ongoing breeding of these species in the target areas.",,"- Species at Risk monitored by Stantec, details provided in Section 3.3.2",,,
,Hayland / Woodland (KP 6+050 to 6+425) Noxious weed issues (high),"The presence of noxious weeds (Canada thistle, wild carrot and common ragweed) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 22 and 24, 2015 - mechanical weed control completed south of watercourse 4 from KP 5+970 to KP 6+340 to control noxious weeds.",,,,
,Hayland / Woodland (KP 6+080 to 6+100) Temporary ponding issues (moderate),There was slightly more bare ground on the centerline as opposed to the surrounding ROW. There was some temporary ponding to the east of centerline. The ponding was due to a third party disturbance east of the ROW. The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,"August 22 and 24, 2015 - mechanical weed control completed south of watercourse 4 from KP 5+970 to KP 6+340 to control noxious weeds.",,,,
,Pasture/grassland (KP 6+220 to 6+240) Admixing issues (moderate),Minor amounts of upper subsoil have been admixed in the topsoil. The admixing is more prominent along the ditch line. Admixing is localized in patches and represents approximately 20% of the ditch line from KP 6+220 to 6+240. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,"August 22 and 24, 2015 - mechanical weed control completed south of watercourse 4 from KP 5+970 to KP 6+340 to control noxious weeds.",,,,
KP 6+450 - 6+640 [Subdivision of LT 6 CON 6 WHS],Crop - bare ground (KP 6+425 to 6+670) Noxious weed issues (low),The presence of noxious weeds (Canada thistle wild carrot and perennial sow thistle) was noted on the ROW. The land use this season is summer fallow and weeds (to a lesser extent) Noxious weed cover was consistent throughout the field on and off ROW. Recommendations: None,,"June 15, 2016 Cultivated area sprout height on ROW appears to be similar to off ROW; - Canada thistle, bull thistle, dandelion and milk vetch observed along border of cultivated area within ROW. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 – Mechanical weed control conducted along border of cultivated area to control weeds noted in June 15th assessment.",,,
KP 6+660 - 7+000 [LT 5 CON 6 WHS],Crop - soybeans (KP 6+710 to 7+000) Noxious weed issues (low),"The presence of noxious weeds (Canada thistle, common ragweed and wild carrot) was noted on the ROW. Weeds and crop heights are consistent on and off ROW and species are consistent in the entire field.","November 21, 2015 - Conducted assessment on ROW. Reviewed tenant’s drainage tile concern along Embleton Road. No water was located on ROW however area appeared to have recently held water. Due to the presence of water throughout the county bar ditch it was determined that the area off ROW is not draining properly, this may be causing water to pool or back up onto the ROW. Recommend assessment during spring 2016 to determine if water along bar ditch is draining properly or backing up onto ROW.","June 15, 2016 - Canada thistle, ox-eye daisy, dandelion, perennial sow thistle, bull thistle evident throughout the tract. Recommend implementation of control measures. - No subsidence or erosion evident within tract. June 22, 2016 – Mechanical and chemical weed control measures implemented to control weeds noted in June 15th assessment. - Re-assessment of drainage tile concern south of Embleton Road. No water was on ROW, however drainage area appeared to have held water at some point. Due to the earlier presence of water it appears the area off ROW is not draining properly, this may be causing water to pool or back up onto the ROW. Recommend repairs. Dec 8, 2016 - Installation of drainage tile, to address standing water issue noted by tenant in 2015. Monitor repairs in 2017.",,,
KP 7+000 - 7+280 [LT 5 CON 6 WHS],Crop - soybeans (KP 7+155) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,"November 24, 2015 - Reviewed ROW with landowner. Landowner provided locations where farming equipment could not reach due to drains and TCPL sign posts. His concerns with these areas was the weed growth. Recommend reassessment during spring 2016 for possible weed control.","June 15, 2016 - Corn planted within cultivated area; tract has recently been worked and seeded.  - Sprout height on ROW appears to be similar to off ROW. June 22, 2016 – Mechanical weed control conducted within ROW; where landowner had concerns in 2015 (drains and TCPL sign posts).",,,
KP 7+280 - 7+900 [LT 4 CON 6 WHS],Crop - soybeans (KP 7+475) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 15, 2016 - Corn planted within cultivated area; sprout height on ROW appears to be similar to off ROW. Cultivated area conditions within ROW are comparable to off ROW. - Decrease in crop height and density, 7+645 to 7+800, is no longer evident. Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - No subsidence or erosion evident within tract.",,,
KP 7+280 - 7+900 [LT 4 CON 6 WHS],"Crop - soybeans (KP 7+645 to 7+800) Intermittent, localized vegetation and admixing issues (moderate)",Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area. Admixing was 30% or less (generally 10%) of the topsoil in areas of the poorest vegetation growth. Admixing is localized to small areas (approximately 2 m by 7 m) sporadically along the ROW and encompasses less than 20% of the total listed area. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 15, 2016 - Corn planted within cultivated area; sprout height on ROW appears to be similar to off ROW. Cultivated area conditions within ROW are comparable to off ROW. - Decrease in crop height and density, 7+645 to 7+800, is no longer evident. Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - No subsidence or erosion evident within tract.",,,
KP 7+280 - 7+900 [LT 4 CON 6 WHS],Watercourse [3] (KP 7+770) No issues observed,,"November 24, 2015 - Removed silt fence from both boundaries of creek crossing, issue resolved. - Additional debris including old silt fence was removed from the location as well, issue resolved. - Weeds throughout area including Burdock. Recommend reassessment and possible weed control 2016.","June 15, 2016 - Watercourse 3 (KP 7+700); vegetation was observed to be establishing well; native grasses established at approximately ½ m to 1 m in height. Watercourse was dry during the time of assessment;  - No subsidence or erosion evident within tract.",,,
KP 7+280 - 7+900 [LT 4 CON 6 WHS],Crop - bare ground (KP 7+715 to 7+725) Temporary ponding issue (moderate),There is evidence of previous temporary ponding that is associated with a large drainage swale that is farmed through. Recommendations: Monitor in 2015.,,"June 15, 2016 - Corn planted within cultivated area; sprout height on ROW appears to be similar to off ROW. Cultivated area conditions within ROW are comparable to off ROW. - Ponding noted in 2014 (KP 7+715 to 7+725), was not evident, issue resolved. - No subsidence or erosion evident within tract.",,,
KP 7+900 - 8+350 [West Half of LT 3 CON 6 WHS],Crop - corn (KP 7+995) No issues observed,No soil issue noted. Minor admixing was noted in the upper subsoil. No issues. Crop is comparable to the Control. Recommendations: None,,"June 17, 2016 - Soy planted within cultivated area; sprout height on ROW appears to be similar to off. - Cultivated area conditions within ROW are comparable to off the ROW. - No subsidence or erosion evident within tract.",,,
KP 7+900 - 8+350 [West Half of LT 3 CON 6 WHS],Crop - corn (KP 8+215) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 17, 2016 - Soy planted within cultivated area; sprout height on ROW appears to be similar to off. - Cultivated area conditions within ROW are comparable to off the ROW. - No subsidence or erosion evident within tract.",,,
KP 8+350 - 8+520 [East Half of LT 3 CON 6 WHS],Crop - soybeans (KP 8+470) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 17, 2016 - Soy planted within cultivated area; sprout height on ROW appears to be similar to off ROW. - Cultivated area conditions within ROW are comparable to off the ROW. - No subsidence or erosion evident within tract. June 22, 2016 – Intermittent mechanical weed control along border of crop. Maintained areas where native grasses were established.",,,
KP 8+520 - 9+120 [East Half of LT 2 CON 6 WHS],Crop - corn (KP 8+755) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 17, 2016 - Soy planted within cultivated area; sprout height on ROW appears to be similar to off ROW. - Cultivated area conditions within ROW are comparable to off the ROW. - Canada thistle, scentless chamomile and burdock evident along border of crops at KP 8+900. - No subsidence or erosion evident within tract. June 22, 2016 - Mechanical weed control conducted along the border of the crops located at KP 8+900.",,,
KP 8+520 - 9+120 [East Half of LT 2 CON 6 WHS],Crop - corn (KP 8+970) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 17, 2016 - Soy planted within cultivated area; sprout height on ROW appears to be similar to off ROW. - Cultivated area conditions within ROW are comparable to off the ROW. - Canada thistle, scentless chamomile and burdock evident along border of crops at KP 8+900. - No subsidence or erosion evident within tract. June 22, 2016 - Mechanical weed control conducted along the border of the crops located at KP 8+900.",,,
KP 8+520 - 9+120 [East Half of LT 2 CON 6 WHS],Watercourse [2]/ Wetland (KP 8+950) No issues observed,No issues. Recommendations: None,,"June 17, 2016 - Watercourse 2 located at KP 8+950; water levels are high and water flow medium to low. Vegetation well established within riparian areas and surrounding the watercourses. - No subsidence or erosion evident within tract.",,,
KP 8+520 - 9+120 [East Half of LT 2 CON 6 WHS],Near a watercourse crossing (KP 8+975) No issues observed,The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: None,,"June 17, 2016 - Watercourse 2 located at KP 8+950; water levels are high and water flow medium to low. Vegetation well established within riparian areas and surrounding the watercourses. - No subsidence or erosion evident within tract.",,,
KP 8+520 - 9+120 [East Half of LT 2 CON 6 WHS],Near a watercourse crossing (KP 8+970 to 8+975) Noxious weed issues (high),"The presence of noxious weeds (Canada thistle and perennial sow thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 17, 2016 - Noxious weeds noted in 2014 are no longer evident, issue resolved.",,,
KP 8+520 - 9+120 [East Half of LT 2 CON 6 WHS],Watercourse [1]/ Wetland (KP 9+000) No issues observed,No issues. Recommendations: None,,"June 17, 2016 - Watercourse 1 located at KP 9+000; water levels are high and water flow medium to low. Vegetation well established within riparian areas and surrounding the watercourses. - No subsidence or erosion evident within tract.",,,
KP 8+520 - 9+120 [East Half of LT 2 CON 6 WHS],"Crop - soybeans (KP 9+000 to 9+730) Intermittent, localized vegetation and admixing issues (moderate)",Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area. Admixing was 20% or less of the topsoil in areas of poor vegetation growth. Admixing is localized to small areas (approximately 5 m by 5 m) sporadically along the ROW and encompasses less than 15% of the total listed area. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 17, 2016 - Soy planted within cultivated area; sprout height on ROW appears to be similar to off ROW. - Cultivated area conditions within ROW are comparable to off the ROW. - Decrease in crop height and density, KP 9+000 to 9+730, is no longer evident.  Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - No subsidence or erosion evident within tract.",,,
KP 9+120 - 9+730 [East Half of LT 1 CON 6 WHS],"Crop - soybeans (KP 9+000 to 9+730) Intermittent, localized vegetation and admixing issues (moderate)",Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area. Admixing was 20% or less of the topsoil in areas of poor vegetation growth. Admixing is localized to small areas (approximately 5 m by 5 m) sporadically along the ROW and encompasses less than 15% of the total listed area. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 17, 2016 - Winter Wheat planted within cultivated area; sprout height within ROW are comparable to off the ROW. - Decrease in crop height and density, KP 9+000 to 9+730, is no longer evident. Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - No subsidence or erosion evident within tract. June 22, 2016 – Weed control conducted along fence line at KP 9+735; consisting of weed whacking and intermittent herbicide application along the gravel pathway.",,,
