Legal Location,1<s>st</s> Year (2013) Issue/Condition,1<s>st</s> Year (2013) PCMP Recommendation(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
94P-4-A66,Invasive species,Monitor invasive species in 2014.,"September 18, 2014 - Predominate species  is sweet clover (90% cover over ROW),no other issues","June 19, 2015  - Vegetation on RoW appears to be 90-95% comparable to off RoW control. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Patch of scentless chamomile present on RoW at KP 22+000.  Recommend herbicide application. - Roach is appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - Herbicide application conducted at KP 22+000 to control scentless chamomile. All flowered plants were handpicked, bagged and removed from RoW before spraying was conducted. September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees and shrubs growing throughout at time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues at the time of assessment.   - No integrity concerns were noted at the time of assessment.  - Common burdock and scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.",,,
94P-4-A57,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Predominate species  is sweet clover (90% cover over ROW),no other issues","June 19, 2015  - Vegetation on RoW appears to be 90-95% comparable to off RoW control with some areas exhibiting thinner vegetation cover likely attributed to a high density of mulch. Good variety of native species consisting of native grasses, shrubs and deciduous species’. - Scentless chamomile patch present at KP 23+230. Recommend herbicide application.  - Roach appears stable with some areas exhibiting thinner vegetation establishment; cross drains appear to be functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area at KP 22+830 were handpicked, bagged and removed from RoW. - Herbicide application conducted at KP 23+230 to control scentless chamomile. All flowered plants were handpicked, bagged and removed from RoW. September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees and shrubs growing throughout at time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues at the time of assessment.   - No integrity concerns were noted at the time of assessment.  - Scentless chamomile were observed along the ditch line.  Recommend assessment and control next growing season.",,,
94P-4-A57 94P-4-A56,Treed bog,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 23+000 to KP 23+240 was dry at time of assessment, likely due to time of year of assessment.  • Slow re-vegetation of emergent riparian species present within wetland. • Cross-drains installed along ditchline appear functional during wet season.","June 19, 2015  - 70-80% vegetation established compared to off RoW.  - Treed Fen located between kp 23+000 and kp 23+240 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94P-4-A57 94P-4-A56,Rare plant,Unresolved. Revisit in 2015.,"Resolved, mitigation unsuccessful.  No further monitoring is recommended","No further monitoring required, issue resolved.",,,
94P-4-A57 94P-4-A56,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,,"June 19, 2015  - Vegetation on RoW appears to be 80-90% comparable to off RoW control. Vegetation predominantly wetland species’. - Scentless chamomile present south of creek crossing at KP 23+330. Recommend handpicking weeds. - Roach appears stable with some areas exhibiting thinner vegetation establishment; cross drains appear to be functioning well. - No subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area at KP 23+330 were handpicked, bagged and removed from RoW. September 23, 2015  - Encana winter access road did not appear to be impacted by RoW.   - RoW did not appear to be impacted by Encana winter construction.",,,
94P-4-A56 94P-4-A46,Watercourse crossing : unnamed tributary to Sahtaneh River,Monitor vegetation establishment in 2014. Implement further erosion control measures if conditions do not improve in 2014.,"September 18, 2014 - No issues with water crossing in good shape, silt fence can be removed October2, 2014 – silt fencing removed.","June 19, 2015  - Creek crossing at KP 23+300 appears stable with both banks exhibiting good vegetation growth and willows beginning to flourish. Bed appears stable with a slow flow at time of assessment. Water has settled beyond revetment posts but continue to be functioning well. September 23, 2015  - Tributary located at KP23+253 appeared to be stable at time of assessment. Banks were well vegetated with willows and trees growing throughout the immediate area.",,,
,Treed fen,Monitor vegetation establishment in 2014.,"Wetland located from KP 23+320 to KP 26+450 is holding water, contains emergent riparian vegetation and appears functional at time of assessment.  • Cross-drains installed along ditchline are functional and are allowing water to drain across RoW. Recommend potential cross drain alteration at 23+600 to allow water to drain across RoW.","June 19, 2015  - Treed Fen located between kp 23+320 and kp 26+450 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Bare patches of peat and mulch present along RoW.  - Marker posts and cathodic cable signs are almost fully submerged at road crossing located at kp 24+250 due to ponded water on ditchline.",,,
,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - No issues, good re-establishment of forbs, shrubs and woody species","June 19, 2015  - Vegetation on RoW appears to be 80-90% comparable to off RoW control. Vegetation predominantly wetland species’. - No weed issues evident in tract; majority of tract in wetland. - Roach appears stable showing good vegetation growth and cross drains functioning well - No subsidence or erosional issues evident within tract. September 24, 2015   - Vegetation continues to establish along the RoW with numerous willows and small trees and shrubs growing throughout at time of assessment. Black spruce seedlings were observed throughout the RoW - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Encana road crossing appeared to be stable at the time of assessment. Encana operations did not appear to have any detrimental effect to the TCPL RoW at the time of assessment. No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94P-4-A46 94P-4-A47,Treed fen,Monitor vegetation establishment in 2014.,"Wetland located from KP 23+320 to KP 26+450 is holding water, contains emergent riparian vegetation and appears functional at time of assessment.  • Cross-drains installed along ditchline are functional and are allowing water to drain across RoW. Recommend potential cross drain alteration at 23+600 to allow water to drain across RoW.","June 19, 2015   - Treed Fen located between kp 23+320 and kp 26+450 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Bare patches of peat and mulch present along RoW.  - Marker posts and cathodic cable signs are almost fully submerged at road crossing located at kp 24+250 due to ponded water on ditchline",,,
94P-4-A46 94P-4-A47,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - No issues, good re-establishment of forbs, shrubs and woody species","June 19, 2015  - Vegetation on RoW appears to be 80-90% comparable to off RoW control. Vegetation predominantly wetland species’. - Patch of scentless chamomile present at KP 24+330. Recommend herbicide application. - Roach appears stable with good vegetation growth and cross drains functioning well - No subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area from KP 24+280 to 24+330 were handpicked, bagged and removed from RoW. September 24, 2015    - Vegetation continues to establish along the RoW with numerous willows and small trees and shrubs growing throughout at time of assessment. Black spruce seedlings were observed throughout the RoW - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment. - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94P-4-A37,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor re-establishment of vegetation, subsidence noted at KP 24+440, monitor in 2015. October 2, 2014 - Repaired subsided area utilizing soils from RoW and hand tools","June 19, 2015  - Vegetation on RoW appears to be 80-90% comparable to off RoW control. Vegetation predominantly wetland species’. - No weed issues evident in tract; majority of tract in wetland. - Roach appears stable showing good vegetation growth and cross drains functioning well. - Previous year subsidence repairs at KP 24+380 and KP 24+440 appear to be stable with vegetation beginning to establish. Cover over pipeline is greater than 1.5m. Continue to monitor. - No new subsidence or erosional issues evident within tract. July 15, 2015  - All scentless chamomile plants found within wetland area at KP 24+740 were handpicked, bagged and removed from RoW. July 16, 2015  - Implemented straw matting erosion control over bare areas within previous year subsidence repair at KP 24+440 to enhance stability and promote vegetation growth. September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Assessed previously completed backfill of subsidence at KP 24+375, appeared to be stable with small amounts of vegetation beginning to re generate throughout the area.  Some minor cracking was observed along the length of the repair in the approximate location of the pipeline (approximately 10cm deep).  Assessed previously completed backfill of subsidence at KP 24+425, appeared to be stable with vegetation germinating throughout the area.  Erosion control devices appeared to be stable and vegetation was observed growing through the fabrics.    - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94P-4-A27,Weeds,Weeds should be picked and site should be monitored for additional chamomile plants in the future.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 75% cover, the first year report noted Scentless Chamomile at KP 25+300 no plants were observed, no issues.","June 19, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW control. Vegetation predominantly wetland species’. - One scentless chamomile plant present at KP 25+800. Recommend herbicide application. - Roach exhibiting areas of thinner vegetation cover but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015  - Additional scentless chamomile located from KP 25+560 to 25+800.  All scentless chamomile plants found within wetland area from KP 25+560 to 25+800 were handpicked, bagged and removed from RoW. September 24, 2015  - Vegetation was well established throughout RoW and continuing to establish at time of assessment. Willows shrubs and Small trees were observed throughout the area.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Encana Komie road crossing appeared to be stable at time of assessment. No erosion or subsidence was observed.  - Several flowering Scentless chamomile plants were observed. Plants were picked and sealed in plastic bags for later disposal.",,,
94P-4-A27 94P-4-A16,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 75% cover, no issues.","June 19, 2015  - Vegetation establishing well throughout tract; issue resolved.",,,
94P-4-A27 94P-4-A16,Treed swamp,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 26+650 to KP 26+670 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 19, 2015  - Treed Swamp located between kp 26+650 to kp 26+670 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
94P-4-A27 94P-4-A16,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species on ROW, poor cover on ditchline 75% ROW 20% ditchline, no other issues","June 20, 2015  - Vegetation establishment appears to be 80-90% cover over RoW.  - Roach exhibiting areas of thinner vegetation cover (50%) but appears stable with cross drains functioning well. - Creek crossing at KP 26+820 appears stable with good vegetation growth on banks and willows beginning to establish. Bed appears stable with good cobble distribution. Revetment posts are functioning well at this time. Rollback leading to creek is functioning well as no foreign activity is evident. Moderate flow at time of assessment. Recommend removal of silt fence on both banks. - No subsidence or erosional issues evident within tract. July 15, 2015  - Removed silt fence and steel pegs within straw waddles on both banks of creek crossing at KP 26+820. September 24, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Sahtaneh river tributary crossing (KP 26+800) appeared to be stable at time of assessment.  Banks were well vegetated with willows and trees well established.  Grasses and sedges were also observed growing throughout the riparian area as well. • No erosion or slumping was observed at the time of the assessment.  Several waddles with plastic netting were removed from either bank as the area was very well vegetated and appeared to be stable at time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94P-4-A16 94P-4-A6,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 26+760 to KP 26+860 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 19, 2015  - Peat-accumulating marsh located between kp 26+760 and kp 26+860.  - Bare patches of peat and mulch present along RoW.",,,
94P-4-A16 94P-4-A6,Shrubby swamp,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 27+450 to KP 27+600 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - 70-80% vegetation established compared to off RoW.  - Shrubby Swamp located between kp 27+450 and kp 27+600 has flowing water on RoW and contains submergent and emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
94P-4-A16 94P-4-A6,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species on ROW, poor cover on ditchline 75% ROW 20% ditchline, no other issues","June 20, 2015  - Vegetation establishment appears to be 80-90% cover over RoW with areas showing thinner cover likely attributed to heavier densities of mulch. - Roach exhibiting areas of thinner vegetation cover (50%) but appears stable with cross drains functioning well. - Rollback within tract appears to be functioning well as no foreign activity is evident. - No subsidence or erosional issues evident within tract. September 24, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.",,,
94P-4-A5,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor growth along these tracks and major subsidence from KP 28+500-28+640 in excess of 1 meter in depth and 1-2 meters wide October 1, 2014 - Utilized hand tools and material from the RoW to fill in the subsided area of ditchline. • Entire length of subsided area was probed to determine depth of cover before and after repairs were made.  Depth of cover along the subsided area was brought up to 1.3 meters. October 4, 2014 - Installed erosion control measures along subsidence located at KP 28+600.","June 20, 2015  - Vegetation establishment appears to be 75-85% cover over RoW with thinner areas likely attributed to higher densities of mulch. - Roach exhibiting areas of thinner vegetation cover (50%) but appears stable with cross drains functioning well. - Creek crossing at KP 28+170 appears stable. Bed appears stable with high flow at time of assessment. Both banks appear to be slightly eroded expanding over ditchline likely as a result of high water flow; southeast bank erosion and northwest bank erosion noted. Although banks have been eroded, the vegetation cover appears stable with no sedimentation evident in creek bed. Rollback leading to creek is functioning well as no foreign activity is evident. Continue to monitor for further erosion over ditchline as well as cutting out exposed plastic matting on banks. - Previous year subsidence repair at KP 28+570 appears to be stable with common broadleaf weeds emerging within. Straw matting appears to be functioning well as no further subsidence evident at time of assessment. Continue to monitor. - Marker post down at KP 28+730 as a result of high water level in wetland area. Recommend re-installing marker post when accessible. July 16, 2015  - Removed steel pegs within waddles and cut out exposed plastic matting on both banks of creek crossing at KP 28+170. September 24, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.   - Ground cover was well established and appeared to be continuously establishing at the time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment. - Drainage appeared to be well vegetated and flowing at time of assessment   - Assessed previous backfill of subsided area.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94P-4-A5 94I-13-I95,Shallow open water,Monitor vegetation establishment in 2014.,"Wetland located from KP 28+000 to KP 28+300 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - 70-80% vegetation established compared to off RoW.  - Shallow open water/ marsh located between kp 28+000 and kp 28+300 contains submergent and emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94P-4-A5 94I-13-I95,Invasive species,Monitor vegetation establishment and invasive species in 2014.,"September 18, 2014 - Poor growth along these tracks and major subsidence from KP 28+500-28+640 in excess of 1 meter in depth and 1-2 meters wide October 1, 2014 - Utilized hand tools and material from the RoW to fill in the subsided area of ditchline. • Entire length of subsided area was probed to determine depth of cover before and after repairs were made. • Depth of cover along the subsided area was brought up to 1.3 meters. October 4, 2014 - Installed erosion control measures along subsidence located at KP 28+600.","June 20, 2015  - No noxious or invasive species were observed at time of assessment. September 24, 2015  -  No sweet clover was observed at time of assessment, issue resolved.",,,
94P-4-A5 94I-13-I95,Treed fen,Monitor vegetation establishment in 2014.,"Wetland located from KP 28+460 to KP 29+000 is holding water, contains emergent riparian vegetation and appears functional at time of assessment.  • Cross-drain installed along ditchline is partially functional and may require repairs. Recommend potential cross drain alteration at 28+450 to allow water to drain across RoW.","June 20, 2015  - Treed Fen located between kp 28+460 and kp 29+000 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Flowing water across RoW present at kp 29+000.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Bare patches of peat and mulch present along RoW.",,,
94P-4-A5 94I-13-I95,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor growth along these tracks and major subsidence from KP 28+500-28+640 in excess of 1 meter in depth and 1-2 meters wide October 1, 2014 - Utilized hand tools and material from the RoW to fill in the subsided area of ditchline. • Entire length of subsided area was probed to determine depth of cover before and after repairs were made. • Depth of cover along the subsided area was brought up to 1.3 meters. October 4, 2014 - Installed erosion control measures along subsidence located at KP 28+600.","June 20, 2015  - Vegetation establishment appears to be 90-95% comparable to off RoW control consisting predominantly of wetland vegetation. - No weed issues evident within tract. - Roach is well vegetated within tract with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015  - Vegetation continues to establish along the RoW with numerous willows and small shrubs growing throughout at time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Drainages located at KP 28+967 and 29+000 appeared stable with good wetland vegetation growth throughout.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I95 94I-13-I94,Shrubby fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 29+000 to KP 29+100 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - Shrubby Fen located between kp 29+000 and kp 29+100 contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor growth","June 20, 2015  - Vegetation establishment appears to be 90-95% comparable to off RoW control consisting predominantly of wetland vegetation and deciduous species’. Some areas along RoW exhibit thinner vegetation cover likely attributed to heavier densities of mulch. - Roach is well vegetated within tract with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment. - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I84,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 85% cover, no issues","June 20, 2015  - Vegetation establishment appears to be 70-75% comparable to off RoW control consisting predominantly of wetland vegetation and deciduous species’. - Patch of perennial sow thistle present at KP 30+750. Recommend herbicide application. - Roach exhibiting areas of thinner vegetation cover (50-60%) but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015  - Patch of perennial sow thistle plants at KP 30+750 were handpicked within wetland area. September 24, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Minor subsidence was noted at Encana pipeline crossing K 30+792, did not appear to be impacting land use at time of assessment.  Monitor. - Previous weed control appears to have successful. No noxious or prohibited noxious weeds were observed.",,,
94I-13-I84 94I-13-I83,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 30+000 to KP 30+300 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - Treed Fen located between kp 30+000 and kp 30+300 contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94I-13-I84 94I-13-I83,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 85% cover, no issues","June 20, 2015  - Vegetation establishment appears to be 80-90% comparable to off RoW control.  - Roach exhibiting areas of thinner vegetation cover (50-60%) but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of the assessment.  - Drainage located at 31+544 appeared well vegetated and stable at time of assessment with no indication of erosion or other environmental concern.   - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I83 94I-13-I73,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 30+660 to KP 30+760 are holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - Treed Fen located between kp 30+660 and kp 30+760 has standing water along RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94I-13-I83 94I-13-I73,Shrubby fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 31+050 to KP 31+130 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - Shrubby Fen located between kp 31+050 and kp 31+130 contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94I-13-I83 94I-13-I73,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 85% cover, no issues","June 20, 2015  - Vegetation establishment appears to be 80-90% comparable to off RoW control. - Roach exhibiting areas of thinner vegetation cover (50-60%) but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015 -  - Vegetation continues to establish throughout RoW. Large stand of sweet clover dominates tract, however native species were observed re-establishing under the clovers.  - Recontouring appeared to be stable at the time of the assessment with no erosion, subsidence or slumping observed.   - No integrity concerns were observed at the time of the assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I73 94I-13-I72,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 31+250 to KP 31+320 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - Treed Fen located between kp 31+250 and kp 31+320 contains riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94I-13-I73 94I-13-I72,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 31+340 to KP 31+400 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - Treed Fen located between kp 31+340 and kp 31+400 contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94I-13-I73 94I-13-I72,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 31+400 to KP 31+600 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015   - Peat-accumulating Marsh located between kp 31+400 and kp 31+600 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94I-13-I73 94I-13-I72,Weeds,Site should be monitored in the future for additional chamomile plants.,,"June 20, 2015  - No noxious or invasive weeds were observed at time of assessment. September 24, 2015 -  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I73 94I-13-I72,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor re-establishment of vegetation","June 20, 2015  - Vegetation establishment is 80-90% cover over RoW. Vegetation consisting predominantly of wetland species’ and deciduous species’. RoW exhibiting approximately 40-50% vegetation cover from KP 32+300 to 32+600 in organic peat soil. Continue to monitor vegetation growth. -  Patch of perennial sow thistle present at KP 32+270. Recommend herbicide application. - Roach appears to be stable with good vegetation growth; cross drains are functioning well. - Fixed fallen marker post at KP 31+840. - No subsidence or erosional issues evident in tract. July 15, 2015  - 2 scentless chamomile plants and all perennial sow thistle plants at KP 32+270 were handpicked within wetland area. September 24, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of the assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I72 94I-13-I62,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetlands located from KP 31+700 to KP 35+420 are holding water, contains emergent and submergent riparian vegetation and appear functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015  - Treed Fen located between kp 31+700 and kp 35+420 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Flowing water across RoW present at kp 32+250.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Bare patches of peat and mulch present along RoW.",,,
94I-13-I72 94I-13-I62,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor re-establishment of vegetation","June 20, 2015  - Vegetation establishment appears to be 85-90% comparable to off RoW control consisting predominantly of wetland species’. - No weed issues evident within tract. - Roach appears to be stable with good vegetation growth; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 16, 2015  - Floating pipe discovered today within standing water in wetland (treed fen). Pipe breaching surface from KP 32+850 to KP 32+880, cover over pipe appears to increase to both the north and south from these points.  This issue was reported to the appropriate department at TCPL in a timely manner. September 24, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Encana winter access road crossing located at KP 33+012 it appeared to be stable and well vegetated at time of assessment.  - Previously reported floating pipe was observed, no marks were apparent on the coating and the pipe did not appear to be damaged.   - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I61,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor re-establishment of vegetation, subsidence noted at KP 32+900, monitor in 2015","June 20, 2015  - Vegetation establishment is 80-90% cover over RoW. Vegetation consisting predominantly of wetland species’ and deciduous species’. RoW exhibiting approximately 40-50% vegetation cover from KP 33+100 to 33+400 in organic peat soil. Continue to monitor vegetation growth. - Previously noted subsidence at KP 32+900 appears to have been flooded in wetland area. Subsidence likely caused by peat soil settlement over ditchline due high natural water level in area. Continue to monitor. - Roach appears to be stable with good vegetation growth; cross drains are functioning well. September 24, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees, willows and shrubs growing throughout at time of assessment.   - Ground cover was well established and appeared to be continuously establishing at the time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of the assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-13-I61 94I-13-I51,Weeds,"Monitor vegetation establishment and weeds and if warranted, implement weed control measures in 2014.",,"June 20, 2015  - Perennial sow thistle and scentless chamomile found in tract. July 16, 2015  - Patch of perennial sow thistle plants were handpicked at KP 32+940 in wetland area. - Intermittent scentless chamomile plants from KP 33+050 to 33+750 in wetland were handpicked, bagged and removed from RoW. September 24, 2015 -  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
