Legal Location (W4),1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW-24-80-12,,,,"Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW  - Producer access trail parallels along North of ROW through this tract Aug 22, 2017 – Herbicide application conducted to control perennial sow thistle at KP 16+330.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - Cross drains are vegetated and functioning. No erosion or subsidence issues. Aug 2, 2018 – KP 16+330 – Herbicide application conducted to control perennial sow thistle.",,,
SE-24-80-12,Unnamed Watercourse (12-WC-02) Bank settling / Listed plant occurrence,"Unnamed Class C 12-WC-02 – West bank of watercourse has settled and bank appears to be stable. No erosion or sediment movement observed. The bank was re-contoured, erosion and sedimentation controls were installed and the area was reseeded in January 2015. Listed plant site TKRS009 – tall meadow rue (Thalictrum dasycarpum). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved","June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing.  - Bank settling noted in 2014 no longer present, issue resolved.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - WC2 - Unnamed Watercourse; Banks are stable and vegetated. - Marker/Signs required at 17+300 & 17+400 – Recommend repairs. Aug 22, 2017 – Intermittent herbicide application to control perennial sow thistle (KP 17+380), scentless chamomile (KP 17+400) and Canada thistle (KP 17+400). Sept 19, 2017 - KP 17+300 and 17+400 – Repaired marker/sign posts. Issue resolved.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - Cross drains are vegetated and functioning. No erosion or subsidence issues.  Watercourse – (12-WC-02)  - Banks are fully vegetated and stable. Excellent willow natural recovery along banks and snow full areas. - Water level is high with fast flow. Aug 2, 2018 – Herbicide application conducted to control perennial sow thistle (KP 17+380) and scentless chamomile (KP 17+400).",,,
SW-19-80-11,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW - Mounding at 18+400 is intact and effective - No erosion or subsidence issues - Sign/ marker posts down at 18+500 – Recommend repairs. Oct 12, 2017 - KP 18+500 – Repaired marker posts. Issue resolved.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-19-80-11,,,,"Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - Mounding appears to be functioning as access control across ROW. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW-20-80-11,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.  - No erosion or subsidence issues.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-20-80-11,Forested Listed plant occurrence,Listed plant site TKRS011 – cup lichen (Cladonia cyanipes). Moderate to high vegetation regrowth observed. Listed plant issue resolved,,"Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW. - KP 20+800 - Sign/ marker posts require repairs. Oct 12, 2017 - KP 20+800 – Repaired sign/marker posts. Issue resolved.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW 21-80-11,,,,"Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NNW-16-80-11 E-16-80-11,Forested Listed plant occurrence,"Listed plant site TKRS004 – Sitka clubmoss (Diphasiastrum sitchense). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved","June 20, 2016 - Marker post down 22+500 and 23+000.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW.  - No erosion or subsidence issues. - 22+500 and 23+000 Marker/Signs down – Recommend repairs. Oct 12, 2017 - KP 22+500 and 23+000 – Marker/signs repaired – issues resolved.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NNW-16-80-11 E-16-80-11,Forested Listed plant occurrence,"Listed plant site TKRS004 – goldthread (Coptis trifolia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.  - No erosion or subsidence issues. - 22+500 and 23+000 Marker/Signs down – Recommend repairs. Oct 12, 2017 - KP 22+500 and 23+000 – Marker/signs repaired – issues resolved.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-16-80-11,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW, filling in from outer edges and is expected to recover over time. - No erosion or subsidence issues.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW-15-80-11,Forested Listed plant occurrence,"Listed plant site TKRS003 – Sitka clubmoss (Diphasiastrum sitchense). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 23+650 – 4 skids observed and removed, issue resolved.",,,
SW-15-80-11,Forested Listed plant occurrence,"Listed plant site TKRS003 – goldthread (Coptis trifolia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 23+650 – 4 skids observed and removed, issue resolved.",,,
SE-15-80-11,Forested Listed plant occurrence,"Listed plant site TLES11 – goldthread (Coptis trifolia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 24+180 and 24+000 – skids observed and removed, issue resolved.",,,
SE-15-80-11,Forested Listed plant occurrence,"Listed plant site TKRS002 – Sitka clubmoss (Diphasiastrum sitchense). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 24+180 and 24+000 – skids observed and removed, issue resolved.",,,
SE-15-80-11,Forested Listed plant occurrence,"Listed plant site TKRS002 – purple peavine (Lathyrus venosus). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 24+180 and 24+000 – skids observed and removed, issue resolved.",,,
SE-15-80-11,Forested Listed plant occurrence,"Listed plant site TKRS002 – goldthread (Coptis trifolia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 24+180 and 24+000 – skids observed and removed, issue resolved.",,,
SW-14-80-11,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - Mounding access control is present and effective - No erosion or subsidence issues Sept 15, 2017 - Mounding on ROW at KP 24+900 providing effective access control in area.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NW-14-80-11,,,,"Aug 15, 2017 - Vegetation is well established at 65-80% of off ROW. - Mounding access control is present and effective. - KP 25+500 Marker/Signs down – Recommend repairs. - No erosion or subsidence issues Sept 15, 2017 - Mounding on ROW at KP 25+400 providing effective access control in area. Oct 12, 2017 - KP 25+500 - Reset marker posts and sign. Issue resolved.","July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. Trees up to 1-2m tall. - No noxious weeds were identified. - Mounding appears to be functioning as access control across ROW. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NE-14-80-11,,,,"Aug 15, 2017 - Vegetation established at 65-80% of off ROW.  - No erosion or subsidence issues. Sept 14, 2017 - Shrubby swamp on ROW from KP 26+424 to 26+589 appears to be at full functionality. Wetland traverses pipeline ROW at low disturbance HDD pad to Christina River Crossing. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of mix of deciduous and coniferous tree species; trees exceeding 1m in height across disturbed area. - No noxious weeds were identified in wetland. - No trench present through disturbed area; hydrology through wetland appears to be maintained. - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. Humification occurring through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions; no standing water present through wetland. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto ROW. No net loss of wetland function was observed.","June 16, 2018 – KP 26+400 Marker/signs down, recommend repairs. July 08, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues. - KP 26+400 – Reset marker posts, issue resolved. - KP 26+000 – 2 skids observed and removed, issue resolved. August 27, 2018 - Shrubby swamp on ROW from KP 26+424 to 26+589 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Wetland has been minimally affected by overall ROW construction with the only disturbance including a HDD pad opening for Christina River (11-WC-01).  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willows, pine, spruce, Labrador tea and sphagnum moss. - No noxious weeds were identified within wetland. - No issues of hydrologic connectivity were observed within wetland. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi-saturated conditions with no surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
NW-13-80-11,Forested Listed plant occurrence,"Listed plant site TLRS06 – goldthread (Coptis trifolia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. Trees up to 1-2m tall. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NW-13-80-11,Forested Listed plant occurrence,"Listed plant site TLRS06 – Sitka clubmoss (Diphasiastrum sitchense). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. Trees up to 1-2m tall. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NW-13-80-11,Forested Listed plant occurrence,"Listed plant site TLRS06 – purple peavine (Lathyrus venosus). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. Trees up to 1-2m tall. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NW-13-80-11,Forested Listed plant occurrence,"Listed plant site TLRS06 – tall meadow rue (Thalictrum dasycarpum). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. Trees up to 1-2m tall. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NW-13-80-11,Christina River (11-WC-01) Watercourse Crossing Access,,"June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse access appear stable. Minor erosion on the west bank was observed, no work recommended, continue to monitor. ·Good vegetation establishment was observed on the banks of this watercourse access crossing.",No issues observed at watercourse crossing – minor erosion observed in 2016 is resolved.,"July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. Trees up to 1-2m tall. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NE-13-80-11,,,,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - KP 28+000 - Common tansy observed - Control recommended. - Mounding access control is present and effective - Skid at 28+200. Collect and dispose - No erosion or subsidence Sept 18, 2017 - KP 28+200 – Removed skid. Issue resolved. - KP 28+000 – Common tansy was not observed, monitor in 2018.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. Trees up to 1-2m tall. - KP 28+000 –1 common tansy picked, bagged for disposal. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-13-80-11,,,,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - Christina River Crossing (access trail) - Banks are stable and vegetated. No erosion or subsidence issues. Sept 15, 2017 - Mounding on ROW at KP 28+200 providing effective access control in area.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW-17-80-10,Forested Low vegetation cover,Low vegetation cover observed. Monitor in 2015.,"June 20, 2016 - Low vegetation 20 to 30% is not causing any secondary (eg. erosion) environmental issues. Recommend continued monitoring.","Aug 15, 2017 - Vegetation is well established at 65-80% of off ROW. Previous low vegetation issues resolved. - No erosion or subsidence Sept 18, 2017 - KP 30+400 – Removed skid. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-17-80-10,Forested Listed plant occurrence,"Listed plant site TLES13 – Sitka clubmoss (Diphasiastrum sitchense). Minimal disturbance to area, moderate to high vegetation regrowth observed.  Listed plant issue resolved",,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - Skid observed at 31+100, recommend removal. - No erosion or subsidence. Sept 18, 2017 - KP 31+100 – Removed skid. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder re-establishing within wetland areas. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-17-80-10,Forested Listed plant occurrence,"Listed plant site TLES13 – goldthread (Coptis trifolia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - Skid observed at 31+100, recommend removal. - No erosion or subsidence. Sept 18, 2017 - KP 31+100 – Removed skid. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder re-establishing within wetland areas. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-17-80-10,Forested Listed plant occurrence,"Listed plant site TLES13 – cup lichen (Cladonia cyanipes). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - Skid observed at 31+100, recommend removal. - No erosion or subsidence. Sept 18, 2017 - KP 31+100 – Removed skid. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder re-establishing within wetland areas. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-17-80-10,Forested Listed plant occurrence,"Listed plant site TLES13 – purple peavine (Lathyrus venosus). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - Skid observed at 31+100, recommend removal. - No erosion or subsidence. Sept 18, 2017 - KP 31+100 – Removed skid. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder re-establishing within wetland areas. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW-16-80-10,,,,"Aug 15, 2017 - Vegetation is well established at 65-80% of off ROW. - No erosion or subsidence. - KP 31+800 Marker/Signs down – Recommend repairs. Sept 18, 2017 - KP 31+800 – Repaired marker signs and posts. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-16-80-10,,,,"Aug 15, 2017 - Vegetation is well established at 65-80% of off ROW. - No erosion or subsidence.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW-15-80-10,,,,"Aug 15, 2017 - Vegetation is well established at 65-80% of off ROW. - No erosion or subsidence.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-15-80-10,,,,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - No erosion or subsidence.  Sept 18, 2017 - KP 34+150 – Repaired marker signs and posts. Issue resolved.  - KP 34+180 – Picked and bagged 1 mature Common tansy plant. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - Good natural recovery within TWS, poplar trees in excess of 3-4m. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW-14-80-10,Forested Listed Plant and weed occurrence,Listed plant site TKRS026 – purple peavine (Lathyrus venosus) presence confirmed. Moderate to high vegetation regrowth. Noxious weed perennial sow-thistle (Sonchus arvensis) observed. Listed plant issue resolved Control weeds as required,"June 20, 2016 No noxious weeds observed, 2014 weed issue resolved.","Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - No erosion or subsidence.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-14-80-10,Unnamed Watercourse (10-WC-01),,"June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear to be stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing.","Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - WC - 35+900 Unnamed watercourse Low wet area. Vegetation has re-established and stable.  - WC 35 Marker/Signs down – Recommend repairs. - KP 36+400 Mounding access control is present and effective Sept 18, 2017 – Marker/signs repaired. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  Watercourse – (10-WC-01) - #35  - Banks are fully vegetated and stable. - Water level is high with minimal flow.",,,
SW-13-80-10,,,,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - No erosion or subsidence Sept 15, 2017 - Rollback and mounding on ROW at KP 37+700 providing effective access control in area. Mounding present on south edge of ROW. - Mounding on ROW at KP 38+100 providing effective access control in area. Some UTV tracks present on northern edge of ROW.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - KP 36+700 – Perennial sow thistle and scentless chamomile (6 plants; picked, bagged, and disposed of) observed, recommend herbicide application. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. - Mounding/rollback appears to be functioning as access control across ROW.  Aug 3, 2018 – KP 36+700 - Herbicide application conducted to control perennial sow thistle.",,,
SE-13-80-10,,,,"Aug 15, 2017 - Vegetation is well established at 80-100% of off ROW. - No erosion or subsidence. - KP 37+600 mounding and rollback access control is present and effective.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. - Mounding/rollback appears to be functioning.",,,
SW-18-80-9,,,,"Aug 15, 2017 - Vegetation is well established at 65-80% of off ROW.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues.",,,
NW-18-80-9,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence - KP 38+400 mounding and rollback access control is present and effective  - KP 38+500 Debris observed. Recommend collect and remove. Sept 18, 2017 - KP 38+500 – Removed debris, issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues - Mounding/rollback appears to be functioning.",,,
NE-18-80-9,,,"July 9 - Vegetation is well established with desirable species throughout ROW. - Good establishment of sedge, lily, grasses and other aquatic species.  - No noxious weeds identified. - No erosion or subsidence issues. - Further access west blocked by rollback and mounding.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - KP 39+400 Marker signs/posts down – Recommend repairs. Sept 18, 2017 - KP 39+400 – Marker signs/posts repaired, issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. Aug 3, 2018 – KP 39+170 – Herbicide application conducted to control scentless chamomile.",,,
